game,2013,15,20131215,201312150cle,chi,"Chicago Bears",38,cle,"Cleveland Browns",31
player,201312150cle,chi,CutlJa00,targets,0,,,,,
player,201312150cle,chi,CutlJa00,rec,0,,,,,
player,201312150cle,chi,CutlJa00,rec_yds,0,,,,,
player,201312150cle,chi,CutlJa00,rec_td,0,,,,,
player,201312150cle,chi,CutlJa00,rec_long,0,,,,,
player,201312150cle,chi,CutlJa00,fumbles,0,,,,,
player,201312150cle,chi,CutlJa00,fumbles_lost,0,,,,,
player,201312150cle,chi,FortMa00,pass_cmp,0,,,,,
player,201312150cle,chi,FortMa00,pass_att,0,,,,,
player,201312150cle,chi,FortMa00,pass_yds,0,,,,,
player,201312150cle,chi,FortMa00,pass_td,0,,,,,
player,201312150cle,chi,FortMa00,pass_int,0,,,,,
player,201312150cle,chi,FortMa00,pass_sacked,0,,,,,
player,201312150cle,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201312150cle,chi,FortMa00,pass_long,0,,,,,
player,201312150cle,chi,FortMa00,pass_rating,,,,,,
player,201312150cle,chi,FortMa00,rush_att,24,,,,,
player,201312150cle,chi,FortMa00,rush_yds,127,,,,,
player,201312150cle,chi,FortMa00,rush_td,0,,,,,
player,201312150cle,chi,FortMa00,rush_long,24,,,,,
player,201312150cle,chi,FortMa00,targets,3,,,,,
player,201312150cle,chi,FortMa00,rec,1,,,,,
player,201312150cle,chi,FortMa00,rec_yds,4,,,,,
player,201312150cle,chi,FortMa00,rec_td,0,,,,,
player,201312150cle,chi,FortMa00,rec_long,4,,,,,
player,201312150cle,chi,FortMa00,fumbles,0,,,,,
player,201312150cle,chi,FortMa00,fumbles_lost,0,,,,,
player,201312150cle,chi,BushMi00,pass_cmp,0,,,,,
player,201312150cle,chi,BushMi00,pass_att,0,,,,,
player,201312150cle,chi,BushMi00,pass_yds,0,,,,,
player,201312150cle,chi,BushMi00,pass_td,0,,,,,
player,201312150cle,chi,BushMi00,pass_int,0,,,,,
player,201312150cle,chi,BushMi00,pass_sacked,0,,,,,
player,201312150cle,chi,BushMi00,pass_sacked_yds,0,,,,,
player,201312150cle,chi,BushMi00,pass_long,0,,,,,
player,201312150cle,chi,BushMi00,pass_rating,,,,,,
player,201312150cle,chi,BushMi00,rush_att,3,,,,,
player,201312150cle,chi,BushMi00,rush_yds,44,,,,,
player,201312150cle,chi,BushMi00,rush_td,1,,,,,
player,201312150cle,chi,BushMi00,rush_long,40,,,,,
player,201312150cle,chi,BushMi00,targets,0,,,,,
player,201312150cle,chi,BushMi00,rec,0,,,,,
player,201312150cle,chi,BushMi00,rec_yds,0,,,,,
player,201312150cle,chi,BushMi00,rec_td,0,,,,,
player,201312150cle,chi,BushMi00,rec_long,0,,,,,
player,201312150cle,chi,BushMi00,fumbles,0,,,,,
player,201312150cle,chi,BushMi00,fumbles_lost,0,,,,,
player,201312150cle,chi,MarsBr00,pass_cmp,0,,,,,
player,201312150cle,chi,MarsBr00,pass_att,0,,,,,
player,201312150cle,chi,MarsBr00,pass_yds,0,,,,,
player,201312150cle,chi,MarsBr00,pass_td,0,,,,,
player,201312150cle,chi,MarsBr00,pass_int,0,,,,,
player,201312150cle,chi,MarsBr00,pass_sacked,0,,,,,
player,201312150cle,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201312150cle,chi,MarsBr00,pass_long,0,,,,,
player,201312150cle,chi,MarsBr00,pass_rating,,,,,,
player,201312150cle,chi,MarsBr00,rush_att,0,,,,,
player,201312150cle,chi,MarsBr00,rush_yds,0,,,,,
player,201312150cle,chi,MarsBr00,rush_td,0,,,,,
player,201312150cle,chi,MarsBr00,rush_long,0,,,,,
player,201312150cle,chi,MarsBr00,targets,13,,,,,
player,201312150cle,chi,MarsBr00,rec,6,,,,,
player,201312150cle,chi,MarsBr00,rec_yds,95,,,,,
player,201312150cle,chi,MarsBr00,rec_td,1,,,,,
player,201312150cle,chi,MarsBr00,rec_long,41,,,,,
player,201312150cle,chi,MarsBr00,fumbles,0,,,,,
player,201312150cle,chi,MarsBr00,fumbles_lost,0,,,,,
player,201312150cle,chi,BennMa00,pass_cmp,0,,,,,
player,201312150cle,chi,BennMa00,pass_att,0,,,,,
player,201312150cle,chi,BennMa00,pass_yds,0,,,,,
player,201312150cle,chi,BennMa00,pass_td,0,,,,,
player,201312150cle,chi,BennMa00,pass_int,0,,,,,
player,201312150cle,chi,BennMa00,pass_sacked,0,,,,,
player,201312150cle,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201312150cle,chi,BennMa00,pass_long,0,,,,,
player,201312150cle,chi,BennMa00,pass_rating,,,,,,
player,201312150cle,chi,BennMa00,rush_att,0,,,,,
player,201312150cle,chi,BennMa00,rush_yds,0,,,,,
player,201312150cle,chi,BennMa00,rush_td,0,,,,,
player,201312150cle,chi,BennMa00,rush_long,0,,,,,
player,201312150cle,chi,BennMa00,targets,6,,,,,
player,201312150cle,chi,BennMa00,rec,6,,,,,
player,201312150cle,chi,BennMa00,rec_yds,71,,,,,
player,201312150cle,chi,BennMa00,rec_td,0,,,,,
player,201312150cle,chi,BennMa00,rec_long,23,,,,,
player,201312150cle,chi,BennMa00,fumbles,1,,,,,
player,201312150cle,chi,BennMa00,fumbles_lost,1,,,,,
player,201312150cle,chi,BennEa00,pass_cmp,0,,,,,
player,201312150cle,chi,BennEa00,pass_att,0,,,,,
player,201312150cle,chi,BennEa00,pass_yds,0,,,,,
player,201312150cle,chi,BennEa00,pass_td,0,,,,,
player,201312150cle,chi,BennEa00,pass_int,0,,,,,
player,201312150cle,chi,BennEa00,pass_sacked,0,,,,,
player,201312150cle,chi,BennEa00,pass_sacked_yds,0,,,,,
player,201312150cle,chi,BennEa00,pass_long,0,,,,,
player,201312150cle,chi,BennEa00,pass_rating,,,,,,
player,201312150cle,chi,BennEa00,rush_att,0,,,,,
player,201312150cle,chi,BennEa00,rush_yds,0,,,,,
player,201312150cle,chi,BennEa00,rush_td,0,,,,,
player,201312150cle,chi,BennEa00,rush_long,0,,,,,
player,201312150cle,chi,BennEa00,targets,4,,,,,
player,201312150cle,chi,BennEa00,rec,4,,,,,
player,201312150cle,chi,BennEa00,rec_yds,23,,,,,
player,201312150cle,chi,BennEa00,rec_td,1,,,,,
player,201312150cle,chi,BennEa00,rec_long,8,,,,,
player,201312150cle,chi,BennEa00,fumbles,0,,,,,
player,201312150cle,chi,BennEa00,fumbles_lost,0,,,,,
player,201312150cle,chi,JeffAl00,pass_cmp,0,,,,,
player,201312150cle,chi,JeffAl00,pass_att,0,,,,,
player,201312150cle,chi,JeffAl00,pass_yds,0,,,,,
player,201312150cle,chi,JeffAl00,pass_td,0,,,,,
player,201312150cle,chi,JeffAl00,pass_int,0,,,,,
player,201312150cle,chi,JeffAl00,pass_sacked,0,,,,,
player,201312150cle,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201312150cle,chi,JeffAl00,pass_long,0,,,,,
player,201312150cle,chi,JeffAl00,pass_rating,,,,,,
player,201312150cle,chi,JeffAl00,rush_att,1,,,,,
player,201312150cle,chi,JeffAl00,rush_yds,-3,,,,,
player,201312150cle,chi,JeffAl00,rush_td,0,,,,,
player,201312150cle,chi,JeffAl00,rush_long,-3,,,,,
player,201312150cle,chi,JeffAl00,targets,5,,,,,
player,201312150cle,chi,JeffAl00,rec,5,,,,,
player,201312150cle,chi,JeffAl00,rec_yds,72,,,,,
player,201312150cle,chi,JeffAl00,rec_td,1,,,,,
player,201312150cle,chi,JeffAl00,rec_long,45,,,,,
player,201312150cle,chi,JeffAl00,fumbles,0,,,,,
player,201312150cle,chi,JeffAl00,fumbles_lost,0,,,,,
player,201312150cle,cle,CampJa00,pass_cmp,23,,,,,
player,201312150cle,cle,CampJa00,pass_att,39,,,,,
player,201312150cle,cle,CampJa00,pass_yds,273,,,,,
player,201312150cle,cle,CampJa00,pass_td,1,,,,,
player,201312150cle,cle,CampJa00,pass_int,2,,,,,
player,201312150cle,cle,CampJa00,pass_sacked,0,,,,,
player,201312150cle,cle,CampJa00,pass_sacked_yds,0,,,,,
player,201312150cle,cle,CampJa00,pass_long,44,,,,,
player,201312150cle,cle,CampJa00,pass_rating,67.6,,,,,
player,201312150cle,cle,CampJa00,rush_att,1,,,,,
player,201312150cle,cle,CampJa00,rush_yds,17,,,,,
player,201312150cle,cle,CampJa00,rush_td,0,,,,,
player,201312150cle,cle,CampJa00,rush_long,17,,,,,
player,201312150cle,cle,CampJa00,targets,0,,,,,
player,201312150cle,cle,CampJa00,rec,0,,,,,
player,201312150cle,cle,CampJa00,rec_yds,0,,,,,
player,201312150cle,cle,CampJa00,rec_td,0,,,,,
player,201312150cle,cle,CampJa00,rec_long,0,,,,,
player,201312150cle,cle,CampJa00,fumbles,0,,,,,
player,201312150cle,cle,CampJa00,fumbles_lost,0,,,,,
player,201312150cle,cle,BakeEd01,pass_cmp,0,,,,,
player,201312150cle,cle,BakeEd01,pass_att,0,,,,,
player,201312150cle,cle,BakeEd01,pass_yds,0,,,,,
player,201312150cle,cle,BakeEd01,pass_td,0,,,,,
player,201312150cle,cle,BakeEd01,pass_int,0,,,,,
player,201312150cle,cle,BakeEd01,pass_sacked,0,,,,,
player,201312150cle,cle,BakeEd01,pass_sacked_yds,0,,,,,
player,201312150cle,cle,BakeEd01,pass_long,0,,,,,
player,201312150cle,cle,BakeEd01,pass_rating,,,,,,
player,201312150cle,cle,BakeEd01,rush_att,8,,,,,
player,201312150cle,cle,BakeEd01,rush_yds,38,,,,,
player,201312150cle,cle,BakeEd01,rush_td,1,,,,,
player,201312150cle,cle,BakeEd01,rush_long,15,,,,,
player,201312150cle,cle,BakeEd01,targets,4,,,,,
player,201312150cle,cle,BakeEd01,rec,4,,,,,
player,201312150cle,cle,BakeEd01,rec_yds,46,,,,,
player,201312150cle,cle,BakeEd01,rec_td,0,,,,,
player,201312150cle,cle,BakeEd01,rec_long,16,,,,,
player,201312150cle,cle,BakeEd01,fumbles,0,,,,,
player,201312150cle,cle,BakeEd01,fumbles_lost,0,,,,,
player,201312150cle,cle,GrayMa00,pass_cmp,0,,,,,
player,201312150cle,cle,GrayMa00,pass_att,0,,,,,
player,201312150cle,cle,GrayMa00,pass_yds,0,,,,,
player,201312150cle,cle,GrayMa00,pass_td,0,,,,,
player,201312150cle,cle,GrayMa00,pass_int,0,,,,,
player,201312150cle,cle,GrayMa00,pass_sacked,0,,,,,
player,201312150cle,cle,GrayMa00,pass_sacked_yds,0,,,,,
player,201312150cle,cle,GrayMa00,pass_long,0,,,,,
player,201312150cle,cle,GrayMa00,pass_rating,,,,,,
player,201312150cle,cle,GrayMa00,rush_att,2,,,,,
player,201312150cle,cle,GrayMa00,rush_yds,30,,,,,
player,201312150cle,cle,GrayMa00,rush_td,0,,,,,
player,201312150cle,cle,GrayMa00,rush_long,18,,,,,
player,201312150cle,cle,GrayMa00,targets,0,,,,,
player,201312150cle,cle,GrayMa00,rec,0,,,,,
player,201312150cle,cle,GrayMa00,rec_yds,0,,,,,
player,201312150cle,cle,GrayMa00,rec_td,0,,,,,
player,201312150cle,cle,GrayMa00,rec_long,0,,,,,
player,201312150cle,cle,GrayMa00,fumbles,0,,,,,
player,201312150cle,cle,GrayMa00,fumbles_lost,0,,,,,
player,201312150cle,cle,OgboCh00,pass_cmp,0,,,,,
player,201312150cle,cle,OgboCh00,pass_att,0,,,,,
player,201312150cle,cle,OgboCh00,pass_yds,0,,,,,
player,201312150cle,cle,OgboCh00,pass_td,0,,,,,
player,201312150cle,cle,OgboCh00,pass_int,0,,,,,
player,201312150cle,cle,OgboCh00,pass_sacked,0,,,,,
player,201312150cle,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201312150cle,cle,OgboCh00,pass_long,0,,,,,
player,201312150cle,cle,OgboCh00,pass_rating,,,,,,
player,201312150cle,cle,OgboCh00,rush_att,5,,,,,
player,201312150cle,cle,OgboCh00,rush_yds,7,,,,,
player,201312150cle,cle,OgboCh00,rush_td,0,,,,,
player,201312150cle,cle,OgboCh00,rush_long,5,,,,,
player,201312150cle,cle,OgboCh00,targets,5,,,,,
player,201312150cle,cle,OgboCh00,rec,5,,,,,
player,201312150cle,cle,OgboCh00,rec_yds,39,,,,,
player,201312150cle,cle,OgboCh00,rec_td,0,,,,,
player,201312150cle,cle,OgboCh00,rec_long,16,,,,,
player,201312150cle,cle,OgboCh00,fumbles,0,,,,,
player,201312150cle,cle,OgboCh00,fumbles_lost,0,,,,,
player,201312150cle,cle,WhitFo00,pass_cmp,0,,,,,
player,201312150cle,cle,WhitFo00,pass_att,0,,,,,
player,201312150cle,cle,WhitFo00,pass_yds,0,,,,,
player,201312150cle,cle,WhitFo00,pass_td,0,,,,,
player,201312150cle,cle,WhitFo00,pass_int,0,,,,,
player,201312150cle,cle,WhitFo00,pass_sacked,0,,,,,
player,201312150cle,cle,WhitFo00,pass_sacked_yds,0,,,,,
player,201312150cle,cle,WhitFo00,pass_long,0,,,,,
player,201312150cle,cle,WhitFo00,pass_rating,,,,,,
player,201312150cle,cle,WhitFo00,rush_att,1,,,,,
player,201312150cle,cle,WhitFo00,rush_yds,1,,,,,
player,201312150cle,cle,WhitFo00,rush_td,0,,,,,
player,201312150cle,cle,WhitFo00,rush_long,1,,,,,
player,201312150cle,cle,WhitFo00,targets,2,,,,,
player,201312150cle,cle,WhitFo00,rec,2,,,,,
player,201312150cle,cle,WhitFo00,rec_yds,4,,,,,
player,201312150cle,cle,WhitFo00,rec_td,0,,,,,
player,201312150cle,cle,WhitFo00,rec_long,5,,,,,
player,201312150cle,cle,WhitFo00,fumbles,0,,,,,
player,201312150cle,cle,WhitFo00,fumbles_lost,0,,,,,
player,201312150cle,cle,LittGr00,pass_cmp,0,,,,,
player,201312150cle,cle,LittGr00,pass_att,0,,,,,
player,201312150cle,cle,LittGr00,pass_yds,0,,,,,
player,201312150cle,cle,LittGr00,pass_td,0,,,,,
player,201312150cle,cle,LittGr00,pass_int,0,,,,,
player,201312150cle,cle,LittGr00,pass_sacked,0,,,,,
player,201312150cle,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201312150cle,cle,LittGr00,pass_long,0,,,,,
player,201312150cle,cle,LittGr00,pass_rating,,,,,,
player,201312150cle,cle,LittGr00,rush_att,0,,,,,
player,201312150cle,cle,LittGr00,rush_yds,0,,,,,
player,201312150cle,cle,LittGr00,rush_td,0,,,,,
player,201312150cle,cle,LittGr00,rush_long,0,,,,,
player,201312150cle,cle,LittGr00,targets,7,,,,,
player,201312150cle,cle,LittGr00,rec,4,,,,,
player,201312150cle,cle,LittGr00,rec_yds,68,,,,,
player,201312150cle,cle,LittGr00,rec_td,0,,,,,
player,201312150cle,cle,LittGr00,rec_long,44,,,,,
player,201312150cle,cle,LittGr00,fumbles,0,,,,,
player,201312150cle,cle,LittGr00,fumbles_lost,0,,,,,
player,201312150cle,cle,GordJo02,pass_cmp,0,,,,,
player,201312150cle,cle,GordJo02,pass_att,0,,,,,
player,201312150cle,cle,GordJo02,pass_yds,0,,,,,
player,201312150cle,cle,GordJo02,pass_td,0,,,,,
player,201312150cle,cle,GordJo02,pass_int,0,,,,,
player,201312150cle,cle,GordJo02,pass_sacked,0,,,,,
player,201312150cle,cle,GordJo02,pass_sacked_yds,0,,,,,
player,201312150cle,cle,GordJo02,pass_long,0,,,,,
player,201312150cle,cle,GordJo02,pass_rating,,,,,,
player,201312150cle,cle,GordJo02,rush_att,0,,,,,
player,201312150cle,cle,GordJo02,rush_yds,0,,,,,
player,201312150cle,cle,GordJo02,rush_td,0,,,,,
player,201312150cle,cle,GordJo02,rush_long,0,,,,,
player,201312150cle,cle,GordJo02,targets,10,,,,,
player,201312150cle,cle,GordJo02,rec,3,,,,,
player,201312150cle,cle,GordJo02,rec_yds,67,,,,,
player,201312150cle,cle,GordJo02,rec_td,1,,,,,
player,201312150cle,cle,GordJo02,rec_long,43,,,,,
player,201312150cle,cle,GordJo02,fumbles,0,,,,,
player,201312150cle,cle,GordJo02,fumbles_lost,0,,,,,
player,201312150cle,cle,CameJo00,pass_cmp,0,,,,,
player,201312150cle,cle,CameJo00,pass_att,0,,,,,
player,201312150cle,cle,CameJo00,pass_yds,0,,,,,
player,201312150cle,cle,CameJo00,pass_td,0,,,,,
player,201312150cle,cle,CameJo00,pass_int,0,,,,,
player,201312150cle,cle,CameJo00,pass_sacked,0,,,,,
player,201312150cle,cle,CameJo00,pass_sacked_yds,0,,,,,
player,201312150cle,cle,CameJo00,pass_long,0,,,,,
player,201312150cle,cle,CameJo00,pass_rating,,,,,,
player,201312150cle,cle,CameJo00,rush_att,0,,,,,
player,201312150cle,cle,CameJo00,rush_yds,0,,,,,
player,201312150cle,cle,CameJo00,rush_td,0,,,,,
player,201312150cle,cle,CameJo00,rush_long,0,,,,,
player,201312150cle,cle,CameJo00,targets,6,,,,,
player,201312150cle,cle,CameJo00,rec,3,,,,,
player,201312150cle,cle,CameJo00,rec_yds,23,,,,,
player,201312150cle,cle,CameJo00,rec_td,0,,,,,
player,201312150cle,cle,CameJo00,rec_long,10,,,,,
player,201312150cle,cle,CameJo00,fumbles,0,,,,,
player,201312150cle,cle,CameJo00,fumbles_lost,0,,,,,
player,201312150cle,cle,BarnGa01,pass_cmp,0,,,,,
player,201312150cle,cle,BarnGa01,pass_att,0,,,,,
player,201312150cle,cle,BarnGa01,pass_yds,0,,,,,
player,201312150cle,cle,BarnGa01,pass_td,0,,,,,
player,201312150cle,cle,BarnGa01,pass_int,0,,,,,
player,201312150cle,cle,BarnGa01,pass_sacked,0,,,,,
player,201312150cle,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201312150cle,cle,BarnGa01,pass_long,0,,,,,
player,201312150cle,cle,BarnGa01,pass_rating,,,,,,
player,201312150cle,cle,BarnGa01,rush_att,0,,,,,
player,201312150cle,cle,BarnGa01,rush_yds,0,,,,,
player,201312150cle,cle,BarnGa01,rush_td,0,,,,,
player,201312150cle,cle,BarnGa01,rush_long,0,,,,,
player,201312150cle,cle,BarnGa01,targets,1,,,,,
player,201312150cle,cle,BarnGa01,rec,1,,,,,
player,201312150cle,cle,BarnGa01,rec_yds,17,,,,,
player,201312150cle,cle,BarnGa01,rec_td,0,,,,,
player,201312150cle,cle,BarnGa01,rec_long,17,,,,,
player,201312150cle,cle,BarnGa01,fumbles,0,,,,,
player,201312150cle,cle,BarnGa01,fumbles_lost,0,,,,,
player,201312150cle,cle,BessDa00,pass_cmp,0,,,,,
player,201312150cle,cle,BessDa00,pass_att,0,,,,,
player,201312150cle,cle,BessDa00,pass_yds,0,,,,,
player,201312150cle,cle,BessDa00,pass_td,0,,,,,
player,201312150cle,cle,BessDa00,pass_int,0,,,,,
player,201312150cle,cle,BessDa00,pass_sacked,0,,,,,
player,201312150cle,cle,BessDa00,pass_sacked_yds,0,,,,,
player,201312150cle,cle,BessDa00,pass_long,0,,,,,
player,201312150cle,cle,BessDa00,pass_rating,,,,,,
player,201312150cle,cle,BessDa00,rush_att,0,,,,,
player,201312150cle,cle,BessDa00,rush_yds,0,,,,,
player,201312150cle,cle,BessDa00,rush_td,0,,,,,
player,201312150cle,cle,BessDa00,rush_long,0,,,,,
player,201312150cle,cle,BessDa00,targets,3,,,,,
player,201312150cle,cle,BessDa00,rec,1,,,,,
player,201312150cle,cle,BessDa00,rec_yds,9,,,,,
player,201312150cle,cle,BessDa00,rec_td,0,,,,,
player,201312150cle,cle,BessDa00,rec_long,9,,,,,
player,201312150cle,cle,BessDa00,fumbles,0,,,,,
player,201312150cle,cle,BessDa00,fumbles_lost,0,,,,,
player,201312150cle,chi,BowmZa20,def_int,2,,,,,
player,201312150cle,chi,BowmZa20,def_int_yds,43,,,,,
player,201312150cle,chi,BowmZa20,def_int_td,1,,,,,
player,201312150cle,chi,BowmZa20,def_int_long,43,,,,,
player,201312150cle,chi,BowmZa20,pass_defended,2,,,,,
player,201312150cle,chi,BowmZa20,sacks,0.0,,,,,
player,201312150cle,chi,BowmZa20,tackles_combined,1,,,,,
player,201312150cle,chi,BowmZa20,tackles_solo,1,,,,,
player,201312150cle,chi,BowmZa20,tackles_assists,0,,,,,
player,201312150cle,chi,BowmZa20,tackles_loss,0,,,,,
player,201312150cle,chi,BowmZa20,qb_hits,0,,,,,
player,201312150cle,chi,BowmZa20,fumbles_rec,0,,,,,
player,201312150cle,chi,BowmZa20,fumbles_rec_yds,0,,,,,
player,201312150cle,chi,BowmZa20,fumbles_rec_td,0,,,,,
player,201312150cle,chi,BowmZa20,fumbles_forced,0,,,,,
player,201312150cle,chi,AndeJa21,def_int,0,,,,,
player,201312150cle,chi,AndeJa21,def_int_yds,0,,,,,
player,201312150cle,chi,AndeJa21,def_int_td,0,,,,,
player,201312150cle,chi,AndeJa21,def_int_long,0,,,,,
player,201312150cle,chi,AndeJa21,pass_defended,0,,,,,
player,201312150cle,chi,AndeJa21,sacks,0.0,,,,,
player,201312150cle,chi,AndeJa21,tackles_combined,11,,,,,
player,201312150cle,chi,AndeJa21,tackles_solo,11,,,,,
player,201312150cle,chi,AndeJa21,tackles_assists,0,,,,,
player,201312150cle,chi,AndeJa21,tackles_loss,0,,,,,
player,201312150cle,chi,AndeJa21,qb_hits,1,,,,,
player,201312150cle,chi,AndeJa21,fumbles_rec,0,,,,,
player,201312150cle,chi,AndeJa21,fumbles_rec_yds,0,,,,,
player,201312150cle,chi,AndeJa21,fumbles_rec_td,0,,,,,
player,201312150cle,chi,AndeJa21,fumbles_forced,0,,,,,
player,201312150cle,chi,BostJo00,def_int,0,,,,,
player,201312150cle,chi,BostJo00,def_int_yds,0,,,,,
player,201312150cle,chi,BostJo00,def_int_td,0,,,,,
player,201312150cle,chi,BostJo00,def_int_long,0,,,,,
player,201312150cle,chi,BostJo00,pass_defended,0,,,,,
player,201312150cle,chi,BostJo00,sacks,0.0,,,,,
player,201312150cle,chi,BostJo00,tackles_combined,5,,,,,
player,201312150cle,chi,BostJo00,tackles_solo,5,,,,,
player,201312150cle,chi,BostJo00,tackles_assists,0,,,,,
player,201312150cle,chi,BostJo00,tackles_loss,1,,,,,
player,201312150cle,chi,BostJo00,qb_hits,0,,,,,
player,201312150cle,chi,BostJo00,fumbles_rec,0,,,,,
player,201312150cle,chi,BostJo00,fumbles_rec_yds,0,,,,,
player,201312150cle,chi,BostJo00,fumbles_rec_td,0,,,,,
player,201312150cle,chi,BostJo00,fumbles_forced,0,,,,,
player,201312150cle,chi,JennTi20,def_int,0,,,,,
player,201312150cle,chi,JennTi20,def_int_yds,0,,,,,
player,201312150cle,chi,JennTi20,def_int_td,0,,,,,
player,201312150cle,chi,JennTi20,def_int_long,0,,,,,
player,201312150cle,chi,JennTi20,pass_defended,1,,,,,
player,201312150cle,chi,JennTi20,sacks,0.0,,,,,
player,201312150cle,chi,JennTi20,tackles_combined,5,,,,,
player,201312150cle,chi,JennTi20,tackles_solo,5,,,,,
player,201312150cle,chi,JennTi20,tackles_assists,0,,,,,
player,201312150cle,chi,JennTi20,tackles_loss,0,,,,,
player,201312150cle,chi,JennTi20,qb_hits,0,,,,,
player,201312150cle,chi,JennTi20,fumbles_rec,0,,,,,
player,201312150cle,chi,JennTi20,fumbles_rec_yds,0,,,,,
player,201312150cle,chi,JennTi20,fumbles_rec_td,0,,,,,
player,201312150cle,chi,JennTi20,fumbles_forced,0,,,,,
player,201312150cle,chi,WrigMa99,def_int,0,,,,,
player,201312150cle,chi,WrigMa99,def_int_yds,0,,,,,
player,201312150cle,chi,WrigMa99,def_int_td,0,,,,,
player,201312150cle,chi,WrigMa99,def_int_long,0,,,,,
player,201312150cle,chi,WrigMa99,pass_defended,0,,,,,
player,201312150cle,chi,WrigMa99,sacks,0.0,,,,,
player,201312150cle,chi,WrigMa99,tackles_combined,5,,,,,
player,201312150cle,chi,WrigMa99,tackles_solo,4,,,,,
player,201312150cle,chi,WrigMa99,tackles_assists,1,,,,,
player,201312150cle,chi,WrigMa99,tackles_loss,0,,,,,
player,201312150cle,chi,WrigMa99,qb_hits,0,,,,,
player,201312150cle,chi,WrigMa99,fumbles_rec,0,,,,,
player,201312150cle,chi,WrigMa99,fumbles_rec_yds,0,,,,,
player,201312150cle,chi,WrigMa99,fumbles_rec_td,0,,,,,
player,201312150cle,chi,WrigMa99,fumbles_forced,0,,,,,
player,201312150cle,chi,ContCh00,def_int,0,,,,,
player,201312150cle,chi,ContCh00,def_int_yds,0,,,,,
player,201312150cle,chi,ContCh00,def_int_td,0,,,,,
player,201312150cle,chi,ContCh00,def_int_long,0,,,,,
player,201312150cle,chi,ContCh00,pass_defended,1,,,,,
player,201312150cle,chi,ContCh00,sacks,0.0,,,,,
player,201312150cle,chi,ContCh00,tackles_combined,4,,,,,
player,201312150cle,chi,ContCh00,tackles_solo,2,,,,,
player,201312150cle,chi,ContCh00,tackles_assists,2,,,,,
player,201312150cle,chi,ContCh00,tackles_loss,0,,,,,
player,201312150cle,chi,ContCh00,qb_hits,0,,,,,
player,201312150cle,chi,ContCh00,fumbles_rec,0,,,,,
player,201312150cle,chi,ContCh00,fumbles_rec_yds,0,,,,,
player,201312150cle,chi,ContCh00,fumbles_rec_td,0,,,,,
player,201312150cle,chi,ContCh00,fumbles_forced,0,,,,,
player,201312150cle,chi,GreeKh00,def_int,0,,,,,
player,201312150cle,chi,GreeKh00,def_int_yds,0,,,,,
player,201312150cle,chi,GreeKh00,def_int_td,0,,,,,
player,201312150cle,chi,GreeKh00,def_int_long,0,,,,,
