game,2013,14,20131208,201312080den,oti,"Tennessee Titans",28,den,"Denver Broncos",51
player,201312080den,oti,PresMi00,pass_rating,,,,,,
player,201312080den,oti,PresMi00,rush_att,0,,,,,
player,201312080den,oti,PresMi00,rush_yds,0,,,,,
player,201312080den,oti,PresMi00,rush_td,0,,,,,
player,201312080den,oti,PresMi00,rush_long,0,,,,,
player,201312080den,oti,PresMi00,targets,1,,,,,
player,201312080den,oti,PresMi00,rec,1,,,,,
player,201312080den,oti,PresMi00,rec_yds,6,,,,,
player,201312080den,oti,PresMi00,rec_td,0,,,,,
player,201312080den,oti,PresMi00,rec_long,6,,,,,
player,201312080den,oti,PresMi00,fumbles,0,,,,,
player,201312080den,oti,PresMi00,fumbles_lost,0,,,,,
player,201312080den,oti,ShiaVi00,pass_cmp,0,,,,,
player,201312080den,oti,ShiaVi00,pass_att,0,,,,,
player,201312080den,oti,ShiaVi00,pass_yds,0,,,,,
player,201312080den,oti,ShiaVi00,pass_td,0,,,,,
player,201312080den,oti,ShiaVi00,pass_int,0,,,,,
player,201312080den,oti,ShiaVi00,pass_sacked,0,,,,,
player,201312080den,oti,ShiaVi00,pass_sacked_yds,0,,,,,
player,201312080den,oti,ShiaVi00,pass_long,0,,,,,
player,201312080den,oti,ShiaVi00,pass_rating,,,,,,
player,201312080den,oti,ShiaVi00,rush_att,0,,,,,
player,201312080den,oti,ShiaVi00,rush_yds,0,,,,,
player,201312080den,oti,ShiaVi00,rush_td,0,,,,,
player,201312080den,oti,ShiaVi00,rush_long,0,,,,,
player,201312080den,oti,ShiaVi00,targets,2,,,,,
player,201312080den,oti,ShiaVi00,rec,2,,,,,
player,201312080den,oti,ShiaVi00,rec_yds,2,,,,,
player,201312080den,oti,ShiaVi00,rec_td,0,,,,,
player,201312080den,oti,ShiaVi00,rec_long,3,,,,,
player,201312080den,oti,ShiaVi00,fumbles,0,,,,,
player,201312080den,oti,ShiaVi00,fumbles_lost,0,,,,,
player,201312080den,oti,ThomTa00,pass_cmp,0,,,,,
player,201312080den,oti,ThomTa00,pass_att,0,,,,,
player,201312080den,oti,ThomTa00,pass_yds,0,,,,,
player,201312080den,oti,ThomTa00,pass_td,0,,,,,
player,201312080den,oti,ThomTa00,pass_int,0,,,,,
player,201312080den,oti,ThomTa00,pass_sacked,0,,,,,
player,201312080den,oti,ThomTa00,pass_sacked_yds,0,,,,,
player,201312080den,oti,ThomTa00,pass_long,0,,,,,
player,201312080den,oti,ThomTa00,pass_rating,,,,,,
player,201312080den,oti,ThomTa00,rush_att,0,,,,,
