game,2013,2,20130915,201309150tam,nor,"New Orleans Saints",16,tam,"Tampa Bay Buccaneers",14
player,201309150tam,tam,MartDo00,pass_rating,,,,,,
player,201309150tam,tam,MartDo00,rush_att,29,,,,,
player,201309150tam,tam,MartDo00,rush_yds,144,,,,,
player,201309150tam,tam,MartDo00,rush_td,0,,,,,
player,201309150tam,tam,MartDo00,rush_long,28,,,,,
player,201309150tam,tam,MartDo00,targets,1,,,,,
player,201309150tam,tam,MartDo00,rec,0,,,,,
player,201309150tam,tam,MartDo00,rec_yds,0,,,,,
player,201309150tam,tam,MartDo00,rec_td,0,,,,,
player,201309150tam,tam,MartDo00,rec_long,0,,,,,
player,201309150tam,tam,MartDo00,fumbles,0,,,,,
player,201309150tam,tam,MartDo00,fumbles_lost,0,,,,,
player,201309150tam,tam,JackVi00,pass_cmp,0,,,,,
player,201309150tam,tam,JackVi00,pass_att,0,,,,,
player,201309150tam,tam,JackVi00,pass_yds,0,,,,,
player,201309150tam,tam,JackVi00,pass_td,0,,,,,
player,201309150tam,tam,JackVi00,pass_int,0,,,,,
player,201309150tam,tam,JackVi00,pass_sacked,0,,,,,
player,201309150tam,tam,JackVi00,pass_sacked_yds,0,,,,,
player,201309150tam,tam,JackVi00,pass_long,0,,,,,
player,201309150tam,tam,JackVi00,pass_rating,,,,,,
player,201309150tam,tam,JackVi00,rush_att,0,,,,,
player,201309150tam,tam,JackVi00,rush_yds,0,,,,,
player,201309150tam,tam,JackVi00,rush_td,0,,,,,
player,201309150tam,tam,JackVi00,rush_long,0,,,,,
player,201309150tam,tam,JackVi00,targets,11,,,,,
player,201309150tam,tam,JackVi00,rec,5,,,,,
player,201309150tam,tam,JackVi00,rec_yds,77,,,,,
player,201309150tam,tam,JackVi00,rec_td,0,,,,,
player,201309150tam,tam,JackVi00,rec_long,22,,,,,
player,201309150tam,tam,JackVi00,fumbles,0,,,,,
player,201309150tam,tam,JackVi00,fumbles_lost,0,,,,,
player,201309150tam,tam,ByhaNa00,pass_cmp,0,,,,,
player,201309150tam,tam,ByhaNa00,pass_att,0,,,,,
player,201309150tam,tam,ByhaNa00,pass_yds,0,,,,,
player,201309150tam,tam,ByhaNa00,pass_td,0,,,,,
player,201309150tam,tam,ByhaNa00,pass_int,0,,,,,
player,201309150tam,tam,ByhaNa00,pass_sacked,0,,,,,
player,201309150tam,tam,ByhaNa00,pass_sacked_yds,0,,,,,
player,201309150tam,tam,ByhaNa00,pass_long,0,,,,,
player,201309150tam,tam,ByhaNa00,pass_rating,,,,,,
player,201309150tam,tam,ByhaNa00,rush_att,0,,,,,
player,201309150tam,tam,ByhaNa00,rush_yds,0,,,,,
player,201309150tam,tam,ByhaNa00,rush_td,0,,,,,
player,201309150tam,tam,ByhaNa00,rush_long,0,,,,,
player,201309150tam,tam,ByhaNa00,targets,1,,,,,
player,201309150tam,tam,ByhaNa00,rec,1,,,,,
player,201309150tam,tam,ByhaNa00,rec_yds,34,,,,,
player,201309150tam,tam,ByhaNa00,rec_td,0,,,,,
player,201309150tam,tam,ByhaNa00,rec_long,34,,,,,
player,201309150tam,tam,ByhaNa00,fumbles,0,,,,,
player,201309150tam,tam,ByhaNa00,fumbles_lost,0,,,,,
player,201309150tam,tam,WillMi04,pass_cmp,0,,,,,
player,201309150tam,tam,WillMi04,pass_att,0,,,,,
player,201309150tam,tam,WillMi04,pass_yds,0,,,,,
player,201309150tam,tam,WillMi04,pass_td,0,,,,,
player,201309150tam,tam,WillMi04,pass_int,0,,,,,
player,201309150tam,tam,WillMi04,pass_sacked,0,,,,,
player,201309150tam,tam,WillMi04,pass_sacked_yds,0,,,,,
player,201309150tam,tam,WillMi04,pass_long,0,,,,,
player,201309150tam,tam,WillMi04,pass_rating,,,,,,
player,201309150tam,tam,WillMi04,rush_att,0,,,,,
player,201309150tam,tam,WillMi04,rush_yds,0,,,,,
player,201309150tam,tam,WillMi04,rush_td,0,,,,,
player,201309150tam,tam,WillMi04,rush_long,0,,,,,
player,201309150tam,tam,WillMi04,targets,6,,,,,
player,201309150tam,tam,WillMi04,rec,2,,,,,
player,201309150tam,tam,WillMi04,rec_yds,9,,,,,
player,201309150tam,tam,WillMi04,rec_td,0,,,,,
player,201309150tam,tam,WillMi04,rec_long,6,,,,,
player,201309150tam,tam,WillMi04,fumbles,0,,,,,
player,201309150tam,tam,WillMi04,fumbles_lost,0,,,,,
player,201309150tam,tam,OgleKe00,pass_cmp,0,,,,,
player,201309150tam,tam,OgleKe00,pass_att,0,,,,,
player,201309150tam,tam,OgleKe00,pass_yds,0,,,,,
player,201309150tam,tam,OgleKe00,pass_td,0,,,,,
