game,2013,5,20131006,201310060chi,nor,"New Orleans Saints",26,chi,"Chicago Bears",18
player,201310060chi,nor,GrahJi00,pass_cmp,0,,,,,
player,201310060chi,nor,GrahJi00,pass_att,0,,,,,
player,201310060chi,nor,GrahJi00,pass_yds,0,,,,,
player,201310060chi,nor,GrahJi00,pass_td,0,,,,,
player,201310060chi,nor,GrahJi00,pass_int,0,,,,,
player,201310060chi,nor,GrahJi00,pass_sacked,0,,,,,
player,201310060chi,nor,GrahJi00,pass_sacked_yds,0,,,,,
player,201310060chi,nor,GrahJi00,pass_long,0,,,,,
player,201310060chi,nor,GrahJi00,pass_rating,,,,,,
player,201310060chi,nor,GrahJi00,rush_att,0,,,,,
player,201310060chi,nor,GrahJi00,rush_yds,0,,,,,
player,201310060chi,nor,GrahJi00,rush_td,0,,,,,
player,201310060chi,nor,GrahJi00,rush_long,0,,,,,
player,201310060chi,nor,GrahJi00,targets,11,,,,,
player,201310060chi,nor,GrahJi00,rec,10,,,,,
player,201310060chi,nor,GrahJi00,rec_yds,135,,,,,
player,201310060chi,nor,GrahJi00,rec_td,0,,,,,
player,201310060chi,nor,GrahJi00,rec_long,38,,,,,
player,201310060chi,nor,GrahJi00,fumbles,0,,,,,
player,201310060chi,nor,GrahJi00,fumbles_lost,0,,,,,
player,201310060chi,nor,ToonNi00,pass_cmp,0,,,,,
player,201310060chi,nor,ToonNi00,pass_att,0,,,,,
player,201310060chi,nor,ToonNi00,pass_yds,0,,,,,
player,201310060chi,nor,ToonNi00,pass_td,0,,,,,
player,201310060chi,nor,ToonNi00,pass_int,0,,,,,
player,201310060chi,nor,ToonNi00,pass_sacked,0,,,,,
player,201310060chi,nor,ToonNi00,pass_sacked_yds,0,,,,,
player,201310060chi,nor,ToonNi00,pass_long,0,,,,,
player,201310060chi,nor,ToonNi00,pass_rating,,,,,,
player,201310060chi,nor,ToonNi00,rush_att,0,,,,,
player,201310060chi,nor,ToonNi00,rush_yds,0,,,,,
player,201310060chi,nor,ToonNi00,rush_td,0,,,,,
player,201310060chi,nor,ToonNi00,rush_long,0,,,,,
player,201310060chi,nor,ToonNi00,targets,1,,,,,
player,201310060chi,nor,ToonNi00,rec,1,,,,,
player,201310060chi,nor,ToonNi00,rec_yds,35,,,,,
player,201310060chi,nor,ToonNi00,rec_td,0,,,,,
player,201310060chi,nor,ToonNi00,rec_long,35,,,,,
player,201310060chi,nor,ToonNi00,fumbles,0,,,,,
player,201310060chi,nor,ToonNi00,fumbles_lost,0,,,,,
player,201310060chi,nor,ColsMa00,pass_cmp,0,,,,,
player,201310060chi,nor,ColsMa00,pass_att,0,,,,,
player,201310060chi,nor,ColsMa00,pass_yds,0,,,,,
player,201310060chi,nor,ColsMa00,pass_td,0,,,,,
player,201310060chi,nor,ColsMa00,pass_int,0,,,,,
player,201310060chi,nor,ColsMa00,pass_sacked,0,,,,,
player,201310060chi,nor,ColsMa00,pass_sacked_yds,0,,,,,
player,201310060chi,nor,ColsMa00,pass_long,0,,,,,
player,201310060chi,nor,ColsMa00,pass_rating,,,,,,
player,201310060chi,nor,ColsMa00,rush_att,0,,,,,
player,201310060chi,nor,ColsMa00,rush_yds,0,,,,,
player,201310060chi,nor,ColsMa00,rush_td,0,,,,,
player,201310060chi,nor,ColsMa00,rush_long,0,,,,,
player,201310060chi,nor,ColsMa00,targets,2,,,,,
player,201310060chi,nor,ColsMa00,rec,2,,,,,
player,201310060chi,nor,ColsMa00,rec_yds,15,,,,,
player,201310060chi,nor,ColsMa00,rec_td,0,,,,,
player,201310060chi,nor,ColsMa00,rec_long,9,,,,,
player,201310060chi,nor,ColsMa00,fumbles,0,,,,,
player,201310060chi,nor,ColsMa00,fumbles_lost,0,,,,,
player,201310060chi,nor,MeacRo00,pass_cmp,0,,,,,
player,201310060chi,nor,MeacRo00,pass_att,0,,,,,
player,201310060chi,nor,MeacRo00,pass_yds,0,,,,,
player,201310060chi,nor,MeacRo00,pass_td,0,,,,,
player,201310060chi,nor,MeacRo00,pass_int,0,,,,,
player,201310060chi,nor,MeacRo00,pass_sacked,0,,,,,
player,201310060chi,nor,MeacRo00,pass_sacked_yds,0,,,,,
player,201310060chi,nor,MeacRo00,pass_long,0,,,,,
player,201310060chi,nor,MeacRo00,pass_rating,,,,,,
player,201310060chi,nor,MeacRo00,rush_att,0,,,,,
player,201310060chi,nor,MeacRo00,rush_yds,0,,,,,
player,201310060chi,nor,MeacRo00,rush_td,0,,,,,
player,201310060chi,nor,MeacRo00,rush_long,0,,,,,
player,201310060chi,nor,MeacRo00,targets,1,,,,,
player,201310060chi,nor,MeacRo00,rec,0,,,,,
player,201310060chi,nor,MeacRo00,rec_yds,0,,,,,
player,201310060chi,nor,MeacRo00,rec_td,0,,,,,
player,201310060chi,nor,MeacRo00,rec_long,0,,,,,
player,201310060chi,nor,MeacRo00,fumbles,0,,,,,
player,201310060chi,nor,MeacRo00,fumbles_lost,0,,,,,
player,201310060chi,nor,StilKe00,pass_cmp,0,,,,,
player,201310060chi,nor,StilKe00,pass_att,0,,,,,
player,201310060chi,nor,StilKe00,pass_yds,0,,,,,
player,201310060chi,nor,StilKe00,pass_td,0,,,,,
player,201310060chi,nor,StilKe00,pass_int,0,,,,,
player,201310060chi,nor,StilKe00,pass_sacked,0,,,,,
player,201310060chi,nor,StilKe00,pass_sacked_yds,0,,,,,
player,201310060chi,nor,StilKe00,pass_long,0,,,,,
player,201310060chi,nor,StilKe00,pass_rating,,,,,,
player,201310060chi,nor,StilKe00,rush_att,0,,,,,
player,201310060chi,nor,StilKe00,rush_yds,0,,,,,
player,201310060chi,nor,StilKe00,rush_td,0,,,,,
player,201310060chi,nor,StilKe00,rush_long,0,,,,,
player,201310060chi,nor,StilKe00,targets,2,,,,,
player,201310060chi,nor,StilKe00,rec,0,,,,,
player,201310060chi,nor,StilKe00,rec_yds,0,,,,,
player,201310060chi,nor,StilKe00,rec_td,0,,,,,
player,201310060chi,nor,StilKe00,rec_long,0,,,,,
player,201310060chi,nor,StilKe00,fumbles,0,,,,,
player,201310060chi,nor,StilKe00,fumbles_lost,0,,,,,
player,201310060chi,nor,WatsBe00,pass_cmp,0,,,,,
player,201310060chi,nor,WatsBe00,pass_att,0,,,,,
player,201310060chi,nor,WatsBe00,pass_yds,0,,,,,
player,201310060chi,nor,WatsBe00,pass_td,0,,,,,
player,201310060chi,nor,WatsBe00,pass_int,0,,,,,
player,201310060chi,nor,WatsBe00,pass_sacked,0,,,,,
player,201310060chi,nor,WatsBe00,pass_sacked_yds,0,,,,,
player,201310060chi,nor,WatsBe00,pass_long,0,,,,,
player,201310060chi,nor,WatsBe00,pass_rating,,,,,,
player,201310060chi,nor,WatsBe00,rush_att,0,,,,,
player,201310060chi,nor,WatsBe00,rush_yds,0,,,,,
player,201310060chi,nor,WatsBe00,rush_td,0,,,,,
player,201310060chi,nor,WatsBe00,rush_long,0,,,,,
player,201310060chi,nor,WatsBe00,targets,1,,,,,
player,201310060chi,nor,WatsBe00,rec,0,,,,,
player,201310060chi,nor,WatsBe00,rec_yds,0,,,,,
player,201310060chi,nor,WatsBe00,rec_td,0,,,,,
player,201310060chi,nor,WatsBe00,rec_long,0,,,,,
player,201310060chi,nor,WatsBe00,fumbles,0,,,,,
player,201310060chi,nor,WatsBe00,fumbles_lost,0,,,,,
player,201310060chi,chi,CutlJa00,pass_cmp,24,,,,,
player,201310060chi,chi,CutlJa00,pass_att,33,,,,,
player,201310060chi,chi,CutlJa00,pass_yds,358,,,,,
player,201310060chi,chi,CutlJa00,pass_td,2,,,,,
player,201310060chi,chi,CutlJa00,pass_int,0,,,,,
player,201310060chi,chi,CutlJa00,pass_sacked,3,,,,,
player,201310060chi,chi,CutlJa00,pass_sacked_yds,18,,,,,
player,201310060chi,chi,CutlJa00,pass_long,58,,,,,
player,201310060chi,chi,CutlJa00,pass_rating,128.1,,,,,
player,201310060chi,chi,CutlJa00,rush_att,4,,,,,
player,201310060chi,chi,CutlJa00,rush_yds,27,,,,,
player,201310060chi,chi,CutlJa00,rush_td,0,,,,,
player,201310060chi,chi,CutlJa00,rush_long,12,,,,,
player,201310060chi,chi,CutlJa00,targets,0,,,,,
player,201310060chi,chi,CutlJa00,rec,0,,,,,
player,201310060chi,chi,CutlJa00,rec_yds,0,,,,,
player,201310060chi,chi,CutlJa00,rec_td,0,,,,,
player,201310060chi,chi,CutlJa00,rec_long,0,,,,,
player,201310060chi,chi,CutlJa00,fumbles,2,,,,,
player,201310060chi,chi,CutlJa00,fumbles_lost,1,,,,,
player,201310060chi,chi,FortMa00,pass_cmp,0,,,,,
player,201310060chi,chi,FortMa00,pass_att,0,,,,,
player,201310060chi,chi,FortMa00,pass_yds,0,,,,,
player,201310060chi,chi,FortMa00,pass_td,0,,,,,
player,201310060chi,chi,FortMa00,pass_int,0,,,,,
player,201310060chi,chi,FortMa00,pass_sacked,0,,,,,
player,201310060chi,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201310060chi,chi,FortMa00,pass_long,0,,,,,
player,201310060chi,chi,FortMa00,pass_rating,,,,,,
player,201310060chi,chi,FortMa00,rush_att,12,,,,,
player,201310060chi,chi,FortMa00,rush_yds,55,,,,,
player,201310060chi,chi,FortMa00,rush_td,0,,,,,
player,201310060chi,chi,FortMa00,rush_long,14,,,,,
player,201310060chi,chi,FortMa00,targets,6,,,,,
player,201310060chi,chi,FortMa00,rec,4,,,,,
player,201310060chi,chi,FortMa00,rec_yds,40,,,,,
player,201310060chi,chi,FortMa00,rec_td,0,,,,,
player,201310060chi,chi,FortMa00,rec_long,15,,,,,
player,201310060chi,chi,FortMa00,fumbles,0,,,,,
player,201310060chi,chi,FortMa00,fumbles_lost,0,,,,,
player,201310060chi,chi,BushMi00,pass_cmp,0,,,,,
player,201310060chi,chi,BushMi00,pass_att,0,,,,,
player,201310060chi,chi,BushMi00,pass_yds,0,,,,,
player,201310060chi,chi,BushMi00,pass_td,0,,,,,
player,201310060chi,chi,BushMi00,pass_int,0,,,,,
player,201310060chi,chi,BushMi00,pass_sacked,0,,,,,
player,201310060chi,chi,BushMi00,pass_sacked_yds,0,,,,,
player,201310060chi,chi,BushMi00,pass_long,0,,,,,
player,201310060chi,chi,BushMi00,pass_rating,,,,,,
player,201310060chi,chi,BushMi00,rush_att,2,,,,,
player,201310060chi,chi,BushMi00,rush_yds,12,,,,,
player,201310060chi,chi,BushMi00,rush_td,0,,,,,
player,201310060chi,chi,BushMi00,rush_long,7,,,,,
player,201310060chi,chi,BushMi00,targets,0,,,,,
player,201310060chi,chi,BushMi00,rec,0,,,,,
player,201310060chi,chi,BushMi00,rec_yds,0,,,,,
player,201310060chi,chi,BushMi00,rec_td,0,,,,,
player,201310060chi,chi,BushMi00,rec_long,0,,,,,
player,201310060chi,chi,BushMi00,fumbles,0,,,,,
player,201310060chi,chi,BushMi00,fumbles_lost,0,,,,,
player,201310060chi,chi,JeffAl00,pass_cmp,0,,,,,
player,201310060chi,chi,JeffAl00,pass_att,0,,,,,
player,201310060chi,chi,JeffAl00,pass_yds,0,,,,,
player,201310060chi,chi,JeffAl00,pass_td,0,,,,,
player,201310060chi,chi,JeffAl00,pass_int,0,,,,,
player,201310060chi,chi,JeffAl00,pass_sacked,0,,,,,
player,201310060chi,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201310060chi,chi,JeffAl00,pass_long,0,,,,,
player,201310060chi,chi,JeffAl00,pass_rating,,,,,,
player,201310060chi,chi,JeffAl00,rush_att,0,,,,,
player,201310060chi,chi,JeffAl00,rush_yds,0,,,,,
player,201310060chi,chi,JeffAl00,rush_td,0,,,,,
player,201310060chi,chi,JeffAl00,rush_long,0,,,,,
player,201310060chi,chi,JeffAl00,targets,13,,,,,
player,201310060chi,chi,JeffAl00,rec,10,,,,,
player,201310060chi,chi,JeffAl00,rec_yds,218,,,,,
player,201310060chi,chi,JeffAl00,rec_td,1,,,,,
player,201310060chi,chi,JeffAl00,rec_long,58,,,,,
player,201310060chi,chi,JeffAl00,fumbles,0,,,,,
player,201310060chi,chi,JeffAl00,fumbles_lost,0,,,,,
player,201310060chi,chi,BennMa00,pass_cmp,0,,,,,
player,201310060chi,chi,BennMa00,pass_att,0,,,,,
player,201310060chi,chi,BennMa00,pass_yds,0,,,,,
player,201310060chi,chi,BennMa00,pass_td,0,,,,,
player,201310060chi,chi,BennMa00,pass_int,0,,,,,
player,201310060chi,chi,BennMa00,pass_sacked,0,,,,,
player,201310060chi,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201310060chi,chi,BennMa00,pass_long,0,,,,,
player,201310060chi,chi,BennMa00,pass_rating,,,,,,
player,201310060chi,chi,BennMa00,rush_att,0,,,,,
player,201310060chi,chi,BennMa00,rush_yds,0,,,,,
player,201310060chi,chi,BennMa00,rush_td,0,,,,,
player,201310060chi,chi,BennMa00,rush_long,0,,,,,
player,201310060chi,chi,BennMa00,targets,5,,,,,
player,201310060chi,chi,BennMa00,rec,5,,,,,
player,201310060chi,chi,BennMa00,rec_yds,56,,,,,
player,201310060chi,chi,BennMa00,rec_td,0,,,,,
player,201310060chi,chi,BennMa00,rec_long,18,,,,,
player,201310060chi,chi,BennMa00,fumbles,0,,,,,
player,201310060chi,chi,BennMa00,fumbles_lost,0,,,,,
player,201310060chi,chi,MarsBr00,pass_cmp,0,,,,,
player,201310060chi,chi,MarsBr00,pass_att,0,,,,,
player,201310060chi,chi,MarsBr00,pass_yds,0,,,,,
player,201310060chi,chi,MarsBr00,pass_td,0,,,,,
player,201310060chi,chi,MarsBr00,pass_int,0,,,,,
player,201310060chi,chi,MarsBr00,pass_sacked,0,,,,,
player,201310060chi,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201310060chi,chi,MarsBr00,pass_long,0,,,,,
player,201310060chi,chi,MarsBr00,pass_rating,,,,,,
player,201310060chi,chi,MarsBr00,rush_att,0,,,,,
player,201310060chi,chi,MarsBr00,rush_yds,0,,,,,
player,201310060chi,chi,MarsBr00,rush_td,0,,,,,
player,201310060chi,chi,MarsBr00,rush_long,0,,,,,
player,201310060chi,chi,MarsBr00,targets,5,,,,,
player,201310060chi,chi,MarsBr00,rec,4,,,,,
player,201310060chi,chi,MarsBr00,rec_yds,30,,,,,
player,201310060chi,chi,MarsBr00,rec_td,1,,,,,
player,201310060chi,chi,MarsBr00,rec_long,12,,,,,
player,201310060chi,chi,MarsBr00,fumbles,0,,,,,
player,201310060chi,chi,MarsBr00,fumbles_lost,0,,,,,
player,201310060chi,chi,BennEa00,pass_cmp,0,,,,,
player,201310060chi,chi,BennEa00,pass_att,0,,,,,
player,201310060chi,chi,BennEa00,pass_yds,0,,,,,
player,201310060chi,chi,BennEa00,pass_td,0,,,,,
player,201310060chi,chi,BennEa00,pass_int,0,,,,,
player,201310060chi,chi,BennEa00,pass_sacked,0,,,,,
player,201310060chi,chi,BennEa00,pass_sacked_yds,0,,,,,
player,201310060chi,chi,BennEa00,pass_long,0,,,,,
player,201310060chi,chi,BennEa00,pass_rating,,,,,,
player,201310060chi,chi,BennEa00,rush_att,0,,,,,
player,201310060chi,chi,BennEa00,rush_yds,0,,,,,
player,201310060chi,chi,BennEa00,rush_td,0,,,,,
player,201310060chi,chi,BennEa00,rush_long,0,,,,,
player,201310060chi,chi,BennEa00,targets,3,,,,,
player,201310060chi,chi,BennEa00,rec,1,,,,,
player,201310060chi,chi,BennEa00,rec_yds,14,,,,,
player,201310060chi,chi,BennEa00,rec_td,0,,,,,
player,201310060chi,chi,BennEa00,rec_long,14,,,,,
player,201310060chi,chi,BennEa00,fumbles,0,,,,,
player,201310060chi,chi,BennEa00,fumbles_lost,0,,,,,
player,201310060chi,chi,RosaDa00,pass_cmp,0,,,,,
player,201310060chi,chi,RosaDa00,pass_att,0,,,,,
player,201310060chi,chi,RosaDa00,pass_yds,0,,,,,
player,201310060chi,chi,RosaDa00,pass_td,0,,,,,
player,201310060chi,chi,RosaDa00,pass_int,0,,,,,
player,201310060chi,chi,RosaDa00,pass_sacked,0,,,,,
player,201310060chi,chi,RosaDa00,pass_sacked_yds,0,,,,,
player,201310060chi,chi,RosaDa00,pass_long,0,,,,,
player,201310060chi,chi,RosaDa00,pass_rating,,,,,,
player,201310060chi,chi,RosaDa00,rush_att,0,,,,,
player,201310060chi,chi,RosaDa00,rush_yds,0,,,,,
player,201310060chi,chi,RosaDa00,rush_td,0,,,,,
player,201310060chi,chi,RosaDa00,rush_long,0,,,,,
player,201310060chi,chi,RosaDa00,targets,1,,,,,
player,201310060chi,chi,RosaDa00,rec,0,,,,,
player,201310060chi,chi,RosaDa00,rec_yds,0,,,,,
player,201310060chi,chi,RosaDa00,rec_td,0,,,,,
player,201310060chi,chi,RosaDa00,rec_long,0,,,,,
player,201310060chi,chi,RosaDa00,fumbles,0,,,,,
player,201310060chi,chi,RosaDa00,fumbles_lost,0,,,,,
player,201310060chi,nor,VaccKe00,def_int,0,,,,,
player,201310060chi,nor,VaccKe00,def_int_yds,0,,,,,
player,201310060chi,nor,VaccKe00,def_int_td,0,,,,,
player,201310060chi,nor,VaccKe00,def_int_long,0,,,,,
player,201310060chi,nor,VaccKe00,pass_defended,1,,,,,
player,201310060chi,nor,VaccKe00,sacks,1.0,,,,,
player,201310060chi,nor,VaccKe00,tackles_combined,6,,,,,
player,201310060chi,nor,VaccKe00,tackles_solo,6,,,,,
player,201310060chi,nor,VaccKe00,tackles_assists,0,,,,,
player,201310060chi,nor,VaccKe00,tackles_loss,1,,,,,
player,201310060chi,nor,VaccKe00,qb_hits,1,,,,,
player,201310060chi,nor,VaccKe00,fumbles_rec,0,,,,,
player,201310060chi,nor,VaccKe00,fumbles_rec_yds,0,,,,,
player,201310060chi,nor,VaccKe00,fumbles_rec_td,0,,,,,
player,201310060chi,nor,VaccKe00,fumbles_forced,0,,,,,
player,201310060chi,nor,HawtDa20,def_int,0,,,,,
player,201310060chi,nor,HawtDa20,def_int_yds,0,,,,,
player,201310060chi,nor,HawtDa20,def_int_td,0,,,,,
player,201310060chi,nor,HawtDa20,def_int_long,0,,,,,
player,201310060chi,nor,HawtDa20,pass_defended,0,,,,,
player,201310060chi,nor,HawtDa20,sacks,1.0,,,,,
player,201310060chi,nor,HawtDa20,tackles_combined,5,,,,,
player,201310060chi,nor,HawtDa20,tackles_solo,5,,,,,
player,201310060chi,nor,HawtDa20,tackles_assists,0,,,,,
player,201310060chi,nor,HawtDa20,tackles_loss,2,,,,,
player,201310060chi,nor,HawtDa20,qb_hits,1,,,,,
player,201310060chi,nor,HawtDa20,fumbles_rec,0,,,,,
player,201310060chi,nor,HawtDa20,fumbles_rec_yds,0,,,,,
player,201310060chi,nor,HawtDa20,fumbles_rec_td,0,,,,,
player,201310060chi,nor,HawtDa20,fumbles_forced,0,,,,,
player,201310060chi,nor,JenkMa99,def_int,0,,,,,
player,201310060chi,nor,JenkMa99,def_int_yds,0,,,,,
player,201310060chi,nor,JenkMa99,def_int_td,0,,,,,
player,201310060chi,nor,JenkMa99,def_int_long,0,,,,,
player,201310060chi,nor,JenkMa99,pass_defended,0,,,,,
player,201310060chi,nor,JenkMa99,sacks,1.0,,,,,
player,201310060chi,nor,JenkMa99,tackles_combined,3,,,,,
player,201310060chi,nor,JenkMa99,tackles_solo,3,,,,,
player,201310060chi,nor,JenkMa99,tackles_assists,0,,,,,
player,201310060chi,nor,JenkMa99,tackles_loss,0,,,,,
player,201310060chi,nor,JenkMa99,qb_hits,0,,,,,
player,201310060chi,nor,JenkMa99,fumbles_rec,0,,,,,
player,201310060chi,nor,JenkMa99,fumbles_rec_yds,0,,,,,
player,201310060chi,nor,JenkMa99,fumbles_rec_td,0,,,,,
player,201310060chi,nor,JenkMa99,fumbles_forced,1,,,,,
player,201310060chi,nor,LoftCu99,def_int,0,,,,,
player,201310060chi,nor,LoftCu99,def_int_yds,0,,,,,
player,201310060chi,nor,LoftCu99,def_int_td,0,,,,,
player,201310060chi,nor,LoftCu99,def_int_long,0,,,,,
player,201310060chi,nor,LoftCu99,pass_defended,0,,,,,
player,201310060chi,nor,LoftCu99,sacks,0.0,,,,,
player,201310060chi,nor,LoftCu99,tackles_combined,9,,,,,
player,201310060chi,nor,LoftCu99,tackles_solo,8,,,,,
