game,2013,4,20130929,201309290min,pit,"Pittsburgh Steelers",27,min,"Minnesota Vikings",34
player,201309290min,min,WebbJo00,pass_rating,,,,,,
player,201309290min,min,WebbJo00,rush_att,0,,,,,
player,201309290min,min,WebbJo00,rush_yds,0,,,,,
player,201309290min,min,WebbJo00,rush_td,0,,,,,
player,201309290min,min,WebbJo00,rush_long,0,,,,,
player,201309290min,min,WebbJo00,targets,1,,,,,
player,201309290min,min,WebbJo00,rec,0,,,,,
player,201309290min,min,WebbJo00,rec_yds,0,,,,,
player,201309290min,min,WebbJo00,rec_td,0,,,,,
player,201309290min,min,WebbJo00,rec_long,0,,,,,
player,201309290min,min,WebbJo00,fumbles,0,,,,,
player,201309290min,min,WebbJo00,fumbles_lost,0,,,,,
player,201309290min,pit,WoodLa99,def_int,0,,,,,
player,201309290min,pit,WoodLa99,def_int_yds,0,,,,,
player,201309290min,pit,WoodLa99,def_int_td,0,,,,,
player,201309290min,pit,WoodLa99,def_int_long,0,,,,,
player,201309290min,pit,WoodLa99,pass_defended,0,,,,,
player,201309290min,pit,WoodLa99,sacks,1.0,,,,,
player,201309290min,pit,WoodLa99,tackles_combined,3,,,,,
player,201309290min,pit,WoodLa99,tackles_solo,3,,,,,
player,201309290min,pit,WoodLa99,tackles_assists,0,,,,,
player,201309290min,pit,WoodLa99,tackles_loss,0,,,,,
player,201309290min,pit,WoodLa99,qb_hits,0,,,,,
player,201309290min,pit,WoodLa99,fumbles_rec,0,,,,,
player,201309290min,pit,WoodLa99,fumbles_rec_yds,0,,,,,
player,201309290min,pit,WoodLa99,fumbles_rec_td,0,,,,,
player,201309290min,pit,WoodLa99,fumbles_forced,1,,,,,
player,201309290min,pit,ClarRy20,def_int,0,,,,,
player,201309290min,pit,ClarRy20,def_int_yds,0,,,,,
player,201309290min,pit,ClarRy20,def_int_td,0,,,,,
player,201309290min,pit,ClarRy20,def_int_long,0,,,,,
player,201309290min,pit,ClarRy20,pass_defended,0,,,,,
player,201309290min,pit,ClarRy20,sacks,0.0,,,,,
player,201309290min,pit,ClarRy20,tackles_combined,6,,,,,
player,201309290min,pit,ClarRy20,tackles_solo,5,,,,,
player,201309290min,pit,ClarRy20,tackles_assists,1,,,,,
player,201309290min,pit,ClarRy20,tackles_loss,0,,,,,
player,201309290min,pit,ClarRy20,qb_hits,0,,,,,
player,201309290min,pit,ClarRy20,fumbles_rec,0,,,,,
player,201309290min,pit,ClarRy20,fumbles_rec_yds,0,,,,,
player,201309290min,pit,ClarRy20,fumbles_rec_td,0,,,,,
player,201309290min,pit,ClarRy20,fumbles_forced,0,,,,,
player,201309290min,pit,TimmLa99,def_int,0,,,,,
player,201309290min,pit,TimmLa99,def_int_yds,0,,,,,
player,201309290min,pit,TimmLa99,def_int_td,0,,,,,
player,201309290min,pit,TimmLa99,def_int_long,0,,,,,
player,201309290min,pit,TimmLa99,pass_defended,1,,,,,
player,201309290min,pit,TimmLa99,sacks,0.0,,,,,
player,201309290min,pit,TimmLa99,tackles_combined,6,,,,,
player,201309290min,pit,TimmLa99,tackles_solo,6,,,,,
player,201309290min,pit,TimmLa99,tackles_assists,0,,,,,
player,201309290min,pit,TimmLa99,tackles_loss,0,,,,,
player,201309290min,pit,TimmLa99,qb_hits,0,,,,,
player,201309290min,pit,TimmLa99,fumbles_rec,0,,,,,
player,201309290min,pit,TimmLa99,fumbles_rec_yds,0,,,,,
player,201309290min,pit,TimmLa99,fumbles_rec_td,0,,,,,
player,201309290min,pit,TimmLa99,fumbles_forced,0,,,,,
player,201309290min,pit,TaylIk20,def_int,0,,,,,
player,201309290min,pit,TaylIk20,def_int_yds,0,,,,,
player,201309290min,pit,TaylIk20,def_int_td,0,,,,,
player,201309290min,pit,TaylIk20,def_int_long,0,,,,,
player,201309290min,pit,TaylIk20,pass_defended,2,,,,,
player,201309290min,pit,TaylIk20,sacks,0.0,,,,,
player,201309290min,pit,TaylIk20,tackles_combined,5,,,,,
