game,2013,9,20131103,201311030htx,clt,"Indianapolis Colts",27,htx,"Houston Texans",24
player,201311030htx,clt,HeywDa00,rec_td,0,,,,,
player,201311030htx,clt,HeywDa00,rec_long,11,,,,,
player,201311030htx,clt,HeywDa00,fumbles,0,,,,,
player,201311030htx,clt,HeywDa00,fumbles_lost,0,,,,,
player,201311030htx,clt,BrazLa00,pass_cmp,0,,,,,
player,201311030htx,clt,BrazLa00,pass_att,0,,,,,
player,201311030htx,clt,BrazLa00,pass_yds,0,,,,,
player,201311030htx,clt,BrazLa00,pass_td,0,,,,,
player,201311030htx,clt,BrazLa00,pass_int,0,,,,,
player,201311030htx,clt,BrazLa00,pass_sacked,0,,,,,
player,201311030htx,clt,BrazLa00,pass_sacked_yds,0,,,,,
player,201311030htx,clt,BrazLa00,pass_long,0,,,,,
player,201311030htx,clt,BrazLa00,pass_rating,,,,,,
player,201311030htx,clt,BrazLa00,rush_att,0,,,,,
player,201311030htx,clt,BrazLa00,rush_yds,0,,,,,
player,201311030htx,clt,BrazLa00,rush_td,0,,,,,
player,201311030htx,clt,BrazLa00,rush_long,0,,,,,
player,201311030htx,clt,BrazLa00,targets,2,,,,,
player,201311030htx,clt,BrazLa00,rec,1,,,,,
player,201311030htx,clt,BrazLa00,rec_yds,9,,,,,
player,201311030htx,clt,BrazLa00,rec_td,0,,,,,
player,201311030htx,clt,BrazLa00,rec_long,9,,,,,
player,201311030htx,clt,BrazLa00,fumbles,0,,,,,
player,201311030htx,clt,BrazLa00,fumbles_lost,0,,,,,
player,201311030htx,clt,HaviSt00,pass_cmp,0,,,,,
player,201311030htx,clt,HaviSt00,pass_att,0,,,,,
player,201311030htx,clt,HaviSt00,pass_yds,0,,,,,
player,201311030htx,clt,HaviSt00,pass_td,0,,,,,
player,201311030htx,clt,HaviSt00,pass_int,0,,,,,
player,201311030htx,clt,HaviSt00,pass_sacked,0,,,,,
player,201311030htx,clt,HaviSt00,pass_sacked_yds,0,,,,,
player,201311030htx,clt,HaviSt00,pass_long,0,,,,,
player,201311030htx,clt,HaviSt00,pass_rating,,,,,,
player,201311030htx,clt,HaviSt00,rush_att,0,,,,,
player,201311030htx,clt,HaviSt00,rush_yds,0,,,,,
player,201311030htx,clt,HaviSt00,rush_td,0,,,,,
player,201311030htx,clt,HaviSt00,rush_long,0,,,,,
player,201311030htx,clt,HaviSt00,targets,1,,,,,
player,201311030htx,clt,HaviSt00,rec,1,,,,,
player,201311030htx,clt,HaviSt00,rec_yds,1,,,,,
player,201311030htx,clt,HaviSt00,rec_td,0,,,,,
player,201311030htx,clt,HaviSt00,rec_long,1,,,,,
player,201311030htx,clt,HaviSt00,fumbles,0,,,,,
player,201311030htx,clt,HaviSt00,fumbles_lost,0,,,,,
player,201311030htx,htx,KeenCa00,pass_cmp,20,,,,,
player,201311030htx,htx,KeenCa00,pass_att,34,,,,,
player,201311030htx,htx,KeenCa00,pass_yds,350,,,,,
player,201311030htx,htx,KeenCa00,pass_td,3,,,,,
player,201311030htx,htx,KeenCa00,pass_int,0,,,,,
player,201311030htx,htx,KeenCa00,pass_sacked,1,,,,,
player,201311030htx,htx,KeenCa00,pass_sacked_yds,10,,,,,
player,201311030htx,htx,KeenCa00,pass_long,62,,,,,
player,201311030htx,htx,KeenCa00,pass_rating,123.4,,,,,
player,201311030htx,htx,KeenCa00,rush_att,3,,,,,
player,201311030htx,htx,KeenCa00,rush_yds,26,,,,,
player,201311030htx,htx,KeenCa00,rush_td,0,,,,,
player,201311030htx,htx,KeenCa00,rush_long,22,,,,,
player,201311030htx,htx,KeenCa00,targets,0,,,,,
player,201311030htx,htx,KeenCa00,rec,0,,,,,
player,201311030htx,htx,KeenCa00,rec_yds,0,,,,,
player,201311030htx,htx,KeenCa00,rec_td,0,,,,,
player,201311030htx,htx,KeenCa00,rec_long,0,,,,,
player,201311030htx,htx,KeenCa00,fumbles,0,,,,,
player,201311030htx,htx,KeenCa00,fumbles_lost,0,,,,,
player,201311030htx,htx,TateBe00,pass_cmp,0,,,,,
player,201311030htx,htx,TateBe00,pass_att,0,,,,,
player,201311030htx,htx,TateBe00,pass_yds,0,,,,,
player,201311030htx,htx,TateBe00,pass_td,0,,,,,
player,201311030htx,htx,TateBe00,pass_int,0,,,,,
