game,2013,15,20131215,201312150nyg,sea,"Seattle Seahawks",23,nyg,"New York Giants",0
player,201312150nyg,nyg,PainCu00,pass_td,0,,,,,
player,201312150nyg,nyg,PainCu00,pass_int,0,,,,,
player,201312150nyg,nyg,PainCu00,pass_sacked,1,,,,,
player,201312150nyg,nyg,PainCu00,pass_sacked_yds,6,,,,,
player,201312150nyg,nyg,PainCu00,pass_long,9,,,,,
player,201312150nyg,nyg,PainCu00,pass_rating,97.9,,,,,
player,201312150nyg,nyg,PainCu00,rush_att,0,,,,,
player,201312150nyg,nyg,PainCu00,rush_yds,0,,,,,
player,201312150nyg,nyg,PainCu00,rush_td,0,,,,,
player,201312150nyg,nyg,PainCu00,rush_long,0,,,,,
player,201312150nyg,nyg,PainCu00,targets,0,,,,,
player,201312150nyg,nyg,PainCu00,rec,0,,,,,
player,201312150nyg,nyg,PainCu00,rec_yds,0,,,,,
player,201312150nyg,nyg,PainCu00,rec_td,0,,,,,
player,201312150nyg,nyg,PainCu00,rec_long,0,,,,,
player,201312150nyg,nyg,PainCu00,fumbles,0,,,,,
player,201312150nyg,nyg,PainCu00,fumbles_lost,0,,,,,
player,201312150nyg,nyg,BrowAn03,pass_cmp,0,,,,,
player,201312150nyg,nyg,BrowAn03,pass_att,0,,,,,
player,201312150nyg,nyg,BrowAn03,pass_yds,0,,,,,
player,201312150nyg,nyg,BrowAn03,pass_td,0,,,,,
player,201312150nyg,nyg,BrowAn03,pass_int,0,,,,,
player,201312150nyg,nyg,BrowAn03,pass_sacked,0,,,,,
player,201312150nyg,nyg,BrowAn03,pass_sacked_yds,0,,,,,
player,201312150nyg,nyg,BrowAn03,pass_long,0,,,,,
player,201312150nyg,nyg,BrowAn03,pass_rating,,,,,,
player,201312150nyg,nyg,BrowAn03,rush_att,11,,,,,
player,201312150nyg,nyg,BrowAn03,rush_yds,17,,,,,
player,201312150nyg,nyg,BrowAn03,rush_td,0,,,,,
player,201312150nyg,nyg,BrowAn03,rush_long,7,,,,,
player,201312150nyg,nyg,BrowAn03,targets,5,,,,,
player,201312150nyg,nyg,BrowAn03,rec,4,,,,,
