game,2013,16,20131222,201312220htx,den,"Denver Broncos",37,htx,"Houston Texans",13
player,201312220htx,den,TammJa00,pass_rating,,,,,,
player,201312220htx,den,TammJa00,rush_att,0,,,,,
player,201312220htx,den,TammJa00,rush_yds,0,,,,,
player,201312220htx,den,TammJa00,rush_td,0,,,,,
player,201312220htx,den,TammJa00,rush_long,0,,,,,
player,201312220htx,den,TammJa00,targets,3,,,,,
player,201312220htx,den,TammJa00,rec,3,,,,,
player,201312220htx,den,TammJa00,rec_yds,22,,,,,
player,201312220htx,den,TammJa00,rec_td,0,,,,,
player,201312220htx,den,TammJa00,rec_long,10,,,,,
player,201312220htx,den,TammJa00,fumbles,0,,,,,
player,201312220htx,den,TammJa00,fumbles_lost,0,,,,,
player,201312220htx,den,CaldAn00,pass_cmp,0,,,,,
player,201312220htx,den,CaldAn00,pass_att,0,,,,,
player,201312220htx,den,CaldAn00,pass_yds,0,,,,,
player,201312220htx,den,CaldAn00,pass_td,0,,,,,
player,201312220htx,den,CaldAn00,pass_int,0,,,,,
player,201312220htx,den,CaldAn00,pass_sacked,0,,,,,
player,201312220htx,den,CaldAn00,pass_sacked_yds,0,,,,,
player,201312220htx,den,CaldAn00,pass_long,0,,,,,
player,201312220htx,den,CaldAn00,pass_rating,,,,,,
player,201312220htx,den,CaldAn00,rush_att,0,,,,,
player,201312220htx,den,CaldAn00,rush_yds,0,,,,,
player,201312220htx,den,CaldAn00,rush_td,0,,,,,
player,201312220htx,den,CaldAn00,rush_long,0,,,,,
player,201312220htx,den,CaldAn00,targets,3,,,,,
player,201312220htx,den,CaldAn00,rec,2,,,,,
player,201312220htx,den,CaldAn00,rec_yds,12,,,,,
player,201312220htx,den,CaldAn00,rec_td,0,,,,,
player,201312220htx,den,CaldAn00,rec_long,13,,,,,
player,201312220htx,den,CaldAn00,fumbles,0,,,,,
player,201312220htx,den,CaldAn00,fumbles_lost,0,,,,,
player,201312220htx,den,GreeVi00,pass_cmp,0,,,,,
player,201312220htx,den,GreeVi00,pass_att,0,,,,,
player,201312220htx,den,GreeVi00,pass_yds,0,,,,,
player,201312220htx,den,GreeVi00,pass_td,0,,,,,
player,201312220htx,den,GreeVi00,pass_int,0,,,,,
player,201312220htx,den,GreeVi00,pass_sacked,0,,,,,
player,201312220htx,den,GreeVi00,pass_sacked_yds,0,,,,,
player,201312220htx,den,GreeVi00,pass_long,0,,,,,
player,201312220htx,den,GreeVi00,pass_rating,,,,,,
player,201312220htx,den,GreeVi00,rush_att,0,,,,,
player,201312220htx,den,GreeVi00,rush_yds,0,,,,,
player,201312220htx,den,GreeVi00,rush_td,0,,,,,
player,201312220htx,den,GreeVi00,rush_long,0,,,,,
player,201312220htx,den,GreeVi00,targets,1,,,,,
player,201312220htx,den,GreeVi00,rec,1,,,,,
player,201312220htx,den,GreeVi00,rec_yds,8,,,,,
player,201312220htx,den,GreeVi00,rec_td,0,,,,,
player,201312220htx,den,GreeVi00,rec_long,8,,,,,
player,201312220htx,den,GreeVi00,fumbles,0,,,,,
player,201312220htx,den,GreeVi00,fumbles_lost,0,,,,,
player,201312220htx,htx,SchaMa00,pass_cmp,18,,,,,
player,201312220htx,htx,SchaMa00,pass_att,37,,,,,
player,201312220htx,htx,SchaMa00,pass_yds,176,,,,,
