game,2015,5,20151011,201510110kan,chi,"Chicago Bears",18,kan,"Kansas City Chiefs",17
player,201510110kan,chi,BellJo02,pass_long,0,,,,,
player,201510110kan,chi,BellJo02,pass_rating,,,,,,
player,201510110kan,chi,BellJo02,rush_att,0,,,,,
player,201510110kan,chi,BellJo02,rush_yds,0,,,,,
player,201510110kan,chi,BellJo02,rush_td,0,,,,,
player,201510110kan,chi,BellJo02,rush_long,0,,,,,
player,201510110kan,chi,BellJo02,targets,8,,,,,
player,201510110kan,chi,BellJo02,rec,6,,,,,
player,201510110kan,chi,BellJo02,rec_yds,31,,,,,
player,201510110kan,chi,BellJo02,rec_td,0,,,,,
player,201510110kan,chi,BellJo02,rec_long,8,,,,,
player,201510110kan,chi,BellJo02,fumbles,0,,,,,
player,201510110kan,chi,BellJo02,fumbles_lost,0,,,,,
player,201510110kan,chi,LeexKh00,pass_cmp,0,,,,,
player,201510110kan,chi,LeexKh00,pass_att,0,,,,,
player,201510110kan,chi,LeexKh00,pass_yds,0,,,,,
player,201510110kan,chi,LeexKh00,pass_td,0,,,,,
player,201510110kan,chi,LeexKh00,pass_int,0,,,,,
player,201510110kan,chi,LeexKh00,pass_sacked,0,,,,,
player,201510110kan,chi,LeexKh00,pass_sacked_yds,0,,,,,
player,201510110kan,chi,LeexKh00,pass_long,0,,,,,
player,201510110kan,chi,LeexKh00,pass_rating,,,,,,
player,201510110kan,chi,LeexKh00,rush_att,0,,,,,
player,201510110kan,chi,LeexKh00,rush_yds,0,,,,,
player,201510110kan,chi,LeexKh00,rush_td,0,,,,,
player,201510110kan,chi,LeexKh00,rush_long,0,,,,,
player,201510110kan,chi,LeexKh00,targets,1,,,,,
player,201510110kan,chi,LeexKh00,rec,0,,,,,
player,201510110kan,chi,LeexKh00,rec_yds,0,,,,,
player,201510110kan,chi,LeexKh00,rec_td,0,,,,,
player,201510110kan,chi,LeexKh00,rec_long,0,,,,,
player,201510110kan,chi,LeexKh00,fumbles,0,,,,,
player,201510110kan,chi,LeexKh00,fumbles_lost,0,,,,,
player,201510110kan,chi,MillZa02,pass_cmp,0,,,,,
player,201510110kan,chi,MillZa02,pass_att,0,,,,,
player,201510110kan,chi,MillZa02,pass_yds,0,,,,,
player,201510110kan,chi,MillZa02,pass_td,0,,,,,
player,201510110kan,chi,MillZa02,pass_int,0,,,,,
player,201510110kan,chi,MillZa02,pass_sacked,0,,,,,
player,201510110kan,chi,MillZa02,pass_sacked_yds,0,,,,,
player,201510110kan,chi,MillZa02,pass_long,0,,,,,
player,201510110kan,chi,MillZa02,pass_rating,,,,,,
player,201510110kan,chi,MillZa02,rush_att,0,,,,,
player,201510110kan,chi,MillZa02,rush_yds,0,,,,,
player,201510110kan,chi,MillZa02,rush_td,0,,,,,
player,201510110kan,chi,MillZa02,rush_long,0,,,,,
player,201510110kan,chi,MillZa02,targets,1,,,,,
player,201510110kan,chi,MillZa02,rec,0,,,,,
player,201510110kan,chi,MillZa02,rec_yds,0,,,,,
player,201510110kan,chi,MillZa02,rec_td,0,,,,,
player,201510110kan,chi,MillZa02,rec_long,0,,,,,
player,201510110kan,chi,MillZa02,fumbles,0,,,,,
player,201510110kan,chi,MillZa02,fumbles_lost,0,,,,,
player,201510110kan,chi,MariMa00,pass_cmp,0,,,,,
player,201510110kan,chi,MariMa00,pass_att,0,,,,,
player,201510110kan,chi,MariMa00,pass_yds,0,,,,,
player,201510110kan,chi,MariMa00,pass_td,0,,,,,
player,201510110kan,chi,MariMa00,pass_int,0,,,,,
player,201510110kan,chi,MariMa00,pass_sacked,0,,,,,
player,201510110kan,chi,MariMa00,pass_sacked_yds,0,,,,,
player,201510110kan,chi,MariMa00,pass_long,0,,,,,
player,201510110kan,chi,MariMa00,pass_rating,,,,,,
player,201510110kan,chi,MariMa00,rush_att,0,,,,,
player,201510110kan,chi,MariMa00,rush_yds,0,,,,,
player,201510110kan,chi,MariMa00,rush_td,0,,,,,
player,201510110kan,chi,MariMa00,rush_long,0,,,,,
player,201510110kan,chi,MariMa00,targets,3,,,,,
player,201510110kan,chi,MariMa00,rec,0,,,,,
player,201510110kan,chi,MariMa00,rec_yds,0,,,,,
player,201510110kan,chi,MariMa00,rec_td,0,,,,,
player,201510110kan,chi,MariMa00,rec_long,0,,,,,
player,201510110kan,chi,MariMa00,fumbles,0,,,,,
