game,2015,3,20150927,201509270cle,rai,"Oakland Raiders",27,cle,"Cleveland Browns",20
player,201509270cle,rai,RobeSe00,fumbles_lost,0,,,,,
player,201509270cle,rai,CrabMi00,pass_cmp,0,,,,,
player,201509270cle,rai,CrabMi00,pass_att,0,,,,,
player,201509270cle,rai,CrabMi00,pass_yds,0,,,,,
player,201509270cle,rai,CrabMi00,pass_td,0,,,,,
player,201509270cle,rai,CrabMi00,pass_int,0,,,,,
player,201509270cle,rai,CrabMi00,pass_sacked,,,,,,
player,201509270cle,rai,CrabMi00,pass_sacked_yds,0,,,,,
player,201509270cle,rai,CrabMi00,pass_long,0,,,,,
player,201509270cle,rai,CrabMi00,pass_rating,,,,,,
player,201509270cle,rai,CrabMi00,rush_att,0,,,,,
player,201509270cle,rai,CrabMi00,rush_yds,0,,,,,
player,201509270cle,rai,CrabMi00,rush_td,0,,,,,
player,201509270cle,rai,CrabMi00,rush_long,0,,,,,
player,201509270cle,rai,CrabMi00,targets,9,,,,,
player,201509270cle,rai,CrabMi00,rec,4,,,,,
player,201509270cle,rai,CrabMi00,rec_yds,36,,,,,
player,201509270cle,rai,CrabMi00,rec_td,0,,,,,
player,201509270cle,rai,CrabMi00,rec_long,14,,,,,
player,201509270cle,rai,CrabMi00,fumbles,0,,,,,
player,201509270cle,rai,CrabMi00,fumbles_lost,0,,,,,
player,201509270cle,rai,HeluRo00,pass_cmp,0,,,,,
player,201509270cle,rai,HeluRo00,pass_att,0,,,,,
player,201509270cle,rai,HeluRo00,pass_yds,0,,,,,
player,201509270cle,rai,HeluRo00,pass_td,0,,,,,
player,201509270cle,rai,HeluRo00,pass_int,0,,,,,
player,201509270cle,rai,HeluRo00,pass_sacked,,,,,,
player,201509270cle,rai,HeluRo00,pass_sacked_yds,0,,,,,
player,201509270cle,rai,HeluRo00,pass_long,0,,,,,
player,201509270cle,rai,HeluRo00,pass_rating,,,,,,
player,201509270cle,rai,HeluRo00,rush_att,0,,,,,
player,201509270cle,rai,HeluRo00,rush_yds,0,,,,,
player,201509270cle,rai,HeluRo00,rush_td,0,,,,,
player,201509270cle,rai,HeluRo00,rush_long,0,,,,,
player,201509270cle,rai,HeluRo00,targets,1,,,,,
player,201509270cle,rai,HeluRo00,rec,1,,,,,
player,201509270cle,rai,HeluRo00,rec_yds,12,,,,,
player,201509270cle,rai,HeluRo00,rec_td,0,,,,,
player,201509270cle,rai,HeluRo00,rec_long,12,,,,,
player,201509270cle,rai,HeluRo00,fumbles,0,,,,,
player,201509270cle,rai,HeluRo00,fumbles_lost,0,,,,,
player,201509270cle,rai,SmitLe00,pass_cmp,0,,,,,
player,201509270cle,rai,SmitLe00,pass_att,0,,,,,
player,201509270cle,rai,SmitLe00,pass_yds,0,,,,,
player,201509270cle,rai,SmitLe00,pass_td,0,,,,,
player,201509270cle,rai,SmitLe00,pass_int,0,,,,,
player,201509270cle,rai,SmitLe00,pass_sacked,,,,,,
player,201509270cle,rai,SmitLe00,pass_sacked_yds,0,,,,,
player,201509270cle,rai,SmitLe00,pass_long,0,,,,,
player,201509270cle,rai,SmitLe00,pass_rating,,,,,,
player,201509270cle,rai,SmitLe00,rush_att,0,,,,,
player,201509270cle,rai,SmitLe00,rush_yds,0,,,,,
player,201509270cle,rai,SmitLe00,rush_td,0,,,,,
player,201509270cle,rai,SmitLe00,rush_long,0,,,,,
player,201509270cle,rai,SmitLe00,targets,1,,,,,
player,201509270cle,rai,SmitLe00,rec,1,,,,,
player,201509270cle,rai,SmitLe00,rec_yds,8,,,,,
player,201509270cle,rai,SmitLe00,rec_td,0,,,,,
player,201509270cle,rai,SmitLe00,rec_long,8,,,,,
player,201509270cle,rai,SmitLe00,fumbles,0,,,,,
player,201509270cle,rai,SmitLe00,fumbles_lost,0,,,,,
player,201509270cle,rai,HolmAn00,pass_cmp,0,,,,,
player,201509270cle,rai,HolmAn00,pass_att,0,,,,,
player,201509270cle,rai,HolmAn00,pass_yds,0,,,,,
player,201509270cle,rai,HolmAn00,pass_td,0,,,,,
player,201509270cle,rai,HolmAn00,pass_int,0,,,,,
player,201509270cle,rai,HolmAn00,pass_sacked,,,,,,
player,201509270cle,rai,HolmAn00,pass_sacked_yds,0,,,,,
player,201509270cle,rai,HolmAn00,pass_long,0,,,,,
player,201509270cle,rai,HolmAn00,pass_rating,,,,,,
player,201509270cle,rai,HolmAn00,rush_att,0,,,,,
player,201509270cle,rai,HolmAn00,rush_yds,0,,,,,
player,201509270cle,rai,HolmAn00,rush_td,0,,,,,
player,201509270cle,rai,HolmAn00,rush_long,0,,,,,
player,201509270cle,rai,HolmAn00,targets,1,,,,,
player,201509270cle,rai,HolmAn00,rec,1,,,,,
player,201509270cle,rai,HolmAn00,rec_yds,3,,,,,
player,201509270cle,rai,HolmAn00,rec_td,1,,,,,
player,201509270cle,rai,HolmAn00,rec_long,3,,,,,
player,201509270cle,rai,HolmAn00,fumbles,0,,,,,
player,201509270cle,rai,HolmAn00,fumbles_lost,0,,,,,
player,201509270cle,rai,RiveMy00,pass_cmp,0,,,,,
player,201509270cle,rai,RiveMy00,pass_att,0,,,,,
player,201509270cle,rai,RiveMy00,pass_yds,0,,,,,
player,201509270cle,rai,RiveMy00,pass_td,0,,,,,
player,201509270cle,rai,RiveMy00,pass_int,0,,,,,
player,201509270cle,rai,RiveMy00,pass_sacked,0,,,,,
player,201509270cle,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201509270cle,rai,RiveMy00,pass_long,0,,,,,
player,201509270cle,rai,RiveMy00,pass_rating,,,,,,
player,201509270cle,rai,RiveMy00,rush_att,0,,,,,
player,201509270cle,rai,RiveMy00,rush_yds,0,,,,,
player,201509270cle,rai,RiveMy00,rush_td,0,,,,,
player,201509270cle,rai,RiveMy00,rush_long,0,,,,,
player,201509270cle,rai,RiveMy00,targets,1,,,,,
player,201509270cle,rai,RiveMy00,rec,0,,,,,
player,201509270cle,rai,RiveMy00,rec_yds,0,,,,,
player,201509270cle,rai,RiveMy00,rec_td,0,,,,,
player,201509270cle,rai,RiveMy00,rec_long,0,,,,,
player,201509270cle,rai,RiveMy00,fumbles,0,,,,,
player,201509270cle,rai,RiveMy00,fumbles_lost,0,,,,,
player,201509270cle,cle,McCoJo01,pass_cmp,28,,,,,
player,201509270cle,cle,McCoJo01,pass_att,49,,,,,
player,201509270cle,cle,McCoJo01,pass_yds,341,,,,,
player,201509270cle,cle,McCoJo01,pass_td,2,,,,,
player,201509270cle,cle,McCoJo01,pass_int,1,,,,,
player,201509270cle,cle,McCoJo01,pass_sacked,5,,,,,
player,201509270cle,cle,McCoJo01,pass_sacked_yds,25,,,,,
player,201509270cle,cle,McCoJo01,pass_long,41,,,,,
player,201509270cle,cle,McCoJo01,pass_rating,83.8,,,,,
player,201509270cle,cle,McCoJo01,rush_att,0,,,,,
player,201509270cle,cle,McCoJo01,rush_yds,0,,,,,
player,201509270cle,cle,McCoJo01,rush_td,0,,,,,
player,201509270cle,cle,McCoJo01,rush_long,0,,,,,
player,201509270cle,cle,McCoJo01,targets,0,,,,,
player,201509270cle,cle,McCoJo01,rec,0,,,,,
player,201509270cle,cle,McCoJo01,rec_yds,0,,,,,
player,201509270cle,cle,McCoJo01,rec_td,0,,,,,
player,201509270cle,cle,McCoJo01,rec_long,0,,,,,
player,201509270cle,cle,McCoJo01,fumbles,1,,,,,
player,201509270cle,cle,McCoJo01,fumbles_lost,0,,,,,
player,201509270cle,cle,CrowIs00,pass_cmp,0,,,,,
player,201509270cle,cle,CrowIs00,pass_att,0,,,,,
player,201509270cle,cle,CrowIs00,pass_yds,0,,,,,
player,201509270cle,cle,CrowIs00,pass_td,0,,,,,
player,201509270cle,cle,CrowIs00,pass_int,0,,,,,
player,201509270cle,cle,CrowIs00,pass_sacked,0,,,,,
player,201509270cle,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201509270cle,cle,CrowIs00,pass_long,0,,,,,
player,201509270cle,cle,CrowIs00,pass_rating,,,,,,
player,201509270cle,cle,CrowIs00,rush_att,10,,,,,
player,201509270cle,cle,CrowIs00,rush_yds,36,,,,,
player,201509270cle,cle,CrowIs00,rush_td,0,,,,,
player,201509270cle,cle,CrowIs00,rush_long,17,,,,,
player,201509270cle,cle,CrowIs00,targets,0,,,,,
player,201509270cle,cle,CrowIs00,rec,0,,,,,
player,201509270cle,cle,CrowIs00,rec_yds,0,,,,,
player,201509270cle,cle,CrowIs00,rec_td,0,,,,,
player,201509270cle,cle,CrowIs00,rec_long,0,,,,,
player,201509270cle,cle,CrowIs00,fumbles,0,,,,,
player,201509270cle,cle,CrowIs00,fumbles_lost,0,,,,,
player,201509270cle,cle,JohnDu00,pass_cmp,0,,,,,
player,201509270cle,cle,JohnDu00,pass_att,0,,,,,
player,201509270cle,cle,JohnDu00,pass_yds,0,,,,,
player,201509270cle,cle,JohnDu00,pass_td,0,,,,,
player,201509270cle,cle,JohnDu00,pass_int,0,,,,,
player,201509270cle,cle,JohnDu00,pass_sacked,0,,,,,
player,201509270cle,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201509270cle,cle,JohnDu00,pass_long,0,,,,,
player,201509270cle,cle,JohnDu00,pass_rating,,,,,,
player,201509270cle,cle,JohnDu00,rush_att,4,,,,,
player,201509270cle,cle,JohnDu00,rush_yds,3,,,,,
player,201509270cle,cle,JohnDu00,rush_td,0,,,,,
player,201509270cle,cle,JohnDu00,rush_long,6,,,,,
player,201509270cle,cle,JohnDu00,targets,7,,,,,
player,201509270cle,cle,JohnDu00,rec,6,,,,,
player,201509270cle,cle,JohnDu00,rec_yds,32,,,,,
player,201509270cle,cle,JohnDu00,rec_td,0,,,,,
player,201509270cle,cle,JohnDu00,rec_long,18,,,,,
player,201509270cle,cle,JohnDu00,fumbles,0,,,,,
player,201509270cle,cle,JohnDu00,fumbles_lost,0,,,,,
player,201509270cle,cle,BarnGa01,pass_cmp,0,,,,,
player,201509270cle,cle,BarnGa01,pass_att,0,,,,,
player,201509270cle,cle,BarnGa01,pass_yds,0,,,,,
player,201509270cle,cle,BarnGa01,pass_td,0,,,,,
player,201509270cle,cle,BarnGa01,pass_int,0,,,,,
player,201509270cle,cle,BarnGa01,pass_sacked,0,,,,,
player,201509270cle,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201509270cle,cle,BarnGa01,pass_long,0,,,,,
player,201509270cle,cle,BarnGa01,pass_rating,,,,,,
player,201509270cle,cle,BarnGa01,rush_att,0,,,,,
player,201509270cle,cle,BarnGa01,rush_yds,0,,,,,
player,201509270cle,cle,BarnGa01,rush_td,0,,,,,
player,201509270cle,cle,BarnGa01,rush_long,0,,,,,
player,201509270cle,cle,BarnGa01,targets,10,,,,,
player,201509270cle,cle,BarnGa01,rec,6,,,,,
player,201509270cle,cle,BarnGa01,rec_yds,105,,,,,
player,201509270cle,cle,BarnGa01,rec_td,1,,,,,
player,201509270cle,cle,BarnGa01,rec_long,40,,,,,
player,201509270cle,cle,BarnGa01,fumbles,0,,,,,
player,201509270cle,cle,BarnGa01,fumbles_lost,0,,,,,
player,201509270cle,cle,HartBr00,pass_cmp,0,,,,,
player,201509270cle,cle,HartBr00,pass_att,0,,,,,
player,201509270cle,cle,HartBr00,pass_yds,0,,,,,
player,201509270cle,cle,HartBr00,pass_td,0,,,,,
player,201509270cle,cle,HartBr00,pass_int,0,,,,,
player,201509270cle,cle,HartBr00,pass_sacked,0,,,,,
player,201509270cle,cle,HartBr00,pass_sacked_yds,0,,,,,
player,201509270cle,cle,HartBr00,pass_long,0,,,,,
player,201509270cle,cle,HartBr00,pass_rating,,,,,,
player,201509270cle,cle,HartBr00,rush_att,0,,,,,
player,201509270cle,cle,HartBr00,rush_yds,0,,,,,
player,201509270cle,cle,HartBr00,rush_td,0,,,,,
player,201509270cle,cle,HartBr00,rush_long,0,,,,,
player,201509270cle,cle,HartBr00,targets,7,,,,,
player,201509270cle,cle,HartBr00,rec,5,,,,,
player,201509270cle,cle,HartBr00,rec_yds,96,,,,,
player,201509270cle,cle,HartBr00,rec_td,0,,,,,
player,201509270cle,cle,HartBr00,rec_long,41,,,,,
player,201509270cle,cle,HartBr00,fumbles,0,,,,,
player,201509270cle,cle,HartBr00,fumbles_lost,0,,,,,
player,201509270cle,cle,BenjTr00,pass_cmp,0,,,,,
player,201509270cle,cle,BenjTr00,pass_att,0,,,,,
player,201509270cle,cle,BenjTr00,pass_yds,0,,,,,
player,201509270cle,cle,BenjTr00,pass_td,0,,,,,
player,201509270cle,cle,BenjTr00,pass_int,0,,,,,
player,201509270cle,cle,BenjTr00,pass_sacked,0,,,,,
player,201509270cle,cle,BenjTr00,pass_sacked_yds,0,,,,,
player,201509270cle,cle,BenjTr00,pass_long,0,,,,,
player,201509270cle,cle,BenjTr00,pass_rating,,,,,,
player,201509270cle,cle,BenjTr00,rush_att,0,,,,,
player,201509270cle,cle,BenjTr00,rush_yds,0,,,,,
player,201509270cle,cle,BenjTr00,rush_td,0,,,,,
player,201509270cle,cle,BenjTr00,rush_long,0,,,,,
player,201509270cle,cle,BenjTr00,targets,10,,,,,
player,201509270cle,cle,BenjTr00,rec,4,,,,,
player,201509270cle,cle,BenjTr00,rec_yds,45,,,,,
player,201509270cle,cle,BenjTr00,rec_td,1,,,,,
player,201509270cle,cle,BenjTr00,rec_long,17,,,,,
player,201509270cle,cle,BenjTr00,fumbles,1,,,,,
player,201509270cle,cle,BenjTr00,fumbles_lost,1,,,,,
player,201509270cle,cle,GabrTa00,pass_cmp,0,,,,,
player,201509270cle,cle,GabrTa00,pass_att,0,,,,,
player,201509270cle,cle,GabrTa00,pass_yds,0,,,,,
player,201509270cle,cle,GabrTa00,pass_td,0,,,,,
player,201509270cle,cle,GabrTa00,pass_int,0,,,,,
player,201509270cle,cle,GabrTa00,pass_sacked,0,,,,,
player,201509270cle,cle,GabrTa00,pass_sacked_yds,0,,,,,
player,201509270cle,cle,GabrTa00,pass_long,0,,,,,
player,201509270cle,cle,GabrTa00,pass_rating,,,,,,
player,201509270cle,cle,GabrTa00,rush_att,0,,,,,
player,201509270cle,cle,GabrTa00,rush_yds,0,,,,,
player,201509270cle,cle,GabrTa00,rush_td,0,,,,,
player,201509270cle,cle,GabrTa00,rush_long,0,,,,,
player,201509270cle,cle,GabrTa00,targets,5,,,,,
player,201509270cle,cle,GabrTa00,rec,3,,,,,
player,201509270cle,cle,GabrTa00,rec_yds,28,,,,,
player,201509270cle,cle,GabrTa00,rec_td,0,,,,,
player,201509270cle,cle,GabrTa00,rec_long,11,,,,,
player,201509270cle,cle,GabrTa00,fumbles,0,,,,,
player,201509270cle,cle,GabrTa00,fumbles_lost,0,,,,,
player,201509270cle,cle,HawkAn00,pass_cmp,0,,,,,
player,201509270cle,cle,HawkAn00,pass_att,0,,,,,
player,201509270cle,cle,HawkAn00,pass_yds,0,,,,,
player,201509270cle,cle,HawkAn00,pass_td,0,,,,,
player,201509270cle,cle,HawkAn00,pass_int,0,,,,,
player,201509270cle,cle,HawkAn00,pass_sacked,0,,,,,
player,201509270cle,cle,HawkAn00,pass_sacked_yds,0,,,,,
player,201509270cle,cle,HawkAn00,pass_long,0,,,,,
player,201509270cle,cle,HawkAn00,pass_rating,,,,,,
player,201509270cle,cle,HawkAn00,rush_att,0,,,,,
player,201509270cle,cle,HawkAn00,rush_yds,0,,,,,
player,201509270cle,cle,HawkAn00,rush_td,0,,,,,
player,201509270cle,cle,HawkAn00,rush_long,0,,,,,
player,201509270cle,cle,HawkAn00,targets,6,,,,,
player,201509270cle,cle,HawkAn00,rec,2,,,,,
player,201509270cle,cle,HawkAn00,rec_yds,18,,,,,
player,201509270cle,cle,HawkAn00,rec_td,0,,,,,
player,201509270cle,cle,HawkAn00,rec_long,10,,,,,
player,201509270cle,cle,HawkAn00,fumbles,0,,,,,
player,201509270cle,cle,HawkAn00,fumbles_lost,0,,,,,
player,201509270cle,cle,MoorMa02,pass_cmp,0,,,,,
player,201509270cle,cle,MoorMa02,pass_att,0,,,,,
player,201509270cle,cle,MoorMa02,pass_yds,0,,,,,
player,201509270cle,cle,MoorMa02,pass_td,0,,,,,
player,201509270cle,cle,MoorMa02,pass_int,0,,,,,
player,201509270cle,cle,MoorMa02,pass_sacked,0,,,,,
player,201509270cle,cle,MoorMa02,pass_sacked_yds,0,,,,,
player,201509270cle,cle,MoorMa02,pass_long,0,,,,,
player,201509270cle,cle,MoorMa02,pass_rating,,,,,,
player,201509270cle,cle,MoorMa02,rush_att,0,,,,,
player,201509270cle,cle,MoorMa02,rush_yds,0,,,,,
player,201509270cle,cle,MoorMa02,rush_td,0,,,,,
player,201509270cle,cle,MoorMa02,rush_long,0,,,,,
player,201509270cle,cle,MoorMa02,targets,1,,,,,
player,201509270cle,cle,MoorMa02,rec,1,,,,,
player,201509270cle,cle,MoorMa02,rec_yds,15,,,,,
player,201509270cle,cle,MoorMa02,rec_td,0,,,,,
player,201509270cle,cle,MoorMa02,rec_long,15,,,,,
player,201509270cle,cle,MoorMa02,fumbles,0,,,,,
player,201509270cle,cle,MoorMa02,fumbles_lost,0,,,,,
player,201509270cle,cle,DrauSh00,pass_cmp,0,,,,,
player,201509270cle,cle,DrauSh00,pass_att,0,,,,,
player,201509270cle,cle,DrauSh00,pass_yds,0,,,,,
player,201509270cle,cle,DrauSh00,pass_td,0,,,,,
player,201509270cle,cle,DrauSh00,pass_int,0,,,,,
player,201509270cle,cle,DrauSh00,pass_sacked,0,,,,,
player,201509270cle,cle,DrauSh00,pass_sacked_yds,0,,,,,
player,201509270cle,cle,DrauSh00,pass_long,0,,,,,
player,201509270cle,cle,DrauSh00,pass_rating,,,,,,
player,201509270cle,cle,DrauSh00,rush_att,0,,,,,
player,201509270cle,cle,DrauSh00,rush_yds,0,,,,,
player,201509270cle,cle,DrauSh00,rush_td,0,,,,,
player,201509270cle,cle,DrauSh00,rush_long,0,,,,,
player,201509270cle,cle,DrauSh00,targets,1,,,,,
player,201509270cle,cle,DrauSh00,rec,1,,,,,
player,201509270cle,cle,DrauSh00,rec_yds,2,,,,,
player,201509270cle,cle,DrauSh00,rec_td,0,,,,,
player,201509270cle,cle,DrauSh00,rec_long,2,,,,,
player,201509270cle,cle,DrauSh00,fumbles,0,,,,,
player,201509270cle,cle,DrauSh00,fumbles_lost,0,,,,,
player,201509270cle,cle,HousRo01,pass_cmp,0,,,,,
player,201509270cle,cle,HousRo01,pass_att,0,,,,,
player,201509270cle,cle,HousRo01,pass_yds,0,,,,,
player,201509270cle,cle,HousRo01,pass_td,0,,,,,
player,201509270cle,cle,HousRo01,pass_int,0,,,,,
player,201509270cle,cle,HousRo01,pass_sacked,0,,,,,
player,201509270cle,cle,HousRo01,pass_sacked_yds,0,,,,,
player,201509270cle,cle,HousRo01,pass_long,0,,,,,
player,201509270cle,cle,HousRo01,pass_rating,,,,,,
player,201509270cle,cle,HousRo01,rush_att,0,,,,,
player,201509270cle,cle,HousRo01,rush_yds,0,,,,,
player,201509270cle,cle,HousRo01,rush_td,0,,,,,
