game,2015,15,20151220,201512200rai,gnb,"Green Bay Packers",30,rai,"Oakland Raiders",20
player,201512200rai,gnb,JoneJa04,rec_long,30,,,,,
player,201512200rai,gnb,JoneJa04,fumbles,0,,,,,
player,201512200rai,gnb,JoneJa04,fumbles_lost,0,,,,,
player,201512200rai,gnb,AbbrJa00,pass_cmp,0,,,,,
player,201512200rai,gnb,AbbrJa00,pass_att,0,,,,,
player,201512200rai,gnb,AbbrJa00,pass_yds,0,,,,,
player,201512200rai,gnb,AbbrJa00,pass_td,0,,,,,
player,201512200rai,gnb,AbbrJa00,pass_int,0,,,,,
player,201512200rai,gnb,AbbrJa00,pass_sacked,0,,,,,
player,201512200rai,gnb,AbbrJa00,pass_sacked_yds,0,,,,,
player,201512200rai,gnb,AbbrJa00,pass_long,0,,,,,
player,201512200rai,gnb,AbbrJa00,pass_rating,,,,,,
player,201512200rai,gnb,AbbrJa00,rush_att,0,,,,,
player,201512200rai,gnb,AbbrJa00,rush_yds,0,,,,,
player,201512200rai,gnb,AbbrJa00,rush_td,0,,,,,
player,201512200rai,gnb,AbbrJa00,rush_long,0,,,,,
player,201512200rai,gnb,AbbrJa00,targets,3,,,,,
player,201512200rai,gnb,AbbrJa00,rec,3,,,,,
player,201512200rai,gnb,AbbrJa00,rec_yds,33,,,,,
player,201512200rai,gnb,AbbrJa00,rec_td,0,,,,,
player,201512200rai,gnb,AbbrJa00,rec_long,15,,,,,
player,201512200rai,gnb,AbbrJa00,fumbles,0,,,,,
player,201512200rai,gnb,AbbrJa00,fumbles_lost,0,,,,,
player,201512200rai,gnb,AdamDa01,pass_cmp,0,,,,,
player,201512200rai,gnb,AdamDa01,pass_att,0,,,,,
player,201512200rai,gnb,AdamDa01,pass_yds,0,,,,,
player,201512200rai,gnb,AdamDa01,pass_td,0,,,,,
player,201512200rai,gnb,AdamDa01,pass_int,0,,,,,
player,201512200rai,gnb,AdamDa01,pass_sacked,0,,,,,
player,201512200rai,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201512200rai,gnb,AdamDa01,pass_long,0,,,,,
player,201512200rai,gnb,AdamDa01,pass_rating,,,,,,
player,201512200rai,gnb,AdamDa01,rush_att,0,,,,,
player,201512200rai,gnb,AdamDa01,rush_yds,0,,,,,
player,201512200rai,gnb,AdamDa01,rush_td,0,,,,,
player,201512200rai,gnb,AdamDa01,rush_long,0,,,,,
player,201512200rai,gnb,AdamDa01,targets,8,,,,,
player,201512200rai,gnb,AdamDa01,rec,5,,,,,
player,201512200rai,gnb,AdamDa01,rec_yds,32,,,,,
player,201512200rai,gnb,AdamDa01,rec_td,0,,,,,
player,201512200rai,gnb,AdamDa01,rec_long,8,,,,,
player,201512200rai,gnb,AdamDa01,fumbles,0,,,,,
player,201512200rai,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201512200rai,gnb,RodgRi00,pass_cmp,0,,,,,
player,201512200rai,gnb,RodgRi00,pass_att,0,,,,,
player,201512200rai,gnb,RodgRi00,pass_yds,0,,,,,
player,201512200rai,gnb,RodgRi00,pass_td,0,,,,,
player,201512200rai,gnb,RodgRi00,pass_int,0,,,,,
player,201512200rai,gnb,RodgRi00,pass_sacked,0,,,,,
player,201512200rai,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201512200rai,gnb,RodgRi00,pass_long,0,,,,,
player,201512200rai,gnb,RodgRi00,pass_rating,,,,,,
player,201512200rai,gnb,RodgRi00,rush_att,0,,,,,
player,201512200rai,gnb,RodgRi00,rush_yds,0,,,,,
player,201512200rai,gnb,RodgRi00,rush_td,0,,,,,
player,201512200rai,gnb,RodgRi00,rush_long,0,,,,,
player,201512200rai,gnb,RodgRi00,targets,4,,,,,
player,201512200rai,gnb,RodgRi00,rec,1,,,,,
player,201512200rai,gnb,RodgRi00,rec_yds,7,,,,,
player,201512200rai,gnb,RodgRi00,rec_td,0,,,,,
player,201512200rai,gnb,RodgRi00,rec_long,7,,,,,
player,201512200rai,gnb,RodgRi00,fumbles,0,,,,,
player,201512200rai,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201512200rai,gnb,PeriJu00,pass_cmp,0,,,,,
player,201512200rai,gnb,PeriJu00,pass_att,0,,,,,
player,201512200rai,gnb,PeriJu00,pass_yds,0,,,,,
player,201512200rai,gnb,PeriJu00,pass_td,0,,,,,
player,201512200rai,gnb,PeriJu00,pass_int,0,,,,,
player,201512200rai,gnb,PeriJu00,pass_sacked,0,,,,,
player,201512200rai,gnb,PeriJu00,pass_sacked_yds,0,,,,,
player,201512200rai,gnb,PeriJu00,pass_long,0,,,,,
player,201512200rai,gnb,PeriJu00,pass_rating,,,,,,
player,201512200rai,gnb,PeriJu00,rush_att,0,,,,,
player,201512200rai,gnb,PeriJu00,rush_yds,0,,,,,
player,201512200rai,gnb,PeriJu00,rush_td,0,,,,,
player,201512200rai,gnb,PeriJu00,rush_long,0,,,,,
player,201512200rai,gnb,PeriJu00,targets,1,,,,,
player,201512200rai,gnb,PeriJu00,rec,1,,,,,
player,201512200rai,gnb,PeriJu00,rec_yds,5,,,,,
player,201512200rai,gnb,PeriJu00,rec_td,0,,,,,
player,201512200rai,gnb,PeriJu00,rec_long,5,,,,,
player,201512200rai,gnb,PeriJu00,fumbles,0,,,,,
player,201512200rai,gnb,PeriJu00,fumbles_lost,0,,,,,
player,201512200rai,gnb,JaniJe00,pass_cmp,0,,,,,
player,201512200rai,gnb,JaniJe00,pass_att,0,,,,,
player,201512200rai,gnb,JaniJe00,pass_yds,0,,,,,
player,201512200rai,gnb,JaniJe00,pass_td,0,,,,,
player,201512200rai,gnb,JaniJe00,pass_int,0,,,,,
player,201512200rai,gnb,JaniJe00,pass_sacked,0,,,,,
