game,2015,1,20150913,201509130was,mia,"Miami Dolphins",17,was,"Washington Redskins",10
player,201509130was,mia,MattRi00,rec,4,,,,,
player,201509130was,mia,MattRi00,rec_yds,34,,,,,
player,201509130was,mia,MattRi00,rec_td,1,,,,,
player,201509130was,mia,MattRi00,rec_long,15,,,,,
player,201509130was,mia,MattRi00,fumbles,0,,,,,
player,201509130was,mia,MattRi00,fumbles_lost,0,,,,,
player,201509130was,mia,JennGr00,pass_cmp,0,,,,,
player,201509130was,mia,JennGr00,pass_att,0,,,,,
player,201509130was,mia,JennGr00,pass_yds,0,,,,,
player,201509130was,mia,JennGr00,pass_td,0,,,,,
player,201509130was,mia,JennGr00,pass_int,0,,,,,
player,201509130was,mia,JennGr00,pass_sacked,0,,,,,
player,201509130was,mia,JennGr00,pass_sacked_yds,0,,,,,
player,201509130was,mia,JennGr00,pass_long,0,,,,,
player,201509130was,mia,JennGr00,pass_rating,,,,,,
player,201509130was,mia,JennGr00,rush_att,0,,,,,
player,201509130was,mia,JennGr00,rush_yds,0,,,,,
player,201509130was,mia,JennGr00,rush_td,0,,,,,
player,201509130was,mia,JennGr00,rush_long,0,,,,,
player,201509130was,mia,JennGr00,targets,3,,,,,
player,201509130was,mia,JennGr00,rec,3,,,,,
player,201509130was,mia,JennGr00,rec_yds,29,,,,,
player,201509130was,mia,JennGr00,rec_td,0,,,,,
player,201509130was,mia,JennGr00,rec_long,11,,,,,
player,201509130was,mia,JennGr00,fumbles,0,,,,,
player,201509130was,mia,JennGr00,fumbles_lost,0,,,,,
player,201509130was,mia,StilKe00,pass_cmp,0,,,,,
player,201509130was,mia,StilKe00,pass_att,0,,,,,
player,201509130was,mia,StilKe00,pass_yds,0,,,,,
player,201509130was,mia,StilKe00,pass_td,0,,,,,
player,201509130was,mia,StilKe00,pass_int,0,,,,,
player,201509130was,mia,StilKe00,pass_sacked,0,,,,,
player,201509130was,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201509130was,mia,StilKe00,pass_long,0,,,,,
player,201509130was,mia,StilKe00,pass_rating,,,,,,
player,201509130was,mia,StilKe00,rush_att,0,,,,,
player,201509130was,mia,StilKe00,rush_yds,0,,,,,
player,201509130was,mia,StilKe00,rush_td,0,,,,,
player,201509130was,mia,StilKe00,rush_long,0,,,,,
player,201509130was,mia,StilKe00,targets,3,,,,,
player,201509130was,mia,StilKe00,rec,1,,,,,
player,201509130was,mia,StilKe00,rec_yds,12,,,,,
player,201509130was,mia,StilKe00,rec_td,0,,,,,
player,201509130was,mia,StilKe00,rec_long,12,,,,,
player,201509130was,mia,StilKe00,fumbles,0,,,,,
player,201509130was,mia,StilKe00,fumbles_lost,0,,,,,
player,201509130was,mia,WillDa05,pass_cmp,0,,,,,
player,201509130was,mia,WillDa05,pass_att,0,,,,,
player,201509130was,mia,WillDa05,pass_yds,0,,,,,
player,201509130was,mia,WillDa05,pass_td,0,,,,,
player,201509130was,mia,WillDa05,pass_int,0,,,,,
player,201509130was,mia,WillDa05,pass_sacked,0,,,,,
player,201509130was,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201509130was,mia,WillDa05,pass_long,0,,,,,
player,201509130was,mia,WillDa05,pass_rating,,,,,,
player,201509130was,mia,WillDa05,rush_att,1,,,,,
player,201509130was,mia,WillDa05,rush_yds,0,,,,,
player,201509130was,mia,WillDa05,rush_td,0,,,,,
player,201509130was,mia,WillDa05,rush_long,0,,,,,
player,201509130was,mia,WillDa05,targets,1,,,,,
player,201509130was,mia,WillDa05,rec,1,,,,,
player,201509130was,mia,WillDa05,rec_yds,3,,,,,
player,201509130was,mia,WillDa05,rec_td,0,,,,,
player,201509130was,mia,WillDa05,rec_long,3,,,,,
player,201509130was,mia,WillDa05,fumbles,0,,,,,
player,201509130was,mia,WillDa05,fumbles_lost,0,,,,,
player,201509130was,mia,SimsDi00,pass_cmp,0,,,,,
player,201509130was,mia,SimsDi00,pass_att,0,,,,,
player,201509130was,mia,SimsDi00,pass_yds,0,,,,,
player,201509130was,mia,SimsDi00,pass_td,0,,,,,
player,201509130was,mia,SimsDi00,pass_int,0,,,,,
player,201509130was,mia,SimsDi00,pass_sacked,0,,,,,
player,201509130was,mia,SimsDi00,pass_sacked_yds,0,,,,,
player,201509130was,mia,SimsDi00,pass_long,0,,,,,
player,201509130was,mia,SimsDi00,pass_rating,,,,,,
player,201509130was,mia,SimsDi00,rush_att,0,,,,,
player,201509130was,mia,SimsDi00,rush_yds,0,,,,,
player,201509130was,mia,SimsDi00,rush_td,0,,,,,
player,201509130was,mia,SimsDi00,rush_long,0,,,,,
player,201509130was,mia,SimsDi00,targets,1,,,,,
player,201509130was,mia,SimsDi00,rec,0,,,,,
player,201509130was,mia,SimsDi00,rec_yds,0,,,,,
player,201509130was,mia,SimsDi00,rec_td,0,,,,,
player,201509130was,mia,SimsDi00,rec_long,0,,,,,
player,201509130was,mia,SimsDi00,fumbles,0,,,,,
player,201509130was,mia,SimsDi00,fumbles_lost,0,,,,,
player,201509130was,was,CousKi00,pass_cmp,21,,,,,
player,201509130was,was,CousKi00,pass_att,31,,,,,
player,201509130was,was,CousKi00,pass_yds,196,,,,,
player,201509130was,was,CousKi00,pass_td,1,,,,,
player,201509130was,was,CousKi00,pass_int,2,,,,,
player,201509130was,was,CousKi00,pass_sacked,1,,,,,
player,201509130was,was,CousKi00,pass_sacked_yds,8,,,,,
player,201509130was,was,CousKi00,pass_long,25,,,,,
player,201509130was,was,CousKi00,pass_rating,68.7,,,,,
player,201509130was,was,CousKi00,rush_att,2,,,,,
player,201509130was,was,CousKi00,rush_yds,-1,,,,,
player,201509130was,was,CousKi00,rush_td,0,,,,,
player,201509130was,was,CousKi00,rush_long,0,,,,,
player,201509130was,was,CousKi00,targets,0,,,,,
player,201509130was,was,CousKi00,rec,0,,,,,
player,201509130was,was,CousKi00,rec_yds,0,,,,,
player,201509130was,was,CousKi00,rec_td,0,,,,,
player,201509130was,was,CousKi00,rec_long,0,,,,,
player,201509130was,was,CousKi00,fumbles,1,,,,,
player,201509130was,was,CousKi00,fumbles_lost,0,,,,,
player,201509130was,was,MorrAl00,pass_cmp,0,,,,,
player,201509130was,was,MorrAl00,pass_att,0,,,,,
player,201509130was,was,MorrAl00,pass_yds,0,,,,,
player,201509130was,was,MorrAl00,pass_td,0,,,,,
player,201509130was,was,MorrAl00,pass_int,0,,,,,
player,201509130was,was,MorrAl00,pass_sacked,0,,,,,
player,201509130was,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201509130was,was,MorrAl00,pass_long,0,,,,,
player,201509130was,was,MorrAl00,pass_rating,,,,,,
player,201509130was,was,MorrAl00,rush_att,25,,,,,
player,201509130was,was,MorrAl00,rush_yds,121,,,,,
player,201509130was,was,MorrAl00,rush_td,0,,,,,
player,201509130was,was,MorrAl00,rush_long,14,,,,,
player,201509130was,was,MorrAl00,targets,0,,,,,
player,201509130was,was,MorrAl00,rec,0,,,,,
player,201509130was,was,MorrAl00,rec_yds,0,,,,,
player,201509130was,was,MorrAl00,rec_td,0,,,,,
player,201509130was,was,MorrAl00,rec_long,0,,,,,
player,201509130was,was,MorrAl00,fumbles,0,,,,,
player,201509130was,was,MorrAl00,fumbles_lost,0,,,,,
player,201509130was,was,JoneMa04,pass_cmp,0,,,,,
player,201509130was,was,JoneMa04,pass_att,0,,,,,
player,201509130was,was,JoneMa04,pass_yds,0,,,,,
player,201509130was,was,JoneMa04,pass_td,0,,,,,
player,201509130was,was,JoneMa04,pass_int,0,,,,,
player,201509130was,was,JoneMa04,pass_sacked,0,,,,,
player,201509130was,was,JoneMa04,pass_sacked_yds,0,,,,,
player,201509130was,was,JoneMa04,pass_long,0,,,,,
player,201509130was,was,JoneMa04,pass_rating,,,,,,
player,201509130was,was,JoneMa04,rush_att,6,,,,,
player,201509130was,was,JoneMa04,rush_yds,28,,,,,
player,201509130was,was,JoneMa04,rush_td,0,,,,,
player,201509130was,was,JoneMa04,rush_long,9,,,,,
player,201509130was,was,JoneMa04,targets,0,,,,,
player,201509130was,was,JoneMa04,rec,0,,,,,
player,201509130was,was,JoneMa04,rec_yds,0,,,,,
player,201509130was,was,JoneMa04,rec_td,0,,,,,
player,201509130was,was,JoneMa04,rec_long,0,,,,,
player,201509130was,was,JoneMa04,fumbles,0,,,,,
player,201509130was,was,JoneMa04,fumbles_lost,0,,,,,
player,201509130was,was,ThomCh03,pass_cmp,0,,,,,
player,201509130was,was,ThomCh03,pass_att,0,,,,,
player,201509130was,was,ThomCh03,pass_yds,0,,,,,
player,201509130was,was,ThomCh03,pass_td,0,,,,,
player,201509130was,was,ThomCh03,pass_int,0,,,,,
player,201509130was,was,ThomCh03,pass_sacked,0,,,,,
player,201509130was,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201509130was,was,ThomCh03,pass_long,0,,,,,
player,201509130was,was,ThomCh03,pass_rating,,,,,,
player,201509130was,was,ThomCh03,rush_att,3,,,,,
player,201509130was,was,ThomCh03,rush_yds,11,,,,,
player,201509130was,was,ThomCh03,rush_td,0,,,,,
player,201509130was,was,ThomCh03,rush_long,7,,,,,
player,201509130was,was,ThomCh03,targets,1,,,,,
player,201509130was,was,ThomCh03,rec,0,,,,,
player,201509130was,was,ThomCh03,rec_yds,0,,,,,
player,201509130was,was,ThomCh03,rec_td,0,,,,,
player,201509130was,was,ThomCh03,rec_long,0,,,,,
player,201509130was,was,ThomCh03,fumbles,0,,,,,
player,201509130was,was,ThomCh03,fumbles_lost,0,,,,,
player,201509130was,was,CrowJa00,pass_cmp,0,,,,,
player,201509130was,was,CrowJa00,pass_att,0,,,,,
player,201509130was,was,CrowJa00,pass_yds,0,,,,,
player,201509130was,was,CrowJa00,pass_td,0,,,,,
player,201509130was,was,CrowJa00,pass_int,0,,,,,
player,201509130was,was,CrowJa00,pass_sacked,0,,,,,
player,201509130was,was,CrowJa00,pass_sacked_yds,0,,,,,
player,201509130was,was,CrowJa00,pass_long,0,,,,,
player,201509130was,was,CrowJa00,pass_rating,,,,,,
player,201509130was,was,CrowJa00,rush_att,1,,,,,
player,201509130was,was,CrowJa00,rush_yds,2,,,,,
player,201509130was,was,CrowJa00,rush_td,0,,,,,
player,201509130was,was,CrowJa00,rush_long,2,,,,,
player,201509130was,was,CrowJa00,targets,1,,,,,
player,201509130was,was,CrowJa00,rec,1,,,,,
player,201509130was,was,CrowJa00,rec_yds,0,,,,,
player,201509130was,was,CrowJa00,rec_td,0,,,,,
player,201509130was,was,CrowJa00,rec_long,0,,,,,
player,201509130was,was,CrowJa00,fumbles,0,,,,,
player,201509130was,was,CrowJa00,fumbles_lost,0,,,,,
player,201509130was,was,GarcPi00,pass_cmp,0,,,,,
player,201509130was,was,GarcPi00,pass_att,0,,,,,
player,201509130was,was,GarcPi00,pass_yds,0,,,,,
player,201509130was,was,GarcPi00,pass_td,0,,,,,
player,201509130was,was,GarcPi00,pass_int,0,,,,,
player,201509130was,was,GarcPi00,pass_sacked,0,,,,,
player,201509130was,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201509130was,was,GarcPi00,pass_long,0,,,,,
player,201509130was,was,GarcPi00,pass_rating,,,,,,
player,201509130was,was,GarcPi00,rush_att,0,,,,,
player,201509130was,was,GarcPi00,rush_yds,0,,,,,
player,201509130was,was,GarcPi00,rush_td,0,,,,,
player,201509130was,was,GarcPi00,rush_long,0,,,,,
player,201509130was,was,GarcPi00,targets,8,,,,,
player,201509130was,was,GarcPi00,rec,6,,,,,
player,201509130was,was,GarcPi00,rec_yds,74,,,,,
player,201509130was,was,GarcPi00,rec_td,0,,,,,
player,201509130was,was,GarcPi00,rec_long,22,,,,,
player,201509130was,was,GarcPi00,fumbles,0,,,,,
player,201509130was,was,GarcPi00,fumbles_lost,0,,,,,
player,201509130was,was,ReedJo02,pass_cmp,0,,,,,
player,201509130was,was,ReedJo02,pass_att,0,,,,,
player,201509130was,was,ReedJo02,pass_yds,0,,,,,
player,201509130was,was,ReedJo02,pass_td,0,,,,,
player,201509130was,was,ReedJo02,pass_int,0,,,,,
player,201509130was,was,ReedJo02,pass_sacked,0,,,,,
player,201509130was,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201509130was,was,ReedJo02,pass_long,0,,,,,
player,201509130was,was,ReedJo02,pass_rating,,,,,,
player,201509130was,was,ReedJo02,rush_att,0,,,,,
player,201509130was,was,ReedJo02,rush_yds,0,,,,,
player,201509130was,was,ReedJo02,rush_td,0,,,,,
player,201509130was,was,ReedJo02,rush_long,0,,,,,
player,201509130was,was,ReedJo02,targets,11,,,,,
player,201509130was,was,ReedJo02,rec,7,,,,,
player,201509130was,was,ReedJo02,rec_yds,63,,,,,
player,201509130was,was,ReedJo02,rec_td,1,,,,,
player,201509130was,was,ReedJo02,rec_long,25,,,,,
player,201509130was,was,ReedJo02,fumbles,0,,,,,
player,201509130was,was,ReedJo02,fumbles_lost,0,,,,,
player,201509130was,was,RobeAn00,pass_cmp,0,,,,,
player,201509130was,was,RobeAn00,pass_att,0,,,,,
player,201509130was,was,RobeAn00,pass_yds,0,,,,,
player,201509130was,was,RobeAn00,pass_td,0,,,,,
player,201509130was,was,RobeAn00,pass_int,0,,,,,
player,201509130was,was,RobeAn00,pass_sacked,0,,,,,
player,201509130was,was,RobeAn00,pass_sacked_yds,0,,,,,
player,201509130was,was,RobeAn00,pass_long,0,,,,,
player,201509130was,was,RobeAn00,pass_rating,,,,,,
player,201509130was,was,RobeAn00,rush_att,0,,,,,
player,201509130was,was,RobeAn00,rush_yds,0,,,,,
player,201509130was,was,RobeAn00,rush_td,0,,,,,
player,201509130was,was,RobeAn00,rush_long,0,,,,,
player,201509130was,was,RobeAn00,targets,4,,,,,
player,201509130was,was,RobeAn00,rec,3,,,,,
player,201509130was,was,RobeAn00,rec_yds,36,,,,,
player,201509130was,was,RobeAn00,rec_td,0,,,,,
player,201509130was,was,RobeAn00,rec_long,18,,,,,
player,201509130was,was,RobeAn00,fumbles,0,,,,,
player,201509130was,was,RobeAn00,fumbles_lost,0,,,,,
player,201509130was,was,GranRy01,pass_cmp,0,,,,,
player,201509130was,was,GranRy01,pass_att,0,,,,,
player,201509130was,was,GranRy01,pass_yds,0,,,,,
player,201509130was,was,GranRy01,pass_td,0,,,,,
player,201509130was,was,GranRy01,pass_int,0,,,,,
player,201509130was,was,GranRy01,pass_sacked,0,,,,,
player,201509130was,was,GranRy01,pass_sacked_yds,0,,,,,
player,201509130was,was,GranRy01,pass_long,0,,,,,
player,201509130was,was,GranRy01,pass_rating,,,,,,
player,201509130was,was,GranRy01,rush_att,0,,,,,
player,201509130was,was,GranRy01,rush_yds,0,,,,,
player,201509130was,was,GranRy01,rush_td,0,,,,,
player,201509130was,was,GranRy01,rush_long,0,,,,,
player,201509130was,was,GranRy01,targets,2,,,,,
player,201509130was,was,GranRy01,rec,1,,,,,
player,201509130was,was,GranRy01,rec_yds,15,,,,,
player,201509130was,was,GranRy01,rec_td,0,,,,,
player,201509130was,was,GranRy01,rec_long,15,,,,,
player,201509130was,was,GranRy01,fumbles,0,,,,,
player,201509130was,was,GranRy01,fumbles_lost,0,,,,,
player,201509130was,was,CarrDe00,pass_cmp,0,,,,,
player,201509130was,was,CarrDe00,pass_att,0,,,,,
player,201509130was,was,CarrDe00,pass_yds,0,,,,,
player,201509130was,was,CarrDe00,pass_td,0,,,,,
player,201509130was,was,CarrDe00,pass_int,0,,,,,
player,201509130was,was,CarrDe00,pass_sacked,0,,,,,
player,201509130was,was,CarrDe00,pass_sacked_yds,0,,,,,
player,201509130was,was,CarrDe00,pass_long,0,,,,,
player,201509130was,was,CarrDe00,pass_rating,,,,,,
player,201509130was,was,CarrDe00,rush_att,0,,,,,
player,201509130was,was,CarrDe00,rush_yds,0,,,,,
player,201509130was,was,CarrDe00,rush_td,0,,,,,
player,201509130was,was,CarrDe00,rush_long,0,,,,,
player,201509130was,was,CarrDe00,targets,2,,,,,
player,201509130was,was,CarrDe00,rec,2,,,,,
player,201509130was,was,CarrDe00,rec_yds,8,,,,,
player,201509130was,was,CarrDe00,rec_td,0,,,,,
player,201509130was,was,CarrDe00,rec_long,9,,,,,
player,201509130was,was,CarrDe00,fumbles,0,,,,,
player,201509130was,was,CarrDe00,fumbles_lost,0,,,,,
player,201509130was,was,JackDe00,pass_cmp,0,,,,,
player,201509130was,was,JackDe00,pass_att,0,,,,,
player,201509130was,was,JackDe00,pass_yds,0,,,,,
player,201509130was,was,JackDe00,pass_td,0,,,,,
player,201509130was,was,JackDe00,pass_int,0,,,,,
player,201509130was,was,JackDe00,pass_sacked,0,,,,,
player,201509130was,was,JackDe00,pass_sacked_yds,0,,,,,
player,201509130was,was,JackDe00,pass_long,0,,,,,
player,201509130was,was,JackDe00,pass_rating,,,,,,
player,201509130was,was,JackDe00,rush_att,0,,,,,
player,201509130was,was,JackDe00,rush_yds,0,,,,,
player,201509130was,was,JackDe00,rush_td,0,,,,,
player,201509130was,was,JackDe00,rush_long,0,,,,,
player,201509130was,was,JackDe00,targets,1,,,,,
player,201509130was,was,JackDe00,rec,0,,,,,
player,201509130was,was,JackDe00,rec_yds,0,,,,,
player,201509130was,was,JackDe00,rec_td,0,,,,,
player,201509130was,was,JackDe00,rec_long,0,,,,,
player,201509130was,was,JackDe00,fumbles,0,,,,,
player,201509130was,was,JackDe00,fumbles_lost,0,,,,,
player,201509130was,was,YounDa01,pass_cmp,0,,,,,
player,201509130was,was,YounDa01,pass_att,0,,,,,
player,201509130was,was,YounDa01,pass_yds,0,,,,,
player,201509130was,was,YounDa01,pass_td,0,,,,,
player,201509130was,was,YounDa01,pass_int,0,,,,,
player,201509130was,was,YounDa01,pass_sacked,0,,,,,
player,201509130was,was,YounDa01,pass_sacked_yds,0,,,,,
player,201509130was,was,YounDa01,pass_long,0,,,,,
player,201509130was,was,YounDa01,pass_rating,,,,,,
player,201509130was,was,YounDa01,rush_att,0,,,,,
player,201509130was,was,YounDa01,rush_yds,0,,,,,
player,201509130was,was,YounDa01,rush_td,0,,,,,
player,201509130was,was,YounDa01,rush_long,0,,,,,
player,201509130was,was,YounDa01,targets,1,,,,,
player,201509130was,was,YounDa01,rec,1,,,,,
player,201509130was,was,YounDa01,rec_yds,0,,,,,
player,201509130was,was,YounDa01,rec_td,0,,,,,
player,201509130was,was,YounDa01,rec_long,0,,,,,
player,201509130was,was,YounDa01,fumbles,0,,,,,
player,201509130was,was,YounDa01,fumbles_lost,0,,,,,
player,201509130was,mia,McCaBr99,def_int,1,,,,,
player,201509130was,mia,McCaBr99,def_int_yds,0,,,,,
player,201509130was,mia,McCaBr99,def_int_td,0,,,,,
player,201509130was,mia,McCaBr99,def_int_long,0,,,,,
player,201509130was,mia,McCaBr99,pass_defended,1,,,,,
player,201509130was,mia,McCaBr99,sacks,0.0,,,,,
player,201509130was,mia,McCaBr99,tackles_combined,6,,,,,
player,201509130was,mia,McCaBr99,tackles_solo,2,,,,,
player,201509130was,mia,McCaBr99,tackles_assists,4,,,,,
player,201509130was,mia,McCaBr99,tackles_loss,0,,,,,
player,201509130was,mia,McCaBr99,qb_hits,0,,,,,
player,201509130was,mia,McCaBr99,fumbles_rec,0,,,,,
player,201509130was,mia,McCaBr99,fumbles_rec_yds,0,,,,,
player,201509130was,mia,McCaBr99,fumbles_rec_td,0,,,,,
player,201509130was,mia,McCaBr99,fumbles_forced,0,,,,,
player,201509130was,mia,GrimBr20,def_int,1,,,,,
player,201509130was,mia,GrimBr20,def_int_yds,2,,,,,
player,201509130was,mia,GrimBr20,def_int_td,0,,,,,
player,201509130was,mia,GrimBr20,def_int_long,2,,,,,
player,201509130was,mia,GrimBr20,pass_defended,1,,,,,
player,201509130was,mia,GrimBr20,sacks,0.0,,,,,
player,201509130was,mia,GrimBr20,tackles_combined,2,,,,,
player,201509130was,mia,GrimBr20,tackles_solo,1,,,,,
player,201509130was,mia,GrimBr20,tackles_assists,1,,,,,
player,201509130was,mia,GrimBr20,tackles_loss,0,,,,,
player,201509130was,mia,GrimBr20,qb_hits,0,,,,,
player,201509130was,mia,GrimBr20,fumbles_rec,0,,,,,
player,201509130was,mia,GrimBr20,fumbles_rec_yds,0,,,,,
player,201509130was,mia,GrimBr20,fumbles_rec_td,0,,,,,
player,201509130was,mia,GrimBr20,fumbles_forced,0,,,,,
player,201509130was,mia,PhilJo01,def_int,0,,,,,
player,201509130was,mia,PhilJo01,def_int_yds,0,,,,,
player,201509130was,mia,PhilJo01,def_int_td,0,,,,,
player,201509130was,mia,PhilJo01,def_int_long,0,,,,,
player,201509130was,mia,PhilJo01,pass_defended,0,,,,,
player,201509130was,mia,PhilJo01,sacks,1.0,,,,,
player,201509130was,mia,PhilJo01,tackles_combined,1,,,,,
player,201509130was,mia,PhilJo01,tackles_solo,1,,,,,
player,201509130was,mia,PhilJo01,tackles_assists,0,,,,,
player,201509130was,mia,PhilJo01,tackles_loss,1,,,,,
player,201509130was,mia,PhilJo01,qb_hits,1,,,,,
