game,2015,15,20151220,201512200rav,kan,"Kansas City Chiefs",34,rav,"Baltimore Ravens",14
player,201512200rav,kan,KelcTr00,pass_yds,0,,,,,
player,201512200rav,kan,KelcTr00,pass_td,0,,,,,
player,201512200rav,kan,KelcTr00,pass_int,0,,,,,
player,201512200rav,kan,KelcTr00,pass_sacked,0,,,,,
player,201512200rav,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201512200rav,kan,KelcTr00,pass_long,0,,,,,
player,201512200rav,kan,KelcTr00,pass_rating,,,,,,
player,201512200rav,kan,KelcTr00,rush_att,0,,,,,
player,201512200rav,kan,KelcTr00,rush_yds,0,,,,,
player,201512200rav,kan,KelcTr00,rush_td,0,,,,,
player,201512200rav,kan,KelcTr00,rush_long,0,,,,,
player,201512200rav,kan,KelcTr00,targets,7,,,,,
player,201512200rav,kan,KelcTr00,rec,6,,,,,
player,201512200rav,kan,KelcTr00,rec_yds,73,,,,,
player,201512200rav,kan,KelcTr00,rec_td,0,,,,,
player,201512200rav,kan,KelcTr00,rec_long,29,,,,,
player,201512200rav,kan,KelcTr00,fumbles,0,,,,,
player,201512200rav,kan,KelcTr00,fumbles_lost,0,,,,,
player,201512200rav,kan,MaclJe00,pass_cmp,0,,,,,
player,201512200rav,kan,MaclJe00,pass_att,0,,,,,
player,201512200rav,kan,MaclJe00,pass_yds,0,,,,,
player,201512200rav,kan,MaclJe00,pass_td,0,,,,,
player,201512200rav,kan,MaclJe00,pass_int,0,,,,,
player,201512200rav,kan,MaclJe00,pass_sacked,0,,,,,
player,201512200rav,kan,MaclJe00,pass_sacked_yds,0,,,,,
player,201512200rav,kan,MaclJe00,pass_long,0,,,,,
player,201512200rav,kan,MaclJe00,pass_rating,,,,,,
player,201512200rav,kan,MaclJe00,rush_att,0,,,,,
player,201512200rav,kan,MaclJe00,rush_yds,0,,,,,
player,201512200rav,kan,MaclJe00,rush_td,0,,,,,
player,201512200rav,kan,MaclJe00,rush_long,0,,,,,
player,201512200rav,kan,MaclJe00,targets,10,,,,,
player,201512200rav,kan,MaclJe00,rec,7,,,,,
player,201512200rav,kan,MaclJe00,rec_yds,50,,,,,
player,201512200rav,kan,MaclJe00,rec_td,1,,,,,
player,201512200rav,kan,MaclJe00,rec_long,13,,,,,
player,201512200rav,kan,MaclJe00,fumbles,1,,,,,
player,201512200rav,kan,MaclJe00,fumbles_lost,0,,,,,
player,201512200rav,kan,AvanJa00,pass_cmp,0,,,,,
player,201512200rav,kan,AvanJa00,pass_att,0,,,,,
player,201512200rav,kan,AvanJa00,pass_yds,0,,,,,
player,201512200rav,kan,AvanJa00,pass_td,0,,,,,
player,201512200rav,kan,AvanJa00,pass_int,0,,,,,
player,201512200rav,kan,AvanJa00,pass_sacked,0,,,,,
player,201512200rav,kan,AvanJa00,pass_sacked_yds,0,,,,,
player,201512200rav,kan,AvanJa00,pass_long,0,,,,,
player,201512200rav,kan,AvanJa00,pass_rating,,,,,,
player,201512200rav,kan,AvanJa00,rush_att,0,,,,,
player,201512200rav,kan,AvanJa00,rush_yds,0,,,,,
player,201512200rav,kan,AvanJa00,rush_td,0,,,,,
player,201512200rav,kan,AvanJa00,rush_long,0,,,,,
player,201512200rav,kan,AvanJa00,targets,2,,,,,
player,201512200rav,kan,AvanJa00,rec,2,,,,,
player,201512200rav,kan,AvanJa00,rec_yds,12,,,,,
player,201512200rav,kan,AvanJa00,rec_td,0,,,,,
player,201512200rav,kan,AvanJa00,rec_long,6,,,,,
player,201512200rav,kan,AvanJa00,fumbles,0,,,,,
player,201512200rav,kan,AvanJa00,fumbles_lost,0,,,,,
player,201512200rav,kan,DaniCh00,pass_cmp,0,,,,,
player,201512200rav,kan,DaniCh00,pass_att,0,,,,,
player,201512200rav,kan,DaniCh00,pass_yds,0,,,,,
player,201512200rav,kan,DaniCh00,pass_td,0,,,,,
player,201512200rav,kan,DaniCh00,pass_int,0,,,,,
player,201512200rav,kan,DaniCh00,pass_sacked,0,,,,,
player,201512200rav,kan,DaniCh00,pass_sacked_yds,0,,,,,
player,201512200rav,kan,DaniCh00,pass_long,0,,,,,
player,201512200rav,kan,DaniCh00,pass_rating,,,,,,
player,201512200rav,kan,DaniCh00,rush_att,2,,,,,
player,201512200rav,kan,DaniCh00,rush_yds,-2,,,,,
player,201512200rav,kan,DaniCh00,rush_td,0,,,,,
player,201512200rav,kan,DaniCh00,rush_long,-1,,,,,
player,201512200rav,kan,DaniCh00,targets,0,,,,,
player,201512200rav,kan,DaniCh00,rec,0,,,,,
player,201512200rav,kan,DaniCh00,rec_yds,0,,,,,
player,201512200rav,kan,DaniCh00,rec_td,0,,,,,
player,201512200rav,kan,DaniCh00,rec_long,0,,,,,
player,201512200rav,kan,DaniCh00,fumbles,0,,,,,
player,201512200rav,kan,DaniCh00,fumbles_lost,0,,,,,
player,201512200rav,rav,ClauJi00,pass_cmp,26,,,,,
player,201512200rav,rav,ClauJi00,pass_att,45,,,,,
player,201512200rav,rav,ClauJi00,pass_yds,281,,,,,
player,201512200rav,rav,ClauJi00,pass_td,2,,,,,
player,201512200rav,rav,ClauJi00,pass_int,2,,,,,
player,201512200rav,rav,ClauJi00,pass_sacked,2,,,,,
player,201512200rav,rav,ClauJi00,pass_sacked_yds,8,,,,,
player,201512200rav,rav,ClauJi00,pass_long,48,,,,,
player,201512200rav,rav,ClauJi00,pass_rating,72.5,,,,,
player,201512200rav,rav,ClauJi00,rush_att,5,,,,,
player,201512200rav,rav,ClauJi00,rush_yds,30,,,,,
player,201512200rav,rav,ClauJi00,rush_td,0,,,,,
player,201512200rav,rav,ClauJi00,rush_long,8,,,,,
player,201512200rav,rav,ClauJi00,targets,0,,,,,
player,201512200rav,rav,ClauJi00,rec,0,,,,,
player,201512200rav,rav,ClauJi00,rec_yds,0,,,,,
player,201512200rav,rav,ClauJi00,rec_td,0,,,,,
player,201512200rav,rav,ClauJi00,rec_long,0,,,,,
player,201512200rav,rav,ClauJi00,fumbles,0,,,,,
player,201512200rav,rav,ClauJi00,fumbles_lost,0,,,,,
player,201512200rav,rav,WestTe00,pass_cmp,0,,,,,
player,201512200rav,rav,WestTe00,pass_att,0,,,,,
player,201512200rav,rav,WestTe00,pass_yds,0,,,,,
player,201512200rav,rav,WestTe00,pass_td,0,,,,,
player,201512200rav,rav,WestTe00,pass_int,0,,,,,
player,201512200rav,rav,WestTe00,pass_sacked,0,,,,,
player,201512200rav,rav,WestTe00,pass_sacked_yds,0,,,,,
player,201512200rav,rav,WestTe00,pass_long,0,,,,,
player,201512200rav,rav,WestTe00,pass_rating,,,,,,
player,201512200rav,rav,WestTe00,rush_att,7,,,,,
player,201512200rav,rav,WestTe00,rush_yds,35,,,,,
player,201512200rav,rav,WestTe00,rush_td,0,,,,,
player,201512200rav,rav,WestTe00,rush_long,12,,,,,
player,201512200rav,rav,WestTe00,targets,2,,,,,
player,201512200rav,rav,WestTe00,rec,2,,,,,
player,201512200rav,rav,WestTe00,rec_yds,11,,,,,
player,201512200rav,rav,WestTe00,rec_td,0,,,,,
player,201512200rav,rav,WestTe00,rec_long,8,,,,,
player,201512200rav,rav,WestTe00,fumbles,0,,,,,
player,201512200rav,rav,WestTe00,fumbles_lost,0,,,,,
player,201512200rav,rav,AlleJa01,pass_cmp,0,,,,,
player,201512200rav,rav,AlleJa01,pass_att,0,,,,,
player,201512200rav,rav,AlleJa01,pass_yds,0,,,,,
player,201512200rav,rav,AlleJa01,pass_td,0,,,,,
player,201512200rav,rav,AlleJa01,pass_int,0,,,,,
player,201512200rav,rav,AlleJa01,pass_sacked,0,,,,,
player,201512200rav,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201512200rav,rav,AlleJa01,pass_long,0,,,,,
player,201512200rav,rav,AlleJa01,pass_rating,,,,,,
player,201512200rav,rav,AlleJa01,rush_att,4,,,,,
player,201512200rav,rav,AlleJa01,rush_yds,18,,,,,
player,201512200rav,rav,AlleJa01,rush_td,0,,,,,
player,201512200rav,rav,AlleJa01,rush_long,9,,,,,
player,201512200rav,rav,AlleJa01,targets,1,,,,,
player,201512200rav,rav,AlleJa01,rec,0,,,,,
player,201512200rav,rav,AlleJa01,rec_yds,0,,,,,
player,201512200rav,rav,AlleJa01,rec_td,0,,,,,
player,201512200rav,rav,AlleJa01,rec_long,0,,,,,
player,201512200rav,rav,AlleJa01,fumbles,1,,,,,
player,201512200rav,rav,AlleJa01,fumbles_lost,1,,,,,
player,201512200rav,rav,KochSa20,pass_cmp,0,,,,,
player,201512200rav,rav,KochSa20,pass_att,0,,,,,
player,201512200rav,rav,KochSa20,pass_yds,0,,,,,
player,201512200rav,rav,KochSa20,pass_td,0,,,,,
player,201512200rav,rav,KochSa20,pass_int,0,,,,,
player,201512200rav,rav,KochSa20,pass_sacked,0,,,,,
player,201512200rav,rav,KochSa20,pass_sacked_yds,0,,,,,
player,201512200rav,rav,KochSa20,pass_long,0,,,,,
player,201512200rav,rav,KochSa20,pass_rating,,,,,,
player,201512200rav,rav,KochSa20,rush_att,1,,,,,
player,201512200rav,rav,KochSa20,rush_yds,7,,,,,
player,201512200rav,rav,KochSa20,rush_td,0,,,,,
player,201512200rav,rav,KochSa20,rush_long,7,,,,,
player,201512200rav,rav,KochSa20,targets,0,,,,,
player,201512200rav,rav,KochSa20,rec,0,,,,,
player,201512200rav,rav,KochSa20,rec_yds,0,,,,,
player,201512200rav,rav,KochSa20,rec_td,0,,,,,
player,201512200rav,rav,KochSa20,rec_long,0,,,,,
player,201512200rav,rav,KochSa20,fumbles,0,,,,,
player,201512200rav,rav,KochSa20,fumbles_lost,0,,,,,
player,201512200rav,rav,MageTe00,pass_cmp,0,,,,,
player,201512200rav,rav,MageTe00,pass_att,0,,,,,
player,201512200rav,rav,MageTe00,pass_yds,0,,,,,
player,201512200rav,rav,MageTe00,pass_td,0,,,,,
player,201512200rav,rav,MageTe00,pass_int,0,,,,,
player,201512200rav,rav,MageTe00,pass_sacked,0,,,,,
player,201512200rav,rav,MageTe00,pass_sacked_yds,0,,,,,
player,201512200rav,rav,MageTe00,pass_long,0,,,,,
player,201512200rav,rav,MageTe00,pass_rating,,,,,,
player,201512200rav,rav,MageTe00,rush_att,2,,,,,
player,201512200rav,rav,MageTe00,rush_yds,5,,,,,
player,201512200rav,rav,MageTe00,rush_td,0,,,,,
player,201512200rav,rav,MageTe00,rush_long,4,,,,,
player,201512200rav,rav,MageTe00,targets,1,,,,,
player,201512200rav,rav,MageTe00,rec,1,,,,,
player,201512200rav,rav,MageTe00,rec_yds,2,,,,,
player,201512200rav,rav,MageTe00,rec_td,0,,,,,
player,201512200rav,rav,MageTe00,rec_long,2,,,,,
player,201512200rav,rav,MageTe00,fumbles,0,,,,,
player,201512200rav,rav,MageTe00,fumbles_lost,0,,,,,
player,201512200rav,rav,AikeKa00,pass_cmp,0,,,,,
player,201512200rav,rav,AikeKa00,pass_att,0,,,,,
player,201512200rav,rav,AikeKa00,pass_yds,0,,,,,
player,201512200rav,rav,AikeKa00,pass_td,0,,,,,
player,201512200rav,rav,AikeKa00,pass_int,0,,,,,
player,201512200rav,rav,AikeKa00,pass_sacked,0,,,,,
player,201512200rav,rav,AikeKa00,pass_sacked_yds,0,,,,,
player,201512200rav,rav,AikeKa00,pass_long,0,,,,,
player,201512200rav,rav,AikeKa00,pass_rating,,,,,,
player,201512200rav,rav,AikeKa00,rush_att,0,,,,,
player,201512200rav,rav,AikeKa00,rush_yds,0,,,,,
player,201512200rav,rav,AikeKa00,rush_td,0,,,,,
player,201512200rav,rav,AikeKa00,rush_long,0,,,,,
player,201512200rav,rav,AikeKa00,targets,12,,,,,
player,201512200rav,rav,AikeKa00,rec,8,,,,,
player,201512200rav,rav,AikeKa00,rec_yds,128,,,,,
player,201512200rav,rav,AikeKa00,rec_td,1,,,,,
player,201512200rav,rav,AikeKa00,rec_long,48,,,,,
player,201512200rav,rav,AikeKa00,fumbles,0,,,,,
player,201512200rav,rav,AikeKa00,fumbles_lost,0,,,,,
player,201512200rav,rav,ButlJe01,pass_cmp,0,,,,,
player,201512200rav,rav,ButlJe01,pass_att,0,,,,,
player,201512200rav,rav,ButlJe01,pass_yds,0,,,,,
player,201512200rav,rav,ButlJe01,pass_td,0,,,,,
player,201512200rav,rav,ButlJe01,pass_int,0,,,,,
player,201512200rav,rav,ButlJe01,pass_sacked,0,,,,,
player,201512200rav,rav,ButlJe01,pass_sacked_yds,0,,,,,
player,201512200rav,rav,ButlJe01,pass_long,0,,,,,
player,201512200rav,rav,ButlJe01,pass_rating,,,,,,
player,201512200rav,rav,ButlJe01,rush_att,0,,,,,
player,201512200rav,rav,ButlJe01,rush_yds,0,,,,,
player,201512200rav,rav,ButlJe01,rush_td,0,,,,,
player,201512200rav,rav,ButlJe01,rush_long,0,,,,,
player,201512200rav,rav,ButlJe01,targets,5,,,,,
player,201512200rav,rav,ButlJe01,rec,3,,,,,
player,201512200rav,rav,ButlJe01,rec_yds,60,,,,,
player,201512200rav,rav,ButlJe01,rec_td,0,,,,,
player,201512200rav,rav,ButlJe01,rec_long,41,,,,,
player,201512200rav,rav,ButlJe01,fumbles,0,,,,,
player,201512200rav,rav,ButlJe01,fumbles_lost,0,,,,,
player,201512200rav,rav,WillMa04,pass_cmp,0,,,,,
player,201512200rav,rav,WillMa04,pass_att,0,,,,,
player,201512200rav,rav,WillMa04,pass_yds,0,,,,,
player,201512200rav,rav,WillMa04,pass_td,0,,,,,
player,201512200rav,rav,WillMa04,pass_int,0,,,,,
player,201512200rav,rav,WillMa04,pass_sacked,0,,,,,
player,201512200rav,rav,WillMa04,pass_sacked_yds,0,,,,,
player,201512200rav,rav,WillMa04,pass_long,0,,,,,
player,201512200rav,rav,WillMa04,pass_rating,,,,,,
player,201512200rav,rav,WillMa04,rush_att,0,,,,,
player,201512200rav,rav,WillMa04,rush_yds,0,,,,,
player,201512200rav,rav,WillMa04,rush_td,0,,,,,
player,201512200rav,rav,WillMa04,rush_long,0,,,,,
player,201512200rav,rav,WillMa04,targets,6,,,,,
player,201512200rav,rav,WillMa04,rec,5,,,,,
player,201512200rav,rav,WillMa04,rec_yds,31,,,,,
player,201512200rav,rav,WillMa04,rec_td,0,,,,,
player,201512200rav,rav,WillMa04,rec_long,13,,,,,
player,201512200rav,rav,WillMa04,fumbles,0,,,,,
player,201512200rav,rav,WillMa04,fumbles_lost,0,,,,,
player,201512200rav,rav,JuszKy00,pass_cmp,0,,,,,
player,201512200rav,rav,JuszKy00,pass_att,0,,,,,
player,201512200rav,rav,JuszKy00,pass_yds,0,,,,,
player,201512200rav,rav,JuszKy00,pass_td,0,,,,,
player,201512200rav,rav,JuszKy00,pass_int,0,,,,,
player,201512200rav,rav,JuszKy00,pass_sacked,0,,,,,
player,201512200rav,rav,JuszKy00,pass_sacked_yds,0,,,,,
player,201512200rav,rav,JuszKy00,pass_long,0,,,,,
player,201512200rav,rav,JuszKy00,pass_rating,,,,,,
player,201512200rav,rav,JuszKy00,rush_att,0,,,,,
player,201512200rav,rav,JuszKy00,rush_yds,0,,,,,
player,201512200rav,rav,JuszKy00,rush_td,0,,,,,
player,201512200rav,rav,JuszKy00,rush_long,0,,,,,
player,201512200rav,rav,JuszKy00,targets,6,,,,,
player,201512200rav,rav,JuszKy00,rec,5,,,,,
player,201512200rav,rav,JuszKy00,rec_yds,26,,,,,
player,201512200rav,rav,JuszKy00,rec_td,1,,,,,
player,201512200rav,rav,JuszKy00,rec_long,11,,,,,
player,201512200rav,rav,JuszKy00,fumbles,0,,,,,
player,201512200rav,rav,JuszKy00,fumbles_lost,0,,,,,
player,201512200rav,rav,MattCh00,pass_cmp,0,,,,,
player,201512200rav,rav,MattCh00,pass_att,0,,,,,
player,201512200rav,rav,MattCh00,pass_yds,0,,,,,
player,201512200rav,rav,MattCh00,pass_td,0,,,,,
player,201512200rav,rav,MattCh00,pass_int,0,,,,,
player,201512200rav,rav,MattCh00,pass_sacked,0,,,,,
player,201512200rav,rav,MattCh00,pass_sacked_yds,0,,,,,
player,201512200rav,rav,MattCh00,pass_long,0,,,,,
player,201512200rav,rav,MattCh00,pass_rating,,,,,,
player,201512200rav,rav,MattCh00,rush_att,0,,,,,
player,201512200rav,rav,MattCh00,rush_yds,0,,,,,
player,201512200rav,rav,MattCh00,rush_td,0,,,,,
player,201512200rav,rav,MattCh00,rush_long,0,,,,,
player,201512200rav,rav,MattCh00,targets,4,,,,,
player,201512200rav,rav,MattCh00,rec,1,,,,,
player,201512200rav,rav,MattCh00,rec_yds,6,,,,,
player,201512200rav,rav,MattCh00,rec_td,0,,,,,
player,201512200rav,rav,MattCh00,rec_long,6,,,,,
player,201512200rav,rav,MattCh00,fumbles,0,,,,,
player,201512200rav,rav,MattCh00,fumbles_lost,0,,,,,
player,201512200rav,rav,BrowDa04,pass_cmp,0,,,,,
player,201512200rav,rav,BrowDa04,pass_att,0,,,,,
player,201512200rav,rav,BrowDa04,pass_yds,0,,,,,
player,201512200rav,rav,BrowDa04,pass_td,0,,,,,
player,201512200rav,rav,BrowDa04,pass_int,0,,,,,
player,201512200rav,rav,BrowDa04,pass_sacked,0,,,,,
player,201512200rav,rav,BrowDa04,pass_sacked_yds,0,,,,,
player,201512200rav,rav,BrowDa04,pass_long,0,,,,,
player,201512200rav,rav,BrowDa04,pass_rating,,,,,,
player,201512200rav,rav,BrowDa04,rush_att,0,,,,,
player,201512200rav,rav,BrowDa04,rush_yds,0,,,,,
player,201512200rav,rav,BrowDa04,rush_td,0,,,,,
player,201512200rav,rav,BrowDa04,rush_long,0,,,,,
player,201512200rav,rav,BrowDa04,targets,3,,,,,
player,201512200rav,rav,BrowDa04,rec,0,,,,,
player,201512200rav,rav,BrowDa04,rec_yds,0,,,,,
player,201512200rav,rav,BrowDa04,rec_td,0,,,,,
player,201512200rav,rav,BrowDa04,rec_long,0,,,,,
player,201512200rav,rav,BrowDa04,fumbles,0,,,,,
player,201512200rav,rav,BrowDa04,fumbles_lost,0,,,,,
player,201512200rav,rav,GiveCh00,pass_cmp,0,,,,,
player,201512200rav,rav,GiveCh00,pass_att,0,,,,,
player,201512200rav,rav,GiveCh00,pass_yds,0,,,,,
player,201512200rav,rav,GiveCh00,pass_td,0,,,,,
player,201512200rav,rav,GiveCh00,pass_int,0,,,,,
player,201512200rav,rav,GiveCh00,pass_sacked,0,,,,,
player,201512200rav,rav,GiveCh00,pass_sacked_yds,0,,,,,
player,201512200rav,rav,GiveCh00,pass_long,0,,,,,
player,201512200rav,rav,GiveCh00,pass_rating,,,,,,
player,201512200rav,rav,GiveCh00,rush_att,1,,,,,
player,201512200rav,rav,GiveCh00,rush_yds,-2,,,,,
player,201512200rav,rav,GiveCh00,rush_td,0,,,,,
player,201512200rav,rav,GiveCh00,rush_long,-2,,,,,
player,201512200rav,rav,GiveCh00,targets,5,,,,,
player,201512200rav,rav,GiveCh00,rec,1,,,,,
player,201512200rav,rav,GiveCh00,rec_yds,17,,,,,
player,201512200rav,rav,GiveCh00,rec_td,0,,,,,
player,201512200rav,rav,GiveCh00,rec_long,17,,,,,
player,201512200rav,rav,GiveCh00,fumbles,0,,,,,
player,201512200rav,rav,GiveCh00,fumbles_lost,0,,,,,
player,201512200rav,kan,PeteMa00,def_int,2,,,,,
player,201512200rav,kan,PeteMa00,def_int_yds,93,,,,,
player,201512200rav,kan,PeteMa00,def_int_td,1,,,,,
player,201512200rav,kan,PeteMa00,def_int_long,90,,,,,
player,201512200rav,kan,PeteMa00,pass_defended,4,,,,,
player,201512200rav,kan,PeteMa00,sacks,0.0,,,,,
player,201512200rav,kan,PeteMa00,tackles_combined,3,,,,,
player,201512200rav,kan,PeteMa00,tackles_solo,2,,,,,
player,201512200rav,kan,PeteMa00,tackles_assists,1,,,,,
player,201512200rav,kan,PeteMa00,tackles_loss,0,,,,,
player,201512200rav,kan,PeteMa00,qb_hits,0,,,,,
player,201512200rav,kan,PeteMa00,fumbles_rec,0,,,,,
player,201512200rav,kan,PeteMa00,fumbles_rec_yds,0,,,,,
player,201512200rav,kan,PeteMa00,fumbles_rec_td,0,,,,,
player,201512200rav,kan,PeteMa00,fumbles_forced,0,,,,,
player,201512200rav,kan,ParkRo01,def_int,0,,,,,
player,201512200rav,kan,ParkRo01,def_int_yds,0,,,,,
player,201512200rav,kan,ParkRo01,def_int_td,0,,,,,
player,201512200rav,kan,ParkRo01,def_int_long,0,,,,,
player,201512200rav,kan,ParkRo01,pass_defended,0,,,,,
player,201512200rav,kan,ParkRo01,sacks,1.0,,,,,
player,201512200rav,kan,ParkRo01,tackles_combined,4,,,,,
player,201512200rav,kan,ParkRo01,tackles_solo,2,,,,,
player,201512200rav,kan,ParkRo01,tackles_assists,2,,,,,
player,201512200rav,kan,ParkRo01,tackles_loss,1,,,,,
player,201512200rav,kan,ParkRo01,qb_hits,1,,,,,
player,201512200rav,kan,ParkRo01,fumbles_rec,0,,,,,
player,201512200rav,kan,ParkRo01,fumbles_rec_yds,0,,,,,
player,201512200rav,kan,ParkRo01,fumbles_rec_td,0,,,,,
player,201512200rav,kan,ParkRo01,fumbles_forced,0,,,,,
player,201512200rav,kan,HowaJa00,def_int,0,,,,,
player,201512200rav,kan,HowaJa00,def_int_yds,0,,,,,
player,201512200rav,kan,HowaJa00,def_int_td,0,,,,,
