game,2015,14,20151210,201512100crd,min,"Minnesota Vikings",20,crd,"Arizona Cardinals",23
player,201512100crd,crd,PalmCa00,rush_yds,3,,,,,
player,201512100crd,crd,PalmCa00,rush_td,0,,,,,
player,201512100crd,crd,PalmCa00,rush_long,5,,,,,
player,201512100crd,crd,PalmCa00,targets,0,,,,,
player,201512100crd,crd,PalmCa00,rec,0,,,,,
player,201512100crd,crd,PalmCa00,rec_yds,0,,,,,
player,201512100crd,crd,PalmCa00,rec_td,0,,,,,
player,201512100crd,crd,PalmCa00,rec_long,0,,,,,
player,201512100crd,crd,PalmCa00,fumbles,0,,,,,
player,201512100crd,crd,PalmCa00,fumbles_lost,0,,,,,
player,201512100crd,crd,JohnDa08,pass_cmp,0,,,,,
player,201512100crd,crd,JohnDa08,pass_att,0,,,,,
player,201512100crd,crd,JohnDa08,pass_yds,0,,,,,
player,201512100crd,crd,JohnDa08,pass_td,0,,,,,
player,201512100crd,crd,JohnDa08,pass_int,0,,,,,
player,201512100crd,crd,JohnDa08,pass_sacked,0,,,,,
player,201512100crd,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201512100crd,crd,JohnDa08,pass_long,0,,,,,
player,201512100crd,crd,JohnDa08,pass_rating,,,,,,
player,201512100crd,crd,JohnDa08,rush_att,19,,,,,
player,201512100crd,crd,JohnDa08,rush_yds,92,,,,,
player,201512100crd,crd,JohnDa08,rush_td,0,,,,,
player,201512100crd,crd,JohnDa08,rush_long,24,,,,,
player,201512100crd,crd,JohnDa08,targets,7,,,,,
player,201512100crd,crd,JohnDa08,rec,5,,,,,
player,201512100crd,crd,JohnDa08,rec_yds,31,,,,,
player,201512100crd,crd,JohnDa08,rec_td,0,,,,,
player,201512100crd,crd,JohnDa08,rec_long,14,,,,,
player,201512100crd,crd,JohnDa08,fumbles,0,,,,,
player,201512100crd,crd,JohnDa08,fumbles_lost,0,,,,,
player,201512100crd,crd,WillKe05,pass_cmp,0,,,,,
player,201512100crd,crd,WillKe05,pass_att,0,,,,,
player,201512100crd,crd,WillKe05,pass_yds,0,,,,,
player,201512100crd,crd,WillKe05,pass_td,0,,,,,
player,201512100crd,crd,WillKe05,pass_int,0,,,,,
player,201512100crd,crd,WillKe05,pass_sacked,0,,,,,
player,201512100crd,crd,WillKe05,pass_sacked_yds,0,,,,,
player,201512100crd,crd,WillKe05,pass_long,0,,,,,
player,201512100crd,crd,WillKe05,pass_rating,,,,,,
player,201512100crd,crd,WillKe05,rush_att,6,,,,,
player,201512100crd,crd,WillKe05,rush_yds,2,,,,,
player,201512100crd,crd,WillKe05,rush_td,0,,,,,
player,201512100crd,crd,WillKe05,rush_long,7,,,,,
