game,2015,6,20151018,201510180clt,nwe,"New England Patriots",34,clt,"Indianapolis Colts",27
player,201510180clt,nwe,BlouLe00,pass_td,0,,,,,
player,201510180clt,nwe,BlouLe00,pass_int,0,,,,,
player,201510180clt,nwe,BlouLe00,pass_sacked,0,,,,,
player,201510180clt,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201510180clt,nwe,BlouLe00,pass_long,0,,,,,
player,201510180clt,nwe,BlouLe00,pass_rating,,,,,,
player,201510180clt,nwe,BlouLe00,rush_att,16,,,,,
player,201510180clt,nwe,BlouLe00,rush_yds,93,,,,,
player,201510180clt,nwe,BlouLe00,rush_td,1,,,,,
player,201510180clt,nwe,BlouLe00,rush_long,38,,,,,
player,201510180clt,nwe,BlouLe00,targets,1,,,,,
player,201510180clt,nwe,BlouLe00,rec,1,,,,,
player,201510180clt,nwe,BlouLe00,rec_yds,11,,,,,
player,201510180clt,nwe,BlouLe00,rec_td,1,,,,,
player,201510180clt,nwe,BlouLe00,rec_long,11,,,,,
player,201510180clt,nwe,BlouLe00,fumbles,0,,,,,
player,201510180clt,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201510180clt,nwe,LewiDi00,pass_cmp,0,,,,,
player,201510180clt,nwe,LewiDi00,pass_att,0,,,,,
player,201510180clt,nwe,LewiDi00,pass_yds,0,,,,,
player,201510180clt,nwe,LewiDi00,pass_td,0,,,,,
player,201510180clt,nwe,LewiDi00,pass_int,0,,,,,
player,201510180clt,nwe,LewiDi00,pass_sacked,0,,,,,
player,201510180clt,nwe,LewiDi00,pass_sacked_yds,0,,,,,
player,201510180clt,nwe,LewiDi00,pass_long,0,,,,,
player,201510180clt,nwe,LewiDi00,pass_rating,,,,,,
player,201510180clt,nwe,LewiDi00,rush_att,4,,,,,
player,201510180clt,nwe,LewiDi00,rush_yds,21,,,,,
player,201510180clt,nwe,LewiDi00,rush_td,0,,,,,
player,201510180clt,nwe,LewiDi00,rush_long,8,,,,,
player,201510180clt,nwe,LewiDi00,targets,6,,,,,
player,201510180clt,nwe,LewiDi00,rec,3,,,,,
player,201510180clt,nwe,LewiDi00,rec_yds,18,,,,,
player,201510180clt,nwe,LewiDi00,rec_td,0,,,,,
player,201510180clt,nwe,LewiDi00,rec_long,12,,,,,
player,201510180clt,nwe,LewiDi00,fumbles,0,,,,,
player,201510180clt,nwe,LewiDi00,fumbles_lost,0,,,,,
player,201510180clt,nwe,EdelJu00,pass_cmp,0,,,,,
player,201510180clt,nwe,EdelJu00,pass_att,0,,,,,
player,201510180clt,nwe,EdelJu00,pass_yds,0,,,,,
player,201510180clt,nwe,EdelJu00,pass_td,0,,,,,
player,201510180clt,nwe,EdelJu00,pass_int,0,,,,,
player,201510180clt,nwe,EdelJu00,pass_sacked,0,,,,,
player,201510180clt,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201510180clt,nwe,EdelJu00,pass_long,0,,,,,
player,201510180clt,nwe,EdelJu00,pass_rating,,,,,,
player,201510180clt,nwe,EdelJu00,rush_att,1,,,,,
player,201510180clt,nwe,EdelJu00,rush_yds,2,,,,,
player,201510180clt,nwe,EdelJu00,rush_td,0,,,,,
player,201510180clt,nwe,EdelJu00,rush_long,2,,,,,
player,201510180clt,nwe,EdelJu00,targets,10,,,,,
player,201510180clt,nwe,EdelJu00,rec,6,,,,,
player,201510180clt,nwe,EdelJu00,rec_yds,50,,,,,
player,201510180clt,nwe,EdelJu00,rec_td,1,,,,,
player,201510180clt,nwe,EdelJu00,rec_long,13,,,,,
player,201510180clt,nwe,EdelJu00,fumbles,0,,,,,
player,201510180clt,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201510180clt,nwe,AmenDa00,pass_cmp,0,,,,,
player,201510180clt,nwe,AmenDa00,pass_att,0,,,,,
player,201510180clt,nwe,AmenDa00,pass_yds,0,,,,,
player,201510180clt,nwe,AmenDa00,pass_td,0,,,,,
player,201510180clt,nwe,AmenDa00,pass_int,0,,,,,
player,201510180clt,nwe,AmenDa00,pass_sacked,0,,,,,
player,201510180clt,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201510180clt,nwe,AmenDa00,pass_long,0,,,,,
player,201510180clt,nwe,AmenDa00,pass_rating,,,,,,
player,201510180clt,nwe,AmenDa00,rush_att,0,,,,,
player,201510180clt,nwe,AmenDa00,rush_yds,0,,,,,
player,201510180clt,nwe,AmenDa00,rush_td,0,,,,,
player,201510180clt,nwe,AmenDa00,rush_long,0,,,,,
player,201510180clt,nwe,AmenDa00,targets,9,,,,,
player,201510180clt,nwe,AmenDa00,rec,7,,,,,
player,201510180clt,nwe,AmenDa00,rec_yds,105,,,,,
player,201510180clt,nwe,AmenDa00,rec_td,0,,,,,
player,201510180clt,nwe,AmenDa00,rec_long,35,,,,,
player,201510180clt,nwe,AmenDa00,fumbles,0,,,,,
player,201510180clt,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201510180clt,nwe,GronRo00,pass_cmp,0,,,,,
player,201510180clt,nwe,GronRo00,pass_att,0,,,,,
player,201510180clt,nwe,GronRo00,pass_yds,0,,,,,
player,201510180clt,nwe,GronRo00,pass_td,0,,,,,
player,201510180clt,nwe,GronRo00,pass_int,0,,,,,
player,201510180clt,nwe,GronRo00,pass_sacked,0,,,,,
player,201510180clt,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201510180clt,nwe,GronRo00,pass_long,0,,,,,
player,201510180clt,nwe,GronRo00,pass_rating,,,,,,
player,201510180clt,nwe,GronRo00,rush_att,0,,,,,
player,201510180clt,nwe,GronRo00,rush_yds,0,,,,,
player,201510180clt,nwe,GronRo00,rush_td,0,,,,,
player,201510180clt,nwe,GronRo00,rush_long,0,,,,,
player,201510180clt,nwe,GronRo00,targets,5,,,,,
player,201510180clt,nwe,GronRo00,rec,3,,,,,
player,201510180clt,nwe,GronRo00,rec_yds,50,,,,,
player,201510180clt,nwe,GronRo00,rec_td,1,,,,,
player,201510180clt,nwe,GronRo00,rec_long,25,,,,,
player,201510180clt,nwe,GronRo00,fumbles,0,,,,,
player,201510180clt,nwe,GronRo00,fumbles_lost,0,,,,,
player,201510180clt,nwe,ChanSc00,pass_cmp,0,,,,,
player,201510180clt,nwe,ChanSc00,pass_att,0,,,,,
player,201510180clt,nwe,ChanSc00,pass_yds,0,,,,,
player,201510180clt,nwe,ChanSc00,pass_td,0,,,,,
player,201510180clt,nwe,ChanSc00,pass_int,0,,,,,
player,201510180clt,nwe,ChanSc00,pass_sacked,0,,,,,
player,201510180clt,nwe,ChanSc00,pass_sacked_yds,0,,,,,
player,201510180clt,nwe,ChanSc00,pass_long,0,,,,,
player,201510180clt,nwe,ChanSc00,pass_rating,,,,,,
player,201510180clt,nwe,ChanSc00,rush_att,0,,,,,
player,201510180clt,nwe,ChanSc00,rush_yds,0,,,,,
player,201510180clt,nwe,ChanSc00,rush_td,0,,,,,
player,201510180clt,nwe,ChanSc00,rush_long,0,,,,,
player,201510180clt,nwe,ChanSc00,targets,3,,,,,
player,201510180clt,nwe,ChanSc00,rec,2,,,,,
player,201510180clt,nwe,ChanSc00,rec_yds,39,,,,,
player,201510180clt,nwe,ChanSc00,rec_td,0,,,,,
player,201510180clt,nwe,ChanSc00,rec_long,25,,,,,
player,201510180clt,nwe,ChanSc00,fumbles,0,,,,,
player,201510180clt,nwe,ChanSc00,fumbles_lost,0,,,,,
player,201510180clt,nwe,MartKe01,pass_cmp,0,,,,,
player,201510180clt,nwe,MartKe01,pass_att,0,,,,,
player,201510180clt,nwe,MartKe01,pass_yds,0,,,,,
player,201510180clt,nwe,MartKe01,pass_td,0,,,,,
player,201510180clt,nwe,MartKe01,pass_int,0,,,,,
player,201510180clt,nwe,MartKe01,pass_sacked,0,,,,,
player,201510180clt,nwe,MartKe01,pass_sacked_yds,0,,,,,
player,201510180clt,nwe,MartKe01,pass_long,0,,,,,
player,201510180clt,nwe,MartKe01,pass_rating,,,,,,
player,201510180clt,nwe,MartKe01,rush_att,0,,,,,
player,201510180clt,nwe,MartKe01,rush_yds,0,,,,,
player,201510180clt,nwe,MartKe01,rush_td,0,,,,,
player,201510180clt,nwe,MartKe01,rush_long,0,,,,,
player,201510180clt,nwe,MartKe01,targets,2,,,,,
player,201510180clt,nwe,MartKe01,rec,1,,,,,
player,201510180clt,nwe,MartKe01,rec_yds,39,,,,,
player,201510180clt,nwe,MartKe01,rec_td,0,,,,,
player,201510180clt,nwe,MartKe01,rec_long,39,,,,,
player,201510180clt,nwe,MartKe01,fumbles,0,,,,,
player,201510180clt,nwe,MartKe01,fumbles_lost,0,,,,,
player,201510180clt,nwe,WhitJa02,pass_cmp,0,,,,,
player,201510180clt,nwe,WhitJa02,pass_att,0,,,,,
player,201510180clt,nwe,WhitJa02,pass_yds,0,,,,,
player,201510180clt,nwe,WhitJa02,pass_td,0,,,,,
player,201510180clt,nwe,WhitJa02,pass_int,0,,,,,
player,201510180clt,nwe,WhitJa02,pass_sacked,0,,,,,
player,201510180clt,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201510180clt,nwe,WhitJa02,pass_long,0,,,,,
player,201510180clt,nwe,WhitJa02,pass_rating,,,,,,
player,201510180clt,nwe,WhitJa02,rush_att,0,,,,,
player,201510180clt,nwe,WhitJa02,rush_yds,0,,,,,
player,201510180clt,nwe,WhitJa02,rush_td,0,,,,,
player,201510180clt,nwe,WhitJa02,rush_long,0,,,,,
player,201510180clt,nwe,WhitJa02,targets,1,,,,,
player,201510180clt,nwe,WhitJa02,rec,0,,,,,
player,201510180clt,nwe,WhitJa02,rec_yds,0,,,,,
player,201510180clt,nwe,WhitJa02,rec_td,0,,,,,
player,201510180clt,nwe,WhitJa02,rec_long,0,,,,,
player,201510180clt,nwe,WhitJa02,fumbles,0,,,,,
player,201510180clt,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201510180clt,clt,LuckAn00,pass_cmp,30,,,,,
player,201510180clt,clt,LuckAn00,pass_att,50,,,,,
player,201510180clt,clt,LuckAn00,pass_yds,312,,,,,
player,201510180clt,clt,LuckAn00,pass_td,3,,,,,
player,201510180clt,clt,LuckAn00,pass_int,0,,,,,
player,201510180clt,clt,LuckAn00,pass_sacked,3,,,,,
player,201510180clt,clt,LuckAn00,pass_sacked_yds,23,,,,,
player,201510180clt,clt,LuckAn00,pass_long,27,,,,,
player,201510180clt,clt,LuckAn00,pass_rating,98.1,,,,,
player,201510180clt,clt,LuckAn00,rush_att,4,,,,,
player,201510180clt,clt,LuckAn00,rush_yds,35,,,,,
player,201510180clt,clt,LuckAn00,rush_td,0,,,,,
player,201510180clt,clt,LuckAn00,rush_long,25,,,,,
player,201510180clt,clt,LuckAn00,targets,0,,,,,
player,201510180clt,clt,LuckAn00,rec,0,,,,,
player,201510180clt,clt,LuckAn00,rec_yds,0,,,,,
player,201510180clt,clt,LuckAn00,rec_td,0,,,,,
player,201510180clt,clt,LuckAn00,rec_long,0,,,,,
player,201510180clt,clt,LuckAn00,fumbles,0,,,,,
player,201510180clt,clt,LuckAn00,fumbles_lost,0,,,,,
player,201510180clt,clt,GoreFr00,pass_cmp,0,,,,,
player,201510180clt,clt,GoreFr00,pass_att,0,,,,,
player,201510180clt,clt,GoreFr00,pass_yds,0,,,,,
player,201510180clt,clt,GoreFr00,pass_td,0,,,,,
player,201510180clt,clt,GoreFr00,pass_int,0,,,,,
player,201510180clt,clt,GoreFr00,pass_sacked,0,,,,,
player,201510180clt,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201510180clt,clt,GoreFr00,pass_long,0,,,,,
player,201510180clt,clt,GoreFr00,pass_rating,,,,,,
player,201510180clt,clt,GoreFr00,rush_att,13,,,,,
player,201510180clt,clt,GoreFr00,rush_yds,78,,,,,
player,201510180clt,clt,GoreFr00,rush_td,0,,,,,
player,201510180clt,clt,GoreFr00,rush_long,23,,,,,
player,201510180clt,clt,GoreFr00,targets,3,,,,,
player,201510180clt,clt,GoreFr00,rec,2,,,,,
player,201510180clt,clt,GoreFr00,rec_yds,16,,,,,
player,201510180clt,clt,GoreFr00,rec_td,0,,,,,
player,201510180clt,clt,GoreFr00,rec_long,11,,,,,
player,201510180clt,clt,GoreFr00,fumbles,0,,,,,
player,201510180clt,clt,GoreFr00,fumbles_lost,0,,,,,
player,201510180clt,clt,BradAh00,pass_cmp,0,,,,,
player,201510180clt,clt,BradAh00,pass_att,0,,,,,
player,201510180clt,clt,BradAh00,pass_yds,0,,,,,
player,201510180clt,clt,BradAh00,pass_td,0,,,,,
player,201510180clt,clt,BradAh00,pass_int,0,,,,,
player,201510180clt,clt,BradAh00,pass_sacked,0,,,,,
player,201510180clt,clt,BradAh00,pass_sacked_yds,0,,,,,
player,201510180clt,clt,BradAh00,pass_long,0,,,,,
player,201510180clt,clt,BradAh00,pass_rating,,,,,,
player,201510180clt,clt,BradAh00,rush_att,4,,,,,
player,201510180clt,clt,BradAh00,rush_yds,8,,,,,
player,201510180clt,clt,BradAh00,rush_td,0,,,,,
player,201510180clt,clt,BradAh00,rush_long,4,,,,,
player,201510180clt,clt,BradAh00,targets,1,,,,,
player,201510180clt,clt,BradAh00,rec,1,,,,,
player,201510180clt,clt,BradAh00,rec_yds,8,,,,,
player,201510180clt,clt,BradAh00,rec_td,0,,,,,
player,201510180clt,clt,BradAh00,rec_long,8,,,,,
player,201510180clt,clt,BradAh00,fumbles,0,,,,,
player,201510180clt,clt,BradAh00,fumbles_lost,0,,,,,
player,201510180clt,clt,HiltT.00,pass_cmp,0,,,,,
player,201510180clt,clt,HiltT.00,pass_att,0,,,,,
player,201510180clt,clt,HiltT.00,pass_yds,0,,,,,
player,201510180clt,clt,HiltT.00,pass_td,0,,,,,
player,201510180clt,clt,HiltT.00,pass_int,0,,,,,
player,201510180clt,clt,HiltT.00,pass_sacked,0,,,,,
player,201510180clt,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201510180clt,clt,HiltT.00,pass_long,0,,,,,
player,201510180clt,clt,HiltT.00,pass_rating,,,,,,
player,201510180clt,clt,HiltT.00,rush_att,0,,,,,
player,201510180clt,clt,HiltT.00,rush_yds,0,,,,,
player,201510180clt,clt,HiltT.00,rush_td,0,,,,,
player,201510180clt,clt,HiltT.00,rush_long,0,,,,,
player,201510180clt,clt,HiltT.00,targets,9,,,,,
player,201510180clt,clt,HiltT.00,rec,6,,,,,
player,201510180clt,clt,HiltT.00,rec_yds,74,,,,,
player,201510180clt,clt,HiltT.00,rec_td,1,,,,,
player,201510180clt,clt,HiltT.00,rec_long,27,,,,,
player,201510180clt,clt,HiltT.00,fumbles,0,,,,,
player,201510180clt,clt,HiltT.00,fumbles_lost,0,,,,,
player,201510180clt,clt,MoncDo00,pass_cmp,0,,,,,
player,201510180clt,clt,MoncDo00,pass_att,0,,,,,
player,201510180clt,clt,MoncDo00,pass_yds,0,,,,,
player,201510180clt,clt,MoncDo00,pass_td,0,,,,,
player,201510180clt,clt,MoncDo00,pass_int,0,,,,,
player,201510180clt,clt,MoncDo00,pass_sacked,0,,,,,
player,201510180clt,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201510180clt,clt,MoncDo00,pass_long,0,,,,,
player,201510180clt,clt,MoncDo00,pass_rating,,,,,,
player,201510180clt,clt,MoncDo00,rush_att,0,,,,,
player,201510180clt,clt,MoncDo00,rush_yds,0,,,,,
player,201510180clt,clt,MoncDo00,rush_td,0,,,,,
player,201510180clt,clt,MoncDo00,rush_long,0,,,,,
player,201510180clt,clt,MoncDo00,targets,11,,,,,
player,201510180clt,clt,MoncDo00,rec,6,,,,,
player,201510180clt,clt,MoncDo00,rec_yds,69,,,,,
player,201510180clt,clt,MoncDo00,rec_td,1,,,,,
player,201510180clt,clt,MoncDo00,rec_long,20,,,,,
player,201510180clt,clt,MoncDo00,fumbles,0,,,,,
player,201510180clt,clt,MoncDo00,fumbles_lost,0,,,,,
player,201510180clt,clt,JohnAn02,pass_cmp,0,,,,,
player,201510180clt,clt,JohnAn02,pass_att,0,,,,,
player,201510180clt,clt,JohnAn02,pass_yds,0,,,,,
player,201510180clt,clt,JohnAn02,pass_td,0,,,,,
player,201510180clt,clt,JohnAn02,pass_int,0,,,,,
player,201510180clt,clt,JohnAn02,pass_sacked,0,,,,,
player,201510180clt,clt,JohnAn02,pass_sacked_yds,0,,,,,
player,201510180clt,clt,JohnAn02,pass_long,0,,,,,
player,201510180clt,clt,JohnAn02,pass_rating,,,,,,
player,201510180clt,clt,JohnAn02,rush_att,0,,,,,
player,201510180clt,clt,JohnAn02,rush_yds,0,,,,,
player,201510180clt,clt,JohnAn02,rush_td,0,,,,,
player,201510180clt,clt,JohnAn02,rush_long,0,,,,,
player,201510180clt,clt,JohnAn02,targets,6,,,,,
player,201510180clt,clt,JohnAn02,rec,3,,,,,
player,201510180clt,clt,JohnAn02,rec_yds,35,,,,,
player,201510180clt,clt,JohnAn02,rec_td,0,,,,,
player,201510180clt,clt,JohnAn02,rec_long,16,,,,,
player,201510180clt,clt,JohnAn02,fumbles,0,,,,,
player,201510180clt,clt,JohnAn02,fumbles_lost,0,,,,,
player,201510180clt,clt,DorsPh00,pass_cmp,0,,,,,
player,201510180clt,clt,DorsPh00,pass_att,0,,,,,
player,201510180clt,clt,DorsPh00,pass_yds,0,,,,,
player,201510180clt,clt,DorsPh00,pass_td,0,,,,,
player,201510180clt,clt,DorsPh00,pass_int,0,,,,,
player,201510180clt,clt,DorsPh00,pass_sacked,0,,,,,
player,201510180clt,clt,DorsPh00,pass_sacked_yds,0,,,,,
player,201510180clt,clt,DorsPh00,pass_long,0,,,,,
player,201510180clt,clt,DorsPh00,pass_rating,,,,,,
player,201510180clt,clt,DorsPh00,rush_att,0,,,,,
player,201510180clt,clt,DorsPh00,rush_yds,0,,,,,
player,201510180clt,clt,DorsPh00,rush_td,0,,,,,
player,201510180clt,clt,DorsPh00,rush_long,0,,,,,
player,201510180clt,clt,DorsPh00,targets,4,,,,,
player,201510180clt,clt,DorsPh00,rec,2,,,,,
player,201510180clt,clt,DorsPh00,rec_yds,30,,,,,
player,201510180clt,clt,DorsPh00,rec_td,0,,,,,
player,201510180clt,clt,DorsPh00,rec_long,17,,,,,
player,201510180clt,clt,DorsPh00,fumbles,0,,,,,
player,201510180clt,clt,DorsPh00,fumbles_lost,0,,,,,
player,201510180clt,clt,WhalGr00,pass_cmp,0,,,,,
player,201510180clt,clt,WhalGr00,pass_att,0,,,,,
player,201510180clt,clt,WhalGr00,pass_yds,0,,,,,
player,201510180clt,clt,WhalGr00,pass_td,0,,,,,
player,201510180clt,clt,WhalGr00,pass_int,0,,,,,
player,201510180clt,clt,WhalGr00,pass_sacked,0,,,,,
player,201510180clt,clt,WhalGr00,pass_sacked_yds,0,,,,,
player,201510180clt,clt,WhalGr00,pass_long,0,,,,,
player,201510180clt,clt,WhalGr00,pass_rating,,,,,,
player,201510180clt,clt,WhalGr00,rush_att,0,,,,,
player,201510180clt,clt,WhalGr00,rush_yds,0,,,,,
player,201510180clt,clt,WhalGr00,rush_td,0,,,,,
player,201510180clt,clt,WhalGr00,rush_long,0,,,,,
player,201510180clt,clt,WhalGr00,targets,3,,,,,
player,201510180clt,clt,WhalGr00,rec,2,,,,,
player,201510180clt,clt,WhalGr00,rec_yds,30,,,,,
player,201510180clt,clt,WhalGr00,rec_td,1,,,,,
player,201510180clt,clt,WhalGr00,rec_long,18,,,,,
player,201510180clt,clt,WhalGr00,fumbles,0,,,,,
player,201510180clt,clt,WhalGr00,fumbles_lost,0,,,,,
player,201510180clt,clt,AlleDw00,pass_cmp,0,,,,,
player,201510180clt,clt,AlleDw00,pass_att,0,,,,,
player,201510180clt,clt,AlleDw00,pass_yds,0,,,,,
player,201510180clt,clt,AlleDw00,pass_td,0,,,,,
player,201510180clt,clt,AlleDw00,pass_int,0,,,,,
player,201510180clt,clt,AlleDw00,pass_sacked,0,,,,,
player,201510180clt,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201510180clt,clt,AlleDw00,pass_long,0,,,,,
player,201510180clt,clt,AlleDw00,pass_rating,,,,,,
player,201510180clt,clt,AlleDw00,rush_att,0,,,,,
player,201510180clt,clt,AlleDw00,rush_yds,0,,,,,
player,201510180clt,clt,AlleDw00,rush_td,0,,,,,
player,201510180clt,clt,AlleDw00,rush_long,0,,,,,
player,201510180clt,clt,AlleDw00,targets,3,,,,,
player,201510180clt,clt,AlleDw00,rec,3,,,,,
player,201510180clt,clt,AlleDw00,rec_yds,23,,,,,
player,201510180clt,clt,AlleDw00,rec_td,0,,,,,
player,201510180clt,clt,AlleDw00,rec_long,10,,,,,
player,201510180clt,clt,AlleDw00,fumbles,0,,,,,
player,201510180clt,clt,AlleDw00,fumbles_lost,0,,,,,
player,201510180clt,clt,FleeCo00,pass_cmp,0,,,,,
player,201510180clt,clt,FleeCo00,pass_att,0,,,,,
player,201510180clt,clt,FleeCo00,pass_yds,0,,,,,
player,201510180clt,clt,FleeCo00,pass_td,0,,,,,
player,201510180clt,clt,FleeCo00,pass_int,0,,,,,
player,201510180clt,clt,FleeCo00,pass_sacked,0,,,,,
player,201510180clt,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201510180clt,clt,FleeCo00,pass_long,0,,,,,
player,201510180clt,clt,FleeCo00,pass_rating,,,,,,
player,201510180clt,clt,FleeCo00,rush_att,0,,,,,
player,201510180clt,clt,FleeCo00,rush_yds,0,,,,,
player,201510180clt,clt,FleeCo00,rush_td,0,,,,,
player,201510180clt,clt,FleeCo00,rush_long,0,,,,,
player,201510180clt,clt,FleeCo00,targets,6,,,,,
player,201510180clt,clt,FleeCo00,rec,3,,,,,
player,201510180clt,clt,FleeCo00,rec_yds,20,,,,,
player,201510180clt,clt,FleeCo00,rec_td,0,,,,,
player,201510180clt,clt,FleeCo00,rec_long,11,,,,,
player,201510180clt,clt,FleeCo00,fumbles,0,,,,,
player,201510180clt,clt,FleeCo00,fumbles_lost,0,,,,,
player,201510180clt,clt,DoylJa00,pass_cmp,0,,,,,
player,201510180clt,clt,DoylJa00,pass_att,0,,,,,
player,201510180clt,clt,DoylJa00,pass_yds,0,,,,,
player,201510180clt,clt,DoylJa00,pass_td,0,,,,,
player,201510180clt,clt,DoylJa00,pass_int,0,,,,,
player,201510180clt,clt,DoylJa00,pass_sacked,0,,,,,
player,201510180clt,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201510180clt,clt,DoylJa00,pass_long,0,,,,,
player,201510180clt,clt,DoylJa00,pass_rating,,,,,,
player,201510180clt,clt,DoylJa00,rush_att,0,,,,,
player,201510180clt,clt,DoylJa00,rush_yds,0,,,,,
player,201510180clt,clt,DoylJa00,rush_td,0,,,,,
player,201510180clt,clt,DoylJa00,rush_long,0,,,,,
player,201510180clt,clt,DoylJa00,targets,2,,,,,
player,201510180clt,clt,DoylJa00,rec,2,,,,,
player,201510180clt,clt,DoylJa00,rec_yds,7,,,,,
player,201510180clt,clt,DoylJa00,rec_td,0,,,,,
player,201510180clt,clt,DoylJa00,rec_long,5,,,,,
player,201510180clt,clt,DoylJa00,fumbles,0,,,,,
player,201510180clt,clt,DoylJa00,fumbles_lost,0,,,,,
player,201510180clt,clt,AndeCo01,pass_cmp,0,,,,,
player,201510180clt,clt,AndeCo01,pass_att,0,,,,,
player,201510180clt,clt,AndeCo01,pass_yds,0,,,,,
player,201510180clt,clt,AndeCo01,pass_td,0,,,,,
player,201510180clt,clt,AndeCo01,pass_int,0,,,,,
player,201510180clt,clt,AndeCo01,pass_sacked,0,,,,,
player,201510180clt,clt,AndeCo01,pass_sacked_yds,0,,,,,
player,201510180clt,clt,AndeCo01,pass_long,0,,,,,
player,201510180clt,clt,AndeCo01,pass_rating,,,,,,
player,201510180clt,clt,AndeCo01,rush_att,1,,,,,
player,201510180clt,clt,AndeCo01,rush_yds,-1,,,,,
player,201510180clt,clt,AndeCo01,rush_td,0,,,,,
player,201510180clt,clt,AndeCo01,rush_long,-1,,,,,
player,201510180clt,clt,AndeCo01,targets,0,,,,,
player,201510180clt,clt,AndeCo01,rec,0,,,,,
player,201510180clt,clt,AndeCo01,rec_yds,0,,,,,
player,201510180clt,clt,AndeCo01,rec_td,0,,,,,
player,201510180clt,clt,AndeCo01,rec_long,0,,,,,
player,201510180clt,clt,AndeCo01,fumbles,0,,,,,
player,201510180clt,clt,AndeCo01,fumbles_lost,0,,,,,
player,201510180clt,nwe,JoneCh03,def_int,0,,,,,
player,201510180clt,nwe,JoneCh03,def_int_yds,0,,,,,
player,201510180clt,nwe,JoneCh03,def_int_td,0,,,,,
player,201510180clt,nwe,JoneCh03,def_int_long,0,,,,,
player,201510180clt,nwe,JoneCh03,pass_defended,0,,,,,
player,201510180clt,nwe,JoneCh03,sacks,2.5,,,,,
player,201510180clt,nwe,JoneCh03,tackles_combined,4,,,,,
