game,2015,7,20151026,201510260crd,rav,"Baltimore Ravens",18,crd,"Arizona Cardinals",26
player,201510260crd,rav,AlleJa01,targets,1,,,,,
player,201510260crd,rav,AlleJa01,rec,1,,,,,
player,201510260crd,rav,AlleJa01,rec_yds,10,,,,,
player,201510260crd,rav,AlleJa01,rec_td,0,,,,,
player,201510260crd,rav,AlleJa01,rec_long,10,,,,,
player,201510260crd,rav,AlleJa01,fumbles,0,,,,,
player,201510260crd,rav,AlleJa01,fumbles_lost,0,,,,,
player,201510260crd,rav,SmitSt01,pass_cmp,0,,,,,
player,201510260crd,rav,SmitSt01,pass_att,0,,,,,
player,201510260crd,rav,SmitSt01,pass_yds,0,,,,,
player,201510260crd,rav,SmitSt01,pass_td,0,,,,,
player,201510260crd,rav,SmitSt01,pass_int,0,,,,,
player,201510260crd,rav,SmitSt01,pass_sacked,0,,,,,
player,201510260crd,rav,SmitSt01,pass_sacked_yds,0,,,,,
player,201510260crd,rav,SmitSt01,pass_long,0,,,,,
player,201510260crd,rav,SmitSt01,pass_rating,,,,,,
player,201510260crd,rav,SmitSt01,rush_att,0,,,,,
player,201510260crd,rav,SmitSt01,rush_yds,0,,,,,
player,201510260crd,rav,SmitSt01,rush_td,0,,,,,
player,201510260crd,rav,SmitSt01,rush_long,0,,,,,
player,201510260crd,rav,SmitSt01,targets,9,,,,,
player,201510260crd,rav,SmitSt01,rec,5,,,,,
player,201510260crd,rav,SmitSt01,rec_yds,78,,,,,
player,201510260crd,rav,SmitSt01,rec_td,0,,,,,
player,201510260crd,rav,SmitSt01,rec_long,29,,,,,
player,201510260crd,rav,SmitSt01,fumbles,0,,,,,
player,201510260crd,rav,SmitSt01,fumbles_lost,0,,,,,
player,201510260crd,rav,GillCr00,pass_cmp,0,,,,,
player,201510260crd,rav,GillCr00,pass_att,0,,,,,
player,201510260crd,rav,GillCr00,pass_yds,0,,,,,
player,201510260crd,rav,GillCr00,pass_td,0,,,,,
player,201510260crd,rav,GillCr00,pass_int,0,,,,,
player,201510260crd,rav,GillCr00,pass_sacked,0,,,,,
player,201510260crd,rav,GillCr00,pass_sacked_yds,0,,,,,
player,201510260crd,rav,GillCr00,pass_long,0,,,,,
player,201510260crd,rav,GillCr00,pass_rating,,,,,,
player,201510260crd,rav,GillCr00,rush_att,0,,,,,
player,201510260crd,rav,GillCr00,rush_yds,0,,,,,
player,201510260crd,rav,GillCr00,rush_td,0,,,,,
player,201510260crd,rav,GillCr00,rush_long,0,,,,,
player,201510260crd,rav,GillCr00,targets,7,,,,,
player,201510260crd,rav,GillCr00,rec,5,,,,,
player,201510260crd,rav,GillCr00,rec_yds,53,,,,,
player,201510260crd,rav,GillCr00,rec_td,0,,,,,
player,201510260crd,rav,GillCr00,rec_long,23,,,,,
player,201510260crd,rav,GillCr00,fumbles,0,,,,,
player,201510260crd,rav,GillCr00,fumbles_lost,0,,,,,
player,201510260crd,rav,BrowMa00,pass_cmp,0,,,,,
player,201510260crd,rav,BrowMa00,pass_att,0,,,,,
player,201510260crd,rav,BrowMa00,pass_yds,0,,,,,
player,201510260crd,rav,BrowMa00,pass_td,0,,,,,
player,201510260crd,rav,BrowMa00,pass_int,0,,,,,
player,201510260crd,rav,BrowMa00,pass_sacked,0,,,,,
