game,2015,9,20151108,201511080car,gnb,"Green Bay Packers",29,car,"Carolina Panthers",37
player,201511080car,gnb,RodgRi00,pass_yds,0,,,,,
player,201511080car,gnb,RodgRi00,pass_td,0,,,,,
player,201511080car,gnb,RodgRi00,pass_int,0,,,,,
player,201511080car,gnb,RodgRi00,pass_sacked,0,,,,,
player,201511080car,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201511080car,gnb,RodgRi00,pass_long,0,,,,,
player,201511080car,gnb,RodgRi00,pass_rating,,,,,,
player,201511080car,gnb,RodgRi00,rush_att,0,,,,,
player,201511080car,gnb,RodgRi00,rush_yds,0,,,,,
player,201511080car,gnb,RodgRi00,rush_td,0,,,,,
player,201511080car,gnb,RodgRi00,rush_long,0,,,,,
player,201511080car,gnb,RodgRi00,targets,9,,,,,
player,201511080car,gnb,RodgRi00,rec,5,,,,,
player,201511080car,gnb,RodgRi00,rec_yds,19,,,,,
player,201511080car,gnb,RodgRi00,rec_td,2,,,,,
player,201511080car,gnb,RodgRi00,rec_long,7,,,,,
player,201511080car,gnb,RodgRi00,fumbles,0,,,,,
player,201511080car,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201511080car,gnb,RipkAa00,pass_cmp,0,,,,,
player,201511080car,gnb,RipkAa00,pass_att,0,,,,,
player,201511080car,gnb,RipkAa00,pass_yds,0,,,,,
player,201511080car,gnb,RipkAa00,pass_td,0,,,,,
player,201511080car,gnb,RipkAa00,pass_int,0,,,,,
player,201511080car,gnb,RipkAa00,pass_sacked,0,,,,,
player,201511080car,gnb,RipkAa00,pass_sacked_yds,0,,,,,
player,201511080car,gnb,RipkAa00,pass_long,0,,,,,
player,201511080car,gnb,RipkAa00,pass_rating,,,,,,
player,201511080car,gnb,RipkAa00,rush_att,0,,,,,
player,201511080car,gnb,RipkAa00,rush_yds,0,,,,,
player,201511080car,gnb,RipkAa00,rush_td,0,,,,,
player,201511080car,gnb,RipkAa00,rush_long,0,,,,,
player,201511080car,gnb,RipkAa00,targets,1,,,,,
player,201511080car,gnb,RipkAa00,rec,1,,,,,
player,201511080car,gnb,RipkAa00,rec_yds,18,,,,,
player,201511080car,gnb,RipkAa00,rec_td,0,,,,,
player,201511080car,gnb,RipkAa00,rec_long,18,,,,,
player,201511080car,gnb,RipkAa00,fumbles,0,,,,,
player,201511080car,gnb,RipkAa00,fumbles_lost,0,,,,,
player,201511080car,car,NewtCa00,pass_cmp,15,,,,,
player,201511080car,car,NewtCa00,pass_att,30,,,,,
player,201511080car,car,NewtCa00,pass_yds,297,,,,,
player,201511080car,car,NewtCa00,pass_td,3,,,,,
player,201511080car,car,NewtCa00,pass_int,1,,,,,
player,201511080car,car,NewtCa00,pass_sacked,0,,,,,
player,201511080car,car,NewtCa00,pass_sacked_yds,0,,,,,
player,201511080car,car,NewtCa00,pass_long,59,,,,,
player,201511080car,car,NewtCa00,pass_rating,104.4,,,,,
player,201511080car,car,NewtCa00,rush_att,9,,,,,
player,201511080car,car,NewtCa00,rush_yds,57,,,,,
player,201511080car,car,NewtCa00,rush_td,1,,,,,
player,201511080car,car,NewtCa00,rush_long,23,,,,,
player,201511080car,car,NewtCa00,targets,0,,,,,
player,201511080car,car,NewtCa00,rec,0,,,,,
player,201511080car,car,NewtCa00,rec_yds,0,,,,,
player,201511080car,car,NewtCa00,rec_td,0,,,,,
