game,2015,8,20151101,201511010cle,crd,"Arizona Cardinals",34,cle,"Cleveland Browns",20
player,201511010cle,crd,FitzLa00,fumbles_lost,1,,,,,
player,201511010cle,crd,NelsJJ00,pass_cmp,0,,,,,
player,201511010cle,crd,NelsJJ00,pass_att,0,,,,,
player,201511010cle,crd,NelsJJ00,pass_yds,0,,,,,
player,201511010cle,crd,NelsJJ00,pass_td,0,,,,,
player,201511010cle,crd,NelsJJ00,pass_int,0,,,,,
player,201511010cle,crd,NelsJJ00,pass_sacked,0,,,,,
player,201511010cle,crd,NelsJJ00,pass_sacked_yds,0,,,,,
player,201511010cle,crd,NelsJJ00,pass_long,0,,,,,
player,201511010cle,crd,NelsJJ00,pass_rating,,,,,,
player,201511010cle,crd,NelsJJ00,rush_att,1,,,,,
player,201511010cle,crd,NelsJJ00,rush_yds,0,,,,,
player,201511010cle,crd,NelsJJ00,rush_td,0,,,,,
player,201511010cle,crd,NelsJJ00,rush_long,0,,,,,
player,201511010cle,crd,NelsJJ00,targets,4,,,,,
player,201511010cle,crd,NelsJJ00,rec,3,,,,,
player,201511010cle,crd,NelsJJ00,rec_yds,70,,,,,
player,201511010cle,crd,NelsJJ00,rec_td,0,,,,,
player,201511010cle,crd,NelsJJ00,rec_long,38,,,,,
player,201511010cle,crd,NelsJJ00,fumbles,0,,,,,
player,201511010cle,crd,NelsJJ00,fumbles_lost,0,,,,,
player,201511010cle,crd,BrowJa03,pass_cmp,0,,,,,
player,201511010cle,crd,BrowJa03,pass_att,0,,,,,
player,201511010cle,crd,BrowJa03,pass_yds,0,,,,,
player,201511010cle,crd,BrowJa03,pass_td,0,,,,,
player,201511010cle,crd,BrowJa03,pass_int,0,,,,,
player,201511010cle,crd,BrowJa03,pass_sacked,0,,,,,
player,201511010cle,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201511010cle,crd,BrowJa03,pass_long,0,,,,,
player,201511010cle,crd,BrowJa03,pass_rating,,,,,,
player,201511010cle,crd,BrowJa03,rush_att,0,,,,,
player,201511010cle,crd,BrowJa03,rush_yds,0,,,,,
