game,2015,12,20151129,201511290htx,nor,"New Orleans Saints",6,htx,"Houston Texans",24
player,201511290htx,nor,IngrMa01,pass_long,0,,,,,
player,201511290htx,nor,IngrMa01,pass_rating,,,,,,
player,201511290htx,nor,IngrMa01,rush_att,9,,,,,
player,201511290htx,nor,IngrMa01,rush_yds,52,,,,,
player,201511290htx,nor,IngrMa01,rush_td,0,,,,,
player,201511290htx,nor,IngrMa01,rush_long,29,,,,,
player,201511290htx,nor,IngrMa01,targets,8,,,,,
player,201511290htx,nor,IngrMa01,rec,6,,,,,
player,201511290htx,nor,IngrMa01,rec_yds,45,,,,,
player,201511290htx,nor,IngrMa01,rec_td,0,,,,,
player,201511290htx,nor,IngrMa01,rec_long,17,,,,,
player,201511290htx,nor,IngrMa01,fumbles,0,,,,,
player,201511290htx,nor,IngrMa01,fumbles_lost,0,,,,,
player,201511290htx,nor,WatsBe00,pass_cmp,0,,,,,
player,201511290htx,nor,WatsBe00,pass_att,0,,,,,
player,201511290htx,nor,WatsBe00,pass_yds,0,,,,,
player,201511290htx,nor,WatsBe00,pass_td,0,,,,,
player,201511290htx,nor,WatsBe00,pass_int,0,,,,,
player,201511290htx,nor,WatsBe00,pass_sacked,0,,,,,
player,201511290htx,nor,WatsBe00,pass_sacked_yds,0,,,,,
player,201511290htx,nor,WatsBe00,pass_long,0,,,,,
player,201511290htx,nor,WatsBe00,pass_rating,,,,,,
player,201511290htx,nor,WatsBe00,rush_att,0,,,,,
player,201511290htx,nor,WatsBe00,rush_yds,0,,,,,
player,201511290htx,nor,WatsBe00,rush_td,0,,,,,
player,201511290htx,nor,WatsBe00,rush_long,0,,,,,
player,201511290htx,nor,WatsBe00,targets,9,,,,,
player,201511290htx,nor,WatsBe00,rec,4,,,,,
player,201511290htx,nor,WatsBe00,rec_yds,53,,,,,
player,201511290htx,nor,WatsBe00,rec_td,0,,,,,
player,201511290htx,nor,WatsBe00,rec_long,26,,,,,
player,201511290htx,nor,WatsBe00,fumbles,0,,,,,
player,201511290htx,nor,WatsBe00,fumbles_lost,0,,,,,
player,201511290htx,nor,SneaWi00,pass_cmp,0,,,,,
player,201511290htx,nor,SneaWi00,pass_att,0,,,,,
player,201511290htx,nor,SneaWi00,pass_yds,0,,,,,
player,201511290htx,nor,SneaWi00,pass_td,0,,,,,
player,201511290htx,nor,SneaWi00,pass_int,0,,,,,
player,201511290htx,nor,SneaWi00,pass_sacked,0,,,,,
player,201511290htx,nor,SneaWi00,pass_sacked_yds,0,,,,,
player,201511290htx,nor,SneaWi00,pass_long,0,,,,,
player,201511290htx,nor,SneaWi00,pass_rating,,,,,,
player,201511290htx,nor,SneaWi00,rush_att,0,,,,,
player,201511290htx,nor,SneaWi00,rush_yds,0,,,,,
player,201511290htx,nor,SneaWi00,rush_td,0,,,,,
player,201511290htx,nor,SneaWi00,rush_long,0,,,,,
player,201511290htx,nor,SneaWi00,targets,7,,,,,
player,201511290htx,nor,SneaWi00,rec,4,,,,,
player,201511290htx,nor,SneaWi00,rec_yds,50,,,,,
player,201511290htx,nor,SneaWi00,rec_td,0,,,,,
player,201511290htx,nor,SneaWi00,rec_long,24,,,,,
player,201511290htx,nor,SneaWi00,fumbles,0,,,,,
player,201511290htx,nor,SneaWi00,fumbles_lost,0,,,,,
player,201511290htx,nor,ColsMa00,pass_cmp,0,,,,,
player,201511290htx,nor,ColsMa00,pass_att,0,,,,,
player,201511290htx,nor,ColsMa00,pass_yds,0,,,,,
player,201511290htx,nor,ColsMa00,pass_td,0,,,,,
player,201511290htx,nor,ColsMa00,pass_int,0,,,,,
player,201511290htx,nor,ColsMa00,pass_sacked,0,,,,,
player,201511290htx,nor,ColsMa00,pass_sacked_yds,0,,,,,
player,201511290htx,nor,ColsMa00,pass_long,0,,,,,
player,201511290htx,nor,ColsMa00,pass_rating,,,,,,
player,201511290htx,nor,ColsMa00,rush_att,0,,,,,
player,201511290htx,nor,ColsMa00,rush_yds,0,,,,,
player,201511290htx,nor,ColsMa00,rush_td,0,,,,,
player,201511290htx,nor,ColsMa00,rush_long,0,,,,,
player,201511290htx,nor,ColsMa00,targets,4,,,,,
player,201511290htx,nor,ColsMa00,rec,3,,,,,
player,201511290htx,nor,ColsMa00,rec_yds,38,,,,,
player,201511290htx,nor,ColsMa00,rec_td,0,,,,,
player,201511290htx,nor,ColsMa00,rec_long,19,,,,,
player,201511290htx,nor,ColsMa00,fumbles,0,,,,,
player,201511290htx,nor,ColsMa00,fumbles_lost,0,,,,,
player,201511290htx,nor,CookBr00,pass_cmp,0,,,,,
player,201511290htx,nor,CookBr00,pass_att,0,,,,,
player,201511290htx,nor,CookBr00,pass_yds,0,,,,,
player,201511290htx,nor,CookBr00,pass_td,0,,,,,
player,201511290htx,nor,CookBr00,pass_int,0,,,,,
player,201511290htx,nor,CookBr00,pass_sacked,0,,,,,
player,201511290htx,nor,CookBr00,pass_sacked_yds,0,,,,,
player,201511290htx,nor,CookBr00,pass_long,0,,,,,
player,201511290htx,nor,CookBr00,pass_rating,,,,,,
player,201511290htx,nor,CookBr00,rush_att,0,,,,,
player,201511290htx,nor,CookBr00,rush_yds,0,,,,,
player,201511290htx,nor,CookBr00,rush_td,0,,,,,
player,201511290htx,nor,CookBr00,rush_long,0,,,,,
player,201511290htx,nor,CookBr00,targets,8,,,,,
player,201511290htx,nor,CookBr00,rec,5,,,,,
player,201511290htx,nor,CookBr00,rec_yds,35,,,,,
player,201511290htx,nor,CookBr00,rec_td,0,,,,,
player,201511290htx,nor,CookBr00,rec_long,11,,,,,
player,201511290htx,nor,CookBr00,fumbles,0,,,,,
player,201511290htx,nor,CookBr00,fumbles_lost,0,,,,,
player,201511290htx,nor,HoomMi00,pass_cmp,0,,,,,
player,201511290htx,nor,HoomMi00,pass_att,0,,,,,
player,201511290htx,nor,HoomMi00,pass_yds,0,,,,,
player,201511290htx,nor,HoomMi00,pass_td,0,,,,,
player,201511290htx,nor,HoomMi00,pass_int,0,,,,,
player,201511290htx,nor,HoomMi00,pass_sacked,0,,,,,
player,201511290htx,nor,HoomMi00,pass_sacked_yds,0,,,,,
player,201511290htx,nor,HoomMi00,pass_long,0,,,,,
player,201511290htx,nor,HoomMi00,pass_rating,,,,,,
player,201511290htx,nor,HoomMi00,rush_att,0,,,,,
player,201511290htx,nor,HoomMi00,rush_yds,0,,,,,
player,201511290htx,nor,HoomMi00,rush_td,0,,,,,
player,201511290htx,nor,HoomMi00,rush_long,0,,,,,
player,201511290htx,nor,HoomMi00,targets,1,,,,,
player,201511290htx,nor,HoomMi00,rec,0,,,,,
player,201511290htx,nor,HoomMi00,rec_yds,0,,,,,
player,201511290htx,nor,HoomMi00,rec_td,0,,,,,
player,201511290htx,nor,HoomMi00,rec_long,0,,,,,
player,201511290htx,nor,HoomMi00,fumbles,0,,,,,
player,201511290htx,nor,HoomMi00,fumbles_lost,0,,,,,
player,201511290htx,nor,HillJo02,pass_cmp,0,,,,,
player,201511290htx,nor,HillJo02,pass_att,0,,,,,
player,201511290htx,nor,HillJo02,pass_yds,0,,,,,
player,201511290htx,nor,HillJo02,pass_td,0,,,,,
player,201511290htx,nor,HillJo02,pass_int,0,,,,,
player,201511290htx,nor,HillJo02,pass_sacked,0,,,,,
player,201511290htx,nor,HillJo02,pass_sacked_yds,0,,,,,
player,201511290htx,nor,HillJo02,pass_long,0,,,,,
player,201511290htx,nor,HillJo02,pass_rating,,,,,,
player,201511290htx,nor,HillJo02,rush_att,0,,,,,
player,201511290htx,nor,HillJo02,rush_yds,0,,,,,
player,201511290htx,nor,HillJo02,rush_td,0,,,,,
player,201511290htx,nor,HillJo02,rush_long,0,,,,,
player,201511290htx,nor,HillJo02,targets,1,,,,,
player,201511290htx,nor,HillJo02,rec,0,,,,,
player,201511290htx,nor,HillJo02,rec_yds,0,,,,,
player,201511290htx,nor,HillJo02,rec_td,0,,,,,
player,201511290htx,nor,HillJo02,rec_long,0,,,,,
player,201511290htx,nor,HillJo02,fumbles,0,,,,,
player,201511290htx,nor,HillJo02,fumbles_lost,0,,,,,
player,201511290htx,nor,ColeBr00,pass_cmp,0,,,,,
player,201511290htx,nor,ColeBr00,pass_att,0,,,,,
player,201511290htx,nor,ColeBr00,pass_yds,0,,,,,
player,201511290htx,nor,ColeBr00,pass_td,0,,,,,
player,201511290htx,nor,ColeBr00,pass_int,0,,,,,
player,201511290htx,nor,ColeBr00,pass_sacked,0,,,,,
player,201511290htx,nor,ColeBr00,pass_sacked_yds,0,,,,,
player,201511290htx,nor,ColeBr00,pass_long,0,,,,,
player,201511290htx,nor,ColeBr00,pass_rating,,,,,,
player,201511290htx,nor,ColeBr00,rush_att,0,,,,,
player,201511290htx,nor,ColeBr00,rush_yds,0,,,,,
player,201511290htx,nor,ColeBr00,rush_td,0,,,,,
player,201511290htx,nor,ColeBr00,rush_long,0,,,,,
player,201511290htx,nor,ColeBr00,targets,1,,,,,
player,201511290htx,nor,ColeBr00,rec,0,,,,,
player,201511290htx,nor,ColeBr00,rec_yds,0,,,,,
player,201511290htx,nor,ColeBr00,rec_td,0,,,,,
player,201511290htx,nor,ColeBr00,rec_long,0,,,,,
player,201511290htx,nor,ColeBr00,fumbles,0,,,,,
player,201511290htx,nor,ColeBr00,fumbles_lost,0,,,,,
player,201511290htx,nor,GrahT.00,pass_cmp,0,,,,,
player,201511290htx,nor,GrahT.00,pass_att,0,,,,,
player,201511290htx,nor,GrahT.00,pass_yds,0,,,,,
player,201511290htx,nor,GrahT.00,pass_td,0,,,,,
player,201511290htx,nor,GrahT.00,pass_int,0,,,,,
player,201511290htx,nor,GrahT.00,pass_sacked,0,,,,,
player,201511290htx,nor,GrahT.00,pass_sacked_yds,0,,,,,
player,201511290htx,nor,GrahT.00,pass_long,0,,,,,
player,201511290htx,nor,GrahT.00,pass_rating,,,,,,
player,201511290htx,nor,GrahT.00,rush_att,0,,,,,
player,201511290htx,nor,GrahT.00,rush_yds,0,,,,,
player,201511290htx,nor,GrahT.00,rush_td,0,,,,,
player,201511290htx,nor,GrahT.00,rush_long,0,,,,,
player,201511290htx,nor,GrahT.00,targets,1,,,,,
player,201511290htx,nor,GrahT.00,rec,1,,,,,
player,201511290htx,nor,GrahT.00,rec_yds,-1,,,,,
player,201511290htx,nor,GrahT.00,rec_td,0,,,,,
player,201511290htx,nor,GrahT.00,rec_long,-1,,,,,
player,201511290htx,nor,GrahT.00,fumbles,0,,,,,
player,201511290htx,nor,GrahT.00,fumbles_lost,0,,,,,
player,201511290htx,nor,SpilC.00,pass_cmp,0,,,,,
player,201511290htx,nor,SpilC.00,pass_att,0,,,,,
player,201511290htx,nor,SpilC.00,pass_yds,0,,,,,
player,201511290htx,nor,SpilC.00,pass_td,0,,,,,
player,201511290htx,nor,SpilC.00,pass_int,0,,,,,
player,201511290htx,nor,SpilC.00,pass_sacked,0,,,,,
player,201511290htx,nor,SpilC.00,pass_sacked_yds,0,,,,,
player,201511290htx,nor,SpilC.00,pass_long,0,,,,,
player,201511290htx,nor,SpilC.00,pass_rating,,,,,,
player,201511290htx,nor,SpilC.00,rush_att,1,,,,,
player,201511290htx,nor,SpilC.00,rush_yds,-2,,,,,
player,201511290htx,nor,SpilC.00,rush_td,0,,,,,
player,201511290htx,nor,SpilC.00,rush_long,-2,,,,,
player,201511290htx,nor,SpilC.00,targets,3,,,,,
player,201511290htx,nor,SpilC.00,rec,2,,,,,
player,201511290htx,nor,SpilC.00,rec_yds,8,,,,,
player,201511290htx,nor,SpilC.00,rec_td,0,,,,,
player,201511290htx,nor,SpilC.00,rec_long,7,,,,,
player,201511290htx,nor,SpilC.00,fumbles,0,,,,,
player,201511290htx,nor,SpilC.00,fumbles_lost,0,,,,,
player,201511290htx,htx,HoyeBr00,pass_cmp,21,,,,,
player,201511290htx,htx,HoyeBr00,pass_att,27,,,,,
player,201511290htx,htx,HoyeBr00,pass_yds,205,,,,,
player,201511290htx,htx,HoyeBr00,pass_td,2,,,,,
player,201511290htx,htx,HoyeBr00,pass_int,1,,,,,
player,201511290htx,htx,HoyeBr00,pass_sacked,1,,,,,
player,201511290htx,htx,HoyeBr00,pass_sacked_yds,10,,,,,
player,201511290htx,htx,HoyeBr00,pass_long,37,,,,,
player,201511290htx,htx,HoyeBr00,pass_rating,107.6,,,,,
player,201511290htx,htx,HoyeBr00,rush_att,3,,,,,
player,201511290htx,htx,HoyeBr00,rush_yds,-3,,,,,
player,201511290htx,htx,HoyeBr00,rush_td,0,,,,,
player,201511290htx,htx,HoyeBr00,rush_long,-1,,,,,
player,201511290htx,htx,HoyeBr00,targets,0,,,,,
player,201511290htx,htx,HoyeBr00,rec,0,,,,,
player,201511290htx,htx,HoyeBr00,rec_yds,0,,,,,
player,201511290htx,htx,HoyeBr00,rec_td,0,,,,,
player,201511290htx,htx,HoyeBr00,rec_long,0,,,,,
player,201511290htx,htx,HoyeBr00,fumbles,0,,,,,
player,201511290htx,htx,HoyeBr00,fumbles_lost,0,,,,,
player,201511290htx,htx,BlueAl00,pass_cmp,0,,,,,
player,201511290htx,htx,BlueAl00,pass_att,0,,,,,
player,201511290htx,htx,BlueAl00,pass_yds,0,,,,,
player,201511290htx,htx,BlueAl00,pass_td,0,,,,,
player,201511290htx,htx,BlueAl00,pass_int,0,,,,,
player,201511290htx,htx,BlueAl00,pass_sacked,0,,,,,
player,201511290htx,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201511290htx,htx,BlueAl00,pass_long,0,,,,,
player,201511290htx,htx,BlueAl00,pass_rating,,,,,,
player,201511290htx,htx,BlueAl00,rush_att,16,,,,,
player,201511290htx,htx,BlueAl00,rush_yds,77,,,,,
player,201511290htx,htx,BlueAl00,rush_td,1,,,,,
player,201511290htx,htx,BlueAl00,rush_long,12,,,,,
player,201511290htx,htx,BlueAl00,targets,1,,,,,
player,201511290htx,htx,BlueAl00,rec,1,,,,,
player,201511290htx,htx,BlueAl00,rec_yds,4,,,,,
player,201511290htx,htx,BlueAl00,rec_td,0,,,,,
player,201511290htx,htx,BlueAl00,rec_long,4,,,,,
player,201511290htx,htx,BlueAl00,fumbles,0,,,,,
player,201511290htx,htx,BlueAl00,fumbles_lost,0,,,,,
player,201511290htx,htx,HuntAk01,pass_cmp,0,,,,,
player,201511290htx,htx,HuntAk01,pass_att,0,,,,,
player,201511290htx,htx,HuntAk01,pass_yds,0,,,,,
player,201511290htx,htx,HuntAk01,pass_td,0,,,,,
player,201511290htx,htx,HuntAk01,pass_int,0,,,,,
player,201511290htx,htx,HuntAk01,pass_sacked,0,,,,,
player,201511290htx,htx,HuntAk01,pass_sacked_yds,0,,,,,
player,201511290htx,htx,HuntAk01,pass_long,0,,,,,
player,201511290htx,htx,HuntAk01,pass_rating,,,,,,
player,201511290htx,htx,HuntAk01,rush_att,3,,,,,
player,201511290htx,htx,HuntAk01,rush_yds,27,,,,,
player,201511290htx,htx,HuntAk01,rush_td,0,,,,,
player,201511290htx,htx,HuntAk01,rush_long,17,,,,,
player,201511290htx,htx,HuntAk01,targets,1,,,,,
player,201511290htx,htx,HuntAk01,rec,1,,,,,
player,201511290htx,htx,HuntAk01,rec_yds,-2,,,,,
player,201511290htx,htx,HuntAk01,rec_td,0,,,,,
player,201511290htx,htx,HuntAk01,rec_long,-2,,,,,
player,201511290htx,htx,HuntAk01,fumbles,0,,,,,
player,201511290htx,htx,HuntAk01,fumbles_lost,0,,,,,
player,201511290htx,htx,GrimJo01,pass_cmp,0,,,,,
player,201511290htx,htx,GrimJo01,pass_att,0,,,,,
player,201511290htx,htx,GrimJo01,pass_yds,0,,,,,
player,201511290htx,htx,GrimJo01,pass_td,0,,,,,
player,201511290htx,htx,GrimJo01,pass_int,0,,,,,
player,201511290htx,htx,GrimJo01,pass_sacked,0,,,,,
player,201511290htx,htx,GrimJo01,pass_sacked_yds,0,,,,,
player,201511290htx,htx,GrimJo01,pass_long,0,,,,,
player,201511290htx,htx,GrimJo01,pass_rating,,,,,,
player,201511290htx,htx,GrimJo01,rush_att,7,,,,,
player,201511290htx,htx,GrimJo01,rush_yds,25,,,,,
player,201511290htx,htx,GrimJo01,rush_td,0,,,,,
player,201511290htx,htx,GrimJo01,rush_long,7,,,,,
player,201511290htx,htx,GrimJo01,targets,1,,,,,
player,201511290htx,htx,GrimJo01,rec,1,,,,,
player,201511290htx,htx,GrimJo01,rec_yds,8,,,,,
player,201511290htx,htx,GrimJo01,rec_td,0,,,,,
player,201511290htx,htx,GrimJo01,rec_long,8,,,,,
player,201511290htx,htx,GrimJo01,fumbles,0,,,,,
player,201511290htx,htx,GrimJo01,fumbles_lost,0,,,,,
player,201511290htx,htx,PolkCh00,pass_cmp,0,,,,,
player,201511290htx,htx,PolkCh00,pass_att,0,,,,,
player,201511290htx,htx,PolkCh00,pass_yds,0,,,,,
player,201511290htx,htx,PolkCh00,pass_td,0,,,,,
player,201511290htx,htx,PolkCh00,pass_int,0,,,,,
player,201511290htx,htx,PolkCh00,pass_sacked,0,,,,,
player,201511290htx,htx,PolkCh00,pass_sacked_yds,0,,,,,
player,201511290htx,htx,PolkCh00,pass_long,0,,,,,
player,201511290htx,htx,PolkCh00,pass_rating,,,,,,
player,201511290htx,htx,PolkCh00,rush_att,6,,,,,
player,201511290htx,htx,PolkCh00,rush_yds,21,,,,,
player,201511290htx,htx,PolkCh00,rush_td,0,,,,,
player,201511290htx,htx,PolkCh00,rush_long,6,,,,,
player,201511290htx,htx,PolkCh00,targets,1,,,,,
player,201511290htx,htx,PolkCh00,rec,1,,,,,
player,201511290htx,htx,PolkCh00,rec_yds,6,,,,,
player,201511290htx,htx,PolkCh00,rec_td,0,,,,,
player,201511290htx,htx,PolkCh00,rec_long,6,,,,,
player,201511290htx,htx,PolkCh00,fumbles,0,,,,,
player,201511290htx,htx,PolkCh00,fumbles_lost,0,,,,,
player,201511290htx,htx,ShorCe00,pass_cmp,0,,,,,
player,201511290htx,htx,ShorCe00,pass_att,0,,,,,
player,201511290htx,htx,ShorCe00,pass_yds,0,,,,,
player,201511290htx,htx,ShorCe00,pass_td,0,,,,,
player,201511290htx,htx,ShorCe00,pass_int,0,,,,,
player,201511290htx,htx,ShorCe00,pass_sacked,0,,,,,
player,201511290htx,htx,ShorCe00,pass_sacked_yds,0,,,,,
player,201511290htx,htx,ShorCe00,pass_long,0,,,,,
player,201511290htx,htx,ShorCe00,pass_rating,,,,,,
player,201511290htx,htx,ShorCe00,rush_att,3,,,,,
player,201511290htx,htx,ShorCe00,rush_yds,20,,,,,
player,201511290htx,htx,ShorCe00,rush_td,0,,,,,
player,201511290htx,htx,ShorCe00,rush_long,7,,,,,
player,201511290htx,htx,ShorCe00,targets,4,,,,,
player,201511290htx,htx,ShorCe00,rec,3,,,,,
player,201511290htx,htx,ShorCe00,rec_yds,18,,,,,
player,201511290htx,htx,ShorCe00,rec_td,1,,,,,
player,201511290htx,htx,ShorCe00,rec_long,8,,,,,
player,201511290htx,htx,ShorCe00,fumbles,1,,,,,
player,201511290htx,htx,ShorCe00,fumbles_lost,0,,,,,
player,201511290htx,htx,GrifRy00,pass_cmp,0,,,,,
player,201511290htx,htx,GrifRy00,pass_att,0,,,,,
player,201511290htx,htx,GrifRy00,pass_yds,0,,,,,
player,201511290htx,htx,GrifRy00,pass_td,0,,,,,
player,201511290htx,htx,GrifRy00,pass_int,0,,,,,
player,201511290htx,htx,GrifRy00,pass_sacked,0,,,,,
player,201511290htx,htx,GrifRy00,pass_sacked_yds,0,,,,,
player,201511290htx,htx,GrifRy00,pass_long,0,,,,,
player,201511290htx,htx,GrifRy00,pass_rating,,,,,,
player,201511290htx,htx,GrifRy00,rush_att,0,,,,,
player,201511290htx,htx,GrifRy00,rush_yds,0,,,,,
player,201511290htx,htx,GrifRy00,rush_td,0,,,,,
player,201511290htx,htx,GrifRy00,rush_long,0,,,,,
player,201511290htx,htx,GrifRy00,targets,5,,,,,
player,201511290htx,htx,GrifRy00,rec,4,,,,,
player,201511290htx,htx,GrifRy00,rec_yds,72,,,,,
player,201511290htx,htx,GrifRy00,rec_td,1,,,,,
player,201511290htx,htx,GrifRy00,rec_long,37,,,,,
player,201511290htx,htx,GrifRy00,fumbles,0,,,,,
player,201511290htx,htx,GrifRy00,fumbles_lost,0,,,,,
player,201511290htx,htx,WashNa00,pass_cmp,0,,,,,
player,201511290htx,htx,WashNa00,pass_att,0,,,,,
player,201511290htx,htx,WashNa00,pass_yds,0,,,,,
player,201511290htx,htx,WashNa00,pass_td,0,,,,,
player,201511290htx,htx,WashNa00,pass_int,0,,,,,
player,201511290htx,htx,WashNa00,pass_sacked,0,,,,,
player,201511290htx,htx,WashNa00,pass_sacked_yds,0,,,,,
player,201511290htx,htx,WashNa00,pass_long,0,,,,,
player,201511290htx,htx,WashNa00,pass_rating,,,,,,
player,201511290htx,htx,WashNa00,rush_att,0,,,,,
player,201511290htx,htx,WashNa00,rush_yds,0,,,,,
player,201511290htx,htx,WashNa00,rush_td,0,,,,,
player,201511290htx,htx,WashNa00,rush_long,0,,,,,
player,201511290htx,htx,WashNa00,targets,4,,,,,
player,201511290htx,htx,WashNa00,rec,3,,,,,
player,201511290htx,htx,WashNa00,rec_yds,43,,,,,
player,201511290htx,htx,WashNa00,rec_td,0,,,,,
player,201511290htx,htx,WashNa00,rec_long,32,,,,,
player,201511290htx,htx,WashNa00,fumbles,0,,,,,
player,201511290htx,htx,WashNa00,fumbles_lost,0,,,,,
player,201511290htx,htx,HopkDe00,pass_cmp,0,,,,,
player,201511290htx,htx,HopkDe00,pass_att,0,,,,,
player,201511290htx,htx,HopkDe00,pass_yds,0,,,,,
player,201511290htx,htx,HopkDe00,pass_td,0,,,,,
player,201511290htx,htx,HopkDe00,pass_int,0,,,,,
player,201511290htx,htx,HopkDe00,pass_sacked,0,,,,,
player,201511290htx,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201511290htx,htx,HopkDe00,pass_long,0,,,,,
player,201511290htx,htx,HopkDe00,pass_rating,,,,,,
player,201511290htx,htx,HopkDe00,rush_att,0,,,,,
player,201511290htx,htx,HopkDe00,rush_yds,0,,,,,
player,201511290htx,htx,HopkDe00,rush_td,0,,,,,
player,201511290htx,htx,HopkDe00,rush_long,0,,,,,
player,201511290htx,htx,HopkDe00,targets,8,,,,,
player,201511290htx,htx,HopkDe00,rec,5,,,,,
player,201511290htx,htx,HopkDe00,rec_yds,36,,,,,
player,201511290htx,htx,HopkDe00,rec_td,0,,,,,
player,201511290htx,htx,HopkDe00,rec_long,13,,,,,
player,201511290htx,htx,HopkDe00,fumbles,0,,,,,
player,201511290htx,htx,HopkDe00,fumbles_lost,0,,,,,
player,201511290htx,htx,FiedC.00,pass_cmp,0,,,,,
player,201511290htx,htx,FiedC.00,pass_att,0,,,,,
player,201511290htx,htx,FiedC.00,pass_yds,0,,,,,
player,201511290htx,htx,FiedC.00,pass_td,0,,,,,
player,201511290htx,htx,FiedC.00,pass_int,0,,,,,
player,201511290htx,htx,FiedC.00,pass_sacked,0,,,,,
player,201511290htx,htx,FiedC.00,pass_sacked_yds,0,,,,,
player,201511290htx,htx,FiedC.00,pass_long,0,,,,,
player,201511290htx,htx,FiedC.00,pass_rating,,,,,,
player,201511290htx,htx,FiedC.00,rush_att,0,,,,,
player,201511290htx,htx,FiedC.00,rush_yds,0,,,,,
player,201511290htx,htx,FiedC.00,rush_td,0,,,,,
player,201511290htx,htx,FiedC.00,rush_long,0,,,,,
player,201511290htx,htx,FiedC.00,targets,2,,,,,
player,201511290htx,htx,FiedC.00,rec,2,,,,,
player,201511290htx,htx,FiedC.00,rec_yds,20,,,,,
player,201511290htx,htx,FiedC.00,rec_td,0,,,,,
player,201511290htx,htx,FiedC.00,rec_long,14,,,,,
player,201511290htx,htx,FiedC.00,fumbles,0,,,,,
player,201511290htx,htx,FiedC.00,fumbles_lost,0,,,,,
player,201511290htx,nor,ByrdJa99,def_int,1,,,,,
player,201511290htx,nor,ByrdJa99,def_int_yds,24,,,,,
player,201511290htx,nor,ByrdJa99,def_int_td,0,,,,,
player,201511290htx,nor,ByrdJa99,def_int_long,24,,,,,
player,201511290htx,nor,ByrdJa99,pass_defended,1,,,,,
player,201511290htx,nor,ByrdJa99,sacks,0.0,,,,,
player,201511290htx,nor,ByrdJa99,tackles_combined,8,,,,,
player,201511290htx,nor,ByrdJa99,tackles_solo,5,,,,,
player,201511290htx,nor,ByrdJa99,tackles_assists,3,,,,,
player,201511290htx,nor,ByrdJa99,tackles_loss,0,,,,,
player,201511290htx,nor,ByrdJa99,qb_hits,0,,,,,
