game,2015,16,20151227,201512270crd,gnb,"Green Bay Packers",8,crd,"Arizona Cardinals",38
player,201512270crd,crd,PalmCa00,targets,0,,,,,
player,201512270crd,crd,PalmCa00,rec,0,,,,,
player,201512270crd,crd,PalmCa00,rec_yds,0,,,,,
player,201512270crd,crd,PalmCa00,rec_td,0,,,,,
player,201512270crd,crd,PalmCa00,rec_long,0,,,,,
player,201512270crd,crd,PalmCa00,fumbles,0,,,,,
player,201512270crd,crd,PalmCa00,fumbles_lost,0,,,,,
player,201512270crd,crd,StanDr00,pass_cmp,1,,,,,
player,201512270crd,crd,StanDr00,pass_att,1,,,,,
player,201512270crd,crd,StanDr00,pass_yds,4,,,,,
player,201512270crd,crd,StanDr00,pass_td,0,,,,,
player,201512270crd,crd,StanDr00,pass_int,0,,,,,
player,201512270crd,crd,StanDr00,pass_sacked,0,,,,,
player,201512270crd,crd,StanDr00,pass_sacked_yds,0,,,,,
player,201512270crd,crd,StanDr00,pass_long,4,,,,,
player,201512270crd,crd,StanDr00,pass_rating,83.3,,,,,
player,201512270crd,crd,StanDr00,rush_att,2,,,,,
player,201512270crd,crd,StanDr00,rush_yds,-2,,,,,
player,201512270crd,crd,StanDr00,rush_td,0,,,,,
player,201512270crd,crd,StanDr00,rush_long,-1,,,,,
player,201512270crd,crd,StanDr00,targets,0,,,,,
player,201512270crd,crd,StanDr00,rec,0,,,,,
player,201512270crd,crd,StanDr00,rec_yds,0,,,,,
player,201512270crd,crd,StanDr00,rec_td,0,,,,,
player,201512270crd,crd,StanDr00,rec_long,0,,,,,
player,201512270crd,crd,StanDr00,fumbles,0,,,,,
player,201512270crd,crd,StanDr00,fumbles_lost,0,,,,,
player,201512270crd,crd,WillKe05,pass_cmp,0,,,,,
player,201512270crd,crd,WillKe05,pass_att,0,,,,,
player,201512270crd,crd,WillKe05,pass_yds,0,,,,,
player,201512270crd,crd,WillKe05,pass_td,0,,,,,
player,201512270crd,crd,WillKe05,pass_int,0,,,,,
player,201512270crd,crd,WillKe05,pass_sacked,0,,,,,
player,201512270crd,crd,WillKe05,pass_sacked_yds,0,,,,,
player,201512270crd,crd,WillKe05,pass_long,0,,,,,
player,201512270crd,crd,WillKe05,pass_rating,,,,,,
player,201512270crd,crd,WillKe05,rush_att,8,,,,,
player,201512270crd,crd,WillKe05,rush_yds,44,,,,,
player,201512270crd,crd,WillKe05,rush_td,0,,,,,
player,201512270crd,crd,WillKe05,rush_long,19,,,,,
player,201512270crd,crd,WillKe05,targets,1,,,,,
player,201512270crd,crd,WillKe05,rec,1,,,,,
player,201512270crd,crd,WillKe05,rec_yds,4,,,,,
player,201512270crd,crd,WillKe05,rec_td,0,,,,,
player,201512270crd,crd,WillKe05,rec_long,4,,,,,
player,201512270crd,crd,WillKe05,fumbles,1,,,,,
player,201512270crd,crd,WillKe05,fumbles_lost,1,,,,,
player,201512270crd,crd,ElliAn00,pass_cmp,0,,,,,
player,201512270crd,crd,ElliAn00,pass_att,0,,,,,
player,201512270crd,crd,ElliAn00,pass_yds,0,,,,,
player,201512270crd,crd,ElliAn00,pass_td,0,,,,,
player,201512270crd,crd,ElliAn00,pass_int,0,,,,,
player,201512270crd,crd,ElliAn00,pass_sacked,0,,,,,
player,201512270crd,crd,ElliAn00,pass_sacked_yds,0,,,,,
