game,2015,7,20151025,201510250mia,htx,"Houston Texans",26,mia,"Miami Dolphins",44
player,201510250mia,htx,MercWh00,qb_hits,0,,,,,
player,201510250mia,htx,MercWh00,fumbles_rec,0,,,,,
player,201510250mia,htx,MercWh00,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,MercWh00,fumbles_rec_td,0,,,,,
player,201510250mia,htx,MercWh00,fumbles_forced,0,,,,,
player,201510250mia,htx,MoorRa00,def_int,0,,,,,
player,201510250mia,htx,MoorRa00,def_int_yds,0,,,,,
player,201510250mia,htx,MoorRa00,def_int_td,0,,,,,
player,201510250mia,htx,MoorRa00,def_int_long,0,,,,,
player,201510250mia,htx,MoorRa00,pass_defended,0,,,,,
player,201510250mia,htx,MoorRa00,sacks,0.0,,,,,
player,201510250mia,htx,MoorRa00,tackles_combined,2,,,,,
player,201510250mia,htx,MoorRa00,tackles_solo,1,,,,,
player,201510250mia,htx,MoorRa00,tackles_assists,1,,,,,
player,201510250mia,htx,MoorRa00,tackles_loss,0,,,,,
player,201510250mia,htx,MoorRa00,qb_hits,0,,,,,
player,201510250mia,htx,MoorRa00,fumbles_rec,0,,,,,
player,201510250mia,htx,MoorRa00,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,MoorRa00,fumbles_rec_td,0,,,,,
player,201510250mia,htx,MoorRa00,fumbles_forced,0,,,,,
player,201510250mia,htx,MorrDa01,def_int,0,,,,,
player,201510250mia,htx,MorrDa01,def_int_yds,0,,,,,
player,201510250mia,htx,MorrDa01,def_int_td,0,,,,,
player,201510250mia,htx,MorrDa01,def_int_long,0,,,,,
player,201510250mia,htx,MorrDa01,pass_defended,0,,,,,
player,201510250mia,htx,MorrDa01,sacks,0.0,,,,,
player,201510250mia,htx,MorrDa01,tackles_combined,2,,,,,
player,201510250mia,htx,MorrDa01,tackles_solo,1,,,,,
player,201510250mia,htx,MorrDa01,tackles_assists,1,,,,,
player,201510250mia,htx,MorrDa01,tackles_loss,0,,,,,
player,201510250mia,htx,MorrDa01,qb_hits,0,,,,,
player,201510250mia,htx,MorrDa01,fumbles_rec,0,,,,,
player,201510250mia,htx,MorrDa01,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,MorrDa01,fumbles_rec_td,0,,,,,
player,201510250mia,htx,MorrDa01,fumbles_forced,0,,,,,
player,201510250mia,htx,RollJu00,def_int,0,,,,,
player,201510250mia,htx,RollJu00,def_int_yds,0,,,,,
player,201510250mia,htx,RollJu00,def_int_td,0,,,,,
player,201510250mia,htx,RollJu00,def_int_long,0,,,,,
player,201510250mia,htx,RollJu00,pass_defended,0,,,,,
player,201510250mia,htx,RollJu00,sacks,0.0,,,,,
player,201510250mia,htx,RollJu00,tackles_combined,2,,,,,
player,201510250mia,htx,RollJu00,tackles_solo,0,,,,,
player,201510250mia,htx,RollJu00,tackles_assists,2,,,,,
player,201510250mia,htx,RollJu00,tackles_loss,0,,,,,
player,201510250mia,htx,RollJu00,qb_hits,0,,,,,
player,201510250mia,htx,RollJu00,fumbles_rec,0,,,,,
player,201510250mia,htx,RollJu00,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,RollJu00,fumbles_rec_td,0,,,,,
player,201510250mia,htx,RollJu00,fumbles_forced,0,,,,,
player,201510250mia,htx,BouyA.00,def_int,0,,,,,
player,201510250mia,htx,BouyA.00,def_int_yds,0,,,,,
player,201510250mia,htx,BouyA.00,def_int_td,0,,,,,
player,201510250mia,htx,BouyA.00,def_int_long,0,,,,,
player,201510250mia,htx,BouyA.00,pass_defended,0,,,,,
player,201510250mia,htx,BouyA.00,sacks,0.0,,,,,
player,201510250mia,htx,BouyA.00,tackles_combined,1,,,,,
player,201510250mia,htx,BouyA.00,tackles_solo,1,,,,,
player,201510250mia,htx,BouyA.00,tackles_assists,0,,,,,
player,201510250mia,htx,BouyA.00,tackles_loss,0,,,,,
player,201510250mia,htx,BouyA.00,qb_hits,0,,,,,
player,201510250mia,htx,BouyA.00,fumbles_rec,0,,,,,
player,201510250mia,htx,BouyA.00,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,BouyA.00,fumbles_rec_td,0,,,,,
player,201510250mia,htx,BouyA.00,fumbles_forced,0,,,,,
player,201510250mia,htx,CoviCh00,def_int,0,,,,,
player,201510250mia,htx,CoviCh00,def_int_yds,0,,,,,
player,201510250mia,htx,CoviCh00,def_int_td,0,,,,,
player,201510250mia,htx,CoviCh00,def_int_long,0,,,,,
player,201510250mia,htx,CoviCh00,pass_defended,0,,,,,
player,201510250mia,htx,CoviCh00,sacks,0.0,,,,,
player,201510250mia,htx,CoviCh00,tackles_combined,1,,,,,
player,201510250mia,htx,CoviCh00,tackles_solo,0,,,,,
player,201510250mia,htx,CoviCh00,tackles_assists,1,,,,,
player,201510250mia,htx,CoviCh00,tackles_loss,0,,,,,
player,201510250mia,htx,CoviCh00,qb_hits,0,,,,,
player,201510250mia,htx,CoviCh00,fumbles_rec,0,,,,,
player,201510250mia,htx,CoviCh00,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,CoviCh00,fumbles_rec_td,0,,,,,
player,201510250mia,htx,CoviCh00,fumbles_forced,0,,,,,
player,201510250mia,htx,DunnBr00,def_int,0,,,,,
player,201510250mia,htx,DunnBr00,def_int_yds,0,,,,,
player,201510250mia,htx,DunnBr00,def_int_td,0,,,,,
player,201510250mia,htx,DunnBr00,def_int_long,0,,,,,
player,201510250mia,htx,DunnBr00,pass_defended,0,,,,,
player,201510250mia,htx,DunnBr00,sacks,0.0,,,,,
player,201510250mia,htx,DunnBr00,tackles_combined,1,,,,,
player,201510250mia,htx,DunnBr00,tackles_solo,1,,,,,
player,201510250mia,htx,DunnBr00,tackles_assists,0,,,,,
player,201510250mia,htx,DunnBr00,tackles_loss,0,,,,,
player,201510250mia,htx,DunnBr00,qb_hits,0,,,,,
player,201510250mia,htx,DunnBr00,fumbles_rec,0,,,,,
player,201510250mia,htx,DunnBr00,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,DunnBr00,fumbles_rec_td,0,,,,,
player,201510250mia,htx,DunnBr00,fumbles_forced,0,,,,,
player,201510250mia,htx,JohnKe04,def_int,0,,,,,
player,201510250mia,htx,JohnKe04,def_int_yds,0,,,,,
player,201510250mia,htx,JohnKe04,def_int_td,0,,,,,
player,201510250mia,htx,JohnKe04,def_int_long,0,,,,,
player,201510250mia,htx,JohnKe04,pass_defended,0,,,,,
player,201510250mia,htx,JohnKe04,sacks,0.0,,,,,
player,201510250mia,htx,JohnKe04,tackles_combined,1,,,,,
player,201510250mia,htx,JohnKe04,tackles_solo,1,,,,,
player,201510250mia,htx,JohnKe04,tackles_assists,0,,,,,
player,201510250mia,htx,JohnKe04,tackles_loss,0,,,,,
player,201510250mia,htx,JohnKe04,qb_hits,0,,,,,
player,201510250mia,htx,JohnKe04,fumbles_rec,0,,,,,
player,201510250mia,htx,JohnKe04,fumbles_rec_yds,0,,,,,
player,201510250mia,htx,JohnKe04,fumbles_rec_td,0,,,,,
player,201510250mia,htx,JohnKe04,fumbles_forced,0,,,,,
player,201510250mia,htx,novaknic01,def_int,0,,,,,
