game,2015,15,20151220,201512200sdg,mia,"Miami Dolphins",14,sdg,"San Diego Chargers",30
player,201512200sdg,mia,TannRy00,rec,0,,,,,
player,201512200sdg,mia,TannRy00,rec_yds,0,,,,,
player,201512200sdg,mia,TannRy00,rec_td,0,,,,,
player,201512200sdg,mia,TannRy00,rec_long,0,,,,,
player,201512200sdg,mia,TannRy00,fumbles,1,,,,,
player,201512200sdg,mia,TannRy00,fumbles_lost,0,,,,,
player,201512200sdg,mia,AjayJa00,pass_cmp,0,,,,,
player,201512200sdg,mia,AjayJa00,pass_att,0,,,,,
player,201512200sdg,mia,AjayJa00,pass_yds,0,,,,,
player,201512200sdg,mia,AjayJa00,pass_td,0,,,,,
player,201512200sdg,mia,AjayJa00,pass_int,0,,,,,
player,201512200sdg,mia,AjayJa00,pass_sacked,0,,,,,
player,201512200sdg,mia,AjayJa00,pass_sacked_yds,0,,,,,
player,201512200sdg,mia,AjayJa00,pass_long,0,,,,,
player,201512200sdg,mia,AjayJa00,pass_rating,,,,,,
player,201512200sdg,mia,AjayJa00,rush_att,6,,,,,
player,201512200sdg,mia,AjayJa00,rush_yds,27,,,,,
player,201512200sdg,mia,AjayJa00,rush_td,1,,,,,
player,201512200sdg,mia,AjayJa00,rush_long,12,,,,,
player,201512200sdg,mia,AjayJa00,targets,3,,,,,
player,201512200sdg,mia,AjayJa00,rec,1,,,,,
player,201512200sdg,mia,AjayJa00,rec_yds,15,,,,,
player,201512200sdg,mia,AjayJa00,rec_td,0,,,,,
player,201512200sdg,mia,AjayJa00,rec_long,15,,,,,
player,201512200sdg,mia,AjayJa00,fumbles,0,,,,,
player,201512200sdg,mia,AjayJa00,fumbles_lost,0,,,,,
player,201512200sdg,mia,MillLa01,pass_cmp,0,,,,,
player,201512200sdg,mia,MillLa01,pass_att,0,,,,,
player,201512200sdg,mia,MillLa01,pass_yds,0,,,,,
player,201512200sdg,mia,MillLa01,pass_td,0,,,,,
player,201512200sdg,mia,MillLa01,pass_int,0,,,,,
player,201512200sdg,mia,MillLa01,pass_sacked,0,,,,,
player,201512200sdg,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201512200sdg,mia,MillLa01,pass_long,0,,,,,
player,201512200sdg,mia,MillLa01,pass_rating,,,,,,
player,201512200sdg,mia,MillLa01,rush_att,9,,,,,
player,201512200sdg,mia,MillLa01,rush_yds,12,,,,,
player,201512200sdg,mia,MillLa01,rush_td,0,,,,,
player,201512200sdg,mia,MillLa01,rush_long,7,,,,,
player,201512200sdg,mia,MillLa01,targets,2,,,,,
player,201512200sdg,mia,MillLa01,rec,2,,,,,
player,201512200sdg,mia,MillLa01,rec_yds,12,,,,,
player,201512200sdg,mia,MillLa01,rec_td,0,,,,,
player,201512200sdg,mia,MillLa01,rec_long,11,,,,,
player,201512200sdg,mia,MillLa01,fumbles,0,,,,,
player,201512200sdg,mia,MillLa01,fumbles_lost,0,,,,,
player,201512200sdg,mia,WillDa05,pass_cmp,0,,,,,
player,201512200sdg,mia,WillDa05,pass_att,0,,,,,
player,201512200sdg,mia,WillDa05,pass_yds,0,,,,,
player,201512200sdg,mia,WillDa05,pass_td,0,,,,,
player,201512200sdg,mia,WillDa05,pass_int,0,,,,,
player,201512200sdg,mia,WillDa05,pass_sacked,0,,,,,
player,201512200sdg,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201512200sdg,mia,WillDa05,pass_long,0,,,,,
player,201512200sdg,mia,WillDa05,pass_rating,,,,,,
player,201512200sdg,mia,WillDa05,rush_att,1,,,,,
player,201512200sdg,mia,WillDa05,rush_yds,1,,,,,
player,201512200sdg,mia,WillDa05,rush_td,0,,,,,
player,201512200sdg,mia,WillDa05,rush_long,1,,,,,
player,201512200sdg,mia,WillDa05,targets,2,,,,,
player,201512200sdg,mia,WillDa05,rec,2,,,,,
player,201512200sdg,mia,WillDa05,rec_yds,11,,,,,
player,201512200sdg,mia,WillDa05,rec_td,0,,,,,
player,201512200sdg,mia,WillDa05,rec_long,6,,,,,
player,201512200sdg,mia,WillDa05,fumbles,0,,,,,
player,201512200sdg,mia,WillDa05,fumbles_lost,0,,,,,
player,201512200sdg,mia,ParkDe01,pass_cmp,0,,,,,
player,201512200sdg,mia,ParkDe01,pass_att,0,,,,,
player,201512200sdg,mia,ParkDe01,pass_yds,0,,,,,
player,201512200sdg,mia,ParkDe01,pass_td,0,,,,,
player,201512200sdg,mia,ParkDe01,pass_int,0,,,,,
player,201512200sdg,mia,ParkDe01,pass_sacked,0,,,,,
player,201512200sdg,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201512200sdg,mia,ParkDe01,pass_long,0,,,,,
player,201512200sdg,mia,ParkDe01,pass_rating,,,,,,
player,201512200sdg,mia,ParkDe01,rush_att,0,,,,,
player,201512200sdg,mia,ParkDe01,rush_yds,0,,,,,
player,201512200sdg,mia,ParkDe01,rush_td,0,,,,,
player,201512200sdg,mia,ParkDe01,rush_long,0,,,,,
player,201512200sdg,mia,ParkDe01,targets,6,,,,,
player,201512200sdg,mia,ParkDe01,rec,4,,,,,
player,201512200sdg,mia,ParkDe01,rec_yds,87,,,,,
player,201512200sdg,mia,ParkDe01,rec_td,0,,,,,
player,201512200sdg,mia,ParkDe01,rec_long,35,,,,,
player,201512200sdg,mia,ParkDe01,fumbles,0,,,,,
player,201512200sdg,mia,ParkDe01,fumbles_lost,0,,,,,
player,201512200sdg,mia,LandJa00,pass_cmp,0,,,,,
player,201512200sdg,mia,LandJa00,pass_att,0,,,,,
player,201512200sdg,mia,LandJa00,pass_yds,0,,,,,
player,201512200sdg,mia,LandJa00,pass_td,0,,,,,
player,201512200sdg,mia,LandJa00,pass_int,0,,,,,
player,201512200sdg,mia,LandJa00,pass_sacked,0,,,,,
player,201512200sdg,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201512200sdg,mia,LandJa00,pass_long,0,,,,,
player,201512200sdg,mia,LandJa00,pass_rating,,,,,,
player,201512200sdg,mia,LandJa00,rush_att,0,,,,,
player,201512200sdg,mia,LandJa00,rush_yds,0,,,,,
player,201512200sdg,mia,LandJa00,rush_td,0,,,,,
player,201512200sdg,mia,LandJa00,rush_long,0,,,,,
player,201512200sdg,mia,LandJa00,targets,10,,,,,
player,201512200sdg,mia,LandJa00,rec,8,,,,,
player,201512200sdg,mia,LandJa00,rec_yds,54,,,,,
player,201512200sdg,mia,LandJa00,rec_td,0,,,,,
player,201512200sdg,mia,LandJa00,rec_long,14,,,,,
player,201512200sdg,mia,LandJa00,fumbles,0,,,,,
player,201512200sdg,mia,LandJa00,fumbles_lost,0,,,,,
player,201512200sdg,mia,StilKe00,pass_cmp,0,,,,,
player,201512200sdg,mia,StilKe00,pass_att,0,,,,,
player,201512200sdg,mia,StilKe00,pass_yds,0,,,,,
player,201512200sdg,mia,StilKe00,pass_td,0,,,,,
player,201512200sdg,mia,StilKe00,pass_int,0,,,,,
player,201512200sdg,mia,StilKe00,pass_sacked,0,,,,,
player,201512200sdg,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201512200sdg,mia,StilKe00,pass_long,0,,,,,
player,201512200sdg,mia,StilKe00,pass_rating,,,,,,
player,201512200sdg,mia,StilKe00,rush_att,0,,,,,
player,201512200sdg,mia,StilKe00,rush_yds,0,,,,,
player,201512200sdg,mia,StilKe00,rush_td,0,,,,,
player,201512200sdg,mia,StilKe00,rush_long,0,,,,,
player,201512200sdg,mia,StilKe00,targets,6,,,,,
player,201512200sdg,mia,StilKe00,rec,1,,,,,
player,201512200sdg,mia,StilKe00,rec_yds,23,,,,,
player,201512200sdg,mia,StilKe00,rec_td,0,,,,,
player,201512200sdg,mia,StilKe00,rec_long,23,,,,,
player,201512200sdg,mia,StilKe00,fumbles,0,,,,,
player,201512200sdg,mia,StilKe00,fumbles_lost,0,,,,,
player,201512200sdg,mia,SimsDi00,pass_cmp,0,,,,,
player,201512200sdg,mia,SimsDi00,pass_att,0,,,,,
player,201512200sdg,mia,SimsDi00,pass_yds,0,,,,,
player,201512200sdg,mia,SimsDi00,pass_td,0,,,,,
player,201512200sdg,mia,SimsDi00,pass_int,0,,,,,
player,201512200sdg,mia,SimsDi00,pass_sacked,0,,,,,
player,201512200sdg,mia,SimsDi00,pass_sacked_yds,0,,,,,
player,201512200sdg,mia,SimsDi00,pass_long,0,,,,,
player,201512200sdg,mia,SimsDi00,pass_rating,,,,,,
player,201512200sdg,mia,SimsDi00,rush_att,0,,,,,
player,201512200sdg,mia,SimsDi00,rush_yds,0,,,,,
player,201512200sdg,mia,SimsDi00,rush_td,0,,,,,
player,201512200sdg,mia,SimsDi00,rush_long,0,,,,,
player,201512200sdg,mia,SimsDi00,targets,1,,,,,
player,201512200sdg,mia,SimsDi00,rec,1,,,,,
player,201512200sdg,mia,SimsDi00,rec_yds,9,,,,,
player,201512200sdg,mia,SimsDi00,rec_td,0,,,,,
player,201512200sdg,mia,SimsDi00,rec_long,9,,,,,
player,201512200sdg,mia,SimsDi00,fumbles,0,,,,,
player,201512200sdg,mia,SimsDi00,fumbles_lost,0,,,,,
player,201512200sdg,mia,CameJo00,pass_cmp,0,,,,,
player,201512200sdg,mia,CameJo00,pass_att,0,,,,,
player,201512200sdg,mia,CameJo00,pass_yds,0,,,,,
player,201512200sdg,mia,CameJo00,pass_td,0,,,,,
player,201512200sdg,mia,CameJo00,pass_int,0,,,,,
player,201512200sdg,mia,CameJo00,pass_sacked,0,,,,,
player,201512200sdg,mia,CameJo00,pass_sacked_yds,0,,,,,
player,201512200sdg,mia,CameJo00,pass_long,0,,,,,
player,201512200sdg,mia,CameJo00,pass_rating,,,,,,
player,201512200sdg,mia,CameJo00,rush_att,0,,,,,
player,201512200sdg,mia,CameJo00,rush_yds,0,,,,,
player,201512200sdg,mia,CameJo00,rush_td,0,,,,,
player,201512200sdg,mia,CameJo00,rush_long,0,,,,,
player,201512200sdg,mia,CameJo00,targets,1,,,,,
player,201512200sdg,mia,CameJo00,rec,1,,,,,
player,201512200sdg,mia,CameJo00,rec_yds,5,,,,,
player,201512200sdg,mia,CameJo00,rec_td,0,,,,,
player,201512200sdg,mia,CameJo00,rec_long,5,,,,,
player,201512200sdg,mia,CameJo00,fumbles,0,,,,,
player,201512200sdg,mia,CameJo00,fumbles_lost,0,,,,,
player,201512200sdg,sdg,RivePh00,pass_cmp,26,,,,,
player,201512200sdg,sdg,RivePh00,pass_att,36,,,,,
player,201512200sdg,sdg,RivePh00,pass_yds,311,,,,,
player,201512200sdg,sdg,RivePh00,pass_td,3,,,,,
player,201512200sdg,sdg,RivePh00,pass_int,2,,,,,
player,201512200sdg,sdg,RivePh00,pass_sacked,1,,,,,
player,201512200sdg,sdg,RivePh00,pass_sacked_yds,9,,,,,
player,201512200sdg,sdg,RivePh00,pass_long,31,,,,,
player,201512200sdg,sdg,RivePh00,pass_rating,102.9,,,,,
player,201512200sdg,sdg,RivePh00,rush_att,0,,,,,
player,201512200sdg,sdg,RivePh00,rush_yds,0,,,,,
player,201512200sdg,sdg,RivePh00,rush_td,0,,,,,
player,201512200sdg,sdg,RivePh00,rush_long,0,,,,,
player,201512200sdg,sdg,RivePh00,targets,0,,,,,
player,201512200sdg,sdg,RivePh00,rec,0,,,,,
player,201512200sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201512200sdg,sdg,RivePh00,rec_td,0,,,,,
player,201512200sdg,sdg,RivePh00,rec_long,0,,,,,
player,201512200sdg,sdg,RivePh00,fumbles,0,,,,,
player,201512200sdg,sdg,RivePh00,fumbles_lost,0,,,,,
player,201512200sdg,sdg,BrowDo00,pass_cmp,0,,,,,
player,201512200sdg,sdg,BrowDo00,pass_att,0,,,,,
player,201512200sdg,sdg,BrowDo00,pass_yds,0,,,,,
player,201512200sdg,sdg,BrowDo00,pass_td,0,,,,,
player,201512200sdg,sdg,BrowDo00,pass_int,0,,,,,
player,201512200sdg,sdg,BrowDo00,pass_sacked,0,,,,,
player,201512200sdg,sdg,BrowDo00,pass_sacked_yds,0,,,,,
player,201512200sdg,sdg,BrowDo00,pass_long,0,,,,,
player,201512200sdg,sdg,BrowDo00,pass_rating,,,,,,
player,201512200sdg,sdg,BrowDo00,rush_att,12,,,,,
player,201512200sdg,sdg,BrowDo00,rush_yds,90,,,,,
player,201512200sdg,sdg,BrowDo00,rush_td,0,,,,,
player,201512200sdg,sdg,BrowDo00,rush_long,53,,,,,
player,201512200sdg,sdg,BrowDo00,targets,3,,,,,
player,201512200sdg,sdg,BrowDo00,rec,2,,,,,
player,201512200sdg,sdg,BrowDo00,rec_yds,14,,,,,
player,201512200sdg,sdg,BrowDo00,rec_td,0,,,,,
player,201512200sdg,sdg,BrowDo00,rec_long,11,,,,,
player,201512200sdg,sdg,BrowDo00,fumbles,0,,,,,
player,201512200sdg,sdg,BrowDo00,fumbles_lost,0,,,,,
player,201512200sdg,sdg,GordMe00,pass_cmp,0,,,,,
player,201512200sdg,sdg,GordMe00,pass_att,0,,,,,
player,201512200sdg,sdg,GordMe00,pass_yds,0,,,,,
player,201512200sdg,sdg,GordMe00,pass_td,0,,,,,
player,201512200sdg,sdg,GordMe00,pass_int,0,,,,,
player,201512200sdg,sdg,GordMe00,pass_sacked,0,,,,,
player,201512200sdg,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201512200sdg,sdg,GordMe00,pass_long,0,,,,,
player,201512200sdg,sdg,GordMe00,pass_rating,,,,,,
player,201512200sdg,sdg,GordMe00,rush_att,15,,,,,
player,201512200sdg,sdg,GordMe00,rush_yds,41,,,,,
player,201512200sdg,sdg,GordMe00,rush_td,0,,,,,
player,201512200sdg,sdg,GordMe00,rush_long,10,,,,,
player,201512200sdg,sdg,GordMe00,targets,1,,,,,
player,201512200sdg,sdg,GordMe00,rec,1,,,,,
player,201512200sdg,sdg,GordMe00,rec_yds,6,,,,,
player,201512200sdg,sdg,GordMe00,rec_td,0,,,,,
player,201512200sdg,sdg,GordMe00,rec_long,6,,,,,
player,201512200sdg,sdg,GordMe00,fumbles,0,,,,,
player,201512200sdg,sdg,GordMe00,fumbles_lost,0,,,,,
player,201512200sdg,sdg,WoodDa02,pass_cmp,0,,,,,
player,201512200sdg,sdg,WoodDa02,pass_att,0,,,,,
player,201512200sdg,sdg,WoodDa02,pass_yds,0,,,,,
player,201512200sdg,sdg,WoodDa02,pass_td,0,,,,,
player,201512200sdg,sdg,WoodDa02,pass_int,0,,,,,
player,201512200sdg,sdg,WoodDa02,pass_sacked,0,,,,,
player,201512200sdg,sdg,WoodDa02,pass_sacked_yds,0,,,,,
player,201512200sdg,sdg,WoodDa02,pass_long,0,,,,,
player,201512200sdg,sdg,WoodDa02,pass_rating,,,,,,
player,201512200sdg,sdg,WoodDa02,rush_att,8,,,,,
player,201512200sdg,sdg,WoodDa02,rush_yds,10,,,,,
player,201512200sdg,sdg,WoodDa02,rush_td,1,,,,,
player,201512200sdg,sdg,WoodDa02,rush_long,8,,,,,
player,201512200sdg,sdg,WoodDa02,targets,6,,,,,
player,201512200sdg,sdg,WoodDa02,rec,6,,,,,
player,201512200sdg,sdg,WoodDa02,rec_yds,50,,,,,
player,201512200sdg,sdg,WoodDa02,rec_td,3,,,,,
player,201512200sdg,sdg,WoodDa02,rec_long,20,,,,,
player,201512200sdg,sdg,WoodDa02,fumbles,0,,,,,
player,201512200sdg,sdg,WoodDa02,fumbles_lost,0,,,,,
player,201512200sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201512200sdg,sdg,GateAn00,pass_att,0,,,,,
player,201512200sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201512200sdg,sdg,GateAn00,pass_td,0,,,,,
player,201512200sdg,sdg,GateAn00,pass_int,0,,,,,
player,201512200sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201512200sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201512200sdg,sdg,GateAn00,pass_long,0,,,,,
player,201512200sdg,sdg,GateAn00,pass_rating,,,,,,
player,201512200sdg,sdg,GateAn00,rush_att,0,,,,,
player,201512200sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201512200sdg,sdg,GateAn00,rush_td,0,,,,,
player,201512200sdg,sdg,GateAn00,rush_long,0,,,,,
player,201512200sdg,sdg,GateAn00,targets,9,,,,,
player,201512200sdg,sdg,GateAn00,rec,6,,,,,
player,201512200sdg,sdg,GateAn00,rec_yds,88,,,,,
player,201512200sdg,sdg,GateAn00,rec_td,0,,,,,
player,201512200sdg,sdg,GateAn00,rec_long,30,,,,,
player,201512200sdg,sdg,GateAn00,fumbles,0,,,,,
player,201512200sdg,sdg,GateAn00,fumbles_lost,0,,,,,
player,201512200sdg,sdg,InmaDo00,pass_cmp,0,,,,,
player,201512200sdg,sdg,InmaDo00,pass_att,0,,,,,
player,201512200sdg,sdg,InmaDo00,pass_yds,0,,,,,
player,201512200sdg,sdg,InmaDo00,pass_td,0,,,,,
player,201512200sdg,sdg,InmaDo00,pass_int,0,,,,,
player,201512200sdg,sdg,InmaDo00,pass_sacked,0,,,,,
player,201512200sdg,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201512200sdg,sdg,InmaDo00,pass_long,0,,,,,
player,201512200sdg,sdg,InmaDo00,pass_rating,,,,,,
player,201512200sdg,sdg,InmaDo00,rush_att,0,,,,,
player,201512200sdg,sdg,InmaDo00,rush_yds,0,,,,,
player,201512200sdg,sdg,InmaDo00,rush_td,0,,,,,
player,201512200sdg,sdg,InmaDo00,rush_long,0,,,,,
player,201512200sdg,sdg,InmaDo00,targets,5,,,,,
player,201512200sdg,sdg,InmaDo00,rec,3,,,,,
player,201512200sdg,sdg,InmaDo00,rec_yds,78,,,,,
player,201512200sdg,sdg,InmaDo00,rec_td,0,,,,,
player,201512200sdg,sdg,InmaDo00,rec_long,31,,,,,
player,201512200sdg,sdg,InmaDo00,fumbles,0,,,,,
player,201512200sdg,sdg,InmaDo00,fumbles_lost,0,,,,,
player,201512200sdg,sdg,HernJa00,pass_cmp,0,,,,,
player,201512200sdg,sdg,HernJa00,pass_att,0,,,,,
player,201512200sdg,sdg,HernJa00,pass_yds,0,,,,,
player,201512200sdg,sdg,HernJa00,pass_td,0,,,,,
player,201512200sdg,sdg,HernJa00,pass_int,0,,,,,
player,201512200sdg,sdg,HernJa00,pass_sacked,0,,,,,
player,201512200sdg,sdg,HernJa00,pass_sacked_yds,0,,,,,
player,201512200sdg,sdg,HernJa00,pass_long,0,,,,,
player,201512200sdg,sdg,HernJa00,pass_rating,,,,,,
player,201512200sdg,sdg,HernJa00,rush_att,0,,,,,
player,201512200sdg,sdg,HernJa00,rush_yds,0,,,,,
player,201512200sdg,sdg,HernJa00,rush_td,0,,,,,
player,201512200sdg,sdg,HernJa00,rush_long,0,,,,,
player,201512200sdg,sdg,HernJa00,targets,6,,,,,
player,201512200sdg,sdg,HernJa00,rec,5,,,,,
player,201512200sdg,sdg,HernJa00,rec_yds,35,,,,,
player,201512200sdg,sdg,HernJa00,rec_td,0,,,,,
player,201512200sdg,sdg,HernJa00,rec_long,16,,,,,
player,201512200sdg,sdg,HernJa00,fumbles,0,,,,,
player,201512200sdg,sdg,HernJa00,fumbles_lost,0,,,,,
player,201512200sdg,sdg,FloyMa00,pass_cmp,0,,,,,
player,201512200sdg,sdg,FloyMa00,pass_att,0,,,,,
player,201512200sdg,sdg,FloyMa00,pass_yds,0,,,,,
player,201512200sdg,sdg,FloyMa00,pass_td,0,,,,,
player,201512200sdg,sdg,FloyMa00,pass_int,0,,,,,
player,201512200sdg,sdg,FloyMa00,pass_sacked,0,,,,,
player,201512200sdg,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201512200sdg,sdg,FloyMa00,pass_long,0,,,,,
player,201512200sdg,sdg,FloyMa00,pass_rating,,,,,,
player,201512200sdg,sdg,FloyMa00,rush_att,0,,,,,
player,201512200sdg,sdg,FloyMa00,rush_yds,0,,,,,
player,201512200sdg,sdg,FloyMa00,rush_td,0,,,,,
player,201512200sdg,sdg,FloyMa00,rush_long,0,,,,,
player,201512200sdg,sdg,FloyMa00,targets,3,,,,,
player,201512200sdg,sdg,FloyMa00,rec,1,,,,,
player,201512200sdg,sdg,FloyMa00,rec_yds,27,,,,,
player,201512200sdg,sdg,FloyMa00,rec_td,0,,,,,
player,201512200sdg,sdg,FloyMa00,rec_long,27,,,,,
player,201512200sdg,sdg,FloyMa00,fumbles,0,,,,,
player,201512200sdg,sdg,FloyMa00,fumbles_lost,0,,,,,
player,201512200sdg,sdg,GreeLa00,pass_cmp,0,,,,,
player,201512200sdg,sdg,GreeLa00,pass_att,0,,,,,
player,201512200sdg,sdg,GreeLa00,pass_yds,0,,,,,
player,201512200sdg,sdg,GreeLa00,pass_td,0,,,,,
player,201512200sdg,sdg,GreeLa00,pass_int,0,,,,,
player,201512200sdg,sdg,GreeLa00,pass_sacked,0,,,,,
player,201512200sdg,sdg,GreeLa00,pass_sacked_yds,0,,,,,
player,201512200sdg,sdg,GreeLa00,pass_long,0,,,,,
player,201512200sdg,sdg,GreeLa00,pass_rating,,,,,,
player,201512200sdg,sdg,GreeLa00,rush_att,0,,,,,
player,201512200sdg,sdg,GreeLa00,rush_yds,0,,,,,
player,201512200sdg,sdg,GreeLa00,rush_td,0,,,,,
player,201512200sdg,sdg,GreeLa00,rush_long,0,,,,,
player,201512200sdg,sdg,GreeLa00,targets,3,,,,,
player,201512200sdg,sdg,GreeLa00,rec,2,,,,,
player,201512200sdg,sdg,GreeLa00,rec_yds,13,,,,,
player,201512200sdg,sdg,GreeLa00,rec_td,0,,,,,
player,201512200sdg,sdg,GreeLa00,rec_long,7,,,,,
player,201512200sdg,sdg,GreeLa00,fumbles,0,,,,,
player,201512200sdg,sdg,GreeLa00,fumbles_lost,0,,,,,
player,201512200sdg,sdg,ClemKe00,pass_cmp,0,,,,,
player,201512200sdg,sdg,ClemKe00,pass_att,0,,,,,
player,201512200sdg,sdg,ClemKe00,pass_yds,0,,,,,
player,201512200sdg,sdg,ClemKe00,pass_td,0,,,,,
player,201512200sdg,sdg,ClemKe00,pass_int,0,,,,,
player,201512200sdg,sdg,ClemKe00,pass_sacked,0,,,,,
player,201512200sdg,sdg,ClemKe00,pass_sacked_yds,0,,,,,
player,201512200sdg,sdg,ClemKe00,pass_long,0,,,,,
player,201512200sdg,sdg,ClemKe00,pass_rating,,,,,,
player,201512200sdg,sdg,ClemKe00,rush_att,1,,,,,
player,201512200sdg,sdg,ClemKe00,rush_yds,-1,,,,,
player,201512200sdg,sdg,ClemKe00,rush_td,0,,,,,
player,201512200sdg,sdg,ClemKe00,rush_long,-1,,,,,
player,201512200sdg,sdg,ClemKe00,targets,0,,,,,
player,201512200sdg,sdg,ClemKe00,rec,0,,,,,
player,201512200sdg,sdg,ClemKe00,rec_yds,0,,,,,
player,201512200sdg,sdg,ClemKe00,rec_td,0,,,,,
player,201512200sdg,sdg,ClemKe00,rec_long,0,,,,,
player,201512200sdg,sdg,ClemKe00,fumbles,0,,,,,
player,201512200sdg,sdg,ClemKe00,fumbles_lost,0,,,,,
player,201512200sdg,mia,JoneRe99,def_int,1,,,,,
player,201512200sdg,mia,JoneRe99,def_int_yds,42,,,,,
player,201512200sdg,mia,JoneRe99,def_int_td,0,,,,,
player,201512200sdg,mia,JoneRe99,def_int_long,42,,,,,
player,201512200sdg,mia,JoneRe99,pass_defended,1,,,,,
player,201512200sdg,mia,JoneRe99,sacks,0.0,,,,,
player,201512200sdg,mia,JoneRe99,tackles_combined,8,,,,,
player,201512200sdg,mia,JoneRe99,tackles_solo,8,,,,,
player,201512200sdg,mia,JoneRe99,tackles_assists,0,,,,,
player,201512200sdg,mia,JoneRe99,tackles_loss,0,,,,,
player,201512200sdg,mia,JoneRe99,qb_hits,0,,,,,
player,201512200sdg,mia,JoneRe99,fumbles_rec,0,,,,,
player,201512200sdg,mia,JoneRe99,fumbles_rec_yds,0,,,,,
player,201512200sdg,mia,JoneRe99,fumbles_rec_td,0,,,,,
player,201512200sdg,mia,JoneRe99,fumbles_forced,0,,,,,
player,201512200sdg,mia,GrimBr20,def_int,1,,,,,
player,201512200sdg,mia,GrimBr20,def_int_yds,1,,,,,
player,201512200sdg,mia,GrimBr20,def_int_td,0,,,,,
player,201512200sdg,mia,GrimBr20,def_int_long,1,,,,,
player,201512200sdg,mia,GrimBr20,pass_defended,2,,,,,
player,201512200sdg,mia,GrimBr20,sacks,0.0,,,,,
player,201512200sdg,mia,GrimBr20,tackles_combined,3,,,,,
player,201512200sdg,mia,GrimBr20,tackles_solo,2,,,,,
player,201512200sdg,mia,GrimBr20,tackles_assists,1,,,,,
player,201512200sdg,mia,GrimBr20,tackles_loss,0,,,,,
player,201512200sdg,mia,GrimBr20,qb_hits,0,,,,,
player,201512200sdg,mia,GrimBr20,fumbles_rec,0,,,,,
player,201512200sdg,mia,GrimBr20,fumbles_rec_yds,0,,,,,
player,201512200sdg,mia,GrimBr20,fumbles_rec_td,0,,,,,
player,201512200sdg,mia,GrimBr20,fumbles_forced,0,,,,,
player,201512200sdg,mia,VernOl00,def_int,0,,,,,
player,201512200sdg,mia,VernOl00,def_int_yds,0,,,,,
player,201512200sdg,mia,VernOl00,def_int_td,0,,,,,
player,201512200sdg,mia,VernOl00,def_int_long,0,,,,,
