game,2015,8,20151102,201511020car,clt,"Indianapolis Colts",26,car,"Carolina Panthers",29
player,201511020car,clt,JackDQ20,tackles_assists,10,,,,,
player,201511020car,clt,JackDQ20,tackles_loss,1,,,,,
player,201511020car,clt,JackDQ20,qb_hits,0,,,,,
player,201511020car,clt,JackDQ20,fumbles_rec,0,,,,,
player,201511020car,clt,JackDQ20,fumbles_rec_yds,0,,,,,
player,201511020car,clt,JackDQ20,fumbles_rec_td,0,,,,,
player,201511020car,clt,JackDQ20,fumbles_forced,0,,,,,
player,201511020car,clt,FreeJe00,def_int,0,,,,,
player,201511020car,clt,FreeJe00,def_int_yds,0,,,,,
player,201511020car,clt,FreeJe00,def_int_td,0,,,,,
player,201511020car,clt,FreeJe00,def_int_long,0,,,,,
player,201511020car,clt,FreeJe00,pass_defended,0,,,,,
player,201511020car,clt,FreeJe00,sacks,0.0,,,,,
player,201511020car,clt,FreeJe00,tackles_combined,12,,,,,
player,201511020car,clt,FreeJe00,tackles_solo,5,,,,,
player,201511020car,clt,FreeJe00,tackles_assists,7,,,,,
player,201511020car,clt,FreeJe00,tackles_loss,0,,,,,
player,201511020car,clt,FreeJe00,qb_hits,0,,,,,
player,201511020car,clt,FreeJe00,fumbles_rec,0,,,,,
player,201511020car,clt,FreeJe00,fumbles_rec_yds,0,,,,,
player,201511020car,clt,FreeJe00,fumbles_rec_td,0,,,,,
player,201511020car,clt,FreeJe00,fumbles_forced,0,,,,,
player,201511020car,clt,AdamMi21,def_int,0,,,,,
player,201511020car,clt,AdamMi21,def_int_yds,0,,,,,
player,201511020car,clt,AdamMi21,def_int_td,0,,,,,
player,201511020car,clt,AdamMi21,def_int_long,0,,,,,
player,201511020car,clt,AdamMi21,pass_defended,0,,,,,
player,201511020car,clt,AdamMi21,sacks,0.0,,,,,
player,201511020car,clt,AdamMi21,tackles_combined,8,,,,,
player,201511020car,clt,AdamMi21,tackles_solo,5,,,,,
player,201511020car,clt,AdamMi21,tackles_assists,3,,,,,
player,201511020car,clt,AdamMi21,tackles_loss,1,,,,,
player,201511020car,clt,AdamMi21,qb_hits,0,,,,,
player,201511020car,clt,AdamMi21,fumbles_rec,0,,,,,
player,201511020car,clt,AdamMi21,fumbles_rec_yds,0,,,,,
player,201511020car,clt,AdamMi21,fumbles_rec_td,0,,,,,
player,201511020car,clt,AdamMi21,fumbles_forced,0,,,,,
player,201511020car,clt,ToleGr99,def_int,0,,,,,
player,201511020car,clt,ToleGr99,def_int_yds,0,,,,,
player,201511020car,clt,ToleGr99,def_int_td,0,,,,,
player,201511020car,clt,ToleGr99,def_int_long,0,,,,,
player,201511020car,clt,ToleGr99,pass_defended,1,,,,,
player,201511020car,clt,ToleGr99,sacks,0.0,,,,,
player,201511020car,clt,ToleGr99,tackles_combined,7,,,,,
player,201511020car,clt,ToleGr99,tackles_solo,6,,,,,
player,201511020car,clt,ToleGr99,tackles_assists,1,,,,,
player,201511020car,clt,ToleGr99,tackles_loss,0,,,,,
player,201511020car,clt,ToleGr99,qb_hits,0,,,,,
player,201511020car,clt,ToleGr99,fumbles_rec,0,,,,,
player,201511020car,clt,ToleGr99,fumbles_rec_yds,0,,,,,
player,201511020car,clt,ToleGr99,fumbles_rec_td,0,,,,,
player,201511020car,clt,ToleGr99,fumbles_forced,0,,,,,
player,201511020car,clt,ButlDa99,def_int,0,,,,,
player,201511020car,clt,ButlDa99,def_int_yds,0,,,,,
player,201511020car,clt,ButlDa99,def_int_td,0,,,,,
player,201511020car,clt,ButlDa99,def_int_long,0,,,,,
player,201511020car,clt,ButlDa99,pass_defended,0,,,,,
player,201511020car,clt,ButlDa99,sacks,0.0,,,,,
player,201511020car,clt,ButlDa99,tackles_combined,4,,,,,
player,201511020car,clt,ButlDa99,tackles_solo,4,,,,,
player,201511020car,clt,ButlDa99,tackles_assists,0,,,,,
player,201511020car,clt,ButlDa99,tackles_loss,0,,,,,
player,201511020car,clt,ButlDa99,qb_hits,0,,,,,
player,201511020car,clt,ButlDa99,fumbles_rec,0,,,,,
player,201511020car,clt,ButlDa99,fumbles_rec_yds,0,,,,,
player,201511020car,clt,ButlDa99,fumbles_rec_td,0,,,,,
player,201511020car,clt,ButlDa99,fumbles_forced,0,,,,,
player,201511020car,clt,LoweDw99,def_int,0,,,,,
player,201511020car,clt,LoweDw99,def_int_yds,0,,,,,
player,201511020car,clt,LoweDw99,def_int_td,0,,,,,
player,201511020car,clt,LoweDw99,def_int_long,0,,,,,
player,201511020car,clt,LoweDw99,pass_defended,1,,,,,
player,201511020car,clt,LoweDw99,sacks,0.0,,,,,
player,201511020car,clt,LoweDw99,tackles_combined,4,,,,,
player,201511020car,clt,LoweDw99,tackles_solo,3,,,,,
player,201511020car,clt,LoweDw99,tackles_assists,1,,,,,
