game,2015,13,20151206,201512060nwe,phi,"Philadelphia Eagles",35,nwe,"New England Patriots",28
player,201512060nwe,phi,KrauJo00,rec_long,4,,,,,
player,201512060nwe,phi,KrauJo00,fumbles,0,,,,,
player,201512060nwe,phi,KrauJo00,fumbles_lost,0,,,,,
player,201512060nwe,phi,AghoNe00,pass_cmp,0,,,,,
player,201512060nwe,phi,AghoNe00,pass_att,0,,,,,
player,201512060nwe,phi,AghoNe00,pass_yds,0,,,,,
player,201512060nwe,phi,AghoNe00,pass_td,0,,,,,
player,201512060nwe,phi,AghoNe00,pass_int,0,,,,,
player,201512060nwe,phi,AghoNe00,pass_sacked,0,,,,,
player,201512060nwe,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201512060nwe,phi,AghoNe00,pass_long,0,,,,,
player,201512060nwe,phi,AghoNe00,pass_rating,,,,,,
player,201512060nwe,phi,AghoNe00,rush_att,0,,,,,
player,201512060nwe,phi,AghoNe00,rush_yds,0,,,,,
player,201512060nwe,phi,AghoNe00,rush_td,0,,,,,
player,201512060nwe,phi,AghoNe00,rush_long,0,,,,,
player,201512060nwe,phi,AghoNe00,targets,2,,,,,
player,201512060nwe,phi,AghoNe00,rec,0,,,,,
player,201512060nwe,phi,AghoNe00,rec_yds,0,,,,,
player,201512060nwe,phi,AghoNe00,rec_td,0,,,,,
player,201512060nwe,phi,AghoNe00,rec_long,0,,,,,
player,201512060nwe,phi,AghoNe00,fumbles,0,,,,,
player,201512060nwe,phi,AghoNe00,fumbles_lost,0,,,,,
player,201512060nwe,nwe,BradTo00,pass_cmp,29,,,,,
player,201512060nwe,nwe,BradTo00,pass_att,56,,,,,
player,201512060nwe,nwe,BradTo00,pass_yds,312,,,,,
player,201512060nwe,nwe,BradTo00,pass_td,3,,,,,
player,201512060nwe,nwe,BradTo00,pass_int,2,,,,,
player,201512060nwe,nwe,BradTo00,pass_sacked,4,,,,,
player,201512060nwe,nwe,BradTo00,pass_sacked_yds,24,,,,,
player,201512060nwe,nwe,BradTo00,pass_long,30,,,,,
player,201512060nwe,nwe,BradTo00,pass_rating,71.4,,,,,
player,201512060nwe,nwe,BradTo00,rush_att,6,,,,,
player,201512060nwe,nwe,BradTo00,rush_yds,17,,,,,
player,201512060nwe,nwe,BradTo00,rush_td,1,,,,,
player,201512060nwe,nwe,BradTo00,rush_long,12,,,,,
player,201512060nwe,nwe,BradTo00,targets,1,,,,,
player,201512060nwe,nwe,BradTo00,rec,1,,,,,
player,201512060nwe,nwe,BradTo00,rec_yds,36,,,,,
player,201512060nwe,nwe,BradTo00,rec_td,0,,,,,
player,201512060nwe,nwe,BradTo00,rec_long,36,,,,,
player,201512060nwe,nwe,BradTo00,fumbles,0,,,,,
player,201512060nwe,nwe,BradTo00,fumbles_lost,0,,,,,
player,201512060nwe,nwe,AmenDa00,pass_cmp,1,,,,,
player,201512060nwe,nwe,AmenDa00,pass_att,1,,,,,
