game,2015,17,20160103,201601030clt,oti,"Tennessee Titans",24,clt,"Indianapolis Colts",30
player,201601030clt,oti,GreeDo00,pass_td,0,,,,,
player,201601030clt,oti,GreeDo00,pass_int,0,,,,,
player,201601030clt,oti,GreeDo00,pass_sacked,0,,,,,
player,201601030clt,oti,GreeDo00,pass_sacked_yds,0,,,,,
player,201601030clt,oti,GreeDo00,pass_long,0,,,,,
player,201601030clt,oti,GreeDo00,pass_rating,,,,,,
player,201601030clt,oti,GreeDo00,rush_att,0,,,,,
player,201601030clt,oti,GreeDo00,rush_yds,0,,,,,
player,201601030clt,oti,GreeDo00,rush_td,0,,,,,
player,201601030clt,oti,GreeDo00,rush_long,0,,,,,
player,201601030clt,oti,GreeDo00,targets,5,,,,,
player,201601030clt,oti,GreeDo00,rec,2,,,,,
player,201601030clt,oti,GreeDo00,rec_yds,21,,,,,
player,201601030clt,oti,GreeDo00,rec_td,1,,,,,
player,201601030clt,oti,GreeDo00,rec_long,16,,,,,
player,201601030clt,oti,GreeDo00,fumbles,0,,,,,
player,201601030clt,oti,GreeDo00,fumbles_lost,0,,,,,
player,201601030clt,oti,DougHa00,pass_cmp,0,,,,,
player,201601030clt,oti,DougHa00,pass_att,0,,,,,
player,201601030clt,oti,DougHa00,pass_yds,0,,,,,
player,201601030clt,oti,DougHa00,pass_td,0,,,,,
player,201601030clt,oti,DougHa00,pass_int,0,,,,,
player,201601030clt,oti,DougHa00,pass_sacked,0,,,,,
player,201601030clt,oti,DougHa00,pass_sacked_yds,0,,,,,
player,201601030clt,oti,DougHa00,pass_long,0,,,,,
player,201601030clt,oti,DougHa00,pass_rating,,,,,,
player,201601030clt,oti,DougHa00,rush_att,0,,,,,
player,201601030clt,oti,DougHa00,rush_yds,0,,,,,
player,201601030clt,oti,DougHa00,rush_td,0,,,,,
player,201601030clt,oti,DougHa00,rush_long,0,,,,,
player,201601030clt,oti,DougHa00,targets,2,,,,,
