game,2015,11,20151122,201511220atl,clt,"Indianapolis Colts",24,atl,"Atlanta Falcons",21
player,201511220atl,atl,FreeDe00,fumbles_lost,0,,,,,
player,201511220atl,atl,WardTe00,pass_cmp,0,,,,,
player,201511220atl,atl,WardTe00,pass_att,0,,,,,
player,201511220atl,atl,WardTe00,pass_yds,0,,,,,
player,201511220atl,atl,WardTe00,pass_td,0,,,,,
player,201511220atl,atl,WardTe00,pass_int,0,,,,,
player,201511220atl,atl,WardTe00,pass_sacked,0,,,,,
player,201511220atl,atl,WardTe00,pass_sacked_yds,0,,,,,
player,201511220atl,atl,WardTe00,pass_long,0,,,,,
player,201511220atl,atl,WardTe00,pass_rating,,,,,,
player,201511220atl,atl,WardTe00,rush_att,2,,,,,
player,201511220atl,atl,WardTe00,rush_yds,2,,,,,
player,201511220atl,atl,WardTe00,rush_td,0,,,,,
player,201511220atl,atl,WardTe00,rush_long,1,,,,,
player,201511220atl,atl,WardTe00,targets,4,,,,,
player,201511220atl,atl,WardTe00,rec,3,,,,,
player,201511220atl,atl,WardTe00,rec_yds,16,,,,,
player,201511220atl,atl,WardTe00,rec_td,0,,,,,
player,201511220atl,atl,WardTe00,rec_long,11,,,,,
player,201511220atl,atl,WardTe00,fumbles,0,,,,,
player,201511220atl,atl,WardTe00,fumbles_lost,0,,,,,
player,201511220atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201511220atl,atl,JoneJu02,pass_att,0,,,,,
player,201511220atl,atl,JoneJu02,pass_yds,0,,,,,
player,201511220atl,atl,JoneJu02,pass_td,0,,,,,
player,201511220atl,atl,JoneJu02,pass_int,0,,,,,
player,201511220atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201511220atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201511220atl,atl,JoneJu02,pass_long,0,,,,,
player,201511220atl,atl,JoneJu02,pass_rating,,,,,,
player,201511220atl,atl,JoneJu02,rush_att,0,,,,,
player,201511220atl,atl,JoneJu02,rush_yds,0,,,,,
player,201511220atl,atl,JoneJu02,rush_td,0,,,,,
player,201511220atl,atl,JoneJu02,rush_long,0,,,,,
player,201511220atl,atl,JoneJu02,targets,15,,,,,
player,201511220atl,atl,JoneJu02,rec,9,,,,,
player,201511220atl,atl,JoneJu02,rec_yds,160,,,,,
player,201511220atl,atl,JoneJu02,rec_td,0,,,,,
player,201511220atl,atl,JoneJu02,rec_long,36,,,,,
player,201511220atl,atl,JoneJu02,fumbles,0,,,,,
player,201511220atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201511220atl,atl,HankLe00,pass_cmp,0,,,,,
player,201511220atl,atl,HankLe00,pass_att,0,,,,,
player,201511220atl,atl,HankLe00,pass_yds,0,,,,,
player,201511220atl,atl,HankLe00,pass_td,0,,,,,
player,201511220atl,atl,HankLe00,pass_int,0,,,,,
player,201511220atl,atl,HankLe00,pass_sacked,0,,,,,
player,201511220atl,atl,HankLe00,pass_sacked_yds,0,,,,,
player,201511220atl,atl,HankLe00,pass_long,0,,,,,
player,201511220atl,atl,HankLe00,pass_rating,,,,,,
player,201511220atl,atl,HankLe00,rush_att,0,,,,,
player,201511220atl,atl,HankLe00,rush_yds,0,,,,,
player,201511220atl,atl,HankLe00,rush_td,0,,,,,
player,201511220atl,atl,HankLe00,rush_long,0,,,,,
player,201511220atl,atl,HankLe00,targets,7,,,,,
player,201511220atl,atl,HankLe00,rec,4,,,,,
player,201511220atl,atl,HankLe00,rec_yds,36,,,,,
player,201511220atl,atl,HankLe00,rec_td,1,,,,,
player,201511220atl,atl,HankLe00,rec_long,18,,,,,
player,201511220atl,atl,HankLe00,fumbles,0,,,,,
player,201511220atl,atl,HankLe00,fumbles_lost,0,,,,,
player,201511220atl,atl,WhitRo00,pass_cmp,0,,,,,
player,201511220atl,atl,WhitRo00,pass_att,0,,,,,
player,201511220atl,atl,WhitRo00,pass_yds,0,,,,,
player,201511220atl,atl,WhitRo00,pass_td,0,,,,,
player,201511220atl,atl,WhitRo00,pass_int,0,,,,,
player,201511220atl,atl,WhitRo00,pass_sacked,0,,,,,
player,201511220atl,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201511220atl,atl,WhitRo00,pass_long,0,,,,,
player,201511220atl,atl,WhitRo00,pass_rating,,,,,,
player,201511220atl,atl,WhitRo00,rush_att,0,,,,,
player,201511220atl,atl,WhitRo00,rush_yds,0,,,,,
player,201511220atl,atl,WhitRo00,rush_td,0,,,,,
player,201511220atl,atl,WhitRo00,rush_long,0,,,,,
player,201511220atl,atl,WhitRo00,targets,9,,,,,
player,201511220atl,atl,WhitRo00,rec,4,,,,,
player,201511220atl,atl,WhitRo00,rec_yds,24,,,,,
player,201511220atl,atl,WhitRo00,rec_td,0,,,,,
player,201511220atl,atl,WhitRo00,rec_long,12,,,,,
player,201511220atl,atl,WhitRo00,fumbles,0,,,,,
player,201511220atl,atl,WhitRo00,fumbles_lost,0,,,,,
player,201511220atl,atl,DiMaPa00,pass_cmp,0,,,,,
player,201511220atl,atl,DiMaPa00,pass_att,0,,,,,
player,201511220atl,atl,DiMaPa00,pass_yds,0,,,,,
player,201511220atl,atl,DiMaPa00,pass_td,0,,,,,
player,201511220atl,atl,DiMaPa00,pass_int,0,,,,,
player,201511220atl,atl,DiMaPa00,pass_sacked,0,,,,,
player,201511220atl,atl,DiMaPa00,pass_sacked_yds,0,,,,,
player,201511220atl,atl,DiMaPa00,pass_long,0,,,,,
player,201511220atl,atl,DiMaPa00,pass_rating,,,,,,
player,201511220atl,atl,DiMaPa00,rush_att,0,,,,,
player,201511220atl,atl,DiMaPa00,rush_yds,0,,,,,
player,201511220atl,atl,DiMaPa00,rush_td,0,,,,,
player,201511220atl,atl,DiMaPa00,rush_long,0,,,,,
player,201511220atl,atl,DiMaPa00,targets,4,,,,,
player,201511220atl,atl,DiMaPa00,rec,3,,,,,
player,201511220atl,atl,DiMaPa00,rec_yds,21,,,,,
player,201511220atl,atl,DiMaPa00,rec_td,2,,,,,
player,201511220atl,atl,DiMaPa00,rec_long,15,,,,,
player,201511220atl,atl,DiMaPa00,fumbles,0,,,,,
player,201511220atl,atl,DiMaPa00,fumbles_lost,0,,,,,
player,201511220atl,atl,TammJa00,pass_cmp,0,,,,,
player,201511220atl,atl,TammJa00,pass_att,0,,,,,
player,201511220atl,atl,TammJa00,pass_yds,0,,,,,
player,201511220atl,atl,TammJa00,pass_td,0,,,,,
player,201511220atl,atl,TammJa00,pass_int,0,,,,,
player,201511220atl,atl,TammJa00,pass_sacked,0,,,,,
player,201511220atl,atl,TammJa00,pass_sacked_yds,0,,,,,
player,201511220atl,atl,TammJa00,pass_long,0,,,,,
player,201511220atl,atl,TammJa00,pass_rating,,,,,,
player,201511220atl,atl,TammJa00,rush_att,0,,,,,
player,201511220atl,atl,TammJa00,rush_yds,0,,,,,
player,201511220atl,atl,TammJa00,rush_td,0,,,,,
player,201511220atl,atl,TammJa00,rush_long,0,,,,,
player,201511220atl,atl,TammJa00,targets,3,,,,,
player,201511220atl,atl,TammJa00,rec,1,,,,,
player,201511220atl,atl,TammJa00,rec_yds,16,,,,,
player,201511220atl,atl,TammJa00,rec_td,0,,,,,
player,201511220atl,atl,TammJa00,rec_long,16,,,,,
player,201511220atl,atl,TammJa00,fumbles,0,,,,,
player,201511220atl,atl,TammJa00,fumbles_lost,0,,,,,
player,201511220atl,atl,HardJu00,pass_cmp,0,,,,,
player,201511220atl,atl,HardJu00,pass_att,0,,,,,
player,201511220atl,atl,HardJu00,pass_yds,0,,,,,
player,201511220atl,atl,HardJu00,pass_td,0,,,,,
player,201511220atl,atl,HardJu00,pass_int,0,,,,,
player,201511220atl,atl,HardJu00,pass_sacked,0,,,,,
player,201511220atl,atl,HardJu00,pass_sacked_yds,0,,,,,
player,201511220atl,atl,HardJu00,pass_long,0,,,,,
player,201511220atl,atl,HardJu00,pass_rating,,,,,,
player,201511220atl,atl,HardJu00,rush_att,0,,,,,
player,201511220atl,atl,HardJu00,rush_yds,0,,,,,
player,201511220atl,atl,HardJu00,rush_td,0,,,,,
player,201511220atl,atl,HardJu00,rush_long,0,,,,,
player,201511220atl,atl,HardJu00,targets,2,,,,,
player,201511220atl,atl,HardJu00,rec,1,,,,,
player,201511220atl,atl,HardJu00,rec_yds,7,,,,,
player,201511220atl,atl,HardJu00,rec_td,0,,,,,
player,201511220atl,atl,HardJu00,rec_long,7,,,,,
player,201511220atl,atl,HardJu00,fumbles,0,,,,,
player,201511220atl,atl,HardJu00,fumbles_lost,0,,,,,
player,201511220atl,clt,JackDQ20,def_int,1,,,,,
player,201511220atl,clt,JackDQ20,def_int_yds,6,,,,,
player,201511220atl,clt,JackDQ20,def_int_td,1,,,,,
player,201511220atl,clt,JackDQ20,def_int_long,6,,,,,
player,201511220atl,clt,JackDQ20,pass_defended,1,,,,,
player,201511220atl,clt,JackDQ20,sacks,1.0,,,,,
player,201511220atl,clt,JackDQ20,tackles_combined,7,,,,,
player,201511220atl,clt,JackDQ20,tackles_solo,6,,,,,
player,201511220atl,clt,JackDQ20,tackles_assists,1,,,,,
player,201511220atl,clt,JackDQ20,tackles_loss,2,,,,,
player,201511220atl,clt,JackDQ20,qb_hits,1,,,,,
player,201511220atl,clt,JackDQ20,fumbles_rec,0,,,,,
player,201511220atl,clt,JackDQ20,fumbles_rec_yds,0,,,,,
player,201511220atl,clt,JackDQ20,fumbles_rec_td,0,,,,,
player,201511220atl,clt,JackDQ20,fumbles_forced,0,,,,,
player,201511220atl,clt,LoweDw99,def_int,1,,,,,
player,201511220atl,clt,LoweDw99,def_int_yds,0,,,,,
player,201511220atl,clt,LoweDw99,def_int_td,0,,,,,
player,201511220atl,clt,LoweDw99,def_int_long,0,,,,,
player,201511220atl,clt,LoweDw99,pass_defended,1,,,,,
player,201511220atl,clt,LoweDw99,sacks,0.0,,,,,
player,201511220atl,clt,LoweDw99,tackles_combined,1,,,,,
player,201511220atl,clt,LoweDw99,tackles_solo,1,,,,,
player,201511220atl,clt,LoweDw99,tackles_assists,0,,,,,
player,201511220atl,clt,LoweDw99,tackles_loss,0,,,,,
player,201511220atl,clt,LoweDw99,qb_hits,0,,,,,
player,201511220atl,clt,LoweDw99,fumbles_rec,0,,,,,
player,201511220atl,clt,LoweDw99,fumbles_rec_yds,0,,,,,
player,201511220atl,clt,LoweDw99,fumbles_rec_td,0,,,,,
player,201511220atl,clt,LoweDw99,fumbles_forced,0,,,,,
player,201511220atl,clt,FleeCo00,def_int,1,,,,,
