game,2015,12,20151129,201511290clt,tam,"Tampa Bay Buccaneers",12,clt,"Indianapolis Colts",25
player,201511290clt,clt,HassMa00,pass_sacked_yds,6,,,,,
player,201511290clt,clt,HassMa00,pass_long,31,,,,,
player,201511290clt,clt,HassMa00,pass_rating,100.8,,,,,
player,201511290clt,clt,HassMa00,rush_att,3,,,,,
player,201511290clt,clt,HassMa00,rush_yds,-3,,,,,
player,201511290clt,clt,HassMa00,rush_td,0,,,,,
player,201511290clt,clt,HassMa00,rush_long,-1,,,,,
player,201511290clt,clt,HassMa00,targets,0,,,,,
player,201511290clt,clt,HassMa00,rec,0,,,,,
player,201511290clt,clt,HassMa00,rec_yds,0,,,,,
player,201511290clt,clt,HassMa00,rec_td,0,,,,,
player,201511290clt,clt,HassMa00,rec_long,0,,,,,
player,201511290clt,clt,HassMa00,fumbles,0,,,,,
player,201511290clt,clt,HassMa00,fumbles_lost,0,,,,,
player,201511290clt,clt,GoreFr00,pass_cmp,0,,,,,
player,201511290clt,clt,GoreFr00,pass_att,0,,,,,
player,201511290clt,clt,GoreFr00,pass_yds,0,,,,,
player,201511290clt,clt,GoreFr00,pass_td,0,,,,,
player,201511290clt,clt,GoreFr00,pass_int,0,,,,,
player,201511290clt,clt,GoreFr00,pass_sacked,0,,,,,
player,201511290clt,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201511290clt,clt,GoreFr00,pass_long,0,,,,,
player,201511290clt,clt,GoreFr00,pass_rating,,,,,,
player,201511290clt,clt,GoreFr00,rush_att,19,,,,,
player,201511290clt,clt,GoreFr00,rush_yds,24,,,,,
player,201511290clt,clt,GoreFr00,rush_td,0,,,,,
player,201511290clt,clt,GoreFr00,rush_long,5,,,,,
player,201511290clt,clt,GoreFr00,targets,3,,,,,
player,201511290clt,clt,GoreFr00,rec,2,,,,,
player,201511290clt,clt,GoreFr00,rec_yds,13,,,,,
player,201511290clt,clt,GoreFr00,rec_td,0,,,,,
player,201511290clt,clt,GoreFr00,rec_long,9,,,,,
player,201511290clt,clt,GoreFr00,fumbles,0,,,,,
player,201511290clt,clt,GoreFr00,fumbles_lost,0,,,,,
player,201511290clt,clt,BradAh00,pass_cmp,0,,,,,
player,201511290clt,clt,BradAh00,pass_att,0,,,,,
player,201511290clt,clt,BradAh00,pass_yds,0,,,,,
player,201511290clt,clt,BradAh00,pass_td,0,,,,,
player,201511290clt,clt,BradAh00,pass_int,0,,,,,
player,201511290clt,clt,BradAh00,pass_sacked,0,,,,,
