game,2015,11,20151122,201511220phi,tam,"Tampa Bay Buccaneers",45,phi,"Philadelphia Eagles",17
player,201511220phi,tam,WinsJa00,rec,0,,,,,
player,201511220phi,tam,WinsJa00,rec_yds,0,,,,,
player,201511220phi,tam,WinsJa00,rec_td,0,,,,,
player,201511220phi,tam,WinsJa00,rec_long,0,,,,,
player,201511220phi,tam,WinsJa00,fumbles,1,,,,,
player,201511220phi,tam,WinsJa00,fumbles_lost,0,,,,,
player,201511220phi,tam,MartDo00,pass_cmp,0,,,,,
player,201511220phi,tam,MartDo00,pass_att,0,,,,,
player,201511220phi,tam,MartDo00,pass_yds,0,,,,,
player,201511220phi,tam,MartDo00,pass_td,0,,,,,
player,201511220phi,tam,MartDo00,pass_int,0,,,,,
player,201511220phi,tam,MartDo00,pass_sacked,0,,,,,
player,201511220phi,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201511220phi,tam,MartDo00,pass_long,0,,,,,
player,201511220phi,tam,MartDo00,pass_rating,,,,,,
player,201511220phi,tam,MartDo00,rush_att,27,,,,,
player,201511220phi,tam,MartDo00,rush_yds,235,,,,,
player,201511220phi,tam,MartDo00,rush_td,0,,,,,
player,201511220phi,tam,MartDo00,rush_long,84,,,,,
player,201511220phi,tam,MartDo00,targets,1,,,,,
player,201511220phi,tam,MartDo00,rec,0,,,,,
player,201511220phi,tam,MartDo00,rec_yds,0,,,,,
player,201511220phi,tam,MartDo00,rec_td,0,,,,,
player,201511220phi,tam,MartDo00,rec_long,0,,,,,
player,201511220phi,tam,MartDo00,fumbles,0,,,,,
player,201511220phi,tam,MartDo00,fumbles_lost,0,,,,,
player,201511220phi,tam,SimsCh00,pass_cmp,0,,,,,
player,201511220phi,tam,SimsCh00,pass_att,0,,,,,
player,201511220phi,tam,SimsCh00,pass_yds,0,,,,,
player,201511220phi,tam,SimsCh00,pass_td,0,,,,,
player,201511220phi,tam,SimsCh00,pass_int,0,,,,,
player,201511220phi,tam,SimsCh00,pass_sacked,0,,,,,
player,201511220phi,tam,SimsCh00,pass_sacked_yds,0,,,,,
player,201511220phi,tam,SimsCh00,pass_long,0,,,,,
player,201511220phi,tam,SimsCh00,pass_rating,,,,,,
player,201511220phi,tam,SimsCh00,rush_att,10,,,,,
player,201511220phi,tam,SimsCh00,rush_yds,43,,,,,
player,201511220phi,tam,SimsCh00,rush_td,0,,,,,
player,201511220phi,tam,SimsCh00,rush_long,17,,,,,
player,201511220phi,tam,SimsCh00,targets,4,,,,,
player,201511220phi,tam,SimsCh00,rec,3,,,,,
player,201511220phi,tam,SimsCh00,rec_yds,26,,,,,
player,201511220phi,tam,SimsCh00,rec_td,1,,,,,
player,201511220phi,tam,SimsCh00,rec_long,14,,,,,
player,201511220phi,tam,SimsCh00,fumbles,0,,,,,
player,201511220phi,tam,SimsCh00,fumbles_lost,0,,,,,
player,201511220phi,tam,RainBo00,pass_cmp,0,,,,,
player,201511220phi,tam,RainBo00,pass_att,0,,,,,
player,201511220phi,tam,RainBo00,pass_yds,0,,,,,
player,201511220phi,tam,RainBo00,pass_td,0,,,,,
player,201511220phi,tam,RainBo00,pass_int,0,,,,,
player,201511220phi,tam,RainBo00,pass_sacked,0,,,,,
player,201511220phi,tam,RainBo00,pass_sacked_yds,0,,,,,
player,201511220phi,tam,RainBo00,pass_long,0,,,,,
player,201511220phi,tam,RainBo00,pass_rating,,,,,,
player,201511220phi,tam,RainBo00,rush_att,1,,,,,
player,201511220phi,tam,RainBo00,rush_yds,5,,,,,
player,201511220phi,tam,RainBo00,rush_td,0,,,,,
player,201511220phi,tam,RainBo00,rush_long,5,,,,,
player,201511220phi,tam,RainBo00,targets,0,,,,,
player,201511220phi,tam,RainBo00,rec,0,,,,,
player,201511220phi,tam,RainBo00,rec_yds,0,,,,,
player,201511220phi,tam,RainBo00,rec_td,0,,,,,
player,201511220phi,tam,RainBo00,rec_long,0,,,,,
player,201511220phi,tam,RainBo00,fumbles,1,,,,,
player,201511220phi,tam,RainBo00,fumbles_lost,0,,,,,
player,201511220phi,tam,EvanMi00,pass_cmp,0,,,,,
player,201511220phi,tam,EvanMi00,pass_att,0,,,,,
player,201511220phi,tam,EvanMi00,pass_yds,0,,,,,
player,201511220phi,tam,EvanMi00,pass_td,0,,,,,
player,201511220phi,tam,EvanMi00,pass_int,0,,,,,
player,201511220phi,tam,EvanMi00,pass_sacked,0,,,,,
player,201511220phi,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201511220phi,tam,EvanMi00,pass_long,0,,,,,
player,201511220phi,tam,EvanMi00,pass_rating,,,,,,
player,201511220phi,tam,EvanMi00,rush_att,0,,,,,
player,201511220phi,tam,EvanMi00,rush_yds,0,,,,,
player,201511220phi,tam,EvanMi00,rush_td,0,,,,,
player,201511220phi,tam,EvanMi00,rush_long,0,,,,,
player,201511220phi,tam,EvanMi00,targets,7,,,,,
player,201511220phi,tam,EvanMi00,rec,4,,,,,
player,201511220phi,tam,EvanMi00,rec_yds,63,,,,,
player,201511220phi,tam,EvanMi00,rec_td,1,,,,,
player,201511220phi,tam,EvanMi00,rec_long,25,,,,,
player,201511220phi,tam,EvanMi00,fumbles,0,,,,,
player,201511220phi,tam,EvanMi00,fumbles_lost,0,,,,,
player,201511220phi,tam,JackVi00,pass_cmp,0,,,,,
player,201511220phi,tam,JackVi00,pass_att,0,,,,,
player,201511220phi,tam,JackVi00,pass_yds,0,,,,,
player,201511220phi,tam,JackVi00,pass_td,0,,,,,
player,201511220phi,tam,JackVi00,pass_int,0,,,,,
player,201511220phi,tam,JackVi00,pass_sacked,0,,,,,
player,201511220phi,tam,JackVi00,pass_sacked_yds,0,,,,,
player,201511220phi,tam,JackVi00,pass_long,0,,,,,
player,201511220phi,tam,JackVi00,pass_rating,,,,,,
player,201511220phi,tam,JackVi00,rush_att,0,,,,,
player,201511220phi,tam,JackVi00,rush_yds,0,,,,,
player,201511220phi,tam,JackVi00,rush_td,0,,,,,
player,201511220phi,tam,JackVi00,rush_long,0,,,,,
player,201511220phi,tam,JackVi00,targets,6,,,,,
player,201511220phi,tam,JackVi00,rec,4,,,,,
player,201511220phi,tam,JackVi00,rec_yds,56,,,,,
player,201511220phi,tam,JackVi00,rec_td,1,,,,,
player,201511220phi,tam,JackVi00,rec_long,24,,,,,
player,201511220phi,tam,JackVi00,fumbles,0,,,,,
player,201511220phi,tam,JackVi00,fumbles_lost,0,,,,,
player,201511220phi,tam,HumpAd00,pass_cmp,0,,,,,
player,201511220phi,tam,HumpAd00,pass_att,0,,,,,
player,201511220phi,tam,HumpAd00,pass_yds,0,,,,,
player,201511220phi,tam,HumpAd00,pass_td,0,,,,,
player,201511220phi,tam,HumpAd00,pass_int,0,,,,,
player,201511220phi,tam,HumpAd00,pass_sacked,0,,,,,
player,201511220phi,tam,HumpAd00,pass_sacked_yds,0,,,,,
player,201511220phi,tam,HumpAd00,pass_long,0,,,,,
player,201511220phi,tam,HumpAd00,pass_rating,,,,,,
player,201511220phi,tam,HumpAd00,rush_att,0,,,,,
player,201511220phi,tam,HumpAd00,rush_yds,0,,,,,
player,201511220phi,tam,HumpAd00,rush_td,0,,,,,
player,201511220phi,tam,HumpAd00,rush_long,0,,,,,
player,201511220phi,tam,HumpAd00,targets,5,,,,,
player,201511220phi,tam,HumpAd00,rec,4,,,,,
player,201511220phi,tam,HumpAd00,rec_yds,50,,,,,
player,201511220phi,tam,HumpAd00,rec_td,0,,,,,
player,201511220phi,tam,HumpAd00,rec_long,27,,,,,
player,201511220phi,tam,HumpAd00,fumbles,0,,,,,
player,201511220phi,tam,HumpAd00,fumbles_lost,0,,,,,
player,201511220phi,tam,BratCa00,pass_cmp,0,,,,,
player,201511220phi,tam,BratCa00,pass_att,0,,,,,
player,201511220phi,tam,BratCa00,pass_yds,0,,,,,
player,201511220phi,tam,BratCa00,pass_td,0,,,,,
player,201511220phi,tam,BratCa00,pass_int,0,,,,,
player,201511220phi,tam,BratCa00,pass_sacked,0,,,,,
player,201511220phi,tam,BratCa00,pass_sacked_yds,0,,,,,
player,201511220phi,tam,BratCa00,pass_long,0,,,,,
player,201511220phi,tam,BratCa00,pass_rating,,,,,,
player,201511220phi,tam,BratCa00,rush_att,0,,,,,
player,201511220phi,tam,BratCa00,rush_yds,0,,,,,
player,201511220phi,tam,BratCa00,rush_td,0,,,,,
player,201511220phi,tam,BratCa00,rush_long,0,,,,,
player,201511220phi,tam,BratCa00,targets,4,,,,,
player,201511220phi,tam,BratCa00,rec,3,,,,,
player,201511220phi,tam,BratCa00,rec_yds,47,,,,,
player,201511220phi,tam,BratCa00,rec_td,1,,,,,
player,201511220phi,tam,BratCa00,rec_long,23,,,,,
player,201511220phi,tam,BratCa00,fumbles,0,,,,,
player,201511220phi,tam,BratCa00,fumbles_lost,0,,,,,
player,201511220phi,tam,ShepRu00,pass_cmp,0,,,,,
player,201511220phi,tam,ShepRu00,pass_att,0,,,,,
player,201511220phi,tam,ShepRu00,pass_yds,0,,,,,
player,201511220phi,tam,ShepRu00,pass_td,0,,,,,
player,201511220phi,tam,ShepRu00,pass_int,0,,,,,
player,201511220phi,tam,ShepRu00,pass_sacked,0,,,,,
player,201511220phi,tam,ShepRu00,pass_sacked_yds,0,,,,,
player,201511220phi,tam,ShepRu00,pass_long,0,,,,,
player,201511220phi,tam,ShepRu00,pass_rating,,,,,,
player,201511220phi,tam,ShepRu00,rush_att,0,,,,,
player,201511220phi,tam,ShepRu00,rush_yds,0,,,,,
player,201511220phi,tam,ShepRu00,rush_td,0,,,,,
player,201511220phi,tam,ShepRu00,rush_long,0,,,,,
player,201511220phi,tam,ShepRu00,targets,1,,,,,
player,201511220phi,tam,ShepRu00,rec,1,,,,,
player,201511220phi,tam,ShepRu00,rec_yds,4,,,,,
player,201511220phi,tam,ShepRu00,rec_td,1,,,,,
player,201511220phi,tam,ShepRu00,rec_long,4,,,,,
player,201511220phi,tam,ShepRu00,fumbles,0,,,,,
player,201511220phi,tam,ShepRu00,fumbles_lost,0,,,,,
player,201511220phi,phi,SancMa00,pass_cmp,26,,,,,
player,201511220phi,phi,SancMa00,pass_att,41,,,,,
player,201511220phi,phi,SancMa00,pass_yds,261,,,,,
player,201511220phi,phi,SancMa00,pass_td,2,,,,,
player,201511220phi,phi,SancMa00,pass_int,3,,,,,
player,201511220phi,phi,SancMa00,pass_sacked,3,,,,,
player,201511220phi,phi,SancMa00,pass_sacked_yds,14,,,,,
player,201511220phi,phi,SancMa00,pass_long,39,,,,,
player,201511220phi,phi,SancMa00,pass_rating,67.2,,,,,
player,201511220phi,phi,SancMa00,rush_att,2,,,,,
player,201511220phi,phi,SancMa00,rush_yds,14,,,,,
player,201511220phi,phi,SancMa00,rush_td,0,,,,,
player,201511220phi,phi,SancMa00,rush_long,11,,,,,
player,201511220phi,phi,SancMa00,targets,0,,,,,
player,201511220phi,phi,SancMa00,rec,0,,,,,
player,201511220phi,phi,SancMa00,rec_yds,0,,,,,
player,201511220phi,phi,SancMa00,rec_td,0,,,,,
player,201511220phi,phi,SancMa00,rec_long,0,,,,,
player,201511220phi,phi,SancMa00,fumbles,0,,,,,
player,201511220phi,phi,SancMa00,fumbles_lost,0,,,,,
player,201511220phi,phi,MurrDe00,pass_cmp,0,,,,,
player,201511220phi,phi,MurrDe00,pass_att,0,,,,,
player,201511220phi,phi,MurrDe00,pass_yds,0,,,,,
player,201511220phi,phi,MurrDe00,pass_td,0,,,,,
player,201511220phi,phi,MurrDe00,pass_int,0,,,,,
player,201511220phi,phi,MurrDe00,pass_sacked,0,,,,,
player,201511220phi,phi,MurrDe00,pass_sacked_yds,0,,,,,
player,201511220phi,phi,MurrDe00,pass_long,0,,,,,
player,201511220phi,phi,MurrDe00,pass_rating,,,,,,
player,201511220phi,phi,MurrDe00,rush_att,13,,,,,
player,201511220phi,phi,MurrDe00,rush_yds,64,,,,,
player,201511220phi,phi,MurrDe00,rush_td,0,,,,,
player,201511220phi,phi,MurrDe00,rush_long,16,,,,,
player,201511220phi,phi,MurrDe00,targets,5,,,,,
player,201511220phi,phi,MurrDe00,rec,4,,,,,
player,201511220phi,phi,MurrDe00,rec_yds,27,,,,,
player,201511220phi,phi,MurrDe00,rec_td,0,,,,,
player,201511220phi,phi,MurrDe00,rec_long,11,,,,,
player,201511220phi,phi,MurrDe00,fumbles,1,,,,,
player,201511220phi,phi,MurrDe00,fumbles_lost,1,,,,,
player,201511220phi,phi,BarnKe00,pass_cmp,0,,,,,
player,201511220phi,phi,BarnKe00,pass_att,0,,,,,
player,201511220phi,phi,BarnKe00,pass_yds,0,,,,,
player,201511220phi,phi,BarnKe00,pass_td,0,,,,,
player,201511220phi,phi,BarnKe00,pass_int,0,,,,,
player,201511220phi,phi,BarnKe00,pass_sacked,0,,,,,
player,201511220phi,phi,BarnKe00,pass_sacked_yds,0,,,,,
player,201511220phi,phi,BarnKe00,pass_long,0,,,,,
player,201511220phi,phi,BarnKe00,pass_rating,,,,,,
player,201511220phi,phi,BarnKe00,rush_att,7,,,,,
player,201511220phi,phi,BarnKe00,rush_yds,37,,,,,
player,201511220phi,phi,BarnKe00,rush_td,0,,,,,
player,201511220phi,phi,BarnKe00,rush_long,8,,,,,
player,201511220phi,phi,BarnKe00,targets,1,,,,,
player,201511220phi,phi,BarnKe00,rec,0,,,,,
player,201511220phi,phi,BarnKe00,rec_yds,0,,,,,
player,201511220phi,phi,BarnKe00,rec_td,0,,,,,
player,201511220phi,phi,BarnKe00,rec_long,0,,,,,
player,201511220phi,phi,BarnKe00,fumbles,0,,,,,
player,201511220phi,phi,BarnKe00,fumbles_lost,0,,,,,
player,201511220phi,phi,SproDa00,pass_cmp,0,,,,,
player,201511220phi,phi,SproDa00,pass_att,0,,,,,
player,201511220phi,phi,SproDa00,pass_yds,0,,,,,
player,201511220phi,phi,SproDa00,pass_td,0,,,,,
player,201511220phi,phi,SproDa00,pass_int,0,,,,,
player,201511220phi,phi,SproDa00,pass_sacked,0,,,,,
player,201511220phi,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201511220phi,phi,SproDa00,pass_long,0,,,,,
player,201511220phi,phi,SproDa00,pass_rating,,,,,,
player,201511220phi,phi,SproDa00,rush_att,6,,,,,
player,201511220phi,phi,SproDa00,rush_yds,21,,,,,
player,201511220phi,phi,SproDa00,rush_td,0,,,,,
player,201511220phi,phi,SproDa00,rush_long,7,,,,,
player,201511220phi,phi,SproDa00,targets,7,,,,,
player,201511220phi,phi,SproDa00,rec,3,,,,,
player,201511220phi,phi,SproDa00,rec_yds,38,,,,,
player,201511220phi,phi,SproDa00,rec_td,1,,,,,
player,201511220phi,phi,SproDa00,rec_long,35,,,,,
player,201511220phi,phi,SproDa00,fumbles,0,,,,,
player,201511220phi,phi,SproDa00,fumbles_lost,0,,,,,
player,201511220phi,phi,CeleBr00,pass_cmp,0,,,,,
player,201511220phi,phi,CeleBr00,pass_att,0,,,,,
player,201511220phi,phi,CeleBr00,pass_yds,0,,,,,
player,201511220phi,phi,CeleBr00,pass_td,0,,,,,
player,201511220phi,phi,CeleBr00,pass_int,0,,,,,
player,201511220phi,phi,CeleBr00,pass_sacked,0,,,,,
player,201511220phi,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201511220phi,phi,CeleBr00,pass_long,0,,,,,
player,201511220phi,phi,CeleBr00,pass_rating,,,,,,
player,201511220phi,phi,CeleBr00,rush_att,0,,,,,
player,201511220phi,phi,CeleBr00,rush_yds,0,,,,,
player,201511220phi,phi,CeleBr00,rush_td,0,,,,,
player,201511220phi,phi,CeleBr00,rush_long,0,,,,,
player,201511220phi,phi,CeleBr00,targets,10,,,,,
player,201511220phi,phi,CeleBr00,rec,7,,,,,
player,201511220phi,phi,CeleBr00,rec_yds,79,,,,,
player,201511220phi,phi,CeleBr00,rec_td,0,,,,,
player,201511220phi,phi,CeleBr00,rec_long,18,,,,,
player,201511220phi,phi,CeleBr00,fumbles,0,,,,,
player,201511220phi,phi,CeleBr00,fumbles_lost,0,,,,,
player,201511220phi,phi,CoopRi00,pass_cmp,0,,,,,
player,201511220phi,phi,CoopRi00,pass_att,0,,,,,
player,201511220phi,phi,CoopRi00,pass_yds,0,,,,,
player,201511220phi,phi,CoopRi00,pass_td,0,,,,,
player,201511220phi,phi,CoopRi00,pass_int,0,,,,,
player,201511220phi,phi,CoopRi00,pass_sacked,0,,,,,
player,201511220phi,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201511220phi,phi,CoopRi00,pass_long,0,,,,,
player,201511220phi,phi,CoopRi00,pass_rating,,,,,,
player,201511220phi,phi,CoopRi00,rush_att,0,,,,,
player,201511220phi,phi,CoopRi00,rush_yds,0,,,,,
player,201511220phi,phi,CoopRi00,rush_td,0,,,,,
player,201511220phi,phi,CoopRi00,rush_long,0,,,,,
player,201511220phi,phi,CoopRi00,targets,3,,,,,
player,201511220phi,phi,CoopRi00,rec,2,,,,,
player,201511220phi,phi,CoopRi00,rec_yds,42,,,,,
player,201511220phi,phi,CoopRi00,rec_td,0,,,,,
player,201511220phi,phi,CoopRi00,rec_long,24,,,,,
player,201511220phi,phi,CoopRi00,fumbles,0,,,,,
player,201511220phi,phi,CoopRi00,fumbles_lost,0,,,,,
player,201511220phi,phi,HuffJo00,pass_cmp,0,,,,,
player,201511220phi,phi,HuffJo00,pass_att,0,,,,,
player,201511220phi,phi,HuffJo00,pass_yds,0,,,,,
player,201511220phi,phi,HuffJo00,pass_td,0,,,,,
player,201511220phi,phi,HuffJo00,pass_int,0,,,,,
player,201511220phi,phi,HuffJo00,pass_sacked,0,,,,,
player,201511220phi,phi,HuffJo00,pass_sacked_yds,0,,,,,
player,201511220phi,phi,HuffJo00,pass_long,0,,,,,
player,201511220phi,phi,HuffJo00,pass_rating,,,,,,
player,201511220phi,phi,HuffJo00,rush_att,0,,,,,
player,201511220phi,phi,HuffJo00,rush_yds,0,,,,,
player,201511220phi,phi,HuffJo00,rush_td,0,,,,,
player,201511220phi,phi,HuffJo00,rush_long,0,,,,,
player,201511220phi,phi,HuffJo00,targets,1,,,,,
player,201511220phi,phi,HuffJo00,rec,1,,,,,
player,201511220phi,phi,HuffJo00,rec_yds,39,,,,,
player,201511220phi,phi,HuffJo00,rec_td,1,,,,,
player,201511220phi,phi,HuffJo00,rec_long,39,,,,,
player,201511220phi,phi,HuffJo00,fumbles,0,,,,,
player,201511220phi,phi,HuffJo00,fumbles_lost,0,,,,,
player,201511220phi,phi,MattJo00,pass_cmp,0,,,,,
player,201511220phi,phi,MattJo00,pass_att,0,,,,,
player,201511220phi,phi,MattJo00,pass_yds,0,,,,,
player,201511220phi,phi,MattJo00,pass_td,0,,,,,
player,201511220phi,phi,MattJo00,pass_int,0,,,,,
player,201511220phi,phi,MattJo00,pass_sacked,0,,,,,
player,201511220phi,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201511220phi,phi,MattJo00,pass_long,0,,,,,
player,201511220phi,phi,MattJo00,pass_rating,,,,,,
player,201511220phi,phi,MattJo00,rush_att,0,,,,,
player,201511220phi,phi,MattJo00,rush_yds,0,,,,,
player,201511220phi,phi,MattJo00,rush_td,0,,,,,
player,201511220phi,phi,MattJo00,rush_long,0,,,,,
player,201511220phi,phi,MattJo00,targets,4,,,,,
player,201511220phi,phi,MattJo00,rec,4,,,,,
player,201511220phi,phi,MattJo00,rec_yds,13,,,,,
player,201511220phi,phi,MattJo00,rec_td,0,,,,,
player,201511220phi,phi,MattJo00,rec_long,5,,,,,
player,201511220phi,phi,MattJo00,fumbles,0,,,,,
player,201511220phi,phi,MattJo00,fumbles_lost,0,,,,,
player,201511220phi,phi,ErtzZa00,pass_cmp,0,,,,,
player,201511220phi,phi,ErtzZa00,pass_att,0,,,,,
player,201511220phi,phi,ErtzZa00,pass_yds,0,,,,,
player,201511220phi,phi,ErtzZa00,pass_td,0,,,,,
player,201511220phi,phi,ErtzZa00,pass_int,0,,,,,
player,201511220phi,phi,ErtzZa00,pass_sacked,0,,,,,
player,201511220phi,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201511220phi,phi,ErtzZa00,pass_long,0,,,,,
player,201511220phi,phi,ErtzZa00,pass_rating,,,,,,
player,201511220phi,phi,ErtzZa00,rush_att,0,,,,,
player,201511220phi,phi,ErtzZa00,rush_yds,0,,,,,
player,201511220phi,phi,ErtzZa00,rush_td,0,,,,,
player,201511220phi,phi,ErtzZa00,rush_long,0,,,,,
player,201511220phi,phi,ErtzZa00,targets,4,,,,,
player,201511220phi,phi,ErtzZa00,rec,2,,,,,
player,201511220phi,phi,ErtzZa00,rec_yds,12,,,,,
player,201511220phi,phi,ErtzZa00,rec_td,0,,,,,
player,201511220phi,phi,ErtzZa00,rec_long,7,,,,,
player,201511220phi,phi,ErtzZa00,fumbles,0,,,,,
player,201511220phi,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201511220phi,phi,AghoNe00,pass_cmp,0,,,,,
player,201511220phi,phi,AghoNe00,pass_att,0,,,,,
player,201511220phi,phi,AghoNe00,pass_yds,0,,,,,
player,201511220phi,phi,AghoNe00,pass_td,0,,,,,
player,201511220phi,phi,AghoNe00,pass_int,0,,,,,
player,201511220phi,phi,AghoNe00,pass_sacked,0,,,,,
player,201511220phi,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201511220phi,phi,AghoNe00,pass_long,0,,,,,
player,201511220phi,phi,AghoNe00,pass_rating,,,,,,
player,201511220phi,phi,AghoNe00,rush_att,0,,,,,
player,201511220phi,phi,AghoNe00,rush_yds,0,,,,,
player,201511220phi,phi,AghoNe00,rush_td,0,,,,,
player,201511220phi,phi,AghoNe00,rush_long,0,,,,,
player,201511220phi,phi,AghoNe00,targets,4,,,,,
player,201511220phi,phi,AghoNe00,rec,3,,,,,
player,201511220phi,phi,AghoNe00,rec_yds,11,,,,,
player,201511220phi,phi,AghoNe00,rec_td,0,,,,,
player,201511220phi,phi,AghoNe00,rec_long,7,,,,,
player,201511220phi,phi,AghoNe00,fumbles,0,,,,,
player,201511220phi,phi,AghoNe00,fumbles_lost,0,,,,,
player,201511220phi,phi,AustMi00,pass_cmp,0,,,,,
player,201511220phi,phi,AustMi00,pass_att,0,,,,,
player,201511220phi,phi,AustMi00,pass_yds,0,,,,,
player,201511220phi,phi,AustMi00,pass_td,0,,,,,
player,201511220phi,phi,AustMi00,pass_int,0,,,,,
player,201511220phi,phi,AustMi00,pass_sacked,0,,,,,
player,201511220phi,phi,AustMi00,pass_sacked_yds,0,,,,,
player,201511220phi,phi,AustMi00,pass_long,0,,,,,
player,201511220phi,phi,AustMi00,pass_rating,,,,,,
player,201511220phi,phi,AustMi00,rush_att,0,,,,,
player,201511220phi,phi,AustMi00,rush_yds,0,,,,,
player,201511220phi,phi,AustMi00,rush_td,0,,,,,
player,201511220phi,phi,AustMi00,rush_long,0,,,,,
player,201511220phi,phi,AustMi00,targets,1,,,,,
player,201511220phi,phi,AustMi00,rec,0,,,,,
player,201511220phi,phi,AustMi00,rec_yds,0,,,,,
player,201511220phi,phi,AustMi00,rec_td,0,,,,,
player,201511220phi,phi,AustMi00,rec_long,0,,,,,
player,201511220phi,phi,AustMi00,fumbles,0,,,,,
player,201511220phi,phi,AustMi00,fumbles_lost,0,,,,,
player,201511220phi,phi,BurtTr01,pass_cmp,0,,,,,
player,201511220phi,phi,BurtTr01,pass_att,0,,,,,
player,201511220phi,phi,BurtTr01,pass_yds,0,,,,,
player,201511220phi,phi,BurtTr01,pass_td,0,,,,,
player,201511220phi,phi,BurtTr01,pass_int,0,,,,,
player,201511220phi,phi,BurtTr01,pass_sacked,0,,,,,
player,201511220phi,phi,BurtTr01,pass_sacked_yds,0,,,,,
player,201511220phi,phi,BurtTr01,pass_long,0,,,,,
player,201511220phi,phi,BurtTr01,pass_rating,,,,,,
player,201511220phi,phi,BurtTr01,rush_att,0,,,,,
player,201511220phi,phi,BurtTr01,rush_yds,0,,,,,
player,201511220phi,phi,BurtTr01,rush_td,0,,,,,
player,201511220phi,phi,BurtTr01,rush_long,0,,,,,
player,201511220phi,phi,BurtTr01,targets,1,,,,,
player,201511220phi,phi,BurtTr01,rec,0,,,,,
player,201511220phi,phi,BurtTr01,rec_yds,0,,,,,
player,201511220phi,phi,BurtTr01,rec_td,0,,,,,
player,201511220phi,phi,BurtTr01,rec_long,0,,,,,
player,201511220phi,phi,BurtTr01,fumbles,0,,,,,
player,201511220phi,phi,BurtTr01,fumbles_lost,0,,,,,
player,201511220phi,tam,DaviLa00,def_int,2,,,,,
player,201511220phi,tam,DaviLa00,def_int_yds,24,,,,,
player,201511220phi,tam,DaviLa00,def_int_td,1,,,,,
player,201511220phi,tam,DaviLa00,def_int_long,20,,,,,
player,201511220phi,tam,DaviLa00,pass_defended,2,,,,,
player,201511220phi,tam,DaviLa00,sacks,0.0,,,,,
player,201511220phi,tam,DaviLa00,tackles_combined,6,,,,,
player,201511220phi,tam,DaviLa00,tackles_solo,6,,,,,
player,201511220phi,tam,DaviLa00,tackles_assists,0,,,,,
player,201511220phi,tam,DaviLa00,tackles_loss,0,,,,,
player,201511220phi,tam,DaviLa00,qb_hits,0,,,,,
player,201511220phi,tam,DaviLa00,fumbles_rec,0,,,,,
player,201511220phi,tam,DaviLa00,fumbles_rec_yds,0,,,,,
player,201511220phi,tam,DaviLa00,fumbles_rec_td,0,,,,,
