game,2015,6,20151018,201510180sea,car,"Carolina Panthers",27,sea,"Seattle Seahawks",23
player,201510180sea,car,TolbMi00,targets,0,,,,,
player,201510180sea,car,TolbMi00,rec,0,,,,,
player,201510180sea,car,TolbMi00,rec_yds,0,,,,,
player,201510180sea,car,TolbMi00,rec_td,0,,,,,
player,201510180sea,car,TolbMi00,rec_long,0,,,,,
player,201510180sea,car,TolbMi00,fumbles,0,,,,,
player,201510180sea,car,TolbMi00,fumbles_lost,0,,,,,
player,201510180sea,car,WhitFo00,pass_cmp,0,,,,,
player,201510180sea,car,WhitFo00,pass_att,0,,,,,
player,201510180sea,car,WhitFo00,pass_yds,0,,,,,
player,201510180sea,car,WhitFo00,pass_td,0,,,,,
player,201510180sea,car,WhitFo00,pass_int,0,,,,,
player,201510180sea,car,WhitFo00,pass_sacked,0,,,,,
player,201510180sea,car,WhitFo00,pass_sacked_yds,0,,,,,
player,201510180sea,car,WhitFo00,pass_long,0,,,,,
player,201510180sea,car,WhitFo00,pass_rating,,,,,,
player,201510180sea,car,WhitFo00,rush_att,1,,,,,
player,201510180sea,car,WhitFo00,rush_yds,2,,,,,
player,201510180sea,car,WhitFo00,rush_td,0,,,,,
player,201510180sea,car,WhitFo00,rush_long,2,,,,,
player,201510180sea,car,WhitFo00,targets,2,,,,,
player,201510180sea,car,WhitFo00,rec,2,,,,,
player,201510180sea,car,WhitFo00,rec_yds,21,,,,,
player,201510180sea,car,WhitFo00,rec_td,0,,,,,
player,201510180sea,car,WhitFo00,rec_long,15,,,,,
player,201510180sea,car,WhitFo00,fumbles,0,,,,,
player,201510180sea,car,WhitFo00,fumbles_lost,0,,,,,
player,201510180sea,car,OlseGr00,pass_cmp,0,,,,,
player,201510180sea,car,OlseGr00,pass_att,0,,,,,
player,201510180sea,car,OlseGr00,pass_yds,0,,,,,
player,201510180sea,car,OlseGr00,pass_td,0,,,,,
player,201510180sea,car,OlseGr00,pass_int,0,,,,,
player,201510180sea,car,OlseGr00,pass_sacked,0,,,,,
player,201510180sea,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201510180sea,car,OlseGr00,pass_long,0,,,,,
player,201510180sea,car,OlseGr00,pass_rating,,,,,,
player,201510180sea,car,OlseGr00,rush_att,0,,,,,
player,201510180sea,car,OlseGr00,rush_yds,0,,,,,
player,201510180sea,car,OlseGr00,rush_td,0,,,,,
player,201510180sea,car,OlseGr00,rush_long,0,,,,,
player,201510180sea,car,OlseGr00,targets,11,,,,,
player,201510180sea,car,OlseGr00,rec,7,,,,,
player,201510180sea,car,OlseGr00,rec_yds,131,,,,,
player,201510180sea,car,OlseGr00,rec_td,1,,,,,
player,201510180sea,car,OlseGr00,rec_long,32,,,,,
player,201510180sea,car,OlseGr00,fumbles,0,,,,,
player,201510180sea,car,OlseGr00,fumbles_lost,0,,,,,
player,201510180sea,car,FuncDe00,pass_cmp,0,,,,,
player,201510180sea,car,FuncDe00,pass_att,0,,,,,
player,201510180sea,car,FuncDe00,pass_yds,0,,,,,
player,201510180sea,car,FuncDe00,pass_td,0,,,,,
player,201510180sea,car,FuncDe00,pass_int,0,,,,,
player,201510180sea,car,FuncDe00,pass_sacked,0,,,,,
player,201510180sea,car,FuncDe00,pass_sacked_yds,0,,,,,
player,201510180sea,car,FuncDe00,pass_long,0,,,,,
player,201510180sea,car,FuncDe00,pass_rating,,,,,,
player,201510180sea,car,FuncDe00,rush_att,0,,,,,
player,201510180sea,car,FuncDe00,rush_yds,0,,,,,
player,201510180sea,car,FuncDe00,rush_td,0,,,,,
player,201510180sea,car,FuncDe00,rush_long,0,,,,,
player,201510180sea,car,FuncDe00,targets,6,,,,,
player,201510180sea,car,FuncDe00,rec,2,,,,,
player,201510180sea,car,FuncDe00,rec_yds,24,,,,,
player,201510180sea,car,FuncDe00,rec_td,0,,,,,
player,201510180sea,car,FuncDe00,rec_long,16,,,,,
player,201510180sea,car,FuncDe00,fumbles,0,,,,,
player,201510180sea,car,FuncDe00,fumbles_lost,0,,,,,
player,201510180sea,car,DickEd00,pass_cmp,0,,,,,
player,201510180sea,car,DickEd00,pass_att,0,,,,,
player,201510180sea,car,DickEd00,pass_yds,0,,,,,
player,201510180sea,car,DickEd00,pass_td,0,,,,,
player,201510180sea,car,DickEd00,pass_int,0,,,,,
player,201510180sea,car,DickEd00,pass_sacked,0,,,,,
player,201510180sea,car,DickEd00,pass_sacked_yds,0,,,,,
player,201510180sea,car,DickEd00,pass_long,0,,,,,
player,201510180sea,car,DickEd00,pass_rating,,,,,,
player,201510180sea,car,DickEd00,rush_att,0,,,,,
player,201510180sea,car,DickEd00,rush_yds,0,,,,,
player,201510180sea,car,DickEd00,rush_td,0,,,,,
player,201510180sea,car,DickEd00,rush_long,0,,,,,
player,201510180sea,car,DickEd00,targets,4,,,,,
player,201510180sea,car,DickEd00,rec,3,,,,,
player,201510180sea,car,DickEd00,rec_yds,24,,,,,
player,201510180sea,car,DickEd00,rec_td,0,,,,,
player,201510180sea,car,DickEd00,rec_long,14,,,,,
player,201510180sea,car,DickEd00,fumbles,0,,,,,
player,201510180sea,car,DickEd00,fumbles_lost,0,,,,,
player,201510180sea,car,CotcJe00,pass_cmp,0,,,,,
player,201510180sea,car,CotcJe00,pass_att,0,,,,,
player,201510180sea,car,CotcJe00,pass_yds,0,,,,,
player,201510180sea,car,CotcJe00,pass_td,0,,,,,
player,201510180sea,car,CotcJe00,pass_int,0,,,,,
player,201510180sea,car,CotcJe00,pass_sacked,0,,,,,
player,201510180sea,car,CotcJe00,pass_sacked_yds,0,,,,,
player,201510180sea,car,CotcJe00,pass_long,0,,,,,
player,201510180sea,car,CotcJe00,pass_rating,,,,,,
player,201510180sea,car,CotcJe00,rush_att,0,,,,,
player,201510180sea,car,CotcJe00,rush_yds,0,,,,,
player,201510180sea,car,CotcJe00,rush_td,0,,,,,
player,201510180sea,car,CotcJe00,rush_long,0,,,,,
player,201510180sea,car,CotcJe00,targets,4,,,,,
player,201510180sea,car,CotcJe00,rec,2,,,,,
player,201510180sea,car,CotcJe00,rec_yds,21,,,,,
