game,2015,14,20151214,201512140mia,nyg,"New York Giants",31,mia,"Miami Dolphins",24
player,201512140mia,nyg,HarrDw00,pass_sacked_yds,0,,,,,
player,201512140mia,nyg,HarrDw00,pass_long,0,,,,,
player,201512140mia,nyg,HarrDw00,pass_rating,,,,,,
player,201512140mia,nyg,HarrDw00,rush_att,0,,,,,
player,201512140mia,nyg,HarrDw00,rush_yds,0,,,,,
player,201512140mia,nyg,HarrDw00,rush_td,0,,,,,
player,201512140mia,nyg,HarrDw00,rush_long,0,,,,,
player,201512140mia,nyg,HarrDw00,targets,5,,,,,
player,201512140mia,nyg,HarrDw00,rec,5,,,,,
player,201512140mia,nyg,HarrDw00,rec_yds,41,,,,,
player,201512140mia,nyg,HarrDw00,rec_td,0,,,,,
player,201512140mia,nyg,HarrDw00,rec_long,12,,,,,
player,201512140mia,nyg,HarrDw00,fumbles,0,,,,,
player,201512140mia,nyg,HarrDw00,fumbles_lost,0,,,,,
player,201512140mia,nyg,TyexWi00,pass_cmp,0,,,,,
player,201512140mia,nyg,TyexWi00,pass_att,0,,,,,
player,201512140mia,nyg,TyexWi00,pass_yds,0,,,,,
player,201512140mia,nyg,TyexWi00,pass_td,0,,,,,
player,201512140mia,nyg,TyexWi00,pass_int,0,,,,,
player,201512140mia,nyg,TyexWi00,pass_sacked,0,,,,,
player,201512140mia,nyg,TyexWi00,pass_sacked_yds,0,,,,,
player,201512140mia,nyg,TyexWi00,pass_long,0,,,,,
player,201512140mia,nyg,TyexWi00,pass_rating,,,,,,
player,201512140mia,nyg,TyexWi00,rush_att,0,,,,,
player,201512140mia,nyg,TyexWi00,rush_yds,0,,,,,
player,201512140mia,nyg,TyexWi00,rush_td,0,,,,,
player,201512140mia,nyg,TyexWi00,rush_long,0,,,,,
player,201512140mia,nyg,TyexWi00,targets,5,,,,,
player,201512140mia,nyg,TyexWi00,rec,5,,,,,
player,201512140mia,nyg,TyexWi00,rec_yds,30,,,,,
player,201512140mia,nyg,TyexWi00,rec_td,1,,,,,
player,201512140mia,nyg,TyexWi00,rec_long,9,,,,,
player,201512140mia,nyg,TyexWi00,fumbles,0,,,,,
player,201512140mia,nyg,TyexWi00,fumbles_lost,0,,,,,
player,201512140mia,nyg,VereSh00,pass_cmp,0,,,,,
player,201512140mia,nyg,VereSh00,pass_att,0,,,,,
player,201512140mia,nyg,VereSh00,pass_yds,0,,,,,
player,201512140mia,nyg,VereSh00,pass_td,0,,,,,
player,201512140mia,nyg,VereSh00,pass_int,0,,,,,
player,201512140mia,nyg,VereSh00,pass_sacked,0,,,,,
player,201512140mia,nyg,VereSh00,pass_sacked_yds,0,,,,,
player,201512140mia,nyg,VereSh00,pass_long,0,,,,,
player,201512140mia,nyg,VereSh00,pass_rating,,,,,,
player,201512140mia,nyg,VereSh00,rush_att,1,,,,,
player,201512140mia,nyg,VereSh00,rush_yds,0,,,,,
player,201512140mia,nyg,VereSh00,rush_td,0,,,,,
player,201512140mia,nyg,VereSh00,rush_long,0,,,,,
player,201512140mia,nyg,VereSh00,targets,2,,,,,
player,201512140mia,nyg,VereSh00,rec,1,,,,,
player,201512140mia,nyg,VereSh00,rec_yds,10,,,,,
player,201512140mia,nyg,VereSh00,rec_td,0,,,,,
player,201512140mia,nyg,VereSh00,rec_long,10,,,,,
player,201512140mia,nyg,VereSh00,fumbles,0,,,,,
player,201512140mia,nyg,VereSh00,fumbles_lost,0,,,,,
player,201512140mia,nyg,NickHa01,pass_cmp,0,,,,,
player,201512140mia,nyg,NickHa01,pass_att,0,,,,,
player,201512140mia,nyg,NickHa01,pass_yds,0,,,,,
player,201512140mia,nyg,NickHa01,pass_td,0,,,,,
player,201512140mia,nyg,NickHa01,pass_int,0,,,,,
player,201512140mia,nyg,NickHa01,pass_sacked,0,,,,,
player,201512140mia,nyg,NickHa01,pass_sacked_yds,0,,,,,
player,201512140mia,nyg,NickHa01,pass_long,0,,,,,
player,201512140mia,nyg,NickHa01,pass_rating,,,,,,
player,201512140mia,nyg,NickHa01,rush_att,0,,,,,
player,201512140mia,nyg,NickHa01,rush_yds,0,,,,,
player,201512140mia,nyg,NickHa01,rush_td,0,,,,,
player,201512140mia,nyg,NickHa01,rush_long,0,,,,,
player,201512140mia,nyg,NickHa01,targets,1,,,,,
player,201512140mia,nyg,NickHa01,rec,1,,,,,
player,201512140mia,nyg,NickHa01,rec_yds,5,,,,,
player,201512140mia,nyg,NickHa01,rec_td,0,,,,,
player,201512140mia,nyg,NickHa01,rec_long,5,,,,,
player,201512140mia,nyg,NickHa01,fumbles,0,,,,,
player,201512140mia,nyg,NickHa01,fumbles_lost,0,,,,,
player,201512140mia,mia,TannRy00,pass_cmp,25,,,,,
player,201512140mia,mia,TannRy00,pass_att,41,,,,,
player,201512140mia,mia,TannRy00,pass_yds,236,,,,,
player,201512140mia,mia,TannRy00,pass_td,1,,,,,
player,201512140mia,mia,TannRy00,pass_int,0,,,,,
player,201512140mia,mia,TannRy00,pass_sacked,1,,,,,
player,201512140mia,mia,TannRy00,pass_sacked_yds,1,,,,,
player,201512140mia,mia,TannRy00,pass_long,47,,,,,
player,201512140mia,mia,TannRy00,pass_rating,85.0,,,,,
player,201512140mia,mia,TannRy00,rush_att,4,,,,,
player,201512140mia,mia,TannRy00,rush_yds,24,,,,,
player,201512140mia,mia,TannRy00,rush_td,0,,,,,
player,201512140mia,mia,TannRy00,rush_long,12,,,,,
player,201512140mia,mia,TannRy00,targets,0,,,,,
player,201512140mia,mia,TannRy00,rec,0,,,,,
player,201512140mia,mia,TannRy00,rec_yds,0,,,,,
player,201512140mia,mia,TannRy00,rec_td,0,,,,,
player,201512140mia,mia,TannRy00,rec_long,0,,,,,
player,201512140mia,mia,TannRy00,fumbles,0,,,,,
player,201512140mia,mia,TannRy00,fumbles_lost,0,,,,,
player,201512140mia,mia,MillLa01,pass_cmp,0,,,,,
player,201512140mia,mia,MillLa01,pass_att,0,,,,,
player,201512140mia,mia,MillLa01,pass_yds,0,,,,,
player,201512140mia,mia,MillLa01,pass_td,0,,,,,
player,201512140mia,mia,MillLa01,pass_int,0,,,,,
player,201512140mia,mia,MillLa01,pass_sacked,0,,,,,
player,201512140mia,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201512140mia,mia,MillLa01,pass_long,0,,,,,
player,201512140mia,mia,MillLa01,pass_rating,,,,,,
player,201512140mia,mia,MillLa01,rush_att,12,,,,,
player,201512140mia,mia,MillLa01,rush_yds,89,,,,,
player,201512140mia,mia,MillLa01,rush_td,2,,,,,
player,201512140mia,mia,MillLa01,rush_long,38,,,,,
player,201512140mia,mia,MillLa01,targets,0,,,,,
player,201512140mia,mia,MillLa01,rec,0,,,,,
player,201512140mia,mia,MillLa01,rec_yds,0,,,,,
player,201512140mia,mia,MillLa01,rec_td,0,,,,,
player,201512140mia,mia,MillLa01,rec_long,0,,,,,
player,201512140mia,mia,MillLa01,fumbles,0,,,,,
player,201512140mia,mia,MillLa01,fumbles_lost,0,,,,,
player,201512140mia,mia,AjayJa00,pass_cmp,0,,,,,
player,201512140mia,mia,AjayJa00,pass_att,0,,,,,
player,201512140mia,mia,AjayJa00,pass_yds,0,,,,,
player,201512140mia,mia,AjayJa00,pass_td,0,,,,,
player,201512140mia,mia,AjayJa00,pass_int,0,,,,,
player,201512140mia,mia,AjayJa00,pass_sacked,0,,,,,
player,201512140mia,mia,AjayJa00,pass_sacked_yds,0,,,,,
player,201512140mia,mia,AjayJa00,pass_long,0,,,,,
player,201512140mia,mia,AjayJa00,pass_rating,,,,,,
player,201512140mia,mia,AjayJa00,rush_att,5,,,,,
player,201512140mia,mia,AjayJa00,rush_yds,15,,,,,
player,201512140mia,mia,AjayJa00,rush_td,0,,,,,
player,201512140mia,mia,AjayJa00,rush_long,9,,,,,
player,201512140mia,mia,AjayJa00,targets,0,,,,,
player,201512140mia,mia,AjayJa00,rec,0,,,,,
player,201512140mia,mia,AjayJa00,rec_yds,0,,,,,
player,201512140mia,mia,AjayJa00,rec_td,0,,,,,
player,201512140mia,mia,AjayJa00,rec_long,0,,,,,
player,201512140mia,mia,AjayJa00,fumbles,0,,,,,
player,201512140mia,mia,AjayJa00,fumbles_lost,0,,,,,
player,201512140mia,mia,LandJa00,pass_cmp,0,,,,,
player,201512140mia,mia,LandJa00,pass_att,0,,,,,
player,201512140mia,mia,LandJa00,pass_yds,0,,,,,
player,201512140mia,mia,LandJa00,pass_td,0,,,,,
player,201512140mia,mia,LandJa00,pass_int,0,,,,,
player,201512140mia,mia,LandJa00,pass_sacked,0,,,,,
player,201512140mia,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201512140mia,mia,LandJa00,pass_long,0,,,,,
player,201512140mia,mia,LandJa00,pass_rating,,,,,,
player,201512140mia,mia,LandJa00,rush_att,1,,,,,
player,201512140mia,mia,LandJa00,rush_yds,0,,,,,
player,201512140mia,mia,LandJa00,rush_td,0,,,,,
player,201512140mia,mia,LandJa00,rush_long,0,,,,,
player,201512140mia,mia,LandJa00,targets,18,,,,,
player,201512140mia,mia,LandJa00,rec,11,,,,,
player,201512140mia,mia,LandJa00,rec_yds,99,,,,,
player,201512140mia,mia,LandJa00,rec_td,0,,,,,
player,201512140mia,mia,LandJa00,rec_long,25,,,,,
player,201512140mia,mia,LandJa00,fumbles,0,,,,,
player,201512140mia,mia,LandJa00,fumbles_lost,0,,,,,
player,201512140mia,mia,StilKe00,pass_cmp,0,,,,,
player,201512140mia,mia,StilKe00,pass_att,0,,,,,
player,201512140mia,mia,StilKe00,pass_yds,0,,,,,
player,201512140mia,mia,StilKe00,pass_td,0,,,,,
player,201512140mia,mia,StilKe00,pass_int,0,,,,,
player,201512140mia,mia,StilKe00,pass_sacked,0,,,,,
player,201512140mia,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201512140mia,mia,StilKe00,pass_long,0,,,,,
player,201512140mia,mia,StilKe00,pass_rating,,,,,,
player,201512140mia,mia,StilKe00,rush_att,0,,,,,
player,201512140mia,mia,StilKe00,rush_yds,0,,,,,
player,201512140mia,mia,StilKe00,rush_td,0,,,,,
player,201512140mia,mia,StilKe00,rush_long,0,,,,,
player,201512140mia,mia,StilKe00,targets,3,,,,,
player,201512140mia,mia,StilKe00,rec,2,,,,,
player,201512140mia,mia,StilKe00,rec_yds,49,,,,,
player,201512140mia,mia,StilKe00,rec_td,1,,,,,
player,201512140mia,mia,StilKe00,rec_long,47,,,,,
player,201512140mia,mia,StilKe00,fumbles,0,,,,,
player,201512140mia,mia,StilKe00,fumbles_lost,0,,,,,
player,201512140mia,mia,CameJo00,pass_cmp,0,,,,,
player,201512140mia,mia,CameJo00,pass_att,0,,,,,
player,201512140mia,mia,CameJo00,pass_yds,0,,,,,
player,201512140mia,mia,CameJo00,pass_td,0,,,,,
player,201512140mia,mia,CameJo00,pass_int,0,,,,,
player,201512140mia,mia,CameJo00,pass_sacked,0,,,,,
player,201512140mia,mia,CameJo00,pass_sacked_yds,0,,,,,
player,201512140mia,mia,CameJo00,pass_long,0,,,,,
player,201512140mia,mia,CameJo00,pass_rating,,,,,,
player,201512140mia,mia,CameJo00,rush_att,0,,,,,
player,201512140mia,mia,CameJo00,rush_yds,0,,,,,
player,201512140mia,mia,CameJo00,rush_td,0,,,,,
player,201512140mia,mia,CameJo00,rush_long,0,,,,,
player,201512140mia,mia,CameJo00,targets,4,,,,,
player,201512140mia,mia,CameJo00,rec,3,,,,,
player,201512140mia,mia,CameJo00,rec_yds,35,,,,,
player,201512140mia,mia,CameJo00,rec_td,0,,,,,
player,201512140mia,mia,CameJo00,rec_long,17,,,,,
player,201512140mia,mia,CameJo00,fumbles,1,,,,,
player,201512140mia,mia,CameJo00,fumbles_lost,0,,,,,
player,201512140mia,mia,ParkDe01,pass_cmp,0,,,,,
player,201512140mia,mia,ParkDe01,pass_att,0,,,,,
player,201512140mia,mia,ParkDe01,pass_yds,0,,,,,
player,201512140mia,mia,ParkDe01,pass_td,0,,,,,
player,201512140mia,mia,ParkDe01,pass_int,0,,,,,
player,201512140mia,mia,ParkDe01,pass_sacked,0,,,,,
player,201512140mia,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201512140mia,mia,ParkDe01,pass_long,0,,,,,
player,201512140mia,mia,ParkDe01,pass_rating,,,,,,
player,201512140mia,mia,ParkDe01,rush_att,0,,,,,
player,201512140mia,mia,ParkDe01,rush_yds,0,,,,,
player,201512140mia,mia,ParkDe01,rush_td,0,,,,,
player,201512140mia,mia,ParkDe01,rush_long,0,,,,,
player,201512140mia,mia,ParkDe01,targets,5,,,,,
player,201512140mia,mia,ParkDe01,rec,2,,,,,
player,201512140mia,mia,ParkDe01,rec_yds,16,,,,,
player,201512140mia,mia,ParkDe01,rec_td,0,,,,,
player,201512140mia,mia,ParkDe01,rec_long,14,,,,,
player,201512140mia,mia,ParkDe01,fumbles,0,,,,,
player,201512140mia,mia,ParkDe01,fumbles_lost,0,,,,,
player,201512140mia,mia,SimsDi00,pass_cmp,0,,,,,
player,201512140mia,mia,SimsDi00,pass_att,0,,,,,
player,201512140mia,mia,SimsDi00,pass_yds,0,,,,,
player,201512140mia,mia,SimsDi00,pass_td,0,,,,,
player,201512140mia,mia,SimsDi00,pass_int,0,,,,,
player,201512140mia,mia,SimsDi00,pass_sacked,0,,,,,
player,201512140mia,mia,SimsDi00,pass_sacked_yds,0,,,,,
player,201512140mia,mia,SimsDi00,pass_long,0,,,,,
player,201512140mia,mia,SimsDi00,pass_rating,,,,,,
player,201512140mia,mia,SimsDi00,rush_att,0,,,,,
player,201512140mia,mia,SimsDi00,rush_yds,0,,,,,
player,201512140mia,mia,SimsDi00,rush_td,0,,,,,
player,201512140mia,mia,SimsDi00,rush_long,0,,,,,
player,201512140mia,mia,SimsDi00,targets,5,,,,,
player,201512140mia,mia,SimsDi00,rec,3,,,,,
player,201512140mia,mia,SimsDi00,rec_yds,14,,,,,
player,201512140mia,mia,SimsDi00,rec_td,0,,,,,
player,201512140mia,mia,SimsDi00,rec_long,8,,,,,
player,201512140mia,mia,SimsDi00,fumbles,1,,,,,
player,201512140mia,mia,SimsDi00,fumbles_lost,1,,,,,
player,201512140mia,mia,JennGr00,pass_cmp,0,,,,,
player,201512140mia,mia,JennGr00,pass_att,0,,,,,
player,201512140mia,mia,JennGr00,pass_yds,0,,,,,
player,201512140mia,mia,JennGr00,pass_td,0,,,,,
player,201512140mia,mia,JennGr00,pass_int,0,,,,,
player,201512140mia,mia,JennGr00,pass_sacked,0,,,,,
player,201512140mia,mia,JennGr00,pass_sacked_yds,0,,,,,
player,201512140mia,mia,JennGr00,pass_long,0,,,,,
player,201512140mia,mia,JennGr00,pass_rating,,,,,,
player,201512140mia,mia,JennGr00,rush_att,0,,,,,
player,201512140mia,mia,JennGr00,rush_yds,0,,,,,
player,201512140mia,mia,JennGr00,rush_td,0,,,,,
player,201512140mia,mia,JennGr00,rush_long,0,,,,,
player,201512140mia,mia,JennGr00,targets,3,,,,,
player,201512140mia,mia,JennGr00,rec,2,,,,,
player,201512140mia,mia,JennGr00,rec_yds,12,,,,,
player,201512140mia,mia,JennGr00,rec_td,0,,,,,
player,201512140mia,mia,JennGr00,rec_long,7,,,,,
player,201512140mia,mia,JennGr00,fumbles,0,,,,,
player,201512140mia,mia,JennGr00,fumbles_lost,0,,,,,
player,201512140mia,mia,WillDa05,pass_cmp,0,,,,,
player,201512140mia,mia,WillDa05,pass_att,0,,,,,
player,201512140mia,mia,WillDa05,pass_yds,0,,,,,
player,201512140mia,mia,WillDa05,pass_td,0,,,,,
player,201512140mia,mia,WillDa05,pass_int,0,,,,,
player,201512140mia,mia,WillDa05,pass_sacked,0,,,,,
player,201512140mia,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201512140mia,mia,WillDa05,pass_long,0,,,,,
player,201512140mia,mia,WillDa05,pass_rating,,,,,,
player,201512140mia,mia,WillDa05,rush_att,0,,,,,
player,201512140mia,mia,WillDa05,rush_yds,0,,,,,
player,201512140mia,mia,WillDa05,rush_td,0,,,,,
player,201512140mia,mia,WillDa05,rush_long,0,,,,,
player,201512140mia,mia,WillDa05,targets,3,,,,,
player,201512140mia,mia,WillDa05,rec,2,,,,,
player,201512140mia,mia,WillDa05,rec_yds,11,,,,,
player,201512140mia,mia,WillDa05,rec_td,0,,,,,
player,201512140mia,mia,WillDa05,rec_long,7,,,,,
player,201512140mia,mia,WillDa05,fumbles,0,,,,,
player,201512140mia,mia,WillDa05,fumbles_lost,0,,,,,
player,201512140mia,nyg,AyerRo99,def_int,0,,,,,
player,201512140mia,nyg,AyerRo99,def_int_yds,0,,,,,
player,201512140mia,nyg,AyerRo99,def_int_td,0,,,,,
player,201512140mia,nyg,AyerRo99,def_int_long,0,,,,,
player,201512140mia,nyg,AyerRo99,pass_defended,0,,,,,
player,201512140mia,nyg,AyerRo99,sacks,1.0,,,,,
player,201512140mia,nyg,AyerRo99,tackles_combined,1,,,,,
player,201512140mia,nyg,AyerRo99,tackles_solo,1,,,,,
player,201512140mia,nyg,AyerRo99,tackles_assists,0,,,,,
player,201512140mia,nyg,AyerRo99,tackles_loss,1,,,,,
player,201512140mia,nyg,AyerRo99,qb_hits,1,,,,,
player,201512140mia,nyg,AyerRo99,fumbles_rec,0,,,,,
player,201512140mia,nyg,AyerRo99,fumbles_rec_yds,0,,,,,
player,201512140mia,nyg,AyerRo99,fumbles_rec_td,0,,,,,
player,201512140mia,nyg,AyerRo99,fumbles_forced,0,,,,,
player,201512140mia,nyg,CollLa00,def_int,0,,,,,
player,201512140mia,nyg,CollLa00,def_int_yds,0,,,,,
player,201512140mia,nyg,CollLa00,def_int_td,0,,,,,
player,201512140mia,nyg,CollLa00,def_int_long,0,,,,,
player,201512140mia,nyg,CollLa00,pass_defended,0,,,,,
player,201512140mia,nyg,CollLa00,sacks,0.0,,,,,
player,201512140mia,nyg,CollLa00,tackles_combined,8,,,,,
player,201512140mia,nyg,CollLa00,tackles_solo,6,,,,,
player,201512140mia,nyg,CollLa00,tackles_assists,2,,,,,
player,201512140mia,nyg,CollLa00,tackles_loss,0,,,,,
player,201512140mia,nyg,CollLa00,qb_hits,0,,,,,
player,201512140mia,nyg,CollLa00,fumbles_rec,0,,,,,
player,201512140mia,nyg,CollLa00,fumbles_rec_yds,0,,,,,
player,201512140mia,nyg,CollLa00,fumbles_rec_td,0,,,,,
player,201512140mia,nyg,CollLa00,fumbles_forced,1,,,,,
