game,2015,5,20151011,201510110atl,was,"Washington Redskins",19,atl,"Atlanta Falcons",25
player,201510110atl,atl,WhitRo00,rec,2,,,,,
player,201510110atl,atl,WhitRo00,rec_yds,23,,,,,
player,201510110atl,atl,WhitRo00,rec_td,0,,,,,
player,201510110atl,atl,WhitRo00,rec_long,16,,,,,
player,201510110atl,atl,WhitRo00,fumbles,0,,,,,
player,201510110atl,atl,WhitRo00,fumbles_lost,0,,,,,
player,201510110atl,atl,HankLe00,pass_cmp,0,,,,,
player,201510110atl,atl,HankLe00,pass_att,0,,,,,
player,201510110atl,atl,HankLe00,pass_yds,0,,,,,
player,201510110atl,atl,HankLe00,pass_td,0,,,,,
player,201510110atl,atl,HankLe00,pass_int,0,,,,,
player,201510110atl,atl,HankLe00,pass_sacked,0,,,,,
player,201510110atl,atl,HankLe00,pass_sacked_yds,0,,,,,
player,201510110atl,atl,HankLe00,pass_long,0,,,,,
player,201510110atl,atl,HankLe00,pass_rating,,,,,,
player,201510110atl,atl,HankLe00,rush_att,0,,,,,
player,201510110atl,atl,HankLe00,rush_yds,0,,,,,
player,201510110atl,atl,HankLe00,rush_td,0,,,,,
player,201510110atl,atl,HankLe00,rush_long,0,,,,,
player,201510110atl,atl,HankLe00,targets,4,,,,,
player,201510110atl,atl,HankLe00,rec,1,,,,,
player,201510110atl,atl,HankLe00,rec_yds,13,,,,,
player,201510110atl,atl,HankLe00,rec_td,0,,,,,
player,201510110atl,atl,HankLe00,rec_long,13,,,,,
player,201510110atl,atl,HankLe00,fumbles,0,,,,,
player,201510110atl,atl,HankLe00,fumbles_lost,0,,,,,
player,201510110atl,atl,WillNi02,pass_cmp,0,,,,,
player,201510110atl,atl,WillNi02,pass_att,0,,,,,
player,201510110atl,atl,WillNi02,pass_yds,0,,,,,
player,201510110atl,atl,WillNi02,pass_td,0,,,,,
player,201510110atl,atl,WillNi02,pass_int,0,,,,,
player,201510110atl,atl,WillNi02,pass_sacked,0,,,,,
player,201510110atl,atl,WillNi02,pass_sacked_yds,0,,,,,
player,201510110atl,atl,WillNi02,pass_long,0,,,,,
player,201510110atl,atl,WillNi02,pass_rating,,,,,,
player,201510110atl,atl,WillNi02,rush_att,0,,,,,
player,201510110atl,atl,WillNi02,rush_yds,0,,,,,
player,201510110atl,atl,WillNi02,rush_td,0,,,,,
player,201510110atl,atl,WillNi02,rush_long,0,,,,,
player,201510110atl,atl,WillNi02,targets,4,,,,,
player,201510110atl,atl,WillNi02,rec,1,,,,,
player,201510110atl,atl,WillNi02,rec_yds,13,,,,,
player,201510110atl,atl,WillNi02,rec_td,0,,,,,
player,201510110atl,atl,WillNi02,rec_long,13,,,,,
player,201510110atl,atl,WillNi02,fumbles,0,,,,,
player,201510110atl,atl,WillNi02,fumbles_lost,0,,,,,
player,201510110atl,atl,WardTe00,pass_cmp,0,,,,,
player,201510110atl,atl,WardTe00,pass_att,0,,,,,
player,201510110atl,atl,WardTe00,pass_yds,0,,,,,
player,201510110atl,atl,WardTe00,pass_td,0,,,,,
player,201510110atl,atl,WardTe00,pass_int,0,,,,,
player,201510110atl,atl,WardTe00,pass_sacked,0,,,,,
player,201510110atl,atl,WardTe00,pass_sacked_yds,0,,,,,
player,201510110atl,atl,WardTe00,pass_long,0,,,,,
player,201510110atl,atl,WardTe00,pass_rating,,,,,,
player,201510110atl,atl,WardTe00,rush_att,0,,,,,
player,201510110atl,atl,WardTe00,rush_yds,0,,,,,
player,201510110atl,atl,WardTe00,rush_td,0,,,,,
player,201510110atl,atl,WardTe00,rush_long,0,,,,,
player,201510110atl,atl,WardTe00,targets,2,,,,,
player,201510110atl,atl,WardTe00,rec,0,,,,,
player,201510110atl,atl,WardTe00,rec_yds,0,,,,,
player,201510110atl,atl,WardTe00,rec_td,0,,,,,
player,201510110atl,atl,WardTe00,rec_long,0,,,,,
