game,2015,14,20151213,201512130rav,sea,"Seattle Seahawks",35,rav,"Baltimore Ravens",6
player,201512130rav,rav,AlleJa01,rec_yds,44,,,,,
player,201512130rav,rav,AlleJa01,rec_td,0,,,,,
player,201512130rav,rav,AlleJa01,rec_long,17,,,,,
player,201512130rav,rav,AlleJa01,fumbles,1,,,,,
player,201512130rav,rav,AlleJa01,fumbles_lost,1,,,,,
player,201512130rav,rav,AikeKa00,pass_cmp,0,,,,,
player,201512130rav,rav,AikeKa00,pass_att,0,,,,,
player,201512130rav,rav,AikeKa00,pass_yds,0,,,,,
player,201512130rav,rav,AikeKa00,pass_td,0,,,,,
player,201512130rav,rav,AikeKa00,pass_int,0,,,,,
player,201512130rav,rav,AikeKa00,pass_sacked,0,,,,,
player,201512130rav,rav,AikeKa00,pass_sacked_yds,0,,,,,
player,201512130rav,rav,AikeKa00,pass_long,0,,,,,
player,201512130rav,rav,AikeKa00,pass_rating,,,,,,
player,201512130rav,rav,AikeKa00,rush_att,0,,,,,
player,201512130rav,rav,AikeKa00,rush_yds,0,,,,,
player,201512130rav,rav,AikeKa00,rush_td,0,,,,,
player,201512130rav,rav,AikeKa00,rush_long,0,,,,,
player,201512130rav,rav,AikeKa00,targets,7,,,,,
player,201512130rav,rav,AikeKa00,rec,5,,,,,
player,201512130rav,rav,AikeKa00,rec_yds,90,,,,,
player,201512130rav,rav,AikeKa00,rec_td,0,,,,,
player,201512130rav,rav,AikeKa00,rec_long,37,,,,,
player,201512130rav,rav,AikeKa00,fumbles,0,,,,,
player,201512130rav,rav,AikeKa00,fumbles_lost,0,,,,,
player,201512130rav,rav,ButlJe01,pass_cmp,0,,,,,
player,201512130rav,rav,ButlJe01,pass_att,0,,,,,
player,201512130rav,rav,ButlJe01,pass_yds,0,,,,,
player,201512130rav,rav,ButlJe01,pass_td,0,,,,,
player,201512130rav,rav,ButlJe01,pass_int,0,,,,,
player,201512130rav,rav,ButlJe01,pass_sacked,0,,,,,
player,201512130rav,rav,ButlJe01,pass_sacked_yds,0,,,,,
player,201512130rav,rav,ButlJe01,pass_long,0,,,,,
player,201512130rav,rav,ButlJe01,pass_rating,,,,,,
player,201512130rav,rav,ButlJe01,rush_att,0,,,,,
player,201512130rav,rav,ButlJe01,rush_yds,0,,,,,
player,201512130rav,rav,ButlJe01,rush_td,0,,,,,
player,201512130rav,rav,ButlJe01,rush_long,0,,,,,
player,201512130rav,rav,ButlJe01,targets,10,,,,,
player,201512130rav,rav,ButlJe01,rec,7,,,,,
player,201512130rav,rav,ButlJe01,rec_yds,72,,,,,
player,201512130rav,rav,ButlJe01,rec_td,0,,,,,
player,201512130rav,rav,ButlJe01,rec_long,23,,,,,
player,201512130rav,rav,ButlJe01,fumbles,0,,,,,
player,201512130rav,rav,ButlJe01,fumbles_lost,0,,,,,
player,201512130rav,rav,BrowDa04,pass_cmp,0,,,,,
player,201512130rav,rav,BrowDa04,pass_att,0,,,,,
player,201512130rav,rav,BrowDa04,pass_yds,0,,,,,
player,201512130rav,rav,BrowDa04,pass_td,0,,,,,
player,201512130rav,rav,BrowDa04,pass_int,0,,,,,
player,201512130rav,rav,BrowDa04,pass_sacked,0,,,,,
player,201512130rav,rav,BrowDa04,pass_sacked_yds,0,,,,,
player,201512130rav,rav,BrowDa04,pass_long,0,,,,,
player,201512130rav,rav,BrowDa04,pass_rating,,,,,,
player,201512130rav,rav,BrowDa04,rush_att,0,,,,,
player,201512130rav,rav,BrowDa04,rush_yds,0,,,,,
player,201512130rav,rav,BrowDa04,rush_td,0,,,,,
player,201512130rav,rav,BrowDa04,rush_long,0,,,,,
player,201512130rav,rav,BrowDa04,targets,6,,,,,
player,201512130rav,rav,BrowDa04,rec,5,,,,,
player,201512130rav,rav,BrowDa04,rec_yds,47,,,,,
player,201512130rav,rav,BrowDa04,rec_td,0,,,,,
player,201512130rav,rav,BrowDa04,rec_long,31,,,,,
player,201512130rav,rav,BrowDa04,fumbles,0,,,,,
player,201512130rav,rav,BrowDa04,fumbles_lost,0,,,,,
player,201512130rav,rav,MattCh00,pass_cmp,0,,,,,
player,201512130rav,rav,MattCh00,pass_att,0,,,,,
player,201512130rav,rav,MattCh00,pass_yds,0,,,,,
player,201512130rav,rav,MattCh00,pass_td,0,,,,,
player,201512130rav,rav,MattCh00,pass_int,0,,,,,
