game,2015,5,20151012,201510120sdg,pit,"Pittsburgh Steelers",24,sdg,"San Diego Chargers",20
player,201510120sdg,pit,TimmLa99,fumbles_forced,0,,,,,
player,201510120sdg,pit,CockRo00,def_int,0,,,,,
player,201510120sdg,pit,CockRo00,def_int_yds,0,,,,,
player,201510120sdg,pit,CockRo00,def_int_td,0,,,,,
player,201510120sdg,pit,CockRo00,def_int_long,0,,,,,
player,201510120sdg,pit,CockRo00,pass_defended,0,,,,,
player,201510120sdg,pit,CockRo00,sacks,0.0,,,,,
player,201510120sdg,pit,CockRo00,tackles_combined,7,,,,,
player,201510120sdg,pit,CockRo00,tackles_solo,7,,,,,
player,201510120sdg,pit,CockRo00,tackles_assists,0,,,,,
player,201510120sdg,pit,CockRo00,tackles_loss,0,,,,,
player,201510120sdg,pit,CockRo00,qb_hits,0,,,,,
player,201510120sdg,pit,CockRo00,fumbles_rec,0,,,,,
player,201510120sdg,pit,CockRo00,fumbles_rec_yds,0,,,,,
player,201510120sdg,pit,CockRo00,fumbles_rec_td,0,,,,,
