game,2015,4,20151004,201510040crd,ram,"St. Louis Rams",24,crd,"Arizona Cardinals",22
player,201510040crd,ram,BritKe00,rush_td,0,,,,,
player,201510040crd,ram,BritKe00,rush_long,0,,,,,
player,201510040crd,ram,BritKe00,targets,1,,,,,
player,201510040crd,ram,BritKe00,rec,0,,,,,
player,201510040crd,ram,BritKe00,rec_yds,0,,,,,
player,201510040crd,ram,BritKe00,rec_td,0,,,,,
player,201510040crd,ram,BritKe00,rec_long,0,,,,,
player,201510040crd,ram,BritKe00,fumbles,0,,,,,
player,201510040crd,ram,BritKe00,fumbles_lost,0,,,,,
player,201510040crd,ram,MasoTr00,pass_cmp,0,,,,,
player,201510040crd,ram,MasoTr00,pass_att,0,,,,,
player,201510040crd,ram,MasoTr00,pass_yds,0,,,,,
player,201510040crd,ram,MasoTr00,pass_td,0,,,,,
player,201510040crd,ram,MasoTr00,pass_int,0,,,,,
player,201510040crd,ram,MasoTr00,pass_sacked,0,,,,,
player,201510040crd,ram,MasoTr00,pass_sacked_yds,0,,,,,
player,201510040crd,ram,MasoTr00,pass_long,0,,,,,
player,201510040crd,ram,MasoTr00,pass_rating,,,,,,
player,201510040crd,ram,MasoTr00,rush_att,2,,,,,
player,201510040crd,ram,MasoTr00,rush_yds,-1,,,,,
player,201510040crd,ram,MasoTr00,rush_td,0,,,,,
player,201510040crd,ram,MasoTr00,rush_long,2,,,,,
player,201510040crd,ram,MasoTr00,targets,0,,,,,
player,201510040crd,ram,MasoTr00,rec,0,,,,,
player,201510040crd,ram,MasoTr00,rec_yds,0,,,,,
player,201510040crd,ram,MasoTr00,rec_td,0,,,,,
player,201510040crd,ram,MasoTr00,rec_long,0,,,,,
player,201510040crd,ram,MasoTr00,fumbles,0,,,,,
player,201510040crd,ram,MasoTr00,fumbles_lost,0,,,,,
player,201510040crd,crd,PalmCa00,pass_cmp,29,,,,,
player,201510040crd,crd,PalmCa00,pass_att,46,,,,,
player,201510040crd,crd,PalmCa00,pass_yds,352,,,,,
player,201510040crd,crd,PalmCa00,pass_td,1,,,,,
player,201510040crd,crd,PalmCa00,pass_int,1,,,,,
player,201510040crd,crd,PalmCa00,pass_sacked,4,,,,,
player,201510040crd,crd,PalmCa00,pass_sacked_yds,18,,,,,
player,201510040crd,crd,PalmCa00,pass_long,23,,,,,
player,201510040crd,crd,PalmCa00,pass_rating,84.7,,,,,
player,201510040crd,crd,PalmCa00,rush_att,1,,,,,
player,201510040crd,crd,PalmCa00,rush_yds,-1,,,,,
player,201510040crd,crd,PalmCa00,rush_td,0,,,,,
player,201510040crd,crd,PalmCa00,rush_long,-1,,,,,
player,201510040crd,crd,PalmCa00,targets,0,,,,,
player,201510040crd,crd,PalmCa00,rec,0,,,,,
player,201510040crd,crd,PalmCa00,rec_yds,0,,,,,
player,201510040crd,crd,PalmCa00,rec_td,0,,,,,
player,201510040crd,crd,PalmCa00,rec_long,0,,,,,
player,201510040crd,crd,PalmCa00,fumbles,1,,,,,
player,201510040crd,crd,PalmCa00,fumbles_lost,0,,,,,
player,201510040crd,crd,JohnCh04,pass_cmp,0,,,,,
player,201510040crd,crd,JohnCh04,pass_att,0,,,,,
player,201510040crd,crd,JohnCh04,pass_yds,0,,,,,
player,201510040crd,crd,JohnCh04,pass_td,0,,,,,
player,201510040crd,crd,JohnCh04,pass_int,0,,,,,
player,201510040crd,crd,JohnCh04,pass_sacked,0,,,,,
player,201510040crd,crd,JohnCh04,pass_sacked_yds,0,,,,,
player,201510040crd,crd,JohnCh04,pass_long,0,,,,,
player,201510040crd,crd,JohnCh04,pass_rating,,,,,,
player,201510040crd,crd,JohnCh04,rush_att,16,,,,,
player,201510040crd,crd,JohnCh04,rush_yds,83,,,,,
player,201510040crd,crd,JohnCh04,rush_td,0,,,,,
player,201510040crd,crd,JohnCh04,rush_long,21,,,,,
player,201510040crd,crd,JohnCh04,targets,3,,,,,
player,201510040crd,crd,JohnCh04,rec,3,,,,,
player,201510040crd,crd,JohnCh04,rec_yds,11,,,,,
player,201510040crd,crd,JohnCh04,rec_td,0,,,,,
player,201510040crd,crd,JohnCh04,rec_long,6,,,,,
player,201510040crd,crd,JohnCh04,fumbles,0,,,,,
player,201510040crd,crd,JohnCh04,fumbles_lost,0,,,,,
player,201510040crd,crd,JohnDa08,pass_cmp,0,,,,,
player,201510040crd,crd,JohnDa08,pass_att,0,,,,,
player,201510040crd,crd,JohnDa08,pass_yds,0,,,,,
player,201510040crd,crd,JohnDa08,pass_td,0,,,,,
player,201510040crd,crd,JohnDa08,pass_int,0,,,,,
player,201510040crd,crd,JohnDa08,pass_sacked,0,,,,,
player,201510040crd,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201510040crd,crd,JohnDa08,pass_long,0,,,,,
player,201510040crd,crd,JohnDa08,pass_rating,,,,,,
player,201510040crd,crd,JohnDa08,rush_att,3,,,,,
player,201510040crd,crd,JohnDa08,rush_yds,18,,,,,
player,201510040crd,crd,JohnDa08,rush_td,0,,,,,
player,201510040crd,crd,JohnDa08,rush_long,12,,,,,
player,201510040crd,crd,JohnDa08,targets,10,,,,,
player,201510040crd,crd,JohnDa08,rec,4,,,,,
player,201510040crd,crd,JohnDa08,rec_yds,63,,,,,
player,201510040crd,crd,JohnDa08,rec_td,1,,,,,
player,201510040crd,crd,JohnDa08,rec_long,23,,,,,
player,201510040crd,crd,JohnDa08,fumbles,1,,,,,
player,201510040crd,crd,JohnDa08,fumbles_lost,1,,,,,
player,201510040crd,crd,BrowJo02,pass_cmp,0,,,,,
player,201510040crd,crd,BrowJo02,pass_att,0,,,,,
player,201510040crd,crd,BrowJo02,pass_yds,0,,,,,
player,201510040crd,crd,BrowJo02,pass_td,0,,,,,
player,201510040crd,crd,BrowJo02,pass_int,0,,,,,
player,201510040crd,crd,BrowJo02,pass_sacked,0,,,,,
player,201510040crd,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201510040crd,crd,BrowJo02,pass_long,0,,,,,
player,201510040crd,crd,BrowJo02,pass_rating,,,,,,
player,201510040crd,crd,BrowJo02,rush_att,1,,,,,
player,201510040crd,crd,BrowJo02,rush_yds,13,,,,,
player,201510040crd,crd,BrowJo02,rush_td,0,,,,,
player,201510040crd,crd,BrowJo02,rush_long,13,,,,,
player,201510040crd,crd,BrowJo02,targets,10,,,,,
player,201510040crd,crd,BrowJo02,rec,7,,,,,
player,201510040crd,crd,BrowJo02,rec_yds,75,,,,,
player,201510040crd,crd,BrowJo02,rec_td,0,,,,,
player,201510040crd,crd,BrowJo02,rec_long,14,,,,,
player,201510040crd,crd,BrowJo02,fumbles,0,,,,,
player,201510040crd,crd,BrowJo02,fumbles_lost,0,,,,,
player,201510040crd,crd,FitzLa00,pass_cmp,0,,,,,
player,201510040crd,crd,FitzLa00,pass_att,0,,,,,
player,201510040crd,crd,FitzLa00,pass_yds,0,,,,,
player,201510040crd,crd,FitzLa00,pass_td,0,,,,,
player,201510040crd,crd,FitzLa00,pass_int,0,,,,,
player,201510040crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201510040crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201510040crd,crd,FitzLa00,pass_long,0,,,,,
player,201510040crd,crd,FitzLa00,pass_rating,,,,,,
player,201510040crd,crd,FitzLa00,rush_att,0,,,,,
player,201510040crd,crd,FitzLa00,rush_yds,0,,,,,
player,201510040crd,crd,FitzLa00,rush_td,0,,,,,
player,201510040crd,crd,FitzLa00,rush_long,0,,,,,
player,201510040crd,crd,FitzLa00,targets,9,,,,,
player,201510040crd,crd,FitzLa00,rec,7,,,,,
player,201510040crd,crd,FitzLa00,rec_yds,99,,,,,
player,201510040crd,crd,FitzLa00,rec_td,0,,,,,
player,201510040crd,crd,FitzLa00,rec_long,22,,,,,
player,201510040crd,crd,FitzLa00,fumbles,1,,,,,
player,201510040crd,crd,FitzLa00,fumbles_lost,1,,,,,
player,201510040crd,crd,FloyMi00,pass_cmp,0,,,,,
player,201510040crd,crd,FloyMi00,pass_att,0,,,,,
player,201510040crd,crd,FloyMi00,pass_yds,0,,,,,
player,201510040crd,crd,FloyMi00,pass_td,0,,,,,
player,201510040crd,crd,FloyMi00,pass_int,0,,,,,
player,201510040crd,crd,FloyMi00,pass_sacked,0,,,,,
player,201510040crd,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201510040crd,crd,FloyMi00,pass_long,0,,,,,
player,201510040crd,crd,FloyMi00,pass_rating,,,,,,
player,201510040crd,crd,FloyMi00,rush_att,0,,,,,
player,201510040crd,crd,FloyMi00,rush_yds,0,,,,,
player,201510040crd,crd,FloyMi00,rush_td,0,,,,,
player,201510040crd,crd,FloyMi00,rush_long,0,,,,,
player,201510040crd,crd,FloyMi00,targets,7,,,,,
player,201510040crd,crd,FloyMi00,rec,5,,,,,
player,201510040crd,crd,FloyMi00,rec_yds,59,,,,,
player,201510040crd,crd,FloyMi00,rec_td,0,,,,,
player,201510040crd,crd,FloyMi00,rec_long,22,,,,,
player,201510040crd,crd,FloyMi00,fumbles,0,,,,,
player,201510040crd,crd,FloyMi00,fumbles_lost,0,,,,,
player,201510040crd,crd,BrowJa03,pass_cmp,0,,,,,
player,201510040crd,crd,BrowJa03,pass_att,0,,,,,
player,201510040crd,crd,BrowJa03,pass_yds,0,,,,,
player,201510040crd,crd,BrowJa03,pass_td,0,,,,,
player,201510040crd,crd,BrowJa03,pass_int,0,,,,,
player,201510040crd,crd,BrowJa03,pass_sacked,0,,,,,
player,201510040crd,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201510040crd,crd,BrowJa03,pass_long,0,,,,,
player,201510040crd,crd,BrowJa03,pass_rating,,,,,,
