game,2015,6,20151018,201510180oti,mia,"Miami Dolphins",38,oti,"Tennessee Titans",10
player,201510180oti,mia,SimsDi00,pass_sacked,0,,,,,
player,201510180oti,mia,SimsDi00,pass_sacked_yds,0,,,,,
player,201510180oti,mia,SimsDi00,pass_long,0,,,,,
player,201510180oti,mia,SimsDi00,pass_rating,,,,,,
player,201510180oti,mia,SimsDi00,rush_att,0,,,,,
player,201510180oti,mia,SimsDi00,rush_yds,0,,,,,
player,201510180oti,mia,SimsDi00,rush_td,0,,,,,
player,201510180oti,mia,SimsDi00,rush_long,0,,,,,
player,201510180oti,mia,SimsDi00,targets,4,,,,,
player,201510180oti,mia,SimsDi00,rec,4,,,,,
player,201510180oti,mia,SimsDi00,rec_yds,33,,,,,
player,201510180oti,mia,SimsDi00,rec_td,1,,,,,
player,201510180oti,mia,SimsDi00,rec_long,16,,,,,
player,201510180oti,mia,SimsDi00,fumbles,0,,,,,
player,201510180oti,mia,SimsDi00,fumbles_lost,0,,,,,
player,201510180oti,mia,CameJo00,pass_cmp,0,,,,,
player,201510180oti,mia,CameJo00,pass_att,0,,,,,
player,201510180oti,mia,CameJo00,pass_yds,0,,,,,
player,201510180oti,mia,CameJo00,pass_td,0,,,,,
player,201510180oti,mia,CameJo00,pass_int,0,,,,,
player,201510180oti,mia,CameJo00,pass_sacked,0,,,,,
player,201510180oti,mia,CameJo00,pass_sacked_yds,0,,,,,
player,201510180oti,mia,CameJo00,pass_long,0,,,,,
player,201510180oti,mia,CameJo00,pass_rating,,,,,,
player,201510180oti,mia,CameJo00,rush_att,0,,,,,
player,201510180oti,mia,CameJo00,rush_yds,0,,,,,
player,201510180oti,mia,CameJo00,rush_td,0,,,,,
player,201510180oti,mia,CameJo00,rush_long,0,,,,,
player,201510180oti,mia,CameJo00,targets,8,,,,,
player,201510180oti,mia,CameJo00,rec,3,,,,,
player,201510180oti,mia,CameJo00,rec_yds,30,,,,,
player,201510180oti,mia,CameJo00,rec_td,1,,,,,
player,201510180oti,mia,CameJo00,rec_long,13,,,,,
player,201510180oti,mia,CameJo00,fumbles,0,,,,,
player,201510180oti,mia,CameJo00,fumbles_lost,0,,,,,
player,201510180oti,mia,JennGr00,pass_cmp,0,,,,,
player,201510180oti,mia,JennGr00,pass_att,0,,,,,
player,201510180oti,mia,JennGr00,pass_yds,0,,,,,
player,201510180oti,mia,JennGr00,pass_td,0,,,,,
player,201510180oti,mia,JennGr00,pass_int,0,,,,,
player,201510180oti,mia,JennGr00,pass_sacked,0,,,,,
player,201510180oti,mia,JennGr00,pass_sacked_yds,0,,,,,
player,201510180oti,mia,JennGr00,pass_long,0,,,,,
player,201510180oti,mia,JennGr00,pass_rating,,,,,,
player,201510180oti,mia,JennGr00,rush_att,0,,,,,
player,201510180oti,mia,JennGr00,rush_yds,0,,,,,
player,201510180oti,mia,JennGr00,rush_td,0,,,,,
player,201510180oti,mia,JennGr00,rush_long,0,,,,,
player,201510180oti,mia,JennGr00,targets,1,,,,,
player,201510180oti,mia,JennGr00,rec,1,,,,,
player,201510180oti,mia,JennGr00,rec_yds,13,,,,,
player,201510180oti,mia,JennGr00,rec_td,0,,,,,
player,201510180oti,mia,JennGr00,rec_long,13,,,,,
player,201510180oti,mia,JennGr00,fumbles,0,,,,,
player,201510180oti,mia,JennGr00,fumbles_lost,0,,,,,
player,201510180oti,oti,MariMa01,pass_cmp,21,,,,,
player,201510180oti,oti,MariMa01,pass_att,33,,,,,
player,201510180oti,oti,MariMa01,pass_yds,219,,,,,
player,201510180oti,oti,MariMa01,pass_td,1,,,,,
player,201510180oti,oti,MariMa01,pass_int,2,,,,,
player,201510180oti,oti,MariMa01,pass_sacked,5,,,,,
player,201510180oti,oti,MariMa01,pass_sacked_yds,37,,,,,
player,201510180oti,oti,MariMa01,pass_long,32,,,,,
player,201510180oti,oti,MariMa01,pass_rating,67.6,,,,,
player,201510180oti,oti,MariMa01,rush_att,0,,,,,
player,201510180oti,oti,MariMa01,rush_yds,0,,,,,
player,201510180oti,oti,MariMa01,rush_td,0,,,,,
player,201510180oti,oti,MariMa01,rush_long,0,,,,,
player,201510180oti,oti,MariMa01,targets,0,,,,,
player,201510180oti,oti,MariMa01,rec,0,,,,,
player,201510180oti,oti,MariMa01,rec_yds,0,,,,,
player,201510180oti,oti,MariMa01,rec_td,0,,,,,
player,201510180oti,oti,MariMa01,rec_long,0,,,,,
player,201510180oti,oti,MariMa01,fumbles,2,,,,,
player,201510180oti,oti,MariMa01,fumbles_lost,2,,,,,
player,201510180oti,oti,MettZa00,pass_cmp,5,,,,,
player,201510180oti,oti,MettZa00,pass_att,8,,,,,
player,201510180oti,oti,MettZa00,pass_yds,63,,,,,
player,201510180oti,oti,MettZa00,pass_td,0,,,,,
player,201510180oti,oti,MettZa00,pass_int,0,,,,,
player,201510180oti,oti,MettZa00,pass_sacked,1,,,,,
player,201510180oti,oti,MettZa00,pass_sacked_yds,9,,,,,
player,201510180oti,oti,MettZa00,pass_long,23,,,,,
player,201510180oti,oti,MettZa00,pass_rating,87.0,,,,,
player,201510180oti,oti,MettZa00,rush_att,1,,,,,
player,201510180oti,oti,MettZa00,rush_yds,4,,,,,
player,201510180oti,oti,MettZa00,rush_td,0,,,,,
player,201510180oti,oti,MettZa00,rush_long,4,,,,,
player,201510180oti,oti,MettZa00,targets,0,,,,,
player,201510180oti,oti,MettZa00,rec,0,,,,,
player,201510180oti,oti,MettZa00,rec_yds,0,,,,,
player,201510180oti,oti,MettZa00,rec_td,0,,,,,
player,201510180oti,oti,MettZa00,rec_long,0,,,,,
player,201510180oti,oti,MettZa00,fumbles,0,,,,,
player,201510180oti,oti,MettZa00,fumbles_lost,0,,,,,
player,201510180oti,oti,McClDe00,pass_cmp,0,,,,,
player,201510180oti,oti,McClDe00,pass_att,0,,,,,
player,201510180oti,oti,McClDe00,pass_yds,0,,,,,
player,201510180oti,oti,McClDe00,pass_td,0,,,,,
player,201510180oti,oti,McClDe00,pass_int,0,,,,,
player,201510180oti,oti,McClDe00,pass_sacked,0,,,,,
player,201510180oti,oti,McClDe00,pass_sacked_yds,0,,,,,
player,201510180oti,oti,McClDe00,pass_long,0,,,,,
player,201510180oti,oti,McClDe00,pass_rating,,,,,,
player,201510180oti,oti,McClDe00,rush_att,5,,,,,
player,201510180oti,oti,McClDe00,rush_yds,23,,,,,
player,201510180oti,oti,McClDe00,rush_td,0,,,,,
player,201510180oti,oti,McClDe00,rush_long,16,,,,,
player,201510180oti,oti,McClDe00,targets,4,,,,,
player,201510180oti,oti,McClDe00,rec,3,,,,,
player,201510180oti,oti,McClDe00,rec_yds,19,,,,,
player,201510180oti,oti,McClDe00,rec_td,1,,,,,
player,201510180oti,oti,McClDe00,rec_long,14,,,,,
player,201510180oti,oti,McClDe00,fumbles,0,,,,,
player,201510180oti,oti,McClDe00,fumbles_lost,0,,,,,
player,201510180oti,oti,AndrAn00,pass_cmp,0,,,,,
player,201510180oti,oti,AndrAn00,pass_att,0,,,,,
player,201510180oti,oti,AndrAn00,pass_yds,0,,,,,
player,201510180oti,oti,AndrAn00,pass_td,0,,,,,
player,201510180oti,oti,AndrAn00,pass_int,0,,,,,
player,201510180oti,oti,AndrAn00,pass_sacked,0,,,,,
player,201510180oti,oti,AndrAn00,pass_sacked_yds,0,,,,,
player,201510180oti,oti,AndrAn00,pass_long,0,,,,,
player,201510180oti,oti,AndrAn00,pass_rating,,,,,,
player,201510180oti,oti,AndrAn00,rush_att,9,,,,,
player,201510180oti,oti,AndrAn00,rush_yds,23,,,,,
player,201510180oti,oti,AndrAn00,rush_td,0,,,,,
player,201510180oti,oti,AndrAn00,rush_long,8,,,,,
player,201510180oti,oti,AndrAn00,targets,1,,,,,
player,201510180oti,oti,AndrAn00,rec,1,,,,,
player,201510180oti,oti,AndrAn00,rec_yds,2,,,,,
player,201510180oti,oti,AndrAn00,rec_td,0,,,,,
player,201510180oti,oti,AndrAn00,rec_long,2,,,,,
player,201510180oti,oti,AndrAn00,fumbles,0,,,,,
player,201510180oti,oti,AndrAn00,fumbles_lost,0,,,,,
player,201510180oti,oti,SankBi00,pass_cmp,0,,,,,
player,201510180oti,oti,SankBi00,pass_att,0,,,,,
player,201510180oti,oti,SankBi00,pass_yds,0,,,,,
player,201510180oti,oti,SankBi00,pass_td,0,,,,,
player,201510180oti,oti,SankBi00,pass_int,0,,,,,
player,201510180oti,oti,SankBi00,pass_sacked,0,,,,,
player,201510180oti,oti,SankBi00,pass_sacked_yds,0,,,,,
player,201510180oti,oti,SankBi00,pass_long,0,,,,,
player,201510180oti,oti,SankBi00,pass_rating,,,,,,
player,201510180oti,oti,SankBi00,rush_att,3,,,,,
player,201510180oti,oti,SankBi00,rush_yds,13,,,,,
player,201510180oti,oti,SankBi00,rush_td,0,,,,,
player,201510180oti,oti,SankBi00,rush_long,9,,,,,
player,201510180oti,oti,SankBi00,targets,3,,,,,
player,201510180oti,oti,SankBi00,rec,1,,,,,
player,201510180oti,oti,SankBi00,rec_yds,7,,,,,
player,201510180oti,oti,SankBi00,rec_td,0,,,,,
player,201510180oti,oti,SankBi00,rec_long,7,,,,,
player,201510180oti,oti,SankBi00,fumbles,0,,,,,
player,201510180oti,oti,SankBi00,fumbles_lost,0,,,,,
player,201510180oti,oti,WalkHu00,pass_cmp,0,,,,,
player,201510180oti,oti,WalkHu00,pass_att,0,,,,,
player,201510180oti,oti,WalkHu00,pass_yds,0,,,,,
player,201510180oti,oti,WalkHu00,pass_td,0,,,,,
player,201510180oti,oti,WalkHu00,pass_int,0,,,,,
player,201510180oti,oti,WalkHu00,pass_sacked,0,,,,,
player,201510180oti,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201510180oti,oti,WalkHu00,pass_long,0,,,,,
player,201510180oti,oti,WalkHu00,pass_rating,,,,,,
player,201510180oti,oti,WalkHu00,rush_att,0,,,,,
player,201510180oti,oti,WalkHu00,rush_yds,0,,,,,
player,201510180oti,oti,WalkHu00,rush_td,0,,,,,
player,201510180oti,oti,WalkHu00,rush_long,0,,,,,
player,201510180oti,oti,WalkHu00,targets,10,,,,,
player,201510180oti,oti,WalkHu00,rec,8,,,,,
player,201510180oti,oti,WalkHu00,rec_yds,97,,,,,
player,201510180oti,oti,WalkHu00,rec_td,0,,,,,
player,201510180oti,oti,WalkHu00,rec_long,25,,,,,
player,201510180oti,oti,WalkHu00,fumbles,0,,,,,
player,201510180oti,oti,WalkHu00,fumbles_lost,0,,,,,
player,201510180oti,oti,GreeDo00,pass_cmp,0,,,,,
player,201510180oti,oti,GreeDo00,pass_att,0,,,,,
player,201510180oti,oti,GreeDo00,pass_yds,0,,,,,
player,201510180oti,oti,GreeDo00,pass_td,0,,,,,
player,201510180oti,oti,GreeDo00,pass_int,0,,,,,
player,201510180oti,oti,GreeDo00,pass_sacked,0,,,,,
player,201510180oti,oti,GreeDo00,pass_sacked_yds,0,,,,,
player,201510180oti,oti,GreeDo00,pass_long,0,,,,,
player,201510180oti,oti,GreeDo00,pass_rating,,,,,,
player,201510180oti,oti,GreeDo00,rush_att,0,,,,,
player,201510180oti,oti,GreeDo00,rush_yds,0,,,,,
player,201510180oti,oti,GreeDo00,rush_td,0,,,,,
player,201510180oti,oti,GreeDo00,rush_long,0,,,,,
player,201510180oti,oti,GreeDo00,targets,6,,,,,
player,201510180oti,oti,GreeDo00,rec,3,,,,,
player,201510180oti,oti,GreeDo00,rec_yds,57,,,,,
player,201510180oti,oti,GreeDo00,rec_td,0,,,,,
player,201510180oti,oti,GreeDo00,rec_long,32,,,,,
player,201510180oti,oti,GreeDo00,fumbles,0,,,,,
player,201510180oti,oti,GreeDo00,fumbles_lost,0,,,,,
player,201510180oti,oti,HuntJu00,pass_cmp,0,,,,,
player,201510180oti,oti,HuntJu00,pass_att,0,,,,,
player,201510180oti,oti,HuntJu00,pass_yds,0,,,,,
player,201510180oti,oti,HuntJu00,pass_td,0,,,,,
player,201510180oti,oti,HuntJu00,pass_int,0,,,,,
player,201510180oti,oti,HuntJu00,pass_sacked,0,,,,,
player,201510180oti,oti,HuntJu00,pass_sacked_yds,0,,,,,
player,201510180oti,oti,HuntJu00,pass_long,0,,,,,
player,201510180oti,oti,HuntJu00,pass_rating,,,,,,
player,201510180oti,oti,HuntJu00,rush_att,0,,,,,
player,201510180oti,oti,HuntJu00,rush_yds,0,,,,,
player,201510180oti,oti,HuntJu00,rush_td,0,,,,,
player,201510180oti,oti,HuntJu00,rush_long,0,,,,,
player,201510180oti,oti,HuntJu00,targets,4,,,,,
player,201510180oti,oti,HuntJu00,rec,3,,,,,
player,201510180oti,oti,HuntJu00,rec_yds,54,,,,,
player,201510180oti,oti,HuntJu00,rec_td,0,,,,,
player,201510180oti,oti,HuntJu00,rec_long,23,,,,,
player,201510180oti,oti,HuntJu00,fumbles,0,,,,,
player,201510180oti,oti,HuntJu00,fumbles_lost,0,,,,,
player,201510180oti,oti,WrigKe01,pass_cmp,0,,,,,
player,201510180oti,oti,WrigKe01,pass_att,0,,,,,
player,201510180oti,oti,WrigKe01,pass_yds,0,,,,,
player,201510180oti,oti,WrigKe01,pass_td,0,,,,,
player,201510180oti,oti,WrigKe01,pass_int,0,,,,,
player,201510180oti,oti,WrigKe01,pass_sacked,0,,,,,
player,201510180oti,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201510180oti,oti,WrigKe01,pass_long,0,,,,,
player,201510180oti,oti,WrigKe01,pass_rating,,,,,,
player,201510180oti,oti,WrigKe01,rush_att,0,,,,,
player,201510180oti,oti,WrigKe01,rush_yds,0,,,,,
player,201510180oti,oti,WrigKe01,rush_td,0,,,,,
player,201510180oti,oti,WrigKe01,rush_long,0,,,,,
