game,2015,3,20150928,201509280gnb,kan,"Kansas City Chiefs",28,gnb,"Green Bay Packers",38
player,201509280gnb,kan,CharJa00,rush_yds,49,,,,,
player,201509280gnb,kan,CharJa00,rush_td,3,,,,,
player,201509280gnb,kan,CharJa00,rush_long,13,,,,,
player,201509280gnb,kan,CharJa00,targets,7,,,,,
player,201509280gnb,kan,CharJa00,rec,5,,,,,
player,201509280gnb,kan,CharJa00,rec_yds,33,,,,,
player,201509280gnb,kan,CharJa00,rec_td,0,,,,,
player,201509280gnb,kan,CharJa00,rec_long,13,,,,,
player,201509280gnb,kan,CharJa00,fumbles,0,,,,,
player,201509280gnb,kan,CharJa00,fumbles_lost,0,,,,,
player,201509280gnb,kan,MaclJe00,pass_cmp,0,,,,,
player,201509280gnb,kan,MaclJe00,pass_att,0,,,,,
player,201509280gnb,kan,MaclJe00,pass_yds,0,,,,,
player,201509280gnb,kan,MaclJe00,pass_td,0,,,,,
player,201509280gnb,kan,MaclJe00,pass_int,0,,,,,
player,201509280gnb,kan,MaclJe00,pass_sacked,0,,,,,
player,201509280gnb,kan,MaclJe00,pass_sacked_yds,0,,,,,
player,201509280gnb,kan,MaclJe00,pass_long,0,,,,,
player,201509280gnb,kan,MaclJe00,pass_rating,,,,,,
player,201509280gnb,kan,MaclJe00,rush_att,0,,,,,
player,201509280gnb,kan,MaclJe00,rush_yds,0,,,,,
player,201509280gnb,kan,MaclJe00,rush_td,0,,,,,
player,201509280gnb,kan,MaclJe00,rush_long,0,,,,,
player,201509280gnb,kan,MaclJe00,targets,11,,,,,
player,201509280gnb,kan,MaclJe00,rec,8,,,,,
player,201509280gnb,kan,MaclJe00,rec_yds,141,,,,,
player,201509280gnb,kan,MaclJe00,rec_td,1,,,,,
player,201509280gnb,kan,MaclJe00,rec_long,61,,,,,
player,201509280gnb,kan,MaclJe00,fumbles,0,,,,,
player,201509280gnb,kan,MaclJe00,fumbles_lost,0,,,,,
player,201509280gnb,kan,KelcTr00,pass_cmp,0,,,,,
player,201509280gnb,kan,KelcTr00,pass_att,0,,,,,
player,201509280gnb,kan,KelcTr00,pass_yds,0,,,,,
player,201509280gnb,kan,KelcTr00,pass_td,0,,,,,
player,201509280gnb,kan,KelcTr00,pass_int,0,,,,,
player,201509280gnb,kan,KelcTr00,pass_sacked,0,,,,,
player,201509280gnb,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201509280gnb,kan,KelcTr00,pass_long,0,,,,,
player,201509280gnb,kan,KelcTr00,pass_rating,,,,,,
player,201509280gnb,kan,KelcTr00,rush_att,0,,,,,
player,201509280gnb,kan,KelcTr00,rush_yds,0,,,,,
player,201509280gnb,kan,KelcTr00,rush_td,0,,,,,
player,201509280gnb,kan,KelcTr00,rush_long,0,,,,,
player,201509280gnb,kan,KelcTr00,targets,10,,,,,
player,201509280gnb,kan,KelcTr00,rec,6,,,,,
player,201509280gnb,kan,KelcTr00,rec_yds,80,,,,,
player,201509280gnb,kan,KelcTr00,rec_td,0,,,,,
player,201509280gnb,kan,KelcTr00,rec_long,38,,,,,
player,201509280gnb,kan,KelcTr00,fumbles,0,,,,,
player,201509280gnb,kan,KelcTr00,fumbles_lost,0,,,,,
player,201509280gnb,kan,ConlCh00,pass_cmp,0,,,,,
player,201509280gnb,kan,ConlCh00,pass_att,0,,,,,
player,201509280gnb,kan,ConlCh00,pass_yds,0,,,,,
player,201509280gnb,kan,ConlCh00,pass_td,0,,,,,
player,201509280gnb,kan,ConlCh00,pass_int,0,,,,,
player,201509280gnb,kan,ConlCh00,pass_sacked,0,,,,,
player,201509280gnb,kan,ConlCh00,pass_sacked_yds,0,,,,,
player,201509280gnb,kan,ConlCh00,pass_long,0,,,,,
player,201509280gnb,kan,ConlCh00,pass_rating,,,,,,
player,201509280gnb,kan,ConlCh00,rush_att,0,,,,,
player,201509280gnb,kan,ConlCh00,rush_yds,0,,,,,
player,201509280gnb,kan,ConlCh00,rush_td,0,,,,,
player,201509280gnb,kan,ConlCh00,rush_long,0,,,,,
player,201509280gnb,kan,ConlCh00,targets,1,,,,,
player,201509280gnb,kan,ConlCh00,rec,1,,,,,
player,201509280gnb,kan,ConlCh00,rec_yds,16,,,,,
player,201509280gnb,kan,ConlCh00,rec_td,0,,,,,
player,201509280gnb,kan,ConlCh00,rec_long,16,,,,,
player,201509280gnb,kan,ConlCh00,fumbles,0,,,,,
player,201509280gnb,kan,ConlCh00,fumbles_lost,0,,,,,
player,201509280gnb,kan,AvanJa00,pass_cmp,0,,,,,
player,201509280gnb,kan,AvanJa00,pass_att,0,,,,,
player,201509280gnb,kan,AvanJa00,pass_yds,0,,,,,
player,201509280gnb,kan,AvanJa00,pass_td,0,,,,,
player,201509280gnb,kan,AvanJa00,pass_int,0,,,,,
player,201509280gnb,kan,AvanJa00,pass_sacked,0,,,,,
player,201509280gnb,kan,AvanJa00,pass_sacked_yds,0,,,,,
player,201509280gnb,kan,AvanJa00,pass_long,0,,,,,
player,201509280gnb,kan,AvanJa00,pass_rating,,,,,,
player,201509280gnb,kan,AvanJa00,rush_att,0,,,,,
player,201509280gnb,kan,AvanJa00,rush_yds,0,,,,,
player,201509280gnb,kan,AvanJa00,rush_td,0,,,,,
player,201509280gnb,kan,AvanJa00,rush_long,0,,,,,
player,201509280gnb,kan,AvanJa00,targets,4,,,,,
player,201509280gnb,kan,AvanJa00,rec,2,,,,,
player,201509280gnb,kan,AvanJa00,rec_yds,8,,,,,
player,201509280gnb,kan,AvanJa00,rec_td,0,,,,,
player,201509280gnb,kan,AvanJa00,rec_long,5,,,,,
player,201509280gnb,kan,AvanJa00,fumbles,0,,,,,
player,201509280gnb,kan,AvanJa00,fumbles_lost,0,,,,,
player,201509280gnb,kan,HarrDe03,pass_cmp,0,,,,,
player,201509280gnb,kan,HarrDe03,pass_att,0,,,,,
player,201509280gnb,kan,HarrDe03,pass_yds,0,,,,,
player,201509280gnb,kan,HarrDe03,pass_td,0,,,,,
player,201509280gnb,kan,HarrDe03,pass_int,0,,,,,
player,201509280gnb,kan,HarrDe03,pass_sacked,0,,,,,
player,201509280gnb,kan,HarrDe03,pass_sacked_yds,0,,,,,
player,201509280gnb,kan,HarrDe03,pass_long,0,,,,,
player,201509280gnb,kan,HarrDe03,pass_rating,,,,,,
player,201509280gnb,kan,HarrDe03,rush_att,0,,,,,
player,201509280gnb,kan,HarrDe03,rush_yds,0,,,,,
player,201509280gnb,kan,HarrDe03,rush_td,0,,,,,
player,201509280gnb,kan,HarrDe03,rush_long,0,,,,,
player,201509280gnb,kan,HarrDe03,targets,1,,,,,
player,201509280gnb,kan,HarrDe03,rec,0,,,,,
player,201509280gnb,kan,HarrDe03,rec_yds,0,,,,,
player,201509280gnb,kan,HarrDe03,rec_td,0,,,,,
player,201509280gnb,kan,HarrDe03,rec_long,0,,,,,
player,201509280gnb,kan,HarrDe03,fumbles,0,,,,,
player,201509280gnb,kan,HarrDe03,fumbles_lost,0,,,,,
player,201509280gnb,kan,WilsAl02,pass_cmp,0,,,,,
player,201509280gnb,kan,WilsAl02,pass_att,0,,,,,
player,201509280gnb,kan,WilsAl02,pass_yds,0,,,,,
player,201509280gnb,kan,WilsAl02,pass_td,0,,,,,
player,201509280gnb,kan,WilsAl02,pass_int,0,,,,,
player,201509280gnb,kan,WilsAl02,pass_sacked,0,,,,,
player,201509280gnb,kan,WilsAl02,pass_sacked_yds,0,,,,,
player,201509280gnb,kan,WilsAl02,pass_long,0,,,,,
player,201509280gnb,kan,WilsAl02,pass_rating,,,,,,
player,201509280gnb,kan,WilsAl02,rush_att,0,,,,,
player,201509280gnb,kan,WilsAl02,rush_yds,0,,,,,
player,201509280gnb,kan,WilsAl02,rush_td,0,,,,,
player,201509280gnb,kan,WilsAl02,rush_long,0,,,,,
player,201509280gnb,kan,WilsAl02,targets,3,,,,,
player,201509280gnb,kan,WilsAl02,rec,0,,,,,
player,201509280gnb,kan,WilsAl02,rec_yds,0,,,,,
player,201509280gnb,kan,WilsAl02,rec_td,0,,,,,
player,201509280gnb,kan,WilsAl02,rec_long,0,,,,,
player,201509280gnb,kan,WilsAl02,fumbles,0,,,,,
player,201509280gnb,kan,WilsAl02,fumbles_lost,0,,,,,
player,201509280gnb,kan,WestCh01,pass_cmp,0,,,,,
player,201509280gnb,kan,WestCh01,pass_att,0,,,,,
player,201509280gnb,kan,WestCh01,pass_yds,0,,,,,
player,201509280gnb,kan,WestCh01,pass_td,0,,,,,
player,201509280gnb,kan,WestCh01,pass_int,0,,,,,
player,201509280gnb,kan,WestCh01,pass_sacked,0,,,,,
player,201509280gnb,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201509280gnb,kan,WestCh01,pass_long,0,,,,,
player,201509280gnb,kan,WestCh01,pass_rating,,,,,,
player,201509280gnb,kan,WestCh01,rush_att,0,,,,,
player,201509280gnb,kan,WestCh01,rush_yds,0,,,,,
player,201509280gnb,kan,WestCh01,rush_td,0,,,,,
player,201509280gnb,kan,WestCh01,rush_long,0,,,,,
player,201509280gnb,kan,WestCh01,targets,1,,,,,
player,201509280gnb,kan,WestCh01,rec,0,,,,,
player,201509280gnb,kan,WestCh01,rec_yds,0,,,,,
player,201509280gnb,kan,WestCh01,rec_td,0,,,,,
player,201509280gnb,kan,WestCh01,rec_long,0,,,,,
player,201509280gnb,kan,WestCh01,fumbles,0,,,,,
player,201509280gnb,kan,WestCh01,fumbles_lost,0,,,,,
player,201509280gnb,kan,ThomDe05,pass_cmp,0,,,,,
player,201509280gnb,kan,ThomDe05,pass_att,0,,,,,
player,201509280gnb,kan,ThomDe05,pass_yds,0,,,,,
player,201509280gnb,kan,ThomDe05,pass_td,0,,,,,
player,201509280gnb,kan,ThomDe05,pass_int,0,,,,,
player,201509280gnb,kan,ThomDe05,pass_sacked,0,,,,,
player,201509280gnb,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201509280gnb,kan,ThomDe05,pass_long,0,,,,,
player,201509280gnb,kan,ThomDe05,pass_rating,,,,,,
player,201509280gnb,kan,ThomDe05,rush_att,1,,,,,
player,201509280gnb,kan,ThomDe05,rush_yds,-7,,,,,
player,201509280gnb,kan,ThomDe05,rush_td,0,,,,,
player,201509280gnb,kan,ThomDe05,rush_long,-7,,,,,
player,201509280gnb,kan,ThomDe05,targets,2,,,,,
player,201509280gnb,kan,ThomDe05,rec,2,,,,,
player,201509280gnb,kan,ThomDe05,rec_yds,12,,,,,
player,201509280gnb,kan,ThomDe05,rec_td,0,,,,,
player,201509280gnb,kan,ThomDe05,rec_long,9,,,,,
player,201509280gnb,kan,ThomDe05,fumbles,0,,,,,
player,201509280gnb,kan,ThomDe05,fumbles_lost,0,,,,,
player,201509280gnb,gnb,RodgAa00,pass_cmp,24,,,,,
player,201509280gnb,gnb,RodgAa00,pass_att,35,,,,,
player,201509280gnb,gnb,RodgAa00,pass_yds,333,,,,,
player,201509280gnb,gnb,RodgAa00,pass_td,5,,,,,
player,201509280gnb,gnb,RodgAa00,pass_int,0,,,,,
player,201509280gnb,gnb,RodgAa00,pass_sacked,1,,,,,
player,201509280gnb,gnb,RodgAa00,pass_sacked_yds,8,,,,,
player,201509280gnb,gnb,RodgAa00,pass_long,52,,,,,
player,201509280gnb,gnb,RodgAa00,pass_rating,138.5,,,,,
player,201509280gnb,gnb,RodgAa00,rush_att,2,,,,,
player,201509280gnb,gnb,RodgAa00,rush_yds,16,,,,,
player,201509280gnb,gnb,RodgAa00,rush_td,0,,,,,
player,201509280gnb,gnb,RodgAa00,rush_long,11,,,,,
player,201509280gnb,gnb,RodgAa00,targets,0,,,,,
player,201509280gnb,gnb,RodgAa00,rec,0,,,,,
player,201509280gnb,gnb,RodgAa00,rec_yds,0,,,,,
player,201509280gnb,gnb,RodgAa00,rec_td,0,,,,,
player,201509280gnb,gnb,RodgAa00,rec_long,0,,,,,
player,201509280gnb,gnb,RodgAa00,fumbles,0,,,,,
player,201509280gnb,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201509280gnb,gnb,LacyEd00,pass_cmp,0,,,,,
player,201509280gnb,gnb,LacyEd00,pass_att,0,,,,,
player,201509280gnb,gnb,LacyEd00,pass_yds,0,,,,,
player,201509280gnb,gnb,LacyEd00,pass_td,0,,,,,
player,201509280gnb,gnb,LacyEd00,pass_int,0,,,,,
player,201509280gnb,gnb,LacyEd00,pass_sacked,0,,,,,
player,201509280gnb,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201509280gnb,gnb,LacyEd00,pass_long,0,,,,,
player,201509280gnb,gnb,LacyEd00,pass_rating,,,,,,
player,201509280gnb,gnb,LacyEd00,rush_att,10,,,,,
player,201509280gnb,gnb,LacyEd00,rush_yds,46,,,,,
player,201509280gnb,gnb,LacyEd00,rush_td,0,,,,,
player,201509280gnb,gnb,LacyEd00,rush_long,13,,,,,
player,201509280gnb,gnb,LacyEd00,targets,3,,,,,
player,201509280gnb,gnb,LacyEd00,rec,3,,,,,
player,201509280gnb,gnb,LacyEd00,rec_yds,41,,,,,
player,201509280gnb,gnb,LacyEd00,rec_td,0,,,,,
player,201509280gnb,gnb,LacyEd00,rec_long,26,,,,,
player,201509280gnb,gnb,LacyEd00,fumbles,0,,,,,
player,201509280gnb,gnb,LacyEd00,fumbles_lost,0,,,,,
player,201509280gnb,gnb,StarJa00,pass_cmp,0,,,,,
player,201509280gnb,gnb,StarJa00,pass_att,0,,,,,
player,201509280gnb,gnb,StarJa00,pass_yds,0,,,,,
player,201509280gnb,gnb,StarJa00,pass_td,0,,,,,
player,201509280gnb,gnb,StarJa00,pass_int,0,,,,,
player,201509280gnb,gnb,StarJa00,pass_sacked,0,,,,,
player,201509280gnb,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201509280gnb,gnb,StarJa00,pass_long,0,,,,,
player,201509280gnb,gnb,StarJa00,pass_rating,,,,,,
player,201509280gnb,gnb,StarJa00,rush_att,17,,,,,
player,201509280gnb,gnb,StarJa00,rush_yds,32,,,,,
player,201509280gnb,gnb,StarJa00,rush_td,0,,,,,
player,201509280gnb,gnb,StarJa00,rush_long,11,,,,,
player,201509280gnb,gnb,StarJa00,targets,1,,,,,
player,201509280gnb,gnb,StarJa00,rec,1,,,,,
player,201509280gnb,gnb,StarJa00,rec_yds,19,,,,,
player,201509280gnb,gnb,StarJa00,rec_td,0,,,,,
player,201509280gnb,gnb,StarJa00,rec_long,19,,,,,
player,201509280gnb,gnb,StarJa00,fumbles,0,,,,,
player,201509280gnb,gnb,StarJa00,fumbles_lost,0,,,,,
player,201509280gnb,gnb,HarrAl00,pass_cmp,0,,,,,
player,201509280gnb,gnb,HarrAl00,pass_att,0,,,,,
player,201509280gnb,gnb,HarrAl00,pass_yds,0,,,,,
player,201509280gnb,gnb,HarrAl00,pass_td,0,,,,,
player,201509280gnb,gnb,HarrAl00,pass_int,0,,,,,
player,201509280gnb,gnb,HarrAl00,pass_sacked,0,,,,,
player,201509280gnb,gnb,HarrAl00,pass_sacked_yds,0,,,,,
player,201509280gnb,gnb,HarrAl00,pass_long,0,,,,,
player,201509280gnb,gnb,HarrAl00,pass_rating,,,,,,
player,201509280gnb,gnb,HarrAl00,rush_att,2,,,,,
player,201509280gnb,gnb,HarrAl00,rush_yds,17,,,,,
player,201509280gnb,gnb,HarrAl00,rush_td,0,,,,,
player,201509280gnb,gnb,HarrAl00,rush_long,16,,,,,
player,201509280gnb,gnb,HarrAl00,targets,0,,,,,
player,201509280gnb,gnb,HarrAl00,rec,0,,,,,
player,201509280gnb,gnb,HarrAl00,rec_yds,0,,,,,
player,201509280gnb,gnb,HarrAl00,rec_td,0,,,,,
player,201509280gnb,gnb,HarrAl00,rec_long,0,,,,,
player,201509280gnb,gnb,HarrAl00,fumbles,0,,,,,
player,201509280gnb,gnb,HarrAl00,fumbles_lost,0,,,,,
player,201509280gnb,gnb,CobbRa00,pass_cmp,0,,,,,
player,201509280gnb,gnb,CobbRa00,pass_att,0,,,,,
player,201509280gnb,gnb,CobbRa00,pass_yds,0,,,,,
player,201509280gnb,gnb,CobbRa00,pass_td,0,,,,,
player,201509280gnb,gnb,CobbRa00,pass_int,0,,,,,
player,201509280gnb,gnb,CobbRa00,pass_sacked,0,,,,,
player,201509280gnb,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201509280gnb,gnb,CobbRa00,pass_long,0,,,,,
player,201509280gnb,gnb,CobbRa00,pass_rating,,,,,,
player,201509280gnb,gnb,CobbRa00,rush_att,1,,,,,
player,201509280gnb,gnb,CobbRa00,rush_yds,12,,,,,
player,201509280gnb,gnb,CobbRa00,rush_td,0,,,,,
player,201509280gnb,gnb,CobbRa00,rush_long,12,,,,,
player,201509280gnb,gnb,CobbRa00,targets,12,,,,,
player,201509280gnb,gnb,CobbRa00,rec,7,,,,,
player,201509280gnb,gnb,CobbRa00,rec_yds,91,,,,,
player,201509280gnb,gnb,CobbRa00,rec_td,3,,,,,
player,201509280gnb,gnb,CobbRa00,rec_long,29,,,,,
player,201509280gnb,gnb,CobbRa00,fumbles,0,,,,,
player,201509280gnb,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201509280gnb,gnb,JoneJa04,pass_cmp,0,,,,,
player,201509280gnb,gnb,JoneJa04,pass_att,0,,,,,
player,201509280gnb,gnb,JoneJa04,pass_yds,0,,,,,
player,201509280gnb,gnb,JoneJa04,pass_td,0,,,,,
player,201509280gnb,gnb,JoneJa04,pass_int,0,,,,,
player,201509280gnb,gnb,JoneJa04,pass_sacked,0,,,,,
player,201509280gnb,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201509280gnb,gnb,JoneJa04,pass_long,0,,,,,
player,201509280gnb,gnb,JoneJa04,pass_rating,,,,,,
player,201509280gnb,gnb,JoneJa04,rush_att,0,,,,,
player,201509280gnb,gnb,JoneJa04,rush_yds,0,,,,,
player,201509280gnb,gnb,JoneJa04,rush_td,0,,,,,
player,201509280gnb,gnb,JoneJa04,rush_long,0,,,,,
player,201509280gnb,gnb,JoneJa04,targets,8,,,,,
player,201509280gnb,gnb,JoneJa04,rec,7,,,,,
player,201509280gnb,gnb,JoneJa04,rec_yds,139,,,,,
player,201509280gnb,gnb,JoneJa04,rec_td,1,,,,,
player,201509280gnb,gnb,JoneJa04,rec_long,52,,,,,
player,201509280gnb,gnb,JoneJa04,fumbles,0,,,,,
player,201509280gnb,gnb,JoneJa04,fumbles_lost,0,,,,,
player,201509280gnb,gnb,RodgRi00,pass_cmp,0,,,,,
player,201509280gnb,gnb,RodgRi00,pass_att,0,,,,,
player,201509280gnb,gnb,RodgRi00,pass_yds,0,,,,,
player,201509280gnb,gnb,RodgRi00,pass_td,0,,,,,
player,201509280gnb,gnb,RodgRi00,pass_int,0,,,,,
player,201509280gnb,gnb,RodgRi00,pass_sacked,0,,,,,
player,201509280gnb,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201509280gnb,gnb,RodgRi00,pass_long,0,,,,,
player,201509280gnb,gnb,RodgRi00,pass_rating,,,,,,
player,201509280gnb,gnb,RodgRi00,rush_att,0,,,,,
player,201509280gnb,gnb,RodgRi00,rush_yds,0,,,,,
player,201509280gnb,gnb,RodgRi00,rush_td,0,,,,,
player,201509280gnb,gnb,RodgRi00,rush_long,0,,,,,
player,201509280gnb,gnb,RodgRi00,targets,4,,,,,
player,201509280gnb,gnb,RodgRi00,rec,2,,,,,
player,201509280gnb,gnb,RodgRi00,rec_yds,15,,,,,
player,201509280gnb,gnb,RodgRi00,rec_td,0,,,,,
player,201509280gnb,gnb,RodgRi00,rec_long,8,,,,,
player,201509280gnb,gnb,RodgRi00,fumbles,0,,,,,
player,201509280gnb,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201509280gnb,gnb,MontTy01,pass_cmp,0,,,,,
player,201509280gnb,gnb,MontTy01,pass_att,0,,,,,
player,201509280gnb,gnb,MontTy01,pass_yds,0,,,,,
player,201509280gnb,gnb,MontTy01,pass_td,0,,,,,
player,201509280gnb,gnb,MontTy01,pass_int,0,,,,,
player,201509280gnb,gnb,MontTy01,pass_sacked,0,,,,,
player,201509280gnb,gnb,MontTy01,pass_sacked_yds,0,,,,,
player,201509280gnb,gnb,MontTy01,pass_long,0,,,,,
player,201509280gnb,gnb,MontTy01,pass_rating,,,,,,
player,201509280gnb,gnb,MontTy01,rush_att,0,,,,,
player,201509280gnb,gnb,MontTy01,rush_yds,0,,,,,
player,201509280gnb,gnb,MontTy01,rush_td,0,,,,,
player,201509280gnb,gnb,MontTy01,rush_long,0,,,,,
player,201509280gnb,gnb,MontTy01,targets,2,,,,,
player,201509280gnb,gnb,MontTy01,rec,2,,,,,
player,201509280gnb,gnb,MontTy01,rec_yds,14,,,,,
player,201509280gnb,gnb,MontTy01,rec_td,1,,,,,
player,201509280gnb,gnb,MontTy01,rec_long,8,,,,,
player,201509280gnb,gnb,MontTy01,fumbles,0,,,,,
player,201509280gnb,gnb,MontTy01,fumbles_lost,0,,,,,
player,201509280gnb,gnb,QuarAn00,pass_cmp,0,,,,,
player,201509280gnb,gnb,QuarAn00,pass_att,0,,,,,
player,201509280gnb,gnb,QuarAn00,pass_yds,0,,,,,
player,201509280gnb,gnb,QuarAn00,pass_td,0,,,,,
player,201509280gnb,gnb,QuarAn00,pass_int,0,,,,,
player,201509280gnb,gnb,QuarAn00,pass_sacked,0,,,,,
player,201509280gnb,gnb,QuarAn00,pass_sacked_yds,0,,,,,
player,201509280gnb,gnb,QuarAn00,pass_long,0,,,,,
player,201509280gnb,gnb,QuarAn00,pass_rating,,,,,,
player,201509280gnb,gnb,QuarAn00,rush_att,0,,,,,
player,201509280gnb,gnb,QuarAn00,rush_yds,0,,,,,
player,201509280gnb,gnb,QuarAn00,rush_td,0,,,,,
player,201509280gnb,gnb,QuarAn00,rush_long,0,,,,,
player,201509280gnb,gnb,QuarAn00,targets,2,,,,,
player,201509280gnb,gnb,QuarAn00,rec,2,,,,,
player,201509280gnb,gnb,QuarAn00,rec_yds,14,,,,,
player,201509280gnb,gnb,QuarAn00,rec_td,0,,,,,
player,201509280gnb,gnb,QuarAn00,rec_long,7,,,,,
player,201509280gnb,gnb,QuarAn00,fumbles,0,,,,,
player,201509280gnb,gnb,QuarAn00,fumbles_lost,0,,,,,
player,201509280gnb,gnb,JaniJe00,pass_cmp,0,,,,,
player,201509280gnb,gnb,JaniJe00,pass_att,0,,,,,
player,201509280gnb,gnb,JaniJe00,pass_yds,0,,,,,
player,201509280gnb,gnb,JaniJe00,pass_td,0,,,,,
player,201509280gnb,gnb,JaniJe00,pass_int,0,,,,,
player,201509280gnb,gnb,JaniJe00,pass_sacked,0,,,,,
player,201509280gnb,gnb,JaniJe00,pass_sacked_yds,0,,,,,
player,201509280gnb,gnb,JaniJe00,pass_long,0,,,,,
player,201509280gnb,gnb,JaniJe00,pass_rating,,,,,,
player,201509280gnb,gnb,JaniJe00,rush_att,0,,,,,
player,201509280gnb,gnb,JaniJe00,rush_yds,0,,,,,
player,201509280gnb,gnb,JaniJe00,rush_td,0,,,,,
player,201509280gnb,gnb,JaniJe00,rush_long,0,,,,,
player,201509280gnb,gnb,JaniJe00,targets,1,,,,,
player,201509280gnb,gnb,JaniJe00,rec,0,,,,,
player,201509280gnb,gnb,JaniJe00,rec_yds,0,,,,,
player,201509280gnb,gnb,JaniJe00,rec_td,0,,,,,
player,201509280gnb,gnb,JaniJe00,rec_long,0,,,,,
player,201509280gnb,gnb,JaniJe00,fumbles,0,,,,,
player,201509280gnb,gnb,JaniJe00,fumbles_lost,0,,,,,
player,201509280gnb,gnb,AdamDa01,pass_cmp,0,,,,,
player,201509280gnb,gnb,AdamDa01,pass_att,0,,,,,
player,201509280gnb,gnb,AdamDa01,pass_yds,0,,,,,
player,201509280gnb,gnb,AdamDa01,pass_td,0,,,,,
player,201509280gnb,gnb,AdamDa01,pass_int,0,,,,,
player,201509280gnb,gnb,AdamDa01,pass_sacked,0,,,,,
player,201509280gnb,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201509280gnb,gnb,AdamDa01,pass_long,0,,,,,
player,201509280gnb,gnb,AdamDa01,pass_rating,,,,,,
player,201509280gnb,gnb,AdamDa01,rush_att,0,,,,,
player,201509280gnb,gnb,AdamDa01,rush_yds,0,,,,,
