game,2015,11,20151122,201511220rav,ram,"St. Louis Rams",13,rav,"Baltimore Ravens",16
player,201511220rav,ram,CunnBe01,rush_long,0,,,,,
player,201511220rav,ram,CunnBe01,targets,2,,,,,
player,201511220rav,ram,CunnBe01,rec,1,,,,,
player,201511220rav,ram,CunnBe01,rec_yds,20,,,,,
player,201511220rav,ram,CunnBe01,rec_td,0,,,,,
player,201511220rav,ram,CunnBe01,rec_long,20,,,,,
player,201511220rav,ram,CunnBe01,fumbles,0,,,,,
player,201511220rav,ram,CunnBe01,fumbles_lost,0,,,,,
player,201511220rav,ram,WelkWe00,pass_cmp,0,,,,,
player,201511220rav,ram,WelkWe00,pass_att,0,,,,,
player,201511220rav,ram,WelkWe00,pass_yds,0,,,,,
player,201511220rav,ram,WelkWe00,pass_td,0,,,,,
player,201511220rav,ram,WelkWe00,pass_int,0,,,,,
player,201511220rav,ram,WelkWe00,pass_sacked,0,,,,,
player,201511220rav,ram,WelkWe00,pass_sacked_yds,0,,,,,
player,201511220rav,ram,WelkWe00,pass_long,0,,,,,
player,201511220rav,ram,WelkWe00,pass_rating,,,,,,
player,201511220rav,ram,WelkWe00,rush_att,0,,,,,
player,201511220rav,ram,WelkWe00,rush_yds,0,,,,,
player,201511220rav,ram,WelkWe00,rush_td,0,,,,,
player,201511220rav,ram,WelkWe00,rush_long,0,,,,,
player,201511220rav,ram,WelkWe00,targets,4,,,,,
player,201511220rav,ram,WelkWe00,rec,2,,,,,
player,201511220rav,ram,WelkWe00,rec_yds,13,,,,,
player,201511220rav,ram,WelkWe00,rec_td,0,,,,,
player,201511220rav,ram,WelkWe00,rec_long,7,,,,,
player,201511220rav,ram,WelkWe00,fumbles,0,,,,,
player,201511220rav,ram,WelkWe00,fumbles_lost,0,,,,,
player,201511220rav,rav,FlacJo00,pass_cmp,27,,,,,
player,201511220rav,rav,FlacJo00,pass_att,44,,,,,
player,201511220rav,rav,FlacJo00,pass_yds,299,,,,,
player,201511220rav,rav,FlacJo00,pass_td,1,,,,,
