game,2015,13,20151206,201512060min,sea,"Seattle Seahawks",38,min,"Minnesota Vikings",7
player,201512060min,sea,TukuWi00,rec,0,,,,,
player,201512060min,sea,TukuWi00,rec_yds,0,,,,,
player,201512060min,sea,TukuWi00,rec_td,0,,,,,
player,201512060min,sea,TukuWi00,rec_long,0,,,,,
player,201512060min,sea,TukuWi00,fumbles,0,,,,,
player,201512060min,sea,TukuWi00,fumbles_lost,0,,,,,
player,201512060min,sea,BaldDo00,pass_cmp,0,,,,,
player,201512060min,sea,BaldDo00,pass_att,0,,,,,
player,201512060min,sea,BaldDo00,pass_yds,0,,,,,
player,201512060min,sea,BaldDo00,pass_td,0,,,,,
player,201512060min,sea,BaldDo00,pass_int,0,,,,,
player,201512060min,sea,BaldDo00,pass_sacked,0,,,,,
player,201512060min,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201512060min,sea,BaldDo00,pass_long,0,,,,,
player,201512060min,sea,BaldDo00,pass_rating,,,,,,
player,201512060min,sea,BaldDo00,rush_att,0,,,,,
player,201512060min,sea,BaldDo00,rush_yds,0,,,,,
player,201512060min,sea,BaldDo00,rush_td,0,,,,,
player,201512060min,sea,BaldDo00,rush_long,0,,,,,
player,201512060min,sea,BaldDo00,targets,7,,,,,
player,201512060min,sea,BaldDo00,rec,5,,,,,
player,201512060min,sea,BaldDo00,rec_yds,94,,,,,
player,201512060min,sea,BaldDo00,rec_td,2,,,,,
player,201512060min,sea,BaldDo00,rec_long,53,,,,,
player,201512060min,sea,BaldDo00,fumbles,0,,,,,
player,201512060min,sea,BaldDo00,fumbles_lost,0,,,,,
player,201512060min,sea,WillLu00,pass_cmp,0,,,,,
player,201512060min,sea,WillLu00,pass_att,0,,,,,
player,201512060min,sea,WillLu00,pass_yds,0,,,,,
player,201512060min,sea,WillLu00,pass_td,0,,,,,
player,201512060min,sea,WillLu00,pass_int,0,,,,,
player,201512060min,sea,WillLu00,pass_sacked,0,,,,,
player,201512060min,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201512060min,sea,WillLu00,pass_long,0,,,,,
player,201512060min,sea,WillLu00,pass_rating,,,,,,
player,201512060min,sea,WillLu00,rush_att,0,,,,,
player,201512060min,sea,WillLu00,rush_yds,0,,,,,
player,201512060min,sea,WillLu00,rush_td,0,,,,,
player,201512060min,sea,WillLu00,rush_long,0,,,,,
player,201512060min,sea,WillLu00,targets,3,,,,,
player,201512060min,sea,WillLu00,rec,2,,,,,
player,201512060min,sea,WillLu00,rec_yds,36,,,,,
player,201512060min,sea,WillLu00,rec_td,0,,,,,
player,201512060min,sea,WillLu00,rec_long,22,,,,,
player,201512060min,sea,WillLu00,fumbles,0,,,,,
player,201512060min,sea,WillLu00,fumbles_lost,0,,,,,
player,201512060min,sea,HelfCo00,pass_cmp,0,,,,,
player,201512060min,sea,HelfCo00,pass_att,0,,,,,
player,201512060min,sea,HelfCo00,pass_yds,0,,,,,
player,201512060min,sea,HelfCo00,pass_td,0,,,,,
player,201512060min,sea,HelfCo00,pass_int,0,,,,,
player,201512060min,sea,HelfCo00,pass_sacked,0,,,,,
player,201512060min,sea,HelfCo00,pass_sacked_yds,0,,,,,
player,201512060min,sea,HelfCo00,pass_long,0,,,,,
player,201512060min,sea,HelfCo00,pass_rating,,,,,,
player,201512060min,sea,HelfCo00,rush_att,0,,,,,
player,201512060min,sea,HelfCo00,rush_yds,0,,,,,
player,201512060min,sea,HelfCo00,rush_td,0,,,,,
player,201512060min,sea,HelfCo00,rush_long,0,,,,,
player,201512060min,sea,HelfCo00,targets,4,,,,,
player,201512060min,sea,HelfCo00,rec,1,,,,,
player,201512060min,sea,HelfCo00,rec_yds,13,,,,,
player,201512060min,sea,HelfCo00,rec_td,0,,,,,
player,201512060min,sea,HelfCo00,rec_long,13,,,,,
player,201512060min,sea,HelfCo00,fumbles,0,,,,,
player,201512060min,sea,HelfCo00,fumbles_lost,0,,,,,
player,201512060min,sea,DaniB.00,pass_cmp,0,,,,,
player,201512060min,sea,DaniB.00,pass_att,0,,,,,
player,201512060min,sea,DaniB.00,pass_yds,0,,,,,
player,201512060min,sea,DaniB.00,pass_td,0,,,,,
player,201512060min,sea,DaniB.00,pass_int,0,,,,,
player,201512060min,sea,DaniB.00,pass_sacked,0,,,,,
player,201512060min,sea,DaniB.00,pass_sacked_yds,0,,,,,
player,201512060min,sea,DaniB.00,pass_long,0,,,,,
player,201512060min,sea,DaniB.00,pass_rating,,,,,,
player,201512060min,sea,DaniB.00,rush_att,0,,,,,
player,201512060min,sea,DaniB.00,rush_yds,0,,,,,
player,201512060min,sea,DaniB.00,rush_td,0,,,,,
player,201512060min,sea,DaniB.00,rush_long,0,,,,,
player,201512060min,sea,DaniB.00,targets,1,,,,,
player,201512060min,sea,DaniB.00,rec,1,,,,,
player,201512060min,sea,DaniB.00,rec_yds,6,,,,,
player,201512060min,sea,DaniB.00,rec_td,0,,,,,
player,201512060min,sea,DaniB.00,rec_long,6,,,,,
player,201512060min,sea,DaniB.00,fumbles,0,,,,,
player,201512060min,sea,DaniB.00,fumbles_lost,0,,,,,
player,201512060min,sea,KearJe01,pass_cmp,0,,,,,
player,201512060min,sea,KearJe01,pass_att,0,,,,,
player,201512060min,sea,KearJe01,pass_yds,0,,,,,
player,201512060min,sea,KearJe01,pass_td,0,,,,,
player,201512060min,sea,KearJe01,pass_int,0,,,,,
player,201512060min,sea,KearJe01,pass_sacked,0,,,,,
player,201512060min,sea,KearJe01,pass_sacked_yds,0,,,,,
player,201512060min,sea,KearJe01,pass_long,0,,,,,
player,201512060min,sea,KearJe01,pass_rating,,,,,,
player,201512060min,sea,KearJe01,rush_att,0,,,,,
player,201512060min,sea,KearJe01,rush_yds,0,,,,,
player,201512060min,sea,KearJe01,rush_td,0,,,,,
player,201512060min,sea,KearJe01,rush_long,0,,,,,
player,201512060min,sea,KearJe01,targets,1,,,,,
player,201512060min,sea,KearJe01,rec,0,,,,,
player,201512060min,sea,KearJe01,rec_yds,0,,,,,
player,201512060min,sea,KearJe01,rec_td,0,,,,,
player,201512060min,sea,KearJe01,rec_long,0,,,,,
player,201512060min,sea,KearJe01,fumbles,0,,,,,
player,201512060min,sea,KearJe01,fumbles_lost,0,,,,,
player,201512060min,min,BridTe00,pass_cmp,17,,,,,
player,201512060min,min,BridTe00,pass_att,28,,,,,
player,201512060min,min,BridTe00,pass_yds,118,,,,,
player,201512060min,min,BridTe00,pass_td,0,,,,,
player,201512060min,min,BridTe00,pass_int,1,,,,,
player,201512060min,min,BridTe00,pass_sacked,4,,,,,
player,201512060min,min,BridTe00,pass_sacked_yds,24,,,,,
player,201512060min,min,BridTe00,pass_long,25,,,,,
player,201512060min,min,BridTe00,pass_rating,55.4,,,,,
player,201512060min,min,BridTe00,rush_att,1,,,,,
player,201512060min,min,BridTe00,rush_yds,2,,,,,
player,201512060min,min,BridTe00,rush_td,0,,,,,
player,201512060min,min,BridTe00,rush_long,2,,,,,
player,201512060min,min,BridTe00,targets,0,,,,,
player,201512060min,min,BridTe00,rec,0,,,,,
player,201512060min,min,BridTe00,rec_yds,0,,,,,
player,201512060min,min,BridTe00,rec_td,0,,,,,
player,201512060min,min,BridTe00,rec_long,0,,,,,
player,201512060min,min,BridTe00,fumbles,1,,,,,
player,201512060min,min,BridTe00,fumbles_lost,0,,,,,
player,201512060min,min,McKiJe00,pass_cmp,0,,,,,
player,201512060min,min,McKiJe00,pass_att,0,,,,,
player,201512060min,min,McKiJe00,pass_yds,0,,,,,
player,201512060min,min,McKiJe00,pass_td,0,,,,,
player,201512060min,min,McKiJe00,pass_int,0,,,,,
player,201512060min,min,McKiJe00,pass_sacked,0,,,,,
player,201512060min,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201512060min,min,McKiJe00,pass_long,0,,,,,
player,201512060min,min,McKiJe00,pass_rating,,,,,,
player,201512060min,min,McKiJe00,rush_att,4,,,,,
player,201512060min,min,McKiJe00,rush_yds,18,,,,,
player,201512060min,min,McKiJe00,rush_td,0,,,,,
player,201512060min,min,McKiJe00,rush_long,12,,,,,
player,201512060min,min,McKiJe00,targets,6,,,,,
player,201512060min,min,McKiJe00,rec,3,,,,,
player,201512060min,min,McKiJe00,rec_yds,6,,,,,
player,201512060min,min,McKiJe00,rec_td,0,,,,,
player,201512060min,min,McKiJe00,rec_long,7,,,,,
player,201512060min,min,McKiJe00,fumbles,0,,,,,
player,201512060min,min,McKiJe00,fumbles_lost,0,,,,,
player,201512060min,min,PeteAd01,pass_cmp,0,,,,,
player,201512060min,min,PeteAd01,pass_att,0,,,,,
player,201512060min,min,PeteAd01,pass_yds,0,,,,,
player,201512060min,min,PeteAd01,pass_td,0,,,,,
player,201512060min,min,PeteAd01,pass_int,0,,,,,
player,201512060min,min,PeteAd01,pass_sacked,0,,,,,
player,201512060min,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201512060min,min,PeteAd01,pass_long,0,,,,,
player,201512060min,min,PeteAd01,pass_rating,,,,,,
player,201512060min,min,PeteAd01,rush_att,8,,,,,
player,201512060min,min,PeteAd01,rush_yds,18,,,,,
player,201512060min,min,PeteAd01,rush_td,0,,,,,
player,201512060min,min,PeteAd01,rush_long,5,,,,,
player,201512060min,min,PeteAd01,targets,4,,,,,
player,201512060min,min,PeteAd01,rec,4,,,,,
player,201512060min,min,PeteAd01,rec_yds,6,,,,,
player,201512060min,min,PeteAd01,rec_td,0,,,,,
player,201512060min,min,PeteAd01,rec_long,3,,,,,
player,201512060min,min,PeteAd01,fumbles,0,,,,,
player,201512060min,min,PeteAd01,fumbles_lost,0,,,,,
player,201512060min,min,WallMi00,pass_cmp,0,,,,,
player,201512060min,min,WallMi00,pass_att,0,,,,,
player,201512060min,min,WallMi00,pass_yds,0,,,,,
player,201512060min,min,WallMi00,pass_td,0,,,,,
player,201512060min,min,WallMi00,pass_int,0,,,,,
player,201512060min,min,WallMi00,pass_sacked,0,,,,,
player,201512060min,min,WallMi00,pass_sacked_yds,0,,,,,
player,201512060min,min,WallMi00,pass_long,0,,,,,
player,201512060min,min,WallMi00,pass_rating,,,,,,
player,201512060min,min,WallMi00,rush_att,0,,,,,
player,201512060min,min,WallMi00,rush_yds,0,,,,,
player,201512060min,min,WallMi00,rush_td,0,,,,,
player,201512060min,min,WallMi00,rush_long,0,,,,,
player,201512060min,min,WallMi00,targets,3,,,,,
player,201512060min,min,WallMi00,rec,2,,,,,
player,201512060min,min,WallMi00,rec_yds,43,,,,,
player,201512060min,min,WallMi00,rec_td,0,,,,,
player,201512060min,min,WallMi00,rec_long,25,,,,,
player,201512060min,min,WallMi00,fumbles,0,,,,,
player,201512060min,min,WallMi00,fumbles_lost,0,,,,,
player,201512060min,min,WrigJa02,pass_cmp,0,,,,,
player,201512060min,min,WrigJa02,pass_att,0,,,,,
player,201512060min,min,WrigJa02,pass_yds,0,,,,,
player,201512060min,min,WrigJa02,pass_td,0,,,,,
player,201512060min,min,WrigJa02,pass_int,0,,,,,
player,201512060min,min,WrigJa02,pass_sacked,0,,,,,
player,201512060min,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201512060min,min,WrigJa02,pass_long,0,,,,,
player,201512060min,min,WrigJa02,pass_rating,,,,,,
player,201512060min,min,WrigJa02,rush_att,0,,,,,
player,201512060min,min,WrigJa02,rush_yds,0,,,,,
player,201512060min,min,WrigJa02,rush_td,0,,,,,
player,201512060min,min,WrigJa02,rush_long,0,,,,,
player,201512060min,min,WrigJa02,targets,2,,,,,
player,201512060min,min,WrigJa02,rec,2,,,,,
player,201512060min,min,WrigJa02,rec_yds,24,,,,,
player,201512060min,min,WrigJa02,rec_td,0,,,,,
player,201512060min,min,WrigJa02,rec_long,17,,,,,
player,201512060min,min,WrigJa02,fumbles,0,,,,,
player,201512060min,min,WrigJa02,fumbles_lost,0,,,,,
player,201512060min,min,RudoKy00,pass_cmp,0,,,,,
player,201512060min,min,RudoKy00,pass_att,0,,,,,
player,201512060min,min,RudoKy00,pass_yds,0,,,,,
player,201512060min,min,RudoKy00,pass_td,0,,,,,
player,201512060min,min,RudoKy00,pass_int,0,,,,,
player,201512060min,min,RudoKy00,pass_sacked,0,,,,,
player,201512060min,min,RudoKy00,pass_sacked_yds,0,,,,,
