game,2017,4,20171001,201710010dal,ram,"Los Angeles Rams",35,dal,"Dallas Cowboys",30
player,201710010dal,ram,BrowMa03,pass_td,0,,,,,
player,201710010dal,ram,BrowMa03,pass_int,0,,,,,
player,201710010dal,ram,BrowMa03,pass_sacked,0,,,,,
player,201710010dal,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201710010dal,ram,BrowMa03,pass_long,0,,,,,
player,201710010dal,ram,BrowMa03,pass_rating,,,,,,
player,201710010dal,ram,BrowMa03,rush_att,1,,,,,
player,201710010dal,ram,BrowMa03,rush_yds,0,,,,,
player,201710010dal,ram,BrowMa03,rush_td,0,,,,,
player,201710010dal,ram,BrowMa03,rush_long,0,,,,,
player,201710010dal,ram,BrowMa03,targets,1,,,,,
player,201710010dal,ram,BrowMa03,rec,1,,,,,
player,201710010dal,ram,BrowMa03,rec_yds,14,,,,,
player,201710010dal,ram,BrowMa03,rec_td,0,,,,,
player,201710010dal,ram,BrowMa03,rec_long,14,,,,,
player,201710010dal,ram,BrowMa03,fumbles,0,,,,,
player,201710010dal,ram,BrowMa03,fumbles_lost,0,,,,,
player,201710010dal,ram,EverGe00,pass_cmp,0,,,,,
player,201710010dal,ram,EverGe00,pass_att,0,,,,,
player,201710010dal,ram,EverGe00,pass_yds,0,,,,,
player,201710010dal,ram,EverGe00,pass_td,0,,,,,
player,201710010dal,ram,EverGe00,pass_int,0,,,,,
player,201710010dal,ram,EverGe00,pass_sacked,0,,,,,
player,201710010dal,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201710010dal,ram,EverGe00,pass_long,0,,,,,
player,201710010dal,ram,EverGe00,pass_rating,,,,,,
player,201710010dal,ram,EverGe00,rush_att,0,,,,,
player,201710010dal,ram,EverGe00,rush_yds,0,,,,,
player,201710010dal,ram,EverGe00,rush_td,0,,,,,
player,201710010dal,ram,EverGe00,rush_long,0,,,,,
player,201710010dal,ram,EverGe00,targets,3,,,,,
player,201710010dal,ram,EverGe00,rec,1,,,,,
player,201710010dal,ram,EverGe00,rec_yds,8,,,,,
player,201710010dal,ram,EverGe00,rec_td,0,,,,,
player,201710010dal,ram,EverGe00,rec_long,8,,,,,
player,201710010dal,ram,EverGe00,fumbles,0,,,,,
player,201710010dal,ram,EverGe00,fumbles_lost,0,,,,,
player,201710010dal,dal,PresDa01,pass_cmp,20,,,,,
player,201710010dal,dal,PresDa01,pass_att,36,,,,,
player,201710010dal,dal,PresDa01,pass_yds,252,,,,,
player,201710010dal,dal,PresDa01,pass_td,3,,,,,
player,201710010dal,dal,PresDa01,pass_int,1,,,,,
player,201710010dal,dal,PresDa01,pass_sacked,2,,,,,
player,201710010dal,dal,PresDa01,pass_sacked_yds,1,,,,,
player,201710010dal,dal,PresDa01,pass_long,36,,,,,
player,201710010dal,dal,PresDa01,pass_rating,93.8,,,,,
player,201710010dal,dal,PresDa01,rush_att,3,,,,,
player,201710010dal,dal,PresDa01,rush_yds,25,,,,,
player,201710010dal,dal,PresDa01,rush_td,0,,,,,
player,201710010dal,dal,PresDa01,rush_long,12,,,,,
player,201710010dal,dal,PresDa01,targets,0,,,,,
player,201710010dal,dal,PresDa01,rec,0,,,,,
player,201710010dal,dal,PresDa01,rec_yds,0,,,,,
player,201710010dal,dal,PresDa01,rec_td,0,,,,,
player,201710010dal,dal,PresDa01,rec_long,0,,,,,
player,201710010dal,dal,PresDa01,fumbles,0,,,,,
player,201710010dal,dal,PresDa01,fumbles_lost,0,,,,,
player,201710010dal,dal,ElliEz00,pass_cmp,0,,,,,
player,201710010dal,dal,ElliEz00,pass_att,0,,,,,
player,201710010dal,dal,ElliEz00,pass_yds,0,,,,,
player,201710010dal,dal,ElliEz00,pass_td,0,,,,,
player,201710010dal,dal,ElliEz00,pass_int,0,,,,,
player,201710010dal,dal,ElliEz00,pass_sacked,0,,,,,
player,201710010dal,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201710010dal,dal,ElliEz00,pass_long,0,,,,,
player,201710010dal,dal,ElliEz00,pass_rating,,,,,,
player,201710010dal,dal,ElliEz00,rush_att,21,,,,,
player,201710010dal,dal,ElliEz00,rush_yds,85,,,,,
player,201710010dal,dal,ElliEz00,rush_td,1,,,,,
player,201710010dal,dal,ElliEz00,rush_long,16,,,,,
player,201710010dal,dal,ElliEz00,targets,5,,,,,
player,201710010dal,dal,ElliEz00,rec,4,,,,,
player,201710010dal,dal,ElliEz00,rec_yds,54,,,,,
player,201710010dal,dal,ElliEz00,rec_td,1,,,,,
player,201710010dal,dal,ElliEz00,rec_long,31,,,,,
player,201710010dal,dal,ElliEz00,fumbles,0,,,,,
player,201710010dal,dal,ElliEz00,fumbles_lost,0,,,,,
player,201710010dal,dal,MorrAl00,pass_cmp,0,,,,,
player,201710010dal,dal,MorrAl00,pass_att,0,,,,,
player,201710010dal,dal,MorrAl00,pass_yds,0,,,,,
player,201710010dal,dal,MorrAl00,pass_td,0,,,,,
player,201710010dal,dal,MorrAl00,pass_int,0,,,,,
player,201710010dal,dal,MorrAl00,pass_sacked,0,,,,,
player,201710010dal,dal,MorrAl00,pass_sacked_yds,0,,,,,
player,201710010dal,dal,MorrAl00,pass_long,0,,,,,
player,201710010dal,dal,MorrAl00,pass_rating,,,,,,
player,201710010dal,dal,MorrAl00,rush_att,2,,,,,
player,201710010dal,dal,MorrAl00,rush_yds,76,,,,,
player,201710010dal,dal,MorrAl00,rush_td,0,,,,,
player,201710010dal,dal,MorrAl00,rush_long,70,,,,,
player,201710010dal,dal,MorrAl00,targets,0,,,,,
player,201710010dal,dal,MorrAl00,rec,0,,,,,
player,201710010dal,dal,MorrAl00,rec_yds,0,,,,,
player,201710010dal,dal,MorrAl00,rec_td,0,,,,,
player,201710010dal,dal,MorrAl00,rec_long,0,,,,,
player,201710010dal,dal,MorrAl00,fumbles,0,,,,,
player,201710010dal,dal,MorrAl00,fumbles_lost,0,,,,,
player,201710010dal,dal,SwitRy00,pass_cmp,0,,,,,
player,201710010dal,dal,SwitRy00,pass_att,0,,,,,
player,201710010dal,dal,SwitRy00,pass_yds,0,,,,,
player,201710010dal,dal,SwitRy00,pass_td,0,,,,,
player,201710010dal,dal,SwitRy00,pass_int,0,,,,,
player,201710010dal,dal,SwitRy00,pass_sacked,0,,,,,
player,201710010dal,dal,SwitRy00,pass_sacked_yds,0,,,,,
player,201710010dal,dal,SwitRy00,pass_long,0,,,,,
player,201710010dal,dal,SwitRy00,pass_rating,,,,,,
player,201710010dal,dal,SwitRy00,rush_att,1,,,,,
player,201710010dal,dal,SwitRy00,rush_yds,3,,,,,
player,201710010dal,dal,SwitRy00,rush_td,0,,,,,
player,201710010dal,dal,SwitRy00,rush_long,3,,,,,
player,201710010dal,dal,SwitRy00,targets,0,,,,,
player,201710010dal,dal,SwitRy00,rec,0,,,,,
player,201710010dal,dal,SwitRy00,rec_yds,0,,,,,
player,201710010dal,dal,SwitRy00,rec_td,0,,,,,
player,201710010dal,dal,SwitRy00,rec_long,0,,,,,
player,201710010dal,dal,SwitRy00,fumbles,1,,,,,
player,201710010dal,dal,SwitRy00,fumbles_lost,1,,,,,
player,201710010dal,dal,BryaDe01,pass_cmp,0,,,,,
player,201710010dal,dal,BryaDe01,pass_att,0,,,,,
player,201710010dal,dal,BryaDe01,pass_yds,0,,,,,
player,201710010dal,dal,BryaDe01,pass_td,0,,,,,
player,201710010dal,dal,BryaDe01,pass_int,0,,,,,
player,201710010dal,dal,BryaDe01,pass_sacked,0,,,,,
player,201710010dal,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201710010dal,dal,BryaDe01,pass_long,0,,,,,
player,201710010dal,dal,BryaDe01,pass_rating,,,,,,
player,201710010dal,dal,BryaDe01,rush_att,0,,,,,
player,201710010dal,dal,BryaDe01,rush_yds,0,,,,,
player,201710010dal,dal,BryaDe01,rush_td,0,,,,,
player,201710010dal,dal,BryaDe01,rush_long,0,,,,,
player,201710010dal,dal,BryaDe01,targets,13,,,,,
player,201710010dal,dal,BryaDe01,rec,5,,,,,
player,201710010dal,dal,BryaDe01,rec_yds,98,,,,,
player,201710010dal,dal,BryaDe01,rec_td,0,,,,,
player,201710010dal,dal,BryaDe01,rec_long,36,,,,,
player,201710010dal,dal,BryaDe01,fumbles,0,,,,,
player,201710010dal,dal,BryaDe01,fumbles_lost,0,,,,,
player,201710010dal,dal,WillTe01,pass_cmp,0,,,,,
player,201710010dal,dal,WillTe01,pass_att,0,,,,,
player,201710010dal,dal,WillTe01,pass_yds,0,,,,,
player,201710010dal,dal,WillTe01,pass_td,0,,,,,
player,201710010dal,dal,WillTe01,pass_int,0,,,,,
player,201710010dal,dal,WillTe01,pass_sacked,0,,,,,
player,201710010dal,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201710010dal,dal,WillTe01,pass_long,0,,,,,
player,201710010dal,dal,WillTe01,pass_rating,,,,,,
player,201710010dal,dal,WillTe01,rush_att,0,,,,,
player,201710010dal,dal,WillTe01,rush_yds,0,,,,,
player,201710010dal,dal,WillTe01,rush_td,0,,,,,
player,201710010dal,dal,WillTe01,rush_long,0,,,,,
player,201710010dal,dal,WillTe01,targets,6,,,,,
player,201710010dal,dal,WillTe01,rec,4,,,,,
player,201710010dal,dal,WillTe01,rec_yds,34,,,,,
player,201710010dal,dal,WillTe01,rec_td,0,,,,,
player,201710010dal,dal,WillTe01,rec_long,13,,,,,
player,201710010dal,dal,WillTe01,fumbles,0,,,,,
player,201710010dal,dal,WillTe01,fumbles_lost,0,,,,,
player,201710010dal,dal,HannJa00,pass_cmp,0,,,,,
player,201710010dal,dal,HannJa00,pass_att,0,,,,,
player,201710010dal,dal,HannJa00,pass_yds,0,,,,,
player,201710010dal,dal,HannJa00,pass_td,0,,,,,
player,201710010dal,dal,HannJa00,pass_int,0,,,,,
player,201710010dal,dal,HannJa00,pass_sacked,0,,,,,
player,201710010dal,dal,HannJa00,pass_sacked_yds,0,,,,,
player,201710010dal,dal,HannJa00,pass_long,0,,,,,
player,201710010dal,dal,HannJa00,pass_rating,,,,,,
player,201710010dal,dal,HannJa00,rush_att,0,,,,,
player,201710010dal,dal,HannJa00,rush_yds,0,,,,,
player,201710010dal,dal,HannJa00,rush_td,0,,,,,
player,201710010dal,dal,HannJa00,rush_long,0,,,,,
player,201710010dal,dal,HannJa00,targets,1,,,,,
player,201710010dal,dal,HannJa00,rec,1,,,,,
player,201710010dal,dal,HannJa00,rec_yds,28,,,,,
player,201710010dal,dal,HannJa00,rec_td,1,,,,,
player,201710010dal,dal,HannJa00,rec_long,28,,,,,
player,201710010dal,dal,HannJa00,fumbles,0,,,,,
player,201710010dal,dal,HannJa00,fumbles_lost,0,,,,,
player,201710010dal,dal,BeasCo00,pass_cmp,0,,,,,
player,201710010dal,dal,BeasCo00,pass_att,0,,,,,
player,201710010dal,dal,BeasCo00,pass_yds,0,,,,,
player,201710010dal,dal,BeasCo00,pass_td,0,,,,,
player,201710010dal,dal,BeasCo00,pass_int,0,,,,,
player,201710010dal,dal,BeasCo00,pass_sacked,0,,,,,
player,201710010dal,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201710010dal,dal,BeasCo00,pass_long,0,,,,,
player,201710010dal,dal,BeasCo00,pass_rating,,,,,,
player,201710010dal,dal,BeasCo00,rush_att,0,,,,,
player,201710010dal,dal,BeasCo00,rush_yds,0,,,,,
player,201710010dal,dal,BeasCo00,rush_td,0,,,,,
player,201710010dal,dal,BeasCo00,rush_long,0,,,,,
player,201710010dal,dal,BeasCo00,targets,6,,,,,
player,201710010dal,dal,BeasCo00,rec,3,,,,,
player,201710010dal,dal,BeasCo00,rec_yds,17,,,,,
player,201710010dal,dal,BeasCo00,rec_td,0,,,,,
player,201710010dal,dal,BeasCo00,rec_long,12,,,,,
player,201710010dal,dal,BeasCo00,fumbles,0,,,,,
player,201710010dal,dal,BeasCo00,fumbles_lost,0,,,,,
player,201710010dal,dal,ButlBr00,pass_cmp,0,,,,,
player,201710010dal,dal,ButlBr00,pass_att,0,,,,,
player,201710010dal,dal,ButlBr00,pass_yds,0,,,,,
player,201710010dal,dal,ButlBr00,pass_td,0,,,,,
player,201710010dal,dal,ButlBr00,pass_int,0,,,,,
player,201710010dal,dal,ButlBr00,pass_sacked,0,,,,,
player,201710010dal,dal,ButlBr00,pass_sacked_yds,0,,,,,
player,201710010dal,dal,ButlBr00,pass_long,0,,,,,
player,201710010dal,dal,ButlBr00,pass_rating,,,,,,
player,201710010dal,dal,ButlBr00,rush_att,0,,,,,
player,201710010dal,dal,ButlBr00,rush_yds,0,,,,,
player,201710010dal,dal,ButlBr00,rush_td,0,,,,,
player,201710010dal,dal,ButlBr00,rush_long,0,,,,,
player,201710010dal,dal,ButlBr00,targets,2,,,,,
player,201710010dal,dal,ButlBr00,rec,2,,,,,
player,201710010dal,dal,ButlBr00,rec_yds,12,,,,,
player,201710010dal,dal,ButlBr00,rec_td,1,,,,,
player,201710010dal,dal,ButlBr00,rec_long,10,,,,,
player,201710010dal,dal,ButlBr00,fumbles,0,,,,,
player,201710010dal,dal,ButlBr00,fumbles_lost,0,,,,,
player,201710010dal,dal,WittJa00,pass_cmp,0,,,,,
player,201710010dal,dal,WittJa00,pass_att,0,,,,,
player,201710010dal,dal,WittJa00,pass_yds,0,,,,,
player,201710010dal,dal,WittJa00,pass_td,0,,,,,
player,201710010dal,dal,WittJa00,pass_int,0,,,,,
player,201710010dal,dal,WittJa00,pass_sacked,0,,,,,
player,201710010dal,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201710010dal,dal,WittJa00,pass_long,0,,,,,
player,201710010dal,dal,WittJa00,pass_rating,,,,,,
player,201710010dal,dal,WittJa00,rush_att,0,,,,,
player,201710010dal,dal,WittJa00,rush_yds,0,,,,,
player,201710010dal,dal,WittJa00,rush_td,0,,,,,
player,201710010dal,dal,WittJa00,rush_long,0,,,,,
player,201710010dal,dal,WittJa00,targets,2,,,,,
player,201710010dal,dal,WittJa00,rec,1,,,,,
player,201710010dal,dal,WittJa00,rec_yds,9,,,,,
player,201710010dal,dal,WittJa00,rec_td,0,,,,,
player,201710010dal,dal,WittJa00,rec_long,9,,,,,
player,201710010dal,dal,WittJa00,fumbles,0,,,,,
player,201710010dal,dal,WittJa00,fumbles_lost,0,,,,,
player,201710010dal,ram,BarrMa00,def_int,1,,,,,
player,201710010dal,ram,BarrMa00,def_int_yds,4,,,,,
player,201710010dal,ram,BarrMa00,def_int_td,0,,,,,
player,201710010dal,ram,BarrMa00,def_int_long,4,,,,,
player,201710010dal,ram,BarrMa00,pass_defended,1,,,,,
player,201710010dal,ram,BarrMa00,sacks,0.0,,,,,
player,201710010dal,ram,BarrMa00,tackles_combined,8,,,,,
player,201710010dal,ram,BarrMa00,tackles_solo,8,,,,,
player,201710010dal,ram,BarrMa00,tackles_assists,0,,,,,
player,201710010dal,ram,BarrMa00,tackles_loss,0,,,,,
player,201710010dal,ram,BarrMa00,qb_hits,0,,,,,
player,201710010dal,ram,BarrMa00,fumbles_rec,0,,,,,
player,201710010dal,ram,BarrMa00,fumbles_rec_yds,0,,,,,
player,201710010dal,ram,BarrMa00,fumbles_rec_td,0,,,,,
player,201710010dal,ram,BarrMa00,fumbles_forced,0,,,,,
player,201710010dal,ram,BrocMi00,def_int,0,,,,,
player,201710010dal,ram,BrocMi00,def_int_yds,0,,,,,
player,201710010dal,ram,BrocMi00,def_int_td,0,,,,,
player,201710010dal,ram,BrocMi00,def_int_long,0,,,,,
player,201710010dal,ram,BrocMi00,pass_defended,2,,,,,
player,201710010dal,ram,BrocMi00,sacks,1.0,,,,,
player,201710010dal,ram,BrocMi00,tackles_combined,3,,,,,
player,201710010dal,ram,BrocMi00,tackles_solo,2,,,,,
player,201710010dal,ram,BrocMi00,tackles_assists,1,,,,,
player,201710010dal,ram,BrocMi00,tackles_loss,1,,,,,
player,201710010dal,ram,BrocMi00,qb_hits,2,,,,,
player,201710010dal,ram,BrocMi00,fumbles_rec,0,,,,,
player,201710010dal,ram,BrocMi00,fumbles_rec_yds,0,,,,,
player,201710010dal,ram,BrocMi00,fumbles_rec_td,0,,,,,
player,201710010dal,ram,BrocMi00,fumbles_forced,0,,,,,
player,201710010dal,ram,BarwCo99,def_int,0,,,,,
player,201710010dal,ram,BarwCo99,def_int_yds,0,,,,,
player,201710010dal,ram,BarwCo99,def_int_td,0,,,,,
player,201710010dal,ram,BarwCo99,def_int_long,0,,,,,
player,201710010dal,ram,BarwCo99,pass_defended,0,,,,,
player,201710010dal,ram,BarwCo99,sacks,1.0,,,,,
player,201710010dal,ram,BarwCo99,tackles_combined,2,,,,,
player,201710010dal,ram,BarwCo99,tackles_solo,1,,,,,
player,201710010dal,ram,BarwCo99,tackles_assists,1,,,,,
player,201710010dal,ram,BarwCo99,tackles_loss,0,,,,,
player,201710010dal,ram,BarwCo99,qb_hits,1,,,,,
player,201710010dal,ram,BarwCo99,fumbles_rec,0,,,,,
player,201710010dal,ram,BarwCo99,fumbles_rec_yds,0,,,,,
player,201710010dal,ram,BarwCo99,fumbles_rec_td,0,,,,,
player,201710010dal,ram,BarwCo99,fumbles_forced,0,,,,,
player,201710010dal,ram,OgleAl00,def_int,0,,,,,
player,201710010dal,ram,OgleAl00,def_int_yds,0,,,,,
player,201710010dal,ram,OgleAl00,def_int_td,0,,,,,
player,201710010dal,ram,OgleAl00,def_int_long,0,,,,,
player,201710010dal,ram,OgleAl00,pass_defended,0,,,,,
player,201710010dal,ram,OgleAl00,sacks,0.0,,,,,
player,201710010dal,ram,OgleAl00,tackles_combined,7,,,,,
