game,2017,2,20170917,201709170ram,was,"Washington Redskins",27,ram,"Los Angeles Rams",20
player,201709170ram,ram,ReynJo00,rec,1,,,,,
player,201709170ram,ram,ReynJo00,rec_yds,28,,,,,
player,201709170ram,ram,ReynJo00,rec_td,0,,,,,
player,201709170ram,ram,ReynJo00,rec_long,28,,,,,
player,201709170ram,ram,ReynJo00,fumbles,0,,,,,
player,201709170ram,ram,ReynJo00,fumbles_lost,0,,,,,
player,201709170ram,ram,CarrDe00,pass_cmp,0,,,,,
player,201709170ram,ram,CarrDe00,pass_att,0,,,,,
player,201709170ram,ram,CarrDe00,pass_yds,0,,,,,
player,201709170ram,ram,CarrDe00,pass_td,0,,,,,
player,201709170ram,ram,CarrDe00,pass_int,0,,,,,
player,201709170ram,ram,CarrDe00,pass_sacked,0,,,,,
player,201709170ram,ram,CarrDe00,pass_sacked_yds,0,,,,,
player,201709170ram,ram,CarrDe00,pass_long,0,,,,,
player,201709170ram,ram,CarrDe00,pass_rating,,,,,,
player,201709170ram,ram,CarrDe00,rush_att,0,,,,,
player,201709170ram,ram,CarrDe00,rush_yds,0,,,,,
player,201709170ram,ram,CarrDe00,rush_td,0,,,,,
player,201709170ram,ram,CarrDe00,rush_long,0,,,,,
player,201709170ram,ram,CarrDe00,targets,1,,,,,
player,201709170ram,ram,CarrDe00,rec,1,,,,,
player,201709170ram,ram,CarrDe00,rec_yds,9,,,,,
player,201709170ram,ram,CarrDe00,rec_td,0,,,,,
player,201709170ram,ram,CarrDe00,rec_long,9,,,,,
player,201709170ram,ram,CarrDe00,fumbles,0,,,,,
player,201709170ram,ram,CarrDe00,fumbles_lost,0,,,,,
player,201709170ram,ram,WoodRo02,pass_cmp,0,,,,,
player,201709170ram,ram,WoodRo02,pass_att,0,,,,,
player,201709170ram,ram,WoodRo02,pass_yds,0,,,,,
player,201709170ram,ram,WoodRo02,pass_td,0,,,,,
player,201709170ram,ram,WoodRo02,pass_int,0,,,,,
player,201709170ram,ram,WoodRo02,pass_sacked,0,,,,,
player,201709170ram,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201709170ram,ram,WoodRo02,pass_long,0,,,,,
player,201709170ram,ram,WoodRo02,pass_rating,,,,,,
player,201709170ram,ram,WoodRo02,rush_att,0,,,,,
player,201709170ram,ram,WoodRo02,rush_yds,0,,,,,
player,201709170ram,ram,WoodRo02,rush_td,0,,,,,
player,201709170ram,ram,WoodRo02,rush_long,0,,,,,
player,201709170ram,ram,WoodRo02,targets,4,,,,,
player,201709170ram,ram,WoodRo02,rec,1,,,,,
player,201709170ram,ram,WoodRo02,rec_yds,8,,,,,
player,201709170ram,ram,WoodRo02,rec_td,0,,,,,
player,201709170ram,ram,WoodRo02,rec_long,8,,,,,
player,201709170ram,ram,WoodRo02,fumbles,0,,,,,
player,201709170ram,ram,WoodRo02,fumbles_lost,0,,,,,
player,201709170ram,ram,HigbTy00,pass_cmp,0,,,,,
player,201709170ram,ram,HigbTy00,pass_att,0,,,,,
player,201709170ram,ram,HigbTy00,pass_yds,0,,,,,
player,201709170ram,ram,HigbTy00,pass_td,0,,,,,
player,201709170ram,ram,HigbTy00,pass_int,0,,,,,
player,201709170ram,ram,HigbTy00,pass_sacked,0,,,,,
player,201709170ram,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201709170ram,ram,HigbTy00,pass_long,0,,,,,
player,201709170ram,ram,HigbTy00,pass_rating,,,,,,
player,201709170ram,ram,HigbTy00,rush_att,0,,,,,
player,201709170ram,ram,HigbTy00,rush_yds,0,,,,,
player,201709170ram,ram,HigbTy00,rush_td,0,,,,,
player,201709170ram,ram,HigbTy00,rush_long,0,,,,,
player,201709170ram,ram,HigbTy00,targets,1,,,,,
player,201709170ram,ram,HigbTy00,rec,0,,,,,
player,201709170ram,ram,HigbTy00,rec_yds,0,,,,,
player,201709170ram,ram,HigbTy00,rec_td,0,,,,,
player,201709170ram,ram,HigbTy00,rec_long,0,,,,,
player,201709170ram,ram,HigbTy00,fumbles,0,,,,,
player,201709170ram,ram,HigbTy00,fumbles_lost,0,,,,,
player,201709170ram,ram,BrowMa03,pass_cmp,0,,,,,
player,201709170ram,ram,BrowMa03,pass_att,0,,,,,
player,201709170ram,ram,BrowMa03,pass_yds,0,,,,,
player,201709170ram,ram,BrowMa03,pass_td,0,,,,,
player,201709170ram,ram,BrowMa03,pass_int,0,,,,,
player,201709170ram,ram,BrowMa03,pass_sacked,0,,,,,
player,201709170ram,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201709170ram,ram,BrowMa03,pass_long,0,,,,,
player,201709170ram,ram,BrowMa03,pass_rating,,,,,,
player,201709170ram,ram,BrowMa03,rush_att,0,,,,,
player,201709170ram,ram,BrowMa03,rush_yds,0,,,,,
player,201709170ram,ram,BrowMa03,rush_td,0,,,,,
player,201709170ram,ram,BrowMa03,rush_long,0,,,,,
player,201709170ram,ram,BrowMa03,targets,1,,,,,
player,201709170ram,ram,BrowMa03,rec,1,,,,,
player,201709170ram,ram,BrowMa03,rec_yds,-4,,,,,
player,201709170ram,ram,BrowMa03,rec_td,0,,,,,
player,201709170ram,ram,BrowMa03,rec_long,-4,,,,,
player,201709170ram,ram,BrowMa03,fumbles,0,,,,,
