game,2017,11,20171119,201711190htx,crd,"Arizona Cardinals",21,htx,"Houston Texans",31
player,201711190htx,crd,WillKe05,pass_td,0,,,,,
player,201711190htx,crd,WillKe05,pass_int,0,,,,,
player,201711190htx,crd,WillKe05,pass_sacked,0,,,,,
player,201711190htx,crd,WillKe05,pass_sacked_yds,0,,,,,
player,201711190htx,crd,WillKe05,pass_long,0,,,,,
player,201711190htx,crd,WillKe05,pass_rating,,,,,,
player,201711190htx,crd,WillKe05,rush_att,1,,,,,
player,201711190htx,crd,WillKe05,rush_yds,9,,,,,
player,201711190htx,crd,WillKe05,rush_td,0,,,,,
player,201711190htx,crd,WillKe05,rush_long,9,,,,,
player,201711190htx,crd,WillKe05,targets,2,,,,,
player,201711190htx,crd,WillKe05,rec,1,,,,,
player,201711190htx,crd,WillKe05,rec_yds,9,,,,,
player,201711190htx,crd,WillKe05,rec_td,0,,,,,
player,201711190htx,crd,WillKe05,rec_long,9,,,,,
player,201711190htx,crd,WillKe05,fumbles,0,,,,,
player,201711190htx,crd,WillKe05,fumbles_lost,0,,,,,
player,201711190htx,crd,FitzLa00,pass_cmp,0,,,,,
player,201711190htx,crd,FitzLa00,pass_att,0,,,,,
player,201711190htx,crd,FitzLa00,pass_yds,0,,,,,
player,201711190htx,crd,FitzLa00,pass_td,0,,,,,
player,201711190htx,crd,FitzLa00,pass_int,0,,,,,
player,201711190htx,crd,FitzLa00,pass_sacked,0,,,,,
player,201711190htx,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201711190htx,crd,FitzLa00,pass_long,0,,,,,
player,201711190htx,crd,FitzLa00,pass_rating,,,,,,
player,201711190htx,crd,FitzLa00,rush_att,0,,,,,
player,201711190htx,crd,FitzLa00,rush_yds,0,,,,,
player,201711190htx,crd,FitzLa00,rush_td,0,,,,,
player,201711190htx,crd,FitzLa00,rush_long,0,,,,,
player,201711190htx,crd,FitzLa00,targets,10,,,,,
player,201711190htx,crd,FitzLa00,rec,9,,,,,
player,201711190htx,crd,FitzLa00,rec_yds,91,,,,,
player,201711190htx,crd,FitzLa00,rec_td,1,,,,,
player,201711190htx,crd,FitzLa00,rec_long,22,,,,,
player,201711190htx,crd,FitzLa00,fumbles,0,,,,,
player,201711190htx,crd,FitzLa00,fumbles_lost,0,,,,,
player,201711190htx,crd,SealRi00,pass_cmp,0,,,,,
player,201711190htx,crd,SealRi00,pass_att,0,,,,,
player,201711190htx,crd,SealRi00,pass_yds,0,,,,,
player,201711190htx,crd,SealRi00,pass_td,0,,,,,
player,201711190htx,crd,SealRi00,pass_int,0,,,,,
player,201711190htx,crd,SealRi00,pass_sacked,0,,,,,
player,201711190htx,crd,SealRi00,pass_sacked_yds,0,,,,,
player,201711190htx,crd,SealRi00,pass_long,0,,,,,
player,201711190htx,crd,SealRi00,pass_rating,,,,,,
player,201711190htx,crd,SealRi00,rush_att,0,,,,,
player,201711190htx,crd,SealRi00,rush_yds,0,,,,,
player,201711190htx,crd,SealRi00,rush_td,0,,,,,
player,201711190htx,crd,SealRi00,rush_long,0,,,,,
player,201711190htx,crd,SealRi00,targets,5,,,,,
player,201711190htx,crd,SealRi00,rec,3,,,,,
player,201711190htx,crd,SealRi00,rec_yds,54,,,,,
player,201711190htx,crd,SealRi00,rec_td,2,,,,,
player,201711190htx,crd,SealRi00,rec_long,28,,,,,
player,201711190htx,crd,SealRi00,fumbles,0,,,,,
player,201711190htx,crd,SealRi00,fumbles_lost,0,,,,,
player,201711190htx,crd,FostD.01,pass_cmp,0,,,,,
player,201711190htx,crd,FostD.01,pass_att,0,,,,,
player,201711190htx,crd,FostD.01,pass_yds,0,,,,,
player,201711190htx,crd,FostD.01,pass_td,0,,,,,
player,201711190htx,crd,FostD.01,pass_int,0,,,,,
player,201711190htx,crd,FostD.01,pass_sacked,0,,,,,
player,201711190htx,crd,FostD.01,pass_sacked_yds,0,,,,,
player,201711190htx,crd,FostD.01,pass_long,0,,,,,
player,201711190htx,crd,FostD.01,pass_rating,,,,,,
player,201711190htx,crd,FostD.01,rush_att,0,,,,,
player,201711190htx,crd,FostD.01,rush_yds,0,,,,,
player,201711190htx,crd,FostD.01,rush_td,0,,,,,
player,201711190htx,crd,FostD.01,rush_long,0,,,,,
player,201711190htx,crd,FostD.01,targets,2,,,,,
player,201711190htx,crd,FostD.01,rec,2,,,,,
player,201711190htx,crd,FostD.01,rec_yds,26,,,,,
player,201711190htx,crd,FostD.01,rec_td,0,,,,,
player,201711190htx,crd,FostD.01,rec_long,20,,,,,
player,201711190htx,crd,FostD.01,fumbles,0,,,,,
player,201711190htx,crd,FostD.01,fumbles_lost,0,,,,,
player,201711190htx,crd,BrowJa03,pass_cmp,0,,,,,
player,201711190htx,crd,BrowJa03,pass_att,0,,,,,
player,201711190htx,crd,BrowJa03,pass_yds,0,,,,,
player,201711190htx,crd,BrowJa03,pass_td,0,,,,,
player,201711190htx,crd,BrowJa03,pass_int,0,,,,,
player,201711190htx,crd,BrowJa03,pass_sacked,0,,,,,
player,201711190htx,crd,BrowJa03,pass_sacked_yds,0,,,,,
player,201711190htx,crd,BrowJa03,pass_long,0,,,,,
player,201711190htx,crd,BrowJa03,pass_rating,,,,,,
player,201711190htx,crd,BrowJa03,rush_att,0,,,,,
player,201711190htx,crd,BrowJa03,rush_yds,0,,,,,
player,201711190htx,crd,BrowJa03,rush_td,0,,,,,
player,201711190htx,crd,BrowJa03,rush_long,0,,,,,
player,201711190htx,crd,BrowJa03,targets,3,,,,,
player,201711190htx,crd,BrowJa03,rec,1,,,,,
player,201711190htx,crd,BrowJa03,rec_yds,22,,,,,
player,201711190htx,crd,BrowJa03,rec_td,0,,,,,
player,201711190htx,crd,BrowJa03,rec_long,22,,,,,
player,201711190htx,crd,BrowJa03,fumbles,0,,,,,
player,201711190htx,crd,BrowJa03,fumbles_lost,0,,,,,
player,201711190htx,crd,BrowJo02,pass_cmp,0,,,,,
player,201711190htx,crd,BrowJo02,pass_att,0,,,,,
