game,2017,4,20171001,201710010mia,nor,"New Orleans Saints",20,mia,"Miami Dolphins",0
player,201710010mia,nor,IngrMa01,rush_long,8,,,,,
player,201710010mia,nor,IngrMa01,targets,8,,,,,
player,201710010mia,nor,IngrMa01,rec,4,,,,,
player,201710010mia,nor,IngrMa01,rec_yds,17,,,,,
player,201710010mia,nor,IngrMa01,rec_td,0,,,,,
player,201710010mia,nor,IngrMa01,rec_long,8,,,,,
player,201710010mia,nor,IngrMa01,fumbles,0,,,,,
player,201710010mia,nor,IngrMa01,fumbles_lost,0,,,,,
player,201710010mia,nor,KamaAl00,pass_cmp,0,,,,,
player,201710010mia,nor,KamaAl00,pass_att,0,,,,,
player,201710010mia,nor,KamaAl00,pass_yds,0,,,,,
player,201710010mia,nor,KamaAl00,pass_td,0,,,,,
player,201710010mia,nor,KamaAl00,pass_int,0,,,,,
player,201710010mia,nor,KamaAl00,pass_sacked,0,,,,,
player,201710010mia,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201710010mia,nor,KamaAl00,pass_long,0,,,,,
player,201710010mia,nor,KamaAl00,pass_rating,,,,,,
player,201710010mia,nor,KamaAl00,rush_att,5,,,,,
player,201710010mia,nor,KamaAl00,rush_yds,25,,,,,
player,201710010mia,nor,KamaAl00,rush_td,0,,,,,
player,201710010mia,nor,KamaAl00,rush_long,12,,,,,
player,201710010mia,nor,KamaAl00,targets,10,,,,,
player,201710010mia,nor,KamaAl00,rec,10,,,,,
player,201710010mia,nor,KamaAl00,rec_yds,71,,,,,
player,201710010mia,nor,KamaAl00,rec_td,1,,,,,
player,201710010mia,nor,KamaAl00,rec_long,16,,,,,
player,201710010mia,nor,KamaAl00,fumbles,0,,,,,
player,201710010mia,nor,KamaAl00,fumbles_lost,0,,,,,
player,201710010mia,nor,GinnTe00,pass_cmp,0,,,,,
player,201710010mia,nor,GinnTe00,pass_att,0,,,,,
player,201710010mia,nor,GinnTe00,pass_yds,0,,,,,
player,201710010mia,nor,GinnTe00,pass_td,0,,,,,
player,201710010mia,nor,GinnTe00,pass_int,0,,,,,
player,201710010mia,nor,GinnTe00,pass_sacked,0,,,,,
player,201710010mia,nor,GinnTe00,pass_sacked_yds,0,,,,,
player,201710010mia,nor,GinnTe00,pass_long,0,,,,,
player,201710010mia,nor,GinnTe00,pass_rating,,,,,,
player,201710010mia,nor,GinnTe00,rush_att,1,,,,,
player,201710010mia,nor,GinnTe00,rush_yds,9,,,,,
player,201710010mia,nor,GinnTe00,rush_td,0,,,,,
player,201710010mia,nor,GinnTe00,rush_long,9,,,,,
player,201710010mia,nor,GinnTe00,targets,2,,,,,
player,201710010mia,nor,GinnTe00,rec,2,,,,,
player,201710010mia,nor,GinnTe00,rec_yds,25,,,,,
player,201710010mia,nor,GinnTe00,rec_td,0,,,,,
player,201710010mia,nor,GinnTe00,rec_long,21,,,,,
player,201710010mia,nor,GinnTe00,fumbles,0,,,,,
player,201710010mia,nor,GinnTe00,fumbles_lost,0,,,,,
player,201710010mia,nor,PeteAd01,pass_cmp,0,,,,,
player,201710010mia,nor,PeteAd01,pass_att,0,,,,,
player,201710010mia,nor,PeteAd01,pass_yds,0,,,,,
player,201710010mia,nor,PeteAd01,pass_td,0,,,,,
player,201710010mia,nor,PeteAd01,pass_int,0,,,,,
player,201710010mia,nor,PeteAd01,pass_sacked,0,,,,,
player,201710010mia,nor,PeteAd01,pass_sacked_yds,0,,,,,
player,201710010mia,nor,PeteAd01,pass_long,0,,,,,
player,201710010mia,nor,PeteAd01,pass_rating,,,,,,
player,201710010mia,nor,PeteAd01,rush_att,4,,,,,
player,201710010mia,nor,PeteAd01,rush_yds,4,,,,,
player,201710010mia,nor,PeteAd01,rush_td,0,,,,,
player,201710010mia,nor,PeteAd01,rush_long,4,,,,,
player,201710010mia,nor,PeteAd01,targets,0,,,,,
player,201710010mia,nor,PeteAd01,rec,0,,,,,
player,201710010mia,nor,PeteAd01,rec_yds,0,,,,,
player,201710010mia,nor,PeteAd01,rec_td,0,,,,,
player,201710010mia,nor,PeteAd01,rec_long,0,,,,,
player,201710010mia,nor,PeteAd01,fumbles,0,,,,,
player,201710010mia,nor,PeteAd01,fumbles_lost,0,,,,,
player,201710010mia,nor,ThomMi05,pass_cmp,0,,,,,
player,201710010mia,nor,ThomMi05,pass_att,0,,,,,
player,201710010mia,nor,ThomMi05,pass_yds,0,,,,,
player,201710010mia,nor,ThomMi05,pass_td,0,,,,,
player,201710010mia,nor,ThomMi05,pass_int,0,,,,,
player,201710010mia,nor,ThomMi05,pass_sacked,0,,,,,
player,201710010mia,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201710010mia,nor,ThomMi05,pass_long,0,,,,,
player,201710010mia,nor,ThomMi05,pass_rating,,,,,,
player,201710010mia,nor,ThomMi05,rush_att,0,,,,,
player,201710010mia,nor,ThomMi05,rush_yds,0,,,,,
player,201710010mia,nor,ThomMi05,rush_td,0,,,,,
player,201710010mia,nor,ThomMi05,rush_long,0,,,,,
player,201710010mia,nor,ThomMi05,targets,11,,,,,
player,201710010mia,nor,ThomMi05,rec,8,,,,,
player,201710010mia,nor,ThomMi05,rec_yds,89,,,,,
player,201710010mia,nor,ThomMi05,rec_td,1,,,,,
player,201710010mia,nor,ThomMi05,rec_long,30,,,,,
player,201710010mia,nor,ThomMi05,fumbles,0,,,,,
player,201710010mia,nor,ThomMi05,fumbles_lost,0,,,,,
player,201710010mia,nor,ColeBr00,pass_cmp,0,,,,,
player,201710010mia,nor,ColeBr00,pass_att,0,,,,,
player,201710010mia,nor,ColeBr00,pass_yds,0,,,,,
player,201710010mia,nor,ColeBr00,pass_td,0,,,,,
player,201710010mia,nor,ColeBr00,pass_int,0,,,,,
player,201710010mia,nor,ColeBr00,pass_sacked,0,,,,,
player,201710010mia,nor,ColeBr00,pass_sacked_yds,0,,,,,
player,201710010mia,nor,ColeBr00,pass_long,0,,,,,
player,201710010mia,nor,ColeBr00,pass_rating,,,,,,
player,201710010mia,nor,ColeBr00,rush_att,0,,,,,
player,201710010mia,nor,ColeBr00,rush_yds,0,,,,,
player,201710010mia,nor,ColeBr00,rush_td,0,,,,,
player,201710010mia,nor,ColeBr00,rush_long,0,,,,,
player,201710010mia,nor,ColeBr00,targets,1,,,,,
player,201710010mia,nor,ColeBr00,rec,1,,,,,
player,201710010mia,nor,ColeBr00,rec_yds,31,,,,,
player,201710010mia,nor,ColeBr00,rec_td,0,,,,,
player,201710010mia,nor,ColeBr00,rec_long,31,,,,,
player,201710010mia,nor,ColeBr00,fumbles,0,,,,,
player,201710010mia,nor,ColeBr00,fumbles_lost,0,,,,,
player,201710010mia,nor,FleeCo00,pass_cmp,0,,,,,
player,201710010mia,nor,FleeCo00,pass_att,0,,,,,
player,201710010mia,nor,FleeCo00,pass_yds,0,,,,,
player,201710010mia,nor,FleeCo00,pass_td,0,,,,,
player,201710010mia,nor,FleeCo00,pass_int,0,,,,,
player,201710010mia,nor,FleeCo00,pass_sacked,0,,,,,
player,201710010mia,nor,FleeCo00,pass_sacked_yds,0,,,,,
player,201710010mia,nor,FleeCo00,pass_long,0,,,,,
player,201710010mia,nor,FleeCo00,pass_rating,,,,,,
player,201710010mia,nor,FleeCo00,rush_att,0,,,,,
player,201710010mia,nor,FleeCo00,rush_yds,0,,,,,
player,201710010mia,nor,FleeCo00,rush_td,0,,,,,
player,201710010mia,nor,FleeCo00,rush_long,0,,,,,
player,201710010mia,nor,FleeCo00,targets,4,,,,,
player,201710010mia,nor,FleeCo00,rec,2,,,,,
player,201710010mia,nor,FleeCo00,rec_yds,21,,,,,
player,201710010mia,nor,FleeCo00,rec_td,0,,,,,
player,201710010mia,nor,FleeCo00,rec_long,12,,,,,
player,201710010mia,nor,FleeCo00,fumbles,0,,,,,
player,201710010mia,nor,FleeCo00,fumbles_lost,0,,,,,
player,201710010mia,nor,HoomMi00,pass_cmp,0,,,,,
player,201710010mia,nor,HoomMi00,pass_att,0,,,,,
player,201710010mia,nor,HoomMi00,pass_yds,0,,,,,
player,201710010mia,nor,HoomMi00,pass_td,0,,,,,
player,201710010mia,nor,HoomMi00,pass_int,0,,,,,
player,201710010mia,nor,HoomMi00,pass_sacked,0,,,,,
player,201710010mia,nor,HoomMi00,pass_sacked_yds,0,,,,,
player,201710010mia,nor,HoomMi00,pass_long,0,,,,,
player,201710010mia,nor,HoomMi00,pass_rating,,,,,,
player,201710010mia,nor,HoomMi00,rush_att,0,,,,,
player,201710010mia,nor,HoomMi00,rush_yds,0,,,,,
player,201710010mia,nor,HoomMi00,rush_td,0,,,,,
player,201710010mia,nor,HoomMi00,rush_long,0,,,,,
player,201710010mia,nor,HoomMi00,targets,2,,,,,
player,201710010mia,nor,HoomMi00,rec,1,,,,,
player,201710010mia,nor,HoomMi00,rec_yds,13,,,,,
player,201710010mia,nor,HoomMi00,rec_td,0,,,,,
player,201710010mia,nor,HoomMi00,rec_long,13,,,,,
player,201710010mia,nor,HoomMi00,fumbles,0,,,,,
player,201710010mia,nor,HoomMi00,fumbles_lost,0,,,,,
player,201710010mia,nor,LewiTo00,pass_cmp,0,,,,,
player,201710010mia,nor,LewiTo00,pass_att,0,,,,,
player,201710010mia,nor,LewiTo00,pass_yds,0,,,,,
player,201710010mia,nor,LewiTo00,pass_td,0,,,,,
player,201710010mia,nor,LewiTo00,pass_int,0,,,,,
player,201710010mia,nor,LewiTo00,pass_sacked,0,,,,,
player,201710010mia,nor,LewiTo00,pass_sacked_yds,0,,,,,
player,201710010mia,nor,LewiTo00,pass_long,0,,,,,
player,201710010mia,nor,LewiTo00,pass_rating,,,,,,
player,201710010mia,nor,LewiTo00,rush_att,0,,,,,
player,201710010mia,nor,LewiTo00,rush_yds,0,,,,,
player,201710010mia,nor,LewiTo00,rush_td,0,,,,,
player,201710010mia,nor,LewiTo00,rush_long,0,,,,,
player,201710010mia,nor,LewiTo00,targets,2,,,,,
player,201710010mia,nor,LewiTo00,rec,1,,,,,
player,201710010mia,nor,LewiTo00,rec_yds,1,,,,,
player,201710010mia,nor,LewiTo00,rec_td,0,,,,,
player,201710010mia,nor,LewiTo00,rec_long,1,,,,,
player,201710010mia,nor,LewiTo00,fumbles,0,,,,,
player,201710010mia,nor,LewiTo00,fumbles_lost,0,,,,,
player,201710010mia,mia,CutlJa00,pass_cmp,20,,,,,
player,201710010mia,mia,CutlJa00,pass_att,28,,,,,
player,201710010mia,mia,CutlJa00,pass_yds,164,,,,,
player,201710010mia,mia,CutlJa00,pass_td,0,,,,,
player,201710010mia,mia,CutlJa00,pass_int,1,,,,,
player,201710010mia,mia,CutlJa00,pass_sacked,4,,,,,
player,201710010mia,mia,CutlJa00,pass_sacked_yds,36,,,,,
player,201710010mia,mia,CutlJa00,pass_long,23,,,,,
player,201710010mia,mia,CutlJa00,pass_rating,71.1,,,,,
player,201710010mia,mia,CutlJa00,rush_att,1,,,,,
player,201710010mia,mia,CutlJa00,rush_yds,5,,,,,
player,201710010mia,mia,CutlJa00,rush_td,0,,,,,
player,201710010mia,mia,CutlJa00,rush_long,5,,,,,
player,201710010mia,mia,CutlJa00,targets,0,,,,,
player,201710010mia,mia,CutlJa00,rec,0,,,,,
player,201710010mia,mia,CutlJa00,rec_yds,0,,,,,
player,201710010mia,mia,CutlJa00,rec_td,0,,,,,
player,201710010mia,mia,CutlJa00,rec_long,0,,,,,
player,201710010mia,mia,CutlJa00,fumbles,1,,,,,
player,201710010mia,mia,CutlJa00,fumbles_lost,0,,,,,
player,201710010mia,mia,AjayJa00,pass_cmp,0,,,,,
player,201710010mia,mia,AjayJa00,pass_att,0,,,,,
player,201710010mia,mia,AjayJa00,pass_yds,0,,,,,
player,201710010mia,mia,AjayJa00,pass_td,0,,,,,
player,201710010mia,mia,AjayJa00,pass_int,0,,,,,
player,201710010mia,mia,AjayJa00,pass_sacked,0,,,,,
player,201710010mia,mia,AjayJa00,pass_sacked_yds,0,,,,,
player,201710010mia,mia,AjayJa00,pass_long,0,,,,,
player,201710010mia,mia,AjayJa00,pass_rating,,,,,,
player,201710010mia,mia,AjayJa00,rush_att,12,,,,,
player,201710010mia,mia,AjayJa00,rush_yds,46,,,,,
player,201710010mia,mia,AjayJa00,rush_td,0,,,,,
player,201710010mia,mia,AjayJa00,rush_long,15,,,,,
player,201710010mia,mia,AjayJa00,targets,1,,,,,
player,201710010mia,mia,AjayJa00,rec,1,,,,,
player,201710010mia,mia,AjayJa00,rec_yds,8,,,,,
player,201710010mia,mia,AjayJa00,rec_td,0,,,,,
player,201710010mia,mia,AjayJa00,rec_long,8,,,,,
player,201710010mia,mia,AjayJa00,fumbles,0,,,,,
player,201710010mia,mia,AjayJa00,fumbles_lost,0,,,,,
player,201710010mia,mia,DrakKe00,pass_cmp,0,,,,,
player,201710010mia,mia,DrakKe00,pass_att,0,,,,,
player,201710010mia,mia,DrakKe00,pass_yds,0,,,,,
player,201710010mia,mia,DrakKe00,pass_td,0,,,,,
player,201710010mia,mia,DrakKe00,pass_int,0,,,,,
player,201710010mia,mia,DrakKe00,pass_sacked,0,,,,,
player,201710010mia,mia,DrakKe00,pass_sacked_yds,0,,,,,
player,201710010mia,mia,DrakKe00,pass_long,0,,,,,
player,201710010mia,mia,DrakKe00,pass_rating,,,,,,
player,201710010mia,mia,DrakKe00,rush_att,1,,,,,
player,201710010mia,mia,DrakKe00,rush_yds,6,,,,,
player,201710010mia,mia,DrakKe00,rush_td,0,,,,,
player,201710010mia,mia,DrakKe00,rush_long,6,,,,,
player,201710010mia,mia,DrakKe00,targets,3,,,,,
player,201710010mia,mia,DrakKe00,rec,2,,,,,
player,201710010mia,mia,DrakKe00,rec_yds,5,,,,,
player,201710010mia,mia,DrakKe00,rec_td,0,,,,,
player,201710010mia,mia,DrakKe00,rec_long,4,,,,,
player,201710010mia,mia,DrakKe00,fumbles,0,,,,,
player,201710010mia,mia,DrakKe00,fumbles_lost,0,,,,,
player,201710010mia,mia,WillDa05,pass_cmp,0,,,,,
player,201710010mia,mia,WillDa05,pass_att,0,,,,,
player,201710010mia,mia,WillDa05,pass_yds,0,,,,,
player,201710010mia,mia,WillDa05,pass_td,0,,,,,
player,201710010mia,mia,WillDa05,pass_int,0,,,,,
player,201710010mia,mia,WillDa05,pass_sacked,0,,,,,
player,201710010mia,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201710010mia,mia,WillDa05,pass_long,0,,,,,
player,201710010mia,mia,WillDa05,pass_rating,,,,,,
player,201710010mia,mia,WillDa05,rush_att,1,,,,,
player,201710010mia,mia,WillDa05,rush_yds,1,,,,,
player,201710010mia,mia,WillDa05,rush_td,0,,,,,
player,201710010mia,mia,WillDa05,rush_long,1,,,,,
player,201710010mia,mia,WillDa05,targets,2,,,,,
player,201710010mia,mia,WillDa05,rec,0,,,,,
player,201710010mia,mia,WillDa05,rec_yds,0,,,,,
player,201710010mia,mia,WillDa05,rec_td,0,,,,,
player,201710010mia,mia,WillDa05,rec_long,0,,,,,
player,201710010mia,mia,WillDa05,fumbles,0,,,,,
player,201710010mia,mia,WillDa05,fumbles_lost,0,,,,,
player,201710010mia,mia,ParkDe01,pass_cmp,0,,,,,
player,201710010mia,mia,ParkDe01,pass_att,0,,,,,
player,201710010mia,mia,ParkDe01,pass_yds,0,,,,,
player,201710010mia,mia,ParkDe01,pass_td,0,,,,,
player,201710010mia,mia,ParkDe01,pass_int,0,,,,,
player,201710010mia,mia,ParkDe01,pass_sacked,0,,,,,
player,201710010mia,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201710010mia,mia,ParkDe01,pass_long,0,,,,,
player,201710010mia,mia,ParkDe01,pass_rating,,,,,,
player,201710010mia,mia,ParkDe01,rush_att,0,,,,,
player,201710010mia,mia,ParkDe01,rush_yds,0,,,,,
player,201710010mia,mia,ParkDe01,rush_td,0,,,,,
player,201710010mia,mia,ParkDe01,rush_long,0,,,,,
player,201710010mia,mia,ParkDe01,targets,8,,,,,
player,201710010mia,mia,ParkDe01,rec,6,,,,,
player,201710010mia,mia,ParkDe01,rec_yds,69,,,,,
player,201710010mia,mia,ParkDe01,rec_td,0,,,,,
player,201710010mia,mia,ParkDe01,rec_long,21,,,,,
player,201710010mia,mia,ParkDe01,fumbles,0,,,,,
player,201710010mia,mia,ParkDe01,fumbles_lost,0,,,,,
player,201710010mia,mia,LandJa00,pass_cmp,0,,,,,
player,201710010mia,mia,LandJa00,pass_att,0,,,,,
player,201710010mia,mia,LandJa00,pass_yds,0,,,,,
player,201710010mia,mia,LandJa00,pass_td,0,,,,,
player,201710010mia,mia,LandJa00,pass_int,0,,,,,
player,201710010mia,mia,LandJa00,pass_sacked,0,,,,,
player,201710010mia,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201710010mia,mia,LandJa00,pass_long,0,,,,,
player,201710010mia,mia,LandJa00,pass_rating,,,,,,
player,201710010mia,mia,LandJa00,rush_att,0,,,,,
player,201710010mia,mia,LandJa00,rush_yds,0,,,,,
player,201710010mia,mia,LandJa00,rush_td,0,,,,,
player,201710010mia,mia,LandJa00,rush_long,0,,,,,
player,201710010mia,mia,LandJa00,targets,7,,,,,
player,201710010mia,mia,LandJa00,rec,6,,,,,
player,201710010mia,mia,LandJa00,rec_yds,40,,,,,
player,201710010mia,mia,LandJa00,rec_td,0,,,,,
player,201710010mia,mia,LandJa00,rec_long,11,,,,,
player,201710010mia,mia,LandJa00,fumbles,0,,,,,
player,201710010mia,mia,LandJa00,fumbles_lost,0,,,,,
player,201710010mia,mia,ThomJu00,pass_cmp,0,,,,,
player,201710010mia,mia,ThomJu00,pass_att,0,,,,,
player,201710010mia,mia,ThomJu00,pass_yds,0,,,,,
player,201710010mia,mia,ThomJu00,pass_td,0,,,,,
player,201710010mia,mia,ThomJu00,pass_int,0,,,,,
player,201710010mia,mia,ThomJu00,pass_sacked,0,,,,,
player,201710010mia,mia,ThomJu00,pass_sacked_yds,0,,,,,
player,201710010mia,mia,ThomJu00,pass_long,0,,,,,
player,201710010mia,mia,ThomJu00,pass_rating,,,,,,
player,201710010mia,mia,ThomJu00,rush_att,0,,,,,
player,201710010mia,mia,ThomJu00,rush_yds,0,,,,,
player,201710010mia,mia,ThomJu00,rush_td,0,,,,,
player,201710010mia,mia,ThomJu00,rush_long,0,,,,,
player,201710010mia,mia,ThomJu00,targets,4,,,,,
player,201710010mia,mia,ThomJu00,rec,2,,,,,
player,201710010mia,mia,ThomJu00,rec_yds,29,,,,,
player,201710010mia,mia,ThomJu00,rec_td,0,,,,,
player,201710010mia,mia,ThomJu00,rec_long,23,,,,,
player,201710010mia,mia,ThomJu00,fumbles,0,,,,,
player,201710010mia,mia,ThomJu00,fumbles_lost,0,,,,,
player,201710010mia,mia,StilKe00,pass_cmp,0,,,,,
player,201710010mia,mia,StilKe00,pass_att,0,,,,,
player,201710010mia,mia,StilKe00,pass_yds,0,,,,,
player,201710010mia,mia,StilKe00,pass_td,0,,,,,
player,201710010mia,mia,StilKe00,pass_int,0,,,,,
player,201710010mia,mia,StilKe00,pass_sacked,0,,,,,
player,201710010mia,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201710010mia,mia,StilKe00,pass_long,0,,,,,
player,201710010mia,mia,StilKe00,pass_rating,,,,,,
player,201710010mia,mia,StilKe00,rush_att,0,,,,,
player,201710010mia,mia,StilKe00,rush_yds,0,,,,,
player,201710010mia,mia,StilKe00,rush_td,0,,,,,
player,201710010mia,mia,StilKe00,rush_long,0,,,,,
player,201710010mia,mia,StilKe00,targets,3,,,,,
player,201710010mia,mia,StilKe00,rec,3,,,,,
player,201710010mia,mia,StilKe00,rec_yds,13,,,,,
player,201710010mia,mia,StilKe00,rec_td,0,,,,,
player,201710010mia,mia,StilKe00,rec_long,6,,,,,
player,201710010mia,mia,StilKe00,fumbles,1,,,,,
player,201710010mia,mia,StilKe00,fumbles_lost,0,,,,,
player,201710010mia,nor,CrawKe02,def_int,1,,,,,
player,201710010mia,nor,CrawKe02,def_int_yds,0,,,,,
player,201710010mia,nor,CrawKe02,def_int_td,0,,,,,
player,201710010mia,nor,CrawKe02,def_int_long,0,,,,,
player,201710010mia,nor,CrawKe02,pass_defended,2,,,,,
player,201710010mia,nor,CrawKe02,sacks,0.0,,,,,
player,201710010mia,nor,CrawKe02,tackles_combined,4,,,,,
player,201710010mia,nor,CrawKe02,tackles_solo,4,,,,,
player,201710010mia,nor,CrawKe02,tackles_assists,0,,,,,
player,201710010mia,nor,CrawKe02,tackles_loss,0,,,,,
player,201710010mia,nor,CrawKe02,qb_hits,0,,,,,
player,201710010mia,nor,CrawKe02,fumbles_rec,0,,,,,
player,201710010mia,nor,CrawKe02,fumbles_rec_yds,0,,,,,
player,201710010mia,nor,CrawKe02,fumbles_rec_td,0,,,,,
player,201710010mia,nor,CrawKe02,fumbles_forced,0,,,,,
player,201710010mia,nor,JordCa00,def_int,0,,,,,
player,201710010mia,nor,JordCa00,def_int_yds,0,,,,,
player,201710010mia,nor,JordCa00,def_int_td,0,,,,,
player,201710010mia,nor,JordCa00,def_int_long,0,,,,,
player,201710010mia,nor,JordCa00,pass_defended,0,,,,,
player,201710010mia,nor,JordCa00,sacks,1.0,,,,,
player,201710010mia,nor,JordCa00,tackles_combined,4,,,,,
player,201710010mia,nor,JordCa00,tackles_solo,4,,,,,
player,201710010mia,nor,JordCa00,tackles_assists,0,,,,,
player,201710010mia,nor,JordCa00,tackles_loss,0,,,,,
player,201710010mia,nor,JordCa00,qb_hits,1,,,,,
player,201710010mia,nor,JordCa00,fumbles_rec,0,,,,,
player,201710010mia,nor,JordCa00,fumbles_rec_yds,0,,,,,
player,201710010mia,nor,JordCa00,fumbles_rec_td,0,,,,,
player,201710010mia,nor,JordCa00,fumbles_forced,1,,,,,
player,201710010mia,nor,KleiAJ00,def_int,0,,,,,
player,201710010mia,nor,KleiAJ00,def_int_yds,0,,,,,
player,201710010mia,nor,KleiAJ00,def_int_td,0,,,,,
player,201710010mia,nor,KleiAJ00,def_int_long,0,,,,,
player,201710010mia,nor,KleiAJ00,pass_defended,0,,,,,
player,201710010mia,nor,KleiAJ00,sacks,1.0,,,,,
player,201710010mia,nor,KleiAJ00,tackles_combined,4,,,,,
player,201710010mia,nor,KleiAJ00,tackles_solo,4,,,,,
player,201710010mia,nor,KleiAJ00,tackles_assists,0,,,,,
player,201710010mia,nor,KleiAJ00,tackles_loss,1,,,,,
player,201710010mia,nor,KleiAJ00,qb_hits,1,,,,,
player,201710010mia,nor,KleiAJ00,fumbles_rec,0,,,,,
player,201710010mia,nor,KleiAJ00,fumbles_rec_yds,0,,,,,
player,201710010mia,nor,KleiAJ00,fumbles_rec_td,0,,,,,
player,201710010mia,nor,KleiAJ00,fumbles_forced,0,,,,,
player,201710010mia,nor,BushRa00,def_int,0,,,,,
player,201710010mia,nor,BushRa00,def_int_yds,0,,,,,
player,201710010mia,nor,BushRa00,def_int_td,0,,,,,
player,201710010mia,nor,BushRa00,def_int_long,0,,,,,
player,201710010mia,nor,BushRa00,pass_defended,0,,,,,
player,201710010mia,nor,BushRa00,sacks,1.0,,,,,
player,201710010mia,nor,BushRa00,tackles_combined,1,,,,,
player,201710010mia,nor,BushRa00,tackles_solo,1,,,,,
player,201710010mia,nor,BushRa00,tackles_assists,0,,,,,
player,201710010mia,nor,BushRa00,tackles_loss,1,,,,,
player,201710010mia,nor,BushRa00,qb_hits,1,,,,,
player,201710010mia,nor,BushRa00,fumbles_rec,0,,,,,
player,201710010mia,nor,BushRa00,fumbles_rec_yds,0,,,,,
player,201710010mia,nor,BushRa00,fumbles_rec_td,0,,,,,
player,201710010mia,nor,BushRa00,fumbles_forced,0,,,,,
player,201710010mia,nor,OnyeDa00,def_int,0,,,,,
player,201710010mia,nor,OnyeDa00,def_int_yds,0,,,,,
player,201710010mia,nor,OnyeDa00,def_int_td,0,,,,,
player,201710010mia,nor,OnyeDa00,def_int_long,0,,,,,
player,201710010mia,nor,OnyeDa00,pass_defended,0,,,,,
player,201710010mia,nor,OnyeDa00,sacks,1.0,,,,,
player,201710010mia,nor,OnyeDa00,tackles_combined,1,,,,,
player,201710010mia,nor,OnyeDa00,tackles_solo,1,,,,,
player,201710010mia,nor,OnyeDa00,tackles_assists,0,,,,,
player,201710010mia,nor,OnyeDa00,tackles_loss,1,,,,,
