game,2017,10,20171112,201711120det,cle,"Cleveland Browns",24,det,"Detroit Lions",38
player,201711120det,cle,BritKe00,rec_td,1,,,,,
player,201711120det,cle,BritKe00,rec_long,19,,,,,
player,201711120det,cle,BritKe00,fumbles,0,,,,,
player,201711120det,cle,BritKe00,fumbles_lost,0,,,,,
player,201711120det,cle,HiggRa00,pass_cmp,0,,,,,
player,201711120det,cle,HiggRa00,pass_att,0,,,,,
player,201711120det,cle,HiggRa00,pass_yds,0,,,,,
player,201711120det,cle,HiggRa00,pass_td,0,,,,,
player,201711120det,cle,HiggRa00,pass_int,0,,,,,
player,201711120det,cle,HiggRa00,pass_sacked,0,,,,,
player,201711120det,cle,HiggRa00,pass_sacked_yds,0,,,,,
player,201711120det,cle,HiggRa00,pass_long,0,,,,,
player,201711120det,cle,HiggRa00,pass_rating,,,,,,
player,201711120det,cle,HiggRa00,rush_att,0,,,,,
player,201711120det,cle,HiggRa00,rush_yds,0,,,,,
player,201711120det,cle,HiggRa00,rush_td,0,,,,,
player,201711120det,cle,HiggRa00,rush_long,0,,,,,
player,201711120det,cle,HiggRa00,targets,4,,,,,
player,201711120det,cle,HiggRa00,rec,4,,,,,
player,201711120det,cle,HiggRa00,rec_yds,34,,,,,
player,201711120det,cle,HiggRa00,rec_td,0,,,,,
player,201711120det,cle,HiggRa00,rec_long,18,,,,,
player,201711120det,cle,HiggRa00,fumbles,0,,,,,
player,201711120det,cle,HiggRa00,fumbles_lost,0,,,,,
player,201711120det,cle,LouiRi00,pass_cmp,0,,,,,
player,201711120det,cle,LouiRi00,pass_att,0,,,,,
player,201711120det,cle,LouiRi00,pass_yds,0,,,,,
player,201711120det,cle,LouiRi00,pass_td,0,,,,,
player,201711120det,cle,LouiRi00,pass_int,0,,,,,
player,201711120det,cle,LouiRi00,pass_sacked,0,,,,,
player,201711120det,cle,LouiRi00,pass_sacked_yds,0,,,,,
player,201711120det,cle,LouiRi00,pass_long,0,,,,,
player,201711120det,cle,LouiRi00,pass_rating,,,,,,
player,201711120det,cle,LouiRi00,rush_att,0,,,,,
player,201711120det,cle,LouiRi00,rush_yds,0,,,,,
player,201711120det,cle,LouiRi00,rush_td,0,,,,,
player,201711120det,cle,LouiRi00,rush_long,0,,,,,
player,201711120det,cle,LouiRi00,targets,6,,,,,
player,201711120det,cle,LouiRi00,rec,2,,,,,
player,201711120det,cle,LouiRi00,rec_yds,15,,,,,
player,201711120det,cle,LouiRi00,rec_td,0,,,,,
player,201711120det,cle,LouiRi00,rec_long,12,,,,,
player,201711120det,cle,LouiRi00,fumbles,0,,,,,
player,201711120det,cle,LouiRi00,fumbles_lost,0,,,,,
player,201711120det,cle,NjokDa00,pass_cmp,0,,,,,
player,201711120det,cle,NjokDa00,pass_att,0,,,,,
player,201711120det,cle,NjokDa00,pass_yds,0,,,,,
player,201711120det,cle,NjokDa00,pass_td,0,,,,,
player,201711120det,cle,NjokDa00,pass_int,0,,,,,
player,201711120det,cle,NjokDa00,pass_sacked,0,,,,,
player,201711120det,cle,NjokDa00,pass_sacked_yds,0,,,,,
player,201711120det,cle,NjokDa00,pass_long,0,,,,,
player,201711120det,cle,NjokDa00,pass_rating,,,,,,
player,201711120det,cle,NjokDa00,rush_att,0,,,,,
player,201711120det,cle,NjokDa00,rush_yds,0,,,,,
player,201711120det,cle,NjokDa00,rush_td,0,,,,,
player,201711120det,cle,NjokDa00,rush_long,0,,,,,
