game,2017,8,20171029,201710290sea,htx,"Houston Texans",38,sea,"Seattle Seahawks",41
player,201710290sea,htx,AndeSt01,fumbles,0,,,,,
player,201710290sea,htx,AndeSt01,fumbles_lost,0,,,,,
player,201710290sea,htx,GrifRy00,pass_cmp,0,,,,,
player,201710290sea,htx,GrifRy00,pass_att,0,,,,,
player,201710290sea,htx,GrifRy00,pass_yds,0,,,,,
player,201710290sea,htx,GrifRy00,pass_td,0,,,,,
player,201710290sea,htx,GrifRy00,pass_int,0,,,,,
player,201710290sea,htx,GrifRy00,pass_sacked,0,,,,,
player,201710290sea,htx,GrifRy00,pass_sacked_yds,0,,,,,
player,201710290sea,htx,GrifRy00,pass_long,0,,,,,
player,201710290sea,htx,GrifRy00,pass_rating,,,,,,
player,201710290sea,htx,GrifRy00,rush_att,0,,,,,
player,201710290sea,htx,GrifRy00,rush_yds,0,,,,,
player,201710290sea,htx,GrifRy00,rush_td,0,,,,,
player,201710290sea,htx,GrifRy00,rush_long,0,,,,,
player,201710290sea,htx,GrifRy00,targets,2,,,,,
player,201710290sea,htx,GrifRy00,rec,1,,,,,
player,201710290sea,htx,GrifRy00,rec_yds,10,,,,,
player,201710290sea,htx,GrifRy00,rec_td,0,,,,,
player,201710290sea,htx,GrifRy00,rec_long,10,,,,,
player,201710290sea,htx,GrifRy00,fumbles,0,,,,,
player,201710290sea,htx,GrifRy00,fumbles_lost,0,,,,,
player,201710290sea,sea,WilsRu00,pass_cmp,26,,,,,
player,201710290sea,sea,WilsRu00,pass_att,41,,,,,
player,201710290sea,sea,WilsRu00,pass_yds,452,,,,,
player,201710290sea,sea,WilsRu00,pass_td,4,,,,,
player,201710290sea,sea,WilsRu00,pass_int,1,,,,,
player,201710290sea,sea,WilsRu00,pass_sacked,2,,,,,
player,201710290sea,sea,WilsRu00,pass_sacked_yds,6,,,,,
player,201710290sea,sea,WilsRu00,pass_long,66,,,,,
player,201710290sea,sea,WilsRu00,pass_rating,123.2,,,,,
player,201710290sea,sea,WilsRu00,rush_att,4,,,,,
player,201710290sea,sea,WilsRu00,rush_yds,30,,,,,
player,201710290sea,sea,WilsRu00,rush_td,0,,,,,
player,201710290sea,sea,WilsRu00,rush_long,21,,,,,
player,201710290sea,sea,WilsRu00,targets,0,,,,,
player,201710290sea,sea,WilsRu00,rec,0,,,,,
player,201710290sea,sea,WilsRu00,rec_yds,0,,,,,
player,201710290sea,sea,WilsRu00,rec_td,0,,,,,
player,201710290sea,sea,WilsRu00,rec_long,0,,,,,
player,201710290sea,sea,WilsRu00,fumbles,1,,,,,
player,201710290sea,sea,WilsRu00,fumbles_lost,0,,,,,
player,201710290sea,sea,McKiJ.00,pass_cmp,0,,,,,
player,201710290sea,sea,McKiJ.00,pass_att,0,,,,,
player,201710290sea,sea,McKiJ.00,pass_yds,0,,,,,
player,201710290sea,sea,McKiJ.00,pass_td,0,,,,,
player,201710290sea,sea,McKiJ.00,pass_int,0,,,,,
player,201710290sea,sea,McKiJ.00,pass_sacked,0,,,,,
player,201710290sea,sea,McKiJ.00,pass_sacked_yds,0,,,,,
player,201710290sea,sea,McKiJ.00,pass_long,0,,,,,
player,201710290sea,sea,McKiJ.00,pass_rating,,,,,,
player,201710290sea,sea,McKiJ.00,rush_att,4,,,,,
player,201710290sea,sea,McKiJ.00,rush_yds,6,,,,,
player,201710290sea,sea,McKiJ.00,rush_td,0,,,,,
player,201710290sea,sea,McKiJ.00,rush_long,4,,,,,
player,201710290sea,sea,McKiJ.00,targets,2,,,,,
player,201710290sea,sea,McKiJ.00,rec,1,,,,,
player,201710290sea,sea,McKiJ.00,rec_yds,6,,,,,
player,201710290sea,sea,McKiJ.00,rec_td,0,,,,,
player,201710290sea,sea,McKiJ.00,rec_long,6,,,,,
player,201710290sea,sea,McKiJ.00,fumbles,0,,,,,
player,201710290sea,sea,McKiJ.00,fumbles_lost,0,,,,,
player,201710290sea,sea,RichPa01,pass_cmp,0,,,,,
player,201710290sea,sea,RichPa01,pass_att,0,,,,,
player,201710290sea,sea,RichPa01,pass_yds,0,,,,,
player,201710290sea,sea,RichPa01,pass_td,0,,,,,
player,201710290sea,sea,RichPa01,pass_int,0,,,,,
player,201710290sea,sea,RichPa01,pass_sacked,0,,,,,
player,201710290sea,sea,RichPa01,pass_sacked_yds,0,,,,,
player,201710290sea,sea,RichPa01,pass_long,0,,,,,
player,201710290sea,sea,RichPa01,pass_rating,,,,,,
player,201710290sea,sea,RichPa01,rush_att,0,,,,,
