game,2017,13,20171203,201712030chi,sfo,"San Francisco 49ers",15,chi,"Chicago Bears",14
player,201712030chi,sfo,GaroJi00,rush_yds,8,,,,,
player,201712030chi,sfo,GaroJi00,rush_td,0,,,,,
player,201712030chi,sfo,GaroJi00,rush_long,8,,,,,
player,201712030chi,sfo,GaroJi00,targets,0,,,,,
player,201712030chi,sfo,GaroJi00,rec,0,,,,,
player,201712030chi,sfo,GaroJi00,rec_yds,0,,,,,
player,201712030chi,sfo,GaroJi00,rec_td,0,,,,,
player,201712030chi,sfo,GaroJi00,rec_long,0,,,,,
player,201712030chi,sfo,GaroJi00,fumbles,1,,,,,
player,201712030chi,sfo,GaroJi00,fumbles_lost,0,,,,,
player,201712030chi,sfo,HydeCa00,pass_cmp,0,,,,,
player,201712030chi,sfo,HydeCa00,pass_att,0,,,,,
player,201712030chi,sfo,HydeCa00,pass_yds,0,,,,,
player,201712030chi,sfo,HydeCa00,pass_td,0,,,,,
player,201712030chi,sfo,HydeCa00,pass_int,0,,,,,
player,201712030chi,sfo,HydeCa00,pass_sacked,0,,,,,
player,201712030chi,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201712030chi,sfo,HydeCa00,pass_long,0,,,,,
player,201712030chi,sfo,HydeCa00,pass_rating,,,,,,
player,201712030chi,sfo,HydeCa00,rush_att,17,,,,,
player,201712030chi,sfo,HydeCa00,rush_yds,54,,,,,
player,201712030chi,sfo,HydeCa00,rush_td,0,,,,,
player,201712030chi,sfo,HydeCa00,rush_long,18,,,,,
player,201712030chi,sfo,HydeCa00,targets,5,,,,,
player,201712030chi,sfo,HydeCa00,rec,3,,,,,
player,201712030chi,sfo,HydeCa00,rec_yds,12,,,,,
player,201712030chi,sfo,HydeCa00,rec_td,0,,,,,
player,201712030chi,sfo,HydeCa00,rec_long,4,,,,,
player,201712030chi,sfo,HydeCa00,fumbles,0,,,,,
player,201712030chi,sfo,HydeCa00,fumbles_lost,0,,,,,
player,201712030chi,sfo,BreiMa00,pass_cmp,0,,,,,
player,201712030chi,sfo,BreiMa00,pass_att,0,,,,,
player,201712030chi,sfo,BreiMa00,pass_yds,0,,,,,
player,201712030chi,sfo,BreiMa00,pass_td,0,,,,,
player,201712030chi,sfo,BreiMa00,pass_int,0,,,,,
player,201712030chi,sfo,BreiMa00,pass_sacked,0,,,,,
player,201712030chi,sfo,BreiMa00,pass_sacked_yds,0,,,,,
player,201712030chi,sfo,BreiMa00,pass_long,0,,,,,
player,201712030chi,sfo,BreiMa00,pass_rating,,,,,,
player,201712030chi,sfo,BreiMa00,rush_att,12,,,,,
player,201712030chi,sfo,BreiMa00,rush_yds,45,,,,,
player,201712030chi,sfo,BreiMa00,rush_td,0,,,,,
player,201712030chi,sfo,BreiMa00,rush_long,8,,,,,
player,201712030chi,sfo,BreiMa00,targets,1,,,,,
player,201712030chi,sfo,BreiMa00,rec,1,,,,,
player,201712030chi,sfo,BreiMa00,rec_yds,4,,,,,
player,201712030chi,sfo,BreiMa00,rec_td,0,,,,,
player,201712030chi,sfo,BreiMa00,rec_long,4,,,,,
player,201712030chi,sfo,BreiMa00,fumbles,0,,,,,
player,201712030chi,sfo,BreiMa00,fumbles_lost,0,,,,,
player,201712030chi,sfo,JuszKy00,pass_cmp,0,,,,,
player,201712030chi,sfo,JuszKy00,pass_att,0,,,,,
player,201712030chi,sfo,JuszKy00,pass_yds,0,,,,,
player,201712030chi,sfo,JuszKy00,pass_td,0,,,,,
player,201712030chi,sfo,JuszKy00,pass_int,0,,,,,
player,201712030chi,sfo,JuszKy00,pass_sacked,0,,,,,
player,201712030chi,sfo,JuszKy00,pass_sacked_yds,0,,,,,
player,201712030chi,sfo,JuszKy00,pass_long,0,,,,,
player,201712030chi,sfo,JuszKy00,pass_rating,,,,,,
player,201712030chi,sfo,JuszKy00,rush_att,1,,,,,
player,201712030chi,sfo,JuszKy00,rush_yds,3,,,,,
player,201712030chi,sfo,JuszKy00,rush_td,0,,,,,
player,201712030chi,sfo,JuszKy00,rush_long,3,,,,,
player,201712030chi,sfo,JuszKy00,targets,3,,,,,
player,201712030chi,sfo,JuszKy00,rec,3,,,,,
player,201712030chi,sfo,JuszKy00,rec_yds,20,,,,,
player,201712030chi,sfo,JuszKy00,rec_td,0,,,,,
player,201712030chi,sfo,JuszKy00,rec_long,16,,,,,
player,201712030chi,sfo,JuszKy00,fumbles,0,,,,,
player,201712030chi,sfo,JuszKy00,fumbles_lost,0,,,,,
player,201712030chi,sfo,GoodMa00,pass_cmp,0,,,,,
player,201712030chi,sfo,GoodMa00,pass_att,0,,,,,
player,201712030chi,sfo,GoodMa00,pass_yds,0,,,,,
player,201712030chi,sfo,GoodMa00,pass_td,0,,,,,
player,201712030chi,sfo,GoodMa00,pass_int,0,,,,,
player,201712030chi,sfo,GoodMa00,pass_sacked,0,,,,,
player,201712030chi,sfo,GoodMa00,pass_sacked_yds,0,,,,,
player,201712030chi,sfo,GoodMa00,pass_long,0,,,,,
player,201712030chi,sfo,GoodMa00,pass_rating,,,,,,
player,201712030chi,sfo,GoodMa00,rush_att,0,,,,,
player,201712030chi,sfo,GoodMa00,rush_yds,0,,,,,
player,201712030chi,sfo,GoodMa00,rush_td,0,,,,,
player,201712030chi,sfo,GoodMa00,rush_long,0,,,,,
player,201712030chi,sfo,GoodMa00,targets,8,,,,,
player,201712030chi,sfo,GoodMa00,rec,8,,,,,
player,201712030chi,sfo,GoodMa00,rec_yds,99,,,,,
player,201712030chi,sfo,GoodMa00,rec_td,0,,,,,
player,201712030chi,sfo,GoodMa00,rec_long,20,,,,,
player,201712030chi,sfo,GoodMa00,fumbles,0,,,,,
player,201712030chi,sfo,GoodMa00,fumbles_lost,0,,,,,
player,201712030chi,sfo,TaylTr02,pass_cmp,0,,,,,
player,201712030chi,sfo,TaylTr02,pass_att,0,,,,,
player,201712030chi,sfo,TaylTr02,pass_yds,0,,,,,
player,201712030chi,sfo,TaylTr02,pass_td,0,,,,,
player,201712030chi,sfo,TaylTr02,pass_int,0,,,,,
player,201712030chi,sfo,TaylTr02,pass_sacked,0,,,,,
player,201712030chi,sfo,TaylTr02,pass_sacked_yds,0,,,,,
player,201712030chi,sfo,TaylTr02,pass_long,0,,,,,
player,201712030chi,sfo,TaylTr02,pass_rating,,,,,,
player,201712030chi,sfo,TaylTr02,rush_att,0,,,,,
player,201712030chi,sfo,TaylTr02,rush_yds,0,,,,,
player,201712030chi,sfo,TaylTr02,rush_td,0,,,,,
player,201712030chi,sfo,TaylTr02,rush_long,0,,,,,
player,201712030chi,sfo,TaylTr02,targets,6,,,,,
player,201712030chi,sfo,TaylTr02,rec,6,,,,,
player,201712030chi,sfo,TaylTr02,rec_yds,92,,,,,
player,201712030chi,sfo,TaylTr02,rec_td,0,,,,,
player,201712030chi,sfo,TaylTr02,rec_long,33,,,,,
player,201712030chi,sfo,TaylTr02,fumbles,0,,,,,
player,201712030chi,sfo,TaylTr02,fumbles_lost,0,,,,,
player,201712030chi,sfo,CeleGa00,pass_cmp,0,,,,,
player,201712030chi,sfo,CeleGa00,pass_att,0,,,,,
player,201712030chi,sfo,CeleGa00,pass_yds,0,,,,,
player,201712030chi,sfo,CeleGa00,pass_td,0,,,,,
player,201712030chi,sfo,CeleGa00,pass_int,0,,,,,
player,201712030chi,sfo,CeleGa00,pass_sacked,0,,,,,
player,201712030chi,sfo,CeleGa00,pass_sacked_yds,0,,,,,
player,201712030chi,sfo,CeleGa00,pass_long,0,,,,,
player,201712030chi,sfo,CeleGa00,pass_rating,,,,,,
player,201712030chi,sfo,CeleGa00,rush_att,0,,,,,
player,201712030chi,sfo,CeleGa00,rush_yds,0,,,,,
player,201712030chi,sfo,CeleGa00,rush_td,0,,,,,
player,201712030chi,sfo,CeleGa00,rush_long,0,,,,,
player,201712030chi,sfo,CeleGa00,targets,4,,,,,
player,201712030chi,sfo,CeleGa00,rec,2,,,,,
player,201712030chi,sfo,CeleGa00,rec_yds,30,,,,,
player,201712030chi,sfo,CeleGa00,rec_td,0,,,,,
player,201712030chi,sfo,CeleGa00,rec_long,22,,,,,
player,201712030chi,sfo,CeleGa00,fumbles,0,,,,,
player,201712030chi,sfo,CeleGa00,fumbles_lost,0,,,,,
player,201712030chi,sfo,KittGe00,pass_cmp,0,,,,,
player,201712030chi,sfo,KittGe00,pass_att,0,,,,,
player,201712030chi,sfo,KittGe00,pass_yds,0,,,,,
player,201712030chi,sfo,KittGe00,pass_td,0,,,,,
player,201712030chi,sfo,KittGe00,pass_int,0,,,,,
player,201712030chi,sfo,KittGe00,pass_sacked,0,,,,,
player,201712030chi,sfo,KittGe00,pass_sacked_yds,0,,,,,
player,201712030chi,sfo,KittGe00,pass_long,0,,,,,
player,201712030chi,sfo,KittGe00,pass_rating,,,,,,
player,201712030chi,sfo,KittGe00,rush_att,0,,,,,
player,201712030chi,sfo,KittGe00,rush_yds,0,,,,,
player,201712030chi,sfo,KittGe00,rush_td,0,,,,,
player,201712030chi,sfo,KittGe00,rush_long,0,,,,,
player,201712030chi,sfo,KittGe00,targets,3,,,,,
player,201712030chi,sfo,KittGe00,rec,2,,,,,
player,201712030chi,sfo,KittGe00,rec_yds,20,,,,,
player,201712030chi,sfo,KittGe00,rec_td,0,,,,,
player,201712030chi,sfo,KittGe00,rec_long,11,,,,,
player,201712030chi,sfo,KittGe00,fumbles,0,,,,,
player,201712030chi,sfo,KittGe00,fumbles_lost,0,,,,,
player,201712030chi,sfo,MurpLo00,pass_cmp,0,,,,,
player,201712030chi,sfo,MurpLo00,pass_att,0,,,,,
player,201712030chi,sfo,MurpLo00,pass_yds,0,,,,,
player,201712030chi,sfo,MurpLo00,pass_td,0,,,,,
player,201712030chi,sfo,MurpLo00,pass_int,0,,,,,
player,201712030chi,sfo,MurpLo00,pass_sacked,0,,,,,
player,201712030chi,sfo,MurpLo00,pass_sacked_yds,0,,,,,
player,201712030chi,sfo,MurpLo00,pass_long,0,,,,,
player,201712030chi,sfo,MurpLo00,pass_rating,,,,,,
player,201712030chi,sfo,MurpLo00,rush_att,0,,,,,
player,201712030chi,sfo,MurpLo00,rush_yds,0,,,,,
player,201712030chi,sfo,MurpLo00,rush_td,0,,,,,
player,201712030chi,sfo,MurpLo00,rush_long,0,,,,,
player,201712030chi,sfo,MurpLo00,targets,6,,,,,
player,201712030chi,sfo,MurpLo00,rec,1,,,,,
player,201712030chi,sfo,MurpLo00,rec_yds,16,,,,,
player,201712030chi,sfo,MurpLo00,rec_td,0,,,,,
player,201712030chi,sfo,MurpLo00,rec_long,16,,,,,
player,201712030chi,sfo,MurpLo00,fumbles,0,,,,,
player,201712030chi,sfo,MurpLo00,fumbles_lost,0,,,,,
player,201712030chi,sfo,BourKe00,pass_cmp,0,,,,,
player,201712030chi,sfo,BourKe00,pass_att,0,,,,,
player,201712030chi,sfo,BourKe00,pass_yds,0,,,,,
player,201712030chi,sfo,BourKe00,pass_td,0,,,,,
player,201712030chi,sfo,BourKe00,pass_int,0,,,,,
player,201712030chi,sfo,BourKe00,pass_sacked,0,,,,,
player,201712030chi,sfo,BourKe00,pass_sacked_yds,0,,,,,
player,201712030chi,sfo,BourKe00,pass_long,0,,,,,
player,201712030chi,sfo,BourKe00,pass_rating,,,,,,
player,201712030chi,sfo,BourKe00,rush_att,0,,,,,
player,201712030chi,sfo,BourKe00,rush_yds,0,,,,,
player,201712030chi,sfo,BourKe00,rush_td,0,,,,,
player,201712030chi,sfo,BourKe00,rush_long,0,,,,,
player,201712030chi,sfo,BourKe00,targets,1,,,,,
player,201712030chi,sfo,BourKe00,rec,0,,,,,
player,201712030chi,sfo,BourKe00,rec_yds,0,,,,,
player,201712030chi,sfo,BourKe00,rec_td,0,,,,,
player,201712030chi,sfo,BourKe00,rec_long,0,,,,,
player,201712030chi,sfo,BourKe00,fumbles,0,,,,,
player,201712030chi,sfo,BourKe00,fumbles_lost,0,,,,,
player,201712030chi,chi,TrubMi00,pass_cmp,12,,,,,
player,201712030chi,chi,TrubMi00,pass_att,15,,,,,
player,201712030chi,chi,TrubMi00,pass_yds,102,,,,,
player,201712030chi,chi,TrubMi00,pass_td,1,,,,,
player,201712030chi,chi,TrubMi00,pass_int,0,,,,,
player,201712030chi,chi,TrubMi00,pass_sacked,2,,,,,
player,201712030chi,chi,TrubMi00,pass_sacked_yds,17,,,,,
player,201712030chi,chi,TrubMi00,pass_long,21,,,,,
player,201712030chi,chi,TrubMi00,pass_rating,117.2,,,,,
player,201712030chi,chi,TrubMi00,rush_att,4,,,,,
player,201712030chi,chi,TrubMi00,rush_yds,19,,,,,
player,201712030chi,chi,TrubMi00,rush_td,0,,,,,
player,201712030chi,chi,TrubMi00,rush_long,9,,,,,
player,201712030chi,chi,TrubMi00,targets,0,,,,,
player,201712030chi,chi,TrubMi00,rec,0,,,,,
player,201712030chi,chi,TrubMi00,rec_yds,0,,,,,
player,201712030chi,chi,TrubMi00,rec_td,0,,,,,
player,201712030chi,chi,TrubMi00,rec_long,0,,,,,
player,201712030chi,chi,TrubMi00,fumbles,2,,,,,
player,201712030chi,chi,TrubMi00,fumbles_lost,0,,,,,
player,201712030chi,chi,HowaJo00,pass_cmp,0,,,,,
player,201712030chi,chi,HowaJo00,pass_att,0,,,,,
player,201712030chi,chi,HowaJo00,pass_yds,0,,,,,
player,201712030chi,chi,HowaJo00,pass_td,0,,,,,
player,201712030chi,chi,HowaJo00,pass_int,0,,,,,
player,201712030chi,chi,HowaJo00,pass_sacked,0,,,,,
player,201712030chi,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201712030chi,chi,HowaJo00,pass_long,0,,,,,
player,201712030chi,chi,HowaJo00,pass_rating,,,,,,
player,201712030chi,chi,HowaJo00,rush_att,13,,,,,
player,201712030chi,chi,HowaJo00,rush_yds,38,,,,,
player,201712030chi,chi,HowaJo00,rush_td,0,,,,,
player,201712030chi,chi,HowaJo00,rush_long,14,,,,,
player,201712030chi,chi,HowaJo00,targets,2,,,,,
player,201712030chi,chi,HowaJo00,rec,1,,,,,
player,201712030chi,chi,HowaJo00,rec_yds,-5,,,,,
player,201712030chi,chi,HowaJo00,rec_td,0,,,,,
player,201712030chi,chi,HowaJo00,rec_long,-5,,,,,
player,201712030chi,chi,HowaJo00,fumbles,0,,,,,
player,201712030chi,chi,HowaJo00,fumbles_lost,0,,,,,
player,201712030chi,chi,CoheTa00,pass_cmp,0,,,,,
player,201712030chi,chi,CoheTa00,pass_att,0,,,,,
player,201712030chi,chi,CoheTa00,pass_yds,0,,,,,
player,201712030chi,chi,CoheTa00,pass_td,0,,,,,
player,201712030chi,chi,CoheTa00,pass_int,0,,,,,
player,201712030chi,chi,CoheTa00,pass_sacked,0,,,,,
player,201712030chi,chi,CoheTa00,pass_sacked_yds,0,,,,,
player,201712030chi,chi,CoheTa00,pass_long,0,,,,,
player,201712030chi,chi,CoheTa00,pass_rating,,,,,,
player,201712030chi,chi,CoheTa00,rush_att,2,,,,,
player,201712030chi,chi,CoheTa00,rush_yds,5,,,,,
player,201712030chi,chi,CoheTa00,rush_td,0,,,,,
player,201712030chi,chi,CoheTa00,rush_long,4,,,,,
player,201712030chi,chi,CoheTa00,targets,4,,,,,
player,201712030chi,chi,CoheTa00,rec,4,,,,,
player,201712030chi,chi,CoheTa00,rec_yds,39,,,,,
player,201712030chi,chi,CoheTa00,rec_td,0,,,,,
player,201712030chi,chi,CoheTa00,rec_long,21,,,,,
player,201712030chi,chi,CoheTa00,fumbles,0,,,,,
player,201712030chi,chi,CoheTa00,fumbles_lost,0,,,,,
player,201712030chi,chi,WrigKe01,pass_cmp,0,,,,,
player,201712030chi,chi,WrigKe01,pass_att,0,,,,,
player,201712030chi,chi,WrigKe01,pass_yds,0,,,,,
player,201712030chi,chi,WrigKe01,pass_td,0,,,,,
player,201712030chi,chi,WrigKe01,pass_int,0,,,,,
player,201712030chi,chi,WrigKe01,pass_sacked,0,,,,,
player,201712030chi,chi,WrigKe01,pass_sacked_yds,0,,,,,
player,201712030chi,chi,WrigKe01,pass_long,0,,,,,
player,201712030chi,chi,WrigKe01,pass_rating,,,,,,
player,201712030chi,chi,WrigKe01,rush_att,0,,,,,
player,201712030chi,chi,WrigKe01,rush_yds,0,,,,,
player,201712030chi,chi,WrigKe01,rush_td,0,,,,,
player,201712030chi,chi,WrigKe01,rush_long,0,,,,,
player,201712030chi,chi,WrigKe01,targets,2,,,,,
player,201712030chi,chi,WrigKe01,rec,2,,,,,
player,201712030chi,chi,WrigKe01,rec_yds,25,,,,,
player,201712030chi,chi,WrigKe01,rec_td,0,,,,,
player,201712030chi,chi,WrigKe01,rec_long,14,,,,,
player,201712030chi,chi,WrigKe01,fumbles,0,,,,,
player,201712030chi,chi,WrigKe01,fumbles_lost,0,,,,,
player,201712030chi,chi,InmaDo00,pass_cmp,0,,,,,
player,201712030chi,chi,InmaDo00,pass_att,0,,,,,
player,201712030chi,chi,InmaDo00,pass_yds,0,,,,,
player,201712030chi,chi,InmaDo00,pass_td,0,,,,,
player,201712030chi,chi,InmaDo00,pass_int,0,,,,,
player,201712030chi,chi,InmaDo00,pass_sacked,0,,,,,
player,201712030chi,chi,InmaDo00,pass_sacked_yds,0,,,,,
player,201712030chi,chi,InmaDo00,pass_long,0,,,,,
player,201712030chi,chi,InmaDo00,pass_rating,,,,,,
player,201712030chi,chi,InmaDo00,rush_att,0,,,,,
player,201712030chi,chi,InmaDo00,rush_yds,0,,,,,
player,201712030chi,chi,InmaDo00,rush_td,0,,,,,
player,201712030chi,chi,InmaDo00,rush_long,0,,,,,
player,201712030chi,chi,InmaDo00,targets,2,,,,,
player,201712030chi,chi,InmaDo00,rec,2,,,,,
player,201712030chi,chi,InmaDo00,rec_yds,21,,,,,
player,201712030chi,chi,InmaDo00,rec_td,1,,,,,
player,201712030chi,chi,InmaDo00,rec_long,13,,,,,
player,201712030chi,chi,InmaDo00,fumbles,0,,,,,
player,201712030chi,chi,InmaDo00,fumbles_lost,0,,,,,
player,201712030chi,chi,BrowDa04,pass_cmp,0,,,,,
player,201712030chi,chi,BrowDa04,pass_att,0,,,,,
player,201712030chi,chi,BrowDa04,pass_yds,0,,,,,
player,201712030chi,chi,BrowDa04,pass_td,0,,,,,
player,201712030chi,chi,BrowDa04,pass_int,0,,,,,
player,201712030chi,chi,BrowDa04,pass_sacked,0,,,,,
player,201712030chi,chi,BrowDa04,pass_sacked_yds,0,,,,,
player,201712030chi,chi,BrowDa04,pass_long,0,,,,,
player,201712030chi,chi,BrowDa04,pass_rating,,,,,,
player,201712030chi,chi,BrowDa04,rush_att,0,,,,,
player,201712030chi,chi,BrowDa04,rush_yds,0,,,,,
player,201712030chi,chi,BrowDa04,rush_td,0,,,,,
player,201712030chi,chi,BrowDa04,rush_long,0,,,,,
player,201712030chi,chi,BrowDa04,targets,1,,,,,
player,201712030chi,chi,BrowDa04,rec,1,,,,,
player,201712030chi,chi,BrowDa04,rec_yds,13,,,,,
player,201712030chi,chi,BrowDa04,rec_td,0,,,,,
player,201712030chi,chi,BrowDa04,rec_long,13,,,,,
player,201712030chi,chi,BrowDa04,fumbles,0,,,,,
player,201712030chi,chi,BrowDa04,fumbles_lost,0,,,,,
player,201712030chi,chi,SimsDi00,pass_cmp,0,,,,,
player,201712030chi,chi,SimsDi00,pass_att,0,,,,,
player,201712030chi,chi,SimsDi00,pass_yds,0,,,,,
player,201712030chi,chi,SimsDi00,pass_td,0,,,,,
player,201712030chi,chi,SimsDi00,pass_int,0,,,,,
player,201712030chi,chi,SimsDi00,pass_sacked,0,,,,,
player,201712030chi,chi,SimsDi00,pass_sacked_yds,0,,,,,
player,201712030chi,chi,SimsDi00,pass_long,0,,,,,
player,201712030chi,chi,SimsDi00,pass_rating,,,,,,
player,201712030chi,chi,SimsDi00,rush_att,0,,,,,
player,201712030chi,chi,SimsDi00,rush_yds,0,,,,,
player,201712030chi,chi,SimsDi00,rush_td,0,,,,,
player,201712030chi,chi,SimsDi00,rush_long,0,,,,,
player,201712030chi,chi,SimsDi00,targets,2,,,,,
player,201712030chi,chi,SimsDi00,rec,1,,,,,
player,201712030chi,chi,SimsDi00,rec_yds,5,,,,,
player,201712030chi,chi,SimsDi00,rec_td,0,,,,,
player,201712030chi,chi,SimsDi00,rec_long,5,,,,,
player,201712030chi,chi,SimsDi00,fumbles,0,,,,,
player,201712030chi,chi,SimsDi00,fumbles_lost,0,,,,,
player,201712030chi,chi,BellJo02,pass_cmp,0,,,,,
player,201712030chi,chi,BellJo02,pass_att,0,,,,,
player,201712030chi,chi,BellJo02,pass_yds,0,,,,,
player,201712030chi,chi,BellJo02,pass_td,0,,,,,
player,201712030chi,chi,BellJo02,pass_int,0,,,,,
player,201712030chi,chi,BellJo02,pass_sacked,0,,,,,
player,201712030chi,chi,BellJo02,pass_sacked_yds,0,,,,,
player,201712030chi,chi,BellJo02,pass_long,0,,,,,
player,201712030chi,chi,BellJo02,pass_rating,,,,,,
player,201712030chi,chi,BellJo02,rush_att,0,,,,,
player,201712030chi,chi,BellJo02,rush_yds,0,,,,,
player,201712030chi,chi,BellJo02,rush_td,0,,,,,
player,201712030chi,chi,BellJo02,rush_long,0,,,,,
player,201712030chi,chi,BellJo02,targets,2,,,,,
player,201712030chi,chi,BellJo02,rec,1,,,,,
player,201712030chi,chi,BellJo02,rec_yds,4,,,,,
player,201712030chi,chi,BellJo02,rec_td,0,,,,,
player,201712030chi,chi,BellJo02,rec_long,4,,,,,
player,201712030chi,chi,BellJo02,fumbles,0,,,,,
player,201712030chi,chi,BellJo02,fumbles_lost,0,,,,,
player,201712030chi,sfo,DumeEl20,def_int,0,,,,,
player,201712030chi,sfo,DumeEl20,def_int_yds,0,,,,,
player,201712030chi,sfo,DumeEl20,def_int_td,0,,,,,
player,201712030chi,sfo,DumeEl20,def_int_long,0,,,,,
player,201712030chi,sfo,DumeEl20,pass_defended,0,,,,,
player,201712030chi,sfo,DumeEl20,sacks,1.0,,,,,
player,201712030chi,sfo,DumeEl20,tackles_combined,2,,,,,
player,201712030chi,sfo,DumeEl20,tackles_solo,2,,,,,
player,201712030chi,sfo,DumeEl20,tackles_assists,0,,,,,
player,201712030chi,sfo,DumeEl20,tackles_loss,2,,,,,
player,201712030chi,sfo,DumeEl20,qb_hits,1,,,,,
player,201712030chi,sfo,DumeEl20,fumbles_rec,0,,,,,
player,201712030chi,sfo,DumeEl20,fumbles_rec_yds,0,,,,,
player,201712030chi,sfo,DumeEl20,fumbles_rec_td,0,,,,,
player,201712030chi,sfo,DumeEl20,fumbles_forced,0,,,,,
player,201712030chi,sfo,MarsCa00,def_int,0,,,,,
player,201712030chi,sfo,MarsCa00,def_int_yds,0,,,,,
player,201712030chi,sfo,MarsCa00,def_int_td,0,,,,,
player,201712030chi,sfo,MarsCa00,def_int_long,0,,,,,
player,201712030chi,sfo,MarsCa00,pass_defended,0,,,,,
player,201712030chi,sfo,MarsCa00,sacks,1.0,,,,,
player,201712030chi,sfo,MarsCa00,tackles_combined,1,,,,,
player,201712030chi,sfo,MarsCa00,tackles_solo,1,,,,,
player,201712030chi,sfo,MarsCa00,tackles_assists,0,,,,,
player,201712030chi,sfo,MarsCa00,tackles_loss,0,,,,,
player,201712030chi,sfo,MarsCa00,qb_hits,0,,,,,
player,201712030chi,sfo,MarsCa00,fumbles_rec,0,,,,,
player,201712030chi,sfo,MarsCa00,fumbles_rec_yds,0,,,,,
player,201712030chi,sfo,MarsCa00,fumbles_rec_td,0,,,,,
player,201712030chi,sfo,MarsCa00,fumbles_forced,1,,,,,
player,201712030chi,sfo,FostRe00,def_int,0,,,,,
player,201712030chi,sfo,FostRe00,def_int_yds,0,,,,,
player,201712030chi,sfo,FostRe00,def_int_td,0,,,,,
player,201712030chi,sfo,FostRe00,def_int_long,0,,,,,
player,201712030chi,sfo,FostRe00,pass_defended,0,,,,,
player,201712030chi,sfo,FostRe00,sacks,0.0,,,,,
player,201712030chi,sfo,FostRe00,tackles_combined,7,,,,,
player,201712030chi,sfo,FostRe00,tackles_solo,7,,,,,
player,201712030chi,sfo,FostRe00,tackles_assists,0,,,,,
player,201712030chi,sfo,FostRe00,tackles_loss,0,,,,,
player,201712030chi,sfo,FostRe00,qb_hits,0,,,,,
player,201712030chi,sfo,FostRe00,fumbles_rec,0,,,,,
player,201712030chi,sfo,FostRe00,fumbles_rec_yds,0,,,,,
player,201712030chi,sfo,FostRe00,fumbles_rec_td,0,,,,,
player,201712030chi,sfo,FostRe00,fumbles_forced,0,,,,,
player,201712030chi,sfo,ReidEr00,def_int,0,,,,,
player,201712030chi,sfo,ReidEr00,def_int_yds,0,,,,,
player,201712030chi,sfo,ReidEr00,def_int_td,0,,,,,
player,201712030chi,sfo,ReidEr00,def_int_long,0,,,,,
player,201712030chi,sfo,ReidEr00,pass_defended,0,,,,,
player,201712030chi,sfo,ReidEr00,sacks,0.0,,,,,
player,201712030chi,sfo,ReidEr00,tackles_combined,4,,,,,
player,201712030chi,sfo,ReidEr00,tackles_solo,4,,,,,
player,201712030chi,sfo,ReidEr00,tackles_assists,0,,,,,
player,201712030chi,sfo,ReidEr00,tackles_loss,1,,,,,
player,201712030chi,sfo,ReidEr00,qb_hits,0,,,,,
player,201712030chi,sfo,ReidEr00,fumbles_rec,0,,,,,
player,201712030chi,sfo,ReidEr00,fumbles_rec_yds,0,,,,,
player,201712030chi,sfo,ReidEr00,fumbles_rec_td,0,,,,,
player,201712030chi,sfo,ReidEr00,fumbles_forced,0,,,,,
player,201712030chi,sfo,WillKW00,def_int,0,,,,,
