game,2017,14,20171210,201712100htx,sfo,"San Francisco 49ers",26,htx,"Houston Texans",16
player,201712100htx,sfo,MurpLo00,pass_rating,,,,,,
player,201712100htx,sfo,MurpLo00,rush_att,0,,,,,
player,201712100htx,sfo,MurpLo00,rush_yds,0,,,,,
player,201712100htx,sfo,MurpLo00,rush_td,0,,,,,
player,201712100htx,sfo,MurpLo00,rush_long,0,,,,,
player,201712100htx,sfo,MurpLo00,targets,2,,,,,
player,201712100htx,sfo,MurpLo00,rec,1,,,,,
player,201712100htx,sfo,MurpLo00,rec_yds,20,,,,,
player,201712100htx,sfo,MurpLo00,rec_td,0,,,,,
player,201712100htx,sfo,MurpLo00,rec_long,20,,,,,
player,201712100htx,sfo,MurpLo00,fumbles,0,,,,,
player,201712100htx,sfo,MurpLo00,fumbles_lost,0,,,,,
player,201712100htx,sfo,TaylTr02,pass_cmp,0,,,,,
player,201712100htx,sfo,TaylTr02,pass_att,0,,,,,
player,201712100htx,sfo,TaylTr02,pass_yds,0,,,,,
player,201712100htx,sfo,TaylTr02,pass_td,0,,,,,
player,201712100htx,sfo,TaylTr02,pass_int,0,,,,,
player,201712100htx,sfo,TaylTr02,pass_sacked,0,,,,,
player,201712100htx,sfo,TaylTr02,pass_sacked_yds,0,,,,,
player,201712100htx,sfo,TaylTr02,pass_long,0,,,,,
player,201712100htx,sfo,TaylTr02,pass_rating,,,,,,
player,201712100htx,sfo,TaylTr02,rush_att,0,,,,,
player,201712100htx,sfo,TaylTr02,rush_yds,0,,,,,
player,201712100htx,sfo,TaylTr02,rush_td,0,,,,,
player,201712100htx,sfo,TaylTr02,rush_long,0,,,,,
player,201712100htx,sfo,TaylTr02,targets,3,,,,,
player,201712100htx,sfo,TaylTr02,rec,2,,,,,
player,201712100htx,sfo,TaylTr02,rec_yds,11,,,,,
player,201712100htx,sfo,TaylTr02,rec_td,0,,,,,
player,201712100htx,sfo,TaylTr02,rec_long,6,,,,,
player,201712100htx,sfo,TaylTr02,fumbles,0,,,,,
player,201712100htx,sfo,TaylTr02,fumbles_lost,0,,,,,
player,201712100htx,sfo,KittGe00,pass_cmp,0,,,,,
player,201712100htx,sfo,KittGe00,pass_att,0,,,,,
player,201712100htx,sfo,KittGe00,pass_yds,0,,,,,
player,201712100htx,sfo,KittGe00,pass_td,0,,,,,
