game,2017,11,20171119,201711190nyg,kan,"Kansas City Chiefs",9,nyg,"New York Giants",12
player,201711190nyg,kan,HuntKa00,pass_cmp,0,,,,,
player,201711190nyg,kan,HuntKa00,pass_att,0,,,,,
player,201711190nyg,kan,HuntKa00,pass_yds,0,,,,,
player,201711190nyg,kan,HuntKa00,pass_td,0,,,,,
player,201711190nyg,kan,HuntKa00,pass_int,0,,,,,
player,201711190nyg,kan,HuntKa00,pass_sacked,0,,,,,
player,201711190nyg,kan,HuntKa00,pass_sacked_yds,0,,,,,
player,201711190nyg,kan,HuntKa00,pass_long,0,,,,,
player,201711190nyg,kan,HuntKa00,pass_rating,,,,,,
player,201711190nyg,kan,HuntKa00,rush_att,18,,,,,
player,201711190nyg,kan,HuntKa00,rush_yds,73,,,,,
player,201711190nyg,kan,HuntKa00,rush_td,0,,,,,
player,201711190nyg,kan,HuntKa00,rush_long,12,,,,,
player,201711190nyg,kan,HuntKa00,targets,4,,,,,
player,201711190nyg,kan,HuntKa00,rec,3,,,,,
player,201711190nyg,kan,HuntKa00,rec_yds,4,,,,,
player,201711190nyg,kan,HuntKa00,rec_td,0,,,,,
player,201711190nyg,kan,HuntKa00,rec_long,2,,,,,
player,201711190nyg,kan,HuntKa00,fumbles,0,,,,,
player,201711190nyg,kan,HuntKa00,fumbles_lost,0,,,,,
player,201711190nyg,kan,HillTy00,pass_cmp,0,,,,,
player,201711190nyg,kan,HillTy00,pass_att,0,,,,,
player,201711190nyg,kan,HillTy00,pass_yds,0,,,,,
player,201711190nyg,kan,HillTy00,pass_td,0,,,,,
player,201711190nyg,kan,HillTy00,pass_int,0,,,,,
player,201711190nyg,kan,HillTy00,pass_sacked,0,,,,,
player,201711190nyg,kan,HillTy00,pass_sacked_yds,0,,,,,
player,201711190nyg,kan,HillTy00,pass_long,0,,,,,
player,201711190nyg,kan,HillTy00,pass_rating,,,,,,
player,201711190nyg,kan,HillTy00,rush_att,1,,,,,
player,201711190nyg,kan,HillTy00,rush_yds,16,,,,,
player,201711190nyg,kan,HillTy00,rush_td,0,,,,,
player,201711190nyg,kan,HillTy00,rush_long,16,,,,,
player,201711190nyg,kan,HillTy00,targets,7,,,,,
player,201711190nyg,kan,HillTy00,rec,7,,,,,
player,201711190nyg,kan,HillTy00,rec_yds,68,,,,,
player,201711190nyg,kan,HillTy00,rec_td,0,,,,,
player,201711190nyg,kan,HillTy00,rec_long,38,,,,,
player,201711190nyg,kan,HillTy00,fumbles,0,,,,,
player,201711190nyg,kan,HillTy00,fumbles_lost,0,,,,,
player,201711190nyg,kan,WestCh01,pass_cmp,0,,,,,
player,201711190nyg,kan,WestCh01,pass_att,0,,,,,
player,201711190nyg,kan,WestCh01,pass_yds,0,,,,,
player,201711190nyg,kan,WestCh01,pass_td,0,,,,,
player,201711190nyg,kan,WestCh01,pass_int,0,,,,,
player,201711190nyg,kan,WestCh01,pass_sacked,0,,,,,
player,201711190nyg,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201711190nyg,kan,WestCh01,pass_long,0,,,,,
player,201711190nyg,kan,WestCh01,pass_rating,,,,,,
player,201711190nyg,kan,WestCh01,rush_att,4,,,,,
player,201711190nyg,kan,WestCh01,rush_yds,15,,,,,
player,201711190nyg,kan,WestCh01,rush_td,0,,,,,
player,201711190nyg,kan,WestCh01,rush_long,8,,,,,
player,201711190nyg,kan,WestCh01,targets,4,,,,,
player,201711190nyg,kan,WestCh01,rec,4,,,,,
player,201711190nyg,kan,WestCh01,rec_yds,9,,,,,
player,201711190nyg,kan,WestCh01,rec_td,0,,,,,
player,201711190nyg,kan,WestCh01,rec_long,3,,,,,
player,201711190nyg,kan,WestCh01,fumbles,0,,,,,
player,201711190nyg,kan,WestCh01,fumbles_lost,0,,,,,
player,201711190nyg,kan,HuntAk01,pass_cmp,0,,,,,
player,201711190nyg,kan,HuntAk01,pass_att,0,,,,,
player,201711190nyg,kan,HuntAk01,pass_yds,0,,,,,
player,201711190nyg,kan,HuntAk01,pass_td,0,,,,,
player,201711190nyg,kan,HuntAk01,pass_int,0,,,,,
player,201711190nyg,kan,HuntAk01,pass_sacked,0,,,,,
player,201711190nyg,kan,HuntAk01,pass_sacked_yds,0,,,,,
player,201711190nyg,kan,HuntAk01,pass_long,0,,,,,
player,201711190nyg,kan,HuntAk01,pass_rating,,,,,,
player,201711190nyg,kan,HuntAk01,rush_att,1,,,,,
player,201711190nyg,kan,HuntAk01,rush_yds,3,,,,,
player,201711190nyg,kan,HuntAk01,rush_td,0,,,,,
player,201711190nyg,kan,HuntAk01,rush_long,3,,,,,
player,201711190nyg,kan,HuntAk01,targets,0,,,,,
player,201711190nyg,kan,HuntAk01,rec,0,,,,,
player,201711190nyg,kan,HuntAk01,rec_yds,0,,,,,
player,201711190nyg,kan,HuntAk01,rec_td,0,,,,,
player,201711190nyg,kan,HuntAk01,rec_long,0,,,,,
player,201711190nyg,kan,HuntAk01,fumbles,0,,,,,
player,201711190nyg,kan,HuntAk01,fumbles_lost,0,,,,,
player,201711190nyg,kan,SherAn00,pass_cmp,0,,,,,
player,201711190nyg,kan,SherAn00,pass_att,0,,,,,
player,201711190nyg,kan,SherAn00,pass_yds,0,,,,,
player,201711190nyg,kan,SherAn00,pass_td,0,,,,,
player,201711190nyg,kan,SherAn00,pass_int,0,,,,,
player,201711190nyg,kan,SherAn00,pass_sacked,0,,,,,
player,201711190nyg,kan,SherAn00,pass_sacked_yds,0,,,,,
player,201711190nyg,kan,SherAn00,pass_long,0,,,,,
player,201711190nyg,kan,SherAn00,pass_rating,,,,,,
player,201711190nyg,kan,SherAn00,rush_att,0,,,,,
player,201711190nyg,kan,SherAn00,rush_yds,0,,,,,
player,201711190nyg,kan,SherAn00,rush_td,0,,,,,
player,201711190nyg,kan,SherAn00,rush_long,0,,,,,
player,201711190nyg,kan,SherAn00,targets,1,,,,,
player,201711190nyg,kan,SherAn00,rec,1,,,,,
player,201711190nyg,kan,SherAn00,rec_yds,11,,,,,
player,201711190nyg,kan,SherAn00,rec_td,0,,,,,
player,201711190nyg,kan,SherAn00,rec_long,11,,,,,
player,201711190nyg,kan,SherAn00,fumbles,0,,,,,
player,201711190nyg,kan,SherAn00,fumbles_lost,0,,,,,
player,201711190nyg,kan,ThomDe05,pass_cmp,0,,,,,
player,201711190nyg,kan,ThomDe05,pass_att,0,,,,,
player,201711190nyg,kan,ThomDe05,pass_yds,0,,,,,
player,201711190nyg,kan,ThomDe05,pass_td,0,,,,,
player,201711190nyg,kan,ThomDe05,pass_int,0,,,,,
player,201711190nyg,kan,ThomDe05,pass_sacked,0,,,,,
player,201711190nyg,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201711190nyg,kan,ThomDe05,pass_long,0,,,,,
player,201711190nyg,kan,ThomDe05,pass_rating,,,,,,
player,201711190nyg,kan,ThomDe05,rush_att,0,,,,,
player,201711190nyg,kan,ThomDe05,rush_yds,0,,,,,
player,201711190nyg,kan,ThomDe05,rush_td,0,,,,,
player,201711190nyg,kan,ThomDe05,rush_long,0,,,,,
player,201711190nyg,kan,ThomDe05,targets,2,,,,,
player,201711190nyg,kan,ThomDe05,rec,2,,,,,
player,201711190nyg,kan,ThomDe05,rec_yds,11,,,,,
player,201711190nyg,kan,ThomDe05,rec_td,0,,,,,
player,201711190nyg,kan,ThomDe05,rec_long,9,,,,,
player,201711190nyg,kan,ThomDe05,fumbles,1,,,,,
player,201711190nyg,kan,ThomDe05,fumbles_lost,0,,,,,
player,201711190nyg,kan,TravRo00,pass_cmp,0,,,,,
player,201711190nyg,kan,TravRo00,pass_att,0,,,,,
player,201711190nyg,kan,TravRo00,pass_yds,0,,,,,
player,201711190nyg,kan,TravRo00,pass_td,0,,,,,
player,201711190nyg,kan,TravRo00,pass_int,0,,,,,
player,201711190nyg,kan,TravRo00,pass_sacked,0,,,,,
player,201711190nyg,kan,TravRo00,pass_sacked_yds,0,,,,,
player,201711190nyg,kan,TravRo00,pass_long,0,,,,,
player,201711190nyg,kan,TravRo00,pass_rating,,,,,,
player,201711190nyg,kan,TravRo00,rush_att,0,,,,,
player,201711190nyg,kan,TravRo00,rush_yds,0,,,,,
player,201711190nyg,kan,TravRo00,rush_td,0,,,,,
player,201711190nyg,kan,TravRo00,rush_long,0,,,,,
player,201711190nyg,kan,TravRo00,targets,3,,,,,
player,201711190nyg,kan,TravRo00,rec,1,,,,,
player,201711190nyg,kan,TravRo00,rec_yds,11,,,,,
player,201711190nyg,kan,TravRo00,rec_td,0,,,,,
player,201711190nyg,kan,TravRo00,rec_long,11,,,,,
player,201711190nyg,kan,TravRo00,fumbles,0,,,,,
player,201711190nyg,kan,TravRo00,fumbles_lost,0,,,,,
player,201711190nyg,kan,RobiDe01,pass_cmp,0,,,,,
player,201711190nyg,kan,RobiDe01,pass_att,0,,,,,
player,201711190nyg,kan,RobiDe01,pass_yds,0,,,,,
player,201711190nyg,kan,RobiDe01,pass_td,0,,,,,
player,201711190nyg,kan,RobiDe01,pass_int,0,,,,,
player,201711190nyg,kan,RobiDe01,pass_sacked,0,,,,,
player,201711190nyg,kan,RobiDe01,pass_sacked_yds,0,,,,,
player,201711190nyg,kan,RobiDe01,pass_long,0,,,,,
player,201711190nyg,kan,RobiDe01,pass_rating,,,,,,
player,201711190nyg,kan,RobiDe01,rush_att,0,,,,,
player,201711190nyg,kan,RobiDe01,rush_yds,0,,,,,
player,201711190nyg,kan,RobiDe01,rush_td,0,,,,,
player,201711190nyg,kan,RobiDe01,rush_long,0,,,,,
player,201711190nyg,kan,RobiDe01,targets,3,,,,,
player,201711190nyg,kan,RobiDe01,rec,1,,,,,
player,201711190nyg,kan,RobiDe01,rec_yds,7,,,,,
player,201711190nyg,kan,RobiDe01,rec_td,0,,,,,
player,201711190nyg,kan,RobiDe01,rec_long,7,,,,,
player,201711190nyg,kan,RobiDe01,fumbles,0,,,,,
player,201711190nyg,kan,RobiDe01,fumbles_lost,0,,,,,
player,201711190nyg,kan,HarrDe03,pass_cmp,0,,,,,
player,201711190nyg,kan,HarrDe03,pass_att,0,,,,,
player,201711190nyg,kan,HarrDe03,pass_yds,0,,,,,
player,201711190nyg,kan,HarrDe03,pass_td,0,,,,,
player,201711190nyg,kan,HarrDe03,pass_int,0,,,,,
player,201711190nyg,kan,HarrDe03,pass_sacked,0,,,,,
player,201711190nyg,kan,HarrDe03,pass_sacked_yds,0,,,,,
player,201711190nyg,kan,HarrDe03,pass_long,0,,,,,
player,201711190nyg,kan,HarrDe03,pass_rating,,,,,,
player,201711190nyg,kan,HarrDe03,rush_att,0,,,,,
player,201711190nyg,kan,HarrDe03,rush_yds,0,,,,,
player,201711190nyg,kan,HarrDe03,rush_td,0,,,,,
player,201711190nyg,kan,HarrDe03,rush_long,0,,,,,
player,201711190nyg,kan,HarrDe03,targets,1,,,,,
player,201711190nyg,kan,HarrDe03,rec,0,,,,,
player,201711190nyg,kan,HarrDe03,rec_yds,0,,,,,
player,201711190nyg,kan,HarrDe03,rec_td,0,,,,,
player,201711190nyg,kan,HarrDe03,rec_long,0,,,,,
player,201711190nyg,kan,HarrDe03,fumbles,0,,,,,
player,201711190nyg,kan,HarrDe03,fumbles_lost,0,,,,,
player,201711190nyg,nyg,MannEl00,pass_cmp,19,,,,,
player,201711190nyg,nyg,MannEl00,pass_att,35,,,,,
player,201711190nyg,nyg,MannEl00,pass_yds,205,,,,,
player,201711190nyg,nyg,MannEl00,pass_td,0,,,,,
player,201711190nyg,nyg,MannEl00,pass_int,0,,,,,
player,201711190nyg,nyg,MannEl00,pass_sacked,0,,,,,
player,201711190nyg,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201711190nyg,nyg,MannEl00,pass_long,34,,,,,
player,201711190nyg,nyg,MannEl00,pass_rating,71.7,,,,,
player,201711190nyg,nyg,MannEl00,rush_att,2,,,,,
player,201711190nyg,nyg,MannEl00,rush_yds,5,,,,,
player,201711190nyg,nyg,MannEl00,rush_td,0,,,,,
player,201711190nyg,nyg,MannEl00,rush_long,8,,,,,
player,201711190nyg,nyg,MannEl00,targets,0,,,,,
player,201711190nyg,nyg,MannEl00,rec,0,,,,,
player,201711190nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201711190nyg,nyg,MannEl00,rec_td,0,,,,,
player,201711190nyg,nyg,MannEl00,rec_long,0,,,,,
player,201711190nyg,nyg,MannEl00,fumbles,0,,,,,
player,201711190nyg,nyg,MannEl00,fumbles_lost,0,,,,,
player,201711190nyg,nyg,VereSh00,pass_cmp,0,,,,,
player,201711190nyg,nyg,VereSh00,pass_att,1,,,,,
player,201711190nyg,nyg,VereSh00,pass_yds,0,,,,,
player,201711190nyg,nyg,VereSh00,pass_td,0,,,,,
player,201711190nyg,nyg,VereSh00,pass_int,1,,,,,
player,201711190nyg,nyg,VereSh00,pass_sacked,0,,,,,
player,201711190nyg,nyg,VereSh00,pass_sacked_yds,0,,,,,
player,201711190nyg,nyg,VereSh00,pass_long,0,,,,,
player,201711190nyg,nyg,VereSh00,pass_rating,0.0,,,,,
player,201711190nyg,nyg,VereSh00,rush_att,2,,,,,
player,201711190nyg,nyg,VereSh00,rush_yds,13,,,,,
player,201711190nyg,nyg,VereSh00,rush_td,0,,,,,
player,201711190nyg,nyg,VereSh00,rush_long,12,,,,,
player,201711190nyg,nyg,VereSh00,targets,3,,,,,
player,201711190nyg,nyg,VereSh00,rec,3,,,,,
player,201711190nyg,nyg,VereSh00,rec_yds,15,,,,,
player,201711190nyg,nyg,VereSh00,rec_td,0,,,,,
player,201711190nyg,nyg,VereSh00,rec_long,8,,,,,
player,201711190nyg,nyg,VereSh00,fumbles,0,,,,,
player,201711190nyg,nyg,VereSh00,fumbles_lost,0,,,,,
player,201711190nyg,nyg,DarkOr00,pass_cmp,0,,,,,
player,201711190nyg,nyg,DarkOr00,pass_att,0,,,,,
player,201711190nyg,nyg,DarkOr00,pass_yds,0,,,,,
player,201711190nyg,nyg,DarkOr00,pass_td,0,,,,,
player,201711190nyg,nyg,DarkOr00,pass_int,0,,,,,
player,201711190nyg,nyg,DarkOr00,pass_sacked,0,,,,,
player,201711190nyg,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201711190nyg,nyg,DarkOr00,pass_long,0,,,,,
player,201711190nyg,nyg,DarkOr00,pass_rating,,,,,,
player,201711190nyg,nyg,DarkOr00,rush_att,20,,,,,
player,201711190nyg,nyg,DarkOr00,rush_yds,74,,,,,
player,201711190nyg,nyg,DarkOr00,rush_td,1,,,,,
player,201711190nyg,nyg,DarkOr00,rush_long,14,,,,,
player,201711190nyg,nyg,DarkOr00,targets,4,,,,,
player,201711190nyg,nyg,DarkOr00,rec,2,,,,,
player,201711190nyg,nyg,DarkOr00,rec_yds,16,,,,,
player,201711190nyg,nyg,DarkOr00,rec_td,0,,,,,
player,201711190nyg,nyg,DarkOr00,rec_long,8,,,,,
player,201711190nyg,nyg,DarkOr00,fumbles,0,,,,,
player,201711190nyg,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201711190nyg,nyg,GallWa00,pass_cmp,0,,,,,
player,201711190nyg,nyg,GallWa00,pass_att,0,,,,,
player,201711190nyg,nyg,GallWa00,pass_yds,0,,,,,
player,201711190nyg,nyg,GallWa00,pass_td,0,,,,,
player,201711190nyg,nyg,GallWa00,pass_int,0,,,,,
player,201711190nyg,nyg,GallWa00,pass_sacked,0,,,,,
player,201711190nyg,nyg,GallWa00,pass_sacked_yds,0,,,,,
player,201711190nyg,nyg,GallWa00,pass_long,0,,,,,
player,201711190nyg,nyg,GallWa00,pass_rating,,,,,,
player,201711190nyg,nyg,GallWa00,rush_att,6,,,,,
player,201711190nyg,nyg,GallWa00,rush_yds,19,,,,,
player,201711190nyg,nyg,GallWa00,rush_td,0,,,,,
player,201711190nyg,nyg,GallWa00,rush_long,9,,,,,
player,201711190nyg,nyg,GallWa00,targets,4,,,,,
player,201711190nyg,nyg,GallWa00,rec,1,,,,,
player,201711190nyg,nyg,GallWa00,rec_yds,3,,,,,
player,201711190nyg,nyg,GallWa00,rec_td,0,,,,,
player,201711190nyg,nyg,GallWa00,rec_long,3,,,,,
player,201711190nyg,nyg,GallWa00,fumbles,0,,,,,
player,201711190nyg,nyg,GallWa00,fumbles_lost,0,,,,,
player,201711190nyg,nyg,BerhNa00,pass_cmp,0,,,,,
player,201711190nyg,nyg,BerhNa00,pass_att,0,,,,,
player,201711190nyg,nyg,BerhNa00,pass_yds,0,,,,,
player,201711190nyg,nyg,BerhNa00,pass_td,0,,,,,
player,201711190nyg,nyg,BerhNa00,pass_int,0,,,,,
player,201711190nyg,nyg,BerhNa00,pass_sacked,0,,,,,
player,201711190nyg,nyg,BerhNa00,pass_sacked_yds,0,,,,,
player,201711190nyg,nyg,BerhNa00,pass_long,0,,,,,
player,201711190nyg,nyg,BerhNa00,pass_rating,,,,,,
player,201711190nyg,nyg,BerhNa00,rush_att,1,,,,,
player,201711190nyg,nyg,BerhNa00,rush_yds,2,,,,,
player,201711190nyg,nyg,BerhNa00,rush_td,0,,,,,
player,201711190nyg,nyg,BerhNa00,rush_long,2,,,,,
player,201711190nyg,nyg,BerhNa00,targets,0,,,,,
player,201711190nyg,nyg,BerhNa00,rec,0,,,,,
player,201711190nyg,nyg,BerhNa00,rec_yds,0,,,,,
player,201711190nyg,nyg,BerhNa00,rec_td,0,,,,,
player,201711190nyg,nyg,BerhNa00,rec_long,0,,,,,
player,201711190nyg,nyg,BerhNa00,fumbles,0,,,,,
player,201711190nyg,nyg,BerhNa00,fumbles_lost,0,,,,,
player,201711190nyg,nyg,LewiRo03,pass_cmp,0,,,,,
player,201711190nyg,nyg,LewiRo03,pass_att,0,,,,,
player,201711190nyg,nyg,LewiRo03,pass_yds,0,,,,,
player,201711190nyg,nyg,LewiRo03,pass_td,0,,,,,
player,201711190nyg,nyg,LewiRo03,pass_int,0,,,,,
player,201711190nyg,nyg,LewiRo03,pass_sacked,0,,,,,
player,201711190nyg,nyg,LewiRo03,pass_sacked_yds,0,,,,,
player,201711190nyg,nyg,LewiRo03,pass_long,0,,,,,
player,201711190nyg,nyg,LewiRo03,pass_rating,,,,,,
player,201711190nyg,nyg,LewiRo03,rush_att,0,,,,,
player,201711190nyg,nyg,LewiRo03,rush_yds,0,,,,,
player,201711190nyg,nyg,LewiRo03,rush_td,0,,,,,
player,201711190nyg,nyg,LewiRo03,rush_long,0,,,,,
player,201711190nyg,nyg,LewiRo03,targets,4,,,,,
player,201711190nyg,nyg,LewiRo03,rec,3,,,,,
player,201711190nyg,nyg,LewiRo03,rec_yds,55,,,,,
player,201711190nyg,nyg,LewiRo03,rec_td,0,,,,,
player,201711190nyg,nyg,LewiRo03,rec_long,34,,,,,
player,201711190nyg,nyg,LewiRo03,fumbles,0,,,,,
player,201711190nyg,nyg,LewiRo03,fumbles_lost,0,,,,,
player,201711190nyg,nyg,KingTa00,pass_cmp,0,,,,,
player,201711190nyg,nyg,KingTa00,pass_att,0,,,,,
player,201711190nyg,nyg,KingTa00,pass_yds,0,,,,,
player,201711190nyg,nyg,KingTa00,pass_td,0,,,,,
player,201711190nyg,nyg,KingTa00,pass_int,0,,,,,
player,201711190nyg,nyg,KingTa00,pass_sacked,0,,,,,
player,201711190nyg,nyg,KingTa00,pass_sacked_yds,0,,,,,
player,201711190nyg,nyg,KingTa00,pass_long,0,,,,,
player,201711190nyg,nyg,KingTa00,pass_rating,,,,,,
player,201711190nyg,nyg,KingTa00,rush_att,0,,,,,
player,201711190nyg,nyg,KingTa00,rush_yds,0,,,,,
player,201711190nyg,nyg,KingTa00,rush_td,0,,,,,
player,201711190nyg,nyg,KingTa00,rush_long,0,,,,,
player,201711190nyg,nyg,KingTa00,targets,5,,,,,
player,201711190nyg,nyg,KingTa00,rec,3,,,,,
player,201711190nyg,nyg,KingTa00,rec_yds,48,,,,,
player,201711190nyg,nyg,KingTa00,rec_td,0,,,,,
player,201711190nyg,nyg,KingTa00,rec_long,19,,,,,
player,201711190nyg,nyg,KingTa00,fumbles,0,,,,,
player,201711190nyg,nyg,KingTa00,fumbles_lost,0,,,,,
player,201711190nyg,nyg,RudoTr00,pass_cmp,0,,,,,
player,201711190nyg,nyg,RudoTr00,pass_att,0,,,,,
player,201711190nyg,nyg,RudoTr00,pass_yds,0,,,,,
player,201711190nyg,nyg,RudoTr00,pass_td,0,,,,,
player,201711190nyg,nyg,RudoTr00,pass_int,0,,,,,
player,201711190nyg,nyg,RudoTr00,pass_sacked,0,,,,,
player,201711190nyg,nyg,RudoTr00,pass_sacked_yds,0,,,,,
player,201711190nyg,nyg,RudoTr00,pass_long,0,,,,,
player,201711190nyg,nyg,RudoTr00,pass_rating,,,,,,
player,201711190nyg,nyg,RudoTr00,rush_att,0,,,,,
player,201711190nyg,nyg,RudoTr00,rush_yds,0,,,,,
player,201711190nyg,nyg,RudoTr00,rush_td,0,,,,,
player,201711190nyg,nyg,RudoTr00,rush_long,0,,,,,
player,201711190nyg,nyg,RudoTr00,targets,6,,,,,
player,201711190nyg,nyg,RudoTr00,rec,3,,,,,
player,201711190nyg,nyg,RudoTr00,rec_yds,34,,,,,
player,201711190nyg,nyg,RudoTr00,rec_td,0,,,,,
player,201711190nyg,nyg,RudoTr00,rec_long,19,,,,,
player,201711190nyg,nyg,RudoTr00,fumbles,0,,,,,
player,201711190nyg,nyg,RudoTr00,fumbles_lost,0,,,,,
player,201711190nyg,nyg,EngrEv00,pass_cmp,0,,,,,
player,201711190nyg,nyg,EngrEv00,pass_att,0,,,,,
player,201711190nyg,nyg,EngrEv00,pass_yds,0,,,,,
player,201711190nyg,nyg,EngrEv00,pass_td,0,,,,,
player,201711190nyg,nyg,EngrEv00,pass_int,0,,,,,
player,201711190nyg,nyg,EngrEv00,pass_sacked,0,,,,,
player,201711190nyg,nyg,EngrEv00,pass_sacked_yds,0,,,,,
player,201711190nyg,nyg,EngrEv00,pass_long,0,,,,,
player,201711190nyg,nyg,EngrEv00,pass_rating,,,,,,
player,201711190nyg,nyg,EngrEv00,rush_att,0,,,,,
player,201711190nyg,nyg,EngrEv00,rush_yds,0,,,,,
player,201711190nyg,nyg,EngrEv00,rush_td,0,,,,,
player,201711190nyg,nyg,EngrEv00,rush_long,0,,,,,
player,201711190nyg,nyg,EngrEv00,targets,6,,,,,
player,201711190nyg,nyg,EngrEv00,rec,1,,,,,
player,201711190nyg,nyg,EngrEv00,rec_yds,9,,,,,
player,201711190nyg,nyg,EngrEv00,rec_td,0,,,,,
player,201711190nyg,nyg,EngrEv00,rec_long,9,,,,,
player,201711190nyg,nyg,EngrEv00,fumbles,0,,,,,
player,201711190nyg,nyg,EngrEv00,fumbles_lost,0,,,,,
player,201711190nyg,nyg,ElliRh00,pass_cmp,0,,,,,
player,201711190nyg,nyg,ElliRh00,pass_att,0,,,,,
player,201711190nyg,nyg,ElliRh00,pass_yds,0,,,,,
player,201711190nyg,nyg,ElliRh00,pass_td,0,,,,,
player,201711190nyg,nyg,ElliRh00,pass_int,0,,,,,
player,201711190nyg,nyg,ElliRh00,pass_sacked,0,,,,,
player,201711190nyg,nyg,ElliRh00,pass_sacked_yds,0,,,,,
player,201711190nyg,nyg,ElliRh00,pass_long,0,,,,,
player,201711190nyg,nyg,ElliRh00,pass_rating,,,,,,
player,201711190nyg,nyg,ElliRh00,rush_att,0,,,,,
player,201711190nyg,nyg,ElliRh00,rush_yds,0,,,,,
player,201711190nyg,nyg,ElliRh00,rush_td,0,,,,,
player,201711190nyg,nyg,ElliRh00,rush_long,0,,,,,
player,201711190nyg,nyg,ElliRh00,targets,1,,,,,
player,201711190nyg,nyg,ElliRh00,rec,1,,,,,
