game,2017,3,20170924,201709240min,tam,"Tampa Bay Buccaneers",17,min,"Minnesota Vikings",34
player,201709240min,tam,GodwCh00,pass_att,0,,,,,
player,201709240min,tam,GodwCh00,pass_yds,0,,,,,
player,201709240min,tam,GodwCh00,pass_td,0,,,,,
player,201709240min,tam,GodwCh00,pass_int,0,,,,,
player,201709240min,tam,GodwCh00,pass_sacked,0,,,,,
player,201709240min,tam,GodwCh00,pass_sacked_yds,0,,,,,
player,201709240min,tam,GodwCh00,pass_long,0,,,,,
player,201709240min,tam,GodwCh00,pass_rating,,,,,,
player,201709240min,tam,GodwCh00,rush_att,0,,,,,
player,201709240min,tam,GodwCh00,rush_yds,0,,,,,
player,201709240min,tam,GodwCh00,rush_td,0,,,,,
player,201709240min,tam,GodwCh00,rush_long,0,,,,,
player,201709240min,tam,GodwCh00,targets,3,,,,,
player,201709240min,tam,GodwCh00,rec,3,,,,,
player,201709240min,tam,GodwCh00,rec_yds,44,,,,,
player,201709240min,tam,GodwCh00,rec_td,0,,,,,
player,201709240min,tam,GodwCh00,rec_long,18,,,,,
player,201709240min,tam,GodwCh00,fumbles,0,,,,,
player,201709240min,tam,GodwCh00,fumbles_lost,0,,,,,
player,201709240min,tam,BratCa00,pass_cmp,0,,,,,
player,201709240min,tam,BratCa00,pass_att,0,,,,,
player,201709240min,tam,BratCa00,pass_yds,0,,,,,
player,201709240min,tam,BratCa00,pass_td,0,,,,,
player,201709240min,tam,BratCa00,pass_int,0,,,,,
player,201709240min,tam,BratCa00,pass_sacked,0,,,,,
player,201709240min,tam,BratCa00,pass_sacked_yds,0,,,,,
player,201709240min,tam,BratCa00,pass_long,0,,,,,
player,201709240min,tam,BratCa00,pass_rating,,,,,,
player,201709240min,tam,BratCa00,rush_att,0,,,,,
player,201709240min,tam,BratCa00,rush_yds,0,,,,,
player,201709240min,tam,BratCa00,rush_td,0,,,,,
player,201709240min,tam,BratCa00,rush_long,0,,,,,
player,201709240min,tam,BratCa00,targets,4,,,,,
player,201709240min,tam,BratCa00,rec,4,,,,,
player,201709240min,tam,BratCa00,rec_yds,33,,,,,
player,201709240min,tam,BratCa00,rec_td,1,,,,,
player,201709240min,tam,BratCa00,rec_long,18,,,,,
player,201709240min,tam,BratCa00,fumbles,0,,,,,
player,201709240min,tam,BratCa00,fumbles_lost,0,,,,,
player,201709240min,tam,HowaO.00,pass_cmp,0,,,,,
player,201709240min,tam,HowaO.00,pass_att,0,,,,,
player,201709240min,tam,HowaO.00,pass_yds,0,,,,,
player,201709240min,tam,HowaO.00,pass_td,0,,,,,
player,201709240min,tam,HowaO.00,pass_int,0,,,,,
player,201709240min,tam,HowaO.00,pass_sacked,0,,,,,
player,201709240min,tam,HowaO.00,pass_sacked_yds,0,,,,,
player,201709240min,tam,HowaO.00,pass_long,0,,,,,
player,201709240min,tam,HowaO.00,pass_rating,,,,,,
player,201709240min,tam,HowaO.00,rush_att,0,,,,,
player,201709240min,tam,HowaO.00,rush_yds,0,,,,,
player,201709240min,tam,HowaO.00,rush_td,0,,,,,
player,201709240min,tam,HowaO.00,rush_long,0,,,,,
player,201709240min,tam,HowaO.00,targets,1,,,,,
player,201709240min,tam,HowaO.00,rec,1,,,,,
player,201709240min,tam,HowaO.00,rec_yds,12,,,,,
player,201709240min,tam,HowaO.00,rec_td,0,,,,,
player,201709240min,tam,HowaO.00,rec_long,12,,,,,
player,201709240min,tam,HowaO.00,fumbles,0,,,,,
player,201709240min,tam,HowaO.00,fumbles_lost,0,,,,,
player,201709240min,tam,CrosAl00,pass_cmp,0,,,,,
player,201709240min,tam,CrosAl00,pass_att,0,,,,,
player,201709240min,tam,CrosAl00,pass_yds,0,,,,,
player,201709240min,tam,CrosAl00,pass_td,0,,,,,
player,201709240min,tam,CrosAl00,pass_int,0,,,,,
player,201709240min,tam,CrosAl00,pass_sacked,0,,,,,
player,201709240min,tam,CrosAl00,pass_sacked_yds,0,,,,,
player,201709240min,tam,CrosAl00,pass_long,0,,,,,
player,201709240min,tam,CrosAl00,pass_rating,,,,,,
player,201709240min,tam,CrosAl00,rush_att,0,,,,,
player,201709240min,tam,CrosAl00,rush_yds,0,,,,,
player,201709240min,tam,CrosAl00,rush_td,0,,,,,
player,201709240min,tam,CrosAl00,rush_long,0,,,,,
player,201709240min,tam,CrosAl00,targets,1,,,,,
player,201709240min,tam,CrosAl00,rec,1,,,,,
player,201709240min,tam,CrosAl00,rec_yds,5,,,,,
player,201709240min,tam,CrosAl00,rec_td,0,,,,,
player,201709240min,tam,CrosAl00,rec_long,5,,,,,
player,201709240min,tam,CrosAl00,fumbles,0,,,,,
player,201709240min,tam,CrosAl00,fumbles_lost,0,,,,,
player,201709240min,min,KeenCa00,pass_cmp,25,,,,,
player,201709240min,min,KeenCa00,pass_att,33,,,,,
player,201709240min,min,KeenCa00,pass_yds,369,,,,,
player,201709240min,min,KeenCa00,pass_td,3,,,,,
player,201709240min,min,KeenCa00,pass_int,0,,,,,
player,201709240min,min,KeenCa00,pass_sacked,0,,,,,
player,201709240min,min,KeenCa00,pass_sacked_yds,0,,,,,
player,201709240min,min,KeenCa00,pass_long,59,,,,,
player,201709240min,min,KeenCa00,pass_rating,142.1,,,,,
player,201709240min,min,KeenCa00,rush_att,6,,,,,
player,201709240min,min,KeenCa00,rush_yds,18,,,,,
player,201709240min,min,KeenCa00,rush_td,0,,,,,
player,201709240min,min,KeenCa00,rush_long,12,,,,,
player,201709240min,min,KeenCa00,targets,0,,,,,
player,201709240min,min,KeenCa00,rec,0,,,,,
player,201709240min,min,KeenCa00,rec_yds,0,,,,,
player,201709240min,min,KeenCa00,rec_td,0,,,,,
player,201709240min,min,KeenCa00,rec_long,0,,,,,
player,201709240min,min,KeenCa00,fumbles,0,,,,,
player,201709240min,min,KeenCa00,fumbles_lost,0,,,,,
player,201709240min,min,CookDa01,pass_cmp,0,,,,,
player,201709240min,min,CookDa01,pass_att,0,,,,,
player,201709240min,min,CookDa01,pass_yds,0,,,,,
player,201709240min,min,CookDa01,pass_td,0,,,,,
player,201709240min,min,CookDa01,pass_int,0,,,,,
player,201709240min,min,CookDa01,pass_sacked,0,,,,,
player,201709240min,min,CookDa01,pass_sacked_yds,0,,,,,
player,201709240min,min,CookDa01,pass_long,0,,,,,
player,201709240min,min,CookDa01,pass_rating,,,,,,
player,201709240min,min,CookDa01,rush_att,27,,,,,
player,201709240min,min,CookDa01,rush_yds,97,,,,,
player,201709240min,min,CookDa01,rush_td,1,,,,,
player,201709240min,min,CookDa01,rush_long,26,,,,,
player,201709240min,min,CookDa01,targets,5,,,,,
player,201709240min,min,CookDa01,rec,5,,,,,
player,201709240min,min,CookDa01,rec_yds,72,,,,,
player,201709240min,min,CookDa01,rec_td,0,,,,,
player,201709240min,min,CookDa01,rec_long,36,,,,,
player,201709240min,min,CookDa01,fumbles,0,,,,,
player,201709240min,min,CookDa01,fumbles_lost,0,,,,,
player,201709240min,min,MurrLa00,pass_cmp,0,,,,,
player,201709240min,min,MurrLa00,pass_att,0,,,,,
player,201709240min,min,MurrLa00,pass_yds,0,,,,,
player,201709240min,min,MurrLa00,pass_td,0,,,,,
player,201709240min,min,MurrLa00,pass_int,0,,,,,
player,201709240min,min,MurrLa00,pass_sacked,0,,,,,
player,201709240min,min,MurrLa00,pass_sacked_yds,0,,,,,
player,201709240min,min,MurrLa00,pass_long,0,,,,,
player,201709240min,min,MurrLa00,pass_rating,,,,,,
player,201709240min,min,MurrLa00,rush_att,2,,,,,
player,201709240min,min,MurrLa00,rush_yds,5,,,,,
player,201709240min,min,MurrLa00,rush_td,0,,,,,
player,201709240min,min,MurrLa00,rush_long,3,,,,,
player,201709240min,min,MurrLa00,targets,0,,,,,
player,201709240min,min,MurrLa00,rec,0,,,,,
player,201709240min,min,MurrLa00,rec_yds,0,,,,,
player,201709240min,min,MurrLa00,rec_td,0,,,,,
player,201709240min,min,MurrLa00,rec_long,0,,,,,
player,201709240min,min,MurrLa00,fumbles,0,,,,,
player,201709240min,min,MurrLa00,fumbles_lost,0,,,,,
player,201709240min,min,McKiJe00,pass_cmp,0,,,,,
player,201709240min,min,McKiJe00,pass_att,0,,,,,
player,201709240min,min,McKiJe00,pass_yds,0,,,,,
player,201709240min,min,McKiJe00,pass_td,0,,,,,
player,201709240min,min,McKiJe00,pass_int,0,,,,,
player,201709240min,min,McKiJe00,pass_sacked,0,,,,,
player,201709240min,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201709240min,min,McKiJe00,pass_long,0,,,,,
player,201709240min,min,McKiJe00,pass_rating,,,,,,
player,201709240min,min,McKiJe00,rush_att,2,,,,,
player,201709240min,min,McKiJe00,rush_yds,5,,,,,
player,201709240min,min,McKiJe00,rush_td,0,,,,,
player,201709240min,min,McKiJe00,rush_long,4,,,,,
player,201709240min,min,McKiJe00,targets,2,,,,,
player,201709240min,min,McKiJe00,rec,2,,,,,
player,201709240min,min,McKiJe00,rec_yds,-1,,,,,
player,201709240min,min,McKiJe00,rec_td,0,,,,,
player,201709240min,min,McKiJe00,rec_long,3,,,,,
player,201709240min,min,McKiJe00,fumbles,0,,,,,
player,201709240min,min,McKiJe00,fumbles_lost,0,,,,,
player,201709240min,min,DiggSt00,pass_cmp,0,,,,,
player,201709240min,min,DiggSt00,pass_att,0,,,,,
player,201709240min,min,DiggSt00,pass_yds,0,,,,,
player,201709240min,min,DiggSt00,pass_td,0,,,,,
player,201709240min,min,DiggSt00,pass_int,0,,,,,
player,201709240min,min,DiggSt00,pass_sacked,0,,,,,
player,201709240min,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201709240min,min,DiggSt00,pass_long,0,,,,,
player,201709240min,min,DiggSt00,pass_rating,,,,,,
player,201709240min,min,DiggSt00,rush_att,0,,,,,
player,201709240min,min,DiggSt00,rush_yds,0,,,,,
player,201709240min,min,DiggSt00,rush_td,0,,,,,
player,201709240min,min,DiggSt00,rush_long,0,,,,,
player,201709240min,min,DiggSt00,targets,11,,,,,
player,201709240min,min,DiggSt00,rec,8,,,,,
player,201709240min,min,DiggSt00,rec_yds,173,,,,,
player,201709240min,min,DiggSt00,rec_td,2,,,,,
player,201709240min,min,DiggSt00,rec_long,59,,,,,
player,201709240min,min,DiggSt00,fumbles,0,,,,,
player,201709240min,min,DiggSt00,fumbles_lost,0,,,,,
player,201709240min,min,ThieAd00,pass_cmp,0,,,,,
player,201709240min,min,ThieAd00,pass_att,0,,,,,
player,201709240min,min,ThieAd00,pass_yds,0,,,,,
player,201709240min,min,ThieAd00,pass_td,0,,,,,
player,201709240min,min,ThieAd00,pass_int,0,,,,,
player,201709240min,min,ThieAd00,pass_sacked,0,,,,,
player,201709240min,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201709240min,min,ThieAd00,pass_long,0,,,,,
player,201709240min,min,ThieAd00,pass_rating,,,,,,
player,201709240min,min,ThieAd00,rush_att,0,,,,,
player,201709240min,min,ThieAd00,rush_yds,0,,,,,
player,201709240min,min,ThieAd00,rush_td,0,,,,,
player,201709240min,min,ThieAd00,rush_long,0,,,,,
player,201709240min,min,ThieAd00,targets,8,,,,,
player,201709240min,min,ThieAd00,rec,5,,,,,
player,201709240min,min,ThieAd00,rec_yds,98,,,,,
player,201709240min,min,ThieAd00,rec_td,0,,,,,
player,201709240min,min,ThieAd00,rec_long,45,,,,,
player,201709240min,min,ThieAd00,fumbles,0,,,,,
player,201709240min,min,ThieAd00,fumbles_lost,0,,,,,
player,201709240min,min,HamxC.00,pass_cmp,0,,,,,
player,201709240min,min,HamxC.00,pass_att,0,,,,,
player,201709240min,min,HamxC.00,pass_yds,0,,,,,
player,201709240min,min,HamxC.00,pass_td,0,,,,,
player,201709240min,min,HamxC.00,pass_int,0,,,,,
player,201709240min,min,HamxC.00,pass_sacked,0,,,,,
player,201709240min,min,HamxC.00,pass_sacked_yds,0,,,,,
player,201709240min,min,HamxC.00,pass_long,0,,,,,
player,201709240min,min,HamxC.00,pass_rating,,,,,,
player,201709240min,min,HamxC.00,rush_att,0,,,,,
player,201709240min,min,HamxC.00,rush_yds,0,,,,,
player,201709240min,min,HamxC.00,rush_td,0,,,,,
player,201709240min,min,HamxC.00,rush_long,0,,,,,
player,201709240min,min,HamxC.00,targets,1,,,,,
player,201709240min,min,HamxC.00,rec,1,,,,,
player,201709240min,min,HamxC.00,rec_yds,12,,,,,
player,201709240min,min,HamxC.00,rec_td,0,,,,,
player,201709240min,min,HamxC.00,rec_long,12,,,,,
player,201709240min,min,HamxC.00,fumbles,0,,,,,
player,201709240min,min,HamxC.00,fumbles_lost,0,,,,,
player,201709240min,min,WrigJa02,pass_cmp,0,,,,,
player,201709240min,min,WrigJa02,pass_att,0,,,,,
player,201709240min,min,WrigJa02,pass_yds,0,,,,,
player,201709240min,min,WrigJa02,pass_td,0,,,,,
player,201709240min,min,WrigJa02,pass_int,0,,,,,
player,201709240min,min,WrigJa02,pass_sacked,0,,,,,
player,201709240min,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201709240min,min,WrigJa02,pass_long,0,,,,,
player,201709240min,min,WrigJa02,pass_rating,,,,,,
player,201709240min,min,WrigJa02,rush_att,0,,,,,
player,201709240min,min,WrigJa02,rush_yds,0,,,,,
player,201709240min,min,WrigJa02,rush_td,0,,,,,
player,201709240min,min,WrigJa02,rush_long,0,,,,,
player,201709240min,min,WrigJa02,targets,3,,,,,
player,201709240min,min,WrigJa02,rec,2,,,,,
player,201709240min,min,WrigJa02,rec_yds,9,,,,,
player,201709240min,min,WrigJa02,rec_td,1,,,,,
player,201709240min,min,WrigJa02,rec_long,7,,,,,
player,201709240min,min,WrigJa02,fumbles,0,,,,,
player,201709240min,min,WrigJa02,fumbles_lost,0,,,,,
player,201709240min,min,RudoKy00,pass_cmp,0,,,,,
player,201709240min,min,RudoKy00,pass_att,0,,,,,
player,201709240min,min,RudoKy00,pass_yds,0,,,,,
player,201709240min,min,RudoKy00,pass_td,0,,,,,
player,201709240min,min,RudoKy00,pass_int,0,,,,,
player,201709240min,min,RudoKy00,pass_sacked,0,,,,,
player,201709240min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201709240min,min,RudoKy00,pass_long,0,,,,,
player,201709240min,min,RudoKy00,pass_rating,,,,,,
player,201709240min,min,RudoKy00,rush_att,0,,,,,
player,201709240min,min,RudoKy00,rush_yds,0,,,,,
player,201709240min,min,RudoKy00,rush_td,0,,,,,
player,201709240min,min,RudoKy00,rush_long,0,,,,,
player,201709240min,min,RudoKy00,targets,2,,,,,
player,201709240min,min,RudoKy00,rec,1,,,,,
player,201709240min,min,RudoKy00,rec_yds,4,,,,,
player,201709240min,min,RudoKy00,rec_td,0,,,,,
player,201709240min,min,RudoKy00,rec_long,4,,,,,
player,201709240min,min,RudoKy00,fumbles,0,,,,,
player,201709240min,min,RudoKy00,fumbles_lost,0,,,,,
player,201709240min,min,TreaLa00,pass_cmp,0,,,,,
player,201709240min,min,TreaLa00,pass_att,0,,,,,
player,201709240min,min,TreaLa00,pass_yds,0,,,,,
player,201709240min,min,TreaLa00,pass_td,0,,,,,
player,201709240min,min,TreaLa00,pass_int,0,,,,,
player,201709240min,min,TreaLa00,pass_sacked,0,,,,,
player,201709240min,min,TreaLa00,pass_sacked_yds,0,,,,,
player,201709240min,min,TreaLa00,pass_long,0,,,,,
player,201709240min,min,TreaLa00,pass_rating,,,,,,
player,201709240min,min,TreaLa00,rush_att,0,,,,,
player,201709240min,min,TreaLa00,rush_yds,0,,,,,
player,201709240min,min,TreaLa00,rush_td,0,,,,,
player,201709240min,min,TreaLa00,rush_long,0,,,,,
player,201709240min,min,TreaLa00,targets,1,,,,,
player,201709240min,min,TreaLa00,rec,1,,,,,
player,201709240min,min,TreaLa00,rec_yds,2,,,,,
player,201709240min,min,TreaLa00,rec_td,0,,,,,
player,201709240min,min,TreaLa00,rec_long,2,,,,,
player,201709240min,min,TreaLa00,fumbles,0,,,,,
player,201709240min,min,TreaLa00,fumbles_lost,0,,,,,
player,201709240min,tam,BeckKe00,def_int,0,,,,,
player,201709240min,tam,BeckKe00,def_int_yds,0,,,,,
player,201709240min,tam,BeckKe00,def_int_td,0,,,,,
player,201709240min,tam,BeckKe00,def_int_long,0,,,,,
player,201709240min,tam,BeckKe00,pass_defended,0,,,,,
player,201709240min,tam,BeckKe00,sacks,0.0,,,,,
player,201709240min,tam,BeckKe00,tackles_combined,8,,,,,
player,201709240min,tam,BeckKe00,tackles_solo,6,,,,,
player,201709240min,tam,BeckKe00,tackles_assists,2,,,,,
player,201709240min,tam,BeckKe00,tackles_loss,0,,,,,
player,201709240min,tam,BeckKe00,qb_hits,0,,,,,
player,201709240min,tam,BeckKe00,fumbles_rec,0,,,,,
player,201709240min,tam,BeckKe00,fumbles_rec_yds,0,,,,,
player,201709240min,tam,BeckKe00,fumbles_rec_td,0,,,,,
player,201709240min,tam,BeckKe00,fumbles_forced,0,,,,,
player,201709240min,tam,GholWi00,def_int,0,,,,,
player,201709240min,tam,GholWi00,def_int_yds,0,,,,,
player,201709240min,tam,GholWi00,def_int_td,0,,,,,
player,201709240min,tam,GholWi00,def_int_long,0,,,,,
player,201709240min,tam,GholWi00,pass_defended,0,,,,,
player,201709240min,tam,GholWi00,sacks,0.0,,,,,
player,201709240min,tam,GholWi00,tackles_combined,8,,,,,
player,201709240min,tam,GholWi00,tackles_solo,3,,,,,
player,201709240min,tam,GholWi00,tackles_assists,5,,,,,
player,201709240min,tam,GholWi00,tackles_loss,1,,,,,
player,201709240min,tam,GholWi00,qb_hits,0,,,,,
player,201709240min,tam,GholWi00,fumbles_rec,0,,,,,
player,201709240min,tam,GholWi00,fumbles_rec_yds,0,,,,,
player,201709240min,tam,GholWi00,fumbles_rec_td,0,,,,,
player,201709240min,tam,GholWi00,fumbles_forced,0,,,,,
player,201709240min,tam,GlanAd00,def_int,0,,,,,
player,201709240min,tam,GlanAd00,def_int_yds,0,,,,,
