game,2017,13,20171203,201712030sdg,cle,"Cleveland Browns",10,sdg,"Los Angeles Chargers",19
player,201712030sdg,cle,NjokDa00,pass_cmp,0,,,,,
player,201712030sdg,cle,NjokDa00,pass_att,0,,,,,
player,201712030sdg,cle,NjokDa00,pass_yds,0,,,,,
player,201712030sdg,cle,NjokDa00,pass_td,0,,,,,
player,201712030sdg,cle,NjokDa00,pass_int,0,,,,,
player,201712030sdg,cle,NjokDa00,pass_sacked,0,,,,,
player,201712030sdg,cle,NjokDa00,pass_sacked_yds,0,,,,,
player,201712030sdg,cle,NjokDa00,pass_long,0,,,,,
player,201712030sdg,cle,NjokDa00,pass_rating,,,,,,
player,201712030sdg,cle,NjokDa00,rush_att,0,,,,,
player,201712030sdg,cle,NjokDa00,rush_yds,0,,,,,
player,201712030sdg,cle,NjokDa00,rush_td,0,,,,,
player,201712030sdg,cle,NjokDa00,rush_long,0,,,,,
player,201712030sdg,cle,NjokDa00,targets,6,,,,,
player,201712030sdg,cle,NjokDa00,rec,4,,,,,
player,201712030sdg,cle,NjokDa00,rec_yds,74,,,,,
player,201712030sdg,cle,NjokDa00,rec_td,1,,,,,
player,201712030sdg,cle,NjokDa00,rec_long,33,,,,,
player,201712030sdg,cle,NjokDa00,fumbles,0,,,,,
player,201712030sdg,cle,NjokDa00,fumbles_lost,0,,,,,
player,201712030sdg,cle,DevaSe00,pass_cmp,0,,,,,
player,201712030sdg,cle,DevaSe00,pass_att,0,,,,,
player,201712030sdg,cle,DevaSe00,pass_yds,0,,,,,
player,201712030sdg,cle,DevaSe00,pass_td,0,,,,,
player,201712030sdg,cle,DevaSe00,pass_int,0,,,,,
player,201712030sdg,cle,DevaSe00,pass_sacked,0,,,,,
player,201712030sdg,cle,DevaSe00,pass_sacked_yds,0,,,,,
player,201712030sdg,cle,DevaSe00,pass_long,0,,,,,
player,201712030sdg,cle,DevaSe00,pass_rating,,,,,,
player,201712030sdg,cle,DevaSe00,rush_att,0,,,,,
player,201712030sdg,cle,DevaSe00,rush_yds,0,,,,,
