game,2017,15,20171217,201712170rai,dal,"Dallas Cowboys",20,rai,"Oakland Raiders",17
player,201712170rai,dal,PresDa01,rush_att,6,,,,,
player,201712170rai,dal,PresDa01,rush_yds,32,,,,,
player,201712170rai,dal,PresDa01,rush_td,1,,,,,
player,201712170rai,dal,PresDa01,rush_long,17,,,,,
player,201712170rai,dal,PresDa01,targets,0,,,,,
player,201712170rai,dal,PresDa01,rec,0,,,,,
player,201712170rai,dal,PresDa01,rec_yds,0,,,,,
player,201712170rai,dal,PresDa01,rec_td,0,,,,,
player,201712170rai,dal,PresDa01,rec_long,0,,,,,
player,201712170rai,dal,PresDa01,fumbles,0,,,,,
player,201712170rai,dal,PresDa01,fumbles_lost,0,,,,,
player,201712170rai,dal,MorrAl00,pass_cmp,0,,,,,
player,201712170rai,dal,MorrAl00,pass_att,0,,,,,
player,201712170rai,dal,MorrAl00,pass_yds,0,,,,,
player,201712170rai,dal,MorrAl00,pass_td,0,,,,,
player,201712170rai,dal,MorrAl00,pass_int,0,,,,,
player,201712170rai,dal,MorrAl00,pass_sacked,0,,,,,
player,201712170rai,dal,MorrAl00,pass_sacked_yds,0,,,,,
player,201712170rai,dal,MorrAl00,pass_long,0,,,,,
player,201712170rai,dal,MorrAl00,pass_rating,,,,,,
player,201712170rai,dal,MorrAl00,rush_att,16,,,,,
player,201712170rai,dal,MorrAl00,rush_yds,61,,,,,
player,201712170rai,dal,MorrAl00,rush_td,0,,,,,
player,201712170rai,dal,MorrAl00,rush_long,16,,,,,
player,201712170rai,dal,MorrAl00,targets,2,,,,,
player,201712170rai,dal,MorrAl00,rec,2,,,,,
player,201712170rai,dal,MorrAl00,rec_yds,0,,,,,
player,201712170rai,dal,MorrAl00,rec_td,0,,,,,
player,201712170rai,dal,MorrAl00,rec_long,1,,,,,
player,201712170rai,dal,MorrAl00,fumbles,0,,,,,
player,201712170rai,dal,MorrAl00,fumbles_lost,0,,,,,
player,201712170rai,dal,JoneCh02,pass_cmp,0,,,,,
player,201712170rai,dal,JoneCh02,pass_att,0,,,,,
player,201712170rai,dal,JoneCh02,pass_yds,0,,,,,
player,201712170rai,dal,JoneCh02,pass_td,0,,,,,
player,201712170rai,dal,JoneCh02,pass_int,0,,,,,
player,201712170rai,dal,JoneCh02,pass_sacked,0,,,,,
player,201712170rai,dal,JoneCh02,pass_sacked_yds,0,,,,,
player,201712170rai,dal,JoneCh02,pass_long,0,,,,,
player,201712170rai,dal,JoneCh02,pass_rating,,,,,,
player,201712170rai,dal,JoneCh02,rush_att,1,,,,,
player,201712170rai,dal,JoneCh02,rush_yds,24,,,,,
player,201712170rai,dal,JoneCh02,rush_td,0,,,,,
player,201712170rai,dal,JoneCh02,rush_long,24,,,,,
player,201712170rai,dal,JoneCh02,targets,0,,,,,
player,201712170rai,dal,JoneCh02,rec,0,,,,,
player,201712170rai,dal,JoneCh02,rec_yds,0,,,,,
player,201712170rai,dal,JoneCh02,rec_td,0,,,,,
player,201712170rai,dal,JoneCh02,rec_long,0,,,,,
player,201712170rai,dal,JoneCh02,fumbles,0,,,,,
player,201712170rai,dal,JoneCh02,fumbles_lost,0,,,,,
player,201712170rai,dal,SmitRo06,pass_cmp,0,,,,,
player,201712170rai,dal,SmitRo06,pass_att,0,,,,,
player,201712170rai,dal,SmitRo06,pass_yds,0,,,,,
player,201712170rai,dal,SmitRo06,pass_td,0,,,,,
player,201712170rai,dal,SmitRo06,pass_int,0,,,,,
player,201712170rai,dal,SmitRo06,pass_sacked,0,,,,,
player,201712170rai,dal,SmitRo06,pass_sacked_yds,0,,,,,
player,201712170rai,dal,SmitRo06,pass_long,0,,,,,
player,201712170rai,dal,SmitRo06,pass_rating,,,,,,
player,201712170rai,dal,SmitRo06,rush_att,7,,,,,
player,201712170rai,dal,SmitRo06,rush_yds,13,,,,,
player,201712170rai,dal,SmitRo06,rush_td,1,,,,,
player,201712170rai,dal,SmitRo06,rush_long,6,,,,,
player,201712170rai,dal,SmitRo06,targets,3,,,,,
player,201712170rai,dal,SmitRo06,rec,3,,,,,
player,201712170rai,dal,SmitRo06,rec_yds,21,,,,,
player,201712170rai,dal,SmitRo06,rec_td,0,,,,,
player,201712170rai,dal,SmitRo06,rec_long,10,,,,,
player,201712170rai,dal,SmitRo06,fumbles,0,,,,,
player,201712170rai,dal,SmitRo06,fumbles_lost,0,,,,,
player,201712170rai,dal,WittJa00,pass_cmp,0,,,,,
player,201712170rai,dal,WittJa00,pass_att,0,,,,,
player,201712170rai,dal,WittJa00,pass_yds,0,,,,,
player,201712170rai,dal,WittJa00,pass_td,0,,,,,
player,201712170rai,dal,WittJa00,pass_int,0,,,,,
player,201712170rai,dal,WittJa00,pass_sacked,0,,,,,
player,201712170rai,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201712170rai,dal,WittJa00,pass_long,0,,,,,
player,201712170rai,dal,WittJa00,pass_rating,,,,,,
player,201712170rai,dal,WittJa00,rush_att,0,,,,,
player,201712170rai,dal,WittJa00,rush_yds,0,,,,,
player,201712170rai,dal,WittJa00,rush_td,0,,,,,
player,201712170rai,dal,WittJa00,rush_long,0,,,,,
player,201712170rai,dal,WittJa00,targets,5,,,,,
player,201712170rai,dal,WittJa00,rec,4,,,,,
player,201712170rai,dal,WittJa00,rec_yds,47,,,,,
player,201712170rai,dal,WittJa00,rec_td,0,,,,,
player,201712170rai,dal,WittJa00,rec_long,18,,,,,
player,201712170rai,dal,WittJa00,fumbles,0,,,,,
player,201712170rai,dal,WittJa00,fumbles_lost,0,,,,,
player,201712170rai,dal,HannJa00,pass_cmp,0,,,,,
player,201712170rai,dal,HannJa00,pass_att,0,,,,,
player,201712170rai,dal,HannJa00,pass_yds,0,,,,,
player,201712170rai,dal,HannJa00,pass_td,0,,,,,
player,201712170rai,dal,HannJa00,pass_int,0,,,,,
player,201712170rai,dal,HannJa00,pass_sacked,0,,,,,
player,201712170rai,dal,HannJa00,pass_sacked_yds,0,,,,,
player,201712170rai,dal,HannJa00,pass_long,0,,,,,
player,201712170rai,dal,HannJa00,pass_rating,,,,,,
player,201712170rai,dal,HannJa00,rush_att,0,,,,,
player,201712170rai,dal,HannJa00,rush_yds,0,,,,,
player,201712170rai,dal,HannJa00,rush_td,0,,,,,
player,201712170rai,dal,HannJa00,rush_long,0,,,,,
player,201712170rai,dal,HannJa00,targets,1,,,,,
player,201712170rai,dal,HannJa00,rec,1,,,,,
player,201712170rai,dal,HannJa00,rec_yds,31,,,,,
player,201712170rai,dal,HannJa00,rec_td,0,,,,,
player,201712170rai,dal,HannJa00,rec_long,31,,,,,
player,201712170rai,dal,HannJa00,fumbles,0,,,,,
player,201712170rai,dal,HannJa00,fumbles_lost,0,,,,,
player,201712170rai,dal,WillTe01,pass_cmp,0,,,,,
player,201712170rai,dal,WillTe01,pass_att,0,,,,,
player,201712170rai,dal,WillTe01,pass_yds,0,,,,,
player,201712170rai,dal,WillTe01,pass_td,0,,,,,
player,201712170rai,dal,WillTe01,pass_int,0,,,,,
player,201712170rai,dal,WillTe01,pass_sacked,0,,,,,
player,201712170rai,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201712170rai,dal,WillTe01,pass_long,0,,,,,
player,201712170rai,dal,WillTe01,pass_rating,,,,,,
player,201712170rai,dal,WillTe01,rush_att,0,,,,,
player,201712170rai,dal,WillTe01,rush_yds,0,,,,,
player,201712170rai,dal,WillTe01,rush_td,0,,,,,
player,201712170rai,dal,WillTe01,rush_long,0,,,,,
player,201712170rai,dal,WillTe01,targets,5,,,,,
player,201712170rai,dal,WillTe01,rec,3,,,,,
player,201712170rai,dal,WillTe01,rec_yds,19,,,,,
player,201712170rai,dal,WillTe01,rec_td,0,,,,,
player,201712170rai,dal,WillTe01,rec_long,8,,,,,
player,201712170rai,dal,WillTe01,fumbles,0,,,,,
player,201712170rai,dal,WillTe01,fumbles_lost,0,,,,,
player,201712170rai,dal,BeasCo00,pass_cmp,0,,,,,
player,201712170rai,dal,BeasCo00,pass_att,0,,,,,
player,201712170rai,dal,BeasCo00,pass_yds,0,,,,,
player,201712170rai,dal,BeasCo00,pass_td,0,,,,,
player,201712170rai,dal,BeasCo00,pass_int,0,,,,,
player,201712170rai,dal,BeasCo00,pass_sacked,0,,,,,
player,201712170rai,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201712170rai,dal,BeasCo00,pass_long,0,,,,,
player,201712170rai,dal,BeasCo00,pass_rating,,,,,,
player,201712170rai,dal,BeasCo00,rush_att,0,,,,,
player,201712170rai,dal,BeasCo00,rush_yds,0,,,,,
player,201712170rai,dal,BeasCo00,rush_td,0,,,,,
player,201712170rai,dal,BeasCo00,rush_long,0,,,,,
player,201712170rai,dal,BeasCo00,targets,5,,,,,
player,201712170rai,dal,BeasCo00,rec,1,,,,,
player,201712170rai,dal,BeasCo00,rec_yds,15,,,,,
player,201712170rai,dal,BeasCo00,rec_td,0,,,,,
player,201712170rai,dal,BeasCo00,rec_long,15,,,,,
player,201712170rai,dal,BeasCo00,fumbles,0,,,,,
player,201712170rai,dal,BeasCo00,fumbles_lost,0,,,,,
player,201712170rai,dal,SmitKe03,pass_cmp,0,,,,,
player,201712170rai,dal,SmitKe03,pass_att,0,,,,,
player,201712170rai,dal,SmitKe03,pass_yds,0,,,,,
player,201712170rai,dal,SmitKe03,pass_td,0,,,,,
player,201712170rai,dal,SmitKe03,pass_int,0,,,,,
player,201712170rai,dal,SmitKe03,pass_sacked,0,,,,,
player,201712170rai,dal,SmitKe03,pass_sacked_yds,0,,,,,
player,201712170rai,dal,SmitKe03,pass_long,0,,,,,
player,201712170rai,dal,SmitKe03,pass_rating,,,,,,
player,201712170rai,dal,SmitKe03,rush_att,0,,,,,
player,201712170rai,dal,SmitKe03,rush_yds,0,,,,,
player,201712170rai,dal,SmitKe03,rush_td,0,,,,,
player,201712170rai,dal,SmitKe03,rush_long,0,,,,,
player,201712170rai,dal,SmitKe03,targets,1,,,,,
player,201712170rai,dal,SmitKe03,rec,1,,,,,
player,201712170rai,dal,SmitKe03,rec_yds,12,,,,,
player,201712170rai,dal,SmitKe03,rec_td,0,,,,,
player,201712170rai,dal,SmitKe03,rec_long,12,,,,,
player,201712170rai,dal,SmitKe03,fumbles,0,,,,,
player,201712170rai,dal,SmitKe03,fumbles_lost,0,,,,,
player,201712170rai,dal,BrowNo00,pass_cmp,0,,,,,
player,201712170rai,dal,BrowNo00,pass_att,0,,,,,
player,201712170rai,dal,BrowNo00,pass_yds,0,,,,,
player,201712170rai,dal,BrowNo00,pass_td,0,,,,,
player,201712170rai,dal,BrowNo00,pass_int,0,,,,,
player,201712170rai,dal,BrowNo00,pass_sacked,0,,,,,
player,201712170rai,dal,BrowNo00,pass_sacked_yds,0,,,,,
player,201712170rai,dal,BrowNo00,pass_long,0,,,,,
player,201712170rai,dal,BrowNo00,pass_rating,,,,,,
player,201712170rai,dal,BrowNo00,rush_att,0,,,,,
player,201712170rai,dal,BrowNo00,rush_yds,0,,,,,
player,201712170rai,dal,BrowNo00,rush_td,0,,,,,
player,201712170rai,dal,BrowNo00,rush_long,0,,,,,
player,201712170rai,dal,BrowNo00,targets,1,,,,,
player,201712170rai,dal,BrowNo00,rec,1,,,,,
player,201712170rai,dal,BrowNo00,rec_yds,8,,,,,
player,201712170rai,dal,BrowNo00,rec_td,0,,,,,
player,201712170rai,dal,BrowNo00,rec_long,8,,,,,
player,201712170rai,dal,BrowNo00,fumbles,0,,,,,
player,201712170rai,dal,BrowNo00,fumbles_lost,0,,,,,
player,201712170rai,dal,BryaDe01,pass_cmp,0,,,,,
player,201712170rai,dal,BryaDe01,pass_att,0,,,,,
player,201712170rai,dal,BryaDe01,pass_yds,0,,,,,
player,201712170rai,dal,BryaDe01,pass_td,0,,,,,
player,201712170rai,dal,BryaDe01,pass_int,0,,,,,
player,201712170rai,dal,BryaDe01,pass_sacked,0,,,,,
player,201712170rai,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201712170rai,dal,BryaDe01,pass_long,0,,,,,
player,201712170rai,dal,BryaDe01,pass_rating,,,,,,
player,201712170rai,dal,BryaDe01,rush_att,1,,,,,
player,201712170rai,dal,BryaDe01,rush_yds,-4,,,,,
player,201712170rai,dal,BryaDe01,rush_td,0,,,,,
player,201712170rai,dal,BryaDe01,rush_long,-4,,,,,
player,201712170rai,dal,BryaDe01,targets,4,,,,,
player,201712170rai,dal,BryaDe01,rec,2,,,,,
player,201712170rai,dal,BryaDe01,rec_yds,59,,,,,
player,201712170rai,dal,BryaDe01,rec_td,0,,,,,
player,201712170rai,dal,BryaDe01,rec_long,40,,,,,
player,201712170rai,dal,BryaDe01,fumbles,0,,,,,
player,201712170rai,dal,BryaDe01,fumbles_lost,0,,,,,
player,201712170rai,rai,CarrDe02,pass_cmp,21,,,,,
player,201712170rai,rai,CarrDe02,pass_att,38,,,,,
player,201712170rai,rai,CarrDe02,pass_yds,171,,,,,
player,201712170rai,rai,CarrDe02,pass_td,2,,,,,
player,201712170rai,rai,CarrDe02,pass_int,0,,,,,
player,201712170rai,rai,CarrDe02,pass_sacked,0,,,,,
player,201712170rai,rai,CarrDe02,pass_sacked_yds,0,,,,,
player,201712170rai,rai,CarrDe02,pass_long,28,,,,,
player,201712170rai,rai,CarrDe02,pass_rating,84.4,,,,,
player,201712170rai,rai,CarrDe02,rush_att,4,,,,,
player,201712170rai,rai,CarrDe02,rush_yds,47,,,,,
player,201712170rai,rai,CarrDe02,rush_td,0,,,,,
player,201712170rai,rai,CarrDe02,rush_long,32,,,,,
player,201712170rai,rai,CarrDe02,targets,0,,,,,
player,201712170rai,rai,CarrDe02,rec,0,,,,,
player,201712170rai,rai,CarrDe02,rec_yds,0,,,,,
player,201712170rai,rai,CarrDe02,rec_td,0,,,,,
player,201712170rai,rai,CarrDe02,rec_long,0,,,,,
player,201712170rai,rai,CarrDe02,fumbles,1,,,,,
player,201712170rai,rai,CarrDe02,fumbles_lost,1,,,,,
player,201712170rai,rai,LyncMa00,pass_cmp,0,,,,,
player,201712170rai,rai,LyncMa00,pass_att,0,,,,,
player,201712170rai,rai,LyncMa00,pass_yds,0,,,,,
player,201712170rai,rai,LyncMa00,pass_td,0,,,,,
player,201712170rai,rai,LyncMa00,pass_int,0,,,,,
player,201712170rai,rai,LyncMa00,pass_sacked,0,,,,,
player,201712170rai,rai,LyncMa00,pass_sacked_yds,0,,,,,
player,201712170rai,rai,LyncMa00,pass_long,0,,,,,
player,201712170rai,rai,LyncMa00,pass_rating,,,,,,
player,201712170rai,rai,LyncMa00,rush_att,16,,,,,
player,201712170rai,rai,LyncMa00,rush_yds,76,,,,,
player,201712170rai,rai,LyncMa00,rush_td,0,,,,,
player,201712170rai,rai,LyncMa00,rush_long,19,,,,,
player,201712170rai,rai,LyncMa00,targets,4,,,,,
player,201712170rai,rai,LyncMa00,rec,3,,,,,
player,201712170rai,rai,LyncMa00,rec_yds,16,,,,,
player,201712170rai,rai,LyncMa00,rec_td,0,,,,,
player,201712170rai,rai,LyncMa00,rec_long,8,,,,,
player,201712170rai,rai,LyncMa00,fumbles,0,,,,,
player,201712170rai,rai,LyncMa00,fumbles_lost,0,,,,,
player,201712170rai,rai,WashDe00,pass_cmp,0,,,,,
player,201712170rai,rai,WashDe00,pass_att,0,,,,,
player,201712170rai,rai,WashDe00,pass_yds,0,,,,,
player,201712170rai,rai,WashDe00,pass_td,0,,,,,
player,201712170rai,rai,WashDe00,pass_int,0,,,,,
player,201712170rai,rai,WashDe00,pass_sacked,0,,,,,
player,201712170rai,rai,WashDe00,pass_sacked_yds,0,,,,,
player,201712170rai,rai,WashDe00,pass_long,0,,,,,
player,201712170rai,rai,WashDe00,pass_rating,,,,,,
player,201712170rai,rai,WashDe00,rush_att,2,,,,,
player,201712170rai,rai,WashDe00,rush_yds,3,,,,,
player,201712170rai,rai,WashDe00,rush_td,0,,,,,
player,201712170rai,rai,WashDe00,rush_long,2,,,,,
player,201712170rai,rai,WashDe00,targets,3,,,,,
player,201712170rai,rai,WashDe00,rec,2,,,,,
player,201712170rai,rai,WashDe00,rec_yds,16,,,,,
player,201712170rai,rai,WashDe00,rec_td,0,,,,,
player,201712170rai,rai,WashDe00,rec_long,10,,,,,
player,201712170rai,rai,WashDe00,fumbles,0,,,,,
player,201712170rai,rai,WashDe00,fumbles_lost,0,,,,,
player,201712170rai,rai,RobeSe00,pass_cmp,0,,,,,
player,201712170rai,rai,RobeSe00,pass_att,0,,,,,
player,201712170rai,rai,RobeSe00,pass_yds,0,,,,,
player,201712170rai,rai,RobeSe00,pass_td,0,,,,,
player,201712170rai,rai,RobeSe00,pass_int,0,,,,,
player,201712170rai,rai,RobeSe00,pass_sacked,0,,,,,
player,201712170rai,rai,RobeSe00,pass_sacked_yds,0,,,,,
player,201712170rai,rai,RobeSe00,pass_long,0,,,,,
player,201712170rai,rai,RobeSe00,pass_rating,,,,,,
player,201712170rai,rai,RobeSe00,rush_att,0,,,,,
player,201712170rai,rai,RobeSe00,rush_yds,0,,,,,
player,201712170rai,rai,RobeSe00,rush_td,0,,,,,
player,201712170rai,rai,RobeSe00,rush_long,0,,,,,
player,201712170rai,rai,RobeSe00,targets,5,,,,,
player,201712170rai,rai,RobeSe00,rec,3,,,,,
player,201712170rai,rai,RobeSe00,rec_yds,52,,,,,
player,201712170rai,rai,RobeSe00,rec_td,0,,,,,
player,201712170rai,rai,RobeSe00,rec_long,28,,,,,
player,201712170rai,rai,RobeSe00,fumbles,0,,,,,
player,201712170rai,rai,RobeSe00,fumbles_lost,0,,,,,
player,201712170rai,rai,CrabMi00,pass_cmp,0,,,,,
player,201712170rai,rai,CrabMi00,pass_att,0,,,,,
player,201712170rai,rai,CrabMi00,pass_yds,0,,,,,
player,201712170rai,rai,CrabMi00,pass_td,0,,,,,
player,201712170rai,rai,CrabMi00,pass_int,0,,,,,
player,201712170rai,rai,CrabMi00,pass_sacked,0,,,,,
player,201712170rai,rai,CrabMi00,pass_sacked_yds,0,,,,,
player,201712170rai,rai,CrabMi00,pass_long,0,,,,,
player,201712170rai,rai,CrabMi00,pass_rating,,,,,,
player,201712170rai,rai,CrabMi00,rush_att,0,,,,,
player,201712170rai,rai,CrabMi00,rush_yds,0,,,,,
player,201712170rai,rai,CrabMi00,rush_td,0,,,,,
player,201712170rai,rai,CrabMi00,rush_long,0,,,,,
player,201712170rai,rai,CrabMi00,targets,17,,,,,
player,201712170rai,rai,CrabMi00,rec,7,,,,,
player,201712170rai,rai,CrabMi00,rec_yds,39,,,,,
player,201712170rai,rai,CrabMi00,rec_td,2,,,,,
player,201712170rai,rai,CrabMi00,rec_long,14,,,,,
player,201712170rai,rai,CrabMi00,fumbles,1,,,,,
player,201712170rai,rai,CrabMi00,fumbles_lost,0,,,,,
player,201712170rai,rai,RichJa01,pass_cmp,0,,,,,
player,201712170rai,rai,RichJa01,pass_att,0,,,,,
player,201712170rai,rai,RichJa01,pass_yds,0,,,,,
player,201712170rai,rai,RichJa01,pass_td,0,,,,,
player,201712170rai,rai,RichJa01,pass_int,0,,,,,
player,201712170rai,rai,RichJa01,pass_sacked,0,,,,,
player,201712170rai,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201712170rai,rai,RichJa01,pass_long,0,,,,,
player,201712170rai,rai,RichJa01,pass_rating,,,,,,
player,201712170rai,rai,RichJa01,rush_att,0,,,,,
player,201712170rai,rai,RichJa01,rush_yds,0,,,,,
player,201712170rai,rai,RichJa01,rush_td,0,,,,,
player,201712170rai,rai,RichJa01,rush_long,0,,,,,
player,201712170rai,rai,RichJa01,targets,2,,,,,
player,201712170rai,rai,RichJa01,rec,2,,,,,
player,201712170rai,rai,RichJa01,rec_yds,21,,,,,
player,201712170rai,rai,RichJa01,rec_td,0,,,,,
player,201712170rai,rai,RichJa01,rec_long,11,,,,,
player,201712170rai,rai,RichJa01,fumbles,0,,,,,
player,201712170rai,rai,RichJa01,fumbles_lost,0,,,,,
player,201712170rai,rai,CookJa02,pass_cmp,0,,,,,
player,201712170rai,rai,CookJa02,pass_att,0,,,,,
player,201712170rai,rai,CookJa02,pass_yds,0,,,,,
player,201712170rai,rai,CookJa02,pass_td,0,,,,,
player,201712170rai,rai,CookJa02,pass_int,0,,,,,
player,201712170rai,rai,CookJa02,pass_sacked,0,,,,,
player,201712170rai,rai,CookJa02,pass_sacked_yds,0,,,,,
player,201712170rai,rai,CookJa02,pass_long,0,,,,,
player,201712170rai,rai,CookJa02,pass_rating,,,,,,
player,201712170rai,rai,CookJa02,rush_att,0,,,,,
player,201712170rai,rai,CookJa02,rush_yds,0,,,,,
player,201712170rai,rai,CookJa02,rush_td,0,,,,,
player,201712170rai,rai,CookJa02,rush_long,0,,,,,
player,201712170rai,rai,CookJa02,targets,4,,,,,
player,201712170rai,rai,CookJa02,rec,2,,,,,
player,201712170rai,rai,CookJa02,rec_yds,17,,,,,
player,201712170rai,rai,CookJa02,rec_td,0,,,,,
player,201712170rai,rai,CookJa02,rec_long,13,,,,,
player,201712170rai,rai,CookJa02,fumbles,0,,,,,
player,201712170rai,rai,CookJa02,fumbles_lost,0,,,,,
player,201712170rai,rai,SmitLe00,pass_cmp,0,,,,,
player,201712170rai,rai,SmitLe00,pass_att,0,,,,,
player,201712170rai,rai,SmitLe00,pass_yds,0,,,,,
player,201712170rai,rai,SmitLe00,pass_td,0,,,,,
player,201712170rai,rai,SmitLe00,pass_int,0,,,,,
player,201712170rai,rai,SmitLe00,pass_sacked,0,,,,,
player,201712170rai,rai,SmitLe00,pass_sacked_yds,0,,,,,
player,201712170rai,rai,SmitLe00,pass_long,0,,,,,
player,201712170rai,rai,SmitLe00,pass_rating,,,,,,
player,201712170rai,rai,SmitLe00,rush_att,0,,,,,
player,201712170rai,rai,SmitLe00,rush_yds,0,,,,,
player,201712170rai,rai,SmitLe00,rush_td,0,,,,,
player,201712170rai,rai,SmitLe00,rush_long,0,,,,,
player,201712170rai,rai,SmitLe00,targets,1,,,,,
player,201712170rai,rai,SmitLe00,rec,1,,,,,
player,201712170rai,rai,SmitLe00,rec_yds,3,,,,,
player,201712170rai,rai,SmitLe00,rec_td,0,,,,,
player,201712170rai,rai,SmitLe00,rec_long,3,,,,,
player,201712170rai,rai,SmitLe00,fumbles,0,,,,,
player,201712170rai,rai,SmitLe00,fumbles_lost,0,,,,,
player,201712170rai,rai,PattCo00,pass_cmp,0,,,,,
player,201712170rai,rai,PattCo00,pass_att,0,,,,,
player,201712170rai,rai,PattCo00,pass_yds,0,,,,,
player,201712170rai,rai,PattCo00,pass_td,0,,,,,
player,201712170rai,rai,PattCo00,pass_int,0,,,,,
player,201712170rai,rai,PattCo00,pass_sacked,0,,,,,
player,201712170rai,rai,PattCo00,pass_sacked_yds,0,,,,,
player,201712170rai,rai,PattCo00,pass_long,0,,,,,
player,201712170rai,rai,PattCo00,pass_rating,,,,,,
player,201712170rai,rai,PattCo00,rush_att,1,,,,,
player,201712170rai,rai,PattCo00,rush_yds,-4,,,,,
player,201712170rai,rai,PattCo00,rush_td,0,,,,,
player,201712170rai,rai,PattCo00,rush_long,-4,,,,,
player,201712170rai,rai,PattCo00,targets,2,,,,,
player,201712170rai,rai,PattCo00,rec,1,,,,,
player,201712170rai,rai,PattCo00,rec_yds,7,,,,,
player,201712170rai,rai,PattCo00,rec_td,0,,,,,
player,201712170rai,rai,PattCo00,rec_long,7,,,,,
player,201712170rai,rai,PattCo00,fumbles,2,,,,,
player,201712170rai,rai,PattCo00,fumbles_lost,0,,,,,
player,201712170rai,dal,LeexSe99,def_int,0,,,,,
player,201712170rai,dal,LeexSe99,def_int_yds,0,,,,,
player,201712170rai,dal,LeexSe99,def_int_td,0,,,,,
player,201712170rai,dal,LeexSe99,def_int_long,0,,,,,
player,201712170rai,dal,LeexSe99,pass_defended,0,,,,,
player,201712170rai,dal,LeexSe99,sacks,0.0,,,,,
player,201712170rai,dal,LeexSe99,tackles_combined,10,,,,,
player,201712170rai,dal,LeexSe99,tackles_solo,6,,,,,
player,201712170rai,dal,LeexSe99,tackles_assists,4,,,,,
player,201712170rai,dal,LeexSe99,tackles_loss,2,,,,,
player,201712170rai,dal,LeexSe99,qb_hits,1,,,,,
player,201712170rai,dal,LeexSe99,fumbles_rec,0,,,,,
player,201712170rai,dal,LeexSe99,fumbles_rec_yds,0,,,,,
player,201712170rai,dal,LeexSe99,fumbles_rec_td,0,,,,,
player,201712170rai,dal,LeexSe99,fumbles_forced,0,,,,,
player,201712170rai,dal,FrazKa00,def_int,0,,,,,
player,201712170rai,dal,FrazKa00,def_int_yds,0,,,,,
player,201712170rai,dal,FrazKa00,def_int_td,0,,,,,
player,201712170rai,dal,FrazKa00,def_int_long,0,,,,,
player,201712170rai,dal,FrazKa00,pass_defended,0,,,,,
player,201712170rai,dal,FrazKa00,sacks,0.0,,,,,
player,201712170rai,dal,FrazKa00,tackles_combined,6,,,,,
player,201712170rai,dal,FrazKa00,tackles_solo,2,,,,,
player,201712170rai,dal,FrazKa00,tackles_assists,4,,,,,
player,201712170rai,dal,FrazKa00,tackles_loss,1,,,,,
player,201712170rai,dal,FrazKa00,qb_hits,0,,,,,
player,201712170rai,dal,FrazKa00,fumbles_rec,0,,,,,
player,201712170rai,dal,FrazKa00,fumbles_rec_yds,0,,,,,
player,201712170rai,dal,FrazKa00,fumbles_rec_td,0,,,,,
player,201712170rai,dal,FrazKa00,fumbles_forced,0,,,,,
player,201712170rai,dal,HeatJe00,def_int,0,,,,,
player,201712170rai,dal,HeatJe00,def_int_yds,0,,,,,
player,201712170rai,dal,HeatJe00,def_int_td,0,,,,,
player,201712170rai,dal,HeatJe00,def_int_long,0,,,,,
