game,2017,16,20171224,201712240was,den,"Denver Broncos",11,was,"Washington Redskins",27
player,201712240was,den,FowlBe00,rush_long,0,,,,,
player,201712240was,den,FowlBe00,targets,3,,,,,
player,201712240was,den,FowlBe00,rec,0,,,,,
player,201712240was,den,FowlBe00,rec_yds,0,,,,,
player,201712240was,den,FowlBe00,rec_td,0,,,,,
player,201712240was,den,FowlBe00,rec_long,0,,,,,
player,201712240was,den,FowlBe00,fumbles,1,,,,,
player,201712240was,den,FowlBe00,fumbles_lost,0,,,,,
player,201712240was,den,HeueJe00,pass_cmp,0,,,,,
player,201712240was,den,HeueJe00,pass_att,0,,,,,
player,201712240was,den,HeueJe00,pass_yds,0,,,,,
player,201712240was,den,HeueJe00,pass_td,0,,,,,
player,201712240was,den,HeueJe00,pass_int,0,,,,,
player,201712240was,den,HeueJe00,pass_sacked,0,,,,,
player,201712240was,den,HeueJe00,pass_sacked_yds,0,,,,,
player,201712240was,den,HeueJe00,pass_long,0,,,,,
player,201712240was,den,HeueJe00,pass_rating,,,,,,
player,201712240was,den,HeueJe00,rush_att,0,,,,,
player,201712240was,den,HeueJe00,rush_yds,0,,,,,
player,201712240was,den,HeueJe00,rush_td,0,,,,,
player,201712240was,den,HeueJe00,rush_long,0,,,,,
player,201712240was,den,HeueJe00,targets,2,,,,,
player,201712240was,den,HeueJe00,rec,0,,,,,
player,201712240was,den,HeueJe00,rec_yds,0,,,,,
player,201712240was,den,HeueJe00,rec_td,0,,,,,
player,201712240was,den,HeueJe00,rec_long,0,,,,,
player,201712240was,den,HeueJe00,fumbles,0,,,,,
player,201712240was,den,HeueJe00,fumbles_lost,0,,,,,
player,201712240was,den,HendDe01,pass_cmp,0,,,,,
player,201712240was,den,HendDe01,pass_att,0,,,,,
player,201712240was,den,HendDe01,pass_yds,0,,,,,
player,201712240was,den,HendDe01,pass_td,0,,,,,
player,201712240was,den,HendDe01,pass_int,0,,,,,
player,201712240was,den,HendDe01,pass_sacked,0,,,,,
player,201712240was,den,HendDe01,pass_sacked_yds,0,,,,,
player,201712240was,den,HendDe01,pass_long,0,,,,,
player,201712240was,den,HendDe01,pass_rating,,,,,,
player,201712240was,den,HendDe01,rush_att,1,,,,,
player,201712240was,den,HendDe01,rush_yds,-3,,,,,
player,201712240was,den,HendDe01,rush_td,0,,,,,
player,201712240was,den,HendDe01,rush_long,-3,,,,,
player,201712240was,den,HendDe01,targets,1,,,,,
player,201712240was,den,HendDe01,rec,1,,,,,
player,201712240was,den,HendDe01,rec_yds,7,,,,,
player,201712240was,den,HendDe01,rec_td,0,,,,,
player,201712240was,den,HendDe01,rec_long,7,,,,,
player,201712240was,den,HendDe01,fumbles,0,,,,,
player,201712240was,den,HendDe01,fumbles_lost,0,,,,,
player,201712240was,was,CousKi00,pass_cmp,19,,,,,
player,201712240was,was,CousKi00,pass_att,37,,,,,
player,201712240was,was,CousKi00,pass_yds,299,,,,,
player,201712240was,was,CousKi00,pass_td,3,,,,,
player,201712240was,was,CousKi00,pass_int,1,,,,,
player,201712240was,was,CousKi00,pass_sacked,0,,,,,
player,201712240was,was,CousKi00,pass_sacked_yds,0,,,,,
player,201712240was,was,CousKi00,pass_long,48,,,,,
player,201712240was,was,CousKi00,pass_rating,94.3,,,,,
player,201712240was,was,CousKi00,rush_att,5,,,,,
player,201712240was,was,CousKi00,rush_yds,8,,,,,
player,201712240was,was,CousKi00,rush_td,0,,,,,
player,201712240was,was,CousKi00,rush_long,7,,,,,
player,201712240was,was,CousKi00,targets,0,,,,,
player,201712240was,was,CousKi00,rec,0,,,,,
player,201712240was,was,CousKi00,rec_yds,0,,,,,
player,201712240was,was,CousKi00,rec_td,0,,,,,
player,201712240was,was,CousKi00,rec_long,0,,,,,
player,201712240was,was,CousKi00,fumbles,1,,,,,
player,201712240was,was,CousKi00,fumbles_lost,0,,,,,
player,201712240was,was,PeriSa00,pass_cmp,0,,,,,
player,201712240was,was,PeriSa00,pass_att,0,,,,,
player,201712240was,was,PeriSa00,pass_yds,0,,,,,
player,201712240was,was,PeriSa00,pass_td,0,,,,,
player,201712240was,was,PeriSa00,pass_int,0,,,,,
player,201712240was,was,PeriSa00,pass_sacked,0,,,,,
player,201712240was,was,PeriSa00,pass_sacked_yds,0,,,,,
player,201712240was,was,PeriSa00,pass_long,0,,,,,
player,201712240was,was,PeriSa00,pass_rating,,,,,,
player,201712240was,was,PeriSa00,rush_att,17,,,,,
player,201712240was,was,PeriSa00,rush_yds,53,,,,,
player,201712240was,was,PeriSa00,rush_td,0,,,,,
player,201712240was,was,PeriSa00,rush_long,11,,,,,
player,201712240was,was,PeriSa00,targets,3,,,,,
player,201712240was,was,PeriSa00,rec,3,,,,,
player,201712240was,was,PeriSa00,rec_yds,21,,,,,
player,201712240was,was,PeriSa00,rec_td,0,,,,,
player,201712240was,was,PeriSa00,rec_long,9,,,,,
player,201712240was,was,PeriSa00,fumbles,1,,,,,
player,201712240was,was,PeriSa00,fumbles_lost,1,,,,,
player,201712240was,was,BibbKa00,pass_cmp,0,,,,,
player,201712240was,was,BibbKa00,pass_att,0,,,,,
player,201712240was,was,BibbKa00,pass_yds,0,,,,,
player,201712240was,was,BibbKa00,pass_td,0,,,,,
player,201712240was,was,BibbKa00,pass_int,0,,,,,
player,201712240was,was,BibbKa00,pass_sacked,0,,,,,
player,201712240was,was,BibbKa00,pass_sacked_yds,0,,,,,
player,201712240was,was,BibbKa00,pass_long,0,,,,,
player,201712240was,was,BibbKa00,pass_rating,,,,,,
player,201712240was,was,BibbKa00,rush_att,7,,,,,
player,201712240was,was,BibbKa00,rush_yds,26,,,,,
player,201712240was,was,BibbKa00,rush_td,0,,,,,
player,201712240was,was,BibbKa00,rush_long,13,,,,,
player,201712240was,was,BibbKa00,targets,4,,,,,
player,201712240was,was,BibbKa00,rec,2,,,,,
player,201712240was,was,BibbKa00,rec_yds,28,,,,,
player,201712240was,was,BibbKa00,rec_td,0,,,,,
player,201712240was,was,BibbKa00,rec_long,21,,,,,
player,201712240was,was,BibbKa00,fumbles,0,,,,,
player,201712240was,was,BibbKa00,fumbles_lost,0,,,,,
player,201712240was,was,GranRy01,pass_cmp,0,,,,,
player,201712240was,was,GranRy01,pass_att,0,,,,,
player,201712240was,was,GranRy01,pass_yds,0,,,,,
player,201712240was,was,GranRy01,pass_td,0,,,,,
player,201712240was,was,GranRy01,pass_int,0,,,,,
player,201712240was,was,GranRy01,pass_sacked,0,,,,,
player,201712240was,was,GranRy01,pass_sacked_yds,0,,,,,
player,201712240was,was,GranRy01,pass_long,0,,,,,
player,201712240was,was,GranRy01,pass_rating,,,,,,
player,201712240was,was,GranRy01,rush_att,0,,,,,
player,201712240was,was,GranRy01,rush_yds,0,,,,,
player,201712240was,was,GranRy01,rush_td,0,,,,,
player,201712240was,was,GranRy01,rush_long,0,,,,,
player,201712240was,was,GranRy01,targets,6,,,,,
player,201712240was,was,GranRy01,rec,4,,,,,
player,201712240was,was,GranRy01,rec_yds,85,,,,,
player,201712240was,was,GranRy01,rec_td,0,,,,,
player,201712240was,was,GranRy01,rec_long,36,,,,,
player,201712240was,was,GranRy01,fumbles,0,,,,,
player,201712240was,was,GranRy01,fumbles_lost,0,,,,,
player,201712240was,was,DoctJo00,pass_cmp,0,,,,,
player,201712240was,was,DoctJo00,pass_att,0,,,,,
player,201712240was,was,DoctJo00,pass_yds,0,,,,,
player,201712240was,was,DoctJo00,pass_td,0,,,,,
player,201712240was,was,DoctJo00,pass_int,0,,,,,
player,201712240was,was,DoctJo00,pass_sacked,0,,,,,
player,201712240was,was,DoctJo00,pass_sacked_yds,0,,,,,
player,201712240was,was,DoctJo00,pass_long,0,,,,,
player,201712240was,was,DoctJo00,pass_rating,,,,,,
player,201712240was,was,DoctJo00,rush_att,0,,,,,
player,201712240was,was,DoctJo00,rush_yds,0,,,,,
player,201712240was,was,DoctJo00,rush_td,0,,,,,
player,201712240was,was,DoctJo00,rush_long,0,,,,,
player,201712240was,was,DoctJo00,targets,13,,,,,
player,201712240was,was,DoctJo00,rec,2,,,,,
player,201712240was,was,DoctJo00,rec_yds,61,,,,,
player,201712240was,was,DoctJo00,rec_td,1,,,,,
player,201712240was,was,DoctJo00,rec_long,48,,,,,
player,201712240was,was,DoctJo00,fumbles,0,,,,,
player,201712240was,was,DoctJo00,fumbles_lost,0,,,,,
player,201712240was,was,CrowJa00,pass_cmp,0,,,,,
player,201712240was,was,CrowJa00,pass_att,0,,,,,
player,201712240was,was,CrowJa00,pass_yds,0,,,,,
player,201712240was,was,CrowJa00,pass_td,0,,,,,
player,201712240was,was,CrowJa00,pass_int,0,,,,,
player,201712240was,was,CrowJa00,pass_sacked,0,,,,,
player,201712240was,was,CrowJa00,pass_sacked_yds,0,,,,,
player,201712240was,was,CrowJa00,pass_long,0,,,,,
player,201712240was,was,CrowJa00,pass_rating,,,,,,
player,201712240was,was,CrowJa00,rush_att,0,,,,,
player,201712240was,was,CrowJa00,rush_yds,0,,,,,
player,201712240was,was,CrowJa00,rush_td,0,,,,,
player,201712240was,was,CrowJa00,rush_long,0,,,,,
player,201712240was,was,CrowJa00,targets,4,,,,,
player,201712240was,was,CrowJa00,rec,4,,,,,
