game,2017,9,20171105,201711050phi,den,"Denver Broncos",23,phi,"Philadelphia Eagles",51
player,201711050phi,phi,ClemCo00,pass_sacked,0,,,,,
player,201711050phi,phi,ClemCo00,pass_sacked_yds,0,,,,,
player,201711050phi,phi,ClemCo00,pass_long,0,,,,,
player,201711050phi,phi,ClemCo00,pass_rating,,,,,,
player,201711050phi,phi,ClemCo00,rush_att,12,,,,,
player,201711050phi,phi,ClemCo00,rush_yds,51,,,,,
player,201711050phi,phi,ClemCo00,rush_td,2,,,,,
player,201711050phi,phi,ClemCo00,rush_long,28,,,,,
player,201711050phi,phi,ClemCo00,targets,1,,,,,
player,201711050phi,phi,ClemCo00,rec,1,,,,,
player,201711050phi,phi,ClemCo00,rec_yds,15,,,,,
player,201711050phi,phi,ClemCo00,rec_td,1,,,,,
player,201711050phi,phi,ClemCo00,rec_long,15,,,,,
player,201711050phi,phi,ClemCo00,fumbles,0,,,,,
player,201711050phi,phi,ClemCo00,fumbles_lost,0,,,,,
player,201711050phi,phi,BlouLe00,pass_cmp,0,,,,,
player,201711050phi,phi,BlouLe00,pass_att,0,,,,,
player,201711050phi,phi,BlouLe00,pass_yds,0,,,,,
player,201711050phi,phi,BlouLe00,pass_td,0,,,,,
player,201711050phi,phi,BlouLe00,pass_int,0,,,,,
player,201711050phi,phi,BlouLe00,pass_sacked,0,,,,,
player,201711050phi,phi,BlouLe00,pass_sacked_yds,0,,,,,
player,201711050phi,phi,BlouLe00,pass_long,0,,,,,
player,201711050phi,phi,BlouLe00,pass_rating,,,,,,
player,201711050phi,phi,BlouLe00,rush_att,9,,,,,
player,201711050phi,phi,BlouLe00,rush_yds,37,,,,,
player,201711050phi,phi,BlouLe00,rush_td,0,,,,,
player,201711050phi,phi,BlouLe00,rush_long,10,,,,,
player,201711050phi,phi,BlouLe00,targets,0,,,,,
player,201711050phi,phi,BlouLe00,rec,0,,,,,
player,201711050phi,phi,BlouLe00,rec_yds,0,,,,,
player,201711050phi,phi,BlouLe00,rec_td,0,,,,,
player,201711050phi,phi,BlouLe00,rec_long,0,,,,,
player,201711050phi,phi,BlouLe00,fumbles,0,,,,,
player,201711050phi,phi,BlouLe00,fumbles_lost,0,,,,,
player,201711050phi,phi,SmalWe00,pass_cmp,0,,,,,
player,201711050phi,phi,SmalWe00,pass_att,0,,,,,
player,201711050phi,phi,SmalWe00,pass_yds,0,,,,,
player,201711050phi,phi,SmalWe00,pass_td,0,,,,,
player,201711050phi,phi,SmalWe00,pass_int,0,,,,,
player,201711050phi,phi,SmalWe00,pass_sacked,0,,,,,
player,201711050phi,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201711050phi,phi,SmalWe00,pass_long,0,,,,,
player,201711050phi,phi,SmalWe00,pass_rating,,,,,,
player,201711050phi,phi,SmalWe00,rush_att,5,,,,,
player,201711050phi,phi,SmalWe00,rush_yds,25,,,,,
player,201711050phi,phi,SmalWe00,rush_td,0,,,,,
player,201711050phi,phi,SmalWe00,rush_long,26,,,,,
player,201711050phi,phi,SmalWe00,targets,0,,,,,
player,201711050phi,phi,SmalWe00,rec,0,,,,,
player,201711050phi,phi,SmalWe00,rec_yds,0,,,,,
player,201711050phi,phi,SmalWe00,rec_td,0,,,,,
player,201711050phi,phi,SmalWe00,rec_long,0,,,,,
player,201711050phi,phi,SmalWe00,fumbles,0,,,,,
player,201711050phi,phi,SmalWe00,fumbles_lost,0,,,,,
player,201711050phi,phi,JeffAl00,pass_cmp,0,,,,,
player,201711050phi,phi,JeffAl00,pass_att,0,,,,,
player,201711050phi,phi,JeffAl00,pass_yds,0,,,,,
player,201711050phi,phi,JeffAl00,pass_td,0,,,,,
player,201711050phi,phi,JeffAl00,pass_int,0,,,,,
player,201711050phi,phi,JeffAl00,pass_sacked,0,,,,,
player,201711050phi,phi,JeffAl00,pass_sacked_yds,0,,,,,
player,201711050phi,phi,JeffAl00,pass_long,0,,,,,
player,201711050phi,phi,JeffAl00,pass_rating,,,,,,
player,201711050phi,phi,JeffAl00,rush_att,0,,,,,
player,201711050phi,phi,JeffAl00,rush_yds,0,,,,,
player,201711050phi,phi,JeffAl00,rush_td,0,,,,,
player,201711050phi,phi,JeffAl00,rush_long,0,,,,,
player,201711050phi,phi,JeffAl00,targets,11,,,,,
player,201711050phi,phi,JeffAl00,rec,6,,,,,
player,201711050phi,phi,JeffAl00,rec_yds,84,,,,,
player,201711050phi,phi,JeffAl00,rec_td,2,,,,,
player,201711050phi,phi,JeffAl00,rec_long,32,,,,,
player,201711050phi,phi,JeffAl00,fumbles,0,,,,,
player,201711050phi,phi,JeffAl00,fumbles_lost,0,,,,,
player,201711050phi,phi,BurtTr01,pass_cmp,0,,,,,
player,201711050phi,phi,BurtTr01,pass_att,0,,,,,
player,201711050phi,phi,BurtTr01,pass_yds,0,,,,,
player,201711050phi,phi,BurtTr01,pass_td,0,,,,,
player,201711050phi,phi,BurtTr01,pass_int,0,,,,,
player,201711050phi,phi,BurtTr01,pass_sacked,0,,,,,
player,201711050phi,phi,BurtTr01,pass_sacked_yds,0,,,,,
player,201711050phi,phi,BurtTr01,pass_long,0,,,,,
player,201711050phi,phi,BurtTr01,pass_rating,,,,,,
player,201711050phi,phi,BurtTr01,rush_att,0,,,,,
player,201711050phi,phi,BurtTr01,rush_yds,0,,,,,
player,201711050phi,phi,BurtTr01,rush_td,0,,,,,
player,201711050phi,phi,BurtTr01,rush_long,0,,,,,
player,201711050phi,phi,BurtTr01,targets,4,,,,,
player,201711050phi,phi,BurtTr01,rec,2,,,,,
player,201711050phi,phi,BurtTr01,rec_yds,41,,,,,
