game,2017,9,20171105,201711050nyg,ram,"Los Angeles Rams",51,nyg,"New York Giants",17
player,201711050nyg,ram,GoffJa00,rec_long,0,,,,,
player,201711050nyg,ram,GoffJa00,fumbles,0,,,,,
player,201711050nyg,ram,GoffJa00,fumbles_lost,0,,,,,
player,201711050nyg,ram,GurlTo01,pass_cmp,0,,,,,
player,201711050nyg,ram,GurlTo01,pass_att,0,,,,,
player,201711050nyg,ram,GurlTo01,pass_yds,0,,,,,
player,201711050nyg,ram,GurlTo01,pass_td,0,,,,,
player,201711050nyg,ram,GurlTo01,pass_int,0,,,,,
player,201711050nyg,ram,GurlTo01,pass_sacked,0,,,,,
player,201711050nyg,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,GurlTo01,pass_long,0,,,,,
player,201711050nyg,ram,GurlTo01,pass_rating,,,,,,
player,201711050nyg,ram,GurlTo01,rush_att,16,,,,,
player,201711050nyg,ram,GurlTo01,rush_yds,59,,,,,
player,201711050nyg,ram,GurlTo01,rush_td,2,,,,,
player,201711050nyg,ram,GurlTo01,rush_long,36,,,,,
player,201711050nyg,ram,GurlTo01,targets,3,,,,,
player,201711050nyg,ram,GurlTo01,rec,2,,,,,
player,201711050nyg,ram,GurlTo01,rec_yds,45,,,,,
player,201711050nyg,ram,GurlTo01,rec_td,0,,,,,
player,201711050nyg,ram,GurlTo01,rec_long,44,,,,,
player,201711050nyg,ram,GurlTo01,fumbles,0,,,,,
player,201711050nyg,ram,GurlTo01,fumbles_lost,0,,,,,
player,201711050nyg,ram,BrowMa03,pass_cmp,0,,,,,
player,201711050nyg,ram,BrowMa03,pass_att,0,,,,,
player,201711050nyg,ram,BrowMa03,pass_yds,0,,,,,
player,201711050nyg,ram,BrowMa03,pass_td,0,,,,,
player,201711050nyg,ram,BrowMa03,pass_int,0,,,,,
player,201711050nyg,ram,BrowMa03,pass_sacked,0,,,,,
player,201711050nyg,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,BrowMa03,pass_long,0,,,,,
player,201711050nyg,ram,BrowMa03,pass_rating,,,,,,
player,201711050nyg,ram,BrowMa03,rush_att,15,,,,,
player,201711050nyg,ram,BrowMa03,rush_yds,57,,,,,
player,201711050nyg,ram,BrowMa03,rush_td,0,,,,,
player,201711050nyg,ram,BrowMa03,rush_long,16,,,,,
player,201711050nyg,ram,BrowMa03,targets,0,,,,,
player,201711050nyg,ram,BrowMa03,rec,0,,,,,
player,201711050nyg,ram,BrowMa03,rec_yds,0,,,,,
player,201711050nyg,ram,BrowMa03,rec_td,0,,,,,
player,201711050nyg,ram,BrowMa03,rec_long,0,,,,,
player,201711050nyg,ram,BrowMa03,fumbles,1,,,,,
player,201711050nyg,ram,BrowMa03,fumbles_lost,0,,,,,
player,201711050nyg,ram,AustTa00,pass_cmp,0,,,,,
player,201711050nyg,ram,AustTa00,pass_att,0,,,,,
player,201711050nyg,ram,AustTa00,pass_yds,0,,,,,
player,201711050nyg,ram,AustTa00,pass_td,0,,,,,
player,201711050nyg,ram,AustTa00,pass_int,0,,,,,
player,201711050nyg,ram,AustTa00,pass_sacked,0,,,,,
player,201711050nyg,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,AustTa00,pass_long,0,,,,,
player,201711050nyg,ram,AustTa00,pass_rating,,,,,,
player,201711050nyg,ram,AustTa00,rush_att,6,,,,,
player,201711050nyg,ram,AustTa00,rush_yds,34,,,,,
player,201711050nyg,ram,AustTa00,rush_td,0,,,,,
player,201711050nyg,ram,AustTa00,rush_long,21,,,,,
player,201711050nyg,ram,AustTa00,targets,0,,,,,
player,201711050nyg,ram,AustTa00,rec,0,,,,,
player,201711050nyg,ram,AustTa00,rec_yds,9,,,,,
player,201711050nyg,ram,AustTa00,rec_td,0,,,,,
player,201711050nyg,ram,AustTa00,rec_long,0,,,,,
player,201711050nyg,ram,AustTa00,fumbles,0,,,,,
player,201711050nyg,ram,AustTa00,fumbles_lost,0,,,,,
player,201711050nyg,ram,EverGe00,pass_cmp,0,,,,,
player,201711050nyg,ram,EverGe00,pass_att,0,,,,,
player,201711050nyg,ram,EverGe00,pass_yds,0,,,,,
player,201711050nyg,ram,EverGe00,pass_td,0,,,,,
player,201711050nyg,ram,EverGe00,pass_int,0,,,,,
player,201711050nyg,ram,EverGe00,pass_sacked,0,,,,,
player,201711050nyg,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,EverGe00,pass_long,0,,,,,
player,201711050nyg,ram,EverGe00,pass_rating,,,,,,
player,201711050nyg,ram,EverGe00,rush_att,1,,,,,
player,201711050nyg,ram,EverGe00,rush_yds,13,,,,,
player,201711050nyg,ram,EverGe00,rush_td,0,,,,,
player,201711050nyg,ram,EverGe00,rush_long,13,,,,,
player,201711050nyg,ram,EverGe00,targets,2,,,,,
player,201711050nyg,ram,EverGe00,rec,1,,,,,
player,201711050nyg,ram,EverGe00,rec_yds,44,,,,,
player,201711050nyg,ram,EverGe00,rec_td,0,,,,,
player,201711050nyg,ram,EverGe00,rec_long,44,,,,,
player,201711050nyg,ram,EverGe00,fumbles,0,,,,,
player,201711050nyg,ram,EverGe00,fumbles_lost,0,,,,,
player,201711050nyg,ram,WoodRo02,pass_cmp,0,,,,,
player,201711050nyg,ram,WoodRo02,pass_att,0,,,,,
player,201711050nyg,ram,WoodRo02,pass_yds,0,,,,,
player,201711050nyg,ram,WoodRo02,pass_td,0,,,,,
player,201711050nyg,ram,WoodRo02,pass_int,0,,,,,
player,201711050nyg,ram,WoodRo02,pass_sacked,0,,,,,
player,201711050nyg,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,WoodRo02,pass_long,0,,,,,
player,201711050nyg,ram,WoodRo02,pass_rating,,,,,,
player,201711050nyg,ram,WoodRo02,rush_att,0,,,,,
player,201711050nyg,ram,WoodRo02,rush_yds,0,,,,,
player,201711050nyg,ram,WoodRo02,rush_td,0,,,,,
player,201711050nyg,ram,WoodRo02,rush_long,0,,,,,
player,201711050nyg,ram,WoodRo02,targets,5,,,,,
player,201711050nyg,ram,WoodRo02,rec,4,,,,,
player,201711050nyg,ram,WoodRo02,rec_yds,70,,,,,
player,201711050nyg,ram,WoodRo02,rec_td,2,,,,,
player,201711050nyg,ram,WoodRo02,rec_long,52,,,,,
player,201711050nyg,ram,WoodRo02,fumbles,0,,,,,
player,201711050nyg,ram,WoodRo02,fumbles_lost,0,,,,,
player,201711050nyg,ram,WatkSa00,pass_cmp,0,,,,,
player,201711050nyg,ram,WatkSa00,pass_att,0,,,,,
player,201711050nyg,ram,WatkSa00,pass_yds,0,,,,,
player,201711050nyg,ram,WatkSa00,pass_td,0,,,,,
player,201711050nyg,ram,WatkSa00,pass_int,0,,,,,
player,201711050nyg,ram,WatkSa00,pass_sacked,0,,,,,
player,201711050nyg,ram,WatkSa00,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,WatkSa00,pass_long,0,,,,,
player,201711050nyg,ram,WatkSa00,pass_rating,,,,,,
player,201711050nyg,ram,WatkSa00,rush_att,0,,,,,
player,201711050nyg,ram,WatkSa00,rush_yds,0,,,,,
player,201711050nyg,ram,WatkSa00,rush_td,0,,,,,
player,201711050nyg,ram,WatkSa00,rush_long,0,,,,,
player,201711050nyg,ram,WatkSa00,targets,2,,,,,
player,201711050nyg,ram,WatkSa00,rec,1,,,,,
player,201711050nyg,ram,WatkSa00,rec_yds,67,,,,,
player,201711050nyg,ram,WatkSa00,rec_td,1,,,,,
player,201711050nyg,ram,WatkSa00,rec_long,67,,,,,
player,201711050nyg,ram,WatkSa00,fumbles,0,,,,,
player,201711050nyg,ram,WatkSa00,fumbles_lost,0,,,,,
player,201711050nyg,ram,KuppCo00,pass_cmp,0,,,,,
player,201711050nyg,ram,KuppCo00,pass_att,0,,,,,
player,201711050nyg,ram,KuppCo00,pass_yds,0,,,,,
player,201711050nyg,ram,KuppCo00,pass_td,0,,,,,
player,201711050nyg,ram,KuppCo00,pass_int,0,,,,,
player,201711050nyg,ram,KuppCo00,pass_sacked,0,,,,,
player,201711050nyg,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,KuppCo00,pass_long,0,,,,,
player,201711050nyg,ram,KuppCo00,pass_rating,,,,,,
player,201711050nyg,ram,KuppCo00,rush_att,0,,,,,
player,201711050nyg,ram,KuppCo00,rush_yds,0,,,,,
player,201711050nyg,ram,KuppCo00,rush_td,0,,,,,
player,201711050nyg,ram,KuppCo00,rush_long,0,,,,,
player,201711050nyg,ram,KuppCo00,targets,5,,,,,
player,201711050nyg,ram,KuppCo00,rec,3,,,,,
player,201711050nyg,ram,KuppCo00,rec_yds,54,,,,,
player,201711050nyg,ram,KuppCo00,rec_td,0,,,,,
player,201711050nyg,ram,KuppCo00,rec_long,35,,,,,
player,201711050nyg,ram,KuppCo00,fumbles,0,,,,,
player,201711050nyg,ram,KuppCo00,fumbles_lost,0,,,,,
player,201711050nyg,ram,CoopPh00,pass_cmp,0,,,,,
player,201711050nyg,ram,CoopPh00,pass_att,0,,,,,
player,201711050nyg,ram,CoopPh00,pass_yds,0,,,,,
player,201711050nyg,ram,CoopPh00,pass_td,0,,,,,
player,201711050nyg,ram,CoopPh00,pass_int,0,,,,,
player,201711050nyg,ram,CoopPh00,pass_sacked,0,,,,,
player,201711050nyg,ram,CoopPh00,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,CoopPh00,pass_long,0,,,,,
player,201711050nyg,ram,CoopPh00,pass_rating,,,,,,
player,201711050nyg,ram,CoopPh00,rush_att,0,,,,,
player,201711050nyg,ram,CoopPh00,rush_yds,0,,,,,
player,201711050nyg,ram,CoopPh00,rush_td,0,,,,,
player,201711050nyg,ram,CoopPh00,rush_long,0,,,,,
player,201711050nyg,ram,CoopPh00,targets,1,,,,,
player,201711050nyg,ram,CoopPh00,rec,1,,,,,
player,201711050nyg,ram,CoopPh00,rec_yds,9,,,,,
player,201711050nyg,ram,CoopPh00,rec_td,0,,,,,
player,201711050nyg,ram,CoopPh00,rec_long,9,,,,,
player,201711050nyg,ram,CoopPh00,fumbles,0,,,,,
player,201711050nyg,ram,CoopPh00,fumbles_lost,0,,,,,
player,201711050nyg,ram,HigbTy00,pass_cmp,0,,,,,
player,201711050nyg,ram,HigbTy00,pass_att,0,,,,,
player,201711050nyg,ram,HigbTy00,pass_yds,0,,,,,
player,201711050nyg,ram,HigbTy00,pass_td,0,,,,,
player,201711050nyg,ram,HigbTy00,pass_int,0,,,,,
player,201711050nyg,ram,HigbTy00,pass_sacked,0,,,,,
player,201711050nyg,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,HigbTy00,pass_long,0,,,,,
player,201711050nyg,ram,HigbTy00,pass_rating,,,,,,
player,201711050nyg,ram,HigbTy00,rush_att,0,,,,,
player,201711050nyg,ram,HigbTy00,rush_yds,0,,,,,
player,201711050nyg,ram,HigbTy00,rush_td,0,,,,,
player,201711050nyg,ram,HigbTy00,rush_long,0,,,,,
player,201711050nyg,ram,HigbTy00,targets,2,,,,,
player,201711050nyg,ram,HigbTy00,rec,1,,,,,
player,201711050nyg,ram,HigbTy00,rec_yds,8,,,,,
player,201711050nyg,ram,HigbTy00,rec_td,1,,,,,
player,201711050nyg,ram,HigbTy00,rec_long,8,,,,,
player,201711050nyg,ram,HigbTy00,fumbles,0,,,,,
player,201711050nyg,ram,HigbTy00,fumbles_lost,0,,,,,
player,201711050nyg,ram,CarrDe00,pass_cmp,0,,,,,
player,201711050nyg,ram,CarrDe00,pass_att,0,,,,,
player,201711050nyg,ram,CarrDe00,pass_yds,0,,,,,
player,201711050nyg,ram,CarrDe00,pass_td,0,,,,,
player,201711050nyg,ram,CarrDe00,pass_int,0,,,,,
player,201711050nyg,ram,CarrDe00,pass_sacked,0,,,,,
player,201711050nyg,ram,CarrDe00,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,CarrDe00,pass_long,0,,,,,
player,201711050nyg,ram,CarrDe00,pass_rating,,,,,,
player,201711050nyg,ram,CarrDe00,rush_att,0,,,,,
player,201711050nyg,ram,CarrDe00,rush_yds,0,,,,,
player,201711050nyg,ram,CarrDe00,rush_td,0,,,,,
player,201711050nyg,ram,CarrDe00,rush_long,0,,,,,
player,201711050nyg,ram,CarrDe00,targets,1,,,,,
player,201711050nyg,ram,CarrDe00,rec,1,,,,,
player,201711050nyg,ram,CarrDe00,rec_yds,5,,,,,
player,201711050nyg,ram,CarrDe00,rec_td,0,,,,,
player,201711050nyg,ram,CarrDe00,rec_long,5,,,,,
player,201711050nyg,ram,CarrDe00,fumbles,0,,,,,
player,201711050nyg,ram,CarrDe00,fumbles_lost,0,,,,,
player,201711050nyg,ram,ReynJo00,pass_cmp,0,,,,,
player,201711050nyg,ram,ReynJo00,pass_att,0,,,,,
player,201711050nyg,ram,ReynJo00,pass_yds,0,,,,,
player,201711050nyg,ram,ReynJo00,pass_td,0,,,,,
player,201711050nyg,ram,ReynJo00,pass_int,0,,,,,
player,201711050nyg,ram,ReynJo00,pass_sacked,0,,,,,
player,201711050nyg,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,ReynJo00,pass_long,0,,,,,
player,201711050nyg,ram,ReynJo00,pass_rating,,,,,,
player,201711050nyg,ram,ReynJo00,rush_att,0,,,,,
player,201711050nyg,ram,ReynJo00,rush_yds,0,,,,,
player,201711050nyg,ram,ReynJo00,rush_td,0,,,,,
player,201711050nyg,ram,ReynJo00,rush_long,0,,,,,
player,201711050nyg,ram,ReynJo00,targets,1,,,,,
player,201711050nyg,ram,ReynJo00,rec,0,,,,,
player,201711050nyg,ram,ReynJo00,rec_yds,0,,,,,
player,201711050nyg,ram,ReynJo00,rec_td,0,,,,,
player,201711050nyg,ram,ReynJo00,rec_long,0,,,,,
player,201711050nyg,ram,ReynJo00,fumbles,0,,,,,
player,201711050nyg,ram,ReynJo00,fumbles_lost,0,,,,,
player,201711050nyg,ram,MannSe00,pass_cmp,0,,,,,
player,201711050nyg,ram,MannSe00,pass_att,0,,,,,
player,201711050nyg,ram,MannSe00,pass_yds,0,,,,,
player,201711050nyg,ram,MannSe00,pass_td,0,,,,,
player,201711050nyg,ram,MannSe00,pass_int,0,,,,,
player,201711050nyg,ram,MannSe00,pass_sacked,0,,,,,
player,201711050nyg,ram,MannSe00,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,MannSe00,pass_long,0,,,,,
player,201711050nyg,ram,MannSe00,pass_rating,,,,,,
player,201711050nyg,ram,MannSe00,rush_att,1,,,,,
player,201711050nyg,ram,MannSe00,rush_yds,-1,,,,,
player,201711050nyg,ram,MannSe00,rush_td,0,,,,,
player,201711050nyg,ram,MannSe00,rush_long,-1,,,,,
player,201711050nyg,ram,MannSe00,targets,0,,,,,
player,201711050nyg,ram,MannSe00,rec,0,,,,,
player,201711050nyg,ram,MannSe00,rec_yds,0,,,,,
player,201711050nyg,ram,MannSe00,rec_td,0,,,,,
player,201711050nyg,ram,MannSe00,rec_long,0,,,,,
player,201711050nyg,ram,MannSe00,fumbles,0,,,,,
player,201711050nyg,ram,MannSe00,fumbles_lost,0,,,,,
player,201711050nyg,nyg,MannEl00,pass_cmp,20,,,,,
player,201711050nyg,nyg,MannEl00,pass_att,36,,,,,
player,201711050nyg,nyg,MannEl00,pass_yds,220,,,,,
player,201711050nyg,nyg,MannEl00,pass_td,2,,,,,
player,201711050nyg,nyg,MannEl00,pass_int,1,,,,,
player,201711050nyg,nyg,MannEl00,pass_sacked,2,,,,,
player,201711050nyg,nyg,MannEl00,pass_sacked_yds,12,,,,,
player,201711050nyg,nyg,MannEl00,pass_long,37,,,,,
player,201711050nyg,nyg,MannEl00,pass_rating,80.8,,,,,
player,201711050nyg,nyg,MannEl00,rush_att,0,,,,,
player,201711050nyg,nyg,MannEl00,rush_yds,0,,,,,
player,201711050nyg,nyg,MannEl00,rush_td,0,,,,,
player,201711050nyg,nyg,MannEl00,rush_long,0,,,,,
player,201711050nyg,nyg,MannEl00,targets,0,,,,,
player,201711050nyg,nyg,MannEl00,rec,0,,,,,
player,201711050nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201711050nyg,nyg,MannEl00,rec_td,0,,,,,
player,201711050nyg,nyg,MannEl00,rec_long,0,,,,,
player,201711050nyg,nyg,MannEl00,fumbles,1,,,,,
player,201711050nyg,nyg,MannEl00,fumbles_lost,1,,,,,
player,201711050nyg,nyg,SmitGe00,pass_cmp,0,,,,,
player,201711050nyg,nyg,SmitGe00,pass_att,2,,,,,
player,201711050nyg,nyg,SmitGe00,pass_yds,0,,,,,
player,201711050nyg,nyg,SmitGe00,pass_td,0,,,,,
player,201711050nyg,nyg,SmitGe00,pass_int,0,,,,,
player,201711050nyg,nyg,SmitGe00,pass_sacked,0,,,,,
player,201711050nyg,nyg,SmitGe00,pass_sacked_yds,0,,,,,
player,201711050nyg,nyg,SmitGe00,pass_long,0,,,,,
player,201711050nyg,nyg,SmitGe00,pass_rating,39.6,,,,,
player,201711050nyg,nyg,SmitGe00,rush_att,1,,,,,
player,201711050nyg,nyg,SmitGe00,rush_yds,-1,,,,,
player,201711050nyg,nyg,SmitGe00,rush_td,0,,,,,
player,201711050nyg,nyg,SmitGe00,rush_long,-1,,,,,
player,201711050nyg,nyg,SmitGe00,targets,0,,,,,
player,201711050nyg,nyg,SmitGe00,rec,0,,,,,
player,201711050nyg,nyg,SmitGe00,rec_yds,0,,,,,
player,201711050nyg,nyg,SmitGe00,rec_td,0,,,,,
player,201711050nyg,nyg,SmitGe00,rec_long,0,,,,,
player,201711050nyg,nyg,SmitGe00,fumbles,0,,,,,
player,201711050nyg,nyg,SmitGe00,fumbles_lost,0,,,,,
player,201711050nyg,nyg,DarkOr00,pass_cmp,0,,,,,
player,201711050nyg,nyg,DarkOr00,pass_att,0,,,,,
player,201711050nyg,nyg,DarkOr00,pass_yds,0,,,,,
player,201711050nyg,nyg,DarkOr00,pass_td,0,,,,,
player,201711050nyg,nyg,DarkOr00,pass_int,0,,,,,
player,201711050nyg,nyg,DarkOr00,pass_sacked,0,,,,,
player,201711050nyg,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201711050nyg,nyg,DarkOr00,pass_long,0,,,,,
player,201711050nyg,nyg,DarkOr00,pass_rating,,,,,,
player,201711050nyg,nyg,DarkOr00,rush_att,16,,,,,
player,201711050nyg,nyg,DarkOr00,rush_yds,71,,,,,
player,201711050nyg,nyg,DarkOr00,rush_td,0,,,,,
player,201711050nyg,nyg,DarkOr00,rush_long,24,,,,,
player,201711050nyg,nyg,DarkOr00,targets,2,,,,,
player,201711050nyg,nyg,DarkOr00,rec,2,,,,,
player,201711050nyg,nyg,DarkOr00,rec_yds,8,,,,,
player,201711050nyg,nyg,DarkOr00,rec_td,0,,,,,
player,201711050nyg,nyg,DarkOr00,rec_long,4,,,,,
player,201711050nyg,nyg,DarkOr00,fumbles,0,,,,,
player,201711050nyg,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201711050nyg,nyg,GallWa00,pass_cmp,0,,,,,
player,201711050nyg,nyg,GallWa00,pass_att,0,,,,,
player,201711050nyg,nyg,GallWa00,pass_yds,0,,,,,
player,201711050nyg,nyg,GallWa00,pass_td,0,,,,,
player,201711050nyg,nyg,GallWa00,pass_int,0,,,,,
player,201711050nyg,nyg,GallWa00,pass_sacked,0,,,,,
player,201711050nyg,nyg,GallWa00,pass_sacked_yds,0,,,,,
player,201711050nyg,nyg,GallWa00,pass_long,0,,,,,
player,201711050nyg,nyg,GallWa00,pass_rating,,,,,,
player,201711050nyg,nyg,GallWa00,rush_att,9,,,,,
player,201711050nyg,nyg,GallWa00,rush_yds,41,,,,,
player,201711050nyg,nyg,GallWa00,rush_td,0,,,,,
player,201711050nyg,nyg,GallWa00,rush_long,14,,,,,
player,201711050nyg,nyg,GallWa00,targets,1,,,,,
player,201711050nyg,nyg,GallWa00,rec,0,,,,,
player,201711050nyg,nyg,GallWa00,rec_yds,0,,,,,
player,201711050nyg,nyg,GallWa00,rec_td,0,,,,,
player,201711050nyg,nyg,GallWa00,rec_long,0,,,,,
player,201711050nyg,nyg,GallWa00,fumbles,1,,,,,
player,201711050nyg,nyg,GallWa00,fumbles_lost,1,,,,,
player,201711050nyg,nyg,ShepSt00,pass_cmp,0,,,,,
player,201711050nyg,nyg,ShepSt00,pass_att,0,,,,,
player,201711050nyg,nyg,ShepSt00,pass_yds,0,,,,,
player,201711050nyg,nyg,ShepSt00,pass_td,0,,,,,
player,201711050nyg,nyg,ShepSt00,pass_int,0,,,,,
player,201711050nyg,nyg,ShepSt00,pass_sacked,0,,,,,
player,201711050nyg,nyg,ShepSt00,pass_sacked_yds,0,,,,,
player,201711050nyg,nyg,ShepSt00,pass_long,0,,,,,
player,201711050nyg,nyg,ShepSt00,pass_rating,,,,,,
player,201711050nyg,nyg,ShepSt00,rush_att,0,,,,,
player,201711050nyg,nyg,ShepSt00,rush_yds,0,,,,,
player,201711050nyg,nyg,ShepSt00,rush_td,0,,,,,
player,201711050nyg,nyg,ShepSt00,rush_long,0,,,,,
player,201711050nyg,nyg,ShepSt00,targets,9,,,,,
player,201711050nyg,nyg,ShepSt00,rec,5,,,,,
player,201711050nyg,nyg,ShepSt00,rec_yds,70,,,,,
player,201711050nyg,nyg,ShepSt00,rec_td,0,,,,,
player,201711050nyg,nyg,ShepSt00,rec_long,37,,,,,
player,201711050nyg,nyg,ShepSt00,fumbles,0,,,,,
player,201711050nyg,nyg,ShepSt00,fumbles_lost,0,,,,,
player,201711050nyg,nyg,EngrEv00,pass_cmp,0,,,,,
player,201711050nyg,nyg,EngrEv00,pass_att,0,,,,,
player,201711050nyg,nyg,EngrEv00,pass_yds,0,,,,,
player,201711050nyg,nyg,EngrEv00,pass_td,0,,,,,
player,201711050nyg,nyg,EngrEv00,pass_int,0,,,,,
player,201711050nyg,nyg,EngrEv00,pass_sacked,0,,,,,
player,201711050nyg,nyg,EngrEv00,pass_sacked_yds,0,,,,,
player,201711050nyg,nyg,EngrEv00,pass_long,0,,,,,
player,201711050nyg,nyg,EngrEv00,pass_rating,,,,,,
player,201711050nyg,nyg,EngrEv00,rush_att,0,,,,,
player,201711050nyg,nyg,EngrEv00,rush_yds,0,,,,,
player,201711050nyg,nyg,EngrEv00,rush_td,0,,,,,
player,201711050nyg,nyg,EngrEv00,rush_long,0,,,,,
player,201711050nyg,nyg,EngrEv00,targets,10,,,,,
player,201711050nyg,nyg,EngrEv00,rec,4,,,,,
player,201711050nyg,nyg,EngrEv00,rec_yds,70,,,,,
player,201711050nyg,nyg,EngrEv00,rec_td,1,,,,,
player,201711050nyg,nyg,EngrEv00,rec_long,26,,,,,
player,201711050nyg,nyg,EngrEv00,fumbles,0,,,,,
player,201711050nyg,nyg,EngrEv00,fumbles_lost,0,,,,,
player,201711050nyg,nyg,KingTa00,pass_cmp,0,,,,,
player,201711050nyg,nyg,KingTa00,pass_att,0,,,,,
player,201711050nyg,nyg,KingTa00,pass_yds,0,,,,,
player,201711050nyg,nyg,KingTa00,pass_td,0,,,,,
player,201711050nyg,nyg,KingTa00,pass_int,0,,,,,
player,201711050nyg,nyg,KingTa00,pass_sacked,0,,,,,
player,201711050nyg,nyg,KingTa00,pass_sacked_yds,0,,,,,
player,201711050nyg,nyg,KingTa00,pass_long,0,,,,,
player,201711050nyg,nyg,KingTa00,pass_rating,,,,,,
player,201711050nyg,nyg,KingTa00,rush_att,0,,,,,
player,201711050nyg,nyg,KingTa00,rush_yds,0,,,,,
player,201711050nyg,nyg,KingTa00,rush_td,0,,,,,
player,201711050nyg,nyg,KingTa00,rush_long,0,,,,,
player,201711050nyg,nyg,KingTa00,targets,6,,,,,
player,201711050nyg,nyg,KingTa00,rec,3,,,,,
player,201711050nyg,nyg,KingTa00,rec_yds,33,,,,,
player,201711050nyg,nyg,KingTa00,rec_td,1,,,,,
player,201711050nyg,nyg,KingTa00,rec_long,14,,,,,
player,201711050nyg,nyg,KingTa00,fumbles,0,,,,,
player,201711050nyg,nyg,KingTa00,fumbles_lost,0,,,,,
player,201711050nyg,nyg,ElliRh00,pass_cmp,0,,,,,
player,201711050nyg,nyg,ElliRh00,pass_att,0,,,,,
player,201711050nyg,nyg,ElliRh00,pass_yds,0,,,,,
player,201711050nyg,nyg,ElliRh00,pass_td,0,,,,,
player,201711050nyg,nyg,ElliRh00,pass_int,0,,,,,
player,201711050nyg,nyg,ElliRh00,pass_sacked,0,,,,,
player,201711050nyg,nyg,ElliRh00,pass_sacked_yds,0,,,,,
player,201711050nyg,nyg,ElliRh00,pass_long,0,,,,,
player,201711050nyg,nyg,ElliRh00,pass_rating,,,,,,
player,201711050nyg,nyg,ElliRh00,rush_att,0,,,,,
player,201711050nyg,nyg,ElliRh00,rush_yds,0,,,,,
player,201711050nyg,nyg,ElliRh00,rush_td,0,,,,,
player,201711050nyg,nyg,ElliRh00,rush_long,0,,,,,
player,201711050nyg,nyg,ElliRh00,targets,2,,,,,
player,201711050nyg,nyg,ElliRh00,rec,2,,,,,
