game,2017,1,20170910,201709100det,crd,"Arizona Cardinals",23,det,"Detroit Lions",35
player,201709100det,crd,NelsJJ00,pass_yds,0,,,,,
player,201709100det,crd,NelsJJ00,pass_td,0,,,,,
player,201709100det,crd,NelsJJ00,pass_int,0,,,,,
player,201709100det,crd,NelsJJ00,pass_sacked,0,,,,,
player,201709100det,crd,NelsJJ00,pass_sacked_yds,0,,,,,
player,201709100det,crd,NelsJJ00,pass_long,0,,,,,
player,201709100det,crd,NelsJJ00,pass_rating,,,,,,
player,201709100det,crd,NelsJJ00,rush_att,0,,,,,
player,201709100det,crd,NelsJJ00,rush_yds,0,,,,,
player,201709100det,crd,NelsJJ00,rush_td,0,,,,,
player,201709100det,crd,NelsJJ00,rush_long,0,,,,,
player,201709100det,crd,NelsJJ00,targets,6,,,,,
player,201709100det,crd,NelsJJ00,rec,5,,,,,
player,201709100det,crd,NelsJJ00,rec_yds,43,,,,,
player,201709100det,crd,NelsJJ00,rec_td,1,,,,,
player,201709100det,crd,NelsJJ00,rec_long,14,,,,,
player,201709100det,crd,NelsJJ00,fumbles,0,,,,,
player,201709100det,crd,NelsJJ00,fumbles_lost,0,,,,,
player,201709100det,crd,ElliAn00,pass_cmp,0,,,,,
player,201709100det,crd,ElliAn00,pass_att,0,,,,,
player,201709100det,crd,ElliAn00,pass_yds,0,,,,,
player,201709100det,crd,ElliAn00,pass_td,0,,,,,
player,201709100det,crd,ElliAn00,pass_int,0,,,,,
player,201709100det,crd,ElliAn00,pass_sacked,0,,,,,
player,201709100det,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201709100det,crd,ElliAn00,pass_long,0,,,,,
player,201709100det,crd,ElliAn00,pass_rating,,,,,,
player,201709100det,crd,ElliAn00,rush_att,0,,,,,
player,201709100det,crd,ElliAn00,rush_yds,0,,,,,
player,201709100det,crd,ElliAn00,rush_td,0,,,,,
player,201709100det,crd,ElliAn00,rush_long,0,,,,,
player,201709100det,crd,ElliAn00,targets,3,,,,,
player,201709100det,crd,ElliAn00,rec,2,,,,,
player,201709100det,crd,ElliAn00,rec_yds,35,,,,,
player,201709100det,crd,ElliAn00,rec_td,0,,,,,
player,201709100det,crd,ElliAn00,rec_long,24,,,,,
player,201709100det,crd,ElliAn00,fumbles,0,,,,,
player,201709100det,crd,ElliAn00,fumbles_lost,0,,,,,
player,201709100det,crd,GresJe00,pass_cmp,0,,,,,
player,201709100det,crd,GresJe00,pass_att,0,,,,,
player,201709100det,crd,GresJe00,pass_yds,0,,,,,
player,201709100det,crd,GresJe00,pass_td,0,,,,,
player,201709100det,crd,GresJe00,pass_int,0,,,,,
player,201709100det,crd,GresJe00,pass_sacked,0,,,,,
player,201709100det,crd,GresJe00,pass_sacked_yds,0,,,,,
player,201709100det,crd,GresJe00,pass_long,0,,,,,
player,201709100det,crd,GresJe00,pass_rating,,,,,,
player,201709100det,crd,GresJe00,rush_att,0,,,,,
player,201709100det,crd,GresJe00,rush_yds,0,,,,,
player,201709100det,crd,GresJe00,rush_td,0,,,,,
player,201709100det,crd,GresJe00,rush_long,0,,,,,
player,201709100det,crd,GresJe00,targets,4,,,,,
