game,2017,8,20171029,201710290nwe,sdg,"Los Angeles Chargers",13,nwe,"New England Patriots",21
player,201710290nwe,nwe,GillMi00,rec,0,,,,,
player,201710290nwe,nwe,GillMi00,rec_yds,0,,,,,
player,201710290nwe,nwe,GillMi00,rec_td,0,,,,,
player,201710290nwe,nwe,GillMi00,rec_long,0,,,,,
player,201710290nwe,nwe,GillMi00,fumbles,0,,,,,
player,201710290nwe,nwe,GillMi00,fumbles_lost,0,,,,,
player,201710290nwe,nwe,BurkRe00,pass_cmp,0,,,,,
player,201710290nwe,nwe,BurkRe00,pass_att,0,,,,,
player,201710290nwe,nwe,BurkRe00,pass_yds,0,,,,,
player,201710290nwe,nwe,BurkRe00,pass_td,0,,,,,
player,201710290nwe,nwe,BurkRe00,pass_int,0,,,,,
player,201710290nwe,nwe,BurkRe00,pass_sacked,0,,,,,
player,201710290nwe,nwe,BurkRe00,pass_sacked_yds,0,,,,,
player,201710290nwe,nwe,BurkRe00,pass_long,0,,,,,
player,201710290nwe,nwe,BurkRe00,pass_rating,,,,,,
player,201710290nwe,nwe,BurkRe00,rush_att,4,,,,,
player,201710290nwe,nwe,BurkRe00,rush_yds,15,,,,,
player,201710290nwe,nwe,BurkRe00,rush_td,0,,,,,
player,201710290nwe,nwe,BurkRe00,rush_long,7,,,,,
player,201710290nwe,nwe,BurkRe00,targets,7,,,,,
player,201710290nwe,nwe,BurkRe00,rec,7,,,,,
player,201710290nwe,nwe,BurkRe00,rec_yds,68,,,,,
player,201710290nwe,nwe,BurkRe00,rec_td,0,,,,,
player,201710290nwe,nwe,BurkRe00,rec_long,14,,,,,
player,201710290nwe,nwe,BurkRe00,fumbles,0,,,,,
player,201710290nwe,nwe,BurkRe00,fumbles_lost,0,,,,,
player,201710290nwe,nwe,WhitJa02,pass_cmp,0,,,,,
player,201710290nwe,nwe,WhitJa02,pass_att,0,,,,,
player,201710290nwe,nwe,WhitJa02,pass_yds,0,,,,,
player,201710290nwe,nwe,WhitJa02,pass_td,0,,,,,
player,201710290nwe,nwe,WhitJa02,pass_int,0,,,,,
player,201710290nwe,nwe,WhitJa02,pass_sacked,0,,,,,
player,201710290nwe,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201710290nwe,nwe,WhitJa02,pass_long,0,,,,,
player,201710290nwe,nwe,WhitJa02,pass_rating,,,,,,
player,201710290nwe,nwe,WhitJa02,rush_att,1,,,,,
player,201710290nwe,nwe,WhitJa02,rush_yds,2,,,,,
player,201710290nwe,nwe,WhitJa02,rush_td,0,,,,,
player,201710290nwe,nwe,WhitJa02,rush_long,2,,,,,
player,201710290nwe,nwe,WhitJa02,targets,6,,,,,
player,201710290nwe,nwe,WhitJa02,rec,5,,,,,
player,201710290nwe,nwe,WhitJa02,rec_yds,85,,,,,
player,201710290nwe,nwe,WhitJa02,rec_td,0,,,,,
player,201710290nwe,nwe,WhitJa02,rec_long,27,,,,,
player,201710290nwe,nwe,WhitJa02,fumbles,0,,,,,
player,201710290nwe,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201710290nwe,nwe,HogaCh00,pass_cmp,0,,,,,
player,201710290nwe,nwe,HogaCh00,pass_att,0,,,,,
player,201710290nwe,nwe,HogaCh00,pass_yds,0,,,,,
player,201710290nwe,nwe,HogaCh00,pass_td,0,,,,,
player,201710290nwe,nwe,HogaCh00,pass_int,0,,,,,
player,201710290nwe,nwe,HogaCh00,pass_sacked,0,,,,,
player,201710290nwe,nwe,HogaCh00,pass_sacked_yds,0,,,,,
player,201710290nwe,nwe,HogaCh00,pass_long,0,,,,,
player,201710290nwe,nwe,HogaCh00,pass_rating,,,,,,
player,201710290nwe,nwe,HogaCh00,rush_att,0,,,,,
player,201710290nwe,nwe,HogaCh00,rush_yds,0,,,,,
player,201710290nwe,nwe,HogaCh00,rush_td,0,,,,,
player,201710290nwe,nwe,HogaCh00,rush_long,0,,,,,
player,201710290nwe,nwe,HogaCh00,targets,7,,,,,
player,201710290nwe,nwe,HogaCh00,rec,5,,,,,
player,201710290nwe,nwe,HogaCh00,rec_yds,60,,,,,
player,201710290nwe,nwe,HogaCh00,rec_td,0,,,,,
player,201710290nwe,nwe,HogaCh00,rec_long,19,,,,,
player,201710290nwe,nwe,HogaCh00,fumbles,0,,,,,
player,201710290nwe,nwe,HogaCh00,fumbles_lost,0,,,,,
player,201710290nwe,nwe,GronRo00,pass_cmp,0,,,,,
player,201710290nwe,nwe,GronRo00,pass_att,0,,,,,
player,201710290nwe,nwe,GronRo00,pass_yds,0,,,,,
player,201710290nwe,nwe,GronRo00,pass_td,0,,,,,
player,201710290nwe,nwe,GronRo00,pass_int,0,,,,,
player,201710290nwe,nwe,GronRo00,pass_sacked,0,,,,,
player,201710290nwe,nwe,GronRo00,pass_sacked_yds,0,,,,,
player,201710290nwe,nwe,GronRo00,pass_long,0,,,,,
player,201710290nwe,nwe,GronRo00,pass_rating,,,,,,
player,201710290nwe,nwe,GronRo00,rush_att,0,,,,,
player,201710290nwe,nwe,GronRo00,rush_yds,0,,,,,
player,201710290nwe,nwe,GronRo00,rush_td,0,,,,,
player,201710290nwe,nwe,GronRo00,rush_long,0,,,,,
player,201710290nwe,nwe,GronRo00,targets,9,,,,,
player,201710290nwe,nwe,GronRo00,rec,5,,,,,
player,201710290nwe,nwe,GronRo00,rec_yds,57,,,,,
player,201710290nwe,nwe,GronRo00,rec_td,1,,,,,
player,201710290nwe,nwe,GronRo00,rec_long,26,,,,,
player,201710290nwe,nwe,GronRo00,fumbles,0,,,,,
player,201710290nwe,nwe,GronRo00,fumbles_lost,0,,,,,
player,201710290nwe,nwe,CookBr00,pass_cmp,0,,,,,
player,201710290nwe,nwe,CookBr00,pass_att,0,,,,,
player,201710290nwe,nwe,CookBr00,pass_yds,0,,,,,
player,201710290nwe,nwe,CookBr00,pass_td,0,,,,,
player,201710290nwe,nwe,CookBr00,pass_int,0,,,,,
player,201710290nwe,nwe,CookBr00,pass_sacked,0,,,,,
player,201710290nwe,nwe,CookBr00,pass_sacked_yds,0,,,,,
player,201710290nwe,nwe,CookBr00,pass_long,0,,,,,
player,201710290nwe,nwe,CookBr00,pass_rating,,,,,,
player,201710290nwe,nwe,CookBr00,rush_att,0,,,,,
player,201710290nwe,nwe,CookBr00,rush_yds,0,,,,,
player,201710290nwe,nwe,CookBr00,rush_td,0,,,,,
player,201710290nwe,nwe,CookBr00,rush_long,0,,,,,
player,201710290nwe,nwe,CookBr00,targets,8,,,,,
player,201710290nwe,nwe,CookBr00,rec,5,,,,,
player,201710290nwe,nwe,CookBr00,rec_yds,26,,,,,
player,201710290nwe,nwe,CookBr00,rec_td,0,,,,,
player,201710290nwe,nwe,CookBr00,rec_long,9,,,,,
