game,2017,6,20171015,201710150rav,chi,"Chicago Bears",27,rav,"Baltimore Ravens",24
player,201710150rav,chi,HowaJo00,rec_long,9,,,,,
player,201710150rav,chi,HowaJo00,fumbles,0,,,,,
player,201710150rav,chi,HowaJo00,fumbles_lost,0,,,,,
player,201710150rav,chi,SimsDi00,pass_cmp,0,,,,,
player,201710150rav,chi,SimsDi00,pass_att,0,,,,,
player,201710150rav,chi,SimsDi00,pass_yds,0,,,,,
player,201710150rav,chi,SimsDi00,pass_td,0,,,,,
player,201710150rav,chi,SimsDi00,pass_int,0,,,,,
player,201710150rav,chi,SimsDi00,pass_sacked,0,,,,,
player,201710150rav,chi,SimsDi00,pass_sacked_yds,0,,,,,
player,201710150rav,chi,SimsDi00,pass_long,0,,,,,
player,201710150rav,chi,SimsDi00,pass_rating,,,,,,
player,201710150rav,chi,SimsDi00,rush_att,0,,,,,
player,201710150rav,chi,SimsDi00,rush_yds,0,,,,,
player,201710150rav,chi,SimsDi00,rush_td,0,,,,,
player,201710150rav,chi,SimsDi00,rush_long,0,,,,,
player,201710150rav,chi,SimsDi00,targets,4,,,,,
player,201710150rav,chi,SimsDi00,rec,2,,,,,
player,201710150rav,chi,SimsDi00,rec_yds,42,,,,,
player,201710150rav,chi,SimsDi00,rec_td,1,,,,,
player,201710150rav,chi,SimsDi00,rec_long,27,,,,,
player,201710150rav,chi,SimsDi00,fumbles,0,,,,,
player,201710150rav,chi,SimsDi00,fumbles_lost,0,,,,,
player,201710150rav,chi,WrigKe01,pass_cmp,0,,,,,
player,201710150rav,chi,WrigKe01,pass_att,0,,,,,
player,201710150rav,chi,WrigKe01,pass_yds,0,,,,,
player,201710150rav,chi,WrigKe01,pass_td,0,,,,,
player,201710150rav,chi,WrigKe01,pass_int,0,,,,,
player,201710150rav,chi,WrigKe01,pass_sacked,0,,,,,
player,201710150rav,chi,WrigKe01,pass_sacked_yds,0,,,,,
player,201710150rav,chi,WrigKe01,pass_long,0,,,,,
player,201710150rav,chi,WrigKe01,pass_rating,,,,,,
player,201710150rav,chi,WrigKe01,rush_att,0,,,,,
player,201710150rav,chi,WrigKe01,rush_yds,0,,,,,
player,201710150rav,chi,WrigKe01,rush_td,0,,,,,
player,201710150rav,chi,WrigKe01,rush_long,0,,,,,
player,201710150rav,chi,WrigKe01,targets,3,,,,,
player,201710150rav,chi,WrigKe01,rec,2,,,,,
player,201710150rav,chi,WrigKe01,rec_yds,36,,,,,
player,201710150rav,chi,WrigKe01,rec_td,0,,,,,
player,201710150rav,chi,WrigKe01,rec_long,18,,,,,
player,201710150rav,chi,WrigKe01,fumbles,0,,,,,
player,201710150rav,chi,WrigKe01,fumbles_lost,0,,,,,
player,201710150rav,chi,MillZa02,pass_cmp,0,,,,,
player,201710150rav,chi,MillZa02,pass_att,0,,,,,
player,201710150rav,chi,MillZa02,pass_yds,0,,,,,
player,201710150rav,chi,MillZa02,pass_td,0,,,,,
player,201710150rav,chi,MillZa02,pass_int,0,,,,,
player,201710150rav,chi,MillZa02,pass_sacked,0,,,,,
player,201710150rav,chi,MillZa02,pass_sacked_yds,0,,,,,
player,201710150rav,chi,MillZa02,pass_long,0,,,,,
player,201710150rav,chi,MillZa02,pass_rating,,,,,,
player,201710150rav,chi,MillZa02,rush_att,0,,,,,
player,201710150rav,chi,MillZa02,rush_yds,0,,,,,
player,201710150rav,chi,MillZa02,rush_td,0,,,,,
player,201710150rav,chi,MillZa02,rush_long,0,,,,,
player,201710150rav,chi,MillZa02,targets,3,,,,,
player,201710150rav,chi,MillZa02,rec,2,,,,,
player,201710150rav,chi,MillZa02,rec_yds,25,,,,,
player,201710150rav,chi,MillZa02,rec_td,1,,,,,
player,201710150rav,chi,MillZa02,rec_long,21,,,,,
player,201710150rav,chi,MillZa02,fumbles,0,,,,,
player,201710150rav,chi,MillZa02,fumbles_lost,0,,,,,
player,201710150rav,chi,BurtMi00,pass_cmp,0,,,,,
player,201710150rav,chi,BurtMi00,pass_att,0,,,,,
player,201710150rav,chi,BurtMi00,pass_yds,0,,,,,
player,201710150rav,chi,BurtMi00,pass_td,0,,,,,
player,201710150rav,chi,BurtMi00,pass_int,0,,,,,
player,201710150rav,chi,BurtMi00,pass_sacked,0,,,,,
player,201710150rav,chi,BurtMi00,pass_sacked_yds,0,,,,,
player,201710150rav,chi,BurtMi00,pass_long,0,,,,,
player,201710150rav,chi,BurtMi00,pass_rating,,,,,,
player,201710150rav,chi,BurtMi00,rush_att,0,,,,,
player,201710150rav,chi,BurtMi00,rush_yds,0,,,,,
player,201710150rav,chi,BurtMi00,rush_td,0,,,,,
player,201710150rav,chi,BurtMi00,rush_long,0,,,,,
player,201710150rav,chi,BurtMi00,targets,1,,,,,
player,201710150rav,chi,BurtMi00,rec,1,,,,,
player,201710150rav,chi,BurtMi00,rec_yds,8,,,,,
player,201710150rav,chi,BurtMi00,rec_td,0,,,,,
player,201710150rav,chi,BurtMi00,rec_long,8,,,,,
player,201710150rav,chi,BurtMi00,fumbles,0,,,,,
player,201710150rav,chi,BurtMi00,fumbles_lost,0,,,,,
player,201710150rav,chi,GentTa00,pass_cmp,0,,,,,
player,201710150rav,chi,GentTa00,pass_att,0,,,,,
player,201710150rav,chi,GentTa00,pass_yds,0,,,,,
player,201710150rav,chi,GentTa00,pass_td,0,,,,,
player,201710150rav,chi,GentTa00,pass_int,0,,,,,
player,201710150rav,chi,GentTa00,pass_sacked,0,,,,,
player,201710150rav,chi,GentTa00,pass_sacked_yds,0,,,,,
player,201710150rav,chi,GentTa00,pass_long,0,,,,,
player,201710150rav,chi,GentTa00,pass_rating,,,,,,
player,201710150rav,chi,GentTa00,rush_att,0,,,,,
player,201710150rav,chi,GentTa00,rush_yds,0,,,,,
player,201710150rav,chi,GentTa00,rush_td,0,,,,,
player,201710150rav,chi,GentTa00,rush_long,0,,,,,
player,201710150rav,chi,GentTa00,targets,1,,,,,
player,201710150rav,chi,GentTa00,rec,0,,,,,
player,201710150rav,chi,GentTa00,rec_yds,0,,,,,
player,201710150rav,chi,GentTa00,rec_td,0,,,,,
player,201710150rav,chi,GentTa00,rec_long,0,,,,,
player,201710150rav,chi,GentTa00,fumbles,0,,,,,
player,201710150rav,chi,GentTa00,fumbles_lost,0,,,,,
player,201710150rav,rav,FlacJo00,pass_cmp,24,,,,,
player,201710150rav,rav,FlacJo00,pass_att,41,,,,,
player,201710150rav,rav,FlacJo00,pass_yds,180,,,,,
player,201710150rav,rav,FlacJo00,pass_td,0,,,,,
player,201710150rav,rav,FlacJo00,pass_int,2,,,,,
player,201710150rav,rav,FlacJo00,pass_sacked,3,,,,,
player,201710150rav,rav,FlacJo00,pass_sacked_yds,14,,,,,
player,201710150rav,rav,FlacJo00,pass_long,17,,,,,
player,201710150rav,rav,FlacJo00,pass_rating,48.8,,,,,
player,201710150rav,rav,FlacJo00,rush_att,1,,,,,
player,201710150rav,rav,FlacJo00,rush_yds,2,,,,,
player,201710150rav,rav,FlacJo00,rush_td,0,,,,,
player,201710150rav,rav,FlacJo00,rush_long,2,,,,,
player,201710150rav,rav,FlacJo00,targets,0,,,,,
player,201710150rav,rav,FlacJo00,rec,0,,,,,
player,201710150rav,rav,FlacJo00,rec_yds,0,,,,,
player,201710150rav,rav,FlacJo00,rec_td,0,,,,,
player,201710150rav,rav,FlacJo00,rec_long,0,,,,,
player,201710150rav,rav,FlacJo00,fumbles,0,,,,,
player,201710150rav,rav,FlacJo00,fumbles_lost,0,,,,,
player,201710150rav,rav,CollAl00,pass_cmp,0,,,,,
player,201710150rav,rav,CollAl00,pass_att,0,,,,,
player,201710150rav,rav,CollAl00,pass_yds,0,,,,,
player,201710150rav,rav,CollAl00,pass_td,0,,,,,
player,201710150rav,rav,CollAl00,pass_int,0,,,,,
player,201710150rav,rav,CollAl00,pass_sacked,0,,,,,
player,201710150rav,rav,CollAl00,pass_sacked_yds,0,,,,,
player,201710150rav,rav,CollAl00,pass_long,0,,,,,
player,201710150rav,rav,CollAl00,pass_rating,,,,,,
player,201710150rav,rav,CollAl00,rush_att,15,,,,,
player,201710150rav,rav,CollAl00,rush_yds,74,,,,,
player,201710150rav,rav,CollAl00,rush_td,0,,,,,
player,201710150rav,rav,CollAl00,rush_long,30,,,,,
player,201710150rav,rav,CollAl00,targets,0,,,,,
player,201710150rav,rav,CollAl00,rec,0,,,,,
player,201710150rav,rav,CollAl00,rec_yds,0,,,,,
player,201710150rav,rav,CollAl00,rec_td,0,,,,,
player,201710150rav,rav,CollAl00,rec_long,0,,,,,
player,201710150rav,rav,CollAl00,fumbles,0,,,,,
player,201710150rav,rav,CollAl00,fumbles_lost,0,,,,,
player,201710150rav,rav,AlleJa01,pass_cmp,0,,,,,
player,201710150rav,rav,AlleJa01,pass_att,0,,,,,
player,201710150rav,rav,AlleJa01,pass_yds,0,,,,,
player,201710150rav,rav,AlleJa01,pass_td,0,,,,,
player,201710150rav,rav,AlleJa01,pass_int,0,,,,,
player,201710150rav,rav,AlleJa01,pass_sacked,0,,,,,
player,201710150rav,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201710150rav,rav,AlleJa01,pass_long,0,,,,,
player,201710150rav,rav,AlleJa01,pass_rating,,,,,,
player,201710150rav,rav,AlleJa01,rush_att,10,,,,,
player,201710150rav,rav,AlleJa01,rush_yds,49,,,,,
player,201710150rav,rav,AlleJa01,rush_td,0,,,,,
player,201710150rav,rav,AlleJa01,rush_long,12,,,,,
player,201710150rav,rav,AlleJa01,targets,4,,,,,
player,201710150rav,rav,AlleJa01,rec,3,,,,,
player,201710150rav,rav,AlleJa01,rec_yds,17,,,,,
player,201710150rav,rav,AlleJa01,rec_td,0,,,,,
player,201710150rav,rav,AlleJa01,rec_long,14,,,,,
player,201710150rav,rav,AlleJa01,fumbles,0,,,,,
player,201710150rav,rav,AlleJa01,fumbles_lost,0,,,,,
player,201710150rav,rav,MoorCh00,pass_cmp,0,,,,,
player,201710150rav,rav,MoorCh00,pass_att,0,,,,,
player,201710150rav,rav,MoorCh00,pass_yds,0,,,,,
player,201710150rav,rav,MoorCh00,pass_td,0,,,,,
player,201710150rav,rav,MoorCh00,pass_int,0,,,,,
player,201710150rav,rav,MoorCh00,pass_sacked,0,,,,,
player,201710150rav,rav,MoorCh00,pass_sacked_yds,0,,,,,
player,201710150rav,rav,MoorCh00,pass_long,0,,,,,
player,201710150rav,rav,MoorCh00,pass_rating,,,,,,
player,201710150rav,rav,MoorCh00,rush_att,0,,,,,
player,201710150rav,rav,MoorCh00,rush_yds,0,,,,,
player,201710150rav,rav,MoorCh00,rush_td,0,,,,,
player,201710150rav,rav,MoorCh00,rush_long,0,,,,,
player,201710150rav,rav,MoorCh00,targets,7,,,,,
player,201710150rav,rav,MoorCh00,rec,3,,,,,
player,201710150rav,rav,MoorCh00,rec_yds,44,,,,,
player,201710150rav,rav,MoorCh00,rec_td,0,,,,,
player,201710150rav,rav,MoorCh00,rec_long,17,,,,,
player,201710150rav,rav,MoorCh00,fumbles,0,,,,,
player,201710150rav,rav,MoorCh00,fumbles_lost,0,,,,,
player,201710150rav,rav,WallMi00,pass_cmp,0,,,,,
player,201710150rav,rav,WallMi00,pass_att,0,,,,,
player,201710150rav,rav,WallMi00,pass_yds,0,,,,,
player,201710150rav,rav,WallMi00,pass_td,0,,,,,
player,201710150rav,rav,WallMi00,pass_int,0,,,,,
player,201710150rav,rav,WallMi00,pass_sacked,0,,,,,
player,201710150rav,rav,WallMi00,pass_sacked_yds,0,,,,,
player,201710150rav,rav,WallMi00,pass_long,0,,,,,
player,201710150rav,rav,WallMi00,pass_rating,,,,,,
player,201710150rav,rav,WallMi00,rush_att,0,,,,,
player,201710150rav,rav,WallMi00,rush_yds,0,,,,,
player,201710150rav,rav,WallMi00,rush_td,0,,,,,
player,201710150rav,rav,WallMi00,rush_long,0,,,,,
player,201710150rav,rav,WallMi00,targets,5,,,,,
player,201710150rav,rav,WallMi00,rec,3,,,,,
player,201710150rav,rav,WallMi00,rec_yds,30,,,,,
player,201710150rav,rav,WallMi00,rec_td,0,,,,,
player,201710150rav,rav,WallMi00,rec_long,16,,,,,
player,201710150rav,rav,WallMi00,fumbles,0,,,,,
player,201710150rav,rav,WallMi00,fumbles_lost,0,,,,,
player,201710150rav,rav,WatsBe00,pass_cmp,0,,,,,
player,201710150rav,rav,WatsBe00,pass_att,0,,,,,
player,201710150rav,rav,WatsBe00,pass_yds,0,,,,,
player,201710150rav,rav,WatsBe00,pass_td,0,,,,,
player,201710150rav,rav,WatsBe00,pass_int,0,,,,,
player,201710150rav,rav,WatsBe00,pass_sacked,0,,,,,
player,201710150rav,rav,WatsBe00,pass_sacked_yds,0,,,,,
player,201710150rav,rav,WatsBe00,pass_long,0,,,,,
player,201710150rav,rav,WatsBe00,pass_rating,,,,,,
player,201710150rav,rav,WatsBe00,rush_att,0,,,,,
player,201710150rav,rav,WatsBe00,rush_yds,0,,,,,
player,201710150rav,rav,WatsBe00,rush_td,0,,,,,
player,201710150rav,rav,WatsBe00,rush_long,0,,,,,
player,201710150rav,rav,WatsBe00,targets,8,,,,,
player,201710150rav,rav,WatsBe00,rec,6,,,,,
player,201710150rav,rav,WatsBe00,rec_yds,28,,,,,
player,201710150rav,rav,WatsBe00,rec_td,0,,,,,
player,201710150rav,rav,WatsBe00,rec_long,13,,,,,
player,201710150rav,rav,WatsBe00,fumbles,0,,,,,
player,201710150rav,rav,WatsBe00,fumbles_lost,0,,,,,
player,201710150rav,rav,CampMi02,pass_cmp,0,,,,,
player,201710150rav,rav,CampMi02,pass_att,0,,,,,
player,201710150rav,rav,CampMi02,pass_yds,0,,,,,
player,201710150rav,rav,CampMi02,pass_td,0,,,,,
player,201710150rav,rav,CampMi02,pass_int,0,,,,,
player,201710150rav,rav,CampMi02,pass_sacked,0,,,,,
player,201710150rav,rav,CampMi02,pass_sacked_yds,0,,,,,
player,201710150rav,rav,CampMi02,pass_long,0,,,,,
player,201710150rav,rav,CampMi02,pass_rating,,,,,,
player,201710150rav,rav,CampMi02,rush_att,0,,,,,
player,201710150rav,rav,CampMi02,rush_yds,0,,,,,
player,201710150rav,rav,CampMi02,rush_td,0,,,,,
player,201710150rav,rav,CampMi02,rush_long,0,,,,,
player,201710150rav,rav,CampMi02,targets,5,,,,,
player,201710150rav,rav,CampMi02,rec,3,,,,,
player,201710150rav,rav,CampMi02,rec_yds,24,,,,,
player,201710150rav,rav,CampMi02,rec_td,0,,,,,
player,201710150rav,rav,CampMi02,rec_long,13,,,,,
player,201710150rav,rav,CampMi02,fumbles,0,,,,,
player,201710150rav,rav,CampMi02,fumbles_lost,0,,,,,
player,201710150rav,rav,BoylNi00,pass_cmp,0,,,,,
player,201710150rav,rav,BoylNi00,pass_att,0,,,,,
player,201710150rav,rav,BoylNi00,pass_yds,0,,,,,
player,201710150rav,rav,BoylNi00,pass_td,0,,,,,
player,201710150rav,rav,BoylNi00,pass_int,0,,,,,
player,201710150rav,rav,BoylNi00,pass_sacked,0,,,,,
player,201710150rav,rav,BoylNi00,pass_sacked_yds,0,,,,,
player,201710150rav,rav,BoylNi00,pass_long,0,,,,,
player,201710150rav,rav,BoylNi00,pass_rating,,,,,,
player,201710150rav,rav,BoylNi00,rush_att,0,,,,,
player,201710150rav,rav,BoylNi00,rush_yds,0,,,,,
player,201710150rav,rav,BoylNi00,rush_td,0,,,,,
player,201710150rav,rav,BoylNi00,rush_long,0,,,,,
player,201710150rav,rav,BoylNi00,targets,3,,,,,
player,201710150rav,rav,BoylNi00,rec,2,,,,,
player,201710150rav,rav,BoylNi00,rec_yds,15,,,,,
player,201710150rav,rav,BoylNi00,rec_td,0,,,,,
player,201710150rav,rav,BoylNi00,rec_long,12,,,,,
player,201710150rav,rav,BoylNi00,fumbles,0,,,,,
player,201710150rav,rav,BoylNi00,fumbles_lost,0,,,,,
player,201710150rav,rav,RainBo00,pass_cmp,0,,,,,
player,201710150rav,rav,RainBo00,pass_att,0,,,,,
player,201710150rav,rav,RainBo00,pass_yds,0,,,,,
player,201710150rav,rav,RainBo00,pass_td,0,,,,,
player,201710150rav,rav,RainBo00,pass_int,0,,,,,
player,201710150rav,rav,RainBo00,pass_sacked,0,,,,,
player,201710150rav,rav,RainBo00,pass_sacked_yds,0,,,,,
player,201710150rav,rav,RainBo00,pass_long,0,,,,,
player,201710150rav,rav,RainBo00,pass_rating,,,,,,
player,201710150rav,rav,RainBo00,rush_att,0,,,,,
player,201710150rav,rav,RainBo00,rush_yds,0,,,,,
player,201710150rav,rav,RainBo00,rush_td,0,,,,,
player,201710150rav,rav,RainBo00,rush_long,0,,,,,
player,201710150rav,rav,RainBo00,targets,2,,,,,
player,201710150rav,rav,RainBo00,rec,2,,,,,
player,201710150rav,rav,RainBo00,rec_yds,11,,,,,
player,201710150rav,rav,RainBo00,rec_td,0,,,,,
player,201710150rav,rav,RainBo00,rec_long,6,,,,,
player,201710150rav,rav,RainBo00,fumbles,0,,,,,
player,201710150rav,rav,RainBo00,fumbles_lost,0,,,,,
player,201710150rav,rav,WillMa04,pass_cmp,0,,,,,
player,201710150rav,rav,WillMa04,pass_att,0,,,,,
player,201710150rav,rav,WillMa04,pass_yds,0,,,,,
player,201710150rav,rav,WillMa04,pass_td,0,,,,,
player,201710150rav,rav,WillMa04,pass_int,0,,,,,
player,201710150rav,rav,WillMa04,pass_sacked,0,,,,,
player,201710150rav,rav,WillMa04,pass_sacked_yds,0,,,,,
player,201710150rav,rav,WillMa04,pass_long,0,,,,,
player,201710150rav,rav,WillMa04,pass_rating,,,,,,
player,201710150rav,rav,WillMa04,rush_att,0,,,,,
player,201710150rav,rav,WillMa04,rush_yds,0,,,,,
player,201710150rav,rav,WillMa04,rush_td,0,,,,,
player,201710150rav,rav,WillMa04,rush_long,0,,,,,
player,201710150rav,rav,WillMa04,targets,1,,,,,
player,201710150rav,rav,WillMa04,rec,1,,,,,
player,201710150rav,rav,WillMa04,rec_yds,6,,,,,
player,201710150rav,rav,WillMa04,rec_td,0,,,,,
player,201710150rav,rav,WillMa04,rec_long,6,,,,,
player,201710150rav,rav,WillMa04,fumbles,1,,,,,
player,201710150rav,rav,WillMa04,fumbles_lost,1,,,,,
player,201710150rav,rav,MattCh00,pass_cmp,0,,,,,
player,201710150rav,rav,MattCh00,pass_att,0,,,,,
player,201710150rav,rav,MattCh00,pass_yds,0,,,,,
player,201710150rav,rav,MattCh00,pass_td,0,,,,,
player,201710150rav,rav,MattCh00,pass_int,0,,,,,
player,201710150rav,rav,MattCh00,pass_sacked,0,,,,,
player,201710150rav,rav,MattCh00,pass_sacked_yds,0,,,,,
player,201710150rav,rav,MattCh00,pass_long,0,,,,,
player,201710150rav,rav,MattCh00,pass_rating,,,,,,
player,201710150rav,rav,MattCh00,rush_att,0,,,,,
player,201710150rav,rav,MattCh00,rush_yds,0,,,,,
player,201710150rav,rav,MattCh00,rush_td,0,,,,,
player,201710150rav,rav,MattCh00,rush_long,0,,,,,
player,201710150rav,rav,MattCh00,targets,3,,,,,
player,201710150rav,rav,MattCh00,rec,1,,,,,
player,201710150rav,rav,MattCh00,rec_yds,5,,,,,
player,201710150rav,rav,MattCh00,rec_td,0,,,,,
player,201710150rav,rav,MattCh00,rec_long,5,,,,,
player,201710150rav,rav,MattCh00,fumbles,0,,,,,
player,201710150rav,rav,MattCh00,fumbles_lost,0,,,,,
player,201710150rav,rav,PerrBr02,pass_cmp,0,,,,,
player,201710150rav,rav,PerrBr02,pass_att,0,,,,,
player,201710150rav,rav,PerrBr02,pass_yds,0,,,,,
player,201710150rav,rav,PerrBr02,pass_td,0,,,,,
player,201710150rav,rav,PerrBr02,pass_int,0,,,,,
player,201710150rav,rav,PerrBr02,pass_sacked,0,,,,,
player,201710150rav,rav,PerrBr02,pass_sacked_yds,0,,,,,
player,201710150rav,rav,PerrBr02,pass_long,0,,,,,
player,201710150rav,rav,PerrBr02,pass_rating,,,,,,
player,201710150rav,rav,PerrBr02,rush_att,0,,,,,
player,201710150rav,rav,PerrBr02,rush_yds,0,,,,,
player,201710150rav,rav,PerrBr02,rush_td,0,,,,,
player,201710150rav,rav,PerrBr02,rush_long,0,,,,,
player,201710150rav,rav,PerrBr02,targets,2,,,,,
player,201710150rav,rav,PerrBr02,rec,0,,,,,
player,201710150rav,rav,PerrBr02,rec_yds,0,,,,,
player,201710150rav,rav,PerrBr02,rec_td,0,,,,,
player,201710150rav,rav,PerrBr02,rec_long,0,,,,,
player,201710150rav,rav,PerrBr02,fumbles,0,,,,,
player,201710150rav,rav,PerrBr02,fumbles_lost,0,,,,,
player,201710150rav,rav,MaylVi00,pass_cmp,0,,,,,
player,201710150rav,rav,MaylVi00,pass_att,0,,,,,
player,201710150rav,rav,MaylVi00,pass_yds,0,,,,,
player,201710150rav,rav,MaylVi00,pass_td,0,,,,,
player,201710150rav,rav,MaylVi00,pass_int,0,,,,,
player,201710150rav,rav,MaylVi00,pass_sacked,0,,,,,
player,201710150rav,rav,MaylVi00,pass_sacked_yds,0,,,,,
player,201710150rav,rav,MaylVi00,pass_long,0,,,,,
player,201710150rav,rav,MaylVi00,pass_rating,,,,,,
player,201710150rav,rav,MaylVi00,rush_att,0,,,,,
player,201710150rav,rav,MaylVi00,rush_yds,0,,,,,
player,201710150rav,rav,MaylVi00,rush_td,0,,,,,
player,201710150rav,rav,MaylVi00,rush_long,0,,,,,
player,201710150rav,rav,MaylVi00,targets,1,,,,,
player,201710150rav,rav,MaylVi00,rec,0,,,,,
player,201710150rav,rav,MaylVi00,rec_yds,0,,,,,
player,201710150rav,rav,MaylVi00,rec_td,0,,,,,
player,201710150rav,rav,MaylVi00,rec_long,0,,,,,
player,201710150rav,rav,MaylVi00,fumbles,0,,,,,
player,201710150rav,rav,MaylVi00,fumbles_lost,0,,,,,
player,201710150rav,chi,AmosAd00,def_int,1,,,,,
player,201710150rav,chi,AmosAd00,def_int_yds,90,,,,,
player,201710150rav,chi,AmosAd00,def_int_td,1,,,,,
player,201710150rav,chi,AmosAd00,def_int_long,90,,,,,
player,201710150rav,chi,AmosAd00,pass_defended,2,,,,,
player,201710150rav,chi,AmosAd00,sacks,0.0,,,,,
player,201710150rav,chi,AmosAd00,tackles_combined,8,,,,,
player,201710150rav,chi,AmosAd00,tackles_solo,6,,,,,
player,201710150rav,chi,AmosAd00,tackles_assists,2,,,,,
player,201710150rav,chi,AmosAd00,tackles_loss,1,,,,,
player,201710150rav,chi,AmosAd00,qb_hits,0,,,,,
player,201710150rav,chi,AmosAd00,fumbles_rec,0,,,,,
player,201710150rav,chi,AmosAd00,fumbles_rec_yds,0,,,,,
player,201710150rav,chi,AmosAd00,fumbles_rec_td,0,,,,,
player,201710150rav,chi,AmosAd00,fumbles_forced,0,,,,,
