game,2017,11,20171119,201711190mia,tam,"Tampa Bay Buccaneers",30,mia,"Miami Dolphins",20
player,201711190mia,mia,CutlJa00,rush_yds,1,,,,,
player,201711190mia,mia,CutlJa00,rush_td,0,,,,,
player,201711190mia,mia,CutlJa00,rush_long,1,,,,,
player,201711190mia,mia,CutlJa00,targets,0,,,,,
player,201711190mia,mia,CutlJa00,rec,0,,,,,
player,201711190mia,mia,CutlJa00,rec_yds,0,,,,,
player,201711190mia,mia,CutlJa00,rec_td,0,,,,,
player,201711190mia,mia,CutlJa00,rec_long,0,,,,,
player,201711190mia,mia,CutlJa00,fumbles,0,,,,,
player,201711190mia,mia,CutlJa00,fumbles_lost,0,,,,,
player,201711190mia,mia,WillDa05,pass_cmp,0,,,,,
player,201711190mia,mia,WillDa05,pass_att,0,,,,,
player,201711190mia,mia,WillDa05,pass_yds,0,,,,,
player,201711190mia,mia,WillDa05,pass_td,0,,,,,
player,201711190mia,mia,WillDa05,pass_int,0,,,,,
player,201711190mia,mia,WillDa05,pass_sacked,0,,,,,
player,201711190mia,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201711190mia,mia,WillDa05,pass_long,0,,,,,
player,201711190mia,mia,WillDa05,pass_rating,,,,,,
player,201711190mia,mia,WillDa05,rush_att,10,,,,,
player,201711190mia,mia,WillDa05,rush_yds,78,,,,,
player,201711190mia,mia,WillDa05,rush_td,0,,,,,
player,201711190mia,mia,WillDa05,rush_long,69,,,,,
player,201711190mia,mia,WillDa05,targets,1,,,,,
player,201711190mia,mia,WillDa05,rec,1,,,,,
player,201711190mia,mia,WillDa05,rec_yds,24,,,,,
player,201711190mia,mia,WillDa05,rec_td,0,,,,,
player,201711190mia,mia,WillDa05,rec_long,24,,,,,
player,201711190mia,mia,WillDa05,fumbles,0,,,,,
player,201711190mia,mia,WillDa05,fumbles_lost,0,,,,,
player,201711190mia,mia,DrakKe00,pass_cmp,0,,,,,
player,201711190mia,mia,DrakKe00,pass_att,0,,,,,
player,201711190mia,mia,DrakKe00,pass_yds,0,,,,,
player,201711190mia,mia,DrakKe00,pass_td,0,,,,,
player,201711190mia,mia,DrakKe00,pass_int,0,,,,,
player,201711190mia,mia,DrakKe00,pass_sacked,0,,,,,
player,201711190mia,mia,DrakKe00,pass_sacked_yds,0,,,,,
player,201711190mia,mia,DrakKe00,pass_long,0,,,,,
player,201711190mia,mia,DrakKe00,pass_rating,,,,,,
player,201711190mia,mia,DrakKe00,rush_att,7,,,,,
player,201711190mia,mia,DrakKe00,rush_yds,4,,,,,
player,201711190mia,mia,DrakKe00,rush_td,0,,,,,
player,201711190mia,mia,DrakKe00,rush_long,6,,,,,
player,201711190mia,mia,DrakKe00,targets,2,,,,,
player,201711190mia,mia,DrakKe00,rec,1,,,,,
player,201711190mia,mia,DrakKe00,rec_yds,10,,,,,
player,201711190mia,mia,DrakKe00,rec_td,0,,,,,
player,201711190mia,mia,DrakKe00,rec_long,10,,,,,
player,201711190mia,mia,DrakKe00,fumbles,0,,,,,
player,201711190mia,mia,DrakKe00,fumbles_lost,0,,,,,
player,201711190mia,mia,StilKe00,pass_cmp,0,,,,,
player,201711190mia,mia,StilKe00,pass_att,0,,,,,
player,201711190mia,mia,StilKe00,pass_yds,0,,,,,
player,201711190mia,mia,StilKe00,pass_td,0,,,,,
player,201711190mia,mia,StilKe00,pass_int,0,,,,,
player,201711190mia,mia,StilKe00,pass_sacked,0,,,,,
player,201711190mia,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201711190mia,mia,StilKe00,pass_long,0,,,,,
player,201711190mia,mia,StilKe00,pass_rating,,,,,,
player,201711190mia,mia,StilKe00,rush_att,0,,,,,
player,201711190mia,mia,StilKe00,rush_yds,0,,,,,
player,201711190mia,mia,StilKe00,rush_td,0,,,,,
player,201711190mia,mia,StilKe00,rush_long,0,,,,,
player,201711190mia,mia,StilKe00,targets,8,,,,,
player,201711190mia,mia,StilKe00,rec,7,,,,,
player,201711190mia,mia,StilKe00,rec_yds,180,,,,,
player,201711190mia,mia,StilKe00,rec_td,1,,,,,
player,201711190mia,mia,StilKe00,rec_long,61,,,,,
player,201711190mia,mia,StilKe00,fumbles,1,,,,,
player,201711190mia,mia,StilKe00,fumbles_lost,0,,,,,
player,201711190mia,mia,LandJa00,pass_cmp,0,,,,,
player,201711190mia,mia,LandJa00,pass_att,0,,,,,
player,201711190mia,mia,LandJa00,pass_yds,0,,,,,
player,201711190mia,mia,LandJa00,pass_td,0,,,,,
player,201711190mia,mia,LandJa00,pass_int,0,,,,,
player,201711190mia,mia,LandJa00,pass_sacked,0,,,,,
player,201711190mia,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201711190mia,mia,LandJa00,pass_long,0,,,,,
player,201711190mia,mia,LandJa00,pass_rating,,,,,,
player,201711190mia,mia,LandJa00,rush_att,0,,,,,
player,201711190mia,mia,LandJa00,rush_yds,0,,,,,
player,201711190mia,mia,LandJa00,rush_td,0,,,,,
player,201711190mia,mia,LandJa00,rush_long,0,,,,,
player,201711190mia,mia,LandJa00,targets,11,,,,,
player,201711190mia,mia,LandJa00,rec,6,,,,,
player,201711190mia,mia,LandJa00,rec_yds,95,,,,,
player,201711190mia,mia,LandJa00,rec_td,1,,,,,
player,201711190mia,mia,LandJa00,rec_long,49,,,,,
player,201711190mia,mia,LandJa00,fumbles,2,,,,,
player,201711190mia,mia,LandJa00,fumbles_lost,1,,,,,
player,201711190mia,mia,ThomJu00,pass_cmp,0,,,,,
player,201711190mia,mia,ThomJu00,pass_att,0,,,,,
player,201711190mia,mia,ThomJu00,pass_yds,0,,,,,
player,201711190mia,mia,ThomJu00,pass_td,0,,,,,
player,201711190mia,mia,ThomJu00,pass_int,0,,,,,
player,201711190mia,mia,ThomJu00,pass_sacked,0,,,,,
player,201711190mia,mia,ThomJu00,pass_sacked_yds,0,,,,,
player,201711190mia,mia,ThomJu00,pass_long,0,,,,,
player,201711190mia,mia,ThomJu00,pass_rating,,,,,,
player,201711190mia,mia,ThomJu00,rush_att,0,,,,,
player,201711190mia,mia,ThomJu00,rush_yds,0,,,,,
player,201711190mia,mia,ThomJu00,rush_td,0,,,,,
player,201711190mia,mia,ThomJu00,rush_long,0,,,,,
player,201711190mia,mia,ThomJu00,targets,4,,,,,
player,201711190mia,mia,ThomJu00,rec,4,,,,,
player,201711190mia,mia,ThomJu00,rec_yds,30,,,,,
player,201711190mia,mia,ThomJu00,rec_td,0,,,,,
player,201711190mia,mia,ThomJu00,rec_long,11,,,,,
player,201711190mia,mia,ThomJu00,fumbles,0,,,,,
player,201711190mia,mia,ThomJu00,fumbles_lost,0,,,,,
player,201711190mia,mia,ParkDe01,pass_cmp,0,,,,,
player,201711190mia,mia,ParkDe01,pass_att,0,,,,,
player,201711190mia,mia,ParkDe01,pass_yds,0,,,,,
player,201711190mia,mia,ParkDe01,pass_td,0,,,,,
player,201711190mia,mia,ParkDe01,pass_int,0,,,,,
player,201711190mia,mia,ParkDe01,pass_sacked,0,,,,,
player,201711190mia,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201711190mia,mia,ParkDe01,pass_long,0,,,,,
player,201711190mia,mia,ParkDe01,pass_rating,,,,,,
player,201711190mia,mia,ParkDe01,rush_att,0,,,,,
player,201711190mia,mia,ParkDe01,rush_yds,0,,,,,
player,201711190mia,mia,ParkDe01,rush_td,0,,,,,
player,201711190mia,mia,ParkDe01,rush_long,0,,,,,
player,201711190mia,mia,ParkDe01,targets,9,,,,,
player,201711190mia,mia,ParkDe01,rec,4,,,,,
player,201711190mia,mia,ParkDe01,rec_yds,26,,,,,
player,201711190mia,mia,ParkDe01,rec_td,0,,,,,
player,201711190mia,mia,ParkDe01,rec_long,17,,,,,
player,201711190mia,mia,ParkDe01,fumbles,0,,,,,
player,201711190mia,mia,ParkDe01,fumbles_lost,0,,,,,
player,201711190mia,mia,GrayMa00,pass_cmp,0,,,,,
player,201711190mia,mia,GrayMa00,pass_att,0,,,,,
player,201711190mia,mia,GrayMa00,pass_yds,0,,,,,
player,201711190mia,mia,GrayMa00,pass_td,0,,,,,
player,201711190mia,mia,GrayMa00,pass_int,0,,,,,
player,201711190mia,mia,GrayMa00,pass_sacked,0,,,,,
player,201711190mia,mia,GrayMa00,pass_sacked_yds,0,,,,,
player,201711190mia,mia,GrayMa00,pass_long,0,,,,,
player,201711190mia,mia,GrayMa00,pass_rating,,,,,,
player,201711190mia,mia,GrayMa00,rush_att,0,,,,,
player,201711190mia,mia,GrayMa00,rush_yds,0,,,,,
player,201711190mia,mia,GrayMa00,rush_td,0,,,,,
player,201711190mia,mia,GrayMa00,rush_long,0,,,,,
player,201711190mia,mia,GrayMa00,targets,1,,,,,
player,201711190mia,mia,GrayMa00,rec,0,,,,,
player,201711190mia,mia,GrayMa00,rec_yds,0,,,,,
player,201711190mia,mia,GrayMa00,rec_td,0,,,,,
player,201711190mia,mia,GrayMa00,rec_long,0,,,,,
player,201711190mia,mia,GrayMa00,fumbles,0,,,,,
player,201711190mia,mia,GrayMa00,fumbles_lost,0,,,,,
player,201711190mia,tam,AlexKw00,def_int,1,,,,,
player,201711190mia,tam,AlexKw00,def_int_yds,20,,,,,
player,201711190mia,tam,AlexKw00,def_int_td,0,,,,,
player,201711190mia,tam,AlexKw00,def_int_long,20,,,,,
player,201711190mia,tam,AlexKw00,pass_defended,1,,,,,
player,201711190mia,tam,AlexKw00,sacks,0.0,,,,,
player,201711190mia,tam,AlexKw00,tackles_combined,8,,,,,
player,201711190mia,tam,AlexKw00,tackles_solo,6,,,,,
player,201711190mia,tam,AlexKw00,tackles_assists,2,,,,,
player,201711190mia,tam,AlexKw00,tackles_loss,1,,,,,
player,201711190mia,tam,AlexKw00,qb_hits,0,,,,,
player,201711190mia,tam,AlexKw00,fumbles_rec,0,,,,,
player,201711190mia,tam,AlexKw00,fumbles_rec_yds,0,,,,,
player,201711190mia,tam,AlexKw00,fumbles_rec_td,0,,,,,
player,201711190mia,tam,AlexKw00,fumbles_forced,0,,,,,
player,201711190mia,tam,EvanJu00,def_int,1,,,,,
player,201711190mia,tam,EvanJu00,def_int_yds,11,,,,,
player,201711190mia,tam,EvanJu00,def_int_td,0,,,,,
player,201711190mia,tam,EvanJu00,def_int_long,11,,,,,
player,201711190mia,tam,EvanJu00,pass_defended,1,,,,,
player,201711190mia,tam,EvanJu00,sacks,0.0,,,,,
player,201711190mia,tam,EvanJu00,tackles_combined,4,,,,,
player,201711190mia,tam,EvanJu00,tackles_solo,4,,,,,
player,201711190mia,tam,EvanJu00,tackles_assists,0,,,,,
player,201711190mia,tam,EvanJu00,tackles_loss,0,,,,,
player,201711190mia,tam,EvanJu00,qb_hits,0,,,,,
player,201711190mia,tam,EvanJu00,fumbles_rec,0,,,,,
player,201711190mia,tam,EvanJu00,fumbles_rec_yds,0,,,,,
player,201711190mia,tam,EvanJu00,fumbles_rec_td,0,,,,,
player,201711190mia,tam,EvanJu00,fumbles_forced,0,,,,,
player,201711190mia,tam,McClRo98,def_int,1,,,,,
player,201711190mia,tam,McClRo98,def_int_yds,6,,,,,
player,201711190mia,tam,McClRo98,def_int_td,0,,,,,
