game,2017,9,20171105,201711050dal,kan,"Kansas City Chiefs",17,dal,"Dallas Cowboys",28
player,201711050dal,dal,HannJa00,pass_long,0,,,,,
player,201711050dal,dal,HannJa00,pass_rating,,,,,,
player,201711050dal,dal,HannJa00,rush_att,0,,,,,
player,201711050dal,dal,HannJa00,rush_yds,0,,,,,
player,201711050dal,dal,HannJa00,rush_td,0,,,,,
player,201711050dal,dal,HannJa00,rush_long,0,,,,,
player,201711050dal,dal,HannJa00,targets,1,,,,,
player,201711050dal,dal,HannJa00,rec,0,,,,,
player,201711050dal,dal,HannJa00,rec_yds,0,,,,,
player,201711050dal,dal,HannJa00,rec_td,0,,,,,
player,201711050dal,dal,HannJa00,rec_long,0,,,,,
player,201711050dal,dal,HannJa00,fumbles,0,,,,,
player,201711050dal,dal,HannJa00,fumbles_lost,0,,,,,
player,201711050dal,kan,ZombFr00,def_int,0,,,,,
player,201711050dal,kan,ZombFr00,def_int_yds,0,,,,,
player,201711050dal,kan,ZombFr00,def_int_td,0,,,,,
player,201711050dal,kan,ZombFr00,def_int_long,0,,,,,
player,201711050dal,kan,ZombFr00,pass_defended,0,,,,,
player,201711050dal,kan,ZombFr00,sacks,1.0,,,,,
player,201711050dal,kan,ZombFr00,tackles_combined,5,,,,,
player,201711050dal,kan,ZombFr00,tackles_solo,2,,,,,
player,201711050dal,kan,ZombFr00,tackles_assists,3,,,,,
player,201711050dal,kan,ZombFr00,tackles_loss,1,,,,,
player,201711050dal,kan,ZombFr00,qb_hits,2,,,,,
player,201711050dal,kan,ZombFr00,fumbles_rec,0,,,,,
player,201711050dal,kan,ZombFr00,fumbles_rec_yds,0,,,,,
player,201711050dal,kan,ZombFr00,fumbles_rec_td,0,,,,,
player,201711050dal,kan,ZombFr00,fumbles_forced,0,,,,,
player,201711050dal,kan,PierKe00,def_int,0,,,,,
player,201711050dal,kan,PierKe00,def_int_yds,0,,,,,
player,201711050dal,kan,PierKe00,def_int_td,0,,,,,
player,201711050dal,kan,PierKe00,def_int_long,0,,,,,
player,201711050dal,kan,PierKe00,pass_defended,0,,,,,
player,201711050dal,kan,PierKe00,sacks,0.0,,,,,
player,201711050dal,kan,PierKe00,tackles_combined,8,,,,,
player,201711050dal,kan,PierKe00,tackles_solo,7,,,,,
player,201711050dal,kan,PierKe00,tackles_assists,1,,,,,
player,201711050dal,kan,PierKe00,tackles_loss,1,,,,,
player,201711050dal,kan,PierKe00,qb_hits,0,,,,,
player,201711050dal,kan,PierKe00,fumbles_rec,0,,,,,
player,201711050dal,kan,PierKe00,fumbles_rec_yds,0,,,,,
player,201711050dal,kan,PierKe00,fumbles_rec_td,0,,,,,
player,201711050dal,kan,PierKe00,fumbles_forced,0,,,,,
player,201711050dal,kan,SoreDa01,def_int,0,,,,,
player,201711050dal,kan,SoreDa01,def_int_yds,0,,,,,
player,201711050dal,kan,SoreDa01,def_int_td,0,,,,,
player,201711050dal,kan,SoreDa01,def_int_long,0,,,,,
player,201711050dal,kan,SoreDa01,pass_defended,0,,,,,
player,201711050dal,kan,SoreDa01,sacks,0.0,,,,,
player,201711050dal,kan,SoreDa01,tackles_combined,6,,,,,
player,201711050dal,kan,SoreDa01,tackles_solo,4,,,,,
player,201711050dal,kan,SoreDa01,tackles_assists,2,,,,,
player,201711050dal,kan,SoreDa01,tackles_loss,0,,,,,
player,201711050dal,kan,SoreDa01,qb_hits,0,,,,,
player,201711050dal,kan,SoreDa01,fumbles_rec,0,,,,,
player,201711050dal,kan,SoreDa01,fumbles_rec_yds,0,,,,,
player,201711050dal,kan,SoreDa01,fumbles_rec_td,0,,,,,
player,201711050dal,kan,SoreDa01,fumbles_forced,0,,,,,
player,201711050dal,kan,AckeKe00,def_int,0,,,,,
player,201711050dal,kan,AckeKe00,def_int_yds,0,,,,,
player,201711050dal,kan,AckeKe00,def_int_td,0,,,,,
player,201711050dal,kan,AckeKe00,def_int_long,0,,,,,
player,201711050dal,kan,AckeKe00,pass_defended,0,,,,,
player,201711050dal,kan,AckeKe00,sacks,0.0,,,,,
player,201711050dal,kan,AckeKe00,tackles_combined,5,,,,,
player,201711050dal,kan,AckeKe00,tackles_solo,5,,,,,
