game,2017,10,20171112,201711120ram,htx,"Houston Texans",7,ram,"Los Angeles Rams",33
player,201711120ram,htx,ForeDO00,pass_yds,0,,,,,
player,201711120ram,htx,ForeDO00,pass_td,0,,,,,
player,201711120ram,htx,ForeDO00,pass_int,0,,,,,
player,201711120ram,htx,ForeDO00,pass_sacked,0,,,,,
player,201711120ram,htx,ForeDO00,pass_sacked_yds,0,,,,,
player,201711120ram,htx,ForeDO00,pass_long,0,,,,,
player,201711120ram,htx,ForeDO00,pass_rating,,,,,,
player,201711120ram,htx,ForeDO00,rush_att,7,,,,,
player,201711120ram,htx,ForeDO00,rush_yds,18,,,,,
player,201711120ram,htx,ForeDO00,rush_td,0,,,,,
player,201711120ram,htx,ForeDO00,rush_long,6,,,,,
player,201711120ram,htx,ForeDO00,targets,0,,,,,
player,201711120ram,htx,ForeDO00,rec,0,,,,,
player,201711120ram,htx,ForeDO00,rec_yds,0,,,,,
player,201711120ram,htx,ForeDO00,rec_td,0,,,,,
player,201711120ram,htx,ForeDO00,rec_long,0,,,,,
player,201711120ram,htx,ForeDO00,fumbles,0,,,,,
player,201711120ram,htx,ForeDO00,fumbles_lost,0,,,,,
player,201711120ram,htx,BlueAl00,pass_cmp,0,,,,,
player,201711120ram,htx,BlueAl00,pass_att,0,,,,,
player,201711120ram,htx,BlueAl00,pass_yds,0,,,,,
player,201711120ram,htx,BlueAl00,pass_td,0,,,,,
player,201711120ram,htx,BlueAl00,pass_int,0,,,,,
player,201711120ram,htx,BlueAl00,pass_sacked,0,,,,,
player,201711120ram,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201711120ram,htx,BlueAl00,pass_long,0,,,,,
player,201711120ram,htx,BlueAl00,pass_rating,,,,,,
player,201711120ram,htx,BlueAl00,rush_att,4,,,,,
player,201711120ram,htx,BlueAl00,rush_yds,10,,,,,
player,201711120ram,htx,BlueAl00,rush_td,0,,,,,
player,201711120ram,htx,BlueAl00,rush_long,7,,,,,
player,201711120ram,htx,BlueAl00,targets,0,,,,,
player,201711120ram,htx,BlueAl00,rec,0,,,,,
player,201711120ram,htx,BlueAl00,rec_yds,0,,,,,
player,201711120ram,htx,BlueAl00,rec_td,0,,,,,
player,201711120ram,htx,BlueAl00,rec_long,0,,,,,
player,201711120ram,htx,BlueAl00,fumbles,0,,,,,
player,201711120ram,htx,BlueAl00,fumbles_lost,0,,,,,
player,201711120ram,htx,MillBr03,pass_cmp,0,,,,,
player,201711120ram,htx,MillBr03,pass_att,0,,,,,
player,201711120ram,htx,MillBr03,pass_yds,0,,,,,
player,201711120ram,htx,MillBr03,pass_td,0,,,,,
player,201711120ram,htx,MillBr03,pass_int,0,,,,,
player,201711120ram,htx,MillBr03,pass_sacked,0,,,,,
player,201711120ram,htx,MillBr03,pass_sacked_yds,0,,,,,
player,201711120ram,htx,MillBr03,pass_long,0,,,,,
player,201711120ram,htx,MillBr03,pass_rating,,,,,,
player,201711120ram,htx,MillBr03,rush_att,1,,,,,
player,201711120ram,htx,MillBr03,rush_yds,1,,,,,
player,201711120ram,htx,MillBr03,rush_td,0,,,,,
player,201711120ram,htx,MillBr03,rush_long,1,,,,,
player,201711120ram,htx,MillBr03,targets,0,,,,,
player,201711120ram,htx,MillBr03,rec,0,,,,,
player,201711120ram,htx,MillBr03,rec_yds,0,,,,,
player,201711120ram,htx,MillBr03,rec_td,0,,,,,
player,201711120ram,htx,MillBr03,rec_long,0,,,,,
player,201711120ram,htx,MillBr03,fumbles,0,,,,,
player,201711120ram,htx,MillBr03,fumbles_lost,0,,,,,
player,201711120ram,htx,HopkDe00,pass_cmp,0,,,,,
player,201711120ram,htx,HopkDe00,pass_att,0,,,,,
player,201711120ram,htx,HopkDe00,pass_yds,0,,,,,
player,201711120ram,htx,HopkDe00,pass_td,0,,,,,
player,201711120ram,htx,HopkDe00,pass_int,0,,,,,
player,201711120ram,htx,HopkDe00,pass_sacked,0,,,,,
player,201711120ram,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201711120ram,htx,HopkDe00,pass_long,0,,,,,
player,201711120ram,htx,HopkDe00,pass_rating,,,,,,
player,201711120ram,htx,HopkDe00,rush_att,0,,,,,
player,201711120ram,htx,HopkDe00,rush_yds,0,,,,,
player,201711120ram,htx,HopkDe00,rush_td,0,,,,,
player,201711120ram,htx,HopkDe00,rush_long,0,,,,,
player,201711120ram,htx,HopkDe00,targets,14,,,,,
player,201711120ram,htx,HopkDe00,rec,7,,,,,
player,201711120ram,htx,HopkDe00,rec_yds,111,,,,,
player,201711120ram,htx,HopkDe00,rec_td,0,,,,,
player,201711120ram,htx,HopkDe00,rec_long,36,,,,,
player,201711120ram,htx,HopkDe00,fumbles,0,,,,,
player,201711120ram,htx,HopkDe00,fumbles_lost,0,,,,,
player,201711120ram,htx,ElliBr00,pass_cmp,0,,,,,
player,201711120ram,htx,ElliBr00,pass_att,0,,,,,
player,201711120ram,htx,ElliBr00,pass_yds,0,,,,,
player,201711120ram,htx,ElliBr00,pass_td,0,,,,,
player,201711120ram,htx,ElliBr00,pass_int,0,,,,,
player,201711120ram,htx,ElliBr00,pass_sacked,0,,,,,
player,201711120ram,htx,ElliBr00,pass_sacked_yds,0,,,,,
player,201711120ram,htx,ElliBr00,pass_long,0,,,,,
player,201711120ram,htx,ElliBr00,pass_rating,,,,,,
player,201711120ram,htx,ElliBr00,rush_att,0,,,,,
player,201711120ram,htx,ElliBr00,rush_yds,0,,,,,
player,201711120ram,htx,ElliBr00,rush_td,0,,,,,
player,201711120ram,htx,ElliBr00,rush_long,0,,,,,
player,201711120ram,htx,ElliBr00,targets,9,,,,,
player,201711120ram,htx,ElliBr00,rec,4,,,,,
player,201711120ram,htx,ElliBr00,rec_yds,41,,,,,
player,201711120ram,htx,ElliBr00,rec_td,1,,,,,
player,201711120ram,htx,ElliBr00,rec_long,26,,,,,
player,201711120ram,htx,ElliBr00,fumbles,0,,,,,
player,201711120ram,htx,ElliBr00,fumbles_lost,0,,,,,
player,201711120ram,htx,AndeSt01,pass_cmp,0,,,,,
player,201711120ram,htx,AndeSt01,pass_att,0,,,,,
player,201711120ram,htx,AndeSt01,pass_yds,0,,,,,
player,201711120ram,htx,AndeSt01,pass_td,0,,,,,
player,201711120ram,htx,AndeSt01,pass_int,0,,,,,
player,201711120ram,htx,AndeSt01,pass_sacked,0,,,,,
player,201711120ram,htx,AndeSt01,pass_sacked_yds,0,,,,,
player,201711120ram,htx,AndeSt01,pass_long,0,,,,,
player,201711120ram,htx,AndeSt01,pass_rating,,,,,,
player,201711120ram,htx,AndeSt01,rush_att,0,,,,,
player,201711120ram,htx,AndeSt01,rush_yds,0,,,,,
player,201711120ram,htx,AndeSt01,rush_td,0,,,,,
player,201711120ram,htx,AndeSt01,rush_long,0,,,,,
player,201711120ram,htx,AndeSt01,targets,3,,,,,
player,201711120ram,htx,AndeSt01,rec,2,,,,,
player,201711120ram,htx,AndeSt01,rec_yds,30,,,,,
player,201711120ram,htx,AndeSt01,rec_td,0,,,,,
player,201711120ram,htx,AndeSt01,rec_long,17,,,,,
player,201711120ram,htx,AndeSt01,fumbles,0,,,,,
player,201711120ram,htx,AndeSt01,fumbles_lost,0,,,,,
player,201711120ram,htx,FullWi01,pass_cmp,0,,,,,
player,201711120ram,htx,FullWi01,pass_att,0,,,,,
player,201711120ram,htx,FullWi01,pass_yds,0,,,,,
player,201711120ram,htx,FullWi01,pass_td,0,,,,,
player,201711120ram,htx,FullWi01,pass_int,0,,,,,
player,201711120ram,htx,FullWi01,pass_sacked,0,,,,,
player,201711120ram,htx,FullWi01,pass_sacked_yds,0,,,,,
player,201711120ram,htx,FullWi01,pass_long,0,,,,,
player,201711120ram,htx,FullWi01,pass_rating,,,,,,
player,201711120ram,htx,FullWi01,rush_att,0,,,,,
player,201711120ram,htx,FullWi01,rush_yds,0,,,,,
player,201711120ram,htx,FullWi01,rush_td,0,,,,,
player,201711120ram,htx,FullWi01,rush_long,0,,,,,
player,201711120ram,htx,FullWi01,targets,3,,,,,
player,201711120ram,htx,FullWi01,rec,2,,,,,
player,201711120ram,htx,FullWi01,rec_yds,15,,,,,
player,201711120ram,htx,FullWi01,rec_td,0,,,,,
player,201711120ram,htx,FullWi01,rec_long,9,,,,,
player,201711120ram,htx,FullWi01,fumbles,0,,,,,
player,201711120ram,htx,FullWi01,fumbles_lost,0,,,,,
player,201711120ram,htx,FiedC.00,pass_cmp,0,,,,,
player,201711120ram,htx,FiedC.00,pass_att,0,,,,,
player,201711120ram,htx,FiedC.00,pass_yds,0,,,,,
player,201711120ram,htx,FiedC.00,pass_td,0,,,,,
player,201711120ram,htx,FiedC.00,pass_int,0,,,,,
player,201711120ram,htx,FiedC.00,pass_sacked,0,,,,,
player,201711120ram,htx,FiedC.00,pass_sacked_yds,0,,,,,
player,201711120ram,htx,FiedC.00,pass_long,0,,,,,
player,201711120ram,htx,FiedC.00,pass_rating,,,,,,
player,201711120ram,htx,FiedC.00,rush_att,0,,,,,
player,201711120ram,htx,FiedC.00,rush_yds,0,,,,,
player,201711120ram,htx,FiedC.00,rush_td,0,,,,,
player,201711120ram,htx,FiedC.00,rush_long,0,,,,,
player,201711120ram,htx,FiedC.00,targets,5,,,,,
player,201711120ram,htx,FiedC.00,rec,2,,,,,
player,201711120ram,htx,FiedC.00,rec_yds,10,,,,,
player,201711120ram,htx,FiedC.00,rec_td,0,,,,,
player,201711120ram,htx,FiedC.00,rec_long,7,,,,,
player,201711120ram,htx,FiedC.00,fumbles,0,,,,,
player,201711120ram,htx,FiedC.00,fumbles_lost,0,,,,,
player,201711120ram,ram,GoffJa00,pass_cmp,25,,,,,
player,201711120ram,ram,GoffJa00,pass_att,37,,,,,
player,201711120ram,ram,GoffJa00,pass_yds,355,,,,,
player,201711120ram,ram,GoffJa00,pass_td,3,,,,,
player,201711120ram,ram,GoffJa00,pass_int,0,,,,,
player,201711120ram,ram,GoffJa00,pass_sacked,3,,,,,
player,201711120ram,ram,GoffJa00,pass_sacked_yds,22,,,,,
player,201711120ram,ram,GoffJa00,pass_long,94,,,,,
player,201711120ram,ram,GoffJa00,pass_rating,125.4,,,,,
player,201711120ram,ram,GoffJa00,rush_att,4,,,,,
player,201711120ram,ram,GoffJa00,rush_yds,3,,,,,
player,201711120ram,ram,GoffJa00,rush_td,0,,,,,
player,201711120ram,ram,GoffJa00,rush_long,6,,,,,
player,201711120ram,ram,GoffJa00,targets,0,,,,,
player,201711120ram,ram,GoffJa00,rec,0,,,,,
player,201711120ram,ram,GoffJa00,rec_yds,0,,,,,
player,201711120ram,ram,GoffJa00,rec_td,0,,,,,
player,201711120ram,ram,GoffJa00,rec_long,0,,,,,
player,201711120ram,ram,GoffJa00,fumbles,0,,,,,
player,201711120ram,ram,GoffJa00,fumbles_lost,0,,,,,
player,201711120ram,ram,HekkJo00,pass_cmp,1,,,,,
player,201711120ram,ram,HekkJo00,pass_att,1,,,,,
player,201711120ram,ram,HekkJo00,pass_yds,6,,,,,
player,201711120ram,ram,HekkJo00,pass_td,0,,,,,
player,201711120ram,ram,HekkJo00,pass_int,0,,,,,
player,201711120ram,ram,HekkJo00,pass_sacked,0,,,,,
player,201711120ram,ram,HekkJo00,pass_sacked_yds,0,,,,,
player,201711120ram,ram,HekkJo00,pass_long,0,,,,,
player,201711120ram,ram,HekkJo00,pass_rating,91.7,,,,,
player,201711120ram,ram,HekkJo00,rush_att,0,,,,,
player,201711120ram,ram,HekkJo00,rush_yds,0,,,,,
player,201711120ram,ram,HekkJo00,rush_td,0,,,,,
player,201711120ram,ram,HekkJo00,rush_long,0,,,,,
player,201711120ram,ram,HekkJo00,targets,0,,,,,
player,201711120ram,ram,HekkJo00,rec,0,,,,,
player,201711120ram,ram,HekkJo00,rec_yds,0,,,,,
player,201711120ram,ram,HekkJo00,rec_td,0,,,,,
player,201711120ram,ram,HekkJo00,rec_long,0,,,,,
player,201711120ram,ram,HekkJo00,fumbles,0,,,,,
player,201711120ram,ram,HekkJo00,fumbles_lost,0,,,,,
player,201711120ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201711120ram,ram,GurlTo01,pass_att,0,,,,,
player,201711120ram,ram,GurlTo01,pass_yds,0,,,,,
player,201711120ram,ram,GurlTo01,pass_td,0,,,,,
player,201711120ram,ram,GurlTo01,pass_int,0,,,,,
player,201711120ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201711120ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201711120ram,ram,GurlTo01,pass_long,0,,,,,
player,201711120ram,ram,GurlTo01,pass_rating,,,,,,
player,201711120ram,ram,GurlTo01,rush_att,11,,,,,
player,201711120ram,ram,GurlTo01,rush_yds,68,,,,,
player,201711120ram,ram,GurlTo01,rush_td,0,,,,,
player,201711120ram,ram,GurlTo01,rush_long,34,,,,,
player,201711120ram,ram,GurlTo01,targets,7,,,,,
player,201711120ram,ram,GurlTo01,rec,6,,,,,
player,201711120ram,ram,GurlTo01,rec_yds,68,,,,,
player,201711120ram,ram,GurlTo01,rec_td,0,,,,,
player,201711120ram,ram,GurlTo01,rec_long,43,,,,,
player,201711120ram,ram,GurlTo01,fumbles,0,,,,,
player,201711120ram,ram,GurlTo01,fumbles_lost,0,,,,,
player,201711120ram,ram,DunbLa00,pass_cmp,0,,,,,
player,201711120ram,ram,DunbLa00,pass_att,0,,,,,
player,201711120ram,ram,DunbLa00,pass_yds,0,,,,,
player,201711120ram,ram,DunbLa00,pass_td,0,,,,,
player,201711120ram,ram,DunbLa00,pass_int,0,,,,,
player,201711120ram,ram,DunbLa00,pass_sacked,0,,,,,
player,201711120ram,ram,DunbLa00,pass_sacked_yds,0,,,,,
player,201711120ram,ram,DunbLa00,pass_long,0,,,,,
player,201711120ram,ram,DunbLa00,pass_rating,,,,,,
player,201711120ram,ram,DunbLa00,rush_att,5,,,,,
player,201711120ram,ram,DunbLa00,rush_yds,31,,,,,
player,201711120ram,ram,DunbLa00,rush_td,0,,,,,
player,201711120ram,ram,DunbLa00,rush_long,12,,,,,
player,201711120ram,ram,DunbLa00,targets,1,,,,,
player,201711120ram,ram,DunbLa00,rec,0,,,,,
player,201711120ram,ram,DunbLa00,rec_yds,0,,,,,
player,201711120ram,ram,DunbLa00,rec_td,0,,,,,
player,201711120ram,ram,DunbLa00,rec_long,0,,,,,
player,201711120ram,ram,DunbLa00,fumbles,0,,,,,
player,201711120ram,ram,DunbLa00,fumbles_lost,0,,,,,
player,201711120ram,ram,AustTa00,pass_cmp,0,,,,,
player,201711120ram,ram,AustTa00,pass_att,0,,,,,
player,201711120ram,ram,AustTa00,pass_yds,0,,,,,
player,201711120ram,ram,AustTa00,pass_td,0,,,,,
player,201711120ram,ram,AustTa00,pass_int,0,,,,,
player,201711120ram,ram,AustTa00,pass_sacked,0,,,,,
player,201711120ram,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201711120ram,ram,AustTa00,pass_long,0,,,,,
player,201711120ram,ram,AustTa00,pass_rating,,,,,,
player,201711120ram,ram,AustTa00,rush_att,5,,,,,
player,201711120ram,ram,AustTa00,rush_yds,2,,,,,
player,201711120ram,ram,AustTa00,rush_td,0,,,,,
player,201711120ram,ram,AustTa00,rush_long,7,,,,,
player,201711120ram,ram,AustTa00,targets,0,,,,,
player,201711120ram,ram,AustTa00,rec,0,,,,,
player,201711120ram,ram,AustTa00,rec_yds,0,,,,,
player,201711120ram,ram,AustTa00,rec_td,0,,,,,
player,201711120ram,ram,AustTa00,rec_long,0,,,,,
player,201711120ram,ram,AustTa00,fumbles,0,,,,,
player,201711120ram,ram,AustTa00,fumbles_lost,0,,,,,
player,201711120ram,ram,WoodRo02,pass_cmp,0,,,,,
player,201711120ram,ram,WoodRo02,pass_att,0,,,,,
player,201711120ram,ram,WoodRo02,pass_yds,0,,,,,
player,201711120ram,ram,WoodRo02,pass_td,0,,,,,
player,201711120ram,ram,WoodRo02,pass_int,0,,,,,
player,201711120ram,ram,WoodRo02,pass_sacked,0,,,,,
player,201711120ram,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201711120ram,ram,WoodRo02,pass_long,0,,,,,
player,201711120ram,ram,WoodRo02,pass_rating,,,,,,
player,201711120ram,ram,WoodRo02,rush_att,0,,,,,
player,201711120ram,ram,WoodRo02,rush_yds,0,,,,,
player,201711120ram,ram,WoodRo02,rush_td,0,,,,,
player,201711120ram,ram,WoodRo02,rush_long,0,,,,,
player,201711120ram,ram,WoodRo02,targets,10,,,,,
player,201711120ram,ram,WoodRo02,rec,8,,,,,
player,201711120ram,ram,WoodRo02,rec_yds,171,,,,,
player,201711120ram,ram,WoodRo02,rec_td,2,,,,,
player,201711120ram,ram,WoodRo02,rec_long,94,,,,,
player,201711120ram,ram,WoodRo02,fumbles,0,,,,,
player,201711120ram,ram,WoodRo02,fumbles_lost,0,,,,,
player,201711120ram,ram,KuppCo00,pass_cmp,0,,,,,
player,201711120ram,ram,KuppCo00,pass_att,0,,,,,
player,201711120ram,ram,KuppCo00,pass_yds,0,,,,,
player,201711120ram,ram,KuppCo00,pass_td,0,,,,,
player,201711120ram,ram,KuppCo00,pass_int,0,,,,,
player,201711120ram,ram,KuppCo00,pass_sacked,0,,,,,
player,201711120ram,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201711120ram,ram,KuppCo00,pass_long,0,,,,,
player,201711120ram,ram,KuppCo00,pass_rating,,,,,,
player,201711120ram,ram,KuppCo00,rush_att,0,,,,,
player,201711120ram,ram,KuppCo00,rush_yds,0,,,,,
player,201711120ram,ram,KuppCo00,rush_td,0,,,,,
player,201711120ram,ram,KuppCo00,rush_long,0,,,,,
player,201711120ram,ram,KuppCo00,targets,7,,,,,
player,201711120ram,ram,KuppCo00,rec,6,,,,,
player,201711120ram,ram,KuppCo00,rec_yds,47,,,,,
player,201711120ram,ram,KuppCo00,rec_td,0,,,,,
player,201711120ram,ram,KuppCo00,rec_long,19,,,,,
player,201711120ram,ram,KuppCo00,fumbles,0,,,,,
player,201711120ram,ram,KuppCo00,fumbles_lost,0,,,,,
player,201711120ram,ram,WatkSa00,pass_cmp,0,,,,,
player,201711120ram,ram,WatkSa00,pass_att,0,,,,,
player,201711120ram,ram,WatkSa00,pass_yds,0,,,,,
player,201711120ram,ram,WatkSa00,pass_td,0,,,,,
player,201711120ram,ram,WatkSa00,pass_int,0,,,,,
player,201711120ram,ram,WatkSa00,pass_sacked,0,,,,,
player,201711120ram,ram,WatkSa00,pass_sacked_yds,0,,,,,
player,201711120ram,ram,WatkSa00,pass_long,0,,,,,
player,201711120ram,ram,WatkSa00,pass_rating,,,,,,
player,201711120ram,ram,WatkSa00,rush_att,0,,,,,
player,201711120ram,ram,WatkSa00,rush_yds,0,,,,,
player,201711120ram,ram,WatkSa00,rush_td,0,,,,,
player,201711120ram,ram,WatkSa00,rush_long,0,,,,,
player,201711120ram,ram,WatkSa00,targets,3,,,,,
player,201711120ram,ram,WatkSa00,rec,2,,,,,
player,201711120ram,ram,WatkSa00,rec_yds,41,,,,,
player,201711120ram,ram,WatkSa00,rec_td,1,,,,,
player,201711120ram,ram,WatkSa00,rec_long,24,,,,,
player,201711120ram,ram,WatkSa00,fumbles,0,,,,,
player,201711120ram,ram,WatkSa00,fumbles_lost,0,,,,,
player,201711120ram,ram,HigbTy00,pass_cmp,0,,,,,
player,201711120ram,ram,HigbTy00,pass_att,0,,,,,
player,201711120ram,ram,HigbTy00,pass_yds,0,,,,,
player,201711120ram,ram,HigbTy00,pass_td,0,,,,,
player,201711120ram,ram,HigbTy00,pass_int,0,,,,,
player,201711120ram,ram,HigbTy00,pass_sacked,0,,,,,
player,201711120ram,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201711120ram,ram,HigbTy00,pass_long,0,,,,,
player,201711120ram,ram,HigbTy00,pass_rating,,,,,,
player,201711120ram,ram,HigbTy00,rush_att,0,,,,,
player,201711120ram,ram,HigbTy00,rush_yds,0,,,,,
player,201711120ram,ram,HigbTy00,rush_td,0,,,,,
player,201711120ram,ram,HigbTy00,rush_long,0,,,,,
player,201711120ram,ram,HigbTy00,targets,4,,,,,
player,201711120ram,ram,HigbTy00,rec,2,,,,,
player,201711120ram,ram,HigbTy00,rec_yds,22,,,,,
player,201711120ram,ram,HigbTy00,rec_td,0,,,,,
player,201711120ram,ram,HigbTy00,rec_long,15,,,,,
player,201711120ram,ram,HigbTy00,fumbles,0,,,,,
player,201711120ram,ram,HigbTy00,fumbles_lost,0,,,,,
player,201711120ram,ram,CoopPh00,pass_cmp,0,,,,,
player,201711120ram,ram,CoopPh00,pass_att,0,,,,,
player,201711120ram,ram,CoopPh00,pass_yds,0,,,,,
player,201711120ram,ram,CoopPh00,pass_td,0,,,,,
player,201711120ram,ram,CoopPh00,pass_int,0,,,,,
player,201711120ram,ram,CoopPh00,pass_sacked,0,,,,,
player,201711120ram,ram,CoopPh00,pass_sacked_yds,0,,,,,
player,201711120ram,ram,CoopPh00,pass_long,0,,,,,
player,201711120ram,ram,CoopPh00,pass_rating,,,,,,
player,201711120ram,ram,CoopPh00,rush_att,0,,,,,
player,201711120ram,ram,CoopPh00,rush_yds,0,,,,,
player,201711120ram,ram,CoopPh00,rush_td,0,,,,,
player,201711120ram,ram,CoopPh00,rush_long,0,,,,,
player,201711120ram,ram,CoopPh00,targets,2,,,,,
player,201711120ram,ram,CoopPh00,rec,2,,,,,
player,201711120ram,ram,CoopPh00,rec_yds,12,,,,,
player,201711120ram,ram,CoopPh00,rec_td,0,,,,,
player,201711120ram,ram,CoopPh00,rec_long,6,,,,,
player,201711120ram,ram,CoopPh00,fumbles,0,,,,,
player,201711120ram,ram,CoopPh00,fumbles_lost,0,,,,,
player,201711120ram,ram,EverGe00,pass_cmp,0,,,,,
player,201711120ram,ram,EverGe00,pass_att,0,,,,,
player,201711120ram,ram,EverGe00,pass_yds,0,,,,,
player,201711120ram,ram,EverGe00,pass_td,0,,,,,
player,201711120ram,ram,EverGe00,pass_int,0,,,,,
player,201711120ram,ram,EverGe00,pass_sacked,0,,,,,
player,201711120ram,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201711120ram,ram,EverGe00,pass_long,0,,,,,
player,201711120ram,ram,EverGe00,pass_rating,,,,,,
player,201711120ram,ram,EverGe00,rush_att,0,,,,,
player,201711120ram,ram,EverGe00,rush_yds,0,,,,,
player,201711120ram,ram,EverGe00,rush_td,0,,,,,
player,201711120ram,ram,EverGe00,rush_long,0,,,,,
player,201711120ram,ram,EverGe00,targets,2,,,,,
player,201711120ram,ram,EverGe00,rec,0,,,,,
player,201711120ram,ram,EverGe00,rec_yds,0,,,,,
player,201711120ram,ram,EverGe00,rec_td,0,,,,,
player,201711120ram,ram,EverGe00,rec_long,0,,,,,
player,201711120ram,ram,EverGe00,fumbles,0,,,,,
player,201711120ram,ram,EverGe00,fumbles_lost,0,,,,,
player,201711120ram,htx,ScarBr00,def_int,0,,,,,
player,201711120ram,htx,ScarBr00,def_int_yds,0,,,,,
player,201711120ram,htx,ScarBr00,def_int_td,0,,,,,
player,201711120ram,htx,ScarBr00,def_int_long,0,,,,,
player,201711120ram,htx,ScarBr00,pass_defended,0,,,,,
player,201711120ram,htx,ScarBr00,sacks,2.0,,,,,
player,201711120ram,htx,ScarBr00,tackles_combined,4,,,,,
player,201711120ram,htx,ScarBr00,tackles_solo,4,,,,,
player,201711120ram,htx,ScarBr00,tackles_assists,0,,,,,
player,201711120ram,htx,ScarBr00,tackles_loss,3,,,,,
player,201711120ram,htx,ScarBr00,qb_hits,2,,,,,
player,201711120ram,htx,ScarBr00,fumbles_rec,0,,,,,
player,201711120ram,htx,ScarBr00,fumbles_rec_yds,0,,,,,
