game,2017,10,20171109,201711090crd,sea,"Seattle Seahawks",22,crd,"Arizona Cardinals",16
player,201711090crd,sea,GrahJi00,pass_td,0,,,,,
player,201711090crd,sea,GrahJi00,pass_int,0,,,,,
player,201711090crd,sea,GrahJi00,pass_sacked,0,,,,,
player,201711090crd,sea,GrahJi00,pass_sacked_yds,0,,,,,
player,201711090crd,sea,GrahJi00,pass_long,0,,,,,
player,201711090crd,sea,GrahJi00,pass_rating,,,,,,
player,201711090crd,sea,GrahJi00,rush_att,0,,,,,
player,201711090crd,sea,GrahJi00,rush_yds,0,,,,,
player,201711090crd,sea,GrahJi00,rush_td,0,,,,,
player,201711090crd,sea,GrahJi00,rush_long,0,,,,,
player,201711090crd,sea,GrahJi00,targets,9,,,,,
player,201711090crd,sea,GrahJi00,rec,6,,,,,
player,201711090crd,sea,GrahJi00,rec_yds,27,,,,,
player,201711090crd,sea,GrahJi00,rec_td,2,,,,,
player,201711090crd,sea,GrahJi00,rec_long,6,,,,,
player,201711090crd,sea,GrahJi00,fumbles,0,,,,,
player,201711090crd,sea,GrahJi00,fumbles_lost,0,,,,,
player,201711090crd,sea,VannNi00,pass_cmp,0,,,,,
player,201711090crd,sea,VannNi00,pass_att,0,,,,,
player,201711090crd,sea,VannNi00,pass_yds,0,,,,,
player,201711090crd,sea,VannNi00,pass_td,0,,,,,
player,201711090crd,sea,VannNi00,pass_int,0,,,,,
player,201711090crd,sea,VannNi00,pass_sacked,0,,,,,
player,201711090crd,sea,VannNi00,pass_sacked_yds,0,,,,,
player,201711090crd,sea,VannNi00,pass_long,0,,,,,
player,201711090crd,sea,VannNi00,pass_rating,,,,,,
player,201711090crd,sea,VannNi00,rush_att,0,,,,,
player,201711090crd,sea,VannNi00,rush_yds,0,,,,,
player,201711090crd,sea,VannNi00,rush_td,0,,,,,
player,201711090crd,sea,VannNi00,rush_long,0,,,,,
player,201711090crd,sea,VannNi00,targets,2,,,,,
player,201711090crd,sea,VannNi00,rec,2,,,,,
