game,2017,7,20171022,201710220ram,crd,"Arizona Cardinals",0,ram,"Los Angeles Rams",33
player,201710220ram,crd,NiklTr00,pass_td,0,,,,,
player,201710220ram,crd,NiklTr00,pass_int,0,,,,,
player,201710220ram,crd,NiklTr00,pass_sacked,0,,,,,
player,201710220ram,crd,NiklTr00,pass_sacked_yds,0,,,,,
player,201710220ram,crd,NiklTr00,pass_long,0,,,,,
player,201710220ram,crd,NiklTr00,pass_rating,,,,,,
player,201710220ram,crd,NiklTr00,rush_att,0,,,,,
player,201710220ram,crd,NiklTr00,rush_yds,0,,,,,
player,201710220ram,crd,NiklTr00,rush_td,0,,,,,
player,201710220ram,crd,NiklTr00,rush_long,0,,,,,
player,201710220ram,crd,NiklTr00,targets,1,,,,,
player,201710220ram,crd,NiklTr00,rec,0,,,,,
player,201710220ram,crd,NiklTr00,rec_yds,0,,,,,
player,201710220ram,crd,NiklTr00,rec_td,0,,,,,
player,201710220ram,crd,NiklTr00,rec_long,0,,,,,
player,201710220ram,crd,NiklTr00,fumbles,0,,,,,
player,201710220ram,crd,NiklTr00,fumbles_lost,0,,,,,
player,201710220ram,ram,GoffJa00,pass_cmp,22,,,,,
player,201710220ram,ram,GoffJa00,pass_att,37,,,,,
player,201710220ram,ram,GoffJa00,pass_yds,235,,,,,
player,201710220ram,ram,GoffJa00,pass_td,1,,,,,
player,201710220ram,ram,GoffJa00,pass_int,1,,,,,
player,201710220ram,ram,GoffJa00,pass_sacked,1,,,,,
player,201710220ram,ram,GoffJa00,pass_sacked_yds,7,,,,,
player,201710220ram,ram,GoffJa00,pass_long,35,,,,,
player,201710220ram,ram,GoffJa00,pass_rating,75.8,,,,,
player,201710220ram,ram,GoffJa00,rush_att,2,,,,,
player,201710220ram,ram,GoffJa00,rush_yds,13,,,,,
player,201710220ram,ram,GoffJa00,rush_td,1,,,,,
player,201710220ram,ram,GoffJa00,rush_long,9,,,,,
player,201710220ram,ram,GoffJa00,targets,0,,,,,
player,201710220ram,ram,GoffJa00,rec,0,,,,,
player,201710220ram,ram,GoffJa00,rec_yds,0,,,,,
player,201710220ram,ram,GoffJa00,rec_td,0,,,,,
player,201710220ram,ram,GoffJa00,rec_long,0,,,,,
player,201710220ram,ram,GoffJa00,fumbles,0,,,,,
player,201710220ram,ram,GoffJa00,fumbles_lost,0,,,,,
player,201710220ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201710220ram,ram,GurlTo01,pass_att,0,,,,,
player,201710220ram,ram,GurlTo01,pass_yds,0,,,,,
player,201710220ram,ram,GurlTo01,pass_td,0,,,,,
player,201710220ram,ram,GurlTo01,pass_int,0,,,,,
player,201710220ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201710220ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201710220ram,ram,GurlTo01,pass_long,0,,,,,
player,201710220ram,ram,GurlTo01,pass_rating,,,,,,
player,201710220ram,ram,GurlTo01,rush_att,22,,,,,
player,201710220ram,ram,GurlTo01,rush_yds,106,,,,,
player,201710220ram,ram,GurlTo01,rush_td,1,,,,,
player,201710220ram,ram,GurlTo01,rush_long,18,,,,,
player,201710220ram,ram,GurlTo01,targets,8,,,,,
player,201710220ram,ram,GurlTo01,rec,4,,,,,
player,201710220ram,ram,GurlTo01,rec_yds,48,,,,,
player,201710220ram,ram,GurlTo01,rec_td,0,,,,,
player,201710220ram,ram,GurlTo01,rec_long,35,,,,,
player,201710220ram,ram,GurlTo01,fumbles,0,,,,,
player,201710220ram,ram,GurlTo01,fumbles_lost,0,,,,,
player,201710220ram,ram,BrowMa03,pass_cmp,0,,,,,
player,201710220ram,ram,BrowMa03,pass_att,0,,,,,
player,201710220ram,ram,BrowMa03,pass_yds,0,,,,,
player,201710220ram,ram,BrowMa03,pass_td,0,,,,,
player,201710220ram,ram,BrowMa03,pass_int,0,,,,,
player,201710220ram,ram,BrowMa03,pass_sacked,0,,,,,
player,201710220ram,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201710220ram,ram,BrowMa03,pass_long,0,,,,,
player,201710220ram,ram,BrowMa03,pass_rating,,,,,,
player,201710220ram,ram,BrowMa03,rush_att,11,,,,,
player,201710220ram,ram,BrowMa03,rush_yds,48,,,,,
player,201710220ram,ram,BrowMa03,rush_td,0,,,,,
player,201710220ram,ram,BrowMa03,rush_long,11,,,,,
player,201710220ram,ram,BrowMa03,targets,1,,,,,
player,201710220ram,ram,BrowMa03,rec,1,,,,,
player,201710220ram,ram,BrowMa03,rec_yds,7,,,,,
player,201710220ram,ram,BrowMa03,rec_td,0,,,,,
player,201710220ram,ram,BrowMa03,rec_long,7,,,,,
player,201710220ram,ram,BrowMa03,fumbles,0,,,,,
player,201710220ram,ram,BrowMa03,fumbles_lost,0,,,,,
player,201710220ram,ram,AustTa00,pass_cmp,0,,,,,
player,201710220ram,ram,AustTa00,pass_att,0,,,,,
player,201710220ram,ram,AustTa00,pass_yds,0,,,,,
player,201710220ram,ram,AustTa00,pass_td,0,,,,,
player,201710220ram,ram,AustTa00,pass_int,0,,,,,
player,201710220ram,ram,AustTa00,pass_sacked,0,,,,,
player,201710220ram,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201710220ram,ram,AustTa00,pass_long,0,,,,,
player,201710220ram,ram,AustTa00,pass_rating,,,,,,
player,201710220ram,ram,AustTa00,rush_att,3,,,,,
player,201710220ram,ram,AustTa00,rush_yds,27,,,,,
player,201710220ram,ram,AustTa00,rush_td,0,,,,,
player,201710220ram,ram,AustTa00,rush_long,17,,,,,
player,201710220ram,ram,AustTa00,targets,2,,,,,
player,201710220ram,ram,AustTa00,rec,2,,,,,
player,201710220ram,ram,AustTa00,rec_yds,15,,,,,
player,201710220ram,ram,AustTa00,rec_td,0,,,,,
player,201710220ram,ram,AustTa00,rec_long,13,,,,,
player,201710220ram,ram,AustTa00,fumbles,0,,,,,
player,201710220ram,ram,AustTa00,fumbles_lost,0,,,,,
player,201710220ram,ram,WoodRo02,pass_cmp,0,,,,,
player,201710220ram,ram,WoodRo02,pass_att,0,,,,,
player,201710220ram,ram,WoodRo02,pass_yds,0,,,,,
player,201710220ram,ram,WoodRo02,pass_td,0,,,,,
player,201710220ram,ram,WoodRo02,pass_int,0,,,,,
player,201710220ram,ram,WoodRo02,pass_sacked,0,,,,,
player,201710220ram,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201710220ram,ram,WoodRo02,pass_long,0,,,,,
player,201710220ram,ram,WoodRo02,pass_rating,,,,,,
player,201710220ram,ram,WoodRo02,rush_att,1,,,,,
player,201710220ram,ram,WoodRo02,rush_yds,4,,,,,
player,201710220ram,ram,WoodRo02,rush_td,0,,,,,
player,201710220ram,ram,WoodRo02,rush_long,4,,,,,
player,201710220ram,ram,WoodRo02,targets,7,,,,,
player,201710220ram,ram,WoodRo02,rec,5,,,,,
player,201710220ram,ram,WoodRo02,rec_yds,59,,,,,
player,201710220ram,ram,WoodRo02,rec_td,0,,,,,
player,201710220ram,ram,WoodRo02,rec_long,17,,,,,
player,201710220ram,ram,WoodRo02,fumbles,0,,,,,
player,201710220ram,ram,WoodRo02,fumbles_lost,0,,,,,
player,201710220ram,ram,KuppCo00,pass_cmp,0,,,,,
player,201710220ram,ram,KuppCo00,pass_att,0,,,,,
player,201710220ram,ram,KuppCo00,pass_yds,0,,,,,
player,201710220ram,ram,KuppCo00,pass_td,0,,,,,
player,201710220ram,ram,KuppCo00,pass_int,0,,,,,
player,201710220ram,ram,KuppCo00,pass_sacked,0,,,,,
