game,2017,13,20171203,201712030gnb,tam,"Tampa Bay Buccaneers",20,gnb,"Green Bay Packers",26
player,201712030gnb,tam,WinsJa00,rec_td,0,,,,,
player,201712030gnb,tam,WinsJa00,rec_long,0,,,,,
player,201712030gnb,tam,WinsJa00,fumbles,2,,,,,
player,201712030gnb,tam,WinsJa00,fumbles_lost,1,,,,,
player,201712030gnb,tam,BarbPe01,pass_cmp,0,,,,,
player,201712030gnb,tam,BarbPe01,pass_att,0,,,,,
player,201712030gnb,tam,BarbPe01,pass_yds,0,,,,,
player,201712030gnb,tam,BarbPe01,pass_td,0,,,,,
player,201712030gnb,tam,BarbPe01,pass_int,0,,,,,
player,201712030gnb,tam,BarbPe01,pass_sacked,0,,,,,
player,201712030gnb,tam,BarbPe01,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,BarbPe01,pass_long,0,,,,,
player,201712030gnb,tam,BarbPe01,pass_rating,,,,,,
player,201712030gnb,tam,BarbPe01,rush_att,23,,,,,
player,201712030gnb,tam,BarbPe01,rush_yds,102,,,,,
player,201712030gnb,tam,BarbPe01,rush_td,0,,,,,
player,201712030gnb,tam,BarbPe01,rush_long,19,,,,,
player,201712030gnb,tam,BarbPe01,targets,4,,,,,
player,201712030gnb,tam,BarbPe01,rec,4,,,,,
player,201712030gnb,tam,BarbPe01,rec_yds,41,,,,,
player,201712030gnb,tam,BarbPe01,rec_td,0,,,,,
player,201712030gnb,tam,BarbPe01,rec_long,34,,,,,
player,201712030gnb,tam,BarbPe01,fumbles,0,,,,,
player,201712030gnb,tam,BarbPe01,fumbles_lost,0,,,,,
player,201712030gnb,tam,RodgJa00,pass_cmp,0,,,,,
player,201712030gnb,tam,RodgJa00,pass_att,0,,,,,
player,201712030gnb,tam,RodgJa00,pass_yds,0,,,,,
player,201712030gnb,tam,RodgJa00,pass_td,0,,,,,
player,201712030gnb,tam,RodgJa00,pass_int,0,,,,,
player,201712030gnb,tam,RodgJa00,pass_sacked,0,,,,,
player,201712030gnb,tam,RodgJa00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,RodgJa00,pass_long,0,,,,,
player,201712030gnb,tam,RodgJa00,pass_rating,,,,,,
player,201712030gnb,tam,RodgJa00,rush_att,3,,,,,
player,201712030gnb,tam,RodgJa00,rush_yds,25,,,,,
player,201712030gnb,tam,RodgJa00,rush_td,0,,,,,
player,201712030gnb,tam,RodgJa00,rush_long,19,,,,,
player,201712030gnb,tam,RodgJa00,targets,0,,,,,
player,201712030gnb,tam,RodgJa00,rec,0,,,,,
player,201712030gnb,tam,RodgJa00,rec_yds,0,,,,,
player,201712030gnb,tam,RodgJa00,rec_td,0,,,,,
player,201712030gnb,tam,RodgJa00,rec_long,0,,,,,
player,201712030gnb,tam,RodgJa00,fumbles,0,,,,,
player,201712030gnb,tam,RodgJa00,fumbles_lost,0,,,,,
player,201712030gnb,tam,SimsCh00,pass_cmp,0,,,,,
player,201712030gnb,tam,SimsCh00,pass_att,0,,,,,
player,201712030gnb,tam,SimsCh00,pass_yds,0,,,,,
player,201712030gnb,tam,SimsCh00,pass_td,0,,,,,
player,201712030gnb,tam,SimsCh00,pass_int,0,,,,,
player,201712030gnb,tam,SimsCh00,pass_sacked,0,,,,,
player,201712030gnb,tam,SimsCh00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,SimsCh00,pass_long,0,,,,,
player,201712030gnb,tam,SimsCh00,pass_rating,,,,,,
player,201712030gnb,tam,SimsCh00,rush_att,3,,,,,
player,201712030gnb,tam,SimsCh00,rush_yds,16,,,,,
player,201712030gnb,tam,SimsCh00,rush_td,0,,,,,
player,201712030gnb,tam,SimsCh00,rush_long,8,,,,,
player,201712030gnb,tam,SimsCh00,targets,2,,,,,
player,201712030gnb,tam,SimsCh00,rec,2,,,,,
player,201712030gnb,tam,SimsCh00,rec_yds,35,,,,,
player,201712030gnb,tam,SimsCh00,rec_td,0,,,,,
player,201712030gnb,tam,SimsCh00,rec_long,22,,,,,
player,201712030gnb,tam,SimsCh00,fumbles,0,,,,,
player,201712030gnb,tam,SimsCh00,fumbles_lost,0,,,,,
player,201712030gnb,tam,WilsJe00,pass_cmp,0,,,,,
player,201712030gnb,tam,WilsJe00,pass_att,0,,,,,
player,201712030gnb,tam,WilsJe00,pass_yds,0,,,,,
player,201712030gnb,tam,WilsJe00,pass_td,0,,,,,
player,201712030gnb,tam,WilsJe00,pass_int,0,,,,,
player,201712030gnb,tam,WilsJe00,pass_sacked,0,,,,,
player,201712030gnb,tam,WilsJe00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,WilsJe00,pass_long,0,,,,,
player,201712030gnb,tam,WilsJe00,pass_rating,,,,,,
player,201712030gnb,tam,WilsJe00,rush_att,1,,,,,
player,201712030gnb,tam,WilsJe00,rush_yds,4,,,,,
player,201712030gnb,tam,WilsJe00,rush_td,0,,,,,
player,201712030gnb,tam,WilsJe00,rush_long,4,,,,,
player,201712030gnb,tam,WilsJe00,targets,0,,,,,
player,201712030gnb,tam,WilsJe00,rec,0,,,,,
player,201712030gnb,tam,WilsJe00,rec_yds,0,,,,,
player,201712030gnb,tam,WilsJe00,rec_td,0,,,,,
player,201712030gnb,tam,WilsJe00,rec_long,0,,,,,
player,201712030gnb,tam,WilsJe00,fumbles,0,,,,,
player,201712030gnb,tam,WilsJe00,fumbles_lost,0,,,,,
player,201712030gnb,tam,BratCa00,pass_cmp,0,,,,,
player,201712030gnb,tam,BratCa00,pass_att,0,,,,,
player,201712030gnb,tam,BratCa00,pass_yds,0,,,,,
player,201712030gnb,tam,BratCa00,pass_td,0,,,,,
player,201712030gnb,tam,BratCa00,pass_int,0,,,,,
player,201712030gnb,tam,BratCa00,pass_sacked,0,,,,,
player,201712030gnb,tam,BratCa00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,BratCa00,pass_long,0,,,,,
player,201712030gnb,tam,BratCa00,pass_rating,,,,,,
player,201712030gnb,tam,BratCa00,rush_att,0,,,,,
player,201712030gnb,tam,BratCa00,rush_yds,0,,,,,
player,201712030gnb,tam,BratCa00,rush_td,0,,,,,
player,201712030gnb,tam,BratCa00,rush_long,0,,,,,
player,201712030gnb,tam,BratCa00,targets,6,,,,,
player,201712030gnb,tam,BratCa00,rec,2,,,,,
player,201712030gnb,tam,BratCa00,rec_yds,39,,,,,
player,201712030gnb,tam,BratCa00,rec_td,2,,,,,
player,201712030gnb,tam,BratCa00,rec_long,28,,,,,
player,201712030gnb,tam,BratCa00,fumbles,0,,,,,
player,201712030gnb,tam,BratCa00,fumbles_lost,0,,,,,
player,201712030gnb,tam,EvanMi00,pass_cmp,0,,,,,
player,201712030gnb,tam,EvanMi00,pass_att,0,,,,,
player,201712030gnb,tam,EvanMi00,pass_yds,0,,,,,
player,201712030gnb,tam,EvanMi00,pass_td,0,,,,,
player,201712030gnb,tam,EvanMi00,pass_int,0,,,,,
player,201712030gnb,tam,EvanMi00,pass_sacked,0,,,,,
player,201712030gnb,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,EvanMi00,pass_long,0,,,,,
player,201712030gnb,tam,EvanMi00,pass_rating,,,,,,
player,201712030gnb,tam,EvanMi00,rush_att,0,,,,,
player,201712030gnb,tam,EvanMi00,rush_yds,0,,,,,
player,201712030gnb,tam,EvanMi00,rush_td,0,,,,,
player,201712030gnb,tam,EvanMi00,rush_long,0,,,,,
player,201712030gnb,tam,EvanMi00,targets,6,,,,,
player,201712030gnb,tam,EvanMi00,rec,2,,,,,
player,201712030gnb,tam,EvanMi00,rec_yds,33,,,,,
player,201712030gnb,tam,EvanMi00,rec_td,0,,,,,
player,201712030gnb,tam,EvanMi00,rec_long,17,,,,,
player,201712030gnb,tam,EvanMi00,fumbles,0,,,,,
player,201712030gnb,tam,EvanMi00,fumbles_lost,0,,,,,
player,201712030gnb,tam,HumpAd00,pass_cmp,0,,,,,
player,201712030gnb,tam,HumpAd00,pass_att,0,,,,,
player,201712030gnb,tam,HumpAd00,pass_yds,0,,,,,
player,201712030gnb,tam,HumpAd00,pass_td,0,,,,,
player,201712030gnb,tam,HumpAd00,pass_int,0,,,,,
player,201712030gnb,tam,HumpAd00,pass_sacked,0,,,,,
player,201712030gnb,tam,HumpAd00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,HumpAd00,pass_long,0,,,,,
player,201712030gnb,tam,HumpAd00,pass_rating,,,,,,
player,201712030gnb,tam,HumpAd00,rush_att,0,,,,,
player,201712030gnb,tam,HumpAd00,rush_yds,0,,,,,
player,201712030gnb,tam,HumpAd00,rush_td,0,,,,,
player,201712030gnb,tam,HumpAd00,rush_long,0,,,,,
player,201712030gnb,tam,HumpAd00,targets,4,,,,,
player,201712030gnb,tam,HumpAd00,rec,4,,,,,
player,201712030gnb,tam,HumpAd00,rec_yds,33,,,,,
player,201712030gnb,tam,HumpAd00,rec_td,0,,,,,
player,201712030gnb,tam,HumpAd00,rec_long,12,,,,,
player,201712030gnb,tam,HumpAd00,fumbles,0,,,,,
player,201712030gnb,tam,HumpAd00,fumbles_lost,0,,,,,
player,201712030gnb,tam,JackDe00,pass_cmp,0,,,,,
player,201712030gnb,tam,JackDe00,pass_att,0,,,,,
player,201712030gnb,tam,JackDe00,pass_yds,0,,,,,
player,201712030gnb,tam,JackDe00,pass_td,0,,,,,
player,201712030gnb,tam,JackDe00,pass_int,0,,,,,
player,201712030gnb,tam,JackDe00,pass_sacked,0,,,,,
player,201712030gnb,tam,JackDe00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,JackDe00,pass_long,0,,,,,
player,201712030gnb,tam,JackDe00,pass_rating,,,,,,
player,201712030gnb,tam,JackDe00,rush_att,0,,,,,
player,201712030gnb,tam,JackDe00,rush_yds,0,,,,,
player,201712030gnb,tam,JackDe00,rush_td,0,,,,,
player,201712030gnb,tam,JackDe00,rush_long,0,,,,,
player,201712030gnb,tam,JackDe00,targets,3,,,,,
player,201712030gnb,tam,JackDe00,rec,2,,,,,
player,201712030gnb,tam,JackDe00,rec_yds,24,,,,,
player,201712030gnb,tam,JackDe00,rec_td,0,,,,,
player,201712030gnb,tam,JackDe00,rec_long,19,,,,,
player,201712030gnb,tam,JackDe00,fumbles,0,,,,,
player,201712030gnb,tam,JackDe00,fumbles_lost,0,,,,,
player,201712030gnb,tam,GodwCh00,pass_cmp,0,,,,,
player,201712030gnb,tam,GodwCh00,pass_att,0,,,,,
player,201712030gnb,tam,GodwCh00,pass_yds,0,,,,,
player,201712030gnb,tam,GodwCh00,pass_td,0,,,,,
player,201712030gnb,tam,GodwCh00,pass_int,0,,,,,
player,201712030gnb,tam,GodwCh00,pass_sacked,0,,,,,
player,201712030gnb,tam,GodwCh00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,GodwCh00,pass_long,0,,,,,
player,201712030gnb,tam,GodwCh00,pass_rating,,,,,,
player,201712030gnb,tam,GodwCh00,rush_att,0,,,,,
player,201712030gnb,tam,GodwCh00,rush_yds,0,,,,,
player,201712030gnb,tam,GodwCh00,rush_td,0,,,,,
player,201712030gnb,tam,GodwCh00,rush_long,0,,,,,
player,201712030gnb,tam,GodwCh00,targets,3,,,,,
player,201712030gnb,tam,GodwCh00,rec,2,,,,,
player,201712030gnb,tam,GodwCh00,rec_yds,24,,,,,
player,201712030gnb,tam,GodwCh00,rec_td,0,,,,,
player,201712030gnb,tam,GodwCh00,rec_long,17,,,,,
player,201712030gnb,tam,GodwCh00,fumbles,0,,,,,
player,201712030gnb,tam,GodwCh00,fumbles_lost,0,,,,,
player,201712030gnb,tam,HowaO.00,pass_cmp,0,,,,,
player,201712030gnb,tam,HowaO.00,pass_att,0,,,,,
player,201712030gnb,tam,HowaO.00,pass_yds,0,,,,,
player,201712030gnb,tam,HowaO.00,pass_td,0,,,,,
player,201712030gnb,tam,HowaO.00,pass_int,0,,,,,
player,201712030gnb,tam,HowaO.00,pass_sacked,0,,,,,
player,201712030gnb,tam,HowaO.00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,HowaO.00,pass_long,0,,,,,
player,201712030gnb,tam,HowaO.00,pass_rating,,,,,,
player,201712030gnb,tam,HowaO.00,rush_att,0,,,,,
player,201712030gnb,tam,HowaO.00,rush_yds,0,,,,,
player,201712030gnb,tam,HowaO.00,rush_td,0,,,,,
player,201712030gnb,tam,HowaO.00,rush_long,0,,,,,
player,201712030gnb,tam,HowaO.00,targets,2,,,,,
player,201712030gnb,tam,HowaO.00,rec,1,,,,,
player,201712030gnb,tam,HowaO.00,rec_yds,17,,,,,
player,201712030gnb,tam,HowaO.00,rec_td,0,,,,,
player,201712030gnb,tam,HowaO.00,rec_long,17,,,,,
player,201712030gnb,tam,HowaO.00,fumbles,0,,,,,
player,201712030gnb,tam,HowaO.00,fumbles_lost,0,,,,,
player,201712030gnb,tam,CrosAl00,pass_cmp,0,,,,,
player,201712030gnb,tam,CrosAl00,pass_att,0,,,,,
player,201712030gnb,tam,CrosAl00,pass_yds,0,,,,,
player,201712030gnb,tam,CrosAl00,pass_td,0,,,,,
player,201712030gnb,tam,CrosAl00,pass_int,0,,,,,
player,201712030gnb,tam,CrosAl00,pass_sacked,0,,,,,
player,201712030gnb,tam,CrosAl00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,CrosAl00,pass_long,0,,,,,
player,201712030gnb,tam,CrosAl00,pass_rating,,,,,,
player,201712030gnb,tam,CrosAl00,rush_att,0,,,,,
player,201712030gnb,tam,CrosAl00,rush_yds,0,,,,,
player,201712030gnb,tam,CrosAl00,rush_td,0,,,,,
player,201712030gnb,tam,CrosAl00,rush_long,0,,,,,
player,201712030gnb,tam,CrosAl00,targets,1,,,,,
player,201712030gnb,tam,CrosAl00,rec,1,,,,,
player,201712030gnb,tam,CrosAl00,rec_yds,13,,,,,
player,201712030gnb,tam,CrosAl00,rec_td,0,,,,,
player,201712030gnb,tam,CrosAl00,rec_long,13,,,,,
player,201712030gnb,tam,CrosAl00,fumbles,0,,,,,
player,201712030gnb,tam,CrosAl00,fumbles_lost,0,,,,,
player,201712030gnb,tam,AuclAn00,pass_cmp,0,,,,,
player,201712030gnb,tam,AuclAn00,pass_att,0,,,,,
player,201712030gnb,tam,AuclAn00,pass_yds,0,,,,,
player,201712030gnb,tam,AuclAn00,pass_td,0,,,,,
player,201712030gnb,tam,AuclAn00,pass_int,0,,,,,
player,201712030gnb,tam,AuclAn00,pass_sacked,0,,,,,
player,201712030gnb,tam,AuclAn00,pass_sacked_yds,0,,,,,
player,201712030gnb,tam,AuclAn00,pass_long,0,,,,,
player,201712030gnb,tam,AuclAn00,pass_rating,,,,,,
player,201712030gnb,tam,AuclAn00,rush_att,0,,,,,
player,201712030gnb,tam,AuclAn00,rush_yds,0,,,,,
player,201712030gnb,tam,AuclAn00,rush_td,0,,,,,
player,201712030gnb,tam,AuclAn00,rush_long,0,,,,,
player,201712030gnb,tam,AuclAn00,targets,1,,,,,
player,201712030gnb,tam,AuclAn00,rec,1,,,,,
player,201712030gnb,tam,AuclAn00,rec_yds,11,,,,,
player,201712030gnb,tam,AuclAn00,rec_td,0,,,,,
player,201712030gnb,tam,AuclAn00,rec_long,11,,,,,
player,201712030gnb,tam,AuclAn00,fumbles,0,,,,,
player,201712030gnb,tam,AuclAn00,fumbles_lost,0,,,,,
player,201712030gnb,gnb,HundBr00,pass_cmp,13,,,,,
player,201712030gnb,gnb,HundBr00,pass_att,22,,,,,
player,201712030gnb,gnb,HundBr00,pass_yds,84,,,,,
player,201712030gnb,gnb,HundBr00,pass_td,0,,,,,
player,201712030gnb,gnb,HundBr00,pass_int,1,,,,,
player,201712030gnb,gnb,HundBr00,pass_sacked,2,,,,,
player,201712030gnb,gnb,HundBr00,pass_sacked_yds,7,,,,,
player,201712030gnb,gnb,HundBr00,pass_long,14,,,,,
player,201712030gnb,gnb,HundBr00,pass_rating,48.3,,,,,
player,201712030gnb,gnb,HundBr00,rush_att,7,,,,,
player,201712030gnb,gnb,HundBr00,rush_yds,66,,,,,
player,201712030gnb,gnb,HundBr00,rush_td,0,,,,,
player,201712030gnb,gnb,HundBr00,rush_long,18,,,,,
player,201712030gnb,gnb,HundBr00,targets,0,,,,,
player,201712030gnb,gnb,HundBr00,rec,0,,,,,
player,201712030gnb,gnb,HundBr00,rec_yds,0,,,,,
player,201712030gnb,gnb,HundBr00,rec_td,0,,,,,
player,201712030gnb,gnb,HundBr00,rec_long,0,,,,,
player,201712030gnb,gnb,HundBr00,fumbles,0,,,,,
player,201712030gnb,gnb,HundBr00,fumbles_lost,0,,,,,
player,201712030gnb,gnb,WillJa06,pass_cmp,0,,,,,
player,201712030gnb,gnb,WillJa06,pass_att,0,,,,,
player,201712030gnb,gnb,WillJa06,pass_yds,0,,,,,
player,201712030gnb,gnb,WillJa06,pass_td,0,,,,,
player,201712030gnb,gnb,WillJa06,pass_int,0,,,,,
player,201712030gnb,gnb,WillJa06,pass_sacked,0,,,,,
player,201712030gnb,gnb,WillJa06,pass_sacked_yds,0,,,,,
player,201712030gnb,gnb,WillJa06,pass_long,0,,,,,
player,201712030gnb,gnb,WillJa06,pass_rating,,,,,,
player,201712030gnb,gnb,WillJa06,rush_att,21,,,,,
player,201712030gnb,gnb,WillJa06,rush_yds,113,,,,,
player,201712030gnb,gnb,WillJa06,rush_td,1,,,,,
player,201712030gnb,gnb,WillJa06,rush_long,25,,,,,
player,201712030gnb,gnb,WillJa06,targets,3,,,,,
player,201712030gnb,gnb,WillJa06,rec,2,,,,,
player,201712030gnb,gnb,WillJa06,rec_yds,10,,,,,
player,201712030gnb,gnb,WillJa06,rec_td,0,,,,,
player,201712030gnb,gnb,WillJa06,rec_long,12,,,,,
player,201712030gnb,gnb,WillJa06,fumbles,0,,,,,
player,201712030gnb,gnb,WillJa06,fumbles_lost,0,,,,,
player,201712030gnb,gnb,JoneAa00,pass_cmp,0,,,,,
player,201712030gnb,gnb,JoneAa00,pass_att,0,,,,,
player,201712030gnb,gnb,JoneAa00,pass_yds,0,,,,,
player,201712030gnb,gnb,JoneAa00,pass_td,0,,,,,
player,201712030gnb,gnb,JoneAa00,pass_int,0,,,,,
player,201712030gnb,gnb,JoneAa00,pass_sacked,0,,,,,
player,201712030gnb,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201712030gnb,gnb,JoneAa00,pass_long,0,,,,,
player,201712030gnb,gnb,JoneAa00,pass_rating,,,,,,
player,201712030gnb,gnb,JoneAa00,rush_att,1,,,,,
player,201712030gnb,gnb,JoneAa00,rush_yds,20,,,,,
player,201712030gnb,gnb,JoneAa00,rush_td,1,,,,,
player,201712030gnb,gnb,JoneAa00,rush_long,20,,,,,
player,201712030gnb,gnb,JoneAa00,targets,0,,,,,
player,201712030gnb,gnb,JoneAa00,rec,0,,,,,
player,201712030gnb,gnb,JoneAa00,rec_yds,0,,,,,
player,201712030gnb,gnb,JoneAa00,rec_td,0,,,,,
player,201712030gnb,gnb,JoneAa00,rec_long,0,,,,,
player,201712030gnb,gnb,JoneAa00,fumbles,0,,,,,
player,201712030gnb,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201712030gnb,gnb,AdamDa01,pass_cmp,0,,,,,
player,201712030gnb,gnb,AdamDa01,pass_att,0,,,,,
player,201712030gnb,gnb,AdamDa01,pass_yds,0,,,,,
player,201712030gnb,gnb,AdamDa01,pass_td,0,,,,,
player,201712030gnb,gnb,AdamDa01,pass_int,0,,,,,
player,201712030gnb,gnb,AdamDa01,pass_sacked,0,,,,,
player,201712030gnb,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201712030gnb,gnb,AdamDa01,pass_long,0,,,,,
player,201712030gnb,gnb,AdamDa01,pass_rating,,,,,,
player,201712030gnb,gnb,AdamDa01,rush_att,0,,,,,
player,201712030gnb,gnb,AdamDa01,rush_yds,0,,,,,
player,201712030gnb,gnb,AdamDa01,rush_td,0,,,,,
player,201712030gnb,gnb,AdamDa01,rush_long,0,,,,,
player,201712030gnb,gnb,AdamDa01,targets,6,,,,,
player,201712030gnb,gnb,AdamDa01,rec,4,,,,,
player,201712030gnb,gnb,AdamDa01,rec_yds,42,,,,,
player,201712030gnb,gnb,AdamDa01,rec_td,0,,,,,
player,201712030gnb,gnb,AdamDa01,rec_long,14,,,,,
player,201712030gnb,gnb,AdamDa01,fumbles,0,,,,,
player,201712030gnb,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201712030gnb,gnb,NelsJo00,pass_cmp,0,,,,,
player,201712030gnb,gnb,NelsJo00,pass_att,0,,,,,
player,201712030gnb,gnb,NelsJo00,pass_yds,0,,,,,
player,201712030gnb,gnb,NelsJo00,pass_td,0,,,,,
player,201712030gnb,gnb,NelsJo00,pass_int,0,,,,,
player,201712030gnb,gnb,NelsJo00,pass_sacked,0,,,,,
player,201712030gnb,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201712030gnb,gnb,NelsJo00,pass_long,0,,,,,
player,201712030gnb,gnb,NelsJo00,pass_rating,,,,,,
player,201712030gnb,gnb,NelsJo00,rush_att,0,,,,,
player,201712030gnb,gnb,NelsJo00,rush_yds,0,,,,,
player,201712030gnb,gnb,NelsJo00,rush_td,0,,,,,
player,201712030gnb,gnb,NelsJo00,rush_long,0,,,,,
player,201712030gnb,gnb,NelsJo00,targets,8,,,,,
player,201712030gnb,gnb,NelsJo00,rec,5,,,,,
player,201712030gnb,gnb,NelsJo00,rec_yds,17,,,,,
player,201712030gnb,gnb,NelsJo00,rec_td,0,,,,,
player,201712030gnb,gnb,NelsJo00,rec_long,6,,,,,
player,201712030gnb,gnb,NelsJo00,fumbles,0,,,,,
player,201712030gnb,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201712030gnb,gnb,KendLa00,pass_cmp,0,,,,,
player,201712030gnb,gnb,KendLa00,pass_att,0,,,,,
player,201712030gnb,gnb,KendLa00,pass_yds,0,,,,,
player,201712030gnb,gnb,KendLa00,pass_td,0,,,,,
player,201712030gnb,gnb,KendLa00,pass_int,0,,,,,
player,201712030gnb,gnb,KendLa00,pass_sacked,0,,,,,
player,201712030gnb,gnb,KendLa00,pass_sacked_yds,0,,,,,
player,201712030gnb,gnb,KendLa00,pass_long,0,,,,,
player,201712030gnb,gnb,KendLa00,pass_rating,,,,,,
player,201712030gnb,gnb,KendLa00,rush_att,0,,,,,
player,201712030gnb,gnb,KendLa00,rush_yds,0,,,,,
player,201712030gnb,gnb,KendLa00,rush_td,0,,,,,
player,201712030gnb,gnb,KendLa00,rush_long,0,,,,,
player,201712030gnb,gnb,KendLa00,targets,1,,,,,
player,201712030gnb,gnb,KendLa00,rec,1,,,,,
player,201712030gnb,gnb,KendLa00,rec_yds,11,,,,,
player,201712030gnb,gnb,KendLa00,rec_td,0,,,,,
player,201712030gnb,gnb,KendLa00,rec_long,11,,,,,
player,201712030gnb,gnb,KendLa00,fumbles,0,,,,,
player,201712030gnb,gnb,KendLa00,fumbles_lost,0,,,,,
player,201712030gnb,gnb,RodgRi00,pass_cmp,0,,,,,
player,201712030gnb,gnb,RodgRi00,pass_att,0,,,,,
player,201712030gnb,gnb,RodgRi00,pass_yds,0,,,,,
player,201712030gnb,gnb,RodgRi00,pass_td,0,,,,,
player,201712030gnb,gnb,RodgRi00,pass_int,0,,,,,
player,201712030gnb,gnb,RodgRi00,pass_sacked,0,,,,,
player,201712030gnb,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201712030gnb,gnb,RodgRi00,pass_long,0,,,,,
player,201712030gnb,gnb,RodgRi00,pass_rating,,,,,,
player,201712030gnb,gnb,RodgRi00,rush_att,0,,,,,
player,201712030gnb,gnb,RodgRi00,rush_yds,0,,,,,
player,201712030gnb,gnb,RodgRi00,rush_td,0,,,,,
player,201712030gnb,gnb,RodgRi00,rush_long,0,,,,,
player,201712030gnb,gnb,RodgRi00,targets,2,,,,,
player,201712030gnb,gnb,RodgRi00,rec,1,,,,,
player,201712030gnb,gnb,RodgRi00,rec_yds,4,,,,,
player,201712030gnb,gnb,RodgRi00,rec_td,0,,,,,
player,201712030gnb,gnb,RodgRi00,rec_long,4,,,,,
player,201712030gnb,gnb,RodgRi00,fumbles,0,,,,,
player,201712030gnb,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201712030gnb,gnb,AlliGe01,pass_cmp,0,,,,,
player,201712030gnb,gnb,AlliGe01,pass_att,0,,,,,
player,201712030gnb,gnb,AlliGe01,pass_yds,0,,,,,
player,201712030gnb,gnb,AlliGe01,pass_td,0,,,,,
player,201712030gnb,gnb,AlliGe01,pass_int,0,,,,,
player,201712030gnb,gnb,AlliGe01,pass_sacked,0,,,,,
player,201712030gnb,gnb,AlliGe01,pass_sacked_yds,0,,,,,
player,201712030gnb,gnb,AlliGe01,pass_long,0,,,,,
player,201712030gnb,gnb,AlliGe01,pass_rating,,,,,,
player,201712030gnb,gnb,AlliGe01,rush_att,0,,,,,
player,201712030gnb,gnb,AlliGe01,rush_yds,0,,,,,
player,201712030gnb,gnb,AlliGe01,rush_td,0,,,,,
player,201712030gnb,gnb,AlliGe01,rush_long,0,,,,,
player,201712030gnb,gnb,AlliGe01,targets,1,,,,,
