game,2017,13,20171203,201712030oti,htx,"Houston Texans",13,oti,"Tennessee Titans",24
player,201712030oti,htx,ElliBr00,targets,2,,,,,
player,201712030oti,htx,ElliBr00,rec,1,,,,,
player,201712030oti,htx,ElliBr00,rec_yds,7,,,,,
player,201712030oti,htx,ElliBr00,rec_td,0,,,,,
player,201712030oti,htx,ElliBr00,rec_long,7,,,,,
player,201712030oti,htx,ElliBr00,fumbles,0,,,,,
player,201712030oti,htx,ElliBr00,fumbles_lost,0,,,,,
player,201712030oti,htx,ElliAn00,pass_cmp,0,,,,,
player,201712030oti,htx,ElliAn00,pass_att,0,,,,,
player,201712030oti,htx,ElliAn00,pass_yds,0,,,,,
player,201712030oti,htx,ElliAn00,pass_td,0,,,,,
player,201712030oti,htx,ElliAn00,pass_int,0,,,,,
player,201712030oti,htx,ElliAn00,pass_sacked,0,,,,,
player,201712030oti,htx,ElliAn00,pass_sacked_yds,0,,,,,
player,201712030oti,htx,ElliAn00,pass_long,0,,,,,
player,201712030oti,htx,ElliAn00,pass_rating,,,,,,
player,201712030oti,htx,ElliAn00,rush_att,2,,,,,
player,201712030oti,htx,ElliAn00,rush_yds,-4,,,,,
player,201712030oti,htx,ElliAn00,rush_td,0,,,,,
player,201712030oti,htx,ElliAn00,rush_long,-1,,,,,
player,201712030oti,htx,ElliAn00,targets,6,,,,,
player,201712030oti,htx,ElliAn00,rec,5,,,,,
player,201712030oti,htx,ElliAn00,rec_yds,56,,,,,
player,201712030oti,htx,ElliAn00,rec_td,0,,,,,
player,201712030oti,htx,ElliAn00,rec_long,29,,,,,
player,201712030oti,htx,ElliAn00,fumbles,0,,,,,
player,201712030oti,htx,ElliAn00,fumbles_lost,0,,,,,
player,201712030oti,oti,MariMa01,pass_cmp,15,,,,,
player,201712030oti,oti,MariMa01,pass_att,23,,,,,
player,201712030oti,oti,MariMa01,pass_yds,150,,,,,
player,201712030oti,oti,MariMa01,pass_td,1,,,,,
player,201712030oti,oti,MariMa01,pass_int,0,,,,,
player,201712030oti,oti,MariMa01,pass_sacked,2,,,,,
player,201712030oti,oti,MariMa01,pass_sacked_yds,4,,,,,
player,201712030oti,oti,MariMa01,pass_long,24,,,,,
player,201712030oti,oti,MariMa01,pass_rating,98.1,,,,,
player,201712030oti,oti,MariMa01,rush_att,3,,,,,
player,201712030oti,oti,MariMa01,rush_yds,23,,,,,
player,201712030oti,oti,MariMa01,rush_td,1,,,,,
player,201712030oti,oti,MariMa01,rush_long,12,,,,,
player,201712030oti,oti,MariMa01,targets,0,,,,,
player,201712030oti,oti,MariMa01,rec,0,,,,,
player,201712030oti,oti,MariMa01,rec_yds,0,,,,,
player,201712030oti,oti,MariMa01,rec_td,0,,,,,
player,201712030oti,oti,MariMa01,rec_long,0,,,,,
player,201712030oti,oti,MariMa01,fumbles,0,,,,,
player,201712030oti,oti,MariMa01,fumbles_lost,0,,,,,
player,201712030oti,oti,HenrDe00,pass_cmp,0,,,,,
player,201712030oti,oti,HenrDe00,pass_att,0,,,,,
player,201712030oti,oti,HenrDe00,pass_yds,0,,,,,
player,201712030oti,oti,HenrDe00,pass_td,0,,,,,
player,201712030oti,oti,HenrDe00,pass_int,0,,,,,
player,201712030oti,oti,HenrDe00,pass_sacked,0,,,,,
player,201712030oti,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201712030oti,oti,HenrDe00,pass_long,0,,,,,
player,201712030oti,oti,HenrDe00,pass_rating,,,,,,
player,201712030oti,oti,HenrDe00,rush_att,11,,,,,
player,201712030oti,oti,HenrDe00,rush_yds,109,,,,,
player,201712030oti,oti,HenrDe00,rush_td,1,,,,,
player,201712030oti,oti,HenrDe00,rush_long,75,,,,,
player,201712030oti,oti,HenrDe00,targets,0,,,,,
player,201712030oti,oti,HenrDe00,rec,0,,,,,
player,201712030oti,oti,HenrDe00,rec_yds,0,,,,,
player,201712030oti,oti,HenrDe00,rec_td,0,,,,,
player,201712030oti,oti,HenrDe00,rec_long,0,,,,,
player,201712030oti,oti,HenrDe00,fumbles,1,,,,,
player,201712030oti,oti,HenrDe00,fumbles_lost,0,,,,,
player,201712030oti,oti,MurrDe00,pass_cmp,0,,,,,
player,201712030oti,oti,MurrDe00,pass_att,0,,,,,
player,201712030oti,oti,MurrDe00,pass_yds,0,,,,,
player,201712030oti,oti,MurrDe00,pass_td,0,,,,,
player,201712030oti,oti,MurrDe00,pass_int,0,,,,,
player,201712030oti,oti,MurrDe00,pass_sacked,0,,,,,
player,201712030oti,oti,MurrDe00,pass_sacked_yds,0,,,,,
player,201712030oti,oti,MurrDe00,pass_long,0,,,,,
player,201712030oti,oti,MurrDe00,pass_rating,,,,,,
player,201712030oti,oti,MurrDe00,rush_att,11,,,,,
player,201712030oti,oti,MurrDe00,rush_yds,66,,,,,
player,201712030oti,oti,MurrDe00,rush_td,0,,,,,
player,201712030oti,oti,MurrDe00,rush_long,22,,,,,
player,201712030oti,oti,MurrDe00,targets,2,,,,,
player,201712030oti,oti,MurrDe00,rec,2,,,,,
player,201712030oti,oti,MurrDe00,rec_yds,13,,,,,
player,201712030oti,oti,MurrDe00,rec_td,0,,,,,
player,201712030oti,oti,MurrDe00,rec_long,13,,,,,
player,201712030oti,oti,MurrDe00,fumbles,0,,,,,
player,201712030oti,oti,MurrDe00,fumbles_lost,0,,,,,
player,201712030oti,oti,WalkHu00,pass_cmp,0,,,,,
player,201712030oti,oti,WalkHu00,pass_att,0,,,,,
player,201712030oti,oti,WalkHu00,pass_yds,0,,,,,
player,201712030oti,oti,WalkHu00,pass_td,0,,,,,
player,201712030oti,oti,WalkHu00,pass_int,0,,,,,
player,201712030oti,oti,WalkHu00,pass_sacked,0,,,,,
player,201712030oti,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201712030oti,oti,WalkHu00,pass_long,0,,,,,
player,201712030oti,oti,WalkHu00,pass_rating,,,,,,
player,201712030oti,oti,WalkHu00,rush_att,0,,,,,
player,201712030oti,oti,WalkHu00,rush_yds,0,,,,,
player,201712030oti,oti,WalkHu00,rush_td,0,,,,,
player,201712030oti,oti,WalkHu00,rush_long,0,,,,,
player,201712030oti,oti,WalkHu00,targets,5,,,,,
player,201712030oti,oti,WalkHu00,rec,5,,,,,
player,201712030oti,oti,WalkHu00,rec_yds,63,,,,,
player,201712030oti,oti,WalkHu00,rec_td,1,,,,,
player,201712030oti,oti,WalkHu00,rec_long,24,,,,,
player,201712030oti,oti,WalkHu00,fumbles,0,,,,,
player,201712030oti,oti,WalkHu00,fumbles_lost,0,,,,,
player,201712030oti,oti,DeckEr00,pass_cmp,0,,,,,
player,201712030oti,oti,DeckEr00,pass_att,0,,,,,
player,201712030oti,oti,DeckEr00,pass_yds,0,,,,,
player,201712030oti,oti,DeckEr00,pass_td,0,,,,,
player,201712030oti,oti,DeckEr00,pass_int,0,,,,,
player,201712030oti,oti,DeckEr00,pass_sacked,0,,,,,
player,201712030oti,oti,DeckEr00,pass_sacked_yds,0,,,,,
player,201712030oti,oti,DeckEr00,pass_long,0,,,,,
player,201712030oti,oti,DeckEr00,pass_rating,,,,,,
player,201712030oti,oti,DeckEr00,rush_att,0,,,,,
player,201712030oti,oti,DeckEr00,rush_yds,0,,,,,
player,201712030oti,oti,DeckEr00,rush_td,0,,,,,
player,201712030oti,oti,DeckEr00,rush_long,0,,,,,
player,201712030oti,oti,DeckEr00,targets,6,,,,,
player,201712030oti,oti,DeckEr00,rec,3,,,,,
player,201712030oti,oti,DeckEr00,rec_yds,27,,,,,
player,201712030oti,oti,DeckEr00,rec_td,0,,,,,
player,201712030oti,oti,DeckEr00,rec_long,12,,,,,
player,201712030oti,oti,DeckEr00,fumbles,0,,,,,
player,201712030oti,oti,DeckEr00,fumbles_lost,0,,,,,
player,201712030oti,oti,SupePh00,pass_cmp,0,,,,,
player,201712030oti,oti,SupePh00,pass_att,0,,,,,
player,201712030oti,oti,SupePh00,pass_yds,0,,,,,
player,201712030oti,oti,SupePh00,pass_td,0,,,,,
player,201712030oti,oti,SupePh00,pass_int,0,,,,,
player,201712030oti,oti,SupePh00,pass_sacked,0,,,,,
player,201712030oti,oti,SupePh00,pass_sacked_yds,0,,,,,
player,201712030oti,oti,SupePh00,pass_long,0,,,,,
player,201712030oti,oti,SupePh00,pass_rating,,,,,,
player,201712030oti,oti,SupePh00,rush_att,0,,,,,
player,201712030oti,oti,SupePh00,rush_yds,0,,,,,
player,201712030oti,oti,SupePh00,rush_td,0,,,,,
player,201712030oti,oti,SupePh00,rush_long,0,,,,,
player,201712030oti,oti,SupePh00,targets,1,,,,,
player,201712030oti,oti,SupePh00,rec,1,,,,,
player,201712030oti,oti,SupePh00,rec_yds,20,,,,,
player,201712030oti,oti,SupePh00,rec_td,0,,,,,
