game,2017,3,20170924,201709240was,rai,"Oakland Raiders",10,was,"Washington Redskins",27
player,201709240was,rai,RichJa01,pass_att,0,,,,,
player,201709240was,rai,RichJa01,pass_yds,0,,,,,
player,201709240was,rai,RichJa01,pass_td,0,,,,,
player,201709240was,rai,RichJa01,pass_int,0,,,,,
player,201709240was,rai,RichJa01,pass_sacked,0,,,,,
player,201709240was,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201709240was,rai,RichJa01,pass_long,0,,,,,
player,201709240was,rai,RichJa01,pass_rating,,,,,,
player,201709240was,rai,RichJa01,rush_att,2,,,,,
player,201709240was,rai,RichJa01,rush_yds,4,,,,,
player,201709240was,rai,RichJa01,rush_td,0,,,,,
player,201709240was,rai,RichJa01,rush_long,11,,,,,
player,201709240was,rai,RichJa01,targets,1,,,,,
player,201709240was,rai,RichJa01,rec,1,,,,,
player,201709240was,rai,RichJa01,rec_yds,4,,,,,
player,201709240was,rai,RichJa01,rec_td,0,,,,,
player,201709240was,rai,RichJa01,rec_long,4,,,,,
player,201709240was,rai,RichJa01,fumbles,0,,,,,
player,201709240was,rai,RichJa01,fumbles_lost,0,,,,,
player,201709240was,rai,CookJa02,pass_cmp,0,,,,,
player,201709240was,rai,CookJa02,pass_att,0,,,,,
player,201709240was,rai,CookJa02,pass_yds,0,,,,,
player,201709240was,rai,CookJa02,pass_td,0,,,,,
player,201709240was,rai,CookJa02,pass_int,0,,,,,
player,201709240was,rai,CookJa02,pass_sacked,0,,,,,
player,201709240was,rai,CookJa02,pass_sacked_yds,0,,,,,
player,201709240was,rai,CookJa02,pass_long,0,,,,,
player,201709240was,rai,CookJa02,pass_rating,,,,,,
player,201709240was,rai,CookJa02,rush_att,0,,,,,
player,201709240was,rai,CookJa02,rush_yds,0,,,,,
player,201709240was,rai,CookJa02,rush_td,0,,,,,
player,201709240was,rai,CookJa02,rush_long,0,,,,,
player,201709240was,rai,CookJa02,targets,6,,,,,
player,201709240was,rai,CookJa02,rec,4,,,,,
player,201709240was,rai,CookJa02,rec_yds,43,,,,,
player,201709240was,rai,CookJa02,rec_td,1,,,,,
player,201709240was,rai,CookJa02,rec_long,21,,,,,
player,201709240was,rai,CookJa02,fumbles,0,,,,,
player,201709240was,rai,CookJa02,fumbles_lost,0,,,,,
player,201709240was,rai,WashDe00,pass_cmp,0,,,,,
player,201709240was,rai,WashDe00,pass_att,0,,,,,
player,201709240was,rai,WashDe00,pass_yds,0,,,,,
player,201709240was,rai,WashDe00,pass_td,0,,,,,
player,201709240was,rai,WashDe00,pass_int,0,,,,,
player,201709240was,rai,WashDe00,pass_sacked,0,,,,,
player,201709240was,rai,WashDe00,pass_sacked_yds,0,,,,,
player,201709240was,rai,WashDe00,pass_long,0,,,,,
player,201709240was,rai,WashDe00,pass_rating,,,,,,
player,201709240was,rai,WashDe00,rush_att,1,,,,,
player,201709240was,rai,WashDe00,rush_yds,0,,,,,
player,201709240was,rai,WashDe00,rush_td,0,,,,,
player,201709240was,rai,WashDe00,rush_long,0,,,,,
player,201709240was,rai,WashDe00,targets,6,,,,,
player,201709240was,rai,WashDe00,rec,5,,,,,
player,201709240was,rai,WashDe00,rec_yds,24,,,,,
player,201709240was,rai,WashDe00,rec_td,0,,,,,
player,201709240was,rai,WashDe00,rec_long,7,,,,,
player,201709240was,rai,WashDe00,fumbles,0,,,,,
player,201709240was,rai,WashDe00,fumbles_lost,0,,,,,
player,201709240was,rai,RobeSe00,pass_cmp,0,,,,,
player,201709240was,rai,RobeSe00,pass_att,0,,,,,
player,201709240was,rai,RobeSe00,pass_yds,0,,,,,
player,201709240was,rai,RobeSe00,pass_td,0,,,,,
player,201709240was,rai,RobeSe00,pass_int,0,,,,,
player,201709240was,rai,RobeSe00,pass_sacked,0,,,,,
player,201709240was,rai,RobeSe00,pass_sacked_yds,0,,,,,
player,201709240was,rai,RobeSe00,pass_long,0,,,,,
player,201709240was,rai,RobeSe00,pass_rating,,,,,,
player,201709240was,rai,RobeSe00,rush_att,0,,,,,
player,201709240was,rai,RobeSe00,rush_yds,0,,,,,
player,201709240was,rai,RobeSe00,rush_td,0,,,,,
player,201709240was,rai,RobeSe00,rush_long,0,,,,,
player,201709240was,rai,RobeSe00,targets,5,,,,,
player,201709240was,rai,RobeSe00,rec,4,,,,,
player,201709240was,rai,RobeSe00,rec_yds,20,,,,,
player,201709240was,rai,RobeSe00,rec_td,0,,,,,
player,201709240was,rai,RobeSe00,rec_long,9,,,,,
player,201709240was,rai,RobeSe00,fumbles,1,,,,,
player,201709240was,rai,RobeSe00,fumbles_lost,1,,,,,
player,201709240was,rai,CrabMi00,pass_cmp,0,,,,,
player,201709240was,rai,CrabMi00,pass_att,0,,,,,
player,201709240was,rai,CrabMi00,pass_yds,0,,,,,
player,201709240was,rai,CrabMi00,pass_td,0,,,,,
player,201709240was,rai,CrabMi00,pass_int,0,,,,,
player,201709240was,rai,CrabMi00,pass_sacked,0,,,,,
player,201709240was,rai,CrabMi00,pass_sacked_yds,0,,,,,
player,201709240was,rai,CrabMi00,pass_long,0,,,,,
player,201709240was,rai,CrabMi00,pass_rating,,,,,,
player,201709240was,rai,CrabMi00,rush_att,0,,,,,
player,201709240was,rai,CrabMi00,rush_yds,0,,,,,
player,201709240was,rai,CrabMi00,rush_td,0,,,,,
player,201709240was,rai,CrabMi00,rush_long,0,,,,,
player,201709240was,rai,CrabMi00,targets,3,,,,,
player,201709240was,rai,CrabMi00,rec,1,,,,,
player,201709240was,rai,CrabMi00,rec_yds,7,,,,,
player,201709240was,rai,CrabMi00,rec_td,0,,,,,
player,201709240was,rai,CrabMi00,rec_long,7,,,,,
player,201709240was,rai,CrabMi00,fumbles,0,,,,,
player,201709240was,rai,CrabMi00,fumbles_lost,0,,,,,
player,201709240was,rai,CoopAm00,pass_cmp,0,,,,,
player,201709240was,rai,CoopAm00,pass_att,0,,,,,
player,201709240was,rai,CoopAm00,pass_yds,0,,,,,
player,201709240was,rai,CoopAm00,pass_td,0,,,,,
player,201709240was,rai,CoopAm00,pass_int,0,,,,,
player,201709240was,rai,CoopAm00,pass_sacked,0,,,,,
player,201709240was,rai,CoopAm00,pass_sacked_yds,0,,,,,
player,201709240was,rai,CoopAm00,pass_long,0,,,,,
player,201709240was,rai,CoopAm00,pass_rating,,,,,,
player,201709240was,rai,CoopAm00,rush_att,0,,,,,
player,201709240was,rai,CoopAm00,rush_yds,0,,,,,
player,201709240was,rai,CoopAm00,rush_td,0,,,,,
player,201709240was,rai,CoopAm00,rush_long,0,,,,,
player,201709240was,rai,CoopAm00,targets,5,,,,,
player,201709240was,rai,CoopAm00,rec,1,,,,,
player,201709240was,rai,CoopAm00,rec_yds,6,,,,,
player,201709240was,rai,CoopAm00,rec_td,0,,,,,
player,201709240was,rai,CoopAm00,rec_long,6,,,,,
player,201709240was,rai,CoopAm00,fumbles,0,,,,,
player,201709240was,rai,CoopAm00,fumbles_lost,0,,,,,
player,201709240was,rai,WalfCl00,pass_cmp,0,,,,,
player,201709240was,rai,WalfCl00,pass_att,0,,,,,
player,201709240was,rai,WalfCl00,pass_yds,0,,,,,
player,201709240was,rai,WalfCl00,pass_td,0,,,,,
player,201709240was,rai,WalfCl00,pass_int,0,,,,,
player,201709240was,rai,WalfCl00,pass_sacked,0,,,,,
player,201709240was,rai,WalfCl00,pass_sacked_yds,0,,,,,
player,201709240was,rai,WalfCl00,pass_long,0,,,,,
player,201709240was,rai,WalfCl00,pass_rating,,,,,,
player,201709240was,rai,WalfCl00,rush_att,0,,,,,
player,201709240was,rai,WalfCl00,rush_yds,0,,,,,
player,201709240was,rai,WalfCl00,rush_td,0,,,,,
player,201709240was,rai,WalfCl00,rush_long,0,,,,,
player,201709240was,rai,WalfCl00,targets,1,,,,,
player,201709240was,rai,WalfCl00,rec,1,,,,,
player,201709240was,rai,WalfCl00,rec_yds,-1,,,,,
player,201709240was,rai,WalfCl00,rec_td,0,,,,,
player,201709240was,rai,WalfCl00,rec_long,-1,,,,,
player,201709240was,rai,WalfCl00,fumbles,0,,,,,
player,201709240was,rai,WalfCl00,fumbles_lost,0,,,,,
player,201709240was,was,CousKi00,pass_cmp,25,,,,,
player,201709240was,was,CousKi00,pass_att,30,,,,,
player,201709240was,was,CousKi00,pass_yds,365,,,,,
player,201709240was,was,CousKi00,pass_td,3,,,,,
player,201709240was,was,CousKi00,pass_int,0,,,,,
player,201709240was,was,CousKi00,pass_sacked,1,,,,,
player,201709240was,was,CousKi00,pass_sacked_yds,9,,,,,
player,201709240was,was,CousKi00,pass_long,74,,,,,
player,201709240was,was,CousKi00,pass_rating,150.7,,,,,
player,201709240was,was,CousKi00,rush_att,1,,,,,
player,201709240was,was,CousKi00,rush_yds,2,,,,,
player,201709240was,was,CousKi00,rush_td,0,,,,,
player,201709240was,was,CousKi00,rush_long,2,,,,,
player,201709240was,was,CousKi00,targets,0,,,,,
player,201709240was,was,CousKi00,rec,0,,,,,
player,201709240was,was,CousKi00,rec_yds,0,,,,,
player,201709240was,was,CousKi00,rec_td,0,,,,,
player,201709240was,was,CousKi00,rec_long,0,,,,,
player,201709240was,was,CousKi00,fumbles,0,,,,,
player,201709240was,was,CousKi00,fumbles_lost,0,,,,,
player,201709240was,was,PeriSa00,pass_cmp,0,,,,,
player,201709240was,was,PeriSa00,pass_att,0,,,,,
player,201709240was,was,PeriSa00,pass_yds,0,,,,,
player,201709240was,was,PeriSa00,pass_td,0,,,,,
player,201709240was,was,PeriSa00,pass_int,0,,,,,
player,201709240was,was,PeriSa00,pass_sacked,0,,,,,
player,201709240was,was,PeriSa00,pass_sacked_yds,0,,,,,
player,201709240was,was,PeriSa00,pass_long,0,,,,,
player,201709240was,was,PeriSa00,pass_rating,,,,,,
player,201709240was,was,PeriSa00,rush_att,19,,,,,
player,201709240was,was,PeriSa00,rush_yds,49,,,,,
player,201709240was,was,PeriSa00,rush_td,0,,,,,
player,201709240was,was,PeriSa00,rush_long,9,,,,,
player,201709240was,was,PeriSa00,targets,1,,,,,
player,201709240was,was,PeriSa00,rec,1,,,,,
player,201709240was,was,PeriSa00,rec_yds,6,,,,,
player,201709240was,was,PeriSa00,rec_td,0,,,,,
player,201709240was,was,PeriSa00,rec_long,6,,,,,
player,201709240was,was,PeriSa00,fumbles,1,,,,,
player,201709240was,was,PeriSa00,fumbles_lost,1,,,,,
player,201709240was,was,ThomCh03,pass_cmp,0,,,,,
player,201709240was,was,ThomCh03,pass_att,0,,,,,
player,201709240was,was,ThomCh03,pass_yds,0,,,,,
player,201709240was,was,ThomCh03,pass_td,0,,,,,
player,201709240was,was,ThomCh03,pass_int,0,,,,,
player,201709240was,was,ThomCh03,pass_sacked,0,,,,,
player,201709240was,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201709240was,was,ThomCh03,pass_long,0,,,,,
player,201709240was,was,ThomCh03,pass_rating,,,,,,
player,201709240was,was,ThomCh03,rush_att,8,,,,,
player,201709240was,was,ThomCh03,rush_yds,38,,,,,
player,201709240was,was,ThomCh03,rush_td,0,,,,,
player,201709240was,was,ThomCh03,rush_long,13,,,,,
player,201709240was,was,ThomCh03,targets,7,,,,,
player,201709240was,was,ThomCh03,rec,6,,,,,
player,201709240was,was,ThomCh03,rec_yds,150,,,,,
player,201709240was,was,ThomCh03,rec_td,1,,,,,
player,201709240was,was,ThomCh03,rec_long,74,,,,,
player,201709240was,was,ThomCh03,fumbles,0,,,,,
player,201709240was,was,ThomCh03,fumbles_lost,0,,,,,
player,201709240was,was,BrowMa02,pass_cmp,0,,,,,
player,201709240was,was,BrowMa02,pass_att,0,,,,,
player,201709240was,was,BrowMa02,pass_yds,0,,,,,
player,201709240was,was,BrowMa02,pass_td,0,,,,,
player,201709240was,was,BrowMa02,pass_int,0,,,,,
player,201709240was,was,BrowMa02,pass_sacked,0,,,,,
player,201709240was,was,BrowMa02,pass_sacked_yds,0,,,,,
player,201709240was,was,BrowMa02,pass_long,0,,,,,
player,201709240was,was,BrowMa02,pass_rating,,,,,,
player,201709240was,was,BrowMa02,rush_att,6,,,,,
player,201709240was,was,BrowMa02,rush_yds,27,,,,,
player,201709240was,was,BrowMa02,rush_td,0,,,,,
player,201709240was,was,BrowMa02,rush_long,11,,,,,
player,201709240was,was,BrowMa02,targets,0,,,,,
player,201709240was,was,BrowMa02,rec,0,,,,,
player,201709240was,was,BrowMa02,rec_yds,0,,,,,
player,201709240was,was,BrowMa02,rec_td,0,,,,,
player,201709240was,was,BrowMa02,rec_long,0,,,,,
player,201709240was,was,BrowMa02,fumbles,0,,,,,
player,201709240was,was,BrowMa02,fumbles_lost,0,,,,,
player,201709240was,was,DaviVe00,pass_cmp,0,,,,,
player,201709240was,was,DaviVe00,pass_att,0,,,,,
player,201709240was,was,DaviVe00,pass_yds,0,,,,,
player,201709240was,was,DaviVe00,pass_td,0,,,,,
player,201709240was,was,DaviVe00,pass_int,0,,,,,
player,201709240was,was,DaviVe00,pass_sacked,0,,,,,
player,201709240was,was,DaviVe00,pass_sacked_yds,0,,,,,
player,201709240was,was,DaviVe00,pass_long,0,,,,,
player,201709240was,was,DaviVe00,pass_rating,,,,,,
player,201709240was,was,DaviVe00,rush_att,0,,,,,
player,201709240was,was,DaviVe00,rush_yds,0,,,,,
player,201709240was,was,DaviVe00,rush_td,0,,,,,
player,201709240was,was,DaviVe00,rush_long,0,,,,,
player,201709240was,was,DaviVe00,targets,5,,,,,
player,201709240was,was,DaviVe00,rec,5,,,,,
player,201709240was,was,DaviVe00,rec_yds,58,,,,,
player,201709240was,was,DaviVe00,rec_td,1,,,,,
player,201709240was,was,DaviVe00,rec_long,26,,,,,
player,201709240was,was,DaviVe00,fumbles,0,,,,,
player,201709240was,was,DaviVe00,fumbles_lost,0,,,,,
player,201709240was,was,DoctJo00,pass_cmp,0,,,,,
player,201709240was,was,DoctJo00,pass_att,0,,,,,
player,201709240was,was,DoctJo00,pass_yds,0,,,,,
player,201709240was,was,DoctJo00,pass_td,0,,,,,
player,201709240was,was,DoctJo00,pass_int,0,,,,,
player,201709240was,was,DoctJo00,pass_sacked,0,,,,,
player,201709240was,was,DoctJo00,pass_sacked_yds,0,,,,,
player,201709240was,was,DoctJo00,pass_long,0,,,,,
player,201709240was,was,DoctJo00,pass_rating,,,,,,
player,201709240was,was,DoctJo00,rush_att,0,,,,,
player,201709240was,was,DoctJo00,rush_yds,0,,,,,
player,201709240was,was,DoctJo00,rush_td,0,,,,,
player,201709240was,was,DoctJo00,rush_long,0,,,,,
player,201709240was,was,DoctJo00,targets,2,,,,,
player,201709240was,was,DoctJo00,rec,1,,,,,
player,201709240was,was,DoctJo00,rec_yds,52,,,,,
player,201709240was,was,DoctJo00,rec_td,1,,,,,
player,201709240was,was,DoctJo00,rec_long,52,,,,,
player,201709240was,was,DoctJo00,fumbles,0,,,,,
player,201709240was,was,DoctJo00,fumbles_lost,0,,,,,
player,201709240was,was,CrowJa00,pass_cmp,0,,,,,
player,201709240was,was,CrowJa00,pass_att,0,,,,,
player,201709240was,was,CrowJa00,pass_yds,0,,,,,
player,201709240was,was,CrowJa00,pass_td,0,,,,,
player,201709240was,was,CrowJa00,pass_int,0,,,,,
player,201709240was,was,CrowJa00,pass_sacked,0,,,,,
player,201709240was,was,CrowJa00,pass_sacked_yds,0,,,,,
player,201709240was,was,CrowJa00,pass_long,0,,,,,
player,201709240was,was,CrowJa00,pass_rating,,,,,,
player,201709240was,was,CrowJa00,rush_att,0,,,,,
player,201709240was,was,CrowJa00,rush_yds,0,,,,,
player,201709240was,was,CrowJa00,rush_td,0,,,,,
player,201709240was,was,CrowJa00,rush_long,0,,,,,
player,201709240was,was,CrowJa00,targets,6,,,,,
player,201709240was,was,CrowJa00,rec,6,,,,,
player,201709240was,was,CrowJa00,rec_yds,52,,,,,
player,201709240was,was,CrowJa00,rec_td,0,,,,,
player,201709240was,was,CrowJa00,rec_long,30,,,,,
player,201709240was,was,CrowJa00,fumbles,1,,,,,
player,201709240was,was,CrowJa00,fumbles_lost,1,,,,,
player,201709240was,was,GranRy01,pass_cmp,0,,,,,
player,201709240was,was,GranRy01,pass_att,0,,,,,
player,201709240was,was,GranRy01,pass_yds,0,,,,,
player,201709240was,was,GranRy01,pass_td,0,,,,,
player,201709240was,was,GranRy01,pass_int,0,,,,,
player,201709240was,was,GranRy01,pass_sacked,0,,,,,
player,201709240was,was,GranRy01,pass_sacked_yds,0,,,,,
player,201709240was,was,GranRy01,pass_long,0,,,,,
player,201709240was,was,GranRy01,pass_rating,,,,,,
player,201709240was,was,GranRy01,rush_att,0,,,,,
player,201709240was,was,GranRy01,rush_yds,0,,,,,
player,201709240was,was,GranRy01,rush_td,0,,,,,
player,201709240was,was,GranRy01,rush_long,0,,,,,
player,201709240was,was,GranRy01,targets,4,,,,,
player,201709240was,was,GranRy01,rec,3,,,,,
player,201709240was,was,GranRy01,rec_yds,31,,,,,
player,201709240was,was,GranRy01,rec_td,0,,,,,
player,201709240was,was,GranRy01,rec_long,14,,,,,
player,201709240was,was,GranRy01,fumbles,0,,,,,
player,201709240was,was,GranRy01,fumbles_lost,0,,,,,
player,201709240was,was,PryoTe00,pass_cmp,0,,,,,
player,201709240was,was,PryoTe00,pass_att,0,,,,,
player,201709240was,was,PryoTe00,pass_yds,0,,,,,
player,201709240was,was,PryoTe00,pass_td,0,,,,,
player,201709240was,was,PryoTe00,pass_int,0,,,,,
player,201709240was,was,PryoTe00,pass_sacked,0,,,,,
player,201709240was,was,PryoTe00,pass_sacked_yds,0,,,,,
player,201709240was,was,PryoTe00,pass_long,0,,,,,
player,201709240was,was,PryoTe00,pass_rating,,,,,,
player,201709240was,was,PryoTe00,rush_att,0,,,,,
player,201709240was,was,PryoTe00,rush_yds,0,,,,,
player,201709240was,was,PryoTe00,rush_td,0,,,,,
player,201709240was,was,PryoTe00,rush_long,0,,,,,
player,201709240was,was,PryoTe00,targets,4,,,,,
player,201709240was,was,PryoTe00,rec,2,,,,,
player,201709240was,was,PryoTe00,rec_yds,19,,,,,
player,201709240was,was,PryoTe00,rec_td,0,,,,,
player,201709240was,was,PryoTe00,rec_long,12,,,,,
player,201709240was,was,PryoTe00,fumbles,0,,,,,
player,201709240was,was,PryoTe00,fumbles_lost,0,,,,,
player,201709240was,was,PaulNi00,pass_cmp,0,,,,,
player,201709240was,was,PaulNi00,pass_att,0,,,,,
player,201709240was,was,PaulNi00,pass_yds,0,,,,,
player,201709240was,was,PaulNi00,pass_td,0,,,,,
player,201709240was,was,PaulNi00,pass_int,0,,,,,
player,201709240was,was,PaulNi00,pass_sacked,0,,,,,
player,201709240was,was,PaulNi00,pass_sacked_yds,0,,,,,
player,201709240was,was,PaulNi00,pass_long,0,,,,,
player,201709240was,was,PaulNi00,pass_rating,,,,,,
player,201709240was,was,PaulNi00,rush_att,0,,,,,
player,201709240was,was,PaulNi00,rush_yds,0,,,,,
player,201709240was,was,PaulNi00,rush_td,0,,,,,
player,201709240was,was,PaulNi00,rush_long,0,,,,,
player,201709240was,was,PaulNi00,targets,1,,,,,
player,201709240was,was,PaulNi00,rec,1,,,,,
player,201709240was,was,PaulNi00,rec_yds,-3,,,,,
player,201709240was,was,PaulNi00,rec_td,0,,,,,
player,201709240was,was,PaulNi00,rec_long,-3,,,,,
player,201709240was,was,PaulNi00,fumbles,0,,,,,
player,201709240was,was,PaulNi00,fumbles_lost,0,,,,,
player,201709240was,rai,MackKh00,def_int,0,,,,,
player,201709240was,rai,MackKh00,def_int_yds,0,,,,,
player,201709240was,rai,MackKh00,def_int_td,0,,,,,
player,201709240was,rai,MackKh00,def_int_long,0,,,,,
player,201709240was,rai,MackKh00,pass_defended,0,,,,,
player,201709240was,rai,MackKh00,sacks,1.0,,,,,
player,201709240was,rai,MackKh00,tackles_combined,9,,,,,
player,201709240was,rai,MackKh00,tackles_solo,5,,,,,
player,201709240was,rai,MackKh00,tackles_assists,4,,,,,
player,201709240was,rai,MackKh00,tackles_loss,1,,,,,
player,201709240was,rai,MackKh00,qb_hits,3,,,,,
player,201709240was,rai,MackKh00,fumbles_rec,0,,,,,
player,201709240was,rai,MackKh00,fumbles_rec_yds,0,,,,,
player,201709240was,rai,MackKh00,fumbles_rec_td,0,,,,,
player,201709240was,rai,MackKh00,fumbles_forced,0,,,,,
player,201709240was,rai,JameCo00,def_int,0,,,,,
player,201709240was,rai,JameCo00,def_int_yds,0,,,,,
player,201709240was,rai,JameCo00,def_int_td,0,,,,,
player,201709240was,rai,JameCo00,def_int_long,0,,,,,
player,201709240was,rai,JameCo00,pass_defended,0,,,,,
player,201709240was,rai,JameCo00,sacks,0.0,,,,,
player,201709240was,rai,JameCo00,tackles_combined,11,,,,,
player,201709240was,rai,JameCo00,tackles_solo,6,,,,,
player,201709240was,rai,JameCo00,tackles_assists,5,,,,,
player,201709240was,rai,JameCo00,tackles_loss,1,,,,,
player,201709240was,rai,JameCo00,qb_hits,0,,,,,
player,201709240was,rai,JameCo00,fumbles_rec,0,,,,,
player,201709240was,rai,JameCo00,fumbles_rec_yds,0,,,,,
player,201709240was,rai,JameCo00,fumbles_rec_td,0,,,,,
player,201709240was,rai,JameCo00,fumbles_forced,1,,,,,
player,201709240was,rai,JoseKa00,def_int,0,,,,,
player,201709240was,rai,JoseKa00,def_int_yds,0,,,,,
player,201709240was,rai,JoseKa00,def_int_td,0,,,,,
player,201709240was,rai,JoseKa00,def_int_long,0,,,,,
player,201709240was,rai,JoseKa00,pass_defended,0,,,,,
player,201709240was,rai,JoseKa00,sacks,0.0,,,,,
player,201709240was,rai,JoseKa00,tackles_combined,9,,,,,
player,201709240was,rai,JoseKa00,tackles_solo,8,,,,,
player,201709240was,rai,JoseKa00,tackles_assists,1,,,,,
player,201709240was,rai,JoseKa00,tackles_loss,0,,,,,
player,201709240was,rai,JoseKa00,qb_hits,0,,,,,
player,201709240was,rai,JoseKa00,fumbles_rec,0,,,,,
player,201709240was,rai,JoseKa00,fumbles_rec_yds,0,,,,,
player,201709240was,rai,JoseKa00,fumbles_rec_td,0,,,,,
player,201709240was,rai,JoseKa00,fumbles_forced,0,,,,,
player,201709240was,rai,AmerDa00,def_int,0,,,,,
player,201709240was,rai,AmerDa00,def_int_yds,0,,,,,
player,201709240was,rai,AmerDa00,def_int_td,0,,,,,
player,201709240was,rai,AmerDa00,def_int_long,0,,,,,
player,201709240was,rai,AmerDa00,pass_defended,3,,,,,
player,201709240was,rai,AmerDa00,sacks,0.0,,,,,
player,201709240was,rai,AmerDa00,tackles_combined,6,,,,,
player,201709240was,rai,AmerDa00,tackles_solo,3,,,,,
player,201709240was,rai,AmerDa00,tackles_assists,3,,,,,
player,201709240was,rai,AmerDa00,tackles_loss,0,,,,,
player,201709240was,rai,AmerDa00,qb_hits,0,,,,,
